unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,due_date,road_ramp
58977893,2023-09-30T09:24:42.000,2023-10-03T12:31:20.000,DSNY,Department of Sanitation,Missed Collection,Trash,11203,512 EAST   54 STREET,EAST   54 STREET,BEVERLEY ROAD,CLARENDON ROAD,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T14:15:09.000,17 BROOKLYN,3047640014,BROOKLYN,1004822,174629,ONLINE,Unspecified,BROOKLYN,40.645969014879036,-73.9258681404782,"{'latitude': '40.645969014879036', 'longitude': '-73.9258681404782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,BEVERLEY ROAD,CLARENDON ROAD,EAST   54 STREET,,,,,,,
59459970,2023-09-30T09:24:41.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,10455,3023 3 AVENUE,3 AVENUE,EAST  155 STREET,EAST  156 STREET,ADDRESS,BRONX,Closed,,2023-10-05T00:00:00.000,01 BRONX,2023770056,BRONX,1008210,237917,ONLINE,Unspecified,BRONX,40.81967035770706,-73.91343400613572,"{'latitude': '40.81967035770706', 'longitude': '-73.91343400613572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,EAST  155 STREET,EAST  156 STREET,3 AVENUE,,,,,,,
59442396,2023-09-30T09:24:40.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,10455,3023 3 AVENUE,3 AVENUE,EAST  155 STREET,EAST  156 STREET,ADDRESS,BRONX,Closed,,2023-10-05T00:00:00.000,01 BRONX,2023770056,BRONX,1008210,237917,ONLINE,Unspecified,BRONX,40.81967035770706,-73.91343400613572,"{'latitude': '40.81967035770706', 'longitude': '-73.91343400613572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,EAST  155 STREET,EAST  156 STREET,3 AVENUE,,,,,,,
59439671,2023-09-30T09:24:39.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Window Frame,10455,3023 3 AVENUE,3 AVENUE,EAST  155 STREET,EAST  156 STREET,ADDRESS,BRONX,Closed,,2023-10-05T00:00:00.000,01 BRONX,2023770056,BRONX,1008210,237917,ONLINE,Unspecified,BRONX,40.81967035770706,-73.91343400613572,"{'latitude': '40.81967035770706', 'longitude': '-73.91343400613572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,EAST  155 STREET,EAST  156 STREET,3 AVENUE,,,,,,,
58973060,2023-09-30T09:24:28.000,2023-10-03T11:43:18.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,11220,4509 6 AVENUE,6 AVENUE,45 STREET,46 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-10-02T14:38:10.000,07 BROOKLYN,3007490005,BROOKLYN,982775,174798,PHONE,Unspecified,BROOKLYN,40.64645665347714,-74.00531524785919,"{'latitude': '40.64645665347714', 'longitude': '-74.00531524785919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,45 STREET,46 STREET,6 AVENUE,,,,,,,
59442626,2023-09-30T09:24:17.000,2023-10-06T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11223,1650 WEST   10 STREET,WEST   10 STREET,AVENUE P,KINGS HIGHWAY,ADDRESS,BROOKLYN,Closed,,2023-10-06T00:00:00.000,11 BROOKLYN,3066210022,BROOKLYN,988893,160265,ONLINE,Unspecified,BROOKLYN,40.60656552832717,-73.98327867792767,"{'latitude': '40.60656552832717', 'longitude': '-73.98327867792767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,AVENUE P,KINGS HIGHWAY,WEST   10 STREET,,,,,,,
59455948,2023-09-30T09:24:11.000,2023-09-30T19:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11234,2053 EAST   74 STREET,EAST   74 STREET,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,Closed,,2023-09-30T19:30:00.000,18 BROOKLYN,3084150018,BROOKLYN,1010321,165879,ONLINE,Unspecified,BROOKLYN,40.621937655280256,-73.90608613639145,"{'latitude': '40.621937655280256', 'longitude': '-73.90608613639145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,AVENUE T,AVENUE U,EAST   74 STREET,,,,,,,
58976915,2023-09-30T09:24:01.000,2023-09-30T09:53:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11694,106-00 BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,BEACH  104 STREET,BEACH  108 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T09:53:56.000,14 QUEENS,4161620120,QUEENS,1031706,152150,MOBILE,Unspecified,QUEENS,40.5841656762055,-73.82914895437536,"{'latitude': '40.5841656762055', 'longitude': '-73.82914895437536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BEACH  104 STREET,BEACH  108 STREET,BEACH CHANNEL DRIVE,,,,,,,
58969310,2023-09-30T09:24:00.000,2023-10-03T12:28:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,10308,261 GIFFORDS LANE,GIFFORDS LANE,LEVERETT AVENUE,MICHAEL COURT,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the E-waste.,2023-10-03T12:28:00.000,03 STATEN ISLAND,5046100009,STATEN ISLAND,941669,142560,PHONE,Unspecified,STATEN ISLAND,40.55786779637915,-74.15323971475027,"{'latitude': '40.55786779637915', 'longitude': '-74.15323971475027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,,,,,,,,,,
59446876,2023-09-30T09:23:36.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,10460,808 ELSMERE PLACE,ELSMERE PLACE,PROSPECT AVENUE,MARMION AVENUE,ADDRESS,BRONX,Closed,,2023-10-02T00:00:00.000,06 BRONX,2029550025,BRONX,1015130,246494,PHONE,Unspecified,BRONX,40.8431902602018,-73.88839301759494,"{'latitude': '40.8431902602018', 'longitude': '-73.88839301759494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,PROSPECT AVENUE,MARMION AVENUE,ELSMERE PLACE,,,,,,,
58977026,2023-09-30T09:23:17.000,2023-09-30T11:39:25.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11213,221 SCHENECTADY AVENUE,SCHENECTADY AVENUE,STERLING PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-30T11:29:40.000,08 BROOKLYN,3013780008,BROOKLYN,1002653,183843,MOBILE,Unspecified,BROOKLYN,40.671264184737645,-73.93365905220439,"{'latitude': '40.671264184737645', 'longitude': '-73.93365905220439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,STERLING PLACE,ST JOHNS PLACE,SCHENECTADY AVENUE,,,,,,,
58968223,2023-09-30T09:23:00.000,2023-10-02T12:07:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),10034,577 ISHAM STREET,ISHAM STREET,BROADWAY,COOPER ST,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-10-02T12:07:00.000,12 MANHATTAN,1022430001,MANHATTAN,1006423,255616,ONLINE,Unspecified,MANHATTAN,40.868253571269136,-73.91983180031762,"{'latitude': '40.868253571269136', 'longitude': '-73.91983180031762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,,,
58976800,2023-09-30T09:23:00.000,2023-09-30T11:05:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),10310,609 BARD AVENUE,BARD AVENUE,MORRISON AVE,PARSONS PL,ADDRESS,STATEN ISLAND,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T11:05:00.000,01 STATEN ISLAND,5002610085,STATEN ISLAND,955001,168255,ONLINE,Unspecified,STATEN ISLAND,40.62844935045972,-74.10537205101623,"{'latitude': '40.62844935045972', 'longitude': '-74.10537205101623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58969571,2023-09-30T09:23:00.000,2023-09-30T09:23:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),11209,335 78 STREET,78 STREET,3 AVE,4 AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-30T09:23:00.000,10 BROOKLYN,3059600069,BROOKLYN,976595,168454,ONLINE,Unspecified,BROOKLYN,40.62904054248751,-74.02757803735444,"{'latitude': '40.62904054248751', 'longitude': '-74.02757803735444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59453611,2023-09-30T09:22:37.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Electric,Power Outage,11224,2980 WEST   28 STREET,WEST   28 STREET,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,PHONE,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Building-Wide,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,,
59442503,2023-09-30T09:22:31.000,2023-10-08T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11220,5511 7 AVENUE,7 AVENUE,55 STREET,56 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-08T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,55 STREET,56 STREET,7 AVENUE,,,,,,,
59460910,2023-09-30T09:22:29.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,11218,102 ALBEMARLE ROAD,ALBEMARLE ROAD,MCDONALD AVENUE,EAST    2 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-04T00:00:00.000,12 BROOKLYN,3053340001,BROOKLYN,989898,174314,ONLINE,Unspecified,BROOKLYN,40.64512649981427,-73.97964751072021,"{'latitude': '40.64512649981427', 'longitude': '-73.97964751072021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Building-Wide,MCDONALD AVENUE,EAST    2 STREET,ALBEMARLE ROAD,,,,,,,
58971422,2023-09-30T09:22:12.000,2023-10-03T08:27:31.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10009,621 EAST    6 STREET,EAST    6 STREET,,,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-03T00:00:00.000,03 MANHATTAN,1003890050,MANHATTAN,989665,203054,PHONE,Unspecified,MANHATTAN,40.72401137476421,-73.98046402601221,"{'latitude': '40.72401137476421', 'longitude': '-73.98046402601221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58973870,2023-09-30T09:22:11.000,,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,10452,1304 MERRIAM AVENUE,MERRIAM AVENUE,,,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-30T00:00:00.000,04 BRONX,2025310001,BRONX,1004661,245514,PHONE,Unspecified,BRONX,40.840530851716316,-73.92623320252727,"{'latitude': '40.840530851716316', 'longitude': '-73.92623320252727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58971820,2023-09-30T09:22:03.000,2023-09-30T09:58:37.000,NYPD,New York City Police Department,Encampment,N/A,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-30T09:58:40.000,Unspecified MANHATTAN,,MANHATTAN,997988,240415,MOBILE,Unspecified,MANHATTAN,40.82654847063031,-73.95036033290124,"{'latitude': '40.82654847063031', 'longitude': '-73.95036033290124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Subway,,,,,1,1 Downtown,Platform,,,
58974273,2023-09-30T09:21:53.000,2023-10-02T15:13:11.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,11204,1832 64 STREET,64 STREET,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-30T21:52:40.000,11 BROOKLYN,3055470018,BROOKLYN,987368,164885,ONLINE,Unspecified,BROOKLYN,40.61924714352735,-73.98876868672629,"{'latitude': '40.61924714352735', 'longitude': '-73.98876868672629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,18 AVENUE,19 AVENUE,64 STREET,,,,,,,
58976195,2023-09-30T09:21:41.000,2023-10-01T17:50:34.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,11207,456 BRADFORD STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,05 BROOKLYN,3037920039,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58976239,2023-09-30T09:21:41.000,2023-10-01T11:15:25.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,11207,456 BRADFORD STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,05 BROOKLYN,3037920039,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58970383,2023-09-30T09:21:37.000,2023-10-06T00:17:53.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,11224,2827 WEST   15 STREET,WEST   15 STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,13 BROOKLYN,3070230067,BROOKLYN,988992,150000,PHONE,Unspecified,BROOKLYN,40.5783901111401,-73.98292934315275,"{'latitude': '40.5783901111401', 'longitude': '-73.98292934315275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58972647,2023-09-30T09:21:35.000,2023-10-01T15:14:22.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10472,1130 BEACH AVENUE,BEACH AVENUE,,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,09 BRONX,2037540021,BRONX,1021448,241179,MOBILE,Unspecified,BRONX,40.828577785278476,-73.86558791103944,"{'latitude': '40.828577785278476', 'longitude': '-73.86558791103944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58976340,2023-09-30T09:21:34.000,2023-10-14T14:22:38.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10035,1429 5 AVENUE,5 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-14T00:00:00.000,11 MANHATTAN,1016220073,MANHATTAN,999144,231107,PHONE,Unspecified,MANHATTAN,40.8009987401566,-73.94620400115934,"{'latitude': '40.8009987401566', 'longitude': '-73.94620400115934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58975039,2023-09-30T09:21:34.000,2023-10-14T14:22:39.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,10035,1429 5 AVENUE,5 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-14T00:00:00.000,11 MANHATTAN,1016220073,MANHATTAN,999144,231107,PHONE,Unspecified,MANHATTAN,40.8009987401566,-73.94620400115934,"{'latitude': '40.8009987401566', 'longitude': '-73.94620400115934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58973929,2023-09-30T09:21:34.000,2023-10-14T14:22:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10035,1429 5 AVENUE,5 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-14T00:00:00.000,11 MANHATTAN,1016220073,MANHATTAN,999144,231107,PHONE,Unspecified,MANHATTAN,40.8009987401566,-73.94620400115934,"{'latitude': '40.8009987401566', 'longitude': '-73.94620400115934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58977404,2023-09-30T09:21:33.000,2023-10-05T12:50:43.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,11360,12-02 BELL BOULEVARD,BELL BOULEVARD,,,ADDRESS,BAYSIDE,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,07 QUEENS,4058630002,QUEENS,1044246,226710,PHONE,Unspecified,QUEENS,40.788739069477344,-73.78333869245873,"{'latitude': '40.788739069477344', 'longitude': '-73.78333869245873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
59453957,2023-09-30T09:21:25.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,10009,621 EAST    6 STREET,EAST    6 STREET,AVENUE B,AVENUE C,ADDRESS,NEW YORK,Closed,,2023-10-03T00:00:00.000,03 MANHATTAN,1003890050,MANHATTAN,989665,203054,PHONE,Unspecified,MANHATTAN,40.72401137476421,-73.98046402601221,"{'latitude': '40.72401137476421', 'longitude': '-73.98046402601221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Building-Wide,AVENUE B,AVENUE C,EAST    6 STREET,,,,,,,
58971879,2023-09-30T09:21:24.000,2023-10-21T11:41:57.000,DSNY,Department of Sanitation,Missed Collection,Trash,10075,40 EAST   80 STREET,EAST   80 STREET,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-30T12:49:31.000,08 MANHATTAN,1014910048,MANHATTAN,994960,222313,ONLINE,Unspecified,MANHATTAN,40.776867634011325,-73.96133031146124,"{'latitude': '40.776867634011325', 'longitude': '-73.96133031146124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,MADISON AVENUE,PARK AVENUE,EAST   80 STREET,,,,,,,
58970645,2023-09-30T09:21:20.000,2023-10-03T13:11:52.000,DSNY,Department of Sanitation,Missed Collection,Trash,10308,24 EAST SCRANTON AVENUE,EAST SCRANTON AVENUE,ABINGDON AVENUE,ARMSTRONG AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-10-02T12:57:10.000,03 STATEN ISLAND,5054700028,STATEN ISLAND,940128,141388,ONLINE,Unspecified,STATEN ISLAND,40.554643353017994,-74.1587777800167,"{'latitude': '40.554643353017994', 'longitude': '-74.1587777800167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,ABINGDON AVENUE,ARMSTRONG AVENUE,EAST SCRANTON AVENUE,,,,,,,
58973271,2023-09-30T09:21:17.000,2023-09-30T11:27:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11414,80-10 155 AVENUE,155 AVENUE,80 STREET,81 STREET,ADDRESS,HOWARD BEACH,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T11:27:07.000,10 QUEENS,4114590001,QUEENS,1024874,181270,MOBILE,Unspecified,QUEENS,40.664127803919236,-73.8535702152046,"{'latitude': '40.664127803919236', 'longitude': '-73.8535702152046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,80 STREET,81 STREET,155 AVENUE,,,,,,,
59448985,2023-09-30T09:21:07.000,2023-09-30T11:05:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,10310,609 BARD AVENUE,BARD AVENUE,MORRISON AVENUE,PARSONS PLACE,ADDRESS,STATEN ISLAND,Closed,,2023-09-30T11:05:00.000,01 STATEN ISLAND,5002610085,STATEN ISLAND,955001,168255,ONLINE,Unspecified,STATEN ISLAND,40.62844935045972,-74.10537205101623,"{'latitude': '40.62844935045972', 'longitude': '-74.10537205101623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,MORRISON AVENUE,PARSONS PLACE,BARD AVENUE,,,,,,,
59453818,2023-09-30T09:21:04.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,05 BROOKLYN,3037920039,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,BLAKE AVENUE,DUMONT AVENUE,BRADFORD STREET,,,,,,,
59439533,2023-09-30T09:21:02.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Appliance,Electric/Gas Range,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,05 BROOKLYN,3037920039,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,BLAKE AVENUE,DUMONT AVENUE,BRADFORD STREET,,,,,,,
58976822,2023-09-30T09:20:41.000,2023-10-04T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,11210,561 EAST   28 STREET,EAST   28 STREET,,,ADDRESS,BROOKLYN,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-04T00:00:00.000,14 BROOKLYN,3052300019,BROOKLYN,998122,171406,UNKNOWN,Unspecified,BROOKLYN,40.63713560151648,-73.95001842498303,"{'latitude': '40.63713560151648', 'longitude': '-73.95001842498303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,,,
58973506,2023-09-30T09:20:34.000,2023-09-30T10:08:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11226,390 PARKSIDE AVENUE,PARKSIDE AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T10:08:53.000,09 BROOKLYN,3050550046,BROOKLYN,995907,178188,ONLINE,Unspecified,BROOKLYN,40.655753916351856,-73.95798747012316,"{'latitude': '40.655753916351856', 'longitude': '-73.95798747012316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,FLATBUSH AVENUE,BEDFORD AVENUE,PARKSIDE AVENUE,,,,,,,
58976499,2023-09-30T09:20:30.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11215,530 11 STREET,11 STREET,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,In Progress,,,06 BROOKLYN,3010960025,BROOKLYN,989408,181596,MOBILE,Unspecified,BROOKLYN,40.66511429556811,-73.98140764931937,"{'latitude': '40.66511429556811', 'longitude': '-73.98140764931937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Commercial Building,7 AVENUE,8 AVENUE,11 STREET,,,,,,,
58976709,2023-09-30T09:20:26.000,2023-09-30T11:36:40.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,11363,42-20 LITTLE NECK PARKWAY,LITTLE NECK PARKWAY,42 AVENUE,43 AVENUE,ADDRESS,LITTLE NECK,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-30T11:36:39.000,11 QUEENS,4081290037,QUEENS,1056745,220188,ONLINE,Unspecified,QUEENS,40.77074429242579,-73.73827213919083,"{'latitude': '40.77074429242579', 'longitude': '-73.73827213919083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,42 AVENUE,43 AVENUE,LITTLE NECK PARKWAY,,,,,,,
