unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58819859,2023-09-15T23:47:35.000,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11355,142-30 BARCLAY AVENUE,BARCLAY AVENUE,UNION STREET,BOWNE STREET,UNION STREET,BOWNE STREET,ADDRESS,FLUSHING,BARCLAY AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T00:03:29.000,07 QUEENS,4050470001,QUEENS,1032778,215736,ONLINE,Bowne Playground,QUEENS,40.7586887870978,-73.82483177581406,"{'latitude': '40.7586887870978', 'longitude': '-73.82483177581406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:03:25.000,,,,,,,
58820758,2023-09-15T23:47:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11414,102-16 159 ROAD,159 ROAD,102 STREET,COLEMAN SQUARE,102 STREET,COLEMAN SQUARE,ADDRESS,HOWARD BEACH,159 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T01:44:05.000,10 QUEENS,4141820092,QUEENS,1031204,179697,MOBILE,Unspecified,QUEENS,40.659778968085334,-73.83076464735382,"{'latitude': '40.659778968085334', 'longitude': '-73.83076464735382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T01:44:01.000,,,,,,,
58825605,2023-09-15T23:47:28.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10036,503 WEST   45 STREET,WEST   45 STREET,,,,,ADDRESS,NEW YORK,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,04 MANHATTAN,1010740029,MANHATTAN,985766,216804,UNKNOWN,Unspecified,MANHATTAN,40.76175322031365,-73.99452754968456,"{'latitude': '40.76175322031365', 'longitude': '-73.99452754968456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-11-14T07:29:10.000,,,,,
58821569,2023-09-15T23:47:10.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10033,400 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST  177 STREET,WEST  178 STREET,WEST  177 STREET,WEST  178 STREET,ADDRESS,NEW YORK,FORT WASHINGTON AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-15T23:48:33.000,12 MANHATTAN,1021760009,MANHATTAN,1001063,248426,ONLINE,Unspecified,MANHATTAN,40.848531019032,-73.93922932320457,"{'latitude': '40.848531019032', 'longitude': '-73.93922932320457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T23:48:29.000,,,,,,,
58826260,2023-09-15T23:47:08.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10169,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,EAST   45 STREET,EAST   46 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-16T01:44:35.000,05 MANHATTAN,1013000001,MANHATTAN,990913,214165,MOBILE,Unspecified,MANHATTAN,40.75450745921105,-73.97595054706579,"{'latitude': '40.75450745921105', 'longitude': '-73.97595054706579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58825854,2023-09-15T23:47:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10007,79 READE STREET,READE STREET,BROADWAY,CHURCH STREET,BROADWAY,CHURCH STREET,ADDRESS,NEW YORK,READE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:15:33.000,01 MANHATTAN,1001490012,MANHATTAN,982283,199850,MOBILE,Unspecified,MANHATTAN,40.71521860480116,-74.00709551084694,"{'latitude': '40.71521860480116', 'longitude': '-74.00709551084694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:15:30.000,,,,,,,
58819901,2023-09-15T23:47:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,626 EAST    4 STREET,EAST    4 STREET,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,EAST    4 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:09:39.000,12 BROOKLYN,3053870029,BROOKLYN,991121,171322,ONLINE,Unspecified,BROOKLYN,40.636913237106334,-73.97524349455655,"{'latitude': '40.636913237106334', 'longitude': '-73.97524349455655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:09:36.000,,,,,,,
58821877,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58821040,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:56.000,,,,,,,
58820034,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58820902,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58822657,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58824377,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58821023,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58821759,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58821017,2023-09-15T23:46:59.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11356,12-34 118 STREET,118 STREET,,,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,07 QUEENS,4040380047,QUEENS,1025898,225977,PHONE,Unspecified,QUEENS,40.78683269748622,-73.84960252347923,"{'latitude': '40.78683269748622', 'longitude': '-73.84960252347923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:45:57.000,,,,,,,
58820549,2023-09-15T23:46:47.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11237,132 GEORGE STREET,GEORGE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,GEORGE STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T00:55:49.000,04 BROOKLYN,3031580115,BROOKLYN,1003861,195632,ONLINE,Unspecified,BROOKLYN,40.70361968185208,-73.92927002167774,"{'latitude': '40.70361968185208', 'longitude': '-73.92927002167774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:55:46.000,,,,,,,
58825942,2023-09-15T23:46:34.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11211,231 SOUTH    3 STREET,SOUTH    3 STREET,ROEBLING STREET,HAVEMEYER STREET,ROEBLING STREET,HAVEMEYER STREET,ADDRESS,BROOKLYN,SOUTH    3 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:26:08.000,01 BROOKLYN,3024200030,BROOKLYN,995795,198316,MOBILE,Unspecified,BROOKLYN,40.7110008268698,-73.9583566383919,"{'latitude': '40.7110008268698', 'longitude': '-73.9583566383919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:26:03.000,,,,,,,
58821689,2023-09-15T23:46:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,939 ST MARKS AVENUE,ST MARKS AVENUE,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:35:28.000,08 BROOKLYN,3012230069,BROOKLYN,1000789,185089,MOBILE,Unspecified,BROOKLYN,40.67468785278818,-73.94037552353653,"{'latitude': '40.67468785278818', 'longitude': '-73.94037552353653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:35:23.000,,,,,,,
58825644,2023-09-15T23:46:19.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11206,851 FLUSHING AVENUE,FLUSHING AVENUE,GARDEN STREET,BUSHWICK AVENUE,GARDEN STREET,BUSHWICK AVENUE,ADDRESS,BROOKLYN,FLUSHING AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:25:48.000,01 BROOKLYN,3031290001,BROOKLYN,1001402,194899,MOBILE,Unspecified,BROOKLYN,40.70161287739715,-73.93814063340821,"{'latitude': '40.70161287739715', 'longitude': '-73.93814063340821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:25:43.000,,,,,,,
58822529,2023-09-15T23:46:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11372,37 AVENUE,37 AVENUE,76 STREET,EDGAR GARZON CORNER,76 STREET,EDGAR GARZON CORNER,BLOCKFACE,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:33:33.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,2023-09-16T00:33:30.000,,,,,,,
58824314,2023-09-15T23:46:08.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10013,129 LAFAYETTE STREET,LAFAYETTE STREET,CANAL STREET,HOWARD STREET,CANAL STREET,HOWARD STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:01:58.000,02 MANHATTAN,1002087501,MANHATTAN,984224,201190,ONLINE,Unspecified,MANHATTAN,40.718896802092594,-74.00009379433811,"{'latitude': '40.718896802092594', 'longitude': '-74.00009379433811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:01:51.000,,,,,,,
58820861,2023-09-15T23:46:08.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11220,9 AVENUE,9 AVENUE,9 AVENUE,45 STREET,9 AVENUE,45 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:17:33.000,12 BROOKLYN,,BROOKLYN,984640,173387,ONLINE,Unspecified,BROOKLYN,40.64258387667548,-73.99859469400046,"{'latitude': '40.64258387667548', 'longitude': '-73.99859469400046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:17:29.000,,,,,,,
58824139,2023-09-15T23:46:04.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11225,485 ROGERS AVENUE,ROGERS AVENUE,MAPLE STREET,MIDWOOD STREET,MAPLE STREET,MIDWOOD STREET,ADDRESS,BROOKLYN,ROGERS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:13:03.000,09 BROOKLYN,3050330006,BROOKLYN,997152,179867,ONLINE,Unspecified,BROOKLYN,40.66036067546284,-73.95349720354996,"{'latitude': '40.66036067546284', 'longitude': '-73.95349720354996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:12:57.000,,,,,,,
58824178,2023-09-15T23:45:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,112 EAST    7 STREET,EAST    7 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST    7 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-16T00:09:03.000,03 MANHATTAN,1004340020,MANHATTAN,988529,203951,ONLINE,Unspecified,MANHATTAN,40.726474044356756,-73.98456186119967,"{'latitude': '40.726474044356756', 'longitude': '-73.98456186119967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:08:58.000,,,,,,,
58822522,2023-09-15T23:45:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11218,392 EAST    7 STREET,EAST    7 STREET,BEVERLEY ROAD,AVENUE C,BEVERLEY ROAD,AVENUE C,ADDRESS,BROOKLYN,EAST    7 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:10:23.000,12 BROOKLYN,3053580028,BROOKLYN,991882,173257,MOBILE,Unspecified,BROOKLYN,40.642223774903364,-73.97249939055715,"{'latitude': '40.642223774903364', 'longitude': '-73.97249939055715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:10:20.000,,,,,,,
58825408,2023-09-15T23:45:57.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11420,115-96 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,ADDRESS,SOUTH OZONE PARK,LEFFERTS BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:50:42.000,10 QUEENS,4117110001,QUEENS,1034276,185068,ONLINE,Unspecified,QUEENS,40.674504313297085,-73.8196524742795,"{'latitude': '40.674504313297085', 'longitude': '-73.8196524742795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T02:50:19.000,,,,,,,
58831847,2023-09-15T23:45:48.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11237,1045 FLUSHING AVENUE,FLUSHING AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-08T00:00:00.000,01 BROOKLYN,3030120024,BROOKLYN,1003499,195773,UNKNOWN,Unspecified,BROOKLYN,40.704007488469614,-73.93057522474415,"{'latitude': '40.704007488469614', 'longitude': '-73.93057522474415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-08T00:00:00.000,N/A,,,,,,
58824241,2023-09-15T23:45:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468,86 WEST  188 STREET,WEST  188 STREET,AQUEDUCT AVENUE WEST,UNIVERSITY AVENUE,AQUEDUCT AVENUE WEST,UNIVERSITY AVENUE,ADDRESS,BRONX,WEST  188 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:08:08.000,07 BRONX,,BRONX,1010965,254149,MOBILE,Unspecified,BRONX,40.864214526604016,-73.90341570775817,"{'latitude': '40.864214526604016', 'longitude': '-73.90341570775817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:08:03.000,,,,,,,
58820299,2023-09-15T23:45:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11414,102-16 159 ROAD,159 ROAD,102 STREET,COLEMAN SQUARE,102 STREET,COLEMAN SQUARE,ADDRESS,HOWARD BEACH,159 ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T09:54:47.000,10 QUEENS,4141820092,QUEENS,1031204,179697,MOBILE,Unspecified,QUEENS,40.659778968085334,-73.83076464735382,"{'latitude': '40.659778968085334', 'longitude': '-73.83076464735382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T09:54:44.000,,,,,,,
58821695,2023-09-15T23:45:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,434 EAST   22 STREET,EAST   22 STREET,DEAD END,DITMAS AVENUE,DEAD END,DITMAS AVENUE,ADDRESS,BROOKLYN,EAST   22 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:12:04.000,14 BROOKLYN,3051850025,BROOKLYN,996097,172851,ONLINE,Unspecified,BROOKLYN,40.64110475707301,-73.95731207233645,"{'latitude': '40.64110475707301', 'longitude': '-73.95731207233645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:12:02.000,,,,,,,
58825665,2023-09-15T23:45:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10023,75 WEST END AVENUE,WEST END AVENUE,WEST END AVENUE,FREEDOM PLACE SOUTH,WEST END AVENUE,FREEDOM PLACE SOUTH,ADDRESS,NEW YORK,WEST END AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T00:24:14.000,07 MANHATTAN,1011710063,MANHATTAN,987231,221346,MOBILE,Unspecified,MANHATTAN,40.77421945878715,-73.9892371845004,"{'latitude': '40.77421945878715', 'longitude': '-73.9892371845004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:24:09.000,,,,,,,
58824179,2023-09-15T23:45:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,58-04 HOFFMAN DRIVE,HOFFMAN DRIVE,58 AVENUE,WOODHAVEN BOULEVARD,58 AVENUE,WOODHAVEN BOULEVARD,ADDRESS,ELMHURST,HOFFMAN DRIVE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:32:03.000,04 QUEENS,,QUEENS,1019462,206484,ONLINE,Unspecified,QUEENS,40.73335745376241,-73.87294599513886,"{'latitude': '40.73335745376241', 'longitude': '-73.87294599513886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:32:00.000,,,,,,,
58820768,2023-09-15T23:45:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11215,174A 8 STREET,8 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,8 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:38:13.000,06 BROOKLYN,3010030015,BROOKLYN,987117,183975,MOBILE,Unspecified,BROOKLYN,40.671645158381146,-73.98966469781986,"{'latitude': '40.671645158381146', 'longitude': '-73.98966469781986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:38:10.000,,,,,,,
58820789,2023-09-15T23:45:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,HOWARD STREET,HOWARD STREET,HOWARD STREET,LAFAYETTE STREET,HOWARD STREET,LAFAYETTE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:02:09.000,02 MANHATTAN,,MANHATTAN,984294,201298,ONLINE,Unspecified,MANHATTAN,40.71919323604425,-73.99984127041415,"{'latitude': '40.71919323604425', 'longitude': '-73.99984127041415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:02:05.000,,,,,,,
58822415,2023-09-15T23:45:27.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,WHITE STREET,BOGART STREET,ADDRESS,BROOKLYN,VARET STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T00:06:13.000,01 BROOKLYN,3031100032,BROOKLYN,1002480,195787,MOBILE,Unspecified,BROOKLYN,40.70404807317634,-73.93425038133091,"{'latitude': '40.70404807317634', 'longitude': '-73.93425038133091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:06:07.000,,,,,,,
58826194,2023-09-15T23:45:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,87-44 89 STREET,89 STREET,JAMAICA AVENUE,88 AVENUE,JAMAICA AVENUE,88 AVENUE,ADDRESS,WOODHAVEN,89 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T05:36:55.000,09 QUEENS,4089270026,QUEENS,1024366,191455,ONLINE,Unspecified,QUEENS,40.69208560332839,-73.85534067843842,"{'latitude': '40.69208560332839', 'longitude': '-73.85534067843842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T05:36:47.000,,,,,,,
58823727,2023-09-15T23:45:15.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11419,112-02 103 AVENUE,103 AVENUE,112 STREET,113 STREET,112 STREET,113 STREET,ADDRESS,SOUTH RICHMOND HILL,103 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T20:27:32.000,10 QUEENS,4095170001,QUEENS,1031192,189366,MOBILE,Unspecified,QUEENS,40.686318216417625,-73.83074056032031,"{'latitude': '40.686318216417625', 'longitude': '-73.83074056032031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T20:27:28.000,,,,,,,
58820855,2023-09-15T23:45:11.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10027,321 LENOX AVENUE,LENOX AVENUE,WEST  126 STREET,WEST  127 STREET,WEST  126 STREET,WEST  127 STREET,ADDRESS,NEW YORK,LENOX AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:05:58.000,10 MANHATTAN,1019110029,MANHATTAN,999493,233857,ONLINE,Unspecified,MANHATTAN,40.80854613684695,-73.94493719628682,"{'latitude': '40.80854613684695', 'longitude': '-73.94493719628682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:05:52.000,,,,,,,
58819996,2023-09-15T23:44:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,HOWARD STREET,HOWARD STREET,HOWARD STREET,LAFAYETTE STREET,HOWARD STREET,LAFAYETTE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:01:44.000,02 MANHATTAN,,MANHATTAN,984294,201298,PHONE,Unspecified,MANHATTAN,40.71919323604425,-73.99984127041415,"{'latitude': '40.71919323604425', 'longitude': '-73.99984127041415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:01:40.000,,,,,,,
