unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58794437,2023-09-12T16:24:09.000,2023-09-15T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10009,206 AVENUE B,AVENUE B,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-19T15:51:01.000,03 MANHATTAN,1004060034,MANHATTAN,990137,204673,UNKNOWN,Unspecified,MANHATTAN,40.72845483437754,-73.97875975111023,"{'latitude': '40.72845483437754', 'longitude': '-73.97875975111023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,2023-10-12T16:24:09.000,,,,,,
58794807,2023-09-12T16:24:09.000,2023-09-12T16:48:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10467,281 EAST  207 STREET,EAST  207 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,BAINBRIDGE AVENUE,PERRY AVENUE,ADDRESS,BRONX,EAST  207 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T16:48:05.000,07 BRONX,,BRONX,1018171,258296,ONLINE,Unspecified,BRONX,40.875572014834866,-73.87734247386298,"{'latitude': '40.875572014834866', 'longitude': '-73.87734247386298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789290,2023-09-12T16:24:03.000,2023-10-13T20:43:09.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,RESIDENTIAL BUILDING,10025,306 WEST  106 STREET,WEST  106 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,07 MANHATTAN,1018910060,MANHATTAN,992834,231397,ONLINE,Unspecified,MANHATTAN,40.801803093904006,-73.9689948694271,"{'latitude': '40.801803093904006', 'longitude': '-73.9689948694271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797979,2023-09-12T16:24:03.000,2023-10-13T20:43:08.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10025,306 WEST  106 STREET,WEST  106 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,07 MANHATTAN,1018910060,MANHATTAN,992834,231397,ONLINE,Unspecified,MANHATTAN,40.801803093904006,-73.9689948694271,"{'latitude': '40.801803093904006', 'longitude': '-73.9689948694271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58799002,2023-09-12T16:24:00.000,2023-09-13T09:15:00.000,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,10011,DE WITT CLINTON PARK,DE WITT CLINTON PARK,,,11 AVENUE,12 AVENUE,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-13T09:15:00.000,04 MANHATTAN,,MANHATTAN,982105,211819,UNKNOWN,Unspecified,MANHATTAN,40.74807053267775,-74.00774142151826,"{'latitude': '40.74807053267775', 'longitude': '-74.00774142151826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789125,2023-09-12T16:24:00.000,2023-09-12T17:24:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,1350 5 AVENUE,5 AVENUE,EAST  112 STREET,EAST  115 STREET,EAST  112 STREET,EAST  115 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T17:24:32.000,10 MANHATTAN,1015960001,MANHATTAN,998623,230180,ONLINE,Unspecified,MANHATTAN,40.79845524146068,-73.94808779746673,"{'latitude': '40.79845524146068', 'longitude': '-73.94808779746673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797468,2023-09-12T16:23:38.000,2023-09-14T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10009,202 AVENUE B,AVENUE B,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-19T15:51:01.000,03 MANHATTAN,1004060036,MANHATTAN,990117,204637,UNKNOWN,Unspecified,MANHATTAN,40.72835603645293,-73.97883194233502,"{'latitude': '40.72835603645293', 'longitude': '-73.97883194233502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,2023-10-12T16:23:38.000,,,,,,
58798865,2023-09-12T16:23:37.000,2023-09-12T16:43:41.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11222,KENT STREET,KENT STREET,KENT STREET,MCGUINNESS BOULEVARD,KENT STREET,MCGUINNESS BOULEVARD,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T16:43:45.000,01 BROOKLYN,,BROOKLYN,997614,205659,PHONE,Unspecified,BROOKLYN,40.73115302650646,-73.95178084060315,"{'latitude': '40.73115302650646', 'longitude': '-73.95178084060315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58792676,2023-09-12T16:23:37.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10009,430E EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   14 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-13T02:48:42.000,03 MANHATTAN,,MANHATTAN,989429,205543,MOBILE,Unspecified,MANHATTAN,40.730843214493405,-73.98131353975243,"{'latitude': '40.730843214493405', 'longitude': '-73.98131353975243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58799895,2023-09-12T16:23:23.000,2023-09-18T11:04:16.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11225,898 NOSTRAND AVENUE,NOSTRAND AVENUE,PRESIDENT STREET,CARROLL STREET,PRESIDENT STREET,CARROLL STREET,ADDRESS,BROOKLYN,NOSTRAND AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T12:48:42.000,09 BROOKLYN,3012820050,BROOKLYN,997915,182439,ONLINE,Unspecified,BROOKLYN,40.667419099987335,-73.9507419033343,"{'latitude': '40.667419099987335', 'longitude': '-73.9507419033343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789437,2023-09-12T16:23:02.000,2023-09-12T16:31:42.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T16:31:46.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58788740,2023-09-12T16:23:01.000,2023-09-12T17:09:39.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T17:09:42.000,Unspecified STATEN ISLAND,,STATEN ISLAND,,,PHONE,Unspecified,STATEN ISLAND,,,,,,,,,West Shore Expwy,Southbound/To OuterBr Cr,Ramp,Entrance West Shore Expwy/From SI Expwy Westbound
58797217,2023-09-12T16:23:00.000,2023-09-14T09:26:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11101,27-19 THOMSON AVENUE,THOMSON AVENUE,COURT SQ,44 DR,,,ADDRESS,LONG ISLAND CITY,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T09:26:00.000,02 QUEENS,0000000000,QUEENS,1000196,211180,ONLINE,Unspecified,QUEENS,40.74630252137764,-73.94245154301639,"{'latitude': '40.74630252137764', 'longitude': '-73.94245154301639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58795841,2023-09-12T16:23:00.000,,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11375,,,,,75 AVENUE,GRAND CENTRAL PARKWAY,INTERSECTION,QUEENS,,Open,,,06 QUEENS,,QUEENS,1029972,201505,PHONE,Unspecified,QUEENS,40.719643248849856,-73.8350571041813,"{'latitude': '40.719643248849856', 'longitude': '-73.8350571041813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58788629,2023-09-12T16:23:00.000,2023-09-12T19:00:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,10451,841 COURTLANDT AVENUE,COURTLANDT AVENUE,E 159 ST,E 160 ST,,,ADDRESS,BRONX,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-12T19:00:00.000,03 BRONX,2024190115,BRONX,1007489,239433,PHONE,Unspecified,BRONX,40.823833273402286,-73.91603368261354,"{'latitude': '40.823833273402286', 'longitude': '-73.91603368261354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58791520,2023-09-12T16:23:00.000,2023-09-28T12:00:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10465,837 WILCOX AVENUE,WILCOX AVENUE,PHILIP AVE,LAFAYETTE AVE,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-28T12:00:00.000,10 BRONX,2054730015,BRONX,1034645,242308,PHONE,Unspecified,BRONX,40.831611120632644,-73.81789321311642,"{'latitude': '40.831611120632644', 'longitude': '-73.81789321311642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58799142,2023-09-12T16:22:56.000,2023-09-12T17:26:31.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11249,1 NORTH    3 STREET,NORTH    3 STREET,DEAD END,RIVER STREET,DEAD END,RIVER STREET,ADDRESS,BROOKLYN,NORTH    3 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T17:26:36.000,01 BROOKLYN,3023487501,BROOKLYN,993892,201137,MOBILE,Unspecified,BROOKLYN,40.71874607550633,-73.96521680820914,"{'latitude': '40.71874607550633', 'longitude': '-73.96521680820914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58793995,2023-09-12T16:22:52.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,90-10 SOUTH CONDUIT AVENUE,SOUTH CONDUIT AVENUE,90 STREET,CROSS BAY BOULEVARD,90 STREET,CROSS BAY BOULEVARD,ADDRESS,HOWARD BEACH,SOUTH CONDUIT AVENUE,In Progress,,,10 QUEENS,4114220004,QUEENS,1027349,183059,ONLINE,Unspecified,QUEENS,40.6690265015627,-73.84463762373403,"{'latitude': '40.6690265015627', 'longitude': '-73.84463762373403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58795113,2023-09-12T16:22:51.000,2023-09-13T17:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11104,39 PLACE,39 PLACE,50 AVENUE,51 AVENUE,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-13T17:25:00.000,02 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,,,,
58791974,2023-09-12T16:22:50.000,2023-09-12T16:51:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,40 BLEECKER STREET,BLEECKER STREET,MOTT STREET,MULBERRY STREET,MOTT STREET,MULBERRY STREET,ADDRESS,NEW YORK,BLEECKER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T16:51:11.000,02 MANHATTAN,1005217506,MANHATTAN,985888,203680,ONLINE,Unspecified,MANHATTAN,40.72573109854704,-73.9940903507064,"{'latitude': '40.72573109854704', 'longitude': '-73.9940903507064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58791694,2023-09-12T16:22:49.000,2023-09-12T16:43:03.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T16:43:10.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58794428,2023-09-12T16:22:48.000,2023-09-15T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10314,96 QUINLAN AVENUE,QUINLAN AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-15T00:00:00.000,01 STATEN ISLAND,5007250062,STATEN ISLAND,948461,161468,UNKNOWN,Unspecified,STATEN ISLAND,40.60979645927768,-74.12889695687669,"{'latitude': '40.60979645927768', 'longitude': '-74.12889695687669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58798164,2023-09-12T16:22:31.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11217,58 ST MARKS PLACE,ST MARKS PLACE,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,ST MARKS PLACE,In Progress,"NYC Parks will inspect the site to determine if it is suitable for a new street tree, including a review of potential conflicts with other infrastructure. If the site is found to be suitable, a tree will be planted during the next available planting season. You may review recently completed and upcoming street tree plantings in your neighborhood by visiting the NYC Parks Tree Work Hub at nyc.gov/parks/treework.",2023-09-25T09:53:54.000,02 BROOKLYN,3003957503,BROOKLYN,989598,187789,ONLINE,Unspecified,BROOKLYN,40.68211257598457,-73.98071786801461,"{'latitude': '40.68211257598457', 'longitude': '-73.98071786801461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796684,2023-09-12T16:22:13.000,2023-09-14T14:47:37.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Park,11220,OWL'S HEAD PARK,OWL'S HEAD PARK,67 STREET,SENATOR STREET,67 STREET,SENATOR STREET,UNRECOGNIZED,BROOKLYN,OWLS HEAD PARK,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-14T14:47:41.000,10 BROOKLYN,3058320002,BROOKLYN,975273,172553,UNKNOWN,Unspecified,BROOKLYN,40.640290184865776,-74.03234615026558,"{'latitude': '40.640290184865776', 'longitude': '-74.03234615026558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58791674,2023-09-12T16:22:09.000,2023-09-12T19:46:03.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11226,222 EAST   18 STREET,EAST   18 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,EAST   18 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T19:46:08.000,14 BROOKLYN,3051210018,BROOKLYN,994686,174559,MOBILE,Unspecified,BROOKLYN,40.64579462421121,-73.96239364206963,"{'latitude': '40.64579462421121', 'longitude': '-73.96239364206963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796617,2023-09-12T16:22:06.000,2023-09-12T18:51:43.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11230,1609 AVENUE J,AVENUE J,EAST   16 STREET,EAST   17 STREET,EAST   16 STREET,EAST   17 STREET,ADDRESS,BROOKLYN,AVENUE J,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T18:51:48.000,14 BROOKLYN,3067090036,BROOKLYN,995279,167097,MOBILE,Unspecified,BROOKLYN,40.62531230503374,-73.96026894980733,"{'latitude': '40.62531230503374', 'longitude': '-73.96026894980733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797680,2023-09-12T16:22:00.000,2023-09-12T16:51:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,BLEECKER STREET,BLEECKER STREET,BLEECKER STREET,LAFAYETTE STREET,BLEECKER STREET,LAFAYETTE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T16:51:45.000,02 MANHATTAN,,MANHATTAN,985733,203753,ONLINE,Unspecified,MANHATTAN,40.725931493148025,-73.99464955051583,"{'latitude': '40.725931493148025', 'longitude': '-73.99464955051583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58792991,2023-09-12T16:22:00.000,,DOT,Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Damaged,,10024,BROADWAY MALLS,BROADWAY MALLS,110 ST W,135 ST W,,,PLACENAME,NEW YORK,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-12T07:49:00.000,07 MANHATTAN,1201469999,MANHATTAN,989945,225126,UNKNOWN,Unspecified,MANHATTAN,40.7845932276721,-73.97943516117546,"{'latitude': '40.7845932276721', 'longitude': '-73.97943516117546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790123,2023-09-12T16:21:55.000,2023-09-15T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10009,551 EAST   12 STREET,EAST   12 STREET,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-19T15:51:01.000,03 MANHATTAN,1004060039,MANHATTAN,989754,204725,UNKNOWN,Unspecified,MANHATTAN,40.72859780829231,-73.98014156946357,"{'latitude': '40.72859780829231', 'longitude': '-73.98014156946357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,2023-10-12T16:21:55.000,,,,,,
58790672,2023-09-12T16:21:27.000,2023-10-20T19:42:43.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10451,404 EAST  158 STREET,EAST  158 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,01 BRONX,2023790007,BRONX,1007902,238840,PHONE,Unspecified,BRONX,40.82220456093776,-73.91454353707742,"{'latitude': '40.82220456093776', 'longitude': '-73.91454353707742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789870,2023-09-12T16:21:22.000,2023-09-13T14:07:00.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11226,321 LINDEN BOULEVARD,LINDEN BOULEVARD,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T10:44:07.000,17 BROOKLYN,3048530080,BROOKLYN,998779,177100,ONLINE,Unspecified,BROOKLYN,40.65276334802596,-73.9476389553184,"{'latitude': '40.65276334802596', 'longitude': '-73.9476389553184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797279,2023-09-12T16:21:18.000,2023-09-12T16:33:04.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11213,280 UTICA AVENUE,UTICA AVENUE,EUDES PIERRE WAY,UNION STREET,EUDES PIERRE WAY,UNION STREET,ADDRESS,BROOKLYN,UTICA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T16:33:10.000,09 BROOKLYN,3013960040,BROOKLYN,1003347,182827,ONLINE,Unspecified,BROOKLYN,40.66847402277289,-73.9311601319321,"{'latitude': '40.66847402277289', 'longitude': '-73.9311601319321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796989,2023-09-12T16:21:07.000,2023-09-13T06:31:10.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11221,CEDAR STREET,CEDAR STREET,CEDAR STREET,MYRTLE AVENUE,CEDAR STREET,MYRTLE AVENUE,INTERSECTION,,,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-13T00:21:23.000,04 BROOKLYN,,BROOKLYN,1004753,193585,MOBILE,Unspecified,BROOKLYN,40.69799912591298,-73.92605912478892,"{'latitude': '40.69799912591298', 'longitude': '-73.92605912478892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58793604,2023-09-12T16:21:04.000,2023-09-18T11:45:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10012,264 ELIZABETH STREET,ELIZABETH STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,02 MANHATTAN,1005070019,MANHATTAN,986000,202992,PHONE,Unspecified,MANHATTAN,40.72384268405092,-73.99368645102732,"{'latitude': '40.72384268405092', 'longitude': '-73.99368645102732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58799263,2023-09-12T16:21:04.000,2023-11-03T13:33:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11212,227 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-03T00:00:00.000,16 BROOKLYN,3036170036,BROOKLYN,1010549,179136,PHONE,Unspecified,BROOKLYN,40.65832458640689,-73.90521315316944,"{'latitude': '40.65832458640689', 'longitude': '-73.90521315316944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58795074,2023-09-12T16:21:04.000,2023-09-20T18:58:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10035,2243 3 AVENUE,3 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,11 MANHATTAN,1017870001,MANHATTAN,1001651,231422,PHONE,Unspecified,MANHATTAN,40.80185874723422,-73.93714809375506,"{'latitude': '40.80185874723422', 'longitude': '-73.93714809375506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58795011,2023-09-12T16:21:03.000,2023-09-18T14:42:10.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10031,618 WEST  136 STREET,WEST  136 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,09 MANHATTAN,1020020091,MANHATTAN,996633,238410,ONLINE,Unspecified,MANHATTAN,40.82104731868181,-73.95526006866052,"{'latitude': '40.82104731868181', 'longitude': '-73.95526006866052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790406,2023-09-12T16:21:00.000,2023-09-13T08:20:00.000,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,10026,MORNINGSIDE PARK,MORNINGSIDE PARK,123 ST W,CENTRAL PARK N,,,PLACENAME,NEW YORK,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-13T08:20:00.000,09 MANHATTAN,1018500001,MANHATTAN,995757,232836,UNKNOWN,Unspecified,MANHATTAN,40.805749429987166,-73.95843462297886,"{'latitude': '40.805749429987166', 'longitude': '-73.95843462297886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58788742,2023-09-12T16:20:59.000,2023-09-14T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10009,186 AVENUE B,AVENUE B,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-09-19T15:51:01.000,03 MANHATTAN,1004050034,MANHATTAN,990008,204440,UNKNOWN,Unspecified,MANHATTAN,40.727815391140005,-73.97922538143229,"{'latitude': '40.727815391140005', 'longitude': '-73.97922538143229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,2023-10-12T16:20:59.000,,,,,,
58795168,2023-09-12T16:20:57.000,2023-09-12T17:12:10.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11433,107 AVENUE,107 AVENUE,107 AVENUE,154 STREET,107 AVENUE,154 STREET,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T17:12:15.000,12 QUEENS,,QUEENS,1039959,192662,PHONE,Unspecified,QUEENS,40.695314114732966,-73.79910210930784,"{'latitude': '40.695314114732966', 'longitude': '-73.79910210930784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58795469,2023-09-12T16:20:57.000,2023-11-09T11:05:04.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11201,275 JAY STREET,JAY STREET,TILLARY STREET,JOHNSON STREET,TILLARY STREET,JOHNSON STREET,ADDRESS,BROOKLYN,JAY STREET,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T11:05:07.000,02 BROOKLYN,3001310001,BROOKLYN,987825,192773,ONLINE,Unspecified,BROOKLYN,40.69579340397245,-73.98710774748696,"{'latitude': '40.69579340397245', 'longitude': '-73.98710774748696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"275 JAY STREET, BROOKLYN, NY, 11201",,,,,,,
