unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location
58830794,2023-09-16T23:28:23.000,2023-09-17T00:02:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,8-11 MEEHAN AVENUE,MEEHAN AVENUE,DEAD END,BEACH    9 STREET,DEAD END,BEACH    9 STREET,ADDRESS,FAR ROCKAWAY,MEEHAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:02:23.000,14 QUEENS,4155980611,QUEENS,1055247,157407,MOBILE,Unspecified,QUEENS,40.598437741777694,-73.74434183287251,"{'latitude': '40.598437741777694', 'longitude': '-73.74434183287251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831990,2023-09-16T23:28:21.000,2023-09-17T00:10:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11693,1622 CHANNEL ROAD,CHANNEL ROAD,EAST   16 ROAD,EAST   18 ROAD,EAST   16 ROAD,EAST   18 ROAD,ADDRESS,FAR ROCKAWAY,CHANNEL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:10:10.000,14 QUEENS,4154820037,QUEENS,1034389,158169,ONLINE,Unspecified,QUEENS,40.6006718191301,-73.819444981757,"{'latitude': '40.6006718191301', 'longitude': '-73.819444981757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828379,2023-09-16T23:28:05.000,2023-09-17T00:17:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,720 WEST  173 STREET,WEST  173 STREET,FORT WASHINGTON AVENUE,HAVEN AVENUE,FORT WASHINGTON AVENUE,HAVEN AVENUE,ADDRESS,NEW YORK,WEST  173 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T00:17:36.000,12 MANHATTAN,1021390316,MANHATTAN,1000536,247365,MOBILE,Unspecified,MANHATTAN,40.84561987489184,-73.9411367439112,"{'latitude': '40.84561987489184', 'longitude': '-73.9411367439112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832605,2023-09-16T23:28:03.000,2023-09-17T02:40:57.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10463,3900 ORLOFF AVENUE,ORLOFF AVENUE,CHARLES HALLEY PLACE,CANNON PLACE,CHARLES HALLEY PLACE,CANNON PLACE,ADDRESS,BRONX,ORLOFF AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T02:41:00.000,08 BRONX,2032630192,BRONX,1013174,261516,MOBILE,Unspecified,BRONX,40.88442769859243,-73.89539758413194,"{'latitude': '40.88442769859243', 'longitude': '-73.89539758413194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832546,2023-09-16T23:27:50.000,2023-09-27T20:28:38.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,400 EAST  187 STREET,EAST  187 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,06 BRONX,2030310040,BRONX,1013624,252148,ONLINE,Unspecified,BRONX,40.8587139413759,-73.89381124923521,"{'latitude': '40.8587139413759', 'longitude': '-73.89381124923521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829583,2023-09-16T23:27:49.000,2023-09-16T23:56:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,445 MONROE STREET,MONROE STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,MONROE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:56:05.000,03 BROOKLYN,3018160045,BROOKLYN,1000986,189478,ONLINE,Unspecified,BROOKLYN,40.686734288212335,-73.93965442206841,"{'latitude': '40.686734288212335', 'longitude': '-73.93965442206841', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828225,2023-09-16T23:27:44.000,2023-09-17T00:04:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,51-14 94 STREET,94 STREET,51 AVENUE,52 AVENUE,51 AVENUE,52 AVENUE,ADDRESS,ELMHURST,94 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:04:32.000,04 QUEENS,4018670036,QUEENS,1020498,209050,ONLINE,Unspecified,QUEENS,40.740396296456105,-73.86919401878653,"{'latitude': '40.740396296456105', 'longitude': '-73.86919401878653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832399,2023-09-16T23:27:44.000,2023-09-17T00:06:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10030,300 WEST  142 STREET,WEST  142 STREET,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,ADDRESS,NEW YORK,WEST  142 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:06:10.000,10 MANHATTAN,1020430018,MANHATTAN,999882,238392,ONLINE,Unspecified,MANHATTAN,40.82099276164245,-73.94352143653646,"{'latitude': '40.82099276164245', 'longitude': '-73.94352143653646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832128,2023-09-16T23:27:35.000,2023-09-17T00:29:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1136 COLGATE AVENUE,COLGATE AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,ADDRESS,BRONX,COLGATE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:29:46.000,09 BRONX,2037370018,BRONX,1017018,240509,ONLINE,Unspecified,BRONX,40.826756374519384,-73.88159862410618,"{'latitude': '40.826756374519384', 'longitude': '-73.88159862410618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830691,2023-09-16T23:27:34.000,2023-09-17T01:16:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,355 EAST  187 STREET,EAST  187 STREET,ELM PLACE,MARION AVENUE,ELM PLACE,MARION AVENUE,ADDRESS,BRONX,EAST  187 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:16:26.000,05 BRONX,2030220073,BRONX,1013268,252468,PHONE,Unspecified,BRONX,40.85959342197313,-73.89509682373193,"{'latitude': '40.85959342197313', 'longitude': '-73.89509682373193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836225,2023-09-16T23:27:34.000,2023-09-17T00:13:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11691,125 BEACH   17 STREET,BEACH   17 STREET,BOARDWALK,SEAGIRT BOULEVARD,BOARDWALK,SEAGIRT BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH   17 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:13:52.000,14 QUEENS,4156380001,QUEENS,1053344,155877,MOBILE,Unspecified,QUEENS,40.594253257596634,-73.75121009186816,"{'latitude': '40.594253257596634', 'longitude': '-73.75121009186816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834075,2023-09-16T23:27:28.000,2023-09-17T21:01:46.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11420,119-20 109 AVENUE,109 AVENUE,LEFFERTS BOULEVARD,120 STREET,LEFFERTS BOULEVARD,120 STREET,ADDRESS,SOUTH OZONE PARK,109 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T21:01:50.000,10 QUEENS,4116000005,QUEENS,1033635,187911,MOBILE,Unspecified,QUEENS,40.6823112879981,-73.8219424880881,"{'latitude': '40.6823112879981', 'longitude': '-73.8219424880881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830692,2023-09-16T23:27:12.000,2023-09-17T00:29:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,69-20 65 STREET,65 STREET,CATALPA AVENUE,SHALER AVENUE,CATALPA AVENUE,SHALER AVENUE,ADDRESS,RIDGEWOOD,65 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:29:47.000,05 QUEENS,4036350016,QUEENS,1014178,196027,MOBILE,Unspecified,QUEENS,40.704674983687866,-73.89205850763275,"{'latitude': '40.704674983687866', 'longitude': '-73.89205850763275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58826768,2023-09-16T23:27:12.000,2023-09-16T23:35:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:36:02.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58826970,2023-09-16T23:27:05.000,2023-09-16T23:55:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,432 EAST   13 STREET,EAST   13 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   13 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T23:55:52.000,03 MANHATTAN,1004400024,MANHATTAN,989173,205343,ONLINE,Unspecified,MANHATTAN,40.730294409657716,-73.98223736510921,"{'latitude': '40.730294409657716', 'longitude': '-73.98223736510921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830578,2023-09-16T23:27:03.000,2023-09-17T00:22:49.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11249,NORTH    7 STREET,NORTH    7 STREET,NORTH    7 STREET,WYTHE AVENUE,NORTH    7 STREET,WYTHE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:22:52.000,01 BROOKLYN,,BROOKLYN,995218,201420,ONLINE,Unspecified,BROOKLYN,40.719521297777675,-73.96043284712889,"{'latitude': '40.719521297777675', 'longitude': '-73.96043284712889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831086,2023-09-16T23:27:01.000,2023-09-17T00:10:25.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11211,951 GRAND STREET,GRAND STREET,CATHERINE STREET,MORGAN AVENUE,CATHERINE STREET,MORGAN AVENUE,ADDRESS,BROOKLYN,GRAND STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T00:10:30.000,01 BROOKLYN,3029240048,BROOKLYN,1001906,199054,PHONE,Unspecified,BROOKLYN,40.71301637641102,-73.93631204306541,"{'latitude': '40.71301637641102', 'longitude': '-73.93631204306541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829659,2023-09-16T23:26:56.000,2023-09-17T01:03:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,EAST  181 STREET,EAST  181 STREET,EAST  181 STREET,GRAND CONCOURSE,EAST  181 STREET,GRAND CONCOURSE,INTERSECTION,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T01:03:32.000,05 BRONX,,BRONX,1011399,250642,ONLINE,Unspecified,BRONX,40.854587547076186,-73.90186084855698,"{'latitude': '40.854587547076186', 'longitude': '-73.90186084855698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58827973,2023-09-16T23:26:55.000,2023-09-17T00:24:22.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11201,273 PACIFIC STREET,PACIFIC STREET,BOERUM PLACE,SMITH STREET,BOERUM PLACE,SMITH STREET,ADDRESS,BROOKLYN,PACIFIC STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:24:31.000,02 BROOKLYN,3001810028,BROOKLYN,987071,189965,ONLINE,Unspecified,BROOKLYN,40.688086364755684,-73.98982801660229,"{'latitude': '40.688086364755684', 'longitude': '-73.98982801660229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832375,2023-09-16T23:26:54.000,2023-09-17T01:33:53.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,786 CAULDWELL AVENUE,CAULDWELL AVENUE,EAST  156 STREET,EAST  158 STREET,EAST  156 STREET,EAST  158 STREET,ADDRESS,BRONX,CAULDWELL AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:33:56.000,01 BRONX,2026290046,BRONX,1009619,237933,MOBILE,Unspecified,BRONX,40.81971033902248,-73.90834331965644,"{'latitude': '40.81971033902248', 'longitude': '-73.90834331965644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833374,2023-09-16T23:26:46.000,2023-09-16T23:30:15.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11220,68 STREET,68 STREET,68 STREET,SHORE ROAD,68 STREET,SHORE ROAD,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:30:21.000,10 BROOKLYN,,BROOKLYN,974373,172361,ONLINE,Unspecified,BROOKLYN,40.639762228095435,-74.03558877129842,"{'latitude': '40.639762228095435', 'longitude': '-74.03558877129842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836060,2023-09-16T23:26:43.000,2023-09-17T00:39:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,528 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,LACOMBE AVENUE,RANDALL AVENUE,LACOMBE AVENUE,RANDALL AVENUE,ADDRESS,BRONX,COMMONWEALTH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:39:46.000,09 BRONX,2035200019,BRONX,1021780,236377,ONLINE,Unspecified,BRONX,40.815396264773455,-73.86441511393274,"{'latitude': '40.815396264773455', 'longitude': '-73.86441511393274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829927,2023-09-16T23:26:41.000,2023-09-17T03:18:08.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10471,BROADWAY,BROADWAY,BROADWAY,WEST  262 STREET,BROADWAY,WEST  262 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:18:11.000,08 BRONX,,BRONX,1012829,270906,PHONE,Unspecified,BRONX,40.910201355326016,-73.89660517807532,"{'latitude': '40.910201355326016', 'longitude': '-73.89660517807532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836065,2023-09-16T23:26:20.000,2023-09-17T01:14:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2337 BEAUMONT AVENUE,BEAUMONT AVENUE,EAST  183 STREET,EAST  187 STREET,EAST  183 STREET,EAST  187 STREET,ADDRESS,BRONX,BEAUMONT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:14:18.000,06 BRONX,2030890047,BRONX,1016071,250124,ONLINE,Unspecified,BRONX,40.85315018991847,-73.88497481689413,"{'latitude': '40.85315018991847', 'longitude': '-73.88497481689413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828025,2023-09-16T23:26:16.000,2023-09-17T01:41:54.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10452,SEDGWICK AVENUE,SEDGWICK AVENUE,SEDGWICK AVENUE,UNIVERSITY AVENUE,SEDGWICK AVENUE,UNIVERSITY AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T01:41:59.000,04 BRONX,,BRONX,1003178,242520,PHONE,Unspecified,BRONX,40.83231649412584,-73.93160131614948,"{'latitude': '40.83231649412584', 'longitude': '-73.93160131614948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828266,2023-09-16T23:26:14.000,2023-09-17T00:03:24.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,261 HUDSON STREET,HUDSON STREET,BROOME STREET,DOMINICK STREET,BROOME STREET,DOMINICK STREET,ADDRESS,NEW YORK,HUDSON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:03:30.000,02 MANHATTAN,1005947511,MANHATTAN,982107,203384,ONLINE,Unspecified,MANHATTAN,40.724918542508895,-74.00773151650152,"{'latitude': '40.724918542508895', 'longitude': '-74.00773151650152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836016,2023-09-16T23:26:04.000,2023-09-16T23:53:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11692,532 BEACH   64 STREET,BEACH   64 STREET,THURSBY AVENUE,ALMEDA AVENUE,THURSBY AVENUE,ALMEDA AVENUE,ADDRESS,ARVERNE,BEACH   64 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:53:07.000,14 QUEENS,4160300015,QUEENS,1041587,156442,ONLINE,Unspecified,QUEENS,40.59588792020013,-73.79353908862726,"{'latitude': '40.59588792020013', 'longitude': '-73.79353908862726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828642,2023-09-16T23:25:57.000,2023-09-17T08:44:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11372,35-54 80 STREET,80 STREET,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,JACKSON HEIGHTS,80 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T08:44:24.000,03 QUEENS,4012790030,QUEENS,1015701,212985,MOBILE,Unspecified,QUEENS,40.7512152361781,-73.8864862426122,"{'latitude': '40.7512152361781', 'longitude': '-73.8864862426122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58835005,2023-09-16T23:25:55.000,2023-09-16T23:58:25.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11229,3074 GERRITSEN AVENUE,GERRITSEN AVENUE,LOIS AVENUE,DEAD END,LOIS AVENUE,DEAD END,ADDRESS,BROOKLYN,GERRITSEN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:58:32.000,15 BROOKLYN,3088451926,BROOKLYN,1006859,153133,MOBILE,Unspecified,BROOKLYN,40.586962010220994,-73.9185997314897,"{'latitude': '40.586962010220994', 'longitude': '-73.9185997314897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834750,2023-09-16T23:25:48.000,2023-09-16T23:35:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:36:02.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58835672,2023-09-16T23:25:18.000,2023-09-16T23:42:06.000,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,10023,175 WEST   73 STREET,WEST   73 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   73 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T23:42:10.000,07 MANHATTAN,1011450001,MANHATTAN,989729,223057,ONLINE,Unspecified,MANHATTAN,40.778914508157946,-73.9802168318201,"{'latitude': '40.778914508157946', 'longitude': '-73.9802168318201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832475,2023-09-16T23:25:12.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11226,341 EAST   19 STREET,EAST   19 STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-16T00:00:00.000,14 BROOKLYN,3051620056,BROOKLYN,995159,173178,PHONE,Unspecified,BROOKLYN,40.642003506826605,-73.96069140943182,"{'latitude': '40.642003506826605', 'longitude': '-73.96069140943182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828313,2023-09-16T23:25:11.000,2023-09-17T00:06:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,155 SOUTH    4 STREET,SOUTH    4 STREET,BEDFORD AVENUE,DRIGGS AVENUE,BEDFORD AVENUE,DRIGGS AVENUE,ADDRESS,BROOKLYN,SOUTH    4 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T00:06:50.000,01 BROOKLYN,3024310031,BROOKLYN,994785,198523,PHONE,Unspecified,BROOKLYN,40.71157025286253,-73.96199943182411,"{'latitude': '40.71157025286253', 'longitude': '-73.96199943182411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829348,2023-09-16T23:25:04.000,2023-09-17T01:46:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,615 EAST  179 STREET,EAST  179 STREET,ARTHUR AVENUE,HUGHES AVENUE,ARTHUR AVENUE,HUGHES AVENUE,ADDRESS,BRONX,EAST  179 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:46:49.000,06 BRONX,2030690103,BRONX,1014137,248169,MOBILE,Unspecified,BRONX,40.847791056402926,-73.89197446453723,"{'latitude': '40.847791056402926', 'longitude': '-73.89197446453723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832381,2023-09-16T23:25:02.000,2023-09-16T23:29:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,107 ELDRIDGE STREET,ELDRIDGE STREET,GRAND STREET,BROOME STREET,GRAND STREET,BROOME STREET,ADDRESS,NEW YORK,ELDRIDGE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:29:41.000,03 MANHATTAN,1004180048,MANHATTAN,986462,200889,ONLINE,Unspecified,MANHATTAN,40.71807035293164,-73.992020365249,"{'latitude': '40.71807035293164', 'longitude': '-73.992020365249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834746,2023-09-16T23:24:53.000,2023-09-17T00:22:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,41-11 GLEANE STREET,GLEANE STREET,BRITTON AVENUE,ELMHURST AVENUE,BRITTON AVENUE,ELMHURST AVENUE,ADDRESS,ELMHURST,GLEANE STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-17T00:22:10.000,04 QUEENS,4015130058,QUEENS,1017704,211163,ONLINE,Unspecified,QUEENS,40.74620695858645,-73.87926603603402,"{'latitude': '40.74620695858645', 'longitude': '-73.87926603603402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829267,2023-09-16T23:24:47.000,2023-09-16T23:55:20.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11225,510 FLATBUSH AVENUE,FLATBUSH AVENUE,EMPIRE BOULEVARD,LEFFERTS AVENUE,EMPIRE BOULEVARD,LEFFERTS AVENUE,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:55:22.000,09 BROOKLYN,3050240053,BROOKLYN,994920,180403,MOBILE,Unspecified,BROOKLYN,40.66183484805751,-73.96154117220703,"{'latitude': '40.66183484805751', 'longitude': '-73.96154117220703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836118,2023-09-16T23:24:47.000,2023-09-17T01:21:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2829 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  197 STREET,WEST  229 STREET,WEST  197 STREET,WEST  229 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-17T01:21:06.000,08 BRONX,2032530099,BRONX,1011365,257383,MOBILE,Unspecified,BRONX,40.87308964533921,-73.90195647932322,"{'latitude': '40.87308964533921', 'longitude': '-73.90195647932322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831064,2023-09-16T23:24:45.000,2023-09-16T23:37:33.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10040,76 THAYER STREET,THAYER STREET,SHERMAN AVENUE,BROADWAY,SHERMAN AVENUE,BROADWAY,ADDRESS,NEW YORK,THAYER STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T23:37:36.000,12 MANHATTAN,1021750180,MANHATTAN,1004323,254067,MOBILE,Unspecified,MANHATTAN,40.86400706336896,-73.92742914920696,"{'latitude': '40.86400706336896', 'longitude': '-73.92742914920696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834624,2023-09-16T23:24:37.000,2023-09-16T23:59:07.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,48-28 BROADWAY,BROADWAY,48 STREET,NEWTOWN ROAD,48 STREET,NEWTOWN ROAD,ADDRESS,ASTORIA,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:59:12.000,01 QUEENS,,QUEENS,1008502,214680,ONLINE,Unspecified,QUEENS,40.75589025375375,-73.91246292510448,"{'latitude': '40.75589025375375', 'longitude': '-73.91246292510448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
