unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,vehicle_type,bridge_highway_direction
58869695,2023-09-19T20:54:37.000,2023-09-26T12:19:00.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10452,1131 OGDEN AVENUE,OGDEN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,04 BRONX,2025260090,BRONX,1004313,243967,PHONE,Unspecified,BRONX,40.83628558491302,-73.9274955262169,"{'latitude': '40.83628558491302', 'longitude': '-73.9274955262169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862060,2023-09-19T20:54:36.000,2023-09-20T20:08:02.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11213,921 MONTGOMERY STREET,MONTGOMERY STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,09 BROOKLYN,3014190001,BROOKLYN,1002590,181372,PHONE,Unspecified,BROOKLYN,40.66448197292001,-73.93389288311353,"{'latitude': '40.66448197292001', 'longitude': '-73.93389288311353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867659,2023-09-19T20:54:32.000,2023-09-19T21:05:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10025,114 WEST  109 STREET,WEST  109 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  109 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T21:05:18.000,07 MANHATTAN,1018630043,MANHATTAN,994723,231275,ONLINE,Unspecified,MANHATTAN,40.801466200250566,-73.96217205354405,"{'latitude': '40.801466200250566', 'longitude': '-73.96217205354405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867251,2023-09-19T20:54:26.000,2023-09-19T22:26:06.000,NYPD,New York City Police Department,Bike/Roller/Skate Chronic,N/A,Residential Building/House,11201,1 CLINTON STREET,CLINTON STREET,,PIERREPONT STREET,,PIERREPONT STREET,ADDRESS,BROOKLYN,CLINTON STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T22:26:08.000,02 BROOKLYN,3002397501,BROOKLYN,986644,192904,ONLINE,Unspecified,BROOKLYN,40.69615336682547,-73.99136665200248,"{'latitude': '40.69615336682547', 'longitude': '-73.99136665200248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867664,2023-09-19T20:53:23.000,2023-09-19T21:17:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10040,900 WEST  190 STREET,WEST  190 STREET,FORT WASHINGTON AVENUE,CABRINI BOULEVARD,FORT WASHINGTON AVENUE,CABRINI BOULEVARD,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:17:38.000,12 MANHATTAN,1021790373,MANHATTAN,1002023,251562,ONLINE,Unspecified,MANHATTAN,40.85713652443127,-73.93575108556061,"{'latitude': '40.85713652443127', 'longitude': '-73.93575108556061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58868251,2023-09-19T20:53:09.000,2023-11-16T12:48:08.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Street,11101,34-03 48 STREET,48 STREET,NORTHERN BOULEVARD,37 AVENUE,NORTHERN BOULEVARD,37 AVENUE,ADDRESS,LONG ISLAND CITY,48 STREET,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-16T12:48:10.000,01 QUEENS,4001200012,QUEENS,1007869,213739,PHONE,Unspecified,QUEENS,40.753309162695416,-73.91475102905962,"{'latitude': '40.753309162695416', 'longitude': '-73.91475102905962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,"34-03 48 STREET, QUEENS (LONG ISLAND CITY), NY, 11101",Car Service,
58858850,2023-09-19T20:53:05.000,2023-09-20T03:31:09.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10033,4261 BROADWAY,BROADWAY,WEST  181 STREET,WEST  182 STREET,WEST  181 STREET,WEST  182 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Department of Sanitation cleaned the location.,2023-09-20T03:31:14.000,12 MANHATTAN,1021800087,MANHATTAN,1002035,249057,ONLINE,Unspecified,MANHATTAN,40.85026102272441,-73.93571435153375,"{'latitude': '40.85026102272441', 'longitude': '-73.93571435153375', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58860240,2023-09-19T20:53:02.000,2023-09-19T21:33:33.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10456,251 EAST  164 STREET,EAST  164 STREET,GRANT AVENUE,MORRIS AVENUE,GRANT AVENUE,MORRIS AVENUE,ADDRESS,BRONX,EAST  164 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T21:33:37.000,04 BRONX,2024470036,BRONX,1007037,241210,ONLINE,Unspecified,BRONX,40.82871180780607,-73.91766079656004,"{'latitude': '40.82871180780607', 'longitude': '-73.91766079656004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859108,2023-09-19T20:53:00.000,2023-09-29T11:25:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11216,395 NOSTRAND AVENUE,NOSTRAND AVENUE,MADISON ST,PUTNAM AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) closed your Service Request because it didn't include enough dog owner location information to respond to the complaint.  If the excessive dog barking continues, please file a new Service Request. You must include an NYC address for the dog's owner so DEP can send them a letter.",2023-09-29T11:25:00.000,03 BROOKLYN,3018230003,BROOKLYN,998024,188568,ONLINE,Unspecified,BROOKLYN,40.68424165181499,-73.95033646636497,"{'latitude': '40.68424165181499', 'longitude': '-73.95033646636497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58863842,2023-09-19T20:52:52.000,2023-09-19T21:04:54.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10025,420 RIVERSIDE DRIVE,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,RIVERSIDE DRIVE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T21:04:58.000,09 MANHATTAN,1018960001,MANHATTAN,993589,233441,MOBILE,Unspecified,MANHATTAN,40.80741254550534,-73.96626499083585,"{'latitude': '40.80741254550534', 'longitude': '-73.96626499083585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869179,2023-09-19T20:52:48.000,2023-09-19T21:31:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10025,AMSTERDAM AVENUE,AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  109 STREET,AMSTERDAM AVENUE,WEST  109 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:31:29.000,07 MANHATTAN,,MANHATTAN,994133,231605,PHONE,Unspecified,MANHATTAN,40.80237263940891,-73.9643026177316,"{'latitude': '40.80237263940891', 'longitude': '-73.9643026177316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58861843,2023-09-19T20:52:44.000,2023-09-19T21:14:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,29 WADSWORTH AVENUE,WADSWORTH AVENUE,WEST  174 STREET,WEST  175 STREET,WEST  174 STREET,WEST  175 STREET,ADDRESS,NEW YORK,WADSWORTH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:14:53.000,12 MANHATTAN,1021430044,MANHATTAN,1001402,247375,MOBILE,Unspecified,MANHATTAN,40.8456456822504,-73.93800669480387,"{'latitude': '40.8456456822504', 'longitude': '-73.93800669480387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58879791,2023-09-19T20:52:31.000,2023-09-20T00:00:00.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11235,200 CORBIN PLACE,CORBIN PLACE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,13 BROOKLYN,3087237501,BROOKLYN,997039,149584,UNKNOWN,Unspecified,BROOKLYN,40.577240316728215,-73.95396185558211,"{'latitude': '40.577240316728215', 'longitude': '-73.95396185558211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859871,2023-09-19T20:52:28.000,2023-09-19T21:36:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,1076 FOX STREET,FOX STREET,EAST  165 STREET,EAST  167 STREET,EAST  165 STREET,EAST  167 STREET,ADDRESS,BRONX,FOX STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:36:34.000,02 BRONX,2027260025,BRONX,1013624,240101,MOBILE,Unspecified,BRONX,40.82564847087136,-73.89386401671986,"{'latitude': '40.82564847087136', 'longitude': '-73.89386401671986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58868338,2023-09-19T20:52:27.000,2023-09-25T13:30:37.000,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11218,424 GREENWOOD AVENUE,GREENWOOD AVENUE,EAST    4 STREET,EAST    5 STREET,EAST    4 STREET,EAST    5 STREET,ADDRESS,BROOKLYN,GREENWOOD AVENUE,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-25T13:30:43.000,07 BROOKLYN,3052830037,BROOKLYN,990479,176358,PHONE,Unspecified,BROOKLYN,40.6507364475938,-73.97755199788762,"{'latitude': '40.6507364475938', 'longitude': '-73.97755199788762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58861971,2023-09-19T20:52:24.000,2023-10-06T19:38:37.000,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,11226,185 ERASMUS STREET,ERASMUS STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,17 BROOKLYN,3051050043,BROOKLYN,998197,176012,PHONE,Unspecified,BROOKLYN,40.649777960914705,-73.94973867371624,"{'latitude': '40.649777960914705', 'longitude': '-73.94973867371624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864005,2023-09-19T20:52:24.000,2023-10-06T19:38:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11226,185 ERASMUS STREET,ERASMUS STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,17 BROOKLYN,3051050043,BROOKLYN,998197,176012,PHONE,Unspecified,BROOKLYN,40.649777960914705,-73.94973867371624,"{'latitude': '40.649777960914705', 'longitude': '-73.94973867371624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869724,2023-09-19T20:52:24.000,2023-10-06T19:38:38.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11226,185 ERASMUS STREET,ERASMUS STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,17 BROOKLYN,3051050043,BROOKLYN,998197,176012,PHONE,Unspecified,BROOKLYN,40.649777960914705,-73.94973867371624,"{'latitude': '40.649777960914705', 'longitude': '-73.94973867371624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869408,2023-09-19T20:52:17.000,2023-09-19T20:55:41.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,233 LANDING ROAD,LANDING ROAD,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,ADDRESS,BRONX,LANDING ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T20:55:46.000,07 BRONX,2032367501,BRONX,1008841,253488,ONLINE,Unspecified,BRONX,40.86240645467484,-73.91109714827905,"{'latitude': '40.86240645467484', 'longitude': '-73.91109714827905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58868065,2023-09-19T20:52:09.000,2023-09-20T10:17:48.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10468,2784 CLAFLIN AVENUE,CLAFLIN AVENUE,WEST  195 STREET,WEST  197 STREET,WEST  195 STREET,WEST  197 STREET,ADDRESS,BRONX,CLAFLIN AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T10:17:52.000,08 BRONX,2032490077,BRONX,1011821,256689,PHONE,Unspecified,BRONX,40.87118341676997,-73.90031051317278,"{'latitude': '40.87118341676997', 'longitude': '-73.90031051317278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864887,2023-09-19T20:52:01.000,2023-09-19T22:27:18.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11375,105-20 GERARD PLACE,GERARD PLACE,69 ROAD,YELLOWSTONE BOULEVARD,69 ROAD,YELLOWSTONE BOULEVARD,ADDRESS,FOREST HILLS,GERARD PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T22:27:23.000,06 QUEENS,4032360022,QUEENS,1026361,202406,ONLINE,Unspecified,QUEENS,40.72213419854639,-73.84807818391943,"{'latitude': '40.72213419854639', 'longitude': '-73.84807818391943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857277,2023-09-19T20:51:39.000,2023-09-20T01:58:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,70-39 57 ROAD,57 ROAD,71 STREET,DEAD END,71 STREET,DEAD END,ADDRESS,MASPETH,57 ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T01:58:32.000,05 QUEENS,4027970143,QUEENS,1014273,204249,ONLINE,Unspecified,QUEENS,40.727242066149444,-73.89167920104948,"{'latitude': '40.727242066149444', 'longitude': '-73.89167920104948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856045,2023-09-19T20:51:35.000,2023-09-19T21:04:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,25 CENTRAL ROAD,CENTRAL ROAD,REILLY BOULEVARD,BEND,REILLY BOULEVARD,BEND,ADDRESS,NEW YORK,CENTRAL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:04:36.000,11 MANHATTAN,1018190203,MANHATTAN,1006125,228643,MOBILE,Unspecified,MANHATTAN,40.7942212081307,-73.92099719649754,"{'latitude': '40.7942212081307', 'longitude': '-73.92099719649754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858097,2023-09-19T20:51:26.000,2023-09-20T20:26:03.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,530 EAST  169 STREET,EAST  169 STREET,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-20T00:00:00.000,03 BRONX,2026100012,BRONX,1010629,242635,ONLINE,Unspecified,BRONX,40.83261302416413,-73.90467576630016,"{'latitude': '40.83261302416413', 'longitude': '-73.90467576630016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858477,2023-09-19T20:51:17.000,2023-09-19T20:51:17.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11228,873 72 STREET,72 STREET,8 AVENUE,FORT HAMILTON PARKWAY,8 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,72 STREET,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T20:51:17.000,10 BROOKLYN,3059010154,BROOKLYN,980067,167977,PHONE,Unspecified,BROOKLYN,40.62773359783534,-74.01506945393918,"{'latitude': '40.62773359783534', 'longitude': '-74.01506945393918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859700,2023-09-19T20:50:56.000,2023-09-19T20:59:56.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,2645 BRIGGS AVENUE,BRIGGS AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T20:59:59.000,07 BRONX,2033000001,BRONX,1013985,254569,MOBILE,Unspecified,BRONX,40.86535764249122,-73.892495473103,"{'latitude': '40.86535764249122', 'longitude': '-73.892495473103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858899,2023-09-19T20:50:55.000,2023-09-21T13:25:57.000,DSNY,Department of Sanitation,Illegal Posting,Poster or Sign,Sidewalk,11385,676 SENECA AVENUE,SENECA AVENUE,GATES AVENUE,PALMETTO STREET,GATES AVENUE,PALMETTO STREET,ADDRESS,RIDGEWOOD,SENECA AVENUE,Closed,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,2023-09-21T13:26:01.000,05 QUEENS,4034530027,QUEENS,1009668,195476,ONLINE,Unspecified,QUEENS,40.70317672355166,-73.90832681780273,"{'latitude': '40.70317672355166', 'longitude': '-73.90832681780273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58866549,2023-09-19T20:50:41.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Highway,11369,LA GUARDIA AIRPORT,LA GUARDIA AIRPORT,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,UNRECOGNIZED,EAST ELMHURST,LA GUARDIA AIRPORT,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T11:25:28.000,80 QUEENS,4009260001,QUEENS,1018236,221443,ONLINE,Unspecified,QUEENS,40.77442086598845,-73.87729410513894,"{'latitude': '40.77442086598845', 'longitude': '-73.87729410513894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Grand Central Pkwy,Roadway,69 Rd. Jewel Ave. (Exit 11 W-E) - 78 Ave Queens Blvd (NY 25) (Exit 12),"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,East/Long Island Bound
58867112,2023-09-19T20:50:26.000,2023-09-20T01:14:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11364,209 STREET,209 STREET,209 STREET,RICHLAND AVENUE,209 STREET,RICHLAND AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T01:14:16.000,11 QUEENS,,QUEENS,1050071,207049,MOBILE,Unspecified,QUEENS,40.734733413487426,-73.76249569295307,"{'latitude': '40.734733413487426', 'longitude': '-73.76249569295307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865511,2023-09-19T20:50:22.000,2023-09-19T21:31:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10303,275 VAN PELT AVENUE,VAN PELT AVENUE,MONTANA COURT,NETHERLAND AVENUE,MONTANA COURT,NETHERLAND AVENUE,ADDRESS,STATEN ISLAND,VAN PELT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:32:02.000,01 STATEN ISLAND,5011960008,STATEN ISLAND,941103,168582,ONLINE,Unspecified,STATEN ISLAND,40.62929010542898,-74.15544279975153,"{'latitude': '40.62929010542898', 'longitude': '-74.15544279975153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858400,2023-09-19T20:50:21.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11234,2060 EAST   67 STREET,EAST   67 STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,EAST   67 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-18T10:53:00.000,18 BROOKLYN,3084080102,BROOKLYN,1008950,164611,ONLINE,Unspecified,BROOKLYN,40.6184611894904,-73.91102943606126,"{'latitude': '40.6184611894904', 'longitude': '-73.91102943606126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857012,2023-09-19T20:50:13.000,2023-09-19T21:05:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10023,WEST   59 STREET,WEST   59 STREET,WEST   59 STREET,COLUMBUS AVENUE,WEST   59 STREET,COLUMBUS AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T21:05:16.000,04 MANHATTAN,,MANHATTAN,988470,219527,ONLINE,Unspecified,MANHATTAN,40.76922627408269,-73.98476495262703,"{'latitude': '40.76922627408269', 'longitude': '-73.98476495262703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869455,2023-09-19T20:50:02.000,2023-09-19T21:17:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11694,150 BEACH  115 STREET,BEACH  115 STREET,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH  115 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:17:08.000,14 QUEENS,4161870057,QUEENS,1029889,150310,ONLINE,Unspecified,QUEENS,40.579124790193184,-73.83570292500706,"{'latitude': '40.579124790193184', 'longitude': '-73.83570292500706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857189,2023-09-19T20:50:00.000,2023-09-20T18:08:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,10469,2460 WILSON AVENUE,WILSON AVENUE,WARING AVE,MACE AVE,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-20T18:08:00.000,11 BRONX,2044660026,BRONX,1025969,253395,ONLINE,Unspecified,BRONX,40.86208687025509,-73.8491756559915,"{'latitude': '40.86208687025509', 'longitude': '-73.8491756559915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58857768,2023-09-19T20:49:47.000,2023-09-19T21:04:19.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10025,RIVERSIDE PARK,RIVERSIDE PARK,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,UNRECOGNIZED,NEW YORK,RIVERSIDE PARK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T21:04:22.000,07 MANHATTAN,1012540002,MANHATTAN,991626,230829,PHONE,Riverside Park,MANHATTAN,40.800245180318555,-73.97335875005403,"{'latitude': '40.800245180318555', 'longitude': '-73.97335875005403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865553,2023-09-19T20:49:42.000,2023-09-19T21:20:03.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,432 BARBEY STREET,BARBEY STREET,PITKIN AVENUE,BELMONT AVENUE,PITKIN AVENUE,BELMONT AVENUE,ADDRESS,BROOKLYN,BARBEY STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T21:20:07.000,05 BROOKLYN,3040120027,BROOKLYN,1015486,184208,MOBILE,Unspecified,BROOKLYN,40.67223004965844,-73.88739573834482,"{'latitude': '40.67223004965844', 'longitude': '-73.88739573834482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58863785,2023-09-19T20:49:34.000,2023-09-19T21:06:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,5709 19 AVENUE,19 AVENUE,55 STREET,58 STREET,55 STREET,58 STREET,ADDRESS,BROOKLYN,19 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:06:31.000,12 BROOKLYN,3055060006,BROOKLYN,988836,165975,ONLINE,Unspecified,BROOKLYN,40.622238328097545,-73.98348007983238,"{'latitude': '40.622238328097545', 'longitude': '-73.98348007983238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
