unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location
58902200,2023-09-22T07:36:20.000,2023-09-24T17:10:39.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11216,30 MAC DONOUGH STREET,MAC DONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BROOKLYN,3018540014,BROOKLYN,999487,187334,PHONE,Unspecified,BROOKLYN,40.68085220583943,-73.94506426530351,"{'latitude': '40.68085220583943', 'longitude': '-73.94506426530351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902170,2023-09-22T07:36:20.000,2023-09-24T17:10:38.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11216,30 MAC DONOUGH STREET,MAC DONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BROOKLYN,3018540014,BROOKLYN,999487,187334,PHONE,Unspecified,BROOKLYN,40.68085220583943,-73.94506426530351,"{'latitude': '40.68085220583943', 'longitude': '-73.94506426530351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897886,2023-09-22T07:36:20.000,2023-09-24T17:10:38.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11216,30 MAC DONOUGH STREET,MAC DONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BROOKLYN,3018540014,BROOKLYN,999487,187334,PHONE,Unspecified,BROOKLYN,40.68085220583943,-73.94506426530351,"{'latitude': '40.68085220583943', 'longitude': '-73.94506426530351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900842,2023-09-22T07:36:20.000,2023-09-24T17:10:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11216,30 MAC DONOUGH STREET,MAC DONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BROOKLYN,3018540014,BROOKLYN,999487,187334,PHONE,Unspecified,BROOKLYN,40.68085220583943,-73.94506426530351,"{'latitude': '40.68085220583943', 'longitude': '-73.94506426530351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898019,2023-09-22T07:36:20.000,2023-09-24T17:10:38.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11216,30 MAC DONOUGH STREET,MAC DONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BROOKLYN,3018540014,BROOKLYN,999487,187334,PHONE,Unspecified,BROOKLYN,40.68085220583943,-73.94506426530351,"{'latitude': '40.68085220583943', 'longitude': '-73.94506426530351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902762,2023-09-22T07:36:18.000,2023-09-22T23:16:34.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11420,130-41 129 STREET,129 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,SOUTH OZONE PARK,129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:16:38.000,10 QUEENS,,QUEENS,1037022,184182,ONLINE,Unspecified,QUEENS,40.67205650441826,-73.80975990304515,"{'latitude': '40.67205650441826', 'longitude': '-73.80975990304515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893052,2023-09-22T07:36:15.000,2023-09-23T14:36:09.000,DSNY,Department of Sanitation,Dead Animal,Opossum,Sidewalk,11421,80-74 88 ROAD,88 ROAD,80 STREET,85 STREET,80 STREET,85 STREET,ADDRESS,WOODHAVEN,88 ROAD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T17:00:41.000,09 QUEENS,4089150028,QUEENS,1023297,190576,ONLINE,Unspecified,QUEENS,40.68967773499934,-73.85920060784332,"{'latitude': '40.68967773499934', 'longitude': '-73.85920060784332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893875,2023-09-22T07:36:08.000,2023-09-25T21:35:16.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11231,91 VERONA STREET,VERONA STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,06 BROOKLYN,3005300010,BROOKLYN,981660,186896,ONLINE,Unspecified,BROOKLYN,40.67966273046686,-74.00933786217665,"{'latitude': '40.67966273046686', 'longitude': '-74.00933786217665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902702,2023-09-22T07:36:05.000,2023-09-29T03:07:33.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10457,2028 BATHGATE AVENUE,BATHGATE AVENUE,EAST  179 STREET,EAST  180 STREET,EAST  179 STREET,EAST  180 STREET,ADDRESS,BRONX,BATHGATE AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-22T13:27:25.000,06 BRONX,2030450001,BRONX,1013161,248900,MOBILE,Unspecified,BRONX,40.84980068372326,-73.8954990275907,"{'latitude': '40.84980068372326', 'longitude': '-73.8954990275907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899175,2023-09-22T07:35:56.000,2023-09-22T08:13:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10032,2207 AMSTERDAM AVENUE,AMSTERDAM AVENUE,EDGECOMBE AVENUE,AMSTERDAM AVENUE,EDGECOMBE AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T08:13:24.000,12 MANHATTAN,1021120010,MANHATTAN,1002058,245578,ONLINE,Unspecified,MANHATTAN,40.84071214583828,-73.935640455038,"{'latitude': '40.84071214583828', 'longitude': '-73.935640455038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893984,2023-09-22T07:35:55.000,2023-09-22T08:25:45.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11365,59-43 174 STREET,174 STREET,59 AVENUE,HORACE HARDING EXPRESSWAY,59 AVENUE,HORACE HARDING EXPRESSWAY,ADDRESS,FRESH MEADOWS,174 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T08:25:49.000,11 QUEENS,4068880015,QUEENS,1040779,208828,MOBILE,Unspecified,QUEENS,40.7396805843833,-73.79600927451008,"{'latitude': '40.7396805843833', 'longitude': '-73.79600927451008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894244,2023-09-22T07:35:51.000,2023-09-22T09:18:55.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11357,155-22 16 DRIVE,16 DRIVE,155 STREET,156 STREET,155 STREET,156 STREET,ADDRESS,WHITESTONE,16 DRIVE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T09:18:58.000,07 QUEENS,4047280180,QUEENS,1037674,225051,ONLINE,Unspecified,QUEENS,40.78422774101961,-73.80708502254464,"{'latitude': '40.78422774101961', 'longitude': '-73.80708502254464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891964,2023-09-22T07:35:26.000,2023-09-22T14:37:11.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11432,89-25 161 STREET,161 STREET,89 AVENUE,90 AVENUE,89 AVENUE,90 AVENUE,ADDRESS,JAMAICA,161 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T14:37:15.000,12 QUEENS,4097600031,QUEENS,1039763,196582,ONLINE,Unspecified,QUEENS,40.70607480129648,-73.79977661067949,"{'latitude': '40.70607480129648', 'longitude': '-73.79977661067949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901593,2023-09-22T07:35:12.000,2023-09-22T09:32:46.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10453,12 EAST TREMONT AVENUE,EAST TREMONT AVENUE,JEROME AVENUE,WALTON AVENUE,JEROME AVENUE,WALTON AVENUE,ADDRESS,BRONX,EAST TREMONT AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T09:32:51.000,05 BRONX,2028530027,BRONX,1009430,249570,MOBILE,Unspecified,BRONX,40.85165106258555,-73.90898247946792,"{'latitude': '40.85165106258555', 'longitude': '-73.90898247946792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900117,2023-09-22T07:35:00.000,2023-09-22T12:40:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10314,12 MACDONALD STREET,MACDONALD STREET,SUNSET AVE,SOREN ST,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-22T12:40:00.000,02 STATEN ISLAND,5019850142,STATEN ISLAND,947098,158012,PHONE,Unspecified,STATEN ISLAND,40.60030484551533,-74.13378689298091,"{'latitude': '40.60030484551533', 'longitude': '-74.13378689298091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898698,2023-09-22T07:35:00.000,2023-09-28T13:15:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10455,512 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,E 147 ST,PROSPECT AVE,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner.",2023-09-28T13:15:00.000,01 BRONX,2026000142,BRONX,1010545,234954,ONLINE,Unspecified,BRONX,40.81153111490701,-73.90500941094916,"{'latitude': '40.81153111490701', 'longitude': '-73.90500941094916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900419,2023-09-22T07:35:00.000,2023-09-22T07:35:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11223,,,,,BOKEE COURT,COLBY COURT,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T07:35:00.000,13 BROOKLYN,,BROOKLYN,991675,152184,UNKNOWN,Unspecified,BROOKLYN,40.58438291781508,-73.97326845170966,"{'latitude': '40.58438291781508', 'longitude': '-73.97326845170966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898066,2023-09-22T07:34:57.000,2023-09-26T11:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11433,DOUGLAS AVENUE,DOUGLAS AVENUE,168 STREET,170 STREET,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-26T11:00:00.000,12 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,,
58901620,2023-09-22T07:34:50.000,2023-09-22T13:09:14.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235,EAST   22 STREET,EAST   22 STREET,EAST   22 STREET,SHORE PARKWAY,EAST   22 STREET,SHORE PARKWAY,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:09:17.000,15 BROOKLYN,,BROOKLYN,999057,152439,PHONE,Unspecified,BROOKLYN,40.5850735850282,-73.94669115861457,"{'latitude': '40.5850735850282', 'longitude': '-73.94669115861457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893473,2023-09-22T07:34:43.000,2023-09-22T08:39:11.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11357,24 POINT CRESCENT,POINT CRESCENT,BEND,SOUTH DRIVE,BEND,SOUTH DRIVE,ADDRESS,WHITESTONE,POINT CRESCENT,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-22T08:39:14.000,07 QUEENS,4044210024,QUEENS,1031551,227025,UNKNOWN,Unspecified,QUEENS,40.78968072355014,-73.82918132035931,"{'latitude': '40.78968072355014', 'longitude': '-73.82918132035931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899601,2023-09-22T07:34:43.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11225,492 LEFFERTS AVENUE,LEFFERTS AVENUE,BALFOUR PLACE,LAMONT COURT,BALFOUR PLACE,LAMONT COURT,ADDRESS,BROOKLYN,LEFFERTS AVENUE,In Progress,,,09 BROOKLYN,3013327505,BROOKLYN,999562,180727,UNKNOWN,Unspecified,BROOKLYN,40.66271734551162,-73.94480886766725,"{'latitude': '40.66271734551162', 'longitude': '-73.94480886766725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902385,2023-09-22T07:34:42.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10028,333 EAST   82 STREET,EAST   82 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   82 STREET,In Progress,,,08 MANHATTAN,1015457502,MANHATTAN,997344,221605,UNKNOWN,Unspecified,MANHATTAN,40.774921150261015,-73.95272398603737,"{'latitude': '40.774921150261015', 'longitude': '-73.95272398603737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897878,2023-09-22T07:34:40.000,2023-09-22T08:03:05.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11377,40-52 72 STREET,72 STREET,ROOSEVELT AVENUE,41 AVENUE,ROOSEVELT AVENUE,41 AVENUE,ADDRESS,WOODSIDE,72 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T08:03:08.000,04 QUEENS,,QUEENS,1013782,210997,ONLINE,Unspecified,QUEENS,40.74576529793688,-73.89342106960484,"{'latitude': '40.74576529793688', 'longitude': '-73.89342106960484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896984,2023-09-22T07:34:39.000,2023-09-22T08:23:49.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10128,EAST   90 STREET,EAST   90 STREET,3 AVENUE,EAST   90 STREET,3 AVENUE,EAST   90 STREET,INTERSECTION,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-22T08:23:52.000,08 MANHATTAN,,MANHATTAN,997509,223961,MOBILE,Unspecified,MANHATTAN,40.78138750196465,-73.9521236028916,"{'latitude': '40.78138750196465', 'longitude': '-73.9521236028916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893190,2023-09-22T07:34:31.000,2023-09-22T07:34:31.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11221,1239 DEKALB AVENUE,DEKALB AVENUE,,,,,ADDRESS,BROOKLYN,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-22T00:00:00.000,04 BROOKLYN,3032320178,BROOKLYN,1004516,193038,UNKNOWN,Unspecified,BROOKLYN,40.69649828464781,-73.92691547381327,"{'latitude': '40.69649828464781', 'longitude': '-73.92691547381327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893491,2023-09-22T07:34:00.000,2023-09-21T07:33:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11223,,,,,BOKEE COURT,COLBY COURT,INTERSECTION,BROOKLYN,,Pending,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T07:33:00.000,13 BROOKLYN,,BROOKLYN,991675,152184,UNKNOWN,Unspecified,BROOKLYN,40.58438291781508,-73.97326845170966,"{'latitude': '40.58438291781508', 'longitude': '-73.97326845170966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896714,2023-09-22T07:33:42.000,2023-09-22T08:14:33.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11206,2 PULASKI STREET,PULASKI STREET,NOSTRAND AVENUE,MARCY AVENUE,NOSTRAND AVENUE,MARCY AVENUE,ADDRESS,BROOKLYN,PULASKI STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T08:14:37.000,03 BROOKLYN,3017740008,BROOKLYN,997725,191435,PHONE,Unspecified,BROOKLYN,40.692111367672126,-73.9514088063308,"{'latitude': '40.692111367672126', 'longitude': '-73.9514088063308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896613,2023-09-22T07:33:29.000,2023-09-24T11:44:49.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10029,1 EAST  107 STREET,EAST  107 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-24T00:00:00.000,11 MANHATTAN,1016130006,MANHATTAN,997989,228872,PHONE,Unspecified,MANHATTAN,40.794866145810005,-73.95038034543647,"{'latitude': '40.794866145810005', 'longitude': '-73.95038034543647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901210,2023-09-22T07:32:55.000,2023-09-22T08:01:59.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11216,1228 FULTON STREET,FULTON STREET,BEDFORD AVENUE,ARLINGTON PLACE,BEDFORD AVENUE,ARLINGTON PLACE,ADDRESS,BROOKLYN,FULTON STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-22T08:02:02.000,03 BROOKLYN,3018600030,BROOKLYN,997749,187197,MOBILE,Unspecified,BROOKLYN,40.68047899309334,-73.95133075264104,"{'latitude': '40.68047899309334', 'longitude': '-73.95133075264104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894011,2023-09-22T07:32:52.000,2023-09-22T19:47:57.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,130-37 129 STREET,129 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,SOUTH OZONE PARK,129 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-22T19:48:01.000,10 QUEENS,4117670016,QUEENS,1037022,184183,ONLINE,Unspecified,QUEENS,40.67205924918762,-73.80975989521609,"{'latitude': '40.67205924918762', 'longitude': '-73.80975989521609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900674,2023-09-22T07:32:46.000,2023-09-22T08:12:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11225,2122 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T08:12:42.000,09 BROOKLYN,3050260095,BROOKLYN,995119,179738,ONLINE,Unspecified,BROOKLYN,40.660009327858404,-73.96082497088796,"{'latitude': '40.660009327858404', 'longitude': '-73.96082497088796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902735,2023-09-22T07:32:37.000,2023-09-23T14:35:16.000,DSNY,Department of Sanitation,Dead Animal,Dog,Sidewalk,11368,45 AVENUE,45 AVENUE,45 AVENUE,108 STREET,45 AVENUE,108 STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T23:17:23.000,04 QUEENS,,QUEENS,1023789,211782,PHONE,Unspecified,QUEENS,40.74788084248102,-73.85730194459506,"{'latitude': '40.74788084248102', 'longitude': '-73.85730194459506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899478,2023-09-22T07:32:32.000,2023-09-25T12:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10003,EAST    2 STREET,EAST    2 STREET,2 AVENUE,BOND STREET,,,BLOCKFACE,MANHATTAN,,Closed,The Department of Transportation inspected this complaint and did not find the reported problem.,2023-09-25T12:55:00.000,03 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,N/A,,,,,,
58893465,2023-09-22T07:32:32.000,2023-09-22T07:32:32.000,DOT,Department of Transportation,Street Condition,Pothole,,10003,EAST    2 STREET,EAST    2 STREET,2 AVENUE,BOND STREET,,,BLOCKFACE,MANHATTAN,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-22T07:32:32.000,03 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,N/A,,,,,,
58894655,2023-09-22T07:32:26.000,2023-09-23T00:51:12.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11420,127-10 150 AVENUE,150 AVENUE,127 STREET,128 STREET,127 STREET,128 STREET,ADDRESS,SOUTH OZONE PARK,150 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T00:51:16.000,10 QUEENS,4118960035,QUEENS,1035972,181747,MOBILE,Unspecified,QUEENS,40.665379184493666,-73.81356376511799,"{'latitude': '40.665379184493666', 'longitude': '-73.81356376511799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894049,2023-09-22T07:32:04.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11236,611 EAST   76 STREET,EAST   76 STREET,RALPH AVENUE,GLENWOOD ROAD,RALPH AVENUE,GLENWOOD ROAD,ADDRESS,BROOKLYN,EAST   76 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-18T10:59:44.000,18 BROOKLYN,3079810020,BROOKLYN,1006861,170881,MOBILE,Unspecified,BROOKLYN,40.63567659148016,-73.9185331036926,"{'latitude': '40.63567659148016', 'longitude': '-73.9185331036926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898937,2023-09-22T07:32:03.000,2023-09-22T08:09:19.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11229,2126 HOMECREST AVENUE,HOMECREST AVENUE,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,HOMECREST AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T08:09:22.000,15 BROOKLYN,3073447501,BROOKLYN,995620,157078,MOBILE,Unspecified,BROOKLYN,40.59781178400332,-73.95905739554401,"{'latitude': '40.59781178400332', 'longitude': '-73.95905739554401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891806,2023-09-22T07:32:00.000,2023-10-17T08:40:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11434,153-20 123 AVENUE,123 AVENUE,153 ST,155 ST,,,ADDRESS,JAMAICA,,Closed,"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner.",2023-10-17T08:40:00.000,12 QUEENS,4122220015,QUEENS,1043028,185769,PHONE,Unspecified,QUEENS,40.676374610832184,-73.78809485074848,"{'latitude': '40.676374610832184', 'longitude': '-73.78809485074848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896268,2023-09-22T07:31:39.000,2023-09-22T07:41:55.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T07:41:58.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892822,2023-09-22T07:31:36.000,2023-09-25T12:03:54.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,10065,343 EAST   64 STREET,EAST   64 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   64 STREET,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-25T12:04:02.000,08 MANHATTAN,1014397503,MANHATTAN,995056,217368,PHONE,Unspecified,MANHATTAN,40.763294781210355,-73.96099164332175,"{'latitude': '40.763294781210355', 'longitude': '-73.96099164332175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
