unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58833312,2023-09-16T22:08:37.000,2023-09-16T22:24:15.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11362,253-24 NORTHERN BOULEVARD,NORTHERN BOULEVARD,LITTLE NECK PARKWAY,WESTMORELAND STREET,LITTLE NECK PARKWAY,WESTMORELAND STREET,ADDRESS,LITTLE NECK,NORTHERN BOULEVARD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T22:24:18.000,11 QUEENS,4082600009,QUEENS,1057571,220248,ONLINE,Unspecified,QUEENS,40.77090216352115,-73.73528940439274,"{'latitude': '40.77090216352115', 'longitude': '-73.73528940439274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58831324,2023-09-16T22:08:28.000,2023-09-17T05:37:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11379,62-06 MT OLIVET CRESCENT,MT OLIVET CRESCENT,62 AVENUE,65 PLACE,62 AVENUE,65 PLACE,ADDRESS,MIDDLE VILLAGE,MOUNT OLIVET CRESCENT,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T05:37:59.000,05 QUEENS,4027730047,QUEENS,1013039,199648,MOBILE,Unspecified,QUEENS,40.71461754217783,-73.89615105881514,"{'latitude': '40.71461754217783', 'longitude': '-73.89615105881514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58831788,2023-09-16T22:08:24.000,2023-09-16T22:46:50.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10025,601 WEST  115 STREET,WEST  115 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  115 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:46:53.000,09 MANHATTAN,1018960065,MANHATTAN,994058,233445,ONLINE,Unspecified,MANHATTAN,40.80742301620198,-73.96457082955617,"{'latitude': '40.80742301620198', 'longitude': '-73.96457082955617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834732,2023-09-16T22:08:20.000,2023-09-16T23:03:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,171 EUCLID AVENUE,EUCLID AVENUE,RIDGEWOOD AVENUE,FULTON STREET,RIDGEWOOD AVENUE,FULTON STREET,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:03:38.000,05 BROOKLYN,3041290021,BROOKLYN,1019087,188608,MOBILE,Unspecified,BROOKLYN,40.68429360394536,-73.8743915805593,"{'latitude': '40.68429360394536', 'longitude': '-73.8743915805593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58827761,2023-09-16T22:08:19.000,2023-09-17T00:58:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11368,108-23 41 AVENUE,41 AVENUE,108 STREET,111 STREET,108 STREET,111 STREET,ADDRESS,CORONA,41 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:58:26.000,04 QUEENS,4019960078,QUEENS,1023609,212614,MOBILE,Unspecified,QUEENS,40.75016527286253,-73.85794670225893,"{'latitude': '40.75016527286253', 'longitude': '-73.85794670225893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826820,2023-09-16T22:08:01.000,2023-09-16T22:56:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,2346 WALLACE AVENUE,WALLACE AVENUE,ASTOR AVENUE,WARING AVENUE,ASTOR AVENUE,WARING AVENUE,ADDRESS,BRONX,WALLACE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:56:31.000,11 BRONX,2043520022,BRONX,1021703,252779,ONLINE,Unspecified,BRONX,40.86041526739889,-73.86460170107917,"{'latitude': '40.86041526739889', 'longitude': '-73.86460170107917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829687,2023-09-16T22:08:00.000,2023-09-16T22:47:49.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10458,2467 ARTHUR AVENUE,ARTHUR AVENUE,EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ADDRESS,BRONX,ARTHUR AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:47:53.000,06 BRONX,2030660051,BRONX,1015694,251532,ONLINE,Unspecified,BRONX,40.85701607734053,-73.88633097435276,"{'latitude': '40.85701607734053', 'longitude': '-73.88633097435276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826679,2023-09-16T22:07:55.000,2023-09-16T23:00:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461,3229 WESTCHESTER AVENUE,WESTCHESTER AVENUE,CONTINENTAL AVENUE,ST PAUL AVENUE,CONTINENTAL AVENUE,ST PAUL AVENUE,ADDRESS,BRONX,WESTCHESTER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T23:00:09.000,10 BRONX,2042470001,BRONX,1031546,249750,ONLINE,Unspecified,BRONX,40.85205433772875,-73.82903920932816,"{'latitude': '40.85205433772875', 'longitude': '-73.82903920932816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836499,2023-09-16T22:07:55.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Worker Hygiene,Restaurant/Bar/Deli/Bakery,10451,171 EAST  161 STREET,EAST  161 STREET,GRAND CONCOURSE,CONCOURSE VILLAGE WEST,GRAND CONCOURSE,CONCOURSE VILLAGE WEST,ADDRESS,BRONX,EAST  161 STREET,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T12:18:07.000,04 BRONX,,BRONX,1005797,240478,ONLINE,Unspecified,BRONX,40.826705789653545,-73.92214379681464,"{'latitude': '40.826705789653545', 'longitude': '-73.92214379681464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58831041,2023-09-16T22:07:26.000,2023-09-16T22:39:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10128,405 EAST   92 STREET,EAST   92 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,EAST   92 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:39:50.000,08 MANHATTAN,1015730020,MANHATTAN,999093,223684,ONLINE,Unspecified,MANHATTAN,40.78062469233427,-73.94640461344721,"{'latitude': '40.78062469233427', 'longitude': '-73.94640461344721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826839,2023-09-16T22:07:24.000,2023-09-16T22:23:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,171 EUCLID AVENUE,EUCLID AVENUE,RIDGEWOOD AVENUE,FULTON STREET,RIDGEWOOD AVENUE,FULTON STREET,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:23:08.000,05 BROOKLYN,3041290021,BROOKLYN,1019087,188608,MOBILE,Unspecified,BROOKLYN,40.68429360394536,-73.8743915805593,"{'latitude': '40.68429360394536', 'longitude': '-73.8743915805593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830628,2023-09-16T22:07:23.000,2023-09-16T22:37:56.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10027,18 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:38:00.000,11 MANHATTAN,1017190001,MANHATTAN,999350,232500,ONLINE,Marcus Garvey Park,MANHATTAN,40.80482179264163,-73.94545681211618,"{'latitude': '40.80482179264163', 'longitude': '-73.94545681211618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830835,2023-09-16T22:07:20.000,2023-09-16T22:13:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:13:47.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836093,2023-09-16T22:07:18.000,2023-09-16T22:18:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,317 2 AVENUE,2 AVENUE,EAST   18 STREET,EAST   19 STREET,EAST   18 STREET,EAST   19 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:18:15.000,06 MANHATTAN,1008990027,MANHATTAN,988974,207089,ONLINE,Unspecified,MANHATTAN,40.73508685921755,-73.98295414943082,"{'latitude': '40.73508685921755', 'longitude': '-73.98295414943082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829609,2023-09-16T22:07:12.000,2023-09-16T22:14:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,EVERGREEN AVENUE,EVERGREEN AVENUE,HIMROD STREET,HARMAN STREET,HIMROD STREET,HARMAN STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:14:19.000,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
58828144,2023-09-16T22:07:06.000,2023-09-16T22:44:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,230 WEST  129 STREET,WEST  129 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:44:23.000,10 MANHATTAN,1019330001,MANHATTAN,998910,235019,ONLINE,Unspecified,MANHATTAN,40.81173649041086,-73.94704064861878,"{'latitude': '40.81173649041086', 'longitude': '-73.94704064861878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58831007,2023-09-16T22:06:59.000,2023-09-16T22:26:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11233,354 KINGSBOROUGH    3 WALK,KINGSBOROUGH    3 WALK,PACIFIC STREET,BERGEN STREET,PACIFIC STREET,BERGEN STREET,ADDRESS,BROOKLYN,KINGSBOROUGH    3 WALK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:26:43.000,08 BROOKLYN,3013440001,BROOKLYN,1004819,185212,ONLINE,Unspecified,BROOKLYN,40.67501701353207,-73.92584666781006,"{'latitude': '40.67501701353207', 'longitude': '-73.92584666781006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58832358,2023-09-16T22:06:57.000,2023-09-16T22:13:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,304 WEST  117 STREET,WEST  117 STREET,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,ADDRESS,NEW YORK,WEST  117 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:13:34.000,10 MANHATTAN,1019437503,MANHATTAN,996658,232643,MOBILE,Unspecified,MANHATTAN,40.80521847882785,-73.95518040434344,"{'latitude': '40.80521847882785', 'longitude': '-73.95518040434344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836807,2023-09-16T22:06:43.000,2023-09-16T22:29:55.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10032,431 EDGECOMBE AVENUE,EDGECOMBE AVENUE,,ST NICHOLAS PLACE,,ST NICHOLAS PLACE,ADDRESS,NEW YORK,EDGECOMBE AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:29:59.000,09 MANHATTAN,1020540069,MANHATTAN,1000847,241712,MOBILE,Unspecified,MANHATTAN,40.83010345467505,-73.94002667100015,"{'latitude': '40.83010345467505', 'longitude': '-73.94002667100015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58833127,2023-09-16T22:06:36.000,2023-09-16T22:46:13.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,10025,601 WEST  115 STREET,WEST  115 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  115 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:46:15.000,09 MANHATTAN,1018960065,MANHATTAN,994058,233445,ONLINE,Unspecified,MANHATTAN,40.80742301620198,-73.96457082955617,"{'latitude': '40.80742301620198', 'longitude': '-73.96457082955617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826688,2023-09-16T22:06:27.000,2023-09-16T22:28:45.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,129 BOERUM STREET,BOERUM STREET,MANHATTAN AVENUE,GRAHAM AVENUE,MANHATTAN AVENUE,GRAHAM AVENUE,ADDRESS,BROOKLYN,BOERUM STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:28:48.000,01 BROOKLYN,3030700030,BROOKLYN,999854,196435,MOBILE,Unspecified,BROOKLYN,40.70583170066808,-73.94371999589555,"{'latitude': '40.70583170066808', 'longitude': '-73.94371999589555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58835740,2023-09-16T22:06:24.000,2023-09-17T00:54:19.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11234,EAST   32 STREET,EAST   32 STREET,EAST   32 STREET,FILLMORE AVENUE,EAST   32 STREET,FILLMORE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:54:26.000,18 BROOKLYN,,BROOKLYN,1002007,161346,MOBILE,Unspecified,BROOKLYN,40.6095160764731,-73.93604702484792,"{'latitude': '40.6095160764731', 'longitude': '-73.93604702484792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829079,2023-09-16T22:06:05.000,2023-09-17T00:38:09.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10462,1655 PAULDING AVENUE,PAULDING AVENUE,PIERCE AVENUE,VAN NEST AVENUE,PIERCE AVENUE,VAN NEST AVENUE,ADDRESS,BRONX,PAULDING AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T00:38:16.000,11 BRONX,2040980013,BRONX,1024704,247634,ONLINE,Unspecified,BRONX,40.84628055093197,-73.8537836952603,"{'latitude': '40.84628055093197', 'longitude': '-73.8537836952603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836382,2023-09-16T22:06:03.000,2023-09-21T06:51:47.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11233,2140 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-21T00:00:00.000,16 BROOKLYN,3015510049,BROOKLYN,1008795,186415,PHONE,Unspecified,BROOKLYN,40.67830884414116,-73.91150841210155,"{'latitude': '40.67830884414116', 'longitude': '-73.91150841210155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58833695,2023-09-16T22:06:01.000,2023-09-16T22:17:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10003,EAST    8 STREET,EAST    8 STREET,EAST    8 STREET,LAFAYETTE STREET,EAST    8 STREET,LAFAYETTE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:17:59.000,02 MANHATTAN,,MANHATTAN,986722,205247,ONLINE,Unspecified,MANHATTAN,40.73003193771921,-73.99108083276965,"{'latitude': '40.73003193771921', 'longitude': '-73.99108083276965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58833544,2023-09-16T22:05:57.000,2023-09-16T22:46:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,160 WEST  180 STREET,WEST  180 STREET,ANDREWS AVENUE SOUTH,LORING PLACE SOUTH,ANDREWS AVENUE SOUTH,LORING PLACE SOUTH,ADDRESS,BRONX,WEST  180 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:46:23.000,05 BRONX,,BRONX,1008189,251231,MOBILE,Unspecified,BRONX,40.85621346274063,-73.91346235699889,"{'latitude': '40.85621346274063', 'longitude': '-73.91346235699889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58828218,2023-09-16T22:05:56.000,2023-09-16T22:13:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:13:47.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830964,2023-09-16T22:05:55.000,2023-09-16T23:38:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11416,95-14 107 STREET,107 STREET,95 AVENUE,97 AVENUE,95 AVENUE,97 AVENUE,ADDRESS,OZONE PARK,107 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T23:38:15.000,09 QUEENS,4093900010,QUEENS,1029254,190581,MOBILE,Unspecified,QUEENS,40.68966317299784,-73.83772030228226,"{'latitude': '40.68966317299784', 'longitude': '-73.83772030228226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836435,2023-09-16T22:05:51.000,2023-09-28T11:23:00.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10465,1053 VINCENT AVENUE,VINCENT AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,10 BRONX,2054590064,BRONX,1033957,243272,PHONE,Unspecified,BRONX,40.83426091651549,-73.82037221162129,"{'latitude': '40.83426091651549', 'longitude': '-73.82037221162129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841800,2023-09-16T22:05:42.000,2023-10-11T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10467,3345 RESERVOIR OVAL WEST,RESERVOIR OVAL WEST,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-11T00:00:00.000,07 BRONX,2033430359,BRONX,1017965,259440,UNKNOWN,Unspecified,BRONX,40.878712727443094,-73.87808160653013,"{'latitude': '40.878712727443094', 'longitude': '-73.87808160653013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836164,2023-09-16T22:05:42.000,2023-09-16T22:31:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11375,94-11 71 AVENUE,71 AVENUE,MANSE STREET,LOUBET STREET,MANSE STREET,LOUBET STREET,ADDRESS,FOREST HILLS,71 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:32:00.000,06 QUEENS,4032230037,QUEENS,1025876,198770,ONLINE,Unspecified,QUEENS,40.71215656069787,-73.84985037592416,"{'latitude': '40.71215656069787', 'longitude': '-73.84985037592416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58828238,2023-09-16T22:05:41.000,2023-09-16T22:35:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,363 BOND STREET,BOND STREET,CARROLL STREET,1 STREET,CARROLL STREET,1 STREET,ADDRESS,BROOKLYN,BOND STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:35:39.000,06 BROOKLYN,3004520001,BROOKLYN,986794,186359,ONLINE,Unspecified,BROOKLYN,40.678188800410695,-73.99082818673837,"{'latitude': '40.678188800410695', 'longitude': '-73.99082818673837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58835978,2023-09-16T22:05:35.000,2023-09-16T22:29:31.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10031,715 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  148 STREET,WEST  149 STREET,WEST  148 STREET,WEST  149 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:29:34.000,09 MANHATTAN,1020950046,MANHATTAN,998055,241464,ONLINE,Unspecified,MANHATTAN,40.8294275711348,-73.95011608261902,"{'latitude': '40.8294275711348', 'longitude': '-73.95011608261902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836535,2023-09-16T22:05:32.000,2023-09-19T12:10:30.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10007,CHAMBERS STREET,CHAMBERS STREET,CENTRE STREET,CHAMBERS STREET,CENTRE STREET,CHAMBERS STREET,INTERSECTION,MANHATTAN,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-16T22:05:32.000,01 MANHATTAN,,MANHATTAN,983125,199091,MOBILE,Unspecified,MANHATTAN,40.71313547814755,-74.00405805807038,"{'latitude': '40.71313547814755', 'longitude': '-74.00405805807038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834900,2023-09-16T22:05:29.000,2023-09-16T22:19:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11436,126-10 144 STREET,144 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,ADDRESS,JAMAICA,144 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:19:14.000,12 QUEENS,4120610012,QUEENS,1041184,184730,PHONE,Unspecified,QUEENS,40.67353484935663,-73.79475155084639,"{'latitude': '40.67353484935663', 'longitude': '-73.79475155084639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834662,2023-09-16T22:05:19.000,2023-09-16T22:23:00.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11206,38 BARTLETT STREET,BARTLETT STREET,HARRISON AVENUE,THROOP AVENUE,HARRISON AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,BARTLETT STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:23:03.000,01 BROOKLYN,3022720013,BROOKLYN,999061,194688,ONLINE,Bartlett Playground,BROOKLYN,40.701037959806726,-73.94658400430633,"{'latitude': '40.701037959806726', 'longitude': '-73.94658400430633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830001,2023-09-16T22:05:18.000,2023-10-04T14:03:29.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11354,31-38 ULMER STREET,ULMER STREET,WHITESTONE EXPRESSWAY,31 ROAD,WHITESTONE EXPRESSWAY,31 ROAD,ADDRESS,FLUSHING,ULMER STREET,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-04T14:03:32.000,07 QUEENS,4044060028,QUEENS,1029830,219417,ONLINE,Unspecified,QUEENS,40.76880785434537,-73.83544798546377,"{'latitude': '40.76880785434537', 'longitude': '-73.83544798546377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830965,2023-09-16T22:05:17.000,2023-09-16T22:52:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1501 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,CROSS BRONX EP ET    1 D-1 C WB,WEST  174 STREET,CROSS BRONX EP ET    1 D-1 C WB,WEST  174 STREET,ADDRESS,BRONX,UNDERCLIFF AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:52:53.000,05 BRONX,2028800061,BRONX,1005240,247416,MOBILE,Unspecified,BRONX,40.845749925937085,-73.92413470328373,"{'latitude': '40.845749925937085', 'longitude': '-73.92413470328373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
