unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58952333,2023-09-28T02:40:58.000,2023-09-28T03:24:31.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11223,274 AVENUE W,AVENUE W,MCDONALD AVENUE,STRYKER STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T03:24:35.000,15 BROOKLYN,3071730009,BROOKLYN,991734,155101,PHONE,Unspecified,BROOKLYN,40.592389450703614,-73.97305280879024,"{'latitude': '40.592389450703614', 'longitude': '-73.97305280879024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCDONALD AVENUE,STRYKER STREET,AVENUE W,,,,,
58950201,2023-09-28T02:40:04.000,2023-10-20T06:57:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,11207,469 MILLER AVENUE,MILLER AVENUE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,05 BROOKLYN,3040410010,BROOKLYN,1014671,183117,ONLINE,Unspecified,BROOKLYN,40.66923833917542,-73.89033869426547,"{'latitude': '40.66923833917542', 'longitude': '-73.89033869426547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58949679,2023-09-28T02:39:40.000,2023-09-28T02:39:40.000,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,10024,345 WEST   86 STREET,WEST   86 STREET,,,ADDRESS,NEW YORK,N/A,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,07 MANHATTAN,1012480011,MANHATTAN,989806,227013,UNKNOWN,Unspecified,MANHATTAN,40.789772626160186,-73.97993553411199,"{'latitude': '40.789772626160186', 'longitude': '-73.97993553411199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58953362,2023-09-28T02:38:27.000,2023-09-28T05:29:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11204,1671 68 STREET,68 STREET,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T05:29:28.000,11 BROOKLYN,3055670032,BROOKLYN,985609,164910,MOBILE,Unspecified,BROOKLYN,40.61931620775113,-73.99510475609434,"{'latitude': '40.61931620775113', 'longitude': '-73.99510475609434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,16 AVENUE,17 AVENUE,68 STREET,,,,,
58954842,2023-09-28T02:36:31.000,2023-09-28T05:11:29.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11370,78-19 32 AVENUE,32 AVENUE,78 STREET,79 STREET,ADDRESS,EAST ELMHURST,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T05:11:32.000,03 QUEENS,4011490031,QUEENS,1014942,215211,ONLINE,Unspecified,QUEENS,40.75732770290425,-73.88921548116454,"{'latitude': '40.75732770290425', 'longitude': '-73.88921548116454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,78 STREET,79 STREET,32 AVENUE,,,,,
58955049,2023-09-28T02:36:13.000,2023-09-28T02:42:43.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,11206,678 FLUSHING AVENUE,FLUSHING AVENUE,WHIPPLE STREET,THORNTON STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:42:48.000,03 BROOKLYN,3017220020,BROOKLYN,999311,194411,ONLINE,Unspecified,BROOKLYN,40.70027723777935,-73.94568299689753,"{'latitude': '40.70027723777935', 'longitude': '-73.94568299689753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WHIPPLE STREET,THORNTON STREET,FLUSHING AVENUE,,,,,
58951056,2023-09-28T02:36:13.000,2023-09-28T05:57:06.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11230,855 EAST   19 STREET,EAST   19 STREET,AVENUE H,DEAD END,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T05:57:12.000,14 BROOKLYN,,BROOKLYN,995795,168783,MOBILE,Unspecified,BROOKLYN,40.629939362412614,-73.95840721933905,"{'latitude': '40.629939362412614', 'longitude': '-73.95840721933905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,AVENUE H,DEAD END,EAST   19 STREET,,,,,
58951142,2023-09-28T02:36:00.000,2023-09-28T03:04:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11223,282 AVENUE W,AVENUE W,STRYKER STREET,WEST    1 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T03:04:24.000,15 BROOKLYN,,BROOKLYN,991886,155123,PHONE,Unspecified,BROOKLYN,40.59244970663936,-73.97250548665313,"{'latitude': '40.59244970663936', 'longitude': '-73.97250548665313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,STRYKER STREET,WEST    1 STREET,AVENUE W,,,,,
58953759,2023-09-28T02:35:48.000,2023-09-28T02:46:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10031,477 WEST  142 STREET,WEST  142 STREET,CONVENT AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T02:46:18.000,09 MANHATTAN,,MANHATTAN,998546,239141,ONLINE,Unspecified,MANHATTAN,40.82305081767101,-73.9483468202452,"{'latitude': '40.82305081767101', 'longitude': '-73.9483468202452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CONVENT AVENUE,AMSTERDAM AVENUE,WEST  142 STREET,,,,,
58954668,2023-09-28T02:35:29.000,2023-09-28T03:11:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11419,95-20 129 STREET,129 STREET,95 AVENUE,97 AVENUE,ADDRESS,SOUTH RICHMOND HILL,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T03:11:44.000,09 QUEENS,,QUEENS,1034348,192310,ONLINE,Unspecified,QUEENS,40.69438150046341,-73.81933906445087,"{'latitude': '40.69438150046341', 'longitude': '-73.81933906445087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,95 AVENUE,97 AVENUE,129 STREET,,,,,
58955143,2023-09-28T02:34:55.000,2023-10-01T09:47:45.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58949076,2023-09-28T02:34:55.000,2023-10-01T09:47:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58950236,2023-09-28T02:34:55.000,2023-10-01T09:47:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58951502,2023-09-28T02:34:55.000,2023-10-01T09:47:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58947664,2023-09-28T02:34:55.000,2023-10-01T09:47:46.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58946599,2023-09-28T02:34:55.000,2023-10-01T09:47:46.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58952638,2023-09-28T02:34:55.000,2023-10-01T09:47:46.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58947657,2023-09-28T02:34:55.000,2023-10-01T09:47:44.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58950155,2023-09-28T02:34:55.000,2023-10-01T09:47:47.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58946493,2023-09-28T02:34:55.000,2023-10-01T09:47:48.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10452,1097 WALTON AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,04 BRONX,2024780046,BRONX,1006132,242627,PHONE,Unspecified,BRONX,40.832603353326256,-73.92092632585651,"{'latitude': '40.832603353326256', 'longitude': '-73.92092632585651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58951599,2023-09-28T02:34:44.000,2023-09-28T02:59:18.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,10029,205 EAST  112 STREET,EAST  112 STREET,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T02:59:24.000,11 MANHATTAN,,MANHATTAN,1000402,229042,PHONE,Unspecified,MANHATTAN,40.79532866856536,-73.94166516884654,"{'latitude': '40.79532866856536', 'longitude': '-73.94166516884654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,3 AVENUE,2 AVENUE,EAST  112 STREET,,,,,
58955000,2023-09-28T02:34:22.000,2023-09-28T03:07:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10453,EAST  175 STREET,EAST  175 STREET,EAST  175 STREET,WALTON AVENUE,INTERSECTION,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T03:07:29.000,05 BRONX,,BRONX,1008971,247868,ONLINE,Unspecified,BRONX,40.84698087511962,-73.91064788962946,"{'latitude': '40.84698087511962', 'longitude': '-73.91064788962946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  175 STREET,WALTON AVENUE,,,,,,
58948518,2023-09-28T02:34:04.000,2023-09-28T06:22:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11385,78-48 79 LANE,79 LANE,78 ROAD,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T06:22:32.000,05 QUEENS,4038290024,QUEENS,1020486,195757,MOBILE,Unspecified,QUEENS,40.70391031448799,-73.86930889090017,"{'latitude': '40.70391031448799', 'longitude': '-73.86930889090017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,78 ROAD,MYRTLE AVENUE,79 LANE,,,,,
58946308,2023-09-28T02:32:59.000,2023-09-28T02:49:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11385,74 AVENUE,74 AVENUE,62 STREET,64 PLACE,BLOCKFACE,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:49:43.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,Residential Building/House,62 STREET,64 PLACE,,,,,,
58947578,2023-09-28T02:32:55.000,2023-09-28T03:20:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11207,306 NEW LOTS AVENUE,NEW LOTS AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T03:20:08.000,05 BROOKLYN,,BROOKLYN,1013361,180096,ONLINE,Unspecified,BROOKLYN,40.660950774872724,-73.89507400845014,"{'latitude': '40.660950774872724', 'longitude': '-73.89507400845014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,ALABAMA AVENUE,GEORGIA AVENUE,NEW LOTS AVENUE,,,,,
58947616,2023-09-28T02:32:48.000,2023-09-28T02:36:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11377,48-33 47 STREET,47 STREET,48 AVENUE,50 AVENUE,ADDRESS,WOODSIDE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T02:36:52.000,02 QUEENS,4022910007,QUEENS,1006776,208262,PHONE,Unspecified,QUEENS,40.738279029172446,-73.91871437792912,"{'latitude': '40.738279029172446', 'longitude': '-73.91871437792912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,48 AVENUE,50 AVENUE,47 STREET,,,,,
58946349,2023-09-28T02:32:35.000,2023-09-28T04:41:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10456,1174 SHERIDAN AVENUE,SHERIDAN AVENUE,MCCLELLAN STREET,EAST  167 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T04:41:37.000,04 BRONX,2024560218,BRONX,1007175,242901,MOBILE,Unspecified,BRONX,40.83335275834709,-73.91715636495228,"{'latitude': '40.83335275834709', 'longitude': '-73.91715636495228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCCLELLAN STREET,EAST  167 STREET,SHERIDAN AVENUE,,,,,
58953734,2023-09-28T02:32:26.000,2023-09-28T03:19:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11207,648 GEORGIA AVENUE,GEORGIA AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-28T03:19:45.000,05 BROOKLYN,3042960013,BROOKLYN,1013586,179945,ONLINE,Unspecified,BROOKLYN,40.660535570863956,-73.89426368930617,"{'latitude': '40.660535570863956', 'longitude': '-73.89426368930617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,NEW LOTS AVENUE,HEGEMAN AVENUE,GEORGIA AVENUE,,,,,
58948885,2023-09-28T02:31:25.000,2023-09-28T02:46:44.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10458,2608 BRIGGS AVENUE,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,EAST  194 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:46:48.000,07 BRONX,2032930043,BRONX,1013783,254174,MOBILE,Unspecified,BRONX,40.86427416611321,-73.89322752800955,"{'latitude': '40.86427416611321', 'longitude': '-73.89322752800955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST KINGSBRIDGE ROAD,EAST  194 STREET,BRIGGS AVENUE,,,,,
58954909,2023-09-28T02:30:38.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,11221,498 LEXINGTON AVENUE,LEXINGTON AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,03 BROOKLYN,3018060123,BROOKLYN,1000698,190248,UNKNOWN,Unspecified,BROOKLYN,40.688848300947434,-73.94069099356288,"{'latitude': '40.688848300947434', 'longitude': '-73.94069099356288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58949262,2023-09-28T02:30:03.000,2023-09-28T08:31:36.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11206,254 STAGG STREET,STAGG STREET,BUSHWICK AVENUE,WATERBURY STREET,ADDRESS,BROOKLYN,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-28T02:30:03.000,01 BROOKLYN,3030370119,BROOKLYN,1001186,197929,MOBILE,Unspecified,BROOKLYN,40.70992992717896,-73.93891202493398,"{'latitude': '40.70992992717896', 'longitude': '-73.93891202493398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1-2 Family Dwelling,BUSHWICK AVENUE,WATERBURY STREET,STAGG STREET,,,,,
58953768,2023-09-28T02:29:51.000,2023-09-28T02:44:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10310,493 BROADWAY,BROADWAY,MYRTLE AVENUE,FOREST AVENUE,ADDRESS,STATEN ISLAND,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T02:44:53.000,01 STATEN ISLAND,,STATEN ISLAND,951989,168536,MOBILE,Unspecified,STATEN ISLAND,40.62921017865273,-74.11622437241594,"{'latitude': '40.62921017865273', 'longitude': '-74.11622437241594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MYRTLE AVENUE,FOREST AVENUE,BROADWAY,,,,,
58951735,2023-09-28T02:28:40.000,2023-09-28T08:32:28.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11206,262 STAGG STREET,STAGG STREET,BUSHWICK AVENUE,WATERBURY STREET,ADDRESS,BROOKLYN,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-28T02:28:40.000,01 BROOKLYN,3030370023,BROOKLYN,1001264,197938,MOBILE,Unspecified,BROOKLYN,40.70995448039247,-73.93863065709768,"{'latitude': '40.70995448039247', 'longitude': '-73.93863065709768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3+ Family Apt. Building,BUSHWICK AVENUE,WATERBURY STREET,STAGG STREET,,,,,
58946309,2023-09-28T02:28:21.000,2023-09-28T02:51:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10462,1640 METROPOLITAN AVENUE,METROPOLITAN AVENUE,RED OAK DRIVE,LINDEN DRIVE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:51:18.000,09 BRONX,2039437501,BRONX,1023919,245429,ONLINE,Unspecified,BRONX,40.84023204092024,-73.8566340254861,"{'latitude': '40.84023204092024', 'longitude': '-73.8566340254861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,RED OAK DRIVE,LINDEN DRIVE,METROPOLITAN AVENUE,,,,,
58954159,2023-09-28T02:28:04.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,11219,1023 41 STREET,41 STREET,10 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,,In Progress,,,12 BROOKLYN,,BROOKLYN,986079,173579,MOBILE,Unspecified,BROOKLYN,40.64311069514644,-73.9934094231565,"{'latitude': '40.64311069514644', 'longitude': '-73.9934094231565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,10 AVENUE,FORT HAMILTON PARKWAY,41 STREET,,,,,
58953764,2023-09-28T02:27:30.000,2023-09-28T02:44:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10310,490 BROADWAY,BROADWAY,MYRTLE AVENUE,FOREST AVENUE,ADDRESS,STATEN ISLAND,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:44:19.000,01 STATEN ISLAND,,STATEN ISLAND,951981,168552,MOBILE,Unspecified,STATEN ISLAND,40.629254066102625,-74.11625326990243,"{'latitude': '40.629254066102625', 'longitude': '-74.11625326990243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MYRTLE AVENUE,FOREST AVENUE,BROADWAY,,,,,
58948830,2023-09-28T02:27:23.000,2023-09-28T02:44:22.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11106,31-32 36 STREET,36 STREET,31 AVENUE,BROADWAY,ADDRESS,ASTORIA,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:44:28.000,01 QUEENS,4006480054,QUEENS,1006362,216761,ONLINE,Unspecified,QUEENS,40.76160767481121,-73.92018036040955,"{'latitude': '40.76160767481121', 'longitude': '-73.92018036040955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,31 AVENUE,BROADWAY,36 STREET,,,,,
58948829,2023-09-28T02:26:54.000,2023-09-28T02:56:39.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10037,2155 MADISON AVENUE,MADISON AVENUE,EAST  132 STREET,EAST  135 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:56:44.000,11 MANHATTAN,,MANHATTAN,1001931,235089,ONLINE,Unspecified,MANHATTAN,40.81192309131884,-73.93612708437672,"{'latitude': '40.81192309131884', 'longitude': '-73.93612708437672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  132 STREET,EAST  135 STREET,MADISON AVENUE,,,,,
58947023,2023-09-28T02:26:53.000,2023-09-28T20:48:41.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,10462,2030 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BRONX PARK EAST,BRONXDALE AVENUE,ADDRESS,BRONX,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-28T20:48:48.000,11 BRONX,,BRONX,1020825,249420,ONLINE,Unspecified,BRONX,40.85119950733103,-73.86779412713817,"{'latitude': '40.85119950733103', 'longitude': '-73.86779412713817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,BRONX PARK EAST,BRONXDALE AVENUE,WHITE PLAINS ROAD,,,,,
58954980,2023-09-28T02:26:31.000,2023-09-28T02:59:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11691,704 BEACH   19 STREET,BEACH   19 STREET,EVERDELL AVENUE,CRAWFORD COURT,ADDRESS,FAR ROCKAWAY,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:59:44.000,14 QUEENS,,QUEENS,1053179,158459,ONLINE,Unspecified,QUEENS,40.601341582235925,-73.75177786672309,"{'latitude': '40.601341582235925', 'longitude': '-73.75177786672309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EVERDELL AVENUE,CRAWFORD COURT,BEACH   19 STREET,,,,,
