unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,facility_type,due_date,bbl,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location,taxi_company_borough
58960217,2023-09-29T07:13:51.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11379,64-50 79 STREET,79 STREET,PENELOPE AVENUE,FURMANVILLE AVENUE,PENELOPE AVENUE,FURMANVILLE AVENUE,ADDRESS,In Progress,,,05 QUEENS,QUEENS,1018964,200898,PHONE,Unspecified,QUEENS,40.718027225403894,-73.8747717199488,"{'latitude': '40.718027225403894', 'longitude': '-73.8747717199488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MIDDLE VILLAGE,,,4030040030,79 STREET,,,,,,
58963191,2023-09-29T07:13:05.000,2023-09-29T09:30:28.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11207,1960 BROADWAY,BROADWAY,SOMERS STREET,CONWAY STREET,SOMERS STREET,CONWAY STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T09:30:26.000,16 BROOKLYN,BROOKLYN,1010820,186778,PHONE,Unspecified,BROOKLYN,40.67929934983094,-73.90420629532805,"{'latitude': '40.67929934983094', 'longitude': '-73.90420629532805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,BROADWAY,,,,,,
58958427,2023-09-29T07:13:02.000,2023-10-10T17:35:42.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10468,2290 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,07 BRONX,BRONX,1010639,252289,PHONE,Unspecified,BRONX,40.85911037097102,-73.9046016370002,"{'latitude': '40.85911037097102', 'longitude': '-73.9046016370002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,2031970023,,,,,,,
59441898,2023-09-29T07:12:51.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Safety,Fire Escape,Building-Wide,11233,365 MACON STREET,MACON STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,ADDRESS,Closed,,2023-10-12T00:00:00.000,03 BROOKLYN,BROOKLYN,1001770,187958,ONLINE,Unspecified,BROOKLYN,40.68256071924761,-73.93683147920777,"{'latitude': '40.68256071924761', 'longitude': '-73.93683147920777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3016640075,MACON STREET,,,,,,
58997857,2023-09-29T07:12:50.000,2023-10-02T09:29:06.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11233,1843 EASTERN PARKWAY,EASTERN PARKWAY,PACIFIC STREET,ATLANTIC AVENUE,PACIFIC STREET,ATLANTIC AVENUE,ADDRESS,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-10-02T09:29:09.000,16 BROOKLYN,BROOKLYN,1009716,185387,PHONE,Unspecified,BROOKLYN,40.67548461611249,-73.90819183636334,"{'latitude': '40.67548461611249', 'longitude': '-73.90819183636334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,EASTERN PARKWAY,,,,,,
58961036,2023-09-29T07:12:46.000,2023-09-29T07:20:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10031,622 WEST  137 STREET,WEST  137 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-29T07:20:54.000,09 MANHATTAN,MANHATTAN,996757,238636,ONLINE,Unspecified,MANHATTAN,40.821667450043606,-73.95481163398917,"{'latitude': '40.821667450043606', 'longitude': '-73.95481163398917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,,1020020061,WEST  137 STREET,,,,,,
58960802,2023-09-29T07:12:28.000,2023-09-29T08:49:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2510 EAST   24 STREET,EAST   24 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T08:49:26.000,15 BROOKLYN,BROOKLYN,999288,154447,MOBILE,Unspecified,BROOKLYN,40.590584754679035,-73.94585503349825,"{'latitude': '40.590584754679035', 'longitude': '-73.94585503349825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,EAST   24 STREET,,,,,,
58960162,2023-09-29T07:12:17.000,2023-09-29T11:35:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,898 GLENMORE AVENUE,GLENMORE AVENUE,MILFORD STREET,LOGAN STREET,MILFORD STREET,LOGAN STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T11:35:44.000,05 BROOKLYN,BROOKLYN,1018384,185580,PHONE,Unspecified,BROOKLYN,40.675985177994086,-73.876941654148,"{'latitude': '40.675985177994086', 'longitude': '-73.876941654148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3042080023,GLENMORE AVENUE,,,,,,
59443253,2023-09-29T07:12:14.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,Closed,,2023-10-20T00:00:00.000,05 BROOKLYN,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037920039,BRADFORD STREET,,,,,,
59436611,2023-09-29T07:12:14.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Ventilation System,Apartment,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,Closed,,2023-10-20T00:00:00.000,05 BROOKLYN,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037920039,BRADFORD STREET,,,,,,
59441854,2023-09-29T07:12:13.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Toilet,Apartment,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,Closed,,2023-10-20T00:00:00.000,05 BROOKLYN,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037920039,BRADFORD STREET,,,,,,
58964301,2023-09-29T07:12:12.000,2023-09-29T08:40:30.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11210,3211 AVENUE I,AVENUE I,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-29T00:00:00.000,14 BROOKLYN,BROOKLYN,999462,168591,PHONE,Unspecified,BROOKLYN,40.62940682492007,-73.94519667836636,"{'latitude': '40.62940682492007', 'longitude': '-73.94519667836636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3075780001,,,,,,,
59456254,2023-09-29T07:12:12.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Apartment,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,Closed,,2023-10-20T00:00:00.000,05 BROOKLYN,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037920039,BRADFORD STREET,,,,,,
59459935,2023-09-29T07:12:09.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11204,1973 70 STREET,70 STREET,19 AVENUE,20 AVENUE,19 AVENUE,20 AVENUE,ADDRESS,Closed,,2023-10-01T00:00:00.000,11 BROOKLYN,BROOKLYN,987153,163023,PHONE,Unspecified,BROOKLYN,40.61413641247803,-73.98954393643123,"{'latitude': '40.61413641247803', 'longitude': '-73.98954393643123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3061620043,70 STREET,,,,,,
58967264,2023-09-29T07:12:06.000,2023-09-29T07:18:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11209,8413 THIRD AVENUE,THIRD AVENUE,84 STREET,85 STREET,84 STREET,85 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T07:18:54.000,10 BROOKLYN,BROOKLYN,975789,166927,PHONE,Unspecified,BROOKLYN,40.624848515510976,-74.03047983271243,"{'latitude': '40.624848515510976', 'longitude': '-74.03047983271243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,3 AVENUE,,,,,,
59452324,2023-09-29T07:12:05.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,11207,456 BRADFORD STREET,BRADFORD STREET,BLAKE AVENUE,DUMONT AVENUE,BLAKE AVENUE,DUMONT AVENUE,ADDRESS,Closed,,2023-10-20T00:00:00.000,05 BROOKLYN,BROOKLYN,1014509,182561,PHONE,Unspecified,BROOKLYN,40.66771279950961,-73.89092516526115,"{'latitude': '40.66771279950961', 'longitude': '-73.89092516526115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037920039,BRADFORD STREET,,,,,,
58965024,2023-09-29T07:11:50.000,2023-09-29T09:01:49.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10006,73 BROADWAY,BROADWAY,EXCHANGE ALLEY,RECTOR STREET,EXCHANGE ALLEY,RECTOR STREET,ADDRESS,Closed,N/A,2023-09-29T09:01:48.000,01 MANHATTAN,MANHATTAN,980912,196984,ONLINE,Unspecified,MANHATTAN,40.707351705083084,-74.01203966451274,"{'latitude': '40.707351705083084', 'longitude': '-74.01203966451274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,,,BROADWAY,,,,,,
58964824,2023-09-29T07:11:30.000,2023-09-29T07:11:30.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11433,170-15 93 AVENUE,93 AVENUE,170 STREET,PARK CIRCLE,170 STREET,PARK CIRCLE,ADDRESS,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-29T07:11:30.000,12 QUEENS,QUEENS,1042935,196430,ONLINE,Unspecified,QUEENS,40.70563712937659,-73.78833726047921,"{'latitude': '40.70563712937659', 'longitude': '-73.78833726047921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,,,4102120050,93 AVENUE,,,,,,
58967052,2023-09-29T07:11:19.000,2023-09-29T20:54:56.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11385,1728 MENAHAN STREET,MENAHAN STREET,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T20:55:01.000,05 QUEENS,QUEENS,1008817,195711,MOBILE,Unspecified,QUEENS,40.70382414657781,-73.91139519583908,"{'latitude': '40.70382414657781', 'longitude': '-73.91139519583908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD,,,4034400009,MENAHAN STREET,,,,,,
58959210,2023-09-29T07:11:00.000,2023-09-29T08:50:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11209,,,,,NARROWS AVENUE,86 STREET,INTERSECTION,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-29T08:50:00.000,10 BROOKLYN,BROOKLYN,973394,167118,PHONE,Unspecified,BROOKLYN,40.62537015930988,-74.03910786601774,"{'latitude': '40.62537015930988', 'longitude': '-74.03910786601774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,,
58963451,2023-09-29T07:11:00.000,2023-09-29T18:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,11203,540 TROY AVENUE,TROY AVENUE,MIDWOOD ST,RUTLAND RD,,,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T18:00:00.000,09 BROOKLYN,BROOKLYN,1001691,179871,ONLINE,Unspecified,BROOKLYN,40.6603638772974,-73.93713723892934,"{'latitude': '40.6603638772974', 'longitude': '-73.93713723892934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,N/A,,3048050043,,,,,,,
58956110,2023-09-29T07:11:00.000,2023-09-29T08:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11209,,,,,87 STREET,NARROWS AVENUE,INTERSECTION,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-29T08:30:00.000,10 BROOKLYN,BROOKLYN,973311,166852,PHONE,Unspecified,BROOKLYN,40.624639943040904,-74.03940643572065,"{'latitude': '40.624639943040904', 'longitude': '-74.03940643572065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,,
59011481,2023-09-29T07:10:48.000,2023-10-07T14:09:26.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10003,184 2 AVENUE,2 AVENUE,EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-06T10:15:54.000,03 MANHATTAN,MANHATTAN,988104,205509,ONLINE,Unspecified,MANHATTAN,40.73075056939078,-73.98609431986404,"{'latitude': '40.73075056939078', 'longitude': '-73.98609431986404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,,1004530006,2 AVENUE,,,,,,
59457336,2023-09-29T07:10:42.000,2023-09-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11208,767 LINCOLN AVENUE,LINCOLN AVENUE,DUMONT AVENUE,LINDEN BOULEVARD,DUMONT AVENUE,LINDEN BOULEVARD,ADDRESS,Closed,,2023-09-30T00:00:00.000,05 BROOKLYN,BROOKLYN,1021468,183478,MOBILE,Unspecified,BROOKLYN,40.67020323781831,-73.86583498074913,"{'latitude': '40.67020323781831', 'longitude': '-73.86583498074913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3042719001,LINCOLN AVENUE,,,,,,
59001214,2023-09-29T07:10:32.000,2023-09-29T08:51:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,163 SENATOR STREET,SENATOR STREET,COLONIAL ROAD,RIDGE BOULEVARD,COLONIAL ROAD,RIDGE BOULEVARD,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T08:51:22.000,10 BROOKLYN,BROOKLYN,976185,171895,ONLINE,Unspecified,BROOKLYN,40.63848499307875,-74.02905922285514,"{'latitude': '40.63848499307875', 'longitude': '-74.02905922285514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,SENATOR STREET,,,,,,
59456396,2023-09-29T07:10:27.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10468,2290 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST  183 STREET,EVELYN PLACE,WEST  183 STREET,EVELYN PLACE,ADDRESS,Closed,,2023-10-10T00:00:00.000,07 BRONX,BRONX,1010639,252289,PHONE,Unspecified,BRONX,40.85911037097102,-73.9046016370002,"{'latitude': '40.85911037097102', 'longitude': '-73.9046016370002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,,DAVIDSON AVENUE,,,,,,
59004306,2023-09-29T07:10:25.000,2023-09-29T08:57:28.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11207,330 ALABAMA AVENUE,ALABAMA AVENUE,SUTTER AVENUE,BLAKE AVENUE,SUTTER AVENUE,BLAKE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T08:57:25.000,05 BROOKLYN,BROOKLYN,1012592,182724,PHONE,Unspecified,BROOKLYN,40.66816654218805,-73.89783469717439,"{'latitude': '40.66816654218805', 'longitude': '-73.89783469717439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037680001,ALABAMA AVENUE,,,,,,
59460876,2023-09-29T07:10:25.000,2023-09-29T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11210,3211 AVENUE I,AVENUE I,EAST   32 STREET,NEW YORK AVENUE,EAST   32 STREET,NEW YORK AVENUE,ADDRESS,Closed,,2023-09-29T00:00:00.000,14 BROOKLYN,BROOKLYN,999462,168591,PHONE,Unspecified,BROOKLYN,40.62940682492007,-73.94519667836636,"{'latitude': '40.62940682492007', 'longitude': '-73.94519667836636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,AVENUE I,,,,,,
59006092,2023-09-29T07:10:24.000,2023-09-29T07:35:45.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3042 AVENUE V,AVENUE V,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T07:35:49.000,15 BROOKLYN,BROOKLYN,1001769,157438,MOBILE,Unspecified,BROOKLYN,40.59878988925375,-73.93691433327626,"{'latitude': '40.59878988925375', 'longitude': '-73.93691433327626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3073890001,AVENUE V,,,,,,
59001514,2023-09-29T07:10:14.000,2023-09-29T07:35:44.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3042 AVENUE V,AVENUE V,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T07:35:49.000,15 BROOKLYN,BROOKLYN,1001769,157438,MOBILE,Unspecified,BROOKLYN,40.59878988925375,-73.93691433327626,"{'latitude': '40.59878988925375', 'longitude': '-73.93691433327626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,AVENUE V,,,,,,
59438921,2023-09-29T07:09:56.000,2023-09-29T08:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11209,86 STREET,86 STREET,86 STREET,NARROWS AVENUE,86 STREET,NARROWS AVENUE,INTERSECTION,Closed,,2023-09-29T08:50:00.000,10 BROOKLYN,BROOKLYN,973394,167118,PHONE,Unspecified,BROOKLYN,40.62537015930988,-74.03910786601774,"{'latitude': '40.62537015930988', 'longitude': '-74.03910786601774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58958643,2023-09-29T07:09:50.000,2023-09-29T13:41:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11418,109-15 ATLANTIC AVENUE,ATLANTIC AVENUE,109 STREET,110 STREET,109 STREET,110 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T13:41:04.000,09 QUEENS,QUEENS,1029605,191318,MOBILE,Unspecified,QUEENS,40.691684272901945,-73.83644967425285,"{'latitude': '40.691684272901945', 'longitude': '-73.83644967425285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RICHMOND HILL,,,,ATLANTIC AVENUE,,,,,,
58973034,2023-09-29T07:09:38.000,2023-09-30T10:33:45.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11217,401 ATLANTIC AVENUE,ATLANTIC AVENUE,BOND STREET,NEVINS STREET,BOND STREET,NEVINS STREET,ADDRESS,Closed,The Department of Sanitation removed the items.,2023-09-30T10:33:48.000,02 BROOKLYN,BROOKLYN,988549,189501,MOBILE,Unspecified,BROOKLYN,40.686812196691626,-73.98449892904705,"{'latitude': '40.686812196691626', 'longitude': '-73.98449892904705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3001780001,ATLANTIC AVENUE,,,,,,
59008776,2023-09-29T07:09:24.000,2023-09-29T11:29:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,2170 WEST STREET,WEST STREET,VILLAGE ROAD EAST,GRAVESEND NECK ROAD,VILLAGE ROAD EAST,GRAVESEND NECK ROAD,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T11:29:05.000,15 BROOKLYN,BROOKLYN,992247,156286,MOBILE,Unspecified,BROOKLYN,40.59564158929827,-73.97120427789378,"{'latitude': '40.59564158929827', 'longitude': '-73.97120427789378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3071260007,WEST STREET,,,,,,
59442283,2023-09-29T07:09:16.000,2023-09-29T08:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11209,87 STREET,87 STREET,87 STREET,NARROWS AVENUE,87 STREET,NARROWS AVENUE,INTERSECTION,Closed,,2023-09-29T08:30:00.000,10 BROOKLYN,BROOKLYN,973311,166852,PHONE,Unspecified,BROOKLYN,40.624639943040904,-74.03940643572065,"{'latitude': '40.624639943040904', 'longitude': '-74.03940643572065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59001513,2023-09-29T07:09:08.000,2023-09-29T07:35:40.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3042 AVENUE V,AVENUE V,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T07:35:44.000,15 BROOKLYN,BROOKLYN,1001769,157438,MOBILE,Unspecified,BROOKLYN,40.59878988925375,-73.93691433327626,"{'latitude': '40.59878988925375', 'longitude': '-73.93691433327626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3073890001,AVENUE V,,,,,,
58963384,2023-09-29T07:09:02.000,2023-09-29T07:18:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10011,321 WEST   24 STREET,WEST   24 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T07:18:09.000,04 MANHATTAN,MANHATTAN,984647,211084,ONLINE,Unspecified,MANHATTAN,40.74605339352792,-73.99856724881818,"{'latitude': '40.74605339352792', 'longitude': '-73.99856724881818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,,1007480001,WEST   24 STREET,,,,,,
58964714,2023-09-29T07:08:54.000,2023-10-01T20:04:32.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10463,3045 GODWIN TERRACE,GODWIN TERRACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,08 BRONX,BRONX,1010169,259447,ONLINE,Unspecified,BRONX,40.87875827837968,-73.9062730360959,"{'latitude': '40.87875827837968', 'longitude': '-73.9062730360959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,2057030197,,,,,,,
58967572,2023-09-29T07:08:54.000,2023-10-01T20:04:33.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10463,3045 GODWIN TERRACE,GODWIN TERRACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,08 BRONX,BRONX,1010169,259447,ONLINE,Unspecified,BRONX,40.87875827837968,-73.9062730360959,"{'latitude': '40.87875827837968', 'longitude': '-73.9062730360959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,2057030197,,,,,,,
58965848,2023-09-29T07:08:54.000,2023-10-01T20:04:32.000,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10463,3045 GODWIN TERRACE,GODWIN TERRACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,08 BRONX,BRONX,1010169,259447,ONLINE,Unspecified,BRONX,40.87875827837968,-73.9062730360959,"{'latitude': '40.87875827837968', 'longitude': '-73.9062730360959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,2057030197,,,,,,,
