unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58969764,2023-09-30T14:15:39.000,2023-09-30T14:30:28.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,598 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T14:30:32.000,05 BROOKLYN,3045860945,BROOKLYN,1020207,178299,ONLINE,Unspecified,BROOKLYN,40.65599325559804,-73.87040829977123,"{'latitude': '40.65599325559804', 'longitude': '-73.87040829977123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,SCHROEDERS AVENUE,,,,,,
58968479,2023-09-30T14:14:54.000,2023-09-30T14:30:04.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,558 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T14:30:07.000,05 BROOKLYN,3044520926,BROOKLYN,1020032,178199,ONLINE,Unspecified,BROOKLYN,40.65571948667194,-73.87103954245387,"{'latitude': '40.65571948667194', 'longitude': '-73.87103954245387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,SCHROEDERS AVENUE,,,,,,
58977712,2023-09-30T14:14:53.000,2023-10-04T17:14:26.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11104,45-31 41 STREET,41 STREET,ADDRESS,SUNNYSIDE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-30T14:14:53.000,02 QUEENS,4001920016,QUEENS,1005450,209931,MOBILE,Unspecified,QUEENS,40.74286329533595,-73.92349401879648,"{'latitude': '40.74286329533595', 'longitude': '-73.92349401879648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS BOULEVARD,47 AVENUE,QUEENS BOULEVARD,47 AVENUE,41 STREET,,,,,,
59449835,2023-09-30T14:14:35.000,2023-10-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11226,220 EAST   23 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-30T00:00:00.000,14 BROOKLYN,3051660027,BROOKLYN,996564,173886,PHONE,Unspecified,BROOKLYN,40.64394497241458,-73.95562745687683,"{'latitude': '40.64394497241458', 'longitude': '-73.95562745687683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CORTELYOU ROAD,CLARENDON ROAD,CORTELYOU ROAD,CLARENDON ROAD,EAST   23 STREET,,,,,,
58976820,2023-09-30T14:14:22.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11378,64-30 60 ROAD,60 ROAD,ADDRESS,MASPETH,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,05 QUEENS,4027610086,QUEENS,1012332,200822,UNKNOWN,Unspecified,QUEENS,40.71784216117541,-73.89869648033012,"{'latitude': '40.71784216117541', 'longitude': '-73.89869648033012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58977639,2023-09-30T14:14:22.000,2023-10-24T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,1726 DAVIDSON AVENUE,DAVIDSON AVENUE,ADDRESS,BRONX,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-24T00:00:00.000,05 BRONX,2028610057,BRONX,1008186,248132,UNKNOWN,Unspecified,BRONX,40.847707639852395,-73.91348426609342,"{'latitude': '40.847707639852395', 'longitude': '-73.91348426609342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58968697,2023-09-30T14:14:10.000,2023-09-30T14:59:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,1101 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T15:00:03.000,09 BROOKLYN,3012747501,BROOKLYN,996937,182751,ONLINE,Unspecified,BROOKLYN,40.668276925846094,-73.95426670287726,"{'latitude': '40.668276925846094', 'longitude': '-73.95426670287726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,PRESIDENT STREET,,,,,,
59435896,2023-09-30T14:14:10.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10460,1717 BRYANT AVENUE,BRYANT AVENUE,ADDRESS,BRONX,Closed,,2023-10-10T00:00:00.000,03 BRONX,2029970026,BRONX,1015956,243866,ONLINE,Unspecified,BRONX,40.835974243824225,-73.88542010262525,"{'latitude': '40.835974243824225', 'longitude': '-73.88542010262525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,BRYANT AVENUE,,,,,,
58973383,2023-09-30T14:14:00.000,2023-09-30T14:42:55.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,120-10 ATLANTIC AVENUE,ATLANTIC AVENUE,ADDRESS,SOUTH RICHMOND HILL,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T14:42:58.000,09 QUEENS,4094380005,QUEENS,1032296,192299,MOBILE,Unspecified,QUEENS,40.69436268617851,-73.8267389443442,"{'latitude': '40.69436268617851', 'longitude': '-73.8267389443442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",120 STREET,121 STREET,120 STREET,121 STREET,ATLANTIC AVENUE,,,,,,
58968216,2023-09-30T14:14:00.000,2023-10-12T08:37:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,11226,590 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. The complaint was closed because attempts made to contact the complainant by phone and/or letter received no response.,2023-10-12T08:37:00.000,14 BROOKLYN,3051000056,BROOKLYN,995159,175479,ONLINE,Unspecified,BROOKLYN,40.64831925505935,-73.96068768845188,"{'latitude': '40.64831925505935', 'longitude': '-73.96068768845188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",TENNIS CT,ALBEMARLE RD,,,,N/A,,,,,
58976444,2023-09-30T14:13:43.000,2023-09-30T14:29:42.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,1132 ESSEX STREET,ESSEX STREET,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T14:29:47.000,05 BROOKLYN,3044520701,BROOKLYN,1019860,178375,ONLINE,Unspecified,BROOKLYN,40.6562032609717,-73.87165851044746,"{'latitude': '40.6562032609717', 'longitude': '-73.87165851044746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VANDALIA AVENUE,SCHROEDERS AVENUE,VANDALIA AVENUE,SCHROEDERS AVENUE,ESSEX STREET,,,,,,
58972833,2023-09-30T14:13:37.000,,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11203,855 SCHENECTADY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-19T10:01:15.000,17 BROOKLYN,3046730053,BROOKLYN,1002742,176925,ONLINE,Unspecified,BROOKLYN,40.6522756224889,-73.93335718937743,"{'latitude': '40.6522756224889', 'longitude': '-73.93335718937743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LINDEN BOULEVARD,CHURCH AVENUE,LINDEN BOULEVARD,CHURCH AVENUE,SCHENECTADY AVENUE,,,,,,
58973042,2023-09-30T14:13:30.000,2023-10-02T00:33:25.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11356,5-49 115 STREET,115 STREET,ADDRESS,COLLEGE POINT,Closed,The Department of Sanitation cleaned the location.,2023-10-02T00:33:28.000,07 QUEENS,4039330013,QUEENS,1025318,227201,MOBILE,Unspecified,QUEENS,40.790194958717315,-73.85168950707342,"{'latitude': '40.790194958717315', 'longitude': '-73.85168950707342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",POPPENHUSEN AVENUE,BAY PARK DRIVE,POPPENHUSEN AVENUE,BAY PARK DRIVE,115 STREET,,,,,,
58970849,2023-09-30T14:13:28.000,2023-09-30T14:50:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11432,83-23 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T14:50:27.000,08 QUEENS,4068620301,QUEENS,1037569,199903,MOBILE,Unspecified,QUEENS,40.71520362835054,-73.80766356816719,"{'latitude': '40.71520362835054', 'longitude': '-73.80766356816719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAND CENTRAL PARKWAY,COOLIDGE AVENUE,GRAND CENTRAL PARKWAY,COOLIDGE AVENUE,PARSONS BOULEVARD,,,,,,
58972659,2023-09-30T14:13:21.000,2023-10-01T18:57:03.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,1525 DORCHESTER ROAD,DORCHESTER ROAD,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3051580034,BROOKLYN,994416,172300,MOBILE,Unspecified,BROOKLYN,40.63959446916921,-73.96336999695863,"{'latitude': '40.63959446916921', 'longitude': '-73.96336999695863', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58968889,2023-09-30T14:13:06.000,2023-10-16T07:59:47.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11224,2850 WEST   36 STREET,WEST   36 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-16T00:00:00.000,13 BROOKLYN,3070040027,BROOKLYN,983706,149084,ONLINE,Unspecified,BROOKLYN,40.575877122865606,-74.00195826399771,"{'latitude': '40.575877122865606', 'longitude': '-74.00195826399771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58969303,2023-09-30T14:13:02.000,2023-10-04T09:31:20.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11214,156 BAY   14 STREET,BAY   14 STREET,ADDRESS,BROOKLYN,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-10-04T09:31:24.000,11 BROOKLYN,3063980068,BROOKLYN,981818,160111,ONLINE,Unspecified,BROOKLYN,40.60614371242514,-74.00875856087964,"{'latitude': '40.60614371242514', 'longitude': '-74.00875856087964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,BAY   14 STREET,,,,,,
59453964,2023-09-30T14:12:54.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11226,1525 DORCHESTER ROAD,DORCHESTER ROAD,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,14 BROOKLYN,3051580034,BROOKLYN,994416,172300,MOBILE,Unspecified,BROOKLYN,40.63959446916921,-73.96336999695863,"{'latitude': '40.63959446916921', 'longitude': '-73.96336999695863', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRIGHTON LINE,EAST   16 STREET,BRIGHTON LINE,EAST   16 STREET,DORCHESTER ROAD,,,,,,
58977656,2023-09-30T14:12:36.000,2023-09-30T14:29:18.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,541 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T14:29:22.000,05 BROOKLYN,3044520719,BROOKLYN,1019673,177998,ONLINE,Unspecified,BROOKLYN,40.655169229629884,-73.87233445375232,"{'latitude': '40.655169229629884', 'longitude': '-73.87233445375232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELTON STREET,ESSEX STREET,ELTON STREET,ESSEX STREET,SCHROEDERS AVENUE,,,,,,
58977123,2023-09-30T14:12:17.000,2023-09-30T14:34:17.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025,118 WEST  109 STREET,WEST  109 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T14:34:22.000,07 MANHATTAN,1018630045,MANHATTAN,994700,231287,ONLINE,Unspecified,MANHATTAN,40.80149916419462,-73.96225510969452,"{'latitude': '40.80149916419462', 'longitude': '-73.96225510969452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,WEST  109 STREET,,,,,,
59439622,2023-09-30T14:12:15.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door,Apartment,11224,2850 WEST   36 STREET,WEST   36 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-16T00:00:00.000,13 BROOKLYN,3070040027,BROOKLYN,983706,149084,ONLINE,Unspecified,BROOKLYN,40.575877122865606,-74.00195826399771,"{'latitude': '40.575877122865606', 'longitude': '-74.00195826399771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,WEST   36 STREET,,,,,,
58976827,2023-09-30T14:12:06.000,2023-09-30T14:51:43.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10002,150 ALLEN STREET,ALLEN STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T14:51:47.000,03 MANHATTAN,1004160068,MANHATTAN,987127,201829,MOBILE,Unspecified,MANHATTAN,40.720650235441745,-73.98962102266032,"{'latitude': '40.720650235441745', 'longitude': '-73.98962102266032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ALLEN STREET,,,,,,
58970956,2023-09-30T14:11:49.000,2023-09-30T14:59:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10468,2605 DAVIDSON AVENUE,DAVIDSON AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T14:59:28.000,07 BRONX,2032050049,BRONX,1012067,254987,MOBILE,Unspecified,BRONX,40.8665111771631,-73.8994281081239,"{'latitude': '40.8665111771631', 'longitude': '-73.8994281081239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  192 STREET,WEST KINGSBRIDGE ROAD,WEST  192 STREET,WEST KINGSBRIDGE ROAD,DAVIDSON AVENUE,,,,,,
58975249,2023-09-30T14:11:44.000,2023-09-30T14:28:58.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T14:29:02.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,
58975235,2023-09-30T14:11:21.000,2023-10-16T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10037,53 EAST  131 STREET,EAST  131 STREET,ADDRESS,NEW YORK,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-16T00:00:00.000,11 MANHATTAN,1017560030,MANHATTAN,1001583,234144,UNKNOWN,Unspecified,MANHATTAN,40.8093300190546,-73.93738668006867,"{'latitude': '40.8093300190546', 'longitude': '-73.93738668006867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58977706,2023-09-30T14:11:11.000,2023-09-30T14:11:11.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11239,175 ARDSLEY LOOP,ARDSLEY LOOP,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-30T14:11:11.000,05 BROOKLYN,3044350001,BROOKLYN,1016510,176984,PHONE,Unspecified,BROOKLYN,40.652398111425946,-73.88373883616423,"{'latitude': '40.652398111425946', 'longitude': '-73.88373883616423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEND,BEND,BEND,BEND,ARDSLEY LOOP,,,,,,
58968231,2023-09-30T14:11:00.000,2023-10-07T10:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11237,157 WILSON AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-07T10:15:00.000,04 BROOKLYN,3032190003,BROOKLYN,1005092,194390,ONLINE,Unspecified,BROOKLYN,40.700207870339426,-73.92483408358545,"{'latitude': '40.700207870339426', 'longitude': '-73.92483408358545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SUYDAM ST,HART ST,,,,N/A,,,,,
58968236,2023-09-30T14:11:00.000,2023-10-01T15:40:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11228,,,INTERSECTION,BROOKLYN,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-01T15:40:00.000,10 BROOKLYN,,BROOKLYN,981656,163343,PHONE,Unspecified,BROOKLYN,40.615014842201674,-74.00934322625059,"{'latitude': '40.615014842201674', 'longitude': '-74.00934322625059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,14 AVENUE,82 STREET,,,,,,,
58973203,2023-09-30T14:11:00.000,2023-10-01T03:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11422,259-70 148 DRIVE,148 DRIVE,ADDRESS,ROSEDALE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T03:15:00.000,13 QUEENS,4136890035,QUEENS,1059405,177505,ONLINE,Unspecified,QUEENS,40.65356798324649,-73.72914530860928,"{'latitude': '40.65356798324649', 'longitude': '-73.72914530860928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",259 ST,HOOK CREEK BLVD,,,,,,,,,
58969154,2023-09-30T14:10:44.000,2023-09-30T14:28:22.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,507 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T14:28:27.000,05 BROOKLYN,3044520451,BROOKLYN,1019433,177859,ONLINE,Unspecified,BROOKLYN,40.654788662239774,-73.87320014483838,"{'latitude': '40.654788662239774', 'longitude': '-73.87320014483838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,
58973109,2023-09-30T14:10:42.000,2023-10-05T08:16:02.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11423,89-31 185 STREET,185 STREET,ADDRESS,HOLLIS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-03T04:15:25.000,12 QUEENS,4099260006,QUEENS,1046387,198911,PHONE,Unspecified,QUEENS,40.712423296621296,-73.77586387982306,"{'latitude': '40.712423296621296', 'longitude': '-73.77586387982306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",89 AVENUE,90 AVENUE,89 AVENUE,90 AVENUE,185 STREET,,,,,,
58976319,2023-09-30T14:10:39.000,2023-10-04T14:58:28.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10456,1011 SHERIDAN AVENUE,SHERIDAN AVENUE,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,04 BRONX,2024610130,BRONX,1006531,241465,PHONE,Unspecified,BRONX,40.829413000530494,-73.9194883436301,"{'latitude': '40.829413000530494', 'longitude': '-73.9194883436301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58975823,2023-09-30T14:10:12.000,2023-09-30T14:27:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11432,84-74 HOME LAWN STREET,HOME LAWN STREET,ADDRESS,JAMAICA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T14:27:45.000,08 QUEENS,4098640084,QUEENS,1041636,199913,PHONE,Unspecified,QUEENS,40.71520563075225,-73.79299273779891,"{'latitude': '40.71520563075225', 'longitude': '-73.79299273779891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASPEN PLACE,171 STREET,ASPEN PLACE,171 STREET,HOMELAWN STREET,,,,,,
58977023,2023-09-30T14:10:00.000,2023-10-01T02:40:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10024,205 WEST   89 STREET,WEST   89 STREET,ADDRESS,NEW YORK,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-01T02:40:00.000,07 MANHATTAN,1012370017,MANHATTAN,991297,227104,UNKNOWN,Unspecified,MANHATTAN,40.79002133354373,-73.974550968311,"{'latitude': '40.79002133354373', 'longitude': '-73.974550968311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVE,BROADWAY,,,,,,,,,
58973785,2023-09-30T14:09:57.000,2023-10-13T11:05:41.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10467,2751 BARKER AVENUE,BARKER AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,11 BRONX,2045060001,BRONX,1020441,254816,PHONE,Unspecified,BRONX,40.86601147424283,-73.86915301642351,"{'latitude': '40.86601147424283', 'longitude': '-73.86915301642351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58976201,2023-09-30T14:09:57.000,2023-10-13T10:56:54.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10467,2751 BARKER AVENUE,BARKER AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,11 BRONX,2045060001,BRONX,1020441,254816,PHONE,Unspecified,BRONX,40.86601147424283,-73.86915301642351,"{'latitude': '40.86601147424283', 'longitude': '-73.86915301642351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58976350,2023-09-30T14:09:57.000,2023-10-13T10:56:54.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10467,2751 BARKER AVENUE,BARKER AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,11 BRONX,2045060001,BRONX,1020441,254816,PHONE,Unspecified,BRONX,40.86601147424283,-73.86915301642351,"{'latitude': '40.86601147424283', 'longitude': '-73.86915301642351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58968892,2023-09-30T14:09:56.000,2023-10-13T10:56:53.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10467,2751 BARKER AVENUE,BARKER AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,11 BRONX,2045060001,BRONX,1020441,254816,PHONE,Unspecified,BRONX,40.86601147424283,-73.86915301642351,"{'latitude': '40.86601147424283', 'longitude': '-73.86915301642351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58971468,2023-09-30T14:09:56.000,2023-10-13T11:05:41.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10467,2751 BARKER AVENUE,BARKER AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,11 BRONX,2045060001,BRONX,1020441,254816,PHONE,Unspecified,BRONX,40.86601147424283,-73.86915301642351,"{'latitude': '40.86601147424283', 'longitude': '-73.86915301642351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
