unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_pick_up_location,vehicle_type,taxi_company_borough,road_ramp
58914043,2023-09-24T08:44:02.000,,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,10314,275 WILD AVENUE,WILD AVENUE,BERESFORD AVENUE,EAST SERVICE ROAD,BERESFORD AVENUE,EAST SERVICE ROAD,ADDRESS,STATEN ISLAND,WILD AVENUE,In Progress,,,02 STATEN ISLAND,5026380050,STATEN ISLAND,931131,153256,ONLINE,Unspecified,STATEN ISLAND,40.58716929328695,-74.19124760479292,"{'latitude': '40.58716929328695', 'longitude': '-74.19124760479292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914099,2023-09-24T08:44:00.000,2023-09-24T12:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11429,101-02 224 STREET,224 STREET,101 AVE,HEMPSTEAD AVE,,,ADDRESS,QUEENS VILLAGE,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-24T12:15:00.000,13 QUEENS,4107960033,QUEENS,1059157,199180,PHONE,Unspecified,QUEENS,40.713062734096226,-73.72979812794271,"{'latitude': '40.713062734096226', 'longitude': '-73.72979812794271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914094,2023-09-24T08:44:00.000,2023-09-24T09:45:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11366,,,,,78 AVENUE,165 STREET,INTERSECTION,QUEENS,,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-24T09:45:00.000,08 QUEENS,,QUEENS,1038724,202765,PHONE,Unspecified,QUEENS,40.723052073936515,-73.80347401431737,"{'latitude': '40.723052073936515', 'longitude': '-73.80347401431737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914985,2023-09-24T08:43:51.000,2023-09-24T09:43:03.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11416,97-53 104 STREET,104 STREET,97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,ADDRESS,OZONE PARK,104 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T09:43:07.000,09 QUEENS,4094060137,QUEENS,1028696,189846,PHONE,Unspecified,QUEENS,40.68764858999195,-73.83973723605165,"{'latitude': '40.68764858999195', 'longitude': '-73.83973723605165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910715,2023-09-24T08:43:33.000,2023-09-26T13:58:31.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,10025,149 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST  106 STREET,WEST  107 STREET,WEST  106 STREET,WEST  107 STREET,ADDRESS,NEW YORK,MANHATTAN AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-25T11:18:15.000,07 MANHATTAN,1018420051,MANHATTAN,994998,230405,ONLINE,Unspecified,MANHATTAN,40.799077957913624,-73.96118016017036,"{'latitude': '40.799077957913624', 'longitude': '-73.96118016017036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913379,2023-09-24T08:43:11.000,2023-09-24T10:14:05.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10452,1214 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WEST  167 STREET,ANDERSON AVENUE,WEST  167 STREET,ANDERSON AVENUE,ADDRESS,BRONX,SHAKESPEARE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T10:14:08.000,04 BRONX,2025060022,BRONX,1005474,244285,ONLINE,Unspecified,BRONX,40.83715568860275,-73.9232988537014,"{'latitude': '40.83715568860275', 'longitude': '-73.9232988537014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914651,2023-09-24T08:42:12.000,2023-09-25T11:56:33.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10465,HOLLYWOOD AVENUE,HOLLYWOOD AVENUE,HOLLYWOOD AVENUE,MILES AVENUE,HOLLYWOOD AVENUE,MILES AVENUE,INTERSECTION,,,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-25T11:56:41.000,10 BRONX,,BRONX,1035436,237976,ONLINE,Unspecified,BRONX,40.81971649076088,-73.81506792137138,"{'latitude': '40.81971649076088', 'longitude': '-73.81506792137138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915073,2023-09-24T08:41:27.000,2023-09-24T09:13:42.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,55-40 137 STREET,137 STREET,ELDER AVENUE,56 AVENUE,ELDER AVENUE,56 AVENUE,ADDRESS,FLUSHING,137 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T09:13:47.000,07 QUEENS,4051200066,QUEENS,1031976,212296,PHONE,Unspecified,QUEENS,40.74925124428419,-73.82775110988787,"{'latitude': '40.74925124428419', 'longitude': '-73.82775110988787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911556,2023-09-24T08:41:00.000,2023-10-01T10:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11213,24 FORD STREET,FORD STREET,CARROLL ST,CROWN ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-01T10:45:00.000,09 BROOKLYN,3014150035,BROOKLYN,1003846,181703,ONLINE,Unspecified,BROOKLYN,40.66538780342483,-73.92936463074632,"{'latitude': '40.66538780342483', 'longitude': '-73.92936463074632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58916049,2023-09-24T08:40:59.000,2023-09-24T08:58:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,1151 EAST  229 STREET,EAST  229 STREET,229 DRIVE SOUTH,229 DRIVE SOUTH,229 DRIVE SOUTH,229 DRIVE SOUTH,ADDRESS,BRONX,EAST  229 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T08:58:22.000,12 BRONX,2049050001,BRONX,1027075,262182,ONLINE,Unspecified,BRONX,40.88619914814115,-73.84512103807826,"{'latitude': '40.88619914814115', 'longitude': '-73.84512103807826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911721,2023-09-24T08:40:48.000,2023-09-24T10:26:59.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,1810 HIMROD STREET,HIMROD STREET,SENECA AVENUE,ONDERDONK AVENUE,SENECA AVENUE,ONDERDONK AVENUE,ADDRESS,RIDGEWOOD,HIMROD STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T10:27:03.000,05 QUEENS,4034300014,QUEENS,1008276,196712,MOBILE,Unspecified,QUEENS,40.70657313994362,-73.91334282582504,"{'latitude': '40.70657313994362', 'longitude': '-73.91334282582504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911003,2023-09-24T08:40:00.000,2023-09-24T09:55:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,57 AVE,QUEENS CTR MALL GARAGE,INTERSECTION,,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T09:55:00.000,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,,,
58913025,2023-09-24T08:39:56.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10065,1175 YORK AVENUE,YORK AVENUE,EAST   63 STREET,EAST   64 STREET,EAST   63 STREET,EAST   64 STREET,ADDRESS,NEW YORK,YORK AVENUE,In Progress,,,08 MANHATTAN,1014587502,MANHATTAN,995946,216664,UNKNOWN,Unspecified,MANHATTAN,40.76136134990866,-73.95778007602088,"{'latitude': '40.76136134990866', 'longitude': '-73.95778007602088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914411,2023-09-24T08:39:52.000,2023-09-24T09:40:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11205,165 PARK AVENUE,PARK AVENUE,CARLTON AVENUE,ADELPHI STREET,CARLTON AVENUE,ADELPHI STREET,ADDRESS,BROOKLYN,PARK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T09:40:34.000,02 BROOKLYN,3020310057,BROOKLYN,991784,192932,ONLINE,Unspecified,BROOKLYN,40.6962273371799,-73.97283052760437,"{'latitude': '40.6962273371799', 'longitude': '-73.97283052760437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916133,2023-09-24T08:39:44.000,2023-09-24T09:03:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11231,151 RICHARDS STREET,RICHARDS STREET,SULLIVAN STREET,WOLCOTT STREET,SULLIVAN STREET,WOLCOTT STREET,ADDRESS,BROOKLYN,RICHARDS STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T09:03:43.000,06 BROOKLYN,3005570001,BROOKLYN,981206,185807,MOBILE,Unspecified,BROOKLYN,40.67667352732372,-74.01097420017709,"{'latitude': '40.67667352732372', 'longitude': '-74.01097420017709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912659,2023-09-24T08:39:24.000,2023-09-24T09:06:58.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T09:07:02.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911794,2023-09-24T08:38:59.000,2023-09-24T08:56:06.000,NYPD,New York City Police Department,Panhandling,N/A,Residential Building/House,11215,161 PROSPECT PARK WEST,PROSPECT PARK WEST,10 STREET,11 STREET,10 STREET,11 STREET,ADDRESS,BROOKLYN,PROSPECT PARK WEST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T08:56:08.000,06 BROOKLYN,3010950050,BROOKLYN,990416,181008,MOBILE,Unspecified,BROOKLYN,40.66349972132597,-73.97777478483737,"{'latitude': '40.66349972132597', 'longitude': '-73.97777478483737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915891,2023-09-24T08:38:57.000,2023-09-24T09:15:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,35-11 103 STREET,103 STREET,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,CORONA,103 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T09:15:32.000,03 QUEENS,4017450045,QUEENS,1021647,214192,PHONE,Unspecified,QUEENS,40.754504993411466,-73.86501910510104,"{'latitude': '40.754504993411466', 'longitude': '-73.86501910510104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910727,2023-09-24T08:38:48.000,2023-09-25T15:47:42.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Stoop Line Stand,Business,10467,323 EAST GUN HILL ROAD,EAST GUN HILL ROAD,PERRY AVENUE,HULL AVENUE,PERRY AVENUE,HULL AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Transportation (DOT). NYC311 can help you file a complaint or contact the agency for further assistance.,2023-09-25T15:47:46.000,07 BRONX,2033560107,BRONX,1019173,259515,ONLINE,Unspecified,BRONX,40.878913881658384,-73.8737129159977,"{'latitude': '40.878913881658384', 'longitude': '-73.8737129159977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916271,2023-09-24T08:38:39.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10016,626 1 AVENUE,1 AVENUE,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,06 MANHATTAN,1009670001,MANHATTAN,991818,210664,PHONE,Unspecified,MANHATTAN,40.74489736936712,-73.97268797740104,"{'latitude': '40.74489736936712', 'longitude': '-73.97268797740104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910839,2023-09-24T08:38:35.000,2023-09-24T09:21:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11001,87-28 258 STREET,258 STREET,87 AVENUE,87 ROAD,87 AVENUE,87 ROAD,ADDRESS,FLORAL PARK,258 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T09:21:42.000,13 QUEENS,4088250050,QUEENS,1065251,205540,PHONE,Unspecified,QUEENS,40.730465607494985,-73.70773968216457,"{'latitude': '40.730465607494985', 'longitude': '-73.70773968216457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915587,2023-09-24T08:38:33.000,2023-09-24T10:06:16.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11004,268 STREET,268 STREET,83 AVENUE,EAST WILLISTON AVENUE,83 AVENUE,EAST WILLISTON AVENUE,BLOCKFACE,QUEENS,,Closed,The Department of Homeless Services has reviewed your Service Request and determined that the issue is not within its jurisdiction.,2023-09-24T10:06:16.000,13 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,,
58912695,2023-09-24T08:38:30.000,2023-09-24T09:24:55.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10011,418 WEST   17 STREET,WEST   17 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   17 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:24:59.000,04 MANHATTAN,1007140031,MANHATTAN,982932,210039,ONLINE,Unspecified,MANHATTAN,40.74318504069805,-74.00475638478369,"{'latitude': '40.74318504069805', 'longitude': '-74.00475638478369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915952,2023-09-24T08:38:24.000,2023-09-24T13:16:54.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11414,156-10 79 STREET,79 STREET,156 AVENUE,157 AVENUE,156 AVENUE,157 AVENUE,ADDRESS,HOWARD BEACH,79 STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-24T13:16:59.000,10 QUEENS,4139417501,QUEENS,1024701,180463,ONLINE,Unspecified,QUEENS,40.66191356258757,-73.85419863663098,"{'latitude': '40.66191356258757', 'longitude': '-73.85419863663098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914685,2023-09-24T08:38:02.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10036,315 WEST   44 STREET,WEST   44 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   44 STREET,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-19T14:39:52.000,04 MANHATTAN,1010350017,MANHATTAN,987146,215743,ONLINE,Unspecified,MANHATTAN,40.758840703062916,-73.98954648867988,"{'latitude': '40.758840703062916', 'longitude': '-73.98954648867988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,"315 WEST   44 STREET, MANHATTAN (NEW YORK), NY, 10036",,,
58910108,2023-09-24T08:37:57.000,2023-09-24T08:55:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,41-27 69 STREET,69 STREET,41 AVENUE,BROOKLYN QUEENS EXPRESSWAY,41 AVENUE,BROOKLYN QUEENS EXPRESSWAY,ADDRESS,WOODSIDE,69 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T08:55:53.000,02 QUEENS,4013090015,QUEENS,1013108,210326,MOBILE,Unspecified,QUEENS,40.74392579734006,-73.8958563653358,"{'latitude': '40.74392579734006', 'longitude': '-73.8958563653358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910012,2023-09-24T08:37:13.000,2023-09-24T09:10:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,1191 EAST   14 STREET,EAST   14 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST   14 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T09:10:43.000,14 BROOKLYN,3067250049,BROOKLYN,994939,165451,PHONE,Unspecified,BROOKLYN,40.62079479631175,-73.96149637757745,"{'latitude': '40.62079479631175', 'longitude': '-73.96149637757745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915636,2023-09-24T08:37:07.000,2023-09-29T15:05:34.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11203,913 EAST   48 STREET,EAST   48 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,EAST   48 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-27T09:40:58.000,17 BROOKLYN,3047830074,BROOKLYN,1003415,172039,ONLINE,Unspecified,BROOKLYN,40.63886317986048,-73.93094566524292,"{'latitude': '40.63886317986048', 'longitude': '-73.93094566524292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910122,2023-09-24T08:36:59.000,2023-09-24T09:11:17.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11427,89-84 VANDERVEER STREET,VANDERVEER STREET,89 AVENUE,90 AVENUE,89 AVENUE,90 AVENUE,ADDRESS,QUEENS VILLAGE,VANDERVEER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:11:22.000,13 QUEENS,4106560178,QUEENS,1054178,202963,ONLINE,Unspecified,QUEENS,40.72348687068531,-73.74771879693594,"{'latitude': '40.72348687068531', 'longitude': '-73.74771879693594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913162,2023-09-24T08:36:19.000,2023-09-24T15:36:06.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11213,1459 STERLING PLACE,STERLING PLACE,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,STERLING PLACE,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-24T15:36:10.000,08 BROOKLYN,3013730076,BROOKLYN,1003624,183909,ONLINE,Unspecified,BROOKLYN,40.67144326820388,-73.9301585074734,"{'latitude': '40.67144326820388', 'longitude': '-73.9301585074734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915351,2023-09-24T08:36:01.000,2023-09-25T13:02:46.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11218,780 EAST    2 STREET,EAST    2 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,14 BROOKLYN,3054080031,BROOKLYN,990852,169563,MOBILE,Unspecified,BROOKLYN,40.6320853604724,-73.97621443386785,"{'latitude': '40.6320853604724', 'longitude': '-73.97621443386785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914169,2023-09-24T08:35:41.000,2023-09-24T08:44:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T08:44:58.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912717,2023-09-24T08:35:39.000,2023-09-24T08:53:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,78 GRAND STREET,GRAND STREET,WOOSTER STREET,GREENE STREET,WOOSTER STREET,GREENE STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-24T08:53:07.000,02 MANHATTAN,1004750058,MANHATTAN,983515,202266,ONLINE,Unspecified,MANHATTAN,40.72185013226063,-74.0026516112872,"{'latitude': '40.72185013226063', 'longitude': '-74.0026516112872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910689,2023-09-24T08:35:31.000,2023-09-27T13:38:11.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11218,38 EAST    4 STREET,EAST    4 STREET,VANDERBILT STREET,GREENWOOD AVENUE,VANDERBILT STREET,GREENWOOD AVENUE,ADDRESS,BROOKLYN,EAST    4 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-26T10:12:39.000,07 BROOKLYN,3052720023,BROOKLYN,990339,176728,ONLINE,Unspecified,BROOKLYN,40.651752114457075,-73.97805619430814,"{'latitude': '40.651752114457075', 'longitude': '-73.97805619430814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913887,2023-09-24T08:35:30.000,2023-09-26T14:15:58.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11218,780 EAST    2 STREET,EAST    2 STREET,AVENUE F,18 AVENUE,AVENUE F,18 AVENUE,ADDRESS,BROOKLYN,EAST    2 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-24T08:35:30.000,14 BROOKLYN,3054080031,BROOKLYN,990852,169563,MOBILE,Unspecified,BROOKLYN,40.6320853604724,-73.97621443386785,"{'latitude': '40.6320853604724', 'longitude': '-73.97621443386785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913738,2023-09-24T08:35:29.000,2023-09-25T19:49:29.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10466,4236 ELY AVENUE,ELY AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,12 BRONX,2050170015,BRONX,1026436,265488,MOBILE,Unspecified,BRONX,40.89527613744921,-73.84741118477721,"{'latitude': '40.89527613744921', 'longitude': '-73.84741118477721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911779,2023-09-24T08:35:20.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11205,590 MYRTLE AVENUE,MYRTLE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-25T00:00:00.000,03 BROOKLYN,3019100025,BROOKLYN,995124,192136,UNKNOWN,Unspecified,BROOKLYN,40.69403902833231,-73.96078694567967,"{'latitude': '40.69403902833231', 'longitude': '-73.96078694567967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916209,2023-09-24T08:34:55.000,2023-09-25T07:34:30.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459,900 FOX STREET,FOX STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,02 BRONX,2027220048,BRONX,1013578,237936,ONLINE,Unspecified,BRONX,40.819706316090034,-73.89403968924076,"{'latitude': '40.819706316090034', 'longitude': '-73.89403968924076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914919,2023-09-24T08:34:37.000,2023-09-24T08:54:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10467,323 EAST GUN HILL ROAD,EAST GUN HILL ROAD,PERRY AVENUE,HULL AVENUE,PERRY AVENUE,HULL AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T08:54:13.000,07 BRONX,2033560107,BRONX,1019173,259515,ONLINE,Unspecified,BRONX,40.878913881658384,-73.8737129159977,"{'latitude': '40.878913881658384', 'longitude': '-73.8737129159977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915604,2023-09-24T08:34:26.000,2023-09-24T08:39:24.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-24T08:39:24.000,Unspecified MANHATTAN,,MANHATTAN,987606,212392,MOBILE,Unspecified,MANHATTAN,40.74964289667063,-73.98788772779935,"{'latitude': '40.74964289667063', 'longitude': '-73.98788772779935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,B,Mezzanine,,,,,
