unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,bridge_highway_direction,road_ramp
58887060,2023-09-21T10:49:18.000,2023-09-21T11:10:21.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11226,2307 CLARENDON ROAD,CLARENDON ROAD,EAST   23 STREET,BEDFORD AVENUE,EAST   23 STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,CLARENDON ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:10:27.000,14 BROOKLYN,3051670049,BROOKLYN,996653,173486,ONLINE,Unspecified,BROOKLYN,40.642846934396644,-73.95530748773398,"{'latitude': '40.642846934396644', 'longitude': '-73.95530748773398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888420,2023-09-21T10:49:11.000,2023-09-28T16:44:17.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10034,98 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006040,255774,PHONE,Unspecified,MANHATTAN,40.868688186686455,-73.92121605195722,"{'latitude': '40.868688186686455', 'longitude': '-73.92121605195722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888829,2023-09-21T10:49:01.000,2023-09-28T15:19:49.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,11209,230 73 STREET,73 STREET,RIDGE BOULEVARD,3 AVENUE,RIDGE BOULEVARD,3 AVENUE,ADDRESS,BROOKLYN,73 STREET,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-28T15:19:52.000,10 BROOKLYN,3059170016,BROOKLYN,976210,169985,MOBILE,Unspecified,BROOKLYN,40.63324247254546,-74.02896686892764,"{'latitude': '40.63324247254546', 'longitude': '-74.02896686892764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"230 73 STREET, BROOKLYN, NY, 11209",,,,
58882185,2023-09-21T10:48:59.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11418,86-04 117 STREET,117 STREET,HILLSIDE AVENUE,JAMAICA AVENUE,HILLSIDE AVENUE,JAMAICA AVENUE,ADDRESS,RICHMOND HILL,117 STREET,In Progress,,,09 QUEENS,4092540010,QUEENS,1030651,194351,MOBILE,Unspecified,QUEENS,40.70000371617393,-73.83265690910213,"{'latitude': '40.70000371617393', 'longitude': '-73.83265690910213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885895,2023-09-21T10:48:53.000,2023-09-26T13:24:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10034,98 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006040,255774,ONLINE,Unspecified,MANHATTAN,40.868688186686455,-73.92121605195722,"{'latitude': '40.868688186686455', 'longitude': '-73.92121605195722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890183,2023-09-21T10:48:52.000,2023-09-21T11:00:20.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11222,205 GREENPOINT AVENUE,GREENPOINT AVENUE,MCGUINNESS BOULEVARD,NEWEL STREET,MCGUINNESS BOULEVARD,NEWEL STREET,ADDRESS,BROOKLYN,GREENPOINT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T11:00:17.000,01 BROOKLYN,3025600050,BROOKLYN,997815,205425,MOBILE,Unspecified,BROOKLYN,40.73051044794637,-73.95105607671246,"{'latitude': '40.73051044794637', 'longitude': '-73.95105607671246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888571,2023-09-21T10:48:52.000,2023-10-10T08:44:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11213,1014 PARK PLACE,PARK PLACE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,08 BROOKLYN,3012430013,BROOKLYN,999872,184495,PHONE,Unspecified,BROOKLYN,40.67305912234488,-73.94368276093607,"{'latitude': '40.67305912234488', 'longitude': '-73.94368276093607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891344,2023-09-21T10:48:46.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11417,132-22 82 STREET,82 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,OZONE PARK,82 STREET,In Progress,,,10 QUEENS,4113440017,QUEENS,1024638,185157,PHONE,Unspecified,QUEENS,40.67479781585233,-73.8543975906155,"{'latitude': '40.67479781585233', 'longitude': '-73.8543975906155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884639,2023-09-21T10:48:43.000,2023-10-06T19:36:38.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11209,9601 SHORE ROAD,SHORE ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,10 BROOKLYN,3061240005,BROOKLYN,973723,163617,PHONE,Unspecified,BROOKLYN,40.61576104163333,-74.03791721091247,"{'latitude': '40.61576104163333', 'longitude': '-74.03791721091247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884450,2023-09-21T10:48:38.000,2023-09-27T15:08:35.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10306,351 GUYON AVENUE,GUYON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,03 STATEN ISLAND,5040260008,STATEN ISLAND,951536,142958,PHONE,Unspecified,STATEN ISLAND,40.55900211773963,-74.11773251203019,"{'latitude': '40.55900211773963', 'longitude': '-74.11773251203019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881825,2023-09-21T10:48:38.000,2023-09-27T15:08:37.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10306,351 GUYON AVENUE,GUYON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,03 STATEN ISLAND,5040260008,STATEN ISLAND,951536,142958,PHONE,Unspecified,STATEN ISLAND,40.55900211773963,-74.11773251203019,"{'latitude': '40.55900211773963', 'longitude': '-74.11773251203019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883157,2023-09-21T10:48:38.000,2023-09-27T15:08:34.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10306,351 GUYON AVENUE,GUYON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,03 STATEN ISLAND,5040260008,STATEN ISLAND,951536,142958,PHONE,Unspecified,STATEN ISLAND,40.55900211773963,-74.11773251203019,"{'latitude': '40.55900211773963', 'longitude': '-74.11773251203019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881980,2023-09-21T10:48:38.000,2023-09-27T15:08:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10306,351 GUYON AVENUE,GUYON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,03 STATEN ISLAND,5040260008,STATEN ISLAND,951536,142958,PHONE,Unspecified,STATEN ISLAND,40.55900211773963,-74.11773251203019,"{'latitude': '40.55900211773963', 'longitude': '-74.11773251203019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887496,2023-09-21T10:48:28.000,2023-10-04T10:10:32.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11385,78-51 79 LANE,79 LANE,78 ROAD,MYRTLE AVENUE,78 ROAD,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,79 LANE,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:40.000,05 QUEENS,4038300010,QUEENS,1020492,195754,PHONE,Unspecified,QUEENS,40.703902055629925,-73.86928726708852,"{'latitude': '40.703902055629925', 'longitude': '-73.86928726708852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889634,2023-09-21T10:48:25.000,2023-09-21T11:06:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10314,91 QUINLAN AVENUE,QUINLAN AVENUE,PURDY AVENUE,NORTH GANNON AVENUE,PURDY AVENUE,NORTH GANNON AVENUE,ADDRESS,STATEN ISLAND,QUINLAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T11:06:32.000,01 STATEN ISLAND,5007210075,STATEN ISLAND,948465,161493,ONLINE,Unspecified,STATEN ISLAND,40.6098650952254,-74.12888268305225,"{'latitude': '40.6098650952254', 'longitude': '-74.12888268305225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888016,2023-09-21T10:48:16.000,2023-09-21T11:18:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,41-11 39 STREET,39 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,39 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:18:58.000,02 QUEENS,4001870016,QUEENS,1004890,211499,MOBILE,Unspecified,QUEENS,40.747168385914655,-73.9255101186667,"{'latitude': '40.747168385914655', 'longitude': '-73.9255101186667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889994,2023-09-21T10:48:02.000,2023-09-21T13:10:51.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11101,38-46 11 STREET,11 STREET,38 AVENUE,40 AVENUE,38 AVENUE,40 AVENUE,ADDRESS,LONG ISLAND CITY,11 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T13:10:55.000,01 QUEENS,,QUEENS,1000316,215461,ONLINE,Unspecified,QUEENS,40.75805256272111,-73.94200823979739,"{'latitude': '40.75805256272111', 'longitude': '-73.94200823979739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888240,2023-09-21T10:47:58.000,2023-09-21T11:02:26.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,243 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,WHITE STREET,BOGART STREET,ADDRESS,BROOKLYN,VARET STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:02:24.000,01 BROOKLYN,,BROOKLYN,1002442,195777,ONLINE,Unspecified,BROOKLYN,40.70402070374076,-73.93438746180568,"{'latitude': '40.70402070374076', 'longitude': '-73.93438746180568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882126,2023-09-21T10:47:55.000,2023-09-21T11:20:53.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,149-05 121 STREET,121 STREET,149 AVENUE,150 AVENUE,149 AVENUE,150 AVENUE,ADDRESS,SOUTH OZONE PARK,121 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:20:57.000,10 QUEENS,4118220033,QUEENS,1034275,182722,MOBILE,Unspecified,QUEENS,40.66806508787454,-73.81967348983574,"{'latitude': '40.66806508787454', 'longitude': '-73.81967348983574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885606,2023-09-21T10:47:48.000,2023-09-21T11:20:44.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11226,1048 FLATBUSH AVENUE,FLATBUSH AVENUE,REGENT PLACE,DURYEA PLACE,REGENT PLACE,DURYEA PLACE,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T11:20:53.000,14 BROOKLYN,3051250068,BROOKLYN,995888,174481,MOBILE,Unspecified,BROOKLYN,40.645579033105136,-73.95806234355005,"{'latitude': '40.645579033105136', 'longitude': '-73.95806234355005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881754,2023-09-21T10:47:47.000,2023-09-21T10:51:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T10:51:53.000,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,40.74558133205491,-73.94977105605933,"{'latitude': '40.74558133205491', 'longitude': '-73.94977105605933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890224,2023-09-21T10:47:47.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10128,1817 2 AVENUE,2 AVENUE,EAST   94 STREET,EAST   95 STREET,EAST   94 STREET,EAST   95 STREET,ADDRESS,NEW YORK,2 AVENUE,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T10:23:45.000,08 MANHATTAN,1015400022,MANHATTAN,998656,224564,ONLINE,Unspecified,MANHATTAN,40.783040781528804,-73.9479806540169,"{'latitude': '40.783040781528804', 'longitude': '-73.9479806540169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"1817 2 AVENUE, MANHATTAN (NEW YORK), NY, 10128",,,,
58886752,2023-09-21T10:47:44.000,2023-09-21T11:05:14.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11224,HART PLACE,HART PLACE,HART PLACE,WEST   15 STREET,HART PLACE,WEST   15 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:05:23.000,13 BROOKLYN,,BROOKLYN,988778,151455,PHONE,Unspecified,BROOKLYN,40.58238391057632,-73.98369874389721,"{'latitude': '40.58238391057632', 'longitude': '-73.98369874389721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890000,2023-09-21T10:47:09.000,2023-09-21T10:55:40.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11434,120-66 171 STREET,171 STREET,120 AVENUE,BAISLEY BOULEVARD,120 AVENUE,BAISLEY BOULEVARD,ADDRESS,JAMAICA,171 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T10:54:41.000,12 QUEENS,4123870072,QUEENS,1047084,187819,PHONE,Unspecified,QUEENS,40.6819735172914,-73.77345319829143,"{'latitude': '40.6819735172914', 'longitude': '-73.77345319829143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882570,2023-09-21T10:47:06.000,2023-09-22T07:31:57.000,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,Intersection,10454,EAST  136 STREET,EAST  136 STREET,EAST  136 STREET,WILLIS AVENUE,EAST  136 STREET,WILLIS AVENUE,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-22T07:31:56.000,01 BRONX,,BRONX,1005334,233593,PHONE,Unspecified,BRONX,40.80780952182105,-73.92383839303326,"{'latitude': '40.80780952182105', 'longitude': '-73.92383839303326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882293,2023-09-21T10:47:04.000,2023-11-01T14:44:11.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10002,COLEMAN PLAYGROUND,COLEMAN PLAYGROUND,MONROE STREET,CHERRY STREET,MONROE STREET,CHERRY STREET,UNRECOGNIZED,NEW YORK,COLEMAN PLAYGROUND,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-11-01T14:44:14.000,03 MANHATTAN,1002540001,MANHATTAN,986039,198402,MOBILE,Coleman Playground,MANHATTAN,40.71124422780536,-73.9935469689718,"{'latitude': '40.71124422780536', 'longitude': '-73.9935469689718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890577,2023-09-21T10:47:01.000,2023-09-21T11:18:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,41-11 39 STREET,39 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,39 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:18:59.000,02 QUEENS,4001870016,QUEENS,1004890,211499,MOBILE,Unspecified,QUEENS,40.747168385914655,-73.9255101186667,"{'latitude': '40.747168385914655', 'longitude': '-73.9255101186667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885520,2023-09-21T10:47:00.000,2023-09-21T13:57:00.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,131-11 SANFORD AVENUE,SANFORD AVENUE,DELONG STREET,MAPLE AVENUE,DELONG STREET,MAPLE AVENUE,ADDRESS,FLUSHING,SANFORD AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T13:57:05.000,07 QUEENS,4050610024,QUEENS,1029814,214117,PHONE,Unspecified,QUEENS,40.754260824175624,-73.83554167097523,"{'latitude': '40.754260824175624', 'longitude': '-73.83554167097523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890504,2023-09-21T10:47:00.000,2023-09-21T11:00:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11434,132-27 156 STREET,156 STREET,132 AVE,134 AVE,,,ADDRESS,JAMAICA,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-21T11:00:00.000,12 QUEENS,4122810055,QUEENS,1044829,184383,PHONE,Unspecified,QUEENS,40.67255822288658,-73.7816144090383,"{'latitude': '40.67255822288658', 'longitude': '-73.7816144090383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884931,2023-09-21T10:46:48.000,2023-09-25T08:21:55.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11201,101 FLEET PLACE,FLEET PLACE,FAIR STREET,WILLOUGHBY STREET,FAIR STREET,WILLOUGHBY STREET,ADDRESS,BROOKLYN,FLEET PLACE,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-25T08:22:00.000,02 BROOKLYN,3020610100,BROOKLYN,989309,191643,PHONE,Unspecified,BROOKLYN,40.692691091904365,-73.98175695916035,"{'latitude': '40.692691091904365', 'longitude': '-73.98175695916035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890764,2023-09-21T10:46:36.000,2023-09-21T10:46:36.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10307,17 SANFORD STREET,SANFORD STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-21T00:00:00.000,03 STATEN ISLAND,5078540081,STATEN ISLAND,917663,125336,UNKNOWN,Unspecified,STATEN ISLAND,40.510443548807935,-74.23946226271742,"{'latitude': '40.510443548807935', 'longitude': '-74.23946226271742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890076,2023-09-21T10:46:18.000,2023-09-22T05:43:00.000,DOT,Department of Transportation,Bus Stop Shelter Complaint,Dirty/Graffiti,Bus Stop Shelter,10306,BAY TERRACE,BAY TERRACE,BAY TERRACE,HYLAN BOULEVARD,BAY TERRACE,HYLAN BOULEVARD,INTERSECTION,,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-22T05:43:04.000,03 STATEN ISLAND,,STATEN ISLAND,947243,140543,ONLINE,Unspecified,STATEN ISLAND,40.55235653658139,-74.13316910490006,"{'latitude': '40.55235653658139', 'longitude': '-74.13316910490006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890954,2023-09-21T10:46:15.000,2023-09-21T12:17:40.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,11234,1511 EAST   45 STREET,EAST   45 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST   45 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T12:17:48.000,18 BROOKLYN,3078250013,BROOKLYN,1003057,166593,PHONE,Unspecified,BROOKLYN,40.62391583344736,-73.93225076834133,"{'latitude': '40.62391583344736', 'longitude': '-73.93225076834133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58886671,2023-09-21T10:46:14.000,2023-09-21T11:07:11.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11358,47-01 158 STREET,158 STREET,LABURNUM AVENUE,OAK AVENUE,LABURNUM AVENUE,OAK AVENUE,ADDRESS,FLUSHING,158 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T11:07:17.000,07 QUEENS,4054880031,QUEENS,1037197,213273,PHONE,Unspecified,QUEENS,40.7519031360997,-73.80890025557707,"{'latitude': '40.7519031360997', 'longitude': '-73.80890025557707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890742,2023-09-21T10:46:00.000,2023-09-21T16:25:00.000,DOT,Department of Transportation,Traffic Signal Condition,Ped Lamp,,11415,,,,,QUEENS BOULEVARD,HOOVER AVENUE,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T16:25:00.000,09 QUEENS,,QUEENS,1032639,198726,UNKNOWN,Unspecified,QUEENS,40.71200138828801,-73.82545585702933,"{'latitude': '40.71200138828801', 'longitude': '-73.82545585702933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,N/A,,,
58889319,2023-09-21T10:45:47.000,2023-09-21T11:18:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,41-11 39 STREET,39 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,39 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:18:52.000,02 QUEENS,4001870016,QUEENS,1004890,211499,MOBILE,Unspecified,QUEENS,40.747168385914655,-73.9255101186667,"{'latitude': '40.747168385914655', 'longitude': '-73.9255101186667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887235,2023-09-21T10:45:40.000,2023-10-08T19:39:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10472,1969 CHATTERTON AVENUE,CHATTERTON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-08T00:00:00.000,09 BRONX,2037880052,BRONX,1023703,240740,PHONE,Unspecified,BRONX,40.82736307226162,-73.8574422389174,"{'latitude': '40.82736307226162', 'longitude': '-73.8574422389174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881965,2023-09-21T10:45:39.000,2023-10-03T20:57:19.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10468,2785 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,08 BRONX,2032490098,BRONX,1012080,256646,ONLINE,Unspecified,BRONX,40.87106458220461,-73.89937421669205,"{'latitude': '40.87106458220461', 'longitude': '-73.89937421669205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883292,2023-09-21T10:45:37.000,2023-09-28T10:44:16.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11435,140-35 BURDEN CRESCENT,BURDEN CRESCENT,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,08 QUEENS,4097150228,QUEENS,1034984,198277,PHONE,Unspecified,QUEENS,40.71075585681553,-73.81700060627703,"{'latitude': '40.71075585681553', 'longitude': '-73.81700060627703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
