unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,vehicle_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58886719,2023-09-21T13:32:57.000,2023-09-21T14:06:14.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,640 5 AVENUE,5 AVENUE,5 AVENUE,ROCKEFELLER PLAZA,5 AVENUE,ROCKEFELLER PLAZA,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T14:06:17.000,05 MANHATTAN,1012670034,MANHATTAN,990588,215959,MOBILE,Unspecified,MANHATTAN,40.759431770352215,-73.97712191185279,"{'latitude': '40.759431770352215', 'longitude': '-73.97712191185279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882779,2023-09-21T13:32:53.000,2023-09-21T13:56:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10025,125 WEST  109 STREET,WEST  109 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  109 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T13:56:12.000,07 MANHATTAN,1018640009,MANHATTAN,994669,231311,MOBILE,Unspecified,MANHATTAN,40.80156507422785,-73.96236704292687,"{'latitude': '40.80156507422785', 'longitude': '-73.96236704292687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888639,2023-09-21T13:32:50.000,2023-09-21T13:44:18.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T13:44:21.000,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,"{'latitude': '40.72238703289527', 'longitude': '-73.8095260418184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882070,2023-09-21T13:32:42.000,2023-09-21T13:51:32.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T13:51:37.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58895800,2023-09-21T13:32:40.000,2023-09-22T11:58:26.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11226,1838 NOSTRAND AVENUE,NOSTRAND AVENUE,CLARENDON ROAD,AVENUE D,CLARENDON ROAD,AVENUE D,ADDRESS,BROOKLYN,NOSTRAND AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T10:16:39.000,17 BROOKLYN,3051957501,BROOKLYN,998526,172919,ONLINE,Unspecified,BROOKLYN,40.641287820381294,-73.94855958992686,"{'latitude': '40.641287820381294', 'longitude': '-73.94855958992686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891187,2023-09-21T13:32:39.000,2023-09-21T13:46:09.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10467,3003 WALLACE AVENUE,WALLACE AVENUE,ADEE AVENUE,BURKE AVENUE,ADEE AVENUE,BURKE AVENUE,ADDRESS,BRONX,WALLACE AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-21T13:46:12.000,12 BRONX,2045700001,BRONX,1021774,256245,PHONE,Unspecified,BRONX,40.86992807354579,-73.86432561850287,"{'latitude': '40.86992807354579', 'longitude': '-73.86432561850287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889537,2023-09-21T13:32:39.000,2023-09-21T13:34:14.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10011,418 6 AVENUE,6 AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,GREENWICH AVENUE,CHRISTOPHER STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T13:34:20.000,02 MANHATTAN,1005720008,MANHATTAN,984463,206713,MOBILE,Unspecified,MANHATTAN,40.73405609084859,-73.9992314331111,"{'latitude': '40.73405609084859', 'longitude': '-73.9992314331111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886692,2023-09-21T13:32:29.000,2023-09-21T13:41:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10034,1 POST AVENUE,POST AVENUE,DYCKMAN STREET,ACADEMY STREET,DYCKMAN STREET,ACADEMY STREET,ADDRESS,NEW YORK,POST AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T13:41:21.000,12 MANHATTAN,1022170001,MANHATTAN,1004986,253591,MOBILE,Unspecified,MANHATTAN,40.8626990552776,-73.92503364837539,"{'latitude': '40.8626990552776', 'longitude': '-73.92503364837539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889941,2023-09-21T13:32:26.000,2023-09-22T10:45:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11205,CLINTON AVENUE,CLINTON AVENUE,MYRTLE AVENUE,PARK AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-22T10:45:00.000,02 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,,
58889624,2023-09-21T13:32:25.000,2023-09-21T13:55:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,108-16 159 STREET,159 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,159 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T13:55:10.000,12 QUEENS,4101460051,QUEENS,1041432,192553,ONLINE,Unspecified,QUEENS,40.695005540843916,-73.79379111889207,"{'latitude': '40.695005540843916', 'longitude': '-73.79379111889207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884921,2023-09-21T13:32:17.000,2023-09-25T11:41:45.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11214,2572 BENSON AVENUE,BENSON AVENUE,BAY   41 STREET,26 AVENUE,BAY   41 STREET,26 AVENUE,ADDRESS,BROOKLYN,BENSON AVENUE,Closed,The Department of Transportation has determined that this issue is not within its jurisdiction.,2023-09-25T11:41:49.000,11 BROOKLYN,3068810052,BROOKLYN,987815,156097,PHONE,Unspecified,BROOKLYN,40.59512571320459,-73.98716319185641,"{'latitude': '40.59512571320459', 'longitude': '-73.98716319185641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882199,2023-09-21T13:32:00.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11691,12-31 SAGE STREET,SAGE STREET,ALONZO ROAD,CENTRAL AVENUE,ALONZO ROAD,CENTRAL AVENUE,ADDRESS,FAR ROCKAWAY,SAGE STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-22T09:23:08.000,14 QUEENS,4155090020,QUEENS,1054859,161127,PHONE,Unspecified,QUEENS,40.608651441136885,-73.74570011376763,"{'latitude': '40.608651441136885', 'longitude': '-73.74570011376763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882636,2023-09-21T13:32:00.000,2023-10-17T15:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10024,212 WEST   91 STREET,WEST   91 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-17T15:45:00.000,07 MANHATTAN,1012380046,MANHATTAN,991598,227529,ONLINE,Unspecified,MANHATTAN,40.79118759901982,-73.97346349355507,"{'latitude': '40.79118759901982', 'longitude': '-73.97346349355507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58883473,2023-09-21T13:31:35.000,2023-09-21T15:16:42.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Dust from Construction,3+ Family Apartment Building,11205,448 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-21T15:16:42.000,02 BROOKLYN,3019030021,BROOKLYN,993264,191852,PHONE,Unspecified,BROOKLYN,40.693261604043684,-73.96749472627059,"{'latitude': '40.693261604043684', 'longitude': '-73.96749472627059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891166,2023-09-21T13:31:18.000,2023-09-28T17:40:40.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10453,1728 TOWNSEND AVENUE,TOWNSEND AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. A Section 8 Failure was issued. Both the tenant and the property owner will receive a notice in the mail regarding the details of the Failure and the resulting action by the Agency.,2023-09-28T00:00:00.000,05 BRONX,2028490063,BRONX,1008668,247846,PHONE,Unspecified,BRONX,40.84692133473526,-73.91174313867097,"{'latitude': '40.84692133473526', 'longitude': '-73.91174313867097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885821,2023-09-21T13:31:14.000,2023-09-22T16:34:39.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11201,122 BERGEN STREET,BERGEN STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-22T00:00:00.000,02 BROOKLYN,3003850029,BROOKLYN,987294,189259,PHONE,Unspecified,BROOKLYN,40.68614848270344,-73.9890242404743,"{'latitude': '40.68614848270344', 'longitude': '-73.9890242404743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890790,2023-09-21T13:31:14.000,2023-09-21T14:00:38.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10027,2 WEST  125 STREET,WEST  125 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  125 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T13:37:39.000,10 MANHATTAN,1017220039,MANHATTAN,1000167,233115,PHONE,Unspecified,MANHATTAN,40.80650836377572,-73.94250424329658,"{'latitude': '40.80650836377572', 'longitude': '-73.94250424329658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889771,2023-09-21T13:31:14.000,2023-09-28T06:49:07.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11201,122 BERGEN STREET,BERGEN STREET,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-28T00:00:00.000,02 BROOKLYN,3003850029,BROOKLYN,987294,189259,PHONE,Unspecified,BROOKLYN,40.68614848270344,-73.9890242404743,"{'latitude': '40.68614848270344', 'longitude': '-73.9890242404743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883176,2023-09-21T13:31:10.000,2023-09-29T09:45:50.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11366,162-29 76 ROAD,76 ROAD,,,,,ADDRESS,FRESH MEADOWS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,08 QUEENS,4068470030,QUEENS,1038027,203451,PHONE,Unspecified,QUEENS,40.72493923766223,-73.80598309312988,"{'latitude': '40.72493923766223', 'longitude': '-73.80598309312988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888471,2023-09-21T13:31:09.000,2023-09-22T13:06:47.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11233,1370 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-22T00:00:00.000,08 BROOKLYN,3013990039,BROOKLYN,1005535,182799,ONLINE,Unspecified,BROOKLYN,40.66839217909018,-73.92327303605686,"{'latitude': '40.66839217909018', 'longitude': '-73.92327303605686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884530,2023-09-21T13:31:08.000,2023-10-05T11:24:26.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10466,4064 BRONX BOULEVARD,BRONX BOULEVARD,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,12 BRONX,2048220013,BRONX,1022150,264035,PHONE,Unspecified,BRONX,40.8913075690776,-73.86292205289855,"{'latitude': '40.8913075690776', 'longitude': '-73.86292205289855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889081,2023-09-21T13:31:05.000,2023-09-21T13:42:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11203,471 CLARKSON AVENUE,CLARKSON AVENUE,NEW YORK AVENUE,EAST   37 STREET,NEW YORK AVENUE,EAST   37 STREET,ADDRESS,BROOKLYN,CLARKSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T13:42:35.000,09 BROOKLYN,3048290001,BROOKLYN,999796,178206,MOBILE,Unspecified,BROOKLYN,40.65579734882951,-73.94397124181415,"{'latitude': '40.65579734882951', 'longitude': '-73.94397124181415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882111,2023-09-21T13:30:55.000,2023-09-21T13:59:22.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11206,2 PULASKI STREET,PULASKI STREET,NOSTRAND AVENUE,MARCY AVENUE,NOSTRAND AVENUE,MARCY AVENUE,ADDRESS,BROOKLYN,PULASKI STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T13:59:27.000,03 BROOKLYN,3017740008,BROOKLYN,997725,191435,PHONE,Unspecified,BROOKLYN,40.692111367672126,-73.9514088063308,"{'latitude': '40.692111367672126', 'longitude': '-73.9514088063308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888878,2023-09-21T13:30:43.000,2023-09-26T09:31:02.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11208,2669 PITKIN AVENUE,PITKIN AVENUE,CRYSTAL STREET,CHESTNUT STREET,CRYSTAL STREET,CHESTNUT STREET,ADDRESS,BROOKLYN,PITKIN AVENUE,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-26T09:31:05.000,05 BROOKLYN,3042110037,BROOKLYN,1019303,185282,PHONE,Unspecified,BROOKLYN,40.67516364470367,-73.8736300715039,"{'latitude': '40.67516364470367', 'longitude': '-73.8736300715039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888640,2023-09-21T13:30:23.000,2023-09-21T13:55:14.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T13:55:21.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889340,2023-09-21T13:30:22.000,2023-09-21T14:05:30.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11238,672 BERGEN STREET,BERGEN STREET,VANDERBILT AVENUE,UNDERHILL AVENUE,VANDERBILT AVENUE,UNDERHILL AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T14:05:28.000,08 BROOKLYN,3011450025,BROOKLYN,993446,186702,MOBILE,Unspecified,BROOKLYN,40.67912584663014,-73.96684544743167,"{'latitude': '40.67912584663014', 'longitude': '-73.96684544743167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882314,2023-09-21T13:30:07.000,2023-09-27T15:23:10.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11231,75 3 STREET,3 STREET,HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,ADDRESS,BROOKLYN,3 STREET,Closed,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,2023-09-27T15:23:12.000,06 BROOKLYN,3004610062,BROOKLYN,986135,186143,ONLINE,Unspecified,BROOKLYN,40.67759609410805,-73.99320412172561,"{'latitude': '40.67759609410805', 'longitude': '-73.99320412172561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884819,2023-09-21T13:30:04.000,2023-10-04T10:38:17.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11436,133-27 146 STREET,146 STREET,133 AVENUE,NORTH CONDUIT AVENUE,133 AVENUE,NORTH CONDUIT AVENUE,ADDRESS,JAMAICA,146 STREET,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-04T10:38:25.000,12 QUEENS,4121130022,QUEENS,1041731,182881,ONLINE,Unspecified,QUEENS,40.668456237581495,-73.79279537707288,"{'latitude': '40.668456237581495', 'longitude': '-73.79279537707288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881527,2023-09-21T13:30:04.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,,11420,133-17 121 STREET,121 STREET,,,,,ADDRESS,SOUTH OZONE PARK,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T00:00:00.000,10 QUEENS,4117420029,QUEENS,1034589,184061,UNKNOWN,Unspecified,QUEENS,40.67173855600744,-73.81853160937307,"{'latitude': '40.67173855600744', 'longitude': '-73.81853160937307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882208,2023-09-21T13:30:03.000,2023-09-21T13:30:03.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Commercial Building,11220,5619 7 AVENUE,7 AVENUE,56 STREET,57 STREET,56 STREET,57 STREET,ADDRESS,BROOKLYN,7 AVENUE,Closed,An inspection of the property was conducted and it passed with minor violations found.,2023-09-21T13:30:03.000,07 BROOKLYN,3008420003,BROOKLYN,981596,172053,MOBILE,Unspecified,BROOKLYN,40.63892194347685,-74.0095627627039,"{'latitude': '40.63892194347685', 'longitude': '-74.0095627627039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891652,2023-09-21T13:29:39.000,2023-09-21T15:01:42.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11354,39-01 MAIN STREET,MAIN STREET,39 AVENUE,ROOSEVELT AVENUE,39 AVENUE,ROOSEVELT AVENUE,ADDRESS,FLUSHING,MAIN STREET,Closed,N/A,2023-09-21T15:01:46.000,07 QUEENS,4049800005,QUEENS,1031228,216272,ONLINE,Unspecified,QUEENS,40.76016833864922,-73.83042294583589,"{'latitude': '40.76016833864922', 'longitude': '-73.83042294583589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882071,2023-09-21T13:29:36.000,2023-09-21T14:02:16.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T14:02:20.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890756,2023-09-21T13:29:34.000,2023-09-21T13:29:34.000,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11231,167 COLUMBIA STREET,COLUMBIA STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-21T00:00:00.000,06 BROOKLYN,3003190010,BROOKLYN,983689,189353,UNKNOWN,Unspecified,BROOKLYN,40.686406996843985,-74.00202280714511,"{'latitude': '40.686406996843985', 'longitude': '-74.00202280714511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58883836,2023-09-21T13:29:26.000,,DSNY,Department of Sanitation,Lot Condition,Trash,Lot,11225,258 EMPIRE BOULEVARD,EMPIRE BOULEVARD,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,EMPIRE BOULEVARD,In Progress,,,09 BROOKLYN,3013150006,BROOKLYN,997213,181104,PHONE,Unspecified,BROOKLYN,40.663755877617966,-73.95327496252014,"{'latitude': '40.663755877617966', 'longitude': '-73.95327496252014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887679,2023-09-21T13:29:26.000,2023-09-23T14:22:18.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11205,675 MYRTLE AVENUE,MYRTLE AVENUE,SKILLMAN STREET,BEDFORD AVENUE,SKILLMAN STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T11:41:25.000,03 BROOKLYN,3019007501,BROOKLYN,996320,192322,ONLINE,Unspecified,BROOKLYN,40.694548004837564,-73.9564736819523,"{'latitude': '40.694548004837564', 'longitude': '-73.9564736819523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885477,2023-09-21T13:29:23.000,2023-10-06T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11106,34-29 31 STREET,31 STREET,,,,,ADDRESS,ASTORIA,,Closed,The City has removed the graffiti from this property.,2023-10-10T07:08:41.000,01 QUEENS,4006080017,QUEENS,1004286,215855,UNKNOWN,Unspecified,QUEENS,40.75912588643044,-73.92767697760459,"{'latitude': '40.75912588643044', 'longitude': '-73.92767697760459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-21T13:29:23.000,,,,,,
58890642,2023-09-21T13:29:23.000,2023-09-21T13:50:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,135 STRATFORD ROAD,STRATFORD ROAD,ALBEMARLE ROAD,TURNER PLACE,ALBEMARLE ROAD,TURNER PLACE,ADDRESS,BROOKLYN,STRATFORD ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T13:50:08.000,14 BROOKLYN,3051150071,BROOKLYN,992843,174488,MOBILE,Unspecified,BROOKLYN,40.64560172450332,-73.96903502335712,"{'latitude': '40.64560172450332', 'longitude': '-73.96903502335712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
