unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,taxi_pick_up_location,landmark,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58912215,2023-09-25T00:01:12.000,2023-09-25T08:39:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,85-13 89 STREET,89 STREET,ADDRESS,WOODHAVEN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T08:39:22.000,09 QUEENS,4088720046,QUEENS,1024130,192658,ONLINE,Unspecified,QUEENS,40.69538862198654,-73.85618457682064,"{'latitude': '40.69538862198654', 'longitude': '-73.85618457682064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",85 ROAD,86 ROAD,85 ROAD,86 ROAD,,89 STREET,,,,,,
58911672,2023-09-25T00:00:53.000,2023-09-25T00:45:59.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10305,791 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,ADDRESS,STATEN ISLAND,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T00:46:03.000,02 STATEN ISLAND,,STATEN ISLAND,961440,149251,MOBILE,Unspecified,STATEN ISLAND,40.57630617792818,-74.08211083687405,"{'latitude': '40.57630617792818', 'longitude': '-74.08211083687405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NAUGHTON AVENUE,SLATER BOULEVARD,NAUGHTON AVENUE,SLATER BOULEVARD,,FATHER CAPODANNO BOULEVARD,,,,,,
58910304,2023-09-25T00:00:53.000,2023-09-25T01:02:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T01:02:23.000,04 BRONX,2025110068,BRONX,1003936,242233,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,,WOODYCREST AVENUE,,,,,,
58914024,2023-09-25T00:00:50.000,2023-09-25T00:40:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10032,900 RIVERSIDE DRIVE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:40:03.000,12 MANHATTAN,1021360167,MANHATTAN,999049,244634,MOBILE,Unspecified,MANHATTAN,40.83812669619484,-73.94651730320311,"{'latitude': '40.83812669619484', 'longitude': '-73.94651730320311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  161 STREET,WEST  162 STREET,WEST  161 STREET,WEST  162 STREET,,RIVERSIDE DRIVE,,,,,,
58914133,2023-09-25T00:00:38.000,2023-09-25T00:37:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,225 74 STREET,74 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T00:37:34.000,10 BROOKLYN,3059170070,BROOKLYN,976110,169749,MOBILE,Unspecified,BROOKLYN,40.63259461126622,-74.02932686867612,"{'latitude': '40.63259461126622', 'longitude': '-74.02932686867612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGE BOULEVARD,3 AVENUE,RIDGE BOULEVARD,3 AVENUE,,74 STREET,,,,,,
58924005,2023-09-25T00:00:38.000,2023-09-25T20:42:48.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58913020,2023-09-25T00:00:00.000,2023-09-25T00:00:01.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10467,722 ALLERTON AVENUE,ALLERTON AVENUE,ADDRESS,BRONX,Closed,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,2023-09-28T13:21:23.000,11 BRONX,2044330035,BRONX,1021177,254608,ONLINE,Unspecified,BRONX,40.865437529861396,-73.86649319071635,"{'latitude': '40.865437529861396', 'longitude': '-73.86649319071635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WHITE PLAINS ROAD,CRUGER AVENUE,WHITE PLAINS ROAD,CRUGER AVENUE,,ALLERTON AVENUE,,,,,,
58924130,2023-09-25T00:00:00.000,2023-09-28T00:00:01.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11106,31-12 36 AVENUE,36 AVENUE,ADDRESS,ASTORIA,Closed,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,2023-09-28T13:34:10.000,01 QUEENS,4006000031,QUEENS,1003762,214893,ONLINE,Unspecified,QUEENS,40.75648661493131,-73.92957122724248,"{'latitude': '40.75648661493131', 'longitude': '-73.92957122724248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31 STREET,32 STREET,31 STREET,32 STREET,,36 AVENUE,,,,,,
58919555,2023-09-25T00:00:00.000,2023-09-26T08:23:34.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,11432,181-12 HILLSIDE AVENUE,HILLSIDE AVENUE,ADDRESS,JAMAICA,Closed,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,2023-09-26T08:23:24.000,12 QUEENS,4099170043,QUEENS,1044824,199190,PHONE,Unspecified,QUEENS,40.713199921733676,-73.78149928708196,"{'latitude': '40.713199921733676', 'longitude': '-73.78149928708196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",181 STREET,182 STREET,181 STREET,182 STREET,,HILLSIDE AVENUE,,,,,,
58912637,2023-09-25T00:00:00.000,2023-09-25T01:15:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10031,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T01:15:00.000,09 MANHATTAN,,MANHATTAN,999389,241090,UNKNOWN,Unspecified,MANHATTAN,40.82839886247334,-73.94529656226905,"{'latitude': '40.82839886247334', 'longitude': '-73.94529656226905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,AMSTERDAM AVENUE,WEST 150 STREET,,,N/A,,,,,
58920680,2023-09-25T00:00:00.000,2023-09-25T00:00:01.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10006,136 WASHINGTON STREET,WASHINGTON STREET,ADDRESS,NEW YORK,Closed,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,2023-09-28T13:25:11.000,01 MANHATTAN,1000560001,MANHATTAN,980412,197824,PHONE,Unspecified,MANHATTAN,40.709657103477284,-74.01384356817873,"{'latitude': '40.709657103477284', 'longitude': '-74.01384356817873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALBANY STREET,CEDAR STREET,ALBANY STREET,CEDAR STREET,,WASHINGTON STREET,,,,,,
58925253,2023-09-25T00:00:00.000,2023-09-28T13:33:25.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Other (Explain Below),11206,75 HUMBOLDT STREET,HUMBOLDT STREET,ADDRESS,BROOKLYN,Closed,"The Department of Health and Mental Hygiene regulates restaurants and other establishments that mostly sell food which is prepared on the premises. New York State Agriculture and Markets regulates those establishments that mostly sell pre-packaged food, including supermarkets, bodegas, green markets, fish and meat markets, and delis. This Service Request was referred to the New York State Agriculture and Markets.",2023-09-28T13:33:25.000,01 BROOKLYN,3030970024,BROOKLYN,1000629,195776,ONLINE,Unspecified,BROOKLYN,40.70402150058777,-73.94092635461196,"{'latitude': '40.70402150058777', 'longitude': '-73.94092635461196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MOORE STREET,SEIGEL STREET,MOORE STREET,SEIGEL STREET,,HUMBOLDT STREET,,,,,,
58913502,2023-09-24T23:59:13.000,2023-09-25T00:21:17.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,70-10 GRAND AVENUE,GRAND AVENUE,ADDRESS,MASPETH,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:21:22.000,05 QUEENS,4027970007,QUEENS,1014049,204391,ONLINE,Unspecified,QUEENS,40.72763257870112,-73.89248674712505,"{'latitude': '40.72763257870112', 'longitude': '-73.89248674712505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",69 LANE,71 STREET,69 LANE,71 STREET,,GRAND AVENUE,,,,,,
58914643,2023-09-24T23:58:56.000,2023-09-25T08:38:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,862 EAST  216 STREET,EAST  216 STREET,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T08:38:21.000,12 BRONX,2046740084,BRONX,1023130,259917,PHONE,Unspecified,BRONX,40.88000070075054,-73.85940146906198,"{'latitude': '40.88000070075054', 'longitude': '-73.85940146906198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARNES AVENUE,BRONXWOOD AVENUE,BARNES AVENUE,BRONXWOOD AVENUE,,EAST  216 STREET,,,,,,
58915159,2023-09-24T23:58:51.000,2023-09-25T00:05:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10032,481 WEST  159 STREET,WEST  159 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T00:05:40.000,12 MANHATTAN,1021090001,MANHATTAN,1000687,243095,ONLINE,Unspecified,MANHATTAN,40.83389969051733,-73.94060144276807,"{'latitude': '40.83389969051733', 'longitude': '-73.94060144276807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST NICHOLAS AVENUE,AMSTERDAM AVENUE,ST NICHOLAS AVENUE,AMSTERDAM AVENUE,,WEST  159 STREET,,,,,,
58910862,2023-09-24T23:58:47.000,2023-09-25T00:45:50.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10305,815 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,ADDRESS,STATEN ISLAND,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T00:45:53.000,02 STATEN ISLAND,,STATEN ISLAND,961257,149112,MOBILE,Unspecified,STATEN ISLAND,40.57592417767604,-74.08276912227129,"{'latitude': '40.57592417767604', 'longitude': '-74.08276912227129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SLATER BOULEVARD,SEAVER AVENUE,SLATER BOULEVARD,SEAVER AVENUE,,FATHER CAPODANNO BOULEVARD,,,,,,
58910363,2023-09-24T23:58:41.000,2023-09-25T00:06:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11224,2930 WEST   30 STREET,WEST   30 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T00:07:00.000,13 BROOKLYN,3070500001,BROOKLYN,985326,148262,MOBILE,Unspecified,BROOKLYN,40.57362084545696,-73.9961267998414,"{'latitude': '40.57362084545696', 'longitude': '-73.9961267998414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,,WEST   30 STREET,,,,,,
58915984,2023-09-24T23:58:38.000,2023-09-25T00:17:29.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,108 WEST HOUSTON STREET,WEST HOUSTON STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T00:17:32.000,02 MANHATTAN,1005250025,MANHATTAN,984045,204270,ONLINE,Unspecified,MANHATTAN,40.727350654273856,-74.00073962609699,"{'latitude': '40.727350654273856', 'longitude': '-74.00073962609699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THOMPSON STREET,SULLIVAN STREET,THOMPSON STREET,SULLIVAN STREET,,WEST HOUSTON STREET,,,,,,
58915559,2023-09-24T23:58:38.000,2023-09-25T07:20:33.000,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10029,339 EAST  115 STREET,EAST  115 STREET,ADDRESS,NEW YORK,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-09-25T07:20:38.000,11 MANHATTAN,1016870021,MANHATTAN,1001776,229160,ONLINE,Unspecified,MANHATTAN,40.79564992822559,-73.93670250136257,"{'latitude': '40.79564992822559', 'longitude': '-73.93670250136257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,EAST  115 STREET,,,,,,
58912761,2023-09-24T23:58:30.000,2023-09-25T00:31:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11229,1310 AVENUE R,AVENUE R,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T00:31:43.000,15 BROOKLYN,3068190001,BROOKLYN,995532,159920,ONLINE,Unspecified,BROOKLYN,40.605612608448034,-73.95936953077799,"{'latitude': '40.605612608448034', 'longitude': '-73.95936953077799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   13 STREET,EAST   14 STREET,EAST   13 STREET,EAST   14 STREET,,AVENUE R,,,,,,
58914960,2023-09-24T23:57:48.000,2023-09-25T00:16:37.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11223,416 AVENUE Y,AVENUE Y,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T00:16:42.000,13 BROOKLYN,3072150002,BROOKLYN,992429,153624,ONLINE,Unspecified,BROOKLYN,40.58833476735257,-73.97055215185452,"{'latitude': '40.58833476735257', 'longitude': '-73.97055215185452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST    1 STREET,WEST STREET,WEST    1 STREET,WEST STREET,,AVENUE Y,,,,,,
58913544,2023-09-24T23:57:39.000,2023-09-25T00:42:21.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11368,96-10 57 AVENUE,57 AVENUE,ADDRESS,CORONA,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-25T00:42:24.000,04 QUEENS,4019180052,QUEENS,1021769,207808,ONLINE,Unspecified,QUEENS,40.73698201773687,-73.86461437160887,"{'latitude': '40.73698201773687', 'longitude': '-73.86461437160887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",96 STREET,97 STREET,96 STREET,97 STREET,,57 AVENUE,,,,,,
58916398,2023-09-24T23:57:27.000,2023-09-25T06:13:43.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11420,123-65 135 STREET,135 STREET,ADDRESS,SOUTH OZONE PARK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T06:13:49.000,10 QUEENS,4117590012,QUEENS,1038733,184966,ONLINE,Unspecified,QUEENS,40.67419803840277,-73.80358552726987,"{'latitude': '40.67419803840277', 'longitude': '-73.80358552726987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,,135 STREET,,,,,,
58912651,2023-09-24T23:57:27.000,2023-09-25T00:18:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11361,42-23 BELL BOULEVARD,BELL BOULEVARD,ADDRESS,BAYSIDE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:18:10.000,11 QUEENS,4062980008,QUEENS,1047873,217087,ONLINE,Unspecified,QUEENS,40.76230118578213,-73.77033181427377,"{'latitude': '40.76230118578213', 'longitude': '-73.77033181427377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42 AVENUE,43 AVENUE,42 AVENUE,43 AVENUE,,BELL BOULEVARD,,,,,,
58915576,2023-09-24T23:56:59.000,2023-09-25T01:19:35.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10452,951 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Police Department visited the location and no Encampment was found.,2023-09-25T01:19:42.000,04 BRONX,2025110074,BRONX,1003906,242182,ONLINE,Unspecified,BRONX,40.831387191331984,-73.92897158905042,"{'latitude': '40.831387191331984', 'longitude': '-73.92897158905042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,,WOODYCREST AVENUE,,,,,,
58912731,2023-09-24T23:56:33.000,2023-09-25T01:07:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11357,160-34 13 AVENUE,13 AVENUE,ADDRESS,WHITESTONE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T01:07:58.000,07 QUEENS,4045830037,QUEENS,1039153,227048,PHONE,Unspecified,QUEENS,40.78969989401476,-73.80172802408272,"{'latitude': '40.78969989401476', 'longitude': '-73.80172802408272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",160 STREET,162 STREET,160 STREET,162 STREET,,13 AVENUE,,,,,,
58916136,2023-09-24T23:55:48.000,2023-09-25T00:19:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10039,8 AVENUE,8 AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T00:20:02.000,10 MANHATTAN,,MANHATTAN,1001091,240445,ONLINE,Unspecified,MANHATTAN,40.82662544066548,-73.93914815670927,"{'latitude': '40.82662544066548', 'longitude': '-73.93914815670927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 AVENUE,WEST  151 STREET,8 AVENUE,WEST  151 STREET,,,,,,,,
58913553,2023-09-24T23:55:32.000,2023-09-25T01:24:39.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,1125 UNIVERSITY AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T01:24:42.000,04 BRONX,2025270032,BRONX,1004060,244210,ONLINE,Unspecified,BRONX,40.83695312046897,-73.92840910965141,"{'latitude': '40.83695312046897', 'longitude': '-73.92840910965141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  166 STREET,UNNAMED STREET,WEST  166 STREET,UNNAMED STREET,,UNIVERSITY AVENUE,,,,,,
58913063,2023-09-24T23:55:24.000,2023-09-25T02:57:26.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11419,104-28 117 STREET,117 STREET,ADDRESS,SOUTH RICHMOND HILL,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T02:57:36.000,10 QUEENS,4095700016,QUEENS,1032565,189111,ONLINE,Unspecified,QUEENS,40.68561091285362,-73.82579175604369,"{'latitude': '40.68561091285362', 'longitude': '-73.82579175604369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,,117 STREET,,,,,,
58910391,2023-09-24T23:53:44.000,2023-10-17T20:33:36.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10021,7 EAST   75 STREET,EAST   75 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-17T00:00:00.000,08 MANHATTAN,1013900009,MANHATTAN,993920,221339,PHONE,Unspecified,MANHATTAN,40.774195458986675,-73.96508675247698,"{'latitude': '40.774195458986675', 'longitude': '-73.96508675247698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58913901,2023-09-24T23:53:24.000,2023-09-25T06:12:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11420,123-65 135 STREET,135 STREET,ADDRESS,SOUTH OZONE PARK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T06:12:29.000,10 QUEENS,4117590012,QUEENS,1038733,184966,ONLINE,Unspecified,QUEENS,40.67419803840277,-73.80358552726987,"{'latitude': '40.67419803840277', 'longitude': '-73.80358552726987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,,135 STREET,,,,,,
58914351,2023-09-24T23:53:23.000,2023-09-25T00:37:21.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11368,96-10 37 AVENUE,37 AVENUE,ADDRESS,CORONA,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T00:37:24.000,03 QUEENS,4017590001,QUEENS,1020091,213128,ONLINE,Unspecified,QUEENS,40.75159103046191,-73.87064100125095,"{'latitude': '40.75159103046191', 'longitude': '-73.87064100125095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JUNCTION BOULEVARD,97 STREET,JUNCTION BOULEVARD,97 STREET,,37 AVENUE,,,,,,
58911092,2023-09-24T23:53:08.000,2023-09-25T02:07:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1128 FTELEY AVENUE,FTELEY AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T02:07:25.000,09 BRONX,2037480089,BRONX,1019895,240893,ONLINE,Unspecified,BRONX,40.82779920187578,-73.8712010673875,"{'latitude': '40.82779920187578', 'longitude': '-73.8712010673875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WATSON AVENUE,GLEASON AVENUE,WATSON AVENUE,GLEASON AVENUE,,FTELEY AVENUE,,,,,,
58912743,2023-09-24T23:52:46.000,2023-09-24T23:58:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11235,3250 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T23:58:32.000,13 BROOKLYN,3086920030,BROOKLYN,995483,149472,ONLINE,Unspecified,BROOKLYN,40.576935006887595,-73.95956336641726,"{'latitude': '40.576935006887595', 'longitude': '-73.95956336641726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRIGHTON BEACH AVENUE,OCEANA DRIVE WEST,BRIGHTON BEACH AVENUE,OCEANA DRIVE WEST,,CONEY ISLAND AVENUE,,,,,,
58923512,2023-09-24T23:52:39.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,10457,2235 BASSFORD AVENUE,BASSFORD AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,06 BRONX,2030500008,BRONX,1013703,250364,UNKNOWN,Unspecified,BRONX,40.853817134994394,-73.89353349832906,"{'latitude': '40.853817134994394', 'longitude': '-73.89353349832906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,,,,,
58911673,2023-09-24T23:52:19.000,2023-09-25T00:24:51.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10032,790 RIVERSIDE DRIVE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:24:55.000,12 MANHATTAN,1021340071,MANHATTAN,998957,243417,MOBILE,Unspecified,MANHATTAN,40.83478653780957,-73.9468524540755,"{'latitude': '40.83478653780957', 'longitude': '-73.9468524540755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EDWARD M MORGAN PLACE,RIVERSIDE DRIVE,EDWARD M MORGAN PLACE,RIVERSIDE DRIVE,,RIVERSIDE DRIVE,,,,,,
58915835,2023-09-24T23:50:57.000,2023-09-25T01:53:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10467,410 EAST  203 STREET,EAST  203 STREET,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T01:53:23.000,07 BRONX,2033307501,BRONX,1018192,256376,PHONE,Unspecified,BRONX,40.8703021287969,-73.87727626514504,"{'latitude': '40.8703021287969', 'longitude': '-73.87727626514504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEBSTER AVENUE,DEAD END,WEBSTER AVENUE,DEAD END,,EAST  203 STREET,,,,,,
58911719,2023-09-24T23:50:54.000,2023-09-25T00:45:48.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,1099 EAST   56 STREET,EAST   56 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T00:45:51.000,18 BROOKLYN,3077820013,BROOKLYN,1005863,168488,PHONE,Unspecified,BROOKLYN,40.62911080721407,-73.92213653592216,"{'latitude': '40.62911080721407', 'longitude': '-73.92213653592216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLATLANDS AVENUE,AVENUE J,FLATLANDS AVENUE,AVENUE J,,EAST   56 STREET,,,,,,
