unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_company_borough
58791067,2023-09-12T09:07:39.000,2023-09-13T08:31:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11355,137-25 MULBERRY AVENUE,MULBERRY AVENUE,ADDRESS,FLUSHING,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T08:31:34.000,07 QUEENS,4051510039,QUEENS,1034545,211803,MOBILE,Unspecified,QUEENS,40.74788384773321,-73.81848299192438,"{'latitude': '40.74788384773321', 'longitude': '-73.81848299192438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLDEN STREET,KISSENA BOULEVARD,COLDEN STREET,KISSENA BOULEVARD,MULBERRY AVENUE,,,,,,,,
58792694,2023-09-12T09:07:29.000,2023-09-14T10:47:29.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11101,37-01 34 STREET,34 STREET,ADDRESS,LONG ISLAND CITY,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T10:47:32.000,01 QUEENS,4003760001,QUEENS,1003946,213812,MOBILE,Unspecified,QUEENS,40.75351913784337,-73.928910244145,"{'latitude': '40.75351913784337', 'longitude': '-73.928910244145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37 AVENUE,38 AVENUE,37 AVENUE,38 AVENUE,34 STREET,,,,,,,,
58794116,2023-09-12T09:07:26.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,10023,1840 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-12T10:34:00.000,07 MANHATTAN,1011137502,MANHATTAN,989211,219479,MOBILE,Unspecified,MANHATTAN,40.769094141779355,-73.98208982933463,"{'latitude': '40.769094141779355', 'longitude': '-73.98208982933463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST 60 STREET,WEST 61 STREET,WEST   60 STREET,WEST   61 STREET,BROADWAY,,,,,,,,
58799889,2023-09-12T09:07:19.000,2023-09-15T10:15:30.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11432,180-38 80 DRIVE,80 DRIVE,ADDRESS,JAMAICA,Closed,The Department of Sanitation collected the requested items.,2023-09-13T15:34:47.000,08 QUEENS,4072310108,QUEENS,1043240,203633,ONLINE,Unspecified,QUEENS,40.72540555463677,-73.78717408327965,"{'latitude': '40.72540555463677', 'longitude': '-73.78717408327965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SURREY PLACE,KENT STREET,SURREY PLACE,KENT STREET,80 DRIVE,,,,,,,,
58792409,2023-09-12T09:07:16.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11234,3216 KINGS HIGHWAY,KINGS HIGHWAY,ADDRESS,BROOKLYN,In Progress,,,18 BROOKLYN,3076680008,BROOKLYN,1000086,164414,PHONE,Unspecified,BROOKLYN,40.61794074276722,-73.94295843228714,"{'latitude': '40.61794074276722', 'longitude': '-73.94295843228714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   32 STREET,NEW YORK AVENUE,EAST   32 STREET,NEW YORK AVENUE,KINGS HIGHWAY,,,,,,,,
58794517,2023-09-12T09:07:14.000,2023-09-12T10:18:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10458,2922 VALENTINE AVENUE,VALENTINE AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T10:18:05.000,07 BRONX,2032970032,BRONX,1015346,256583,ONLINE,Unspecified,BRONX,40.87088076496943,-73.88756554513651,"{'latitude': '40.87088076496943', 'longitude': '-73.88756554513651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  199 STREET,BEDFORD PARK BOULEVARD,EAST  199 STREET,BEDFORD PARK BOULEVARD,VALENTINE AVENUE,,,,,,,,
58797481,2023-09-12T09:07:07.000,2023-09-12T09:09:41.000,NYPD,New York City Police Department,Bike/Roller/Skate Chronic,N/A,Street/Sidewalk,11214,1736 BATH AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T09:09:46.000,11 BROOKLYN,3064340034,BROOKLYN,982224,159534,PHONE,Unspecified,BROOKLYN,40.60456006730517,-74.00729622673676,"{'latitude': '40.60456006730517', 'longitude': '-74.00729622673676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAY   16 STREET,BAY   17 STREET,BAY   16 STREET,BAY   17 STREET,BATH AVENUE,,,,,,,,
58795302,2023-09-12T09:07:05.000,2023-09-15T13:05:13.000,DOT,Department of Transportation,Bus Stop Shelter Complaint,Dirty/Graffiti,Bus Stop Shelter,11420,119-02 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,SOUTH OZONE PARK,Closed,The contractor has reported that the requested work has been completed.,2023-09-15T13:05:18.000,10 QUEENS,4117120028,QUEENS,1034460,185645,ONLINE,Unspecified,QUEENS,40.67608700326151,-73.8189848437307,"{'latitude': '40.67608700326151', 'longitude': '-73.8189848437307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEFFERTS BOULEVARD,120 STREET,LEFFERTS BOULEVARD,120 STREET,ROCKAWAY BOULEVARD,,,,,,,,
58799891,2023-09-12T09:07:02.000,2023-09-14T11:30:23.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11218,588 20 STREET,20 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-14T09:56:33.000,07 BROOKLYN,3008950031,BROOKLYN,989636,177730,ONLINE,Unspecified,BROOKLYN,40.6545028413432,-73.98058889631204,"{'latitude': '40.6545028413432', 'longitude': '-73.98058889631204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10 AVENUE,TERRACE PLACE,10 AVENUE,TERRACE PLACE,20 STREET,,,,,,,,
58795362,2023-09-12T09:06:49.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,11691,102 BEACH   32 STREET,BEACH   32 STREET,ADDRESS,FAR ROCKAWAY,In Progress,,,14 QUEENS,4158230001,QUEENS,1049778,155345,PHONE,Unspecified,QUEENS,40.59282011169757,-73.764055446129,"{'latitude': '40.59282011169757', 'longitude': '-73.764055446129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SPRAYVIEW AVENUE,SURF ROAD,SPRAYVIEW AVENUE,SURF ROAD,BEACH   32 STREET,,,,,,,,
58791342,2023-09-12T09:06:31.000,2023-09-12T09:55:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11232,860 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T09:55:04.000,07 BROOKLYN,3006720044,BROOKLYN,983853,178711,MOBILE,Unspecified,BROOKLYN,40.65719710062844,-74.00143084280225,"{'latitude': '40.65719710062844', 'longitude': '-74.00143084280225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30 STREET,31 STREET,30 STREET,31 STREET,4 AVENUE,,,,,,,,
58798007,2023-09-12T09:06:30.000,2023-09-12T09:07:15.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T09:07:18.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,,
58792990,2023-09-12T09:06:29.000,2023-09-12T09:52:35.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10466,4018 SETON AVENUE,SETON AVENUE,ADDRESS,BRONX,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-12T09:52:39.000,12 BRONX,2049880005,BRONX,1029143,264331,PHONE,Unspecified,BRONX,40.892087187705044,-73.83762761305056,"{'latitude': '40.892087187705044', 'longitude': '-73.83762761305056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STRANG AVENUE,EDENWALD AVENUE,STRANG AVENUE,EDENWALD AVENUE,SETON AVENUE,,,,,,,,
58793853,2023-09-12T09:06:28.000,2023-09-15T06:28:16.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,10466,EAST  232 STREET,EAST  232 STREET,INTERSECTION,,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-15T06:28:21.000,12 BRONX,,BRONX,1026758,263238,PHONE,Unspecified,BRONX,40.88909906428349,-73.84626078085927,"{'latitude': '40.88909906428349', 'longitude': '-73.84626078085927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  232 STREET,LACONIA AVENUE,EAST  232 STREET,LACONIA AVENUE,,,,,,,,,
58789430,2023-09-12T09:06:19.000,2023-09-12T09:07:53.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T09:07:58.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,,
58798008,2023-09-12T09:06:11.000,2023-09-12T09:08:10.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T09:08:16.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,,
58796981,2023-09-12T09:06:00.000,2023-09-15T12:43:26.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11105,29-10 20 AVENUE,20 AVENUE,ADDRESS,ASTORIA,Closed,The Department of Sanitation cleaned the location.,2023-09-14T12:50:43.000,01 QUEENS,4008480035,QUEENS,1009980,223567,ONLINE,Unspecified,QUEENS,40.78027857051028,-73.90709409820634,"{'latitude': '40.78027857051028', 'longitude': '-73.90709409820634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",29 STREET,31 STREET,29 STREET,31 STREET,20 AVENUE,,,,,,,,
58796427,2023-09-12T09:05:56.000,2023-09-13T20:11:58.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11694,319 BEACH   98 STREET,BEACH   98 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-13T00:00:00.000,14 QUEENS,4161550021,QUEENS,1033949,152893,ONLINE,Unspecified,QUEENS,40.58619276761603,-73.82106826587149,"{'latitude': '40.58619276761603', 'longitude': '-73.82106826587149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58791703,2023-09-12T09:05:56.000,2023-09-12T09:09:40.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11225,163 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T09:09:44.000,09 BROOKLYN,3050260011,BROOKLYN,994633,179408,MOBILE,Unspecified,BROOKLYN,40.659104133812114,-73.96257716379512,"{'latitude': '40.659104133812114', 'longitude': '-73.96257716379512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST LAKE DRIVE,EAST DRIVE,EAST LAKE DRIVE,EAST DRIVE,OCEAN AVENUE,,,,,,,,
58789309,2023-09-12T09:05:56.000,2023-09-13T20:11:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11694,319 BEACH   98 STREET,BEACH   98 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-13T00:00:00.000,14 QUEENS,4161550021,QUEENS,1033949,152893,ONLINE,Unspecified,QUEENS,40.58619276761603,-73.82106826587149,"{'latitude': '40.58619276761603', 'longitude': '-73.82106826587149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58791375,2023-09-12T09:05:55.000,2023-09-14T08:16:34.000,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11223,1832 WEST    9 STREET,WEST    9 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T05:12:29.000,11 BROOKLYN,3066710018,BROOKLYN,989381,158704,PHONE,Unspecified,BROOKLYN,40.602280632463675,-73.98152237833055,"{'latitude': '40.602280632463675', 'longitude': '-73.98152237833055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HIGHLAWN AVENUE,AVENUE S,HIGHLAWN AVENUE,AVENUE S,WEST    9 STREET,,,,,,,,
58793299,2023-09-12T09:05:48.000,2023-09-12T09:47:16.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10003,65 EAST    8 STREET,EAST    8 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T09:47:22.000,02 MANHATTAN,1005607503,MANHATTAN,986166,205559,PHONE,Unspecified,MANHATTAN,40.73088843925537,-73.99308683492974,"{'latitude': '40.73088843925537', 'longitude': '-73.99308683492974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERCER STREET,BROADWAY,MERCER STREET,BROADWAY,EAST    8 STREET,,,,,,,,
58789823,2023-09-12T09:05:45.000,2023-09-13T09:44:40.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11220,5020 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-13T09:44:39.000,07 BROOKLYN,3007900042,BROOKLYN,980710,174745,MOBILE,Unspecified,BROOKLYN,40.646310595256786,-74.01275656697433,"{'latitude': '40.646310595256786', 'longitude': '-74.01275656697433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",50 STREET,51 STREET,50 STREET,51 STREET,4 AVENUE,,,,,,,,
58788948,2023-09-12T09:05:44.000,2023-09-13T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10461,2527 GLEBE AVENUE,GLEBE AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-13T00:00:00.000,10 BRONX,2039860034,BRONX,1026762,245700,UNKNOWN,Unspecified,BRONX,40.84096262705196,-73.84635756772713,"{'latitude': '40.84096262705196', 'longitude': '-73.84635756772713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58793575,2023-09-12T09:05:39.000,2023-09-23T10:12:18.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10459,1163 HOE AVENUE,HOE AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 BRONX,2027450036,BRONX,1014442,240839,PHONE,Unspecified,BRONX,40.8276713107835,-73.89090504970592,"{'latitude': '40.8276713107835', 'longitude': '-73.89090504970592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58793847,2023-09-12T09:05:34.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11234,1855 MARINE PARKWAY,MARINE PARKWAY,ADDRESS,BROOKLYN,In Progress,,,18 BROOKLYN,3084740016,BROOKLYN,1001362,161274,UNKNOWN,Unspecified,BROOKLYN,40.60931972034913,-73.93837021540487,"{'latitude': '40.60931972034913', 'longitude': '-73.93837021540487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,MARINE PARKWAY,,,,,,,,
58795207,2023-09-12T09:05:31.000,2023-09-13T06:55:49.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,43-73 UNION STREET,UNION STREET,ADDRESS,FLUSHING,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T06:55:53.000,07 QUEENS,4051937501,QUEENS,1033763,214138,PHONE,Unspecified,QUEENS,40.754297232347504,-73.82128806600177,"{'latitude': '40.754297232347504', 'longitude': '-73.82128806600177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHERRY AVENUE,45 AVENUE,CHERRY AVENUE,45 AVENUE,UNION STREET,,,,,,,,
58794881,2023-09-12T09:05:27.000,2023-10-05T06:59:15.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,11356,116-13 14 ROAD,14 ROAD,ADDRESS,COLLEGE POINT,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-05T00:00:00.000,07 QUEENS,4040510029,QUEENS,1025505,225203,PHONE,Unspecified,QUEENS,40.78471012044039,-73.85102645893774,"{'latitude': '40.78471012044039', 'longitude': '-73.85102645893774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58799173,2023-09-12T09:05:27.000,2023-10-05T06:59:15.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,11356,116-13 14 ROAD,14 ROAD,ADDRESS,COLLEGE POINT,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-05T00:00:00.000,07 QUEENS,4040510029,QUEENS,1025505,225203,PHONE,Unspecified,QUEENS,40.78471012044039,-73.85102645893774,"{'latitude': '40.78471012044039', 'longitude': '-73.85102645893774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58793504,2023-09-12T09:05:26.000,2023-09-16T02:03:25.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10031,3501 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-16T00:00:00.000,09 MANHATTAN,1020900029,MANHATTAN,997718,239936,MOBILE,Unspecified,MANHATTAN,40.82523416798685,-73.95133688818218,"{'latitude': '40.82523416798685', 'longitude': '-73.95133688818218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58799890,2023-09-12T09:05:24.000,2023-09-30T06:54:59.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10473,611 LELAND AVENUE,LELAND AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T12:44:40.000,09 BRONX,2035600074,BRONX,1022934,237275,PHONE,Unspecified,BRONX,40.81785604187536,-73.86024088120894,"{'latitude': '40.81785604187536', 'longitude': '-73.86024088120894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RANDALL AVENUE,SEWARD AVENUE,RANDALL AVENUE,SEWARD AVENUE,LELAND AVENUE,,,,,,,,
58789928,2023-09-12T09:05:22.000,2023-09-12T11:02:56.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11214,17 AVENUE,17 AVENUE,INTERSECTION,,Closed,N/A,2023-09-12T11:03:01.000,11 BROOKLYN,,BROOKLYN,983997,162386,PHONE,Unspecified,BROOKLYN,40.6123884508147,-74.0009112348636,"{'latitude': '40.6123884508147', 'longitude': '-74.0009112348636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17 AVENUE,NEW UTRECHT AVENUE,17 AVENUE,NEW UTRECHT AVENUE,,,,,,,,,
58791324,2023-09-12T09:05:20.000,2023-09-12T11:26:11.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Street,11105,20-50 45 STREET,45 STREET,ADDRESS,ASTORIA,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-12T11:26:16.000,01 QUEENS,4007860051,QUEENS,1011892,221021,PHONE,Unspecified,QUEENS,40.773284702290844,-73.90020072671851,"{'latitude': '40.773284702290844', 'longitude': '-73.90020072671851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20 ROAD,21 AVENUE,20 ROAD,21 AVENUE,45 STREET,,,,,,,,
58789224,2023-09-12T09:05:16.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11237,26 MORGAN AVENUE,MORGAN AVENUE,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,01 BROOKLYN,3030120008,BROOKLYN,1003266,196015,PHONE,Unspecified,BROOKLYN,40.70467222513476,-73.93141489494204,"{'latitude': '40.70467222513476', 'longitude': '-73.93141489494204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58794942,2023-09-12T09:05:15.000,2023-09-19T14:03:41.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11228,6906 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,10 BROOKLYN,3058760022,BROOKLYN,980079,168893,ONLINE,Unspecified,BROOKLYN,40.63024783039311,-74.01502678946056,"{'latitude': '40.63024783039311', 'longitude': '-74.01502678946056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58792263,2023-09-12T09:05:15.000,2023-09-19T14:03:41.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11228,6906 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,10 BROOKLYN,3058760022,BROOKLYN,980079,168893,ONLINE,Unspecified,BROOKLYN,40.63024783039311,-74.01502678946056,"{'latitude': '40.63024783039311', 'longitude': '-74.01502678946056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58793456,2023-09-12T09:05:15.000,2023-09-19T14:03:41.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11228,6906 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,10 BROOKLYN,3058760022,BROOKLYN,980079,168893,ONLINE,Unspecified,BROOKLYN,40.63024783039311,-74.01502678946056,"{'latitude': '40.63024783039311', 'longitude': '-74.01502678946056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58799160,2023-09-12T09:05:15.000,2023-09-19T14:03:41.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11228,6906 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,10 BROOKLYN,3058760022,BROOKLYN,980079,168893,ONLINE,Unspecified,BROOKLYN,40.63024783039311,-74.01502678946056,"{'latitude': '40.63024783039311', 'longitude': '-74.01502678946056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58789351,2023-09-12T09:05:15.000,2023-09-17T18:50:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11228,6906 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-17T00:00:00.000,10 BROOKLYN,3058760022,BROOKLYN,980079,168893,ONLINE,Unspecified,BROOKLYN,40.63024783039311,-74.01502678946056,"{'latitude': '40.63024783039311', 'longitude': '-74.01502678946056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58799319,2023-09-12T09:05:15.000,2023-09-19T14:03:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11228,6906 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,10 BROOKLYN,3058760022,BROOKLYN,980079,168893,ONLINE,Unspecified,BROOKLYN,40.63024783039311,-74.01502678946056,"{'latitude': '40.63024783039311', 'longitude': '-74.01502678946056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
