unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date,taxi_company_borough,taxi_pick_up_location
58884067,2023-09-21T06:25:54.000,2023-09-21T10:03:18.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10473,RANDALL AVENUE,RANDALL AVENUE,RANDALL AVENUE,ZEREGA AVENUE,RANDALL AVENUE,ZEREGA AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T10:03:26.000,09 BRONX,,BRONX,1028001,238004,PHONE,Unspecified,BRONX,40.81983329623539,-73.84192990359763,"{'latitude': '40.81983329623539', 'longitude': '-73.84192990359763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881374,2023-09-21T06:25:39.000,2023-09-21T12:59:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11358,45-36 171 PLACE,171 PLACE,45 AVENUE,46 AVENUE,45 AVENUE,46 AVENUE,ADDRESS,FLUSHING,171 PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T12:59:14.000,07 QUEENS,4054500050,QUEENS,1040959,214357,PHONE,Unspecified,QUEENS,40.75485510641838,-73.79531310698805,"{'latitude': '40.75485510641838', 'longitude': '-73.79531310698805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885610,2023-09-21T06:25:35.000,2023-09-21T09:26:35.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10453,2241 CRESTON AVENUE,CRESTON AVENUE,EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T09:26:40.000,05 BRONX,2031710037,BRONX,1011482,251431,ONLINE,Unspecified,BRONX,40.856752859501285,-73.90155761230223,"{'latitude': '40.856752859501285', 'longitude': '-73.90155761230223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885346,2023-09-21T06:25:26.000,2023-09-21T10:29:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10473,447 TORRY AVENUE,TORRY AVENUE,NORTON AVENUE,LACOMBE AVENUE,NORTON AVENUE,LACOMBE AVENUE,ADDRESS,BRONX,TORRY AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T10:29:11.000,09 BRONX,2035080043,BRONX,1025954,236438,MOBILE,Unspecified,BRONX,40.81554497381628,-73.84933532497767,"{'latitude': '40.81554497381628', 'longitude': '-73.84933532497767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888981,2023-09-21T06:25:08.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11220,150 55 STREET,55 STREET,1 AVENUE,2 AVENUE,1 AVENUE,2 AVENUE,ADDRESS,BROOKLYN,55 STREET,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-21T07:19:55.000,07 BROOKLYN,3008280001,BROOKLYN,978442,174975,ONLINE,Unspecified,BROOKLYN,40.64694069858286,-74.02092961613677,"{'latitude': '40.64694069858286', 'longitude': '-74.02092961613677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889040,2023-09-21T06:23:58.000,2023-10-02T09:59:19.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,10469,2805 GUNTHER AVENUE,GUNTHER AVENUE,BARTOW AVENUE,ARNOW AVENUE,BARTOW AVENUE,ARNOW AVENUE,ADDRESS,BRONX,GUNTHER AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-21T09:59:55.000,12 BRONX,,BRONX,1029197,255300,MOBILE,Unspecified,BRONX,40.86729966403373,-73.83749289919047,"{'latitude': '40.86729966403373', 'longitude': '-73.83749289919047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881350,2023-09-21T06:23:11.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11385,61-08 MYRTLE AVENUE,MYRTLE AVENUE,,,,,ADDRESS,RIDGEWOOD,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:42:06.000,05 QUEENS,4035920005,QUEENS,1013669,194631,UNKNOWN,Unspecified,QUEENS,40.700845000981516,-73.89390041754064,"{'latitude': '40.700845000981516', 'longitude': '-73.89390041754064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,2023-11-14T07:42:06.000,,
58889946,2023-09-21T06:22:09.000,2023-09-21T06:54:24.000,NYPD,New York City Police Department,Drug Activity,Use Indoor,Stairwell,10033,461 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST  180 STREET,WEST  181 STREET,WEST  180 STREET,WEST  181 STREET,ADDRESS,NEW YORK,FORT WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T06:54:28.000,12 MANHATTAN,1021770100,MANHATTAN,1001292,249197,ONLINE,Unspecified,MANHATTAN,40.85064674652241,-73.93839964204395,"{'latitude': '40.85064674652241', 'longitude': '-73.93839964204395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881593,2023-09-21T06:22:00.000,2023-09-25T10:44:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Lamp Missing,,11358,36-27 166 STREET,166 STREET,CROCHERON AVE,DEPOT RD,166 STREET,DEPOT ROAD,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T10:44:00.000,07 QUEENS,4052930008,QUEENS,1039646,216842,UNKNOWN,Unspecified,QUEENS,40.761684102020816,-73.80003179011409,"{'latitude': '40.761684102020816', 'longitude': '-73.80003179011409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885028,2023-09-21T06:21:30.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-28T21:51:20.000,Unspecified MANHATTAN,,MANHATTAN,1001323,249292,MOBILE,Unspecified,MANHATTAN,40.850907433425654,-73.93828734693483,"{'latitude': '40.850907433425654', 'longitude': '-73.93828734693483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A,Entrance,,Fort Washington Av & W 181 St,,,
58883212,2023-09-21T06:20:39.000,2023-09-21T16:22:00.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11385,1819 GEORGE STREET,GEORGE STREET,,,,,ADDRESS,RIDGEWOOD,,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-21T00:00:00.000,05 QUEENS,4035740051,QUEENS,1011656,194153,ONLINE,Unspecified,QUEENS,40.699539466837884,-73.90116223796252,"{'latitude': '40.699539466837884', 'longitude': '-73.90116223796252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887141,2023-09-21T06:20:30.000,2023-09-21T19:01:17.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11213,921 MONTGOMERY STREET,MONTGOMERY STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-21T00:00:00.000,09 BROOKLYN,3014190001,BROOKLYN,1002590,181372,PHONE,Unspecified,BROOKLYN,40.66448197292001,-73.93389288311353,"{'latitude': '40.66448197292001', 'longitude': '-73.93389288311353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889342,2023-09-21T06:20:08.000,2023-09-21T07:49:39.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11233,2347 PACIFIC STREET,PACIFIC STREET,EASTERN PARKWAY,SACKMAN STREET,EASTERN PARKWAY,SACKMAN STREET,ADDRESS,BROOKLYN,PACIFIC STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T07:49:44.000,16 BROOKLYN,3014360048,BROOKLYN,1009898,185341,MOBILE,Unspecified,BROOKLYN,40.67535783111126,-73.90753587878848,"{'latitude': '40.67535783111126', 'longitude': '-73.90753587878848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888402,2023-09-21T06:19:58.000,2023-09-22T00:33:30.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10472,1325 BEACH AVENUE,BEACH AVENUE,EAST  172 STREET,MCGRAW AVENUE,EAST  172 STREET,MCGRAW AVENUE,ADDRESS,BRONX,BEACH AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T00:33:34.000,09 BRONX,2038760063,BRONX,1021144,243029,PHONE,Unspecified,BRONX,40.833656773513,-73.86667621539952,"{'latitude': '40.833656773513', 'longitude': '-73.86667621539952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883479,2023-09-21T06:19:39.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11205,271 WAVERLY AVENUE,WAVERLY AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,WAVERLY AVENUE,In Progress,,,02 BROOKLYN,3019170001,BROOKLYN,993342,190707,MOBILE,Unspecified,BROOKLYN,40.690118763712384,-73.96721499681213,"{'latitude': '40.690118763712384', 'longitude': '-73.96721499681213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881371,2023-09-21T06:19:34.000,2023-09-21T11:32:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10461,1748 MAHAN AVENUE,MAHAN AVENUE,ROBERTS AVENUE,BUHRE AVENUE,ROBERTS AVENUE,BUHRE AVENUE,ADDRESS,BRONX,MAHAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:32:52.000,10 BRONX,2041770051,BRONX,1031530,247950,MOBILE,Unspecified,BRONX,40.847113965043384,-73.82910973755736,"{'latitude': '40.847113965043384', 'longitude': '-73.82910973755736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881693,2023-09-21T06:18:57.000,2023-09-21T06:38:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,592 QUINCY STREET,QUINCY STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,ADDRESS,BROOKLYN,QUINCY STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T06:39:02.000,03 BROOKLYN,3016290032,BROOKLYN,1001705,190128,ONLINE,Unspecified,BROOKLYN,40.68851699991869,-73.93706021560796,"{'latitude': '40.68851699991869', 'longitude': '-73.93706021560796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889566,2023-09-21T06:18:39.000,2023-09-21T06:54:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,200 WEST  131 STREET,WEST  131 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T06:54:41.000,10 MANHATTAN,1019330050,MANHATTAN,999270,235411,ONLINE,Unspecified,MANHATTAN,40.81281181632886,-73.94573926927536,"{'latitude': '40.81281181632886', 'longitude': '-73.94573926927536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889943,2023-09-21T06:18:06.000,2023-09-22T10:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11237,GATES AVENUE,GATES AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-22T10:00:00.000,04 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,,
58881649,2023-09-21T06:17:57.000,2023-09-21T06:37:30.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10018,39 WEST   37 STREET,WEST   37 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   37 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T06:37:32.000,05 MANHATTAN,1008390016,MANHATTAN,988537,212858,ONLINE,Unspecified,MANHATTAN,40.75092154667205,-73.98452732190236,"{'latitude': '40.75092154667205', 'longitude': '-73.98452732190236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881836,2023-09-21T06:17:39.000,2023-09-23T10:17:43.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10028,517 EAST   83 STREET,EAST   83 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-23T00:00:00.000,08 MANHATTAN,1015800012,MANHATTAN,998674,221169,PHONE,Unspecified,MANHATTAN,40.773722374543134,-73.94792294508093,"{'latitude': '40.773722374543134', 'longitude': '-73.94792294508093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885858,2023-09-21T06:17:39.000,2023-09-25T19:58:30.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10028,517 EAST   83 STREET,EAST   83 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,08 MANHATTAN,1015800012,MANHATTAN,998674,221169,PHONE,Unspecified,MANHATTAN,40.773722374543134,-73.94792294508093,"{'latitude': '40.773722374543134', 'longitude': '-73.94792294508093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881933,2023-09-21T06:17:39.000,2023-09-25T19:58:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10028,517 EAST   83 STREET,EAST   83 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,08 MANHATTAN,1015800012,MANHATTAN,998674,221169,PHONE,Unspecified,MANHATTAN,40.773722374543134,-73.94792294508093,"{'latitude': '40.773722374543134', 'longitude': '-73.94792294508093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887174,2023-09-21T06:17:39.000,2023-09-25T19:58:30.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10028,517 EAST   83 STREET,EAST   83 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,08 MANHATTAN,1015800012,MANHATTAN,998674,221169,PHONE,Unspecified,MANHATTAN,40.773722374543134,-73.94792294508093,"{'latitude': '40.773722374543134', 'longitude': '-73.94792294508093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885941,2023-09-21T06:17:38.000,2023-10-06T09:39:22.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11209,200 GELSTON AVENUE,GELSTON AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,10 BROOKLYN,3061090046,BROOKLYN,976171,163936,PHONE,Unspecified,BROOKLYN,40.61663920083316,-74.02910013992852,"{'latitude': '40.61663920083316', 'longitude': '-74.02910013992852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890245,2023-09-21T06:17:37.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-29T16:24:35.000,Unspecified MANHATTAN,,MANHATTAN,981602,198897,MOBILE,Unspecified,MANHATTAN,40.7126026696348,-74.00955169057023,"{'latitude': '40.7126026696348', 'longitude': '-74.00955169057023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A,Mezzanine,,,,,
58881668,2023-09-21T06:17:04.000,2023-09-21T06:54:23.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,200 WEST  131 STREET,WEST  131 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T06:54:28.000,10 MANHATTAN,1019330050,MANHATTAN,999270,235411,ONLINE,Unspecified,MANHATTAN,40.81281181632886,-73.94573926927536,"{'latitude': '40.81281181632886', 'longitude': '-73.94573926927536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885260,2023-09-21T06:17:00.000,2023-09-27T06:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,,,,,MAIDEN LANE,PEARL STREET,INTERSECTION,MANHATTAN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T06:45:00.000,01 MANHATTAN,,MANHATTAN,982370,196755,ONLINE,Unspecified,MANHATTAN,40.70672358407472,-74.00678081364836,"{'latitude': '40.70672358407472', 'longitude': '-74.00678081364836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58890495,2023-09-21T06:17:00.000,2023-09-21T11:40:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10032,,,,,AUDOBON AVENUE,WEST 173 STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-21T11:40:00.000,12 MANHATTAN,,MANHATTAN,1001923,246612,PHONE,Unspecified,MANHATTAN,40.843550444214024,-73.93612563080262,"{'latitude': '40.843550444214024', 'longitude': '-73.93612563080262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889592,2023-09-21T06:16:24.000,2023-09-21T07:01:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,1625 DEAN STREET,DEAN STREET,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,DEAN STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-21T07:01:24.000,08 BROOKLYN,3013410001,BROOKLYN,1002536,185577,ONLINE,Unspecified,BROOKLYN,40.67602386623132,-73.9340761208798,"{'latitude': '40.67602386623132', 'longitude': '-73.9340761208798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888994,2023-09-21T06:15:40.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-29T16:24:23.000,Unspecified MANHATTAN,,MANHATTAN,981602,198897,MOBILE,Unspecified,MANHATTAN,40.7126026696348,-74.00955169057023,"{'latitude': '40.7126026696348', 'longitude': '-74.00955169057023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A,Passageway,,,,,
58887461,2023-09-21T06:15:39.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10009,91 EAST    7 STREET,EAST    7 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST    7 STREET,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-21T13:02:50.000,03 MANHATTAN,1004350001,MANHATTAN,988296,204085,MOBILE,Unspecified,MANHATTAN,40.72684195138394,-73.98540241776267,"{'latitude': '40.72684195138394', 'longitude': '-73.98540241776267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887975,2023-09-21T06:15:21.000,2023-09-21T09:23:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11216,1336 DEAN STREET,DEAN STREET,NEW YORK AVENUE,BROOKLYN AVENUE,NEW YORK AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,DEAN STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-21T09:23:30.000,08 BROOKLYN,3012140138,BROOKLYN,999526,185784,ONLINE,Unspecified,BROOKLYN,40.67659774033364,-73.94492716754111,"{'latitude': '40.67659774033364', 'longitude': '-73.94492716754111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883147,2023-09-21T06:14:44.000,2023-09-21T09:21:49.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10472,1325 BEACH AVENUE,BEACH AVENUE,EAST  172 STREET,MCGRAW AVENUE,EAST  172 STREET,MCGRAW AVENUE,ADDRESS,BRONX,BEACH AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T09:21:55.000,09 BRONX,2038760063,BRONX,1021144,243029,PHONE,Unspecified,BRONX,40.833656773513,-73.86667621539952,"{'latitude': '40.833656773513', 'longitude': '-73.86667621539952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889318,2023-09-21T06:14:41.000,2023-09-21T06:37:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10467,712 EAST GUN HILL ROAD,EAST GUN HILL ROAD,WHITE PLAINS ROAD,HOLLAND AVENUE,WHITE PLAINS ROAD,HOLLAND AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T06:37:07.000,12 BRONX,2046290050,BRONX,1021339,258894,ONLINE,Unspecified,BRONX,40.87720059434862,-73.86588376795467,"{'latitude': '40.87720059434862', 'longitude': '-73.86588376795467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889419,2023-09-21T06:14:38.000,2023-09-21T06:29:42.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10026,55 WEST  116 STREET,WEST  116 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  116 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T06:29:48.000,10 MANHATTAN,1016007501,MANHATTAN,998480,231318,MOBILE,Unspecified,MANHATTAN,40.80157897162388,-73.94860187108074,"{'latitude': '40.80157897162388', 'longitude': '-73.94860187108074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884182,2023-09-21T06:13:59.000,2023-09-21T06:55:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10459,1420 STEBBINS AVENUE,STEBBINS AVENUE,EAST  170 STREET,BOSTON ROAD,EAST  170 STREET,BOSTON ROAD,ADDRESS,BRONX,STEBBINS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T06:55:23.000,03 BRONX,2029650042,BRONX,1013505,243086,PHONE,Unspecified,BRONX,40.83384183000208,-73.89428097771565,"{'latitude': '40.83384183000208', 'longitude': '-73.89428097771565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882437,2023-09-21T06:13:59.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-29T16:24:13.000,Unspecified MANHATTAN,,MANHATTAN,981602,198897,MOBILE,Unspecified,MANHATTAN,40.7126026696348,-74.00955169057023,"{'latitude': '40.7126026696348', 'longitude': '-74.00955169057023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A,Mezzanine,,,,,
58888161,2023-09-21T06:13:48.000,2023-09-21T06:32:21.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,466 SENATOR STREET,SENATOR STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,SENATOR STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T06:32:26.000,10 BROOKLYN,3058550034,BROOKLYN,978324,170767,PHONE,Unspecified,BROOKLYN,40.635390562953276,-74.02135114295945,"{'latitude': '40.635390562953276', 'longitude': '-74.02135114295945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882747,2023-09-21T06:13:43.000,2023-09-21T07:04:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1771 59 STREET,59 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,59 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T07:04:17.000,12 BROOKLYN,,BROOKLYN,987738,166285,MOBILE,Unspecified,BROOKLYN,40.623089713647204,-73.9874351904915,"{'latitude': '40.623089713647204', 'longitude': '-73.9874351904915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
