unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date,taxi_company_borough,taxi_pick_up_location
58865214,2023-09-15T07:23:13.000,2023-09-15T08:53:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:53:08.000,0 Unspecified,,Unspecified,999440,202762,MOBILE,Unspecified,Unspecified,40.72319852126221,-73.94519892108481,"{'latitude': '40.72319852126221', 'longitude': '-73.94519892108481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58824411,2023-09-15T07:23:07.000,2023-09-22T16:06:12.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10452,1234 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,04 BRONX,2025060033,BRONX,1005492,244605,PHONE,Unspecified,BRONX,40.83803395218191,-73.9232327902938,"{'latitude': '40.83803395218191', 'longitude': '-73.9232327902938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58822993,2023-09-15T07:23:00.000,2023-09-26T10:34:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10021,1425 YORK AVENUE,YORK AVENUE,E 75 ST,E 76 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.,2023-09-26T10:34:00.000,08 MANHATTAN,1014700025,MANHATTAN,997539,219531,ONLINE,Unspecified,MANHATTAN,40.76922827187109,-73.95202403798255,"{'latitude': '40.76922827187109', 'longitude': '-73.95202403798255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58825574,2023-09-15T07:23:00.000,2023-09-19T13:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11231,63 3 PLACE,3 PLACE,CLINTON ST,COURT ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T13:30:00.000,06 BROOKLYN,3003660048,BROOKLYN,984561,186664,ONLINE,Unspecified,BROOKLYN,40.67902631647684,-73.99887874617073,"{'latitude': '40.67902631647684', 'longitude': '-73.99887874617073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58834515,2023-09-15T07:22:28.000,2023-09-15T08:34:09.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11205,209 SPENCER STREET,SPENCER STREET,WILLOUGHBY AVENUE,DEKALB AVENUE,,,ADDRESS,BROOKLYN,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T07:22:28.000,03 BROOKLYN,3017630010,BROOKLYN,996829,191373,MOBILE,Unspecified,BROOKLYN,40.69194251086392,-73.95463992035651,"{'latitude': '40.69194251086392', 'longitude': '-73.95463992035651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58830236,2023-09-15T07:22:22.000,2023-09-16T15:23:26.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,,,,,,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T10:59:53.000,0 Unspecified,,Unspecified,1019841,199173,PHONE,Unspecified,Unspecified,40.71328903354439,-73.87161712962649,"{'latitude': '40.71328903354439', 'longitude': '-73.87161712962649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868432,2023-09-15T07:22:17.000,2023-09-15T07:43:17.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-15T07:43:23.000,0 Unspecified,,Unspecified,1010086,191598,ONLINE,Unspecified,Unspecified,40.69253131227294,-73.90683412549836,"{'latitude': '40.69253131227294', 'longitude': '-73.90683412549836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860753,2023-09-15T07:22:10.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T23:57:28.000,Unspecified BROOKLYN,,BROOKLYN,986350,192220,ONLINE,Unspecified,BROOKLYN,40.69427602016628,-73.99242710096283,"{'latitude': '40.69427602016628', 'longitude': '-73.99242710096283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,R,Montague St & Clinton St,Entrance,,,,
58867113,2023-09-15T07:22:10.000,2023-09-15T08:10:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:10:08.000,0 Unspecified,,Unspecified,988287,198358,MOBILE,Unspecified,Unspecified,40.71112271814,-73.985438323718,"{'latitude': '40.71112271814', 'longitude': '-73.985438323718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855448,2023-09-15T07:22:07.000,2023-09-15T09:17:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T09:17:46.000,0 Unspecified,,Unspecified,1027377,224870,MOBILE,Unspecified,Unspecified,40.78378718905449,-73.84426873987002,"{'latitude': '40.78378718905449', 'longitude': '-73.84426873987002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58848100,2023-09-15T07:22:00.000,2023-09-18T12:04:22.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10465,742 ELLSWORTH AVENUE,ELLSWORTH AVENUE,RANDALL AVENUE,THROGS NECK EP NB ET LAFAYETTE,RANDALL AVENUE,THROGS NECK EP NB ET LAFAYETTE,ADDRESS,BRONX,ELLSWORTH AVENUE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-18T12:04:27.000,10 BRONX,2054750049,BRONX,1034623,241392,ONLINE,Unspecified,BRONX,40.82909709414544,-73.81797958984909,"{'latitude': '40.82909709414544', 'longitude': '-73.81797958984909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857816,2023-09-15T07:21:57.000,2023-09-15T08:10:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T08:11:04.000,0 Unspecified,,Unspecified,,196045,MOBILE,Unspecified,Unspecified,,,,,,,,,,,
58863257,2023-09-15T07:21:46.000,2023-09-15T07:53:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T07:53:23.000,0 Unspecified,,Unspecified,984215,211460,ONLINE,Unspecified,Unspecified,40.74708542800375,-74.00012631503323,"{'latitude': '40.74708542800375', 'longitude': '-74.00012631503323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863419,2023-09-15T07:21:38.000,2023-09-15T09:28:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T09:28:32.000,0 Unspecified,,Unspecified,999103,171426,PHONE,Unspecified,Unspecified,40.63718890654303,-73.94648378513268,"{'latitude': '40.63718890654303', 'longitude': '-73.94648378513268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861133,2023-09-15T07:21:33.000,2023-09-15T08:58:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:58:46.000,0 Unspecified,,Unspecified,974856,171567,ONLINE,Unspecified,Unspecified,40.63758339333632,-74.03384732213435,"{'latitude': '40.63758339333632', 'longitude': '-74.03384732213435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867139,2023-09-15T07:21:29.000,2023-09-15T07:53:40.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T07:53:43.000,0 Unspecified,,Unspecified,984299,211136,ONLINE,Unspecified,Unspecified,40.74619612926188,-73.99982316131407,"{'latitude': '40.74619612926188', 'longitude': '-73.99982316131407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855598,2023-09-15T07:21:18.000,2023-09-15T07:53:57.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T07:54:03.000,0 Unspecified,,Unspecified,984463,211330,ONLINE,Unspecified,Unspecified,40.746728608151585,-73.99923128691499,"{'latitude': '40.746728608151585', 'longitude': '-73.99923128691499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857986,2023-09-15T07:21:08.000,2023-09-15T07:57:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T07:57:20.000,0 Unspecified,,Unspecified,1030640,217056,MOBILE,Unspecified,Unspecified,40.76232331815162,-73.83254004119343,"{'latitude': '40.76232331815162', 'longitude': '-73.83254004119343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867370,2023-09-15T07:21:08.000,2023-09-15T09:45:00.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T09:45:02.000,0 Unspecified,,Unspecified,1013663,206868,MOBILE,Unspecified,Unspecified,40.734432623775874,-73.89386858602991,"{'latitude': '40.734432623775874', 'longitude': '-73.89386858602991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865074,2023-09-15T07:21:02.000,2023-09-15T08:05:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:05:31.000,0 Unspecified,,Unspecified,998333,230621,ONLINE,Unspecified,Unspecified,40.799666132972455,-73.94913429031526,"{'latitude': '40.799666132972455', 'longitude': '-73.94913429031526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58822030,2023-09-15T07:21:00.000,2023-09-18T12:44:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10314,251 LIVINGSTON AVENUE,LIVINGSTON AVENUE,PORTAGE AVENUE,BRIELLE AVENUE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-18T12:44:00.000,02 STATEN ISLAND,5008030018,STATEN ISLAND,948670,157700,PHONE,Unspecified,STATEN ISLAND,40.59945492022677,-74.12812437837887,"{'latitude': '40.59945492022677', 'longitude': '-74.12812437837887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863385,2023-09-15T07:20:43.000,2023-09-15T08:29:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:29:28.000,0 Unspecified,,Unspecified,,196895,ONLINE,Unspecified,Unspecified,,,,,,,,,,,
58859480,2023-09-15T07:20:18.000,2023-09-15T07:55:16.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T07:55:20.000,0 Unspecified,,Unspecified,995409,157213,ONLINE,Unspecified,Unspecified,40.59818259986439,-73.9598169692317,"{'latitude': '40.59818259986439', 'longitude': '-73.9598169692317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856152,2023-09-15T07:20:18.000,2023-09-15T11:41:54.000,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,,,,,,,,,,,Closed,NYC Parks has reviewed the reported condition and corrected the problem.,2023-09-15T11:41:59.000,0 Unspecified,,Unspecified,998241,219534,ONLINE,Unspecified,Unspecified,40.76923542292693,-73.94948967113403,"{'latitude': '40.76923542292693', 'longitude': '-73.94948967113403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58820169,2023-09-15T07:20:10.000,2023-10-09T16:12:02.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10463,3150 BAILEY AVENUE,BAILEY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-09T00:00:00.000,08 BRONX,2032610086,BRONX,1011414,259460,ONLINE,Unspecified,BRONX,40.878790215257844,-73.90177088166034,"{'latitude': '40.878790215257844', 'longitude': '-73.90177088166034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857008,2023-09-15T07:20:05.000,2023-09-15T08:42:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T08:42:26.000,0 Unspecified,,Unspecified,1018356,258017,MOBILE,Unspecified,Unspecified,40.87480553363317,-73.87667493949525,"{'latitude': '40.87480553363317', 'longitude': '-73.87667493949525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58824688,2023-09-15T07:20:00.000,2023-09-26T10:33:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10018,307 WEST   38 STREET,WEST   38 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-26T10:33:00.000,04 MANHATTAN,1007627503,MANHATTAN,986418,214324,ONLINE,Unspecified,MANHATTAN,40.75494611848477,-73.99217476261052,"{'latitude': '40.75494611848477', 'longitude': '-73.99217476261052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58823546,2023-09-15T07:19:54.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10305,900 HYLAN BOULEVARD,HYLAN BOULEVARD,,,,,ADDRESS,STATEN ISLAND,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,02 STATEN ISLAND,5032660019,STATEN ISLAND,964068,157258,ONLINE,Unspecified,STATEN ISLAND,40.59829016166779,-74.07267454950947,"{'latitude': '40.59829016166779', 'longitude': '-74.07267454950947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861078,2023-09-15T07:19:53.000,2023-09-15T08:56:18.000,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:56:23.000,0 Unspecified,,Unspecified,1013358,186967,ONLINE,Unspecified,Unspecified,40.67981012971545,-73.89505515153988,"{'latitude': '40.67981012971545', 'longitude': '-73.89505515153988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864335,2023-09-15T07:19:20.000,2023-09-18T11:31:04.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11220,455 48 STREET,48 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,48 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T07:19:20.000,07 BROOKLYN,3007650053,BROOKLYN,981430,174940,MOBILE,Unspecified,BROOKLYN,40.64684608665183,-74.01016209252464,"{'latitude': '40.64684608665183', 'longitude': '-74.01016209252464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867952,2023-09-15T07:19:15.000,2023-09-15T08:01:02.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:01:08.000,0 Unspecified,,Unspecified,979858,196346,PHONE,Unspecified,Unspecified,40.70560008526289,-74.01584086795326,"{'latitude': '40.70560008526289', 'longitude': '-74.01584086795326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857757,2023-09-15T07:19:14.000,2023-09-15T10:42:26.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T10:42:28.000,0 Unspecified,,Unspecified,1016012,250314,MOBILE,Unspecified,Unspecified,40.85367189538927,-73.88518718712739,"{'latitude': '40.85367189538927', 'longitude': '-73.88518718712739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861218,2023-09-15T07:18:58.000,2023-09-15T07:58:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T07:58:38.000,0 Unspecified,,Unspecified,986599,199006,ONLINE,Unspecified,Unspecified,40.712901933102266,-73.99152680442738,"{'latitude': '40.712901933102266', 'longitude': '-73.99152680442738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855383,2023-09-15T07:18:50.000,2023-09-15T07:55:07.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T07:55:13.000,0 Unspecified,,Unspecified,995159,198883,MOBILE,Unspecified,Unspecified,40.71255791386136,-73.9606498014488,"{'latitude': '40.71255791386136', 'longitude': '-73.9606498014488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859742,2023-09-15T07:18:25.000,2023-09-15T07:53:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T07:53:18.000,0 Unspecified,,Unspecified,1015991,256682,ONLINE,Unspecified,Unspecified,40.871150193583546,-73.88523293886162,"{'latitude': '40.871150193583546', 'longitude': '-73.88523293886162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868184,2023-09-15T07:18:20.000,2023-09-15T07:18:20.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10458,2854 BRIGGS AVENUE,BRIGGS AVENUE,EAST 198 STREET,EAST 199 STREET,EAST  198 STREET,EAST  199 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-15T07:18:20.000,07 BRONX,2032960012,BRONX,1015042,256015,PHONE,Unspecified,BRONX,40.869322845564064,-73.8886673332873,"{'latitude': '40.869322845564064', 'longitude': '-73.8886673332873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58822939,2023-09-15T07:17:56.000,2023-09-15T07:17:56.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11231,65 3 PLACE,3 PLACE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-15T00:00:00.000,06 BROOKLYN,3003660047,BROOKLYN,984575,186659,UNKNOWN,Unspecified,BROOKLYN,40.67901259210625,-73.99882827196296,"{'latitude': '40.67901259210625', 'longitude': '-73.99882827196296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863445,2023-09-15T07:17:53.000,2023-09-15T07:40:58.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T07:41:02.000,0 Unspecified,,Unspecified,998910,192624,PHONE,Unspecified,Unspecified,40.69537301328288,-73.94713307946171,"{'latitude': '40.69537301328288', 'longitude': '-73.94713307946171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58823936,2023-09-15T07:17:38.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211,38 MARCY AVENUE,MARCY AVENUE,,,,,ADDRESS,BROOKLYN,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,01 BROOKLYN,3023690036,BROOKLYN,996741,199078,UNKNOWN,Unspecified,BROOKLYN,40.713091050297386,-73.95494295841074,"{'latitude': '40.713091050297386', 'longitude': '-73.95494295841074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,2023-11-14T07:29:10.000,,
58853938,2023-09-15T07:17:29.000,2023-09-30T06:43:04.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,10461,BUTLER PLACE,BUTLER PLACE,BUTLER PLACE,SEABURY AVENUE,BUTLER PLACE,SEABURY AVENUE,INTERSECTION,,,Closed,The Department of Sanitation cleaned the location.,2023-09-18T12:06:31.000,10 BRONX,,BRONX,1027738,244702,PHONE,Unspecified,BRONX,40.838218659314784,-73.84283668918842,"{'latitude': '40.838218659314784', 'longitude': '-73.84283668918842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864747,2023-09-15T07:17:09.000,2023-09-19T06:35:49.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10028,1258 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   84 STREET,EAST   85 STREET,EAST   84 STREET,EAST   85 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T06:35:52.000,08 MANHATTAN,1015130157,MANHATTAN,996376,222963,ONLINE,Unspecified,MANHATTAN,40.77864988333483,-73.95621650812866,"{'latitude': '40.77864988333483', 'longitude': '-73.95621650812866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58820487,2023-09-15T07:17:00.000,2023-09-15T09:10:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10312,360 SHIRLEY AVENUE,SHIRLEY AVENUE,HOLDRIDGE AVE,BARCLAY AVE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-15T09:10:00.000,03 STATEN ISLAND,5063660032,STATEN ISLAND,937522,132847,ONLINE,Unspecified,STATEN ISLAND,40.53118661418466,-74.16809674901218,"{'latitude': '40.53118661418466', 'longitude': '-74.16809674901218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58826037,2023-09-15T07:16:56.000,2023-09-22T16:06:11.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10452,1234 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,04 BRONX,2025060033,BRONX,1005492,244605,PHONE,Unspecified,BRONX,40.83803395218191,-73.9232327902938,"{'latitude': '40.83803395218191', 'longitude': '-73.9232327902938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865132,2023-09-15T07:16:51.000,2023-09-15T08:49:13.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:49:18.000,0 Unspecified,,Unspecified,949774,169679,PHONE,Unspecified,Unspecified,40.63233912549371,-74.12421002133938,"{'latitude': '40.63233912549371', 'longitude': '-74.12421002133938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860412,2023-09-15T07:16:34.000,2023-09-18T11:32:05.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11220,450 48 STREET,48 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,48 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T07:16:34.000,07 BROOKLYN,3007740027,BROOKLYN,981409,174949,MOBILE,Unspecified,BROOKLYN,40.64687078299472,-74.0102377714715,"{'latitude': '40.64687078299472', 'longitude': '-74.0102377714715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864557,2023-09-15T07:16:15.000,2023-09-15T13:20:12.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T13:20:16.000,0 Unspecified,,Unspecified,1007026,240948,MOBILE,Unspecified,Unspecified,40.82799272135962,-73.9177014337062,"{'latitude': '40.82799272135962', 'longitude': '-73.9177014337062', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
