unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58894660,2023-09-22T21:14:23.000,2023-09-22T22:02:37.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11203,756 WINTHROP STREET,WINTHROP STREET,EAST   45 STREET,EAST   46 STREET,EAST   45 STREET,EAST   46 STREET,ADDRESS,BROOKLYN,WINTHROP STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:02:41.000,09 BROOKLYN,3046170001,BROOKLYN,1002228,179023,MOBILE,Unspecified,BROOKLYN,40.658035230454374,-73.93520398632249,"{'latitude': '40.658035230454374', 'longitude': '-73.93520398632249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898045,2023-09-22T21:13:48.000,2023-09-26T18:58:48.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10468,2512 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,07 BRONX,2032140005,BRONX,1011070,254685,ONLINE,Unspecified,BRONX,40.865685364854315,-73.90303395037606,"{'latitude': '40.865685364854315', 'longitude': '-73.90303395037606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896386,2023-09-22T21:13:45.000,2023-09-22T21:37:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,309 CRIMMINS AVENUE,CRIMMINS AVENUE,EAST  141 STREET,ST MARYS STREET,EAST  141 STREET,ST MARYS STREET,ADDRESS,BRONX,CRIMMINS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:38:03.000,01 BRONX,2025560053,BRONX,1007685,233868,ONLINE,Unspecified,BRONX,40.80855839715178,-73.91534493481606,"{'latitude': '40.80855839715178', 'longitude': '-73.91534493481606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897662,2023-09-22T21:13:31.000,2023-09-22T21:48:02.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,103 MARINE AVENUE,MARINE AVENUE,95 STREET,95 STREET,95 STREET,95 STREET,ADDRESS,BROOKLYN,MARINE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:48:06.000,10 BROOKLYN,3061160008,BROOKLYN,974190,164286,ONLINE,Unspecified,BROOKLYN,40.61759785038226,-74.03623612018502,"{'latitude': '40.61759785038226', 'longitude': '-74.03623612018502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892012,2023-09-22T21:13:21.000,2023-09-22T22:44:08.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,97-07 44 AVENUE,44 AVENUE,97 PLACE,NATIONAL STREET,97 PLACE,NATIONAL STREET,ADDRESS,CORONA,44 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T22:44:12.000,04 QUEENS,4016280067,QUEENS,1021439,210937,PHONE,Unspecified,QUEENS,40.74557172753941,-73.86578786065616,"{'latitude': '40.74557172753941', 'longitude': '-73.86578786065616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901584,2023-09-22T21:13:20.000,2023-09-23T01:05:58.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10305,643 OCEANSIDE AVENUE,OCEANSIDE AVENUE,SEAVIEW AVENUE,LIBERTY AVENUE,SEAVIEW AVENUE,LIBERTY AVENUE,ADDRESS,STATEN ISLAND,OCEANSIDE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T01:06:02.000,02 STATEN ISLAND,5034810034,STATEN ISLAND,962382,150271,MOBILE,Unspecified,STATEN ISLAND,40.579108249639646,-74.07872315176218,"{'latitude': '40.579108249639646', 'longitude': '-74.07872315176218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901563,2023-09-22T21:13:13.000,2023-09-22T21:39:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10467,3301 PERRY AVENUE,PERRY AVENUE,HOLT PLACE,EAST  209 STREET,HOLT PLACE,EAST  209 STREET,ADDRESS,BRONX,PERRY AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T21:39:30.000,07 BRONX,2033430126,BRONX,1018715,258823,ONLINE,Unspecified,BRONX,40.877016358193174,-73.87537267430177,"{'latitude': '40.877016358193174', 'longitude': '-73.87537267430177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899112,2023-09-22T21:13:07.000,2023-09-22T21:31:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1196 NELSON AVENUE,NELSON AVENUE,WEST  167 STREET,WEST  168 STREET,WEST  167 STREET,WEST  168 STREET,ADDRESS,BRONX,NELSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:31:58.000,04 BRONX,2025150009,BRONX,1004861,244399,ONLINE,Unspecified,BRONX,40.837470037390105,-73.92551381527753,"{'latitude': '40.837470037390105', 'longitude': '-73.92551381527753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898230,2023-09-22T21:13:01.000,2023-09-26T12:52:12.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10028,420 EAST   85 STREET,EAST   85 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,EAST   85 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-22T21:13:01.000,08 MANHATTAN,1015640040,MANHATTAN,998382,221928,ONLINE,Unspecified,MANHATTAN,40.77580610173381,-73.94897559849409,"{'latitude': '40.77580610173381', 'longitude': '-73.94897559849409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901806,2023-09-22T21:13:00.000,2023-09-24T00:05:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10038,CHATHAM SQUARE,CHATHAM SQUARE,BOWERY,EAST BROADWAY,,,BLOCKFACE,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T00:05:00.000,03 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
58894975,2023-09-22T21:12:59.000,2023-09-22T21:47:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10459,1366 LYMAN PLACE,LYMAN PLACE,EAST  169 STREET,FREEMAN STREET,EAST  169 STREET,FREEMAN STREET,ADDRESS,BRONX,LYMAN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:47:23.000,03 BRONX,2029700049,BRONX,1012886,241514,ONLINE,Unspecified,BRONX,40.8295291733699,-73.89652457121207,"{'latitude': '40.8295291733699', 'longitude': '-73.89652457121207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891915,2023-09-22T21:12:26.000,2023-09-22T21:36:17.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11209,110 82 STREET,82 STREET,NARROWS AVENUE,COLONIAL ROAD,NARROWS AVENUE,COLONIAL ROAD,ADDRESS,BROOKLYN,82 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T21:36:20.000,10 BROOKLYN,3060040036,BROOKLYN,974280,168002,MOBILE,Unspecified,BROOKLYN,40.62779759482036,-74.03591742847449,"{'latitude': '40.62779759482036', 'longitude': '-74.03591742847449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896011,2023-09-22T21:12:20.000,2023-09-22T21:56:22.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,1766 59 STREET,59 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,59 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T21:56:26.000,12 BROOKLYN,3055110034,BROOKLYN,987717,166294,ONLINE,Unspecified,BROOKLYN,40.62311442500842,-73.9875108340905,"{'latitude': '40.62311442500842', 'longitude': '-73.9875108340905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892804,2023-09-22T21:12:18.000,2023-09-24T08:44:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11231,13 DWIGHT STREET,DWIGHT STREET,DELAVAN STREET,VERONA STREET,DELAVAN STREET,VERONA STREET,ADDRESS,BROOKLYN,DWIGHT STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T08:44:48.000,06 BROOKLYN,3005240010,BROOKLYN,982494,186412,MOBILE,Unspecified,BROOKLYN,40.67833446481086,-74.00633087234684,"{'latitude': '40.67833446481086', 'longitude': '-74.00633087234684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897672,2023-09-22T21:12:13.000,2023-09-22T22:44:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10453,2010 GRAND AVENUE,GRAND AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,GRAND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T22:44:59.000,05 BRONX,2028700016,BRONX,1009141,250168,PHONE,Unspecified,BRONX,40.85329321354043,-73.91002489959818,"{'latitude': '40.85329321354043', 'longitude': '-73.91002489959818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892066,2023-09-22T21:12:10.000,2023-09-22T21:29:26.000,NYPD,New York City Police Department,Drinking,In Public,Street/Sidewalk,10002,19 MONROE STREET,MONROE STREET,CATHERINE STREET,MARKET STREET,CATHERINE STREET,MARKET STREET,ADDRESS,NEW YORK,MONROE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T21:29:30.000,03 MANHATTAN,1002760009,MANHATTAN,985458,198485,ONLINE,Unspecified,MANHATTAN,40.71147214147519,-73.99564265615868,"{'latitude': '40.71147214147519', 'longitude': '-73.99564265615868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897407,2023-09-22T21:12:06.000,2023-09-22T22:02:47.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11203,532 TROY AVENUE,TROY AVENUE,MIDWOOD STREET,RUTLAND ROAD,MIDWOOD STREET,RUTLAND ROAD,ADDRESS,BROOKLYN,TROY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:02:51.000,09 BROOKLYN,,BROOKLYN,1001683,179985,MOBILE,Unspecified,BROOKLYN,40.660676797843486,-73.93716577865933,"{'latitude': '40.660676797843486', 'longitude': '-73.93716577865933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899633,2023-09-22T21:12:03.000,2023-09-25T08:11:55.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10032,838 RIVERSIDE DRIVE,RIVERSIDE DRIVE,EDWARD M MORGAN PLACE,WEST 160 STREET,EDWARD M MORGAN PLACE,WEST  160 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-22T21:12:03.000,12 MANHATTAN,1021360020,MANHATTAN,999227,243817,MOBILE,Unspecified,MANHATTAN,40.83588396825875,-73.9458758463922,"{'latitude': '40.83588396825875', 'longitude': '-73.9458758463922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894179,2023-09-22T21:11:31.000,2023-09-23T02:11:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,635 EAST  228 STREET,EAST  228 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  228 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T02:11:46.000,12 BRONX,2048310058,BRONX,1022528,263797,ONLINE,Unspecified,BRONX,40.890652703504344,-73.86155625299214,"{'latitude': '40.890652703504344', 'longitude': '-73.86155625299214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894722,2023-09-22T21:11:29.000,2023-09-22T21:34:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11432,88-56 162 STREET,162 STREET,HILLSIDE AVENUE,89 AVENUE,HILLSIDE AVENUE,89 AVENUE,ADDRESS,JAMAICA,162 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T21:34:53.000,12 QUEENS,4097670059,QUEENS,1039800,197092,MOBILE,Unspecified,QUEENS,40.70747439502879,-73.79963895275714,"{'latitude': '40.70747439502879', 'longitude': '-73.79963895275714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893512,2023-09-22T21:11:23.000,2023-09-22T21:17:24.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11105,45-01 DITMARS BOULEVARD,DITMARS BOULEVARD,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,ASTORIA,DITMARS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T21:17:30.000,01 QUEENS,4007710001,QUEENS,1011097,220099,ONLINE,Unspecified,QUEENS,40.77075650493456,-73.90307469278238,"{'latitude': '40.77075650493456', 'longitude': '-73.90307469278238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895083,2023-09-22T21:11:21.000,2023-09-22T21:43:06.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10009,347 EAST   10 STREET,EAST   10 STREET,AVENUE B,AVENUE C,AVENUE B,AVENUE C,ADDRESS,NEW YORK,EAST   10 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:43:11.000,03 MANHATTAN,1003930001,MANHATTAN,989919,204043,ONLINE,Unspecified,MANHATTAN,40.72672578035935,-73.97954682407006,"{'latitude': '40.72672578035935', 'longitude': '-73.97954682407006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897664,2023-09-22T21:10:46.000,2023-09-22T21:28:11.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,1265 GERARD AVENUE,GERARD AVENUE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:28:15.000,04 BRONX,2024890054,BRONX,1006494,244079,MOBILE,Unspecified,BRONX,40.836587768244534,-73.91961337374968,"{'latitude': '40.836587768244534', 'longitude': '-73.91961337374968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901591,2023-09-22T21:10:45.000,2023-09-22T22:18:28.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11203,510 TROY AVENUE,TROY AVENUE,MAPLE STREET,MIDWOOD STREET,MAPLE STREET,MIDWOOD STREET,ADDRESS,BROOKLYN,TROY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:18:34.000,09 BROOKLYN,,BROOKLYN,1001665,180190,MOBILE,Unspecified,BROOKLYN,40.66123951290553,-73.93723012704466,"{'latitude': '40.66123951290553', 'longitude': '-73.93723012704466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892026,2023-09-22T21:10:39.000,2023-09-22T21:44:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,38-27 99 STREET,99 STREET,38 AVENUE,39 AVENUE,38 AVENUE,39 AVENUE,ADDRESS,CORONA,99 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T21:44:20.000,03 QUEENS,4017650023,QUEENS,1021086,212670,ONLINE,Unspecified,QUEENS,40.75032984863348,-73.8670523153991,"{'latitude': '40.75032984863348', 'longitude': '-73.8670523153991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897364,2023-09-22T21:10:35.000,2023-09-22T22:02:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11105,21-60 33 STREET,33 STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ADDRESS,ASTORIA,33 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T22:02:13.000,01 QUEENS,4008310089,QUEENS,1009542,222060,MOBILE,Unspecified,QUEENS,40.77614351944716,-73.90868130040298,"{'latitude': '40.77614351944716', 'longitude': '-73.90868130040298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899275,2023-09-22T21:10:35.000,2023-09-22T21:28:38.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453,1915 BILLINGSLEY TERRACE,BILLINGSLEY TERRACE,BEND,PHELAN PLACE,BEND,PHELAN PLACE,ADDRESS,BRONX,BILLINGSLEY TERRACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T21:28:43.000,05 BRONX,2028790184,BRONX,1007476,250397,PHONE,Unspecified,BRONX,40.853926287088356,-73.91604268510348,"{'latitude': '40.853926287088356', 'longitude': '-73.91604268510348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892260,2023-09-22T21:10:24.000,2023-09-22T21:45:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,EAST  167 STREET,EAST  167 STREET,EAST  167 STREET,SHERIDAN AVENUE,EAST  167 STREET,SHERIDAN AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:45:46.000,04 BRONX,,BRONX,1007317,243186,PHONE,Unspecified,BRONX,40.83413463110816,-73.91664224251635,"{'latitude': '40.83413463110816', 'longitude': '-73.91664224251635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900436,2023-09-22T21:10:15.000,2023-09-22T21:29:12.000,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11418,87-68 VAN WYCK EXPRESSWAY,VAN WYCK EXPRESSWAY,HILLSIDE AVENUE,KEW GARDENS ROAD,HILLSIDE AVENUE,KEW GARDENS ROAD,ADDRESS,RICHMOND HILL,VAN WYCK EXPRESSWAY SR WEST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:29:15.000,09 QUEENS,4096170020,QUEENS,1034876,195693,MOBILE,Unspecified,QUEENS,40.703664021274875,-73.81740959318331,"{'latitude': '40.703664021274875', 'longitude': '-73.81740959318331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900650,2023-09-22T21:10:05.000,2023-09-22T21:34:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,TOWNSEND AVENUE,TOWNSEND AVENUE,EAST  171 STREET,EAST  172 STREET,EAST  171 STREET,EAST  172 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:34:38.000,Unspecified BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,
58893490,2023-09-22T21:10:00.000,2023-09-23T23:30:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10013,,,,,BAYARD STREET,MULBERRY STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-23T23:30:00.000,03 MANHATTAN,,MANHATTAN,984438,200105,UNKNOWN,Unspecified,MANHATTAN,40.71591873545513,-73.99932182508893,"{'latitude': '40.71591873545513', 'longitude': '-73.99932182508893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901920,2023-09-22T21:09:46.000,2023-09-22T21:34:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,88-56 162 STREET,162 STREET,HILLSIDE AVENUE,89 AVENUE,HILLSIDE AVENUE,89 AVENUE,ADDRESS,JAMAICA,162 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T21:34:40.000,12 QUEENS,4097670059,QUEENS,1039800,197092,MOBILE,Unspecified,QUEENS,40.70747439502879,-73.79963895275714,"{'latitude': '40.70747439502879', 'longitude': '-73.79963895275714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892828,2023-09-22T21:09:41.000,2023-09-27T11:24:47.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11422,244-22 137 AVENUE,137 AVENUE,244 STREET,246 STREET,244 STREET,246 STREET,ADDRESS,ROSEDALE,137 AVENUE,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-27T11:24:06.000,13 QUEENS,4132460017,QUEENS,1058469,182897,ONLINE,Unspecified,QUEENS,40.6683756592547,-73.7324592317711,"{'latitude': '40.6683756592547', 'longitude': '-73.7324592317711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902092,2023-09-22T21:09:20.000,2023-09-22T21:13:34.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11374,99-02 67 AVENUE,67 AVENUE,BOOTH STREET,SAUNDERS STREET,BOOTH STREET,SAUNDERS STREET,ADDRESS,REGO PARK,67 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T21:13:40.000,06 QUEENS,4031700013,QUEENS,1024563,203731,ONLINE,Unspecified,QUEENS,40.72577937370802,-73.85455679253253,"{'latitude': '40.72577937370802', 'longitude': '-73.85455679253253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897104,2023-09-22T21:09:14.000,2023-09-22T21:21:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11220,6745 3 AVENUE,3 AVENUE,SENATOR STREET,68 STREET,SENATOR STREET,68 STREET,ADDRESS,BROOKLYN,3 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:21:07.000,10 BROOKLYN,3058540005,BROOKLYN,977147,171288,MOBILE,Unspecified,BROOKLYN,40.6368197313493,-74.02559237548046,"{'latitude': '40.6368197313493', 'longitude': '-74.02559237548046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900312,2023-09-22T21:09:00.000,2023-09-22T22:03:24.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10463,3801 HUDSON MANOR TERRACE,HUDSON MANOR TERRACE,WEST  237 STREET,WEST  239 STREET,WEST  237 STREET,WEST  239 STREET,ADDRESS,BRONX,HUDSON MANOR TERRACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T22:03:28.000,08 BRONX,2059200670,BRONX,1007580,263067,MOBILE,Unspecified,BRONX,40.88870126620313,-73.91562263026111,"{'latitude': '40.88870126620313', 'longitude': '-73.91562263026111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891977,2023-09-22T21:09:00.000,2023-09-22T23:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Base Door,,11215,,,,,3 AVENUE,1 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T23:30:00.000,06 BROOKLYN,,BROOKLYN,987856,185666,UNKNOWN,Unspecified,BROOKLYN,40.67628630304806,-73.98699975817604,"{'latitude': '40.67628630304806', 'longitude': '-73.98699975817604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58898148,2023-09-22T21:08:56.000,2023-09-23T07:40:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,634 EAST  232 STREET,EAST  232 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  232 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T07:40:27.000,12 BRONX,2048340058,BRONX,1023015,264797,PHONE,Unspecified,BRONX,40.89339525734416,-73.85978908679643,"{'latitude': '40.89339525734416', 'longitude': '-73.85978908679643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892615,2023-09-22T21:08:43.000,2023-09-22T21:23:50.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10456,730 EAST  165 STREET,EAST  165 STREET,TRINITY AVENUE,TINTON AVENUE,TRINITY AVENUE,TINTON AVENUE,ADDRESS,BRONX,EAST  165 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:23:55.000,03 BRONX,2026390001,BRONX,1010797,239890,ONLINE,Unspecified,BRONX,40.82507828527606,-73.90407953706679,"{'latitude': '40.82507828527606', 'longitude': '-73.90407953706679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901941,2023-09-22T21:08:42.000,2023-09-22T21:59:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,754 HENRY STREET,HENRY STREET,MILL STREET,CENTRE MALL,MILL STREET,CENTRE MALL,ADDRESS,BROOKLYN,HENRY STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T21:59:08.000,06 BROOKLYN,3005380001,BROOKLYN,983234,185303,MOBILE,Unspecified,BROOKLYN,40.67529062601351,-74.00366279768666,"{'latitude': '40.67529062601351', 'longitude': '-74.00366279768666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
