unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58934153,2023-09-26T12:05:10.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,In Progress,,,10 QUEENS,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOWARD BEACH,151 AVENUE,4114340007,,,,,,,
58932052,2023-09-26T12:04:56.000,2023-09-26T12:37:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11423,183-14 JAMAICA AVENUE,JAMAICA AVENUE,183 STREET,184 STREET,183 STREET,184 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:37:37.000,12 QUEENS,QUEENS,1046074,197637,ONLINE,Unspecified,QUEENS,40.708928673178804,-73.77700460468061,"{'latitude': '40.708928673178804', 'longitude': '-73.77700460468061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOLLIS,JAMAICA AVENUE,4103520054,,,,,,,
58934116,2023-09-26T12:04:56.000,2023-09-26T12:15:39.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T12:15:42.000,08 QUEENS,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,164 STREET,4068580001,,,,,,,
58931376,2023-09-26T12:04:33.000,2023-09-28T10:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11385,73 STREET,73 STREET,CENTRAL AVENUE,COOPER AVENUE,,,BLOCKFACE,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-28T10:55:00.000,05 QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,QUEENS,,,N/A,,,,,,
58928955,2023-09-26T12:04:27.000,2023-09-26T12:04:27.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,3+ Family Mixed Use Building,10458,357 EAST  195 STREET,EAST  195 STREET,MARION AVENUE,DECATUR AVENUE,MARION AVENUE,DECATUR AVENUE,ADDRESS,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-26T12:04:27.000,07 BRONX,BRONX,1014888,254409,PHONE,Unspecified,BRONX,40.86491540345369,-73.88923148335466,"{'latitude': '40.86491540345369', 'longitude': '-73.88923148335466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  195 STREET,2032830055,,,,,,,
58926034,2023-09-26T12:04:26.000,2023-09-28T15:12:22.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,10017,45 TUDOR CITY PLACE,TUDOR CITY PLACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 MANHATTAN,MANHATTAN,992494,212266,ONLINE,Unspecified,MANHATTAN,40.7492938523723,-73.9702464092842,"{'latitude': '40.7492938523723', 'longitude': '-73.9702464092842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1013350022,,,,,,,
58931145,2023-09-26T12:04:26.000,2023-09-28T15:12:22.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10017,45 TUDOR CITY PLACE,TUDOR CITY PLACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 MANHATTAN,MANHATTAN,992494,212266,ONLINE,Unspecified,MANHATTAN,40.7492938523723,-73.9702464092842,"{'latitude': '40.7492938523723', 'longitude': '-73.9702464092842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1013350022,,,,,,,
58933872,2023-09-26T12:04:26.000,2023-09-28T15:12:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10017,45 TUDOR CITY PLACE,TUDOR CITY PLACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 MANHATTAN,MANHATTAN,992494,212266,ONLINE,Unspecified,MANHATTAN,40.7492938523723,-73.9702464092842,"{'latitude': '40.7492938523723', 'longitude': '-73.9702464092842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1013350022,,,,,,,
58929851,2023-09-26T12:04:26.000,2023-09-28T15:12:23.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10017,45 TUDOR CITY PLACE,TUDOR CITY PLACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 MANHATTAN,MANHATTAN,992494,212266,ONLINE,Unspecified,MANHATTAN,40.7492938523723,-73.9702464092842,"{'latitude': '40.7492938523723', 'longitude': '-73.9702464092842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1013350022,,,,,,,
58933863,2023-09-26T12:04:26.000,2023-09-28T15:12:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10017,45 TUDOR CITY PLACE,TUDOR CITY PLACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 MANHATTAN,MANHATTAN,992494,212266,ONLINE,Unspecified,MANHATTAN,40.7492938523723,-73.9702464092842,"{'latitude': '40.7492938523723', 'longitude': '-73.9702464092842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1013350022,,,,,,,
58926172,2023-09-26T12:04:20.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10031,305 CONVENT AVENUE,CONVENT AVENUE,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,09 MANHATTAN,MANHATTAN,998824,239159,ONLINE,Unspecified,MANHATTAN,40.823099768253336,-73.94734233371373,"{'latitude': '40.823099768253336', 'longitude': '-73.94734233371373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1020500015,,,,,,,
58931138,2023-09-26T12:04:08.000,2023-09-28T13:37:16.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10456,1357 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,03 BRONX,BRONX,1012300,242520,PHONE,Unspecified,BRONX,40.83229223339013,-73.89863785843102,"{'latitude': '40.83229223339013', 'longitude': '-73.89863785843102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029340047,,,,,,,
58927421,2023-09-26T12:04:08.000,2023-10-04T18:09:35.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10456,1357 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,03 BRONX,BRONX,1012300,242520,PHONE,Unspecified,BRONX,40.83229223339013,-73.89863785843102,"{'latitude': '40.83229223339013', 'longitude': '-73.89863785843102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029340047,,,,,,,
58928621,2023-09-26T12:04:05.000,2023-10-05T19:42:51.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10030,301 WEST  137 STREET,WEST  137 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,10 MANHATTAN,MANHATTAN,999252,237262,PHONE,Unspecified,MANHATTAN,40.81789232295765,-73.94580015801306,"{'latitude': '40.81789232295765', 'longitude': '-73.94580015801306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1020417502,,,,,,,
58929280,2023-09-26T12:04:02.000,2023-09-26T12:36:37.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,10019,899 10 AVENUE,10 AVENUE,WEST   58 STREET,AMSTERDAM AVENUE,WEST   58 STREET,AMSTERDAM AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:36:42.000,04 MANHATTAN,MANHATTAN,987659,219928,ONLINE,Unspecified,MANHATTAN,40.770327264648465,-73.98769262203216,"{'latitude': '40.770327264648465', 'longitude': '-73.98769262203216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,10 AVENUE,1010870025,,,,,,,
58934652,2023-09-26T12:03:58.000,2023-09-26T14:08:21.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10306,NEW DORP LANE,NEW DORP LANE,NEW DORP LANE,TITUS AVENUE,NEW DORP LANE,TITUS AVENUE,INTERSECTION,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T14:08:27.000,02 STATEN ISLAND,STATEN ISLAND,954947,146325,PHONE,Unspecified,STATEN ISLAND,40.56825580228543,-74.10547146489041,"{'latitude': '40.56825580228543', 'longitude': '-74.10547146489041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58930172,2023-09-26T12:03:54.000,2023-11-13T12:36:59.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11367,147-11 JEWEL AVENUE,JEWEL AVENUE,147 STREET,150 STREET,147 STREET,150 STREET,ADDRESS,Closed,NYC Parks performed the work necessary to correct the condition.,2023-11-13T12:37:03.000,08 QUEENS,QUEENS,1033816,205547,PHONE,Unspecified,QUEENS,40.730716832263475,-73.82116007561244,"{'latitude': '40.730716832263475', 'longitude': '-73.82116007561244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,JEWEL AVENUE,4066450063,,,,,,,
58932781,2023-09-26T12:03:11.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11105,23-45 24 STREET,24 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-28T08:40:19.000,01 QUEENS,QUEENS,1006809,222167,ONLINE,Unspecified,QUEENS,40.776444603726326,-73.9185486405848,"{'latitude': '40.776444603726326', 'longitude': '-73.9185486405848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,24 STREET,4008650020,,,,,,,
58932677,2023-09-26T12:03:10.000,2023-10-26T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11225,951 CARROLL STREET,CARROLL STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-26T00:00:00.000,09 BROOKLYN,BROOKLYN,995757,182630,UNKNOWN,Unspecified,BROOKLYN,40.66794642016539,-73.95852049829654,"{'latitude': '40.66794642016539', 'longitude': '-73.95852049829654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3012800001,,,,,,,
58930120,2023-09-26T12:02:58.000,2023-09-26T13:25:00.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10305,91 ANDERSON STREET,ANDERSON STREET,ST MARYS AVENUE,VIRGINIA AVENUE,ST MARYS AVENUE,VIRGINIA AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T13:25:05.000,01 STATEN ISLAND,STATEN ISLAND,965023,163403,MOBILE,Unspecified,STATEN ISLAND,40.615159048264154,-74.06925312936453,"{'latitude': '40.615159048264154', 'longitude': '-74.06925312936453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,ANDERSON STREET,5028470199,,,,,,,
58934686,2023-09-26T12:02:56.000,2023-11-06T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Debris - Excessive,,11419,1018 114 STREET,114 STREET,,,,,ADDRESS,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-06T00:00:00.000,09 QUEENS,QUEENS,1031086,190955,UNKNOWN,Unspecified,QUEENS,40.69068020989801,-73.83111171860821,"{'latitude': '40.69068020989801', 'longitude': '-73.83111171860821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTH RICHMOND HILL,,,,,,,,,
58925770,2023-09-26T12:02:28.000,2023-09-26T15:45:08.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11358,28-28 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,171 STREET,29 AVENUE,171 STREET,29 AVENUE,ADDRESS,Closed,The Department of Transportation investigated this request and determined this street requires a reconstruction project. This location is part of an existing project or may be included in a future project. These projects are long term and vary in length.,2023-09-26T15:45:12.000,07 QUEENS,QUEENS,1041390,220234,ONLINE,Unspecified,QUEENS,40.770983138688884,-73.79370749465019,"{'latitude': '40.770983138688884', 'longitude': '-73.79370749465019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,FRANCIS LEWIS BOULEVARD,4049320001,,,,,,,
58932112,2023-09-26T12:02:26.000,2023-09-26T12:37:11.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11423,183-30 JAMAICA AVENUE,JAMAICA AVENUE,183 STREET,184 STREET,183 STREET,184 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:37:13.000,12 QUEENS,QUEENS,1046116,197642,ONLINE,Unspecified,QUEENS,40.708942103383364,-73.77685306795688,"{'latitude': '40.708942103383364', 'longitude': '-73.77685306795688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOLLIS,JAMAICA AVENUE,4103520061,,,,,,,
58929469,2023-09-26T12:02:23.000,2023-09-26T13:32:19.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,10312,174 ANNADALE ROAD,ANNADALE ROAD,WATKINS AVENUE,DORVAL PLACE,WATKINS AVENUE,DORVAL PLACE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T13:32:23.000,03 STATEN ISLAND,STATEN ISLAND,935115,143094,PHONE,Unspecified,STATEN ISLAND,40.55929962867329,-74.17682994822633,"{'latitude': '40.55929962867329', 'longitude': '-74.17682994822633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,ANNADALE ROAD,5056830139,,,,,,,
58930747,2023-09-26T12:02:23.000,2023-09-26T12:58:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10305,1590 HYLAN BOULEVARD,HYLAN BOULEVARD,ATLANTIC AVENUE,RARITAN AVENUE,ATLANTIC AVENUE,RARITAN AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T12:58:14.000,02 STATEN ISLAND,STATEN ISLAND,959494,154193,PHONE,Unspecified,STATEN ISLAND,40.58986576097405,-74.08913409394157,"{'latitude': '40.58986576097405', 'longitude': '-74.08913409394157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,HYLAN BOULEVARD,5033690034,,,,,,,
58928232,2023-09-26T12:02:22.000,2023-09-26T12:55:58.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11231,536 CLINTON STREET,CLINTON STREET,4 PLACE,LUQUER STREET,4 PLACE,LUQUER STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:56:01.000,06 BROOKLYN,BROOKLYN,984150,186218,PHONE,Unspecified,BROOKLYN,40.677802152289345,-74.00036052515998,"{'latitude': '40.677802152289345', 'longitude': '-74.00036052515998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CLINTON STREET,3003730037,,,,,,,
58930160,2023-09-26T12:02:20.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10314,185 LATHROP AVENUE,LATHROP AVENUE,BIDWELL AVENUE,DICKIE AVENUE,BIDWELL AVENUE,DICKIE AVENUE,ADDRESS,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-27T08:15:19.000,01 STATEN ISLAND,STATEN ISLAND,946183,164863,ONLINE,Unspecified,STATEN ISLAND,40.61910552806069,-74.13712048388263,"{'latitude': '40.61910552806069', 'longitude': '-74.13712048388263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,LATHROP AVENUE,5004110003,,,,,,,
58932038,2023-09-26T12:02:04.000,2023-09-26T12:22:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,2096 MCDONALD AVENUE,MCDONALD AVENUE,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:22:27.000,11 BROOKLYN,BROOKLYN,991842,158314,ONLINE,Unspecified,BROOKLYN,40.60120839513557,-73.97266032895826,"{'latitude': '40.60120839513557', 'longitude': '-73.97266032895826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MCDONALD AVENUE,3070870001,,,,,,,
58926035,2023-09-26T12:01:56.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,10040,2 ELLWOOD STREET,ELLWOOD STREET,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,12 MANHATTAN,MANHATTAN,1004253,252275,PHONE,Unspecified,MANHATTAN,40.85908872412456,-73.92768757158264,"{'latitude': '40.85908872412456', 'longitude': '-73.92768757158264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1021710042,,,,,,,
58928811,2023-09-26T12:01:43.000,2023-09-26T12:04:20.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T12:04:16.000,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRESH MEADOWS,PARSONS BOULEVARD,4068290001,,,,,,,
58933993,2023-09-26T12:01:29.000,2023-09-26T13:05:17.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,1844 EAST   23 STREET,EAST   23 STREET,AVENUE R,AVENUE S,AVENUE R,AVENUE S,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T13:05:19.000,15 BROOKLYN,BROOKLYN,998232,159918,PHONE,Unspecified,BROOKLYN,40.60560327009333,-73.94964588263453,"{'latitude': '40.60560327009333', 'longitude': '-73.94964588263453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   23 STREET,3068280025,,,,,,,
58930451,2023-09-26T12:01:14.000,2023-09-29T11:40:23.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11214,1653 79 STREET,79 STREET,16 AVENUE,NEW UTRECHT AVENUE,16 AVENUE,NEW UTRECHT AVENUE,ADDRESS,Closed,The Department of Sanitation collected the requested items.,2023-09-28T07:24:23.000,11 BROOKLYN,BROOKLYN,983705,162719,ONLINE,Unspecified,BROOKLYN,40.613302454019056,-74.00196296363795,"{'latitude': '40.613302454019056', 'longitude': '-74.00196296363795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,79 STREET,3062590055,,,,,,,
58935160,2023-09-26T12:00:50.000,2023-10-02T19:32:37.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10460,978 EAST  174 STREET,EAST  174 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,03 BRONX,BRONX,1016005,244062,PHONE,Unspecified,BRONX,40.836512030588544,-73.88524209753194,"{'latitude': '40.836512030588544', 'longitude': '-73.88524209753194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029970026,,,,,,,
58926107,2023-09-26T12:00:50.000,2023-10-02T19:32:37.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10460,978 EAST  174 STREET,EAST  174 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,03 BRONX,BRONX,1016005,244062,PHONE,Unspecified,BRONX,40.836512030588544,-73.88524209753194,"{'latitude': '40.836512030588544', 'longitude': '-73.88524209753194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029970026,,,,,,,
58932621,2023-09-26T12:00:50.000,2023-10-02T19:32:37.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10460,978 EAST  174 STREET,EAST  174 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,03 BRONX,BRONX,1016005,244062,PHONE,Unspecified,BRONX,40.836512030588544,-73.88524209753194,"{'latitude': '40.836512030588544', 'longitude': '-73.88524209753194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029970026,,,,,,,
58929054,2023-09-26T12:00:50.000,2023-09-27T11:14:37.000,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11216,751 ST MARKS AVENUE,ST MARKS AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,Closed,This request required re-assignment to a new DOT unit.,2023-09-27T11:14:45.000,08 BROOKLYN,BROOKLYN,998710,185237,ONLINE,Unspecified,BROOKLYN,40.675097719423114,-73.94787017277235,"{'latitude': '40.675097719423114', 'longitude': '-73.94787017277235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ST MARKS AVENUE,3012200047,,,,,,,
58935699,2023-09-26T12:00:37.000,2023-09-27T12:47:20.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Drug Store or Pharmacy,Business,10028,401 EAST   86 STREET,EAST   86 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,Closed,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-27T12:47:25.000,08 MANHATTAN,MANHATTAN,998290,222311,PHONE,Unspecified,MANHATTAN,40.776857482445486,-73.94930696946905,"{'latitude': '40.776857482445486', 'longitude': '-73.94930696946905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST   86 STREET,1015660001,,,,,,,
58935640,2023-09-26T12:00:35.000,2023-09-27T13:27:43.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,10314,SOUTH GANNON AVENUE,SOUTH GANNON AVENUE,SOUTH GANNON AVENUE,WOODWARD AVENUE,SOUTH GANNON AVENUE,WOODWARD AVENUE,INTERSECTION,Closed,The Department of Sanitation periodically conducted surveillance at the location and during those times no violations were observed.,2023-09-27T13:27:47.000,02 STATEN ISLAND,STATEN ISLAND,944565,160522,PHONE,Unspecified,STATEN ISLAND,40.607183294603296,-74.14292313100073,"{'latitude': '40.607183294603296', 'longitude': '-74.14292313100073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58934974,2023-09-26T12:00:34.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10304,40 PARK HILL AVENUE,PARK HILL AVENUE,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,01 STATEN ISLAND,STATEN ISLAND,962503,164656,PHONE,Unspecified,STATEN ISLAND,40.61859244542396,-74.07833386979115,"{'latitude': '40.61859244542396', 'longitude': '-74.07833386979115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,5028690165,,,,,,,
