unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,vehicle_type,taxi_company_borough,road_ramp,due_date
58917776,2023-09-25T15:12:16.000,2023-09-25T15:12:16.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11355,54-31 153 STREET,153 STREET,ADDRESS,FLUSHING,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-25T00:00:00.000,07 QUEENS,4051790034,QUEENS,1035624,210873,UNKNOWN,Unspecified,QUEENS,40.74532503411744,-73.81459594596281,"{'latitude': '40.74532503411744', 'longitude': '-73.81459594596281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58924619,2023-09-25T15:12:09.000,2023-09-26T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11423,89-07 201 STREET,201 STREET,ADDRESS,HOLLIS,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T00:00:00.000,12 QUEENS,4104890022,QUEENS,1050379,200904,UNKNOWN,Unspecified,QUEENS,40.717864648227774,-73.76144471548189,"{'latitude': '40.717864648227774', 'longitude': '-73.76144471548189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58921234,2023-09-25T15:12:09.000,2023-09-25T15:12:09.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11385,78-37 62 STREET,62 STREET,ADDRESS,RIDGEWOOD,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-25T00:00:00.000,05 QUEENS,4037160080,QUEENS,1014063,193116,UNKNOWN,Unspecified,QUEENS,40.69668536383806,-73.89248616464101,"{'latitude': '40.69668536383806', 'longitude': '-73.89248616464101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58918524,2023-09-25T15:11:52.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,11102,24-53 26 STREET,26 STREET,ADDRESS,ASTORIA,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-26T08:48:37.000,01 QUEENS,4008520012,QUEENS,1006474,221044,ONLINE,Unspecified,QUEENS,40.77336311330705,-73.91976190249362,"{'latitude': '40.77336311330705', 'longitude': '-73.91976190249362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,24 AVENUE,HOYT AVENUE NORTH,24 AVENUE,HOYT AVENUE NORTH,26 STREET,,,,,,,,,
58917580,2023-09-25T15:11:48.000,2023-10-11T13:17:26.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,10012,9 MINETTA STREET,MINETTA STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation cleaned the location.,2023-09-27T12:20:05.000,02 MANHATTAN,1005420036,MANHATTAN,983842,205178,MOBILE,Unspecified,MANHATTAN,40.72984288561277,-74.00147209138345,"{'latitude': '40.72984288561277', 'longitude': '-74.00147209138345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,AVENUE OF THE AMERICAS,MINETTA LANE,AVENUE OF THE AMERICAS,MINETTA LANE,MINETTA STREET,,,,,,,,,
58918709,2023-09-25T15:11:17.000,2023-10-06T13:52:03.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11429,109-19 SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,ADDRESS,QUEENS VILLAGE,Closed,The Department of Sanitation cleaned the location.,2023-09-26T09:48:03.000,13 QUEENS,4111970048,QUEENS,1056809,197573,ONLINE,Unspecified,QUEENS,40.70867148822051,-73.7382850178324,"{'latitude': '40.70867148822051', 'longitude': '-73.7382850178324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,109 AVENUE,110 AVENUE,109 AVENUE,110 AVENUE,SPRINGFIELD BOULEVARD,,,,,,,,,
58921275,2023-09-25T15:11:17.000,2023-09-25T17:26:12.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10302,1045 POST AVENUE,POST AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T17:26:17.000,01 STATEN ISLAND,5010370070,STATEN ISLAND,946708,170102,PHONE,Unspecified,STATEN ISLAND,40.63348770593115,-74.13525853256074,"{'latitude': '40.63348770593115', 'longitude': '-74.13525853256074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,HEBERTON AVENUE,PORT RICHMOND AVENUE,HEBERTON AVENUE,PORT RICHMOND AVENUE,POST AVENUE,,,,,,,,,
58923675,2023-09-25T15:11:16.000,2023-09-25T16:55:18.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10308,105 GIFFORDS LANE,GIFFORDS LANE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T16:55:03.000,03 STATEN ISLAND,5046210033,STATEN ISLAND,942175,141061,ONLINE,Unspecified,STATEN ISLAND,40.55375574988231,-74.15140941060078,"{'latitude': '40.55375574988231', 'longitude': '-74.15140941060078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,KATAN AVENUE,DEWEY AVENUE,KATAN AVENUE,DEWEY AVENUE,GIFFORDS LANE,,,,,,,,,
58920952,2023-09-25T15:11:12.000,2023-09-25T17:02:23.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,11226,CHURCH AVENUE,CHURCH AVENUE,INTERSECTION,,Closed,N/A,2023-09-25T17:02:28.000,17 BROOKLYN,,BROOKLYN,998243,176387,ONLINE,Unspecified,BROOKLYN,40.65080718173045,-73.94957212385663,"{'latitude': '40.65080718173045', 'longitude': '-73.94957212385663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,CHURCH AVENUE,NOSTRAND AVENUE,CHURCH AVENUE,NOSTRAND AVENUE,,,,,,,,,,
58920186,2023-09-25T15:11:06.000,2023-09-25T19:11:20.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10310,780 HENDERSON AVENUE,HENDERSON AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T19:11:24.000,01 STATEN ISLAND,5001960001,STATEN ISLAND,951454,171325,PHONE,Unspecified,STATEN ISLAND,40.636863421010915,-74.11816532991504,"{'latitude': '40.636863421010915', 'longitude': '-74.11816532991504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,BROADWAY,CHAPPELL STREET,BROADWAY,CHAPPELL STREET,HENDERSON AVENUE,,,,,,,,,
58925111,2023-09-25T15:11:02.000,2023-10-02T02:03:31.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11226,181 LENOX ROAD,LENOX ROAD,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,17 BROOKLYN,3050650075,BROOKLYN,997081,177524,PHONE,Unspecified,BROOKLYN,40.65392975846175,-73.95375756749715,"{'latitude': '40.65392975846175', 'longitude': '-73.95375756749715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58918701,2023-09-25T15:11:00.000,2023-09-26T13:28:24.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11207,2205 LINDEN BOULEVARD,LINDEN BOULEVARD,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-26T12:21:02.000,05 BROOKLYN,3043340007,BROOKLYN,1017139,180678,UNKNOWN,Unspecified,BROOKLYN,40.66253500774189,-73.88145398226816,"{'latitude': '40.66253500774189', 'longitude': '-73.88145398226816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,WARWICK STREET,ASHFORD STREET,WARWICK STREET,ASHFORD STREET,LINDEN BOULEVARD,,,,,,,,,
58924892,2023-09-25T15:10:57.000,2023-10-08T05:03:12.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,11208,957 CRESCENT STREET,CRESCENT STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-08T00:00:00.000,05 BROOKLYN,3045290035,BROOKLYN,1021094,181273,PHONE,Unspecified,BROOKLYN,40.66415257489968,-73.86719524053106,"{'latitude': '40.66415257489968', 'longitude': '-73.86719524053106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58919266,2023-09-25T15:10:57.000,2023-09-27T15:07:27.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,11208,957 CRESCENT STREET,CRESCENT STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-27T00:00:00.000,05 BROOKLYN,3045290035,BROOKLYN,1021094,181273,PHONE,Unspecified,BROOKLYN,40.66415257489968,-73.86719524053106,"{'latitude': '40.66415257489968', 'longitude': '-73.86719524053106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58917124,2023-09-25T15:10:43.000,2023-10-02T02:03:31.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11226,181 LENOX ROAD,LENOX ROAD,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,17 BROOKLYN,3050650075,BROOKLYN,997081,177524,PHONE,Unspecified,BROOKLYN,40.65392975846175,-73.95375756749715,"{'latitude': '40.65392975846175', 'longitude': '-73.95375756749715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58920716,2023-09-25T15:10:16.000,2023-09-25T15:10:16.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11213,1710 CARROLL STREET,CARROLL STREET,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-25T15:10:16.000,09 BROOKLYN,3014150016,BROOKLYN,1003625,181944,PHONE,Unspecified,BROOKLYN,40.66604978107062,-73.93016055020807,"{'latitude': '40.66604978107062', 'longitude': '-73.93016055020807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3+ Family Apt. Building,UTICA AVENUE,FORD STREET,UTICA AVENUE,FORD STREET,CARROLL STREET,,,,,,,,,
58919508,2023-09-25T15:10:08.000,2023-09-26T08:05:14.000,DOT,Department of Transportation,Broken Parking Meter,No Receipt,10002,RUTGERS STREET,RUTGERS STREET,BLOCKFACE,,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-26T08:05:02.000,Unspecified MANHATTAN,,MANHATTAN,986988,199307,PHONE,Unspecified,MANHATTAN,40.71372799449795,-73.99012350063408,"{'latitude': '40.71372799449795', 'longitude': '-73.99012350063408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,EAST BROADWAY,HENRY STREET,EAST BROADWAY,HENRY STREET,,,,,,,,,,
58919759,2023-09-25T15:10:08.000,2023-09-27T14:00:21.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,11223,2139 WEST   10 STREET,WEST   10 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-27T10:46:02.000,15 BROOKLYN,3071170063,BROOKLYN,989497,156129,ONLINE,Unspecified,BROOKLYN,40.59521271060229,-73.98110664225372,"{'latitude': '40.59521271060229', 'longitude': '-73.98110664225372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,AVENUE U,LAKE PLACE,AVENUE U,LAKE PLACE,WEST   10 STREET,,,,,,,,,
58923413,2023-09-25T15:10:03.000,2023-09-25T21:40:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11374,98-09 64 ROAD,64 ROAD,ADDRESS,REGO PARK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T21:40:10.000,06 QUEENS,4021010001,QUEENS,1023689,205184,PHONE,Unspecified,QUEENS,40.729771439136556,-73.8577015309891,"{'latitude': '40.729771439136556', 'longitude': '-73.8577015309891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,98 STREET,99 STREET,98 STREET,99 STREET,64 ROAD,,,,,,,,,
58923313,2023-09-25T15:10:03.000,2023-09-27T12:10:32.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Used Goods Dealer,11235,2626 HOMECREST AVENUE,HOMECREST AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of State. Call (800) 697-1220 or visit dos.ny.gov.,2023-09-27T12:10:34.000,15 BROOKLYN,3074560006,BROOKLYN,996188,153163,ONLINE,Unspecified,BROOKLYN,40.587065148827286,-73.9570189833512,"{'latitude': '40.587065148827286', 'longitude': '-73.9570189833512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Business,AVENUE Z,WILLIAMS COURT,AVENUE Z,WILLIAMS COURT,HOMECREST AVENUE,,,,,,,,,
58921224,2023-09-25T15:10:00.000,2023-09-25T23:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Enclosure Cap,10025,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T23:45:00.000,07 MANHATTAN,,MANHATTAN,992276,231092,UNKNOWN,Unspecified,MANHATTAN,40.80096647689248,-73.9710107118191,"{'latitude': '40.80096647689248', 'longitude': '-73.9710107118191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,RIVERSIDE DRIVE,WEST 104 STREET,,N/A,,,,,,,,
58924344,2023-09-25T15:10:00.000,2023-09-26T12:05:57.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11218,1270 37 STREET,37 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-26T04:10:22.000,12 BROOKLYN,3052957501,BROOKLYN,988162,173249,ONLINE,Unspecified,BROOKLYN,40.64220424094849,-73.98590377996032,"{'latitude': '40.64220424094849', 'longitude': '-73.98590377996032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,12 AVENUE,13 AVENUE,12 AVENUE,13 AVENUE,37 STREET,,,,,,,,,
58920540,2023-09-25T15:09:59.000,2023-09-25T18:54:33.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,10457,2176 TIEBOUT AVENUE,TIEBOUT AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-25T00:00:00.000,05 BRONX,2031430130,BRONX,1012350,250589,PHONE,Unspecified,BRONX,40.85443910241399,-73.8984233658015,"{'latitude': '40.85443910241399', 'longitude': '-73.8984233658015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58920244,2023-09-25T15:09:56.000,2023-09-25T15:43:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11225,961 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T15:43:18.000,09 BROOKLYN,3011920014,BROOKLYN,994938,181922,ONLINE,Unspecified,BROOKLYN,40.66600414447176,-73.96147388523079,"{'latitude': '40.66600414447176', 'longitude': '-73.96147388523079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,MONTGOMERY STREET,FRANKLIN AVENUE SHUTTLE LINE,MONTGOMERY STREET,FRANKLIN AVENUE SHUTTLE LINE,WASHINGTON AVENUE,,,,,,,,,
58921446,2023-09-25T15:09:28.000,2023-09-25T16:22:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10457,265 EAST  182 STREET,EAST  182 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T16:22:37.000,05 BRONX,2031500045,BRONX,1012093,251000,ONLINE,Unspecified,BRONX,40.85556798829767,-73.89935066841451,"{'latitude': '40.85556798829767', 'longitude': '-73.89935066841451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,RYER AVENUE,VALENTINE AVENUE,RYER AVENUE,VALENTINE AVENUE,EAST  182 STREET,,,,,,,,,
58919931,2023-09-25T15:09:08.000,2023-10-12T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,10314,394 TRAVIS AVENUE,TRAVIS AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-12T00:00:00.000,02 STATEN ISLAND,5023690090,STATEN ISLAND,941142,153912,UNKNOWN,Unspecified,STATEN ISLAND,40.58902421849068,-74.155208654385,"{'latitude': '40.58902421849068', 'longitude': '-74.155208654385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,,,,,,,,
58916878,2023-09-25T15:09:00.000,2023-09-26T10:03:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,10463,EWEN PARK,EWEN PARK,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T10:03:00.000,08 BRONX,,BRONX,1009025,261171,UNKNOWN,Unspecified,BRONX,40.88349340500647,-73.9104035309877,"{'latitude': '40.88349340500647', 'longitude': '-73.9104035309877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,WEST 232 STREET,JOHNSON AVENUE,,,,,,,,,,
58920760,2023-09-25T15:08:59.000,2023-09-26T04:19:40.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11417,97-09 135 ROAD,135 ROAD,ADDRESS,OZONE PARK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T04:19:51.000,10 QUEENS,4115170170,QUEENS,1029108,184715,PHONE,Unspecified,QUEENS,40.673563105244675,-73.83828581097366,"{'latitude': '40.673563105244675', 'longitude': '-73.83828581097366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,97 STREET,HAWTREE STREET,97 STREET,HAWTREE STREET,135 ROAD,,,,,,,,,
58924114,2023-09-25T15:08:49.000,2023-09-27T15:35:18.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11230,783 RUGBY ROAD,RUGBY ROAD,ADDRESS,BROOKLYN,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-27T15:35:22.000,14 BROOKLYN,3066910005,BROOKLYN,994442,168891,PHONE,Unspecified,BROOKLYN,40.63023745959616,-73.96328146293057,"{'latitude': '40.63023745959616', 'longitude': '-73.96328146293057', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WELLINGTON COURT,AVENUE H,WELLINGTON COURT,AVENUE H,RUGBY ROAD,,,,,,,,,
58925434,2023-09-25T15:08:37.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,10453,135 HALL OF FAME TERRACE,HALL OF FAME TERRACE,ADDRESS,BRONX,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-25T17:08:44.000,07 BRONX,2032240001,BRONX,1009008,252093,MOBILE,Unspecified,BRONX,40.85857713469325,-73.91049855324307,"{'latitude': '40.85857713469325', 'longitude': '-73.91049855324307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ANDREWS AVENUE NORTH,LORING PLACE NORTH,ANDREWS AVENUE NORTH,LORING PLACE NORTH,HALL OF FAME TERRACE,,,,,,,,,
58918974,2023-09-25T15:08:26.000,2023-09-25T16:33:08.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,10451,820 CONCOURSE VILLAGE EAST,CONCOURSE VILLAGE EAST,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T16:33:12.000,04 BRONX,2024200040,BRONX,1006640,239634,PHONE,Unspecified,BRONX,40.82438715399592,-73.91910058632673,"{'latitude': '40.82438715399592', 'longitude': '-73.91910058632673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST  158 STREET,EAST  161 STREET,EAST  158 STREET,EAST  161 STREET,CONCOURSE VILLAGE EAST,,,,,,,,,
58921992,2023-09-25T15:08:10.000,2023-10-04T11:48:28.000,DOT,Department of Transportation,DEP Street Condition,Cave-in,11377,59-15 47 AVENUE,47 AVENUE,ADDRESS,WOODSIDE,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-10-04T11:48:37.000,02 QUEENS,4023140001,QUEENS,1010342,208994,UNKNOWN,Unspecified,QUEENS,40.74027838491047,-73.90584354969721,"{'latitude': '40.74027838491047', 'longitude': '-73.90584354969721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,59 STREET,59 PLACE,59 STREET,59 PLACE,47 AVENUE,,,,,,,,,
58918011,2023-09-25T15:08:00.000,2023-09-26T06:00:00.000,DOT,Department of Transportation,Street Light Condition,Flood Light Lamp Out,10002,JOHN V LINDSAY EAST RIVER PARK,JOHN V LINDSAY EAST RIVER PARK,PLACENAME,NEW YORK,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T06:00:00.000,03 MANHATTAN,1003160200,MANHATTAN,990855,199338,UNKNOWN,Unspecified,MANHATTAN,40.713811040292896,-73.97617444840935,"{'latitude': '40.713811040292896', 'longitude': '-73.97617444840935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,12 ST E,FDR DR,,,,,,,,,,,,
58919919,2023-09-25T15:08:00.000,2023-10-06T14:30:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),10462,1275 PUGSLEY AVENUE,PUGSLEY AVENUE,ADDRESS,BRONX,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-06T14:30:00.000,09 BRONX,2037960033,BRONX,1023644,242841,PHONE,Unspecified,BRONX,40.83312997082272,-73.85764308915637,"{'latitude': '40.83312997082272', 'longitude': '-73.85764308915637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,CROSS BRONX EXPRESSWAY SR N,WESTCHESTER AVE,,,,,,,,,,,,
58918830,2023-09-25T15:08:00.000,2023-09-26T08:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),10454,757 EAST  133 STREET,EAST  133 STREET,ADDRESS,BRONX,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T08:30:00.000,01 BRONX,2025620062,BRONX,1007965,231216,PHONE,Unspecified,BRONX,40.80127864333759,-73.91434284945882,"{'latitude': '40.80127864333759', 'longitude': '-73.91434284945882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,CYPRESS AVE,WILLOW AVE,,,,N/A,,,,,,,,
58921505,2023-09-25T15:08:00.000,2023-09-25T15:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,LED Lense,10027,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T15:45:00.000,10 MANHATTAN,,MANHATTAN,998291,233536,UNKNOWN,Unspecified,MANHATTAN,40.807667072840424,-73.94927989187288,"{'latitude': '40.807667072840424', 'longitude': '-73.94927989187288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,7 AVENUE,WEST 123 STREET,,N/A,,,,,,,,
58921771,2023-09-25T15:07:54.000,2023-10-16T07:59:46.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11226,181 LENOX ROAD,LENOX ROAD,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-16T00:00:00.000,17 BROOKLYN,3050650075,BROOKLYN,997081,177524,PHONE,Unspecified,BROOKLYN,40.65392975846175,-73.95375756749715,"{'latitude': '40.65392975846175', 'longitude': '-73.95375756749715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58919752,2023-09-25T15:07:49.000,2023-10-25T13:18:29.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,10472,2250 BLACKROCK AVENUE,BLACKROCK AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation removed the items.,2023-10-07T14:26:59.000,09 BRONX,2038160032,BRONX,1025951,241410,ONLINE,Unspecified,BRONX,40.82919170065688,-73.84931526418148,"{'latitude': '40.82919170065688', 'longitude': '-73.84931526418148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,CASTLE HILL AVENUE,EAST  177 STREET,CASTLE HILL AVENUE,EAST  177 STREET,BLACKROCK AVENUE,,,,,,,,,
