unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction
58833740,2023-09-16T18:12:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10455,440 EAST  146 STREET,EAST  146 STREET,WILLIS AVENUE,BROOK AVENUE,WILLIS AVENUE,BROOK AVENUE,ADDRESS,BRONX,EAST  146 STREET,Closed,01 BRONX,2022900021,BRONX,1007006,235682,MOBILE,Unspecified,BRONX,40.813539095794255,-73.91779155899783,"{'latitude': '40.813539095794255', 'longitude': '-73.91779155899783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:18:45.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:18:48.000,,,,,,,
58827302,2023-09-16T18:11:58.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10002,334 BROOME STREET,BROOME STREET,CHRYSTIE STREET,BOWERY,CHRYSTIE STREET,BOWERY,ADDRESS,NEW YORK,BROOME STREET,In Progress,03 MANHATTAN,1004240040,MANHATTAN,985920,201325,MOBILE,Unspecified,MANHATTAN,40.71926718703349,-73.99397548402929,"{'latitude': '40.71926718703349', 'longitude': '-73.99397548402929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58830416,2023-09-16T18:11:37.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10456,1420 CLAY AVENUE,CLAY AVENUE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,CLAY AVENUE,Closed,04 BRONX,2028870088,BRONX,1009792,244407,MOBILE,Unspecified,BRONX,40.83747910996361,-73.90769363386275,"{'latitude': '40.83747910996361', 'longitude': '-73.90769363386275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:13:06.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:13:10.000,,,,,,,
58836723,2023-09-16T18:11:30.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10011,402 6 AVENUE,6 AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,GREENWICH AVENUE,CHRISTOPHER STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,02 MANHATTAN,1005720001,MANHATTAN,984399,206593,MOBILE,Unspecified,MANHATTAN,40.73372672168842,-73.99946236666484,"{'latitude': '40.73372672168842', 'longitude': '-73.99946236666484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T06:13:23.000,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T06:13:30.000,,,,,,,
58831860,2023-09-16T18:11:16.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11222,FRANKLIN STREET,FRANKLIN STREET,FRANKLIN STREET,MILTON STREET,FRANKLIN STREET,MILTON STREET,INTERSECTION,,,Closed,01 BROOKLYN,,BROOKLYN,996035,204936,ONLINE,Unspecified,BROOKLYN,40.72917081339464,-73.9574793562075,"{'latitude': '40.72917081339464', 'longitude': '-73.9574793562075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:29:13.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:29:17.000,,,,,,,
58834023,2023-09-16T18:11:12.000,TLC,Taxi and Limousine Commission,Lost Property,Other,Taxi,10001,312 11 AVENUE,11 AVENUE,WEST   29 STREET,WEST   30 STREET,WEST   29 STREET,WEST   30 STREET,ADDRESS,NEW YORK,11 AVENUE,Closed,04 MANHATTAN,1007010062,MANHATTAN,983150,213630,ONLINE,Unspecified,MANHATTAN,40.75304146205967,-74.00397025599806,"{'latitude': '40.75304146205967', 'longitude': '-74.00397025599806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T11:56:07.000,See notes for information.,2023-09-20T11:56:09.000,,,"312 11 AVENUE, MANHATTAN (NEW YORK), NY, 10001",,,,
58832339,2023-09-16T18:11:08.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,407 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,LINCOLN PLACE,Closed,08 BROOKLYN,3011760098,BROOKLYN,994507,184409,ONLINE,Unspecified,BROOKLYN,40.67283091333569,-73.96302368954532,"{'latitude': '40.67283091333569', 'longitude': '-73.96302368954532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:27:16.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:27:19.000,,,,,,,
58829104,2023-09-16T18:10:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11694,125 BEACH  126 STREET,BEACH  126 STREET,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH  126 STREET,Closed,14 QUEENS,,QUEENS,1027392,149002,MOBILE,Unspecified,QUEENS,40.57554709642877,-73.84470027168604,"{'latitude': '40.57554709642877', 'longitude': '-73.84470027168604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:46:26.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:46:30.000,,,,,,,
58832030,2023-09-16T18:10:42.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10307,7445 HYLAN BOULEVARD,HYLAN BOULEVARD,CANTER AVENUE,WARDS POINT AVENUE,CANTER AVENUE,WARDS POINT AVENUE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,Closed,03 STATEN ISLAND,,STATEN ISLAND,913922,122455,ONLINE,Conference House Park,STATEN ISLAND,40.502506899724395,-74.25288578125054,"{'latitude': '40.502506899724395', 'longitude': '-74.25288578125054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T21:00:47.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T21:00:52.000,,,,,,,
58834649,2023-09-16T18:10:37.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10031,396 WEST  145 STREET,WEST  145 STREET,ST NICHOLAS AVENUE,CONVENT AVENUE,ST NICHOLAS AVENUE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  145 STREET,Closed,09 MANHATTAN,1020500131,MANHATTAN,999382,239583,MOBILE,Unspecified,MANHATTAN,40.824262589486636,-73.9453252549545,"{'latitude': '40.824262589486636', 'longitude': '-73.9453252549545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:34:10.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:34:15.000,,,,,,,
58826811,2023-09-16T18:10:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10019,350 WEST   50 STREET,WEST   50 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   50 STREET,Closed,04 MANHATTAN,1010407501,MANHATTAN,987632,217254,ONLINE,Unspecified,MANHATTAN,40.762987837651075,-73.98779144453326,"{'latitude': '40.762987837651075', 'longitude': '-73.98779144453326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:34:04.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:34:07.000,,,,,,,
58826557,2023-09-16T18:10:17.000,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10024,250 WEST   88 STREET,WEST   88 STREET,,,,,ADDRESS,NEW YORK,,Closed,07 MANHATTAN,1012357501,MANHATTAN,990984,226973,UNKNOWN,Unspecified,MANHATTAN,40.789662017799635,-73.97568144539748,"{'latitude': '40.789662017799635', 'longitude': '-73.97568144539748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-18T00:00:00.000,N/A,,,,,,
58830748,2023-09-16T18:10:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,104-33 125 STREET,125 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,125 STREET,Closed,10 QUEENS,4095790078,QUEENS,1034409,189890,MOBILE,Unspecified,QUEENS,40.68773882705397,-73.81913710834745,"{'latitude': '40.68773882705397', 'longitude': '-73.81913710834745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:33:03.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:33:06.000,,,,,,,
58831347,2023-09-16T18:10:04.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,11208,CHESTNUT STREET,CHESTNUT STREET,CHESTNUT STREET,JAMAICA AVENUE,CHESTNUT STREET,JAMAICA AVENUE,INTERSECTION,,,In Progress,05 BROOKLYN,,BROOKLYN,1018450,189989,PHONE,Unspecified,BROOKLYN,40.68808661328516,-73.87668133724688,"{'latitude': '40.68808661328516', 'longitude': '-73.87668133724688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-18T10:06:23.000,,,,,,,
58827339,2023-09-16T18:10:00.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Pet/Animal,Restaurant/Bar/Deli/Bakery,10028,1542 3 AVENUE,3 AVENUE,EAST   86 STREET,EAST   87 STREET,EAST   86 STREET,EAST   87 STREET,ADDRESS,NEW YORK,3 AVENUE,In Progress,08 MANHATTAN,1015157503,MANHATTAN,997093,223210,PHONE,Unspecified,MANHATTAN,40.77932682028119,-73.95362715607203,"{'latitude': '40.77932682028119', 'longitude': '-73.95362715607203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T12:18:07.000,,,,,,,
58835454,2023-09-16T18:09:41.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11220,5020 FOURTH AVENUE,FOURTH AVENUE,50 STREET,51 STREET,50 STREET,51 STREET,ADDRESS,BROOKLYN,4 AVENUE,Closed,07 BROOKLYN,3007900042,BROOKLYN,980710,174745,MOBILE,Unspecified,BROOKLYN,40.646310595256786,-74.01275656697433,"{'latitude': '40.646310595256786', 'longitude': '-74.01275656697433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T10:23:42.000,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-19T10:23:42.000,,,,,,,
58832452,2023-09-16T18:09:32.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10468,2644 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST  192 STREET,WEST KINGSBRIDGE ROAD,WEST  192 STREET,WEST KINGSBRIDGE ROAD,ADDRESS,BRONX,DAVIDSON AVENUE,Closed,07 BRONX,,BRONX,1012237,255276,PHONE,Unspecified,BRONX,40.86730385641296,-73.8988122695674,"{'latitude': '40.86730385641296', 'longitude': '-73.8988122695674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:59:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:59:05.000,,,,,,,
58836300,2023-09-16T18:09:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  116 STREET,FREDERICK DOUGLASS BOULEVARD,WEST  116 STREET,INTERSECTION,,,Closed,10 MANHATTAN,,MANHATTAN,996606,232352,ONLINE,Unspecified,MANHATTAN,40.80441983687725,-73.95536877183133,"{'latitude': '40.80441983687725', 'longitude': '-73.95536877183133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:30:43.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:30:47.000,,,,,,,
58835671,2023-09-16T18:09:05.000,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,10035,2 AVENUE,2 AVENUE,2 AVENUE,EAST  125 STREET,2 AVENUE,EAST  125 STREET,INTERSECTION,,,Closed,11 MANHATTAN,,MANHATTAN,1002640,231748,PHONE,Unspecified,MANHATTAN,40.80275152457796,-73.93357496293186,"{'latitude': '40.80275152457796', 'longitude': '-73.93357496293186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:19:08.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:19:12.000,,,,,,,
58826881,2023-09-16T18:08:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,719 EAST  215 STREET,EAST  215 STREET,WHITE PLAINS ROAD,HOLLAND AVENUE,WHITE PLAINS ROAD,HOLLAND AVENUE,ADDRESS,BRONX,EAST  215 STREET,Closed,12 BRONX,2046630088,BRONX,1021968,260038,ONLINE,Unspecified,BRONX,40.88033785031489,-73.86360282541177,"{'latitude': '40.88033785031489', 'longitude': '-73.86360282541177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:53:23.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:53:26.000,,,,,,,
58829699,2023-09-16T18:08:42.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11435,88-09 148 STREET,148 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,ADDRESS,JAMAICA,148 STREET,Closed,12 QUEENS,4096930011,QUEENS,1037497,196172,ONLINE,Unspecified,QUEENS,40.70496337683895,-73.80795279809149,"{'latitude': '40.70496337683895', 'longitude': '-73.80795279809149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:50:20.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:50:25.000,,,,,,,
58826982,2023-09-16T18:08:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,540 WEST  146 STREET,WEST  146 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  146 STREET,Closed,09 MANHATTAN,1020770050,MANHATTAN,998554,240362,ONLINE,Unspecified,MANHATTAN,40.82640210227574,-73.94831531230986,"{'latitude': '40.82640210227574', 'longitude': '-73.94831531230986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:33:34.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:33:37.000,,,,,,,
58829780,2023-09-16T18:08:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10036,546 WEST   44 STREET,WEST   44 STREET,,,,,ADDRESS,NEW YORK,,Open,04 MANHATTAN,1010720050,MANHATTAN,985303,216755,ONLINE,Unspecified,MANHATTAN,40.76161879517386,-73.99619889277692,"{'latitude': '40.76161879517386', 'longitude': '-73.99619889277692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-16T00:00:00.000,,,,,,,
58826708,2023-09-16T18:08:23.000,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,11372,34 AVENUE,34 AVENUE,34 AVENUE,90 STREET,34 AVENUE,90 STREET,INTERSECTION,,,Closed,03 QUEENS,,QUEENS,1018162,214190,ONLINE,Unspecified,QUEENS,40.75451355677196,-73.87759787217223,"{'latitude': '40.75451355677196', 'longitude': '-73.87759787217223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:16:49.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:16:52.000,,,,,,,
58831259,2023-09-16T18:08:12.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10016,216 EAST   32 STREET,EAST   32 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   32 STREET,In Progress,06 MANHATTAN,1009120056,MANHATTAN,990242,210390,ONLINE,Unspecified,MANHATTAN,40.74414651622767,-73.97837582002873,"{'latitude': '40.74414651622767', 'longitude': '-73.97837582002873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58836507,2023-09-16T18:08:01.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10314,326 WOODBINE AVENUE,WOODBINE AVENUE,AUBURN AVENUE,WYONA AVENUE,AUBURN AVENUE,WYONA AVENUE,ADDRESS,STATEN ISLAND,WOODBINE AVENUE,In Progress,01 STATEN ISLAND,5015240070,STATEN ISLAND,942676,161868,ONLINE,Unspecified,STATEN ISLAND,40.61086912214498,-74.14973452361905,"{'latitude': '40.61086912214498', 'longitude': '-74.14973452361905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-10-19T14:24:03.000,,,,,,,
58828953,2023-09-16T18:08:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11220,424 44 STREET,44 STREET,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,Closed,07 BROOKLYN,3007380014,BROOKLYN,981959,175837,ONLINE,Unspecified,BROOKLYN,40.64930831007543,-74.0082561039512,"{'latitude': '40.64930831007543', 'longitude': '-74.0082561039512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T09:15:00.000,"The Department of Environmental Protection (DEP) closed your Service Request because it didn't include enough dog owner location information to respond to the complaint.  If the excessive dog barking continues, please file a new Service Request. You must include an NYC address for the dog's owner so DEP can send them a letter.",2023-10-05T09:15:00.000,N/A,,,,,,
58835749,2023-09-16T18:06:57.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11357,CLINTONVILLE STREET,CLINTONVILLE STREET,CLINTONVILLE STREET,WILLETS POINT BOULEVARD,CLINTONVILLE STREET,WILLETS POINT BOULEVARD,INTERSECTION,,,Closed,07 QUEENS,,QUEENS,1038225,223162,PHONE,Unspecified,QUEENS,40.779039601997205,-73.80511053470724,"{'latitude': '40.779039601997205', 'longitude': '-73.80511053470724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:33:00.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:33:05.000,,,,,,,
58834906,2023-09-16T18:06:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11372,82-05 ROOSEVELT AVENUE,ROOSEVELT AVENUE,82 STREET,83 STREET,82 STREET,83 STREET,ADDRESS,JACKSON HEIGHTS,ROOSEVELT AVENUE,Closed,03 QUEENS,4014700045,QUEENS,1016455,211690,ONLINE,Unspecified,QUEENS,40.74765807679492,-73.88377109124495,"{'latitude': '40.74765807679492', 'longitude': '-73.88377109124495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:30:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:31:02.000,,,,,,,
58827617,2023-09-16T18:05:50.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11208,CHESTNUT STREET,CHESTNUT STREET,CHESTNUT STREET,JAMAICA AVENUE,CHESTNUT STREET,JAMAICA AVENUE,INTERSECTION,,,Closed,05 BROOKLYN,,BROOKLYN,1018450,189989,PHONE,Unspecified,BROOKLYN,40.68808661328516,-73.87668133724688,"{'latitude': '40.68808661328516', 'longitude': '-73.87668133724688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T20:03:46.000,N/A,2023-09-16T20:03:51.000,,,,,,,
58835003,2023-09-16T18:05:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10030,300 WEST  142 STREET,WEST  142 STREET,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,ADDRESS,NEW YORK,WEST  142 STREET,Closed,10 MANHATTAN,1020430018,MANHATTAN,999882,238392,MOBILE,Unspecified,MANHATTAN,40.82099276164245,-73.94352143653646,"{'latitude': '40.82099276164245', 'longitude': '-73.94352143653646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:10:47.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:10:51.000,,,,,,,
58836233,2023-09-16T18:05:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,987 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,WILLOUGHBY AVENUE,Closed,04 BROOKLYN,3031840062,BROOKLYN,1003840,193816,MOBILE,Unspecified,BROOKLYN,40.698635235060614,-73.9293510437017,"{'latitude': '40.698635235060614', 'longitude': '-73.9293510437017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:27:20.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:27:24.000,,,,,,,
58834419,2023-09-16T18:05:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:22:26.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:22:29.000,,,,,,,
58833706,2023-09-16T18:05:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,585 WEST  214 STREET,WEST  214 STREET,SEAMAN AVENUE,INDIAN ROAD,SEAMAN AVENUE,INDIAN ROAD,ADDRESS,NEW YORK,WEST  214 STREET,Closed,12 MANHATTAN,1022500014,MANHATTAN,1006520,256822,MOBILE,Unspecified,MANHATTAN,40.87156342719683,-73.91947708125568,"{'latitude': '40.87156342719683', 'longitude': '-73.91947708125568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:44:03.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:44:07.000,,,,,,,
58834511,2023-09-16T18:05:23.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10001,440 WEST   34 STREET,WEST   34 STREET,DYER AVENUE,DYER AVENUE UNDERPASS   31 ST,DYER AVENUE,DYER AVENUE UNDERPASS   31 ST,ADDRESS,NEW YORK,WEST   34 STREET,Closed,04 MANHATTAN,1007310065,MANHATTAN,984850,213986,MOBILE,Unspecified,MANHATTAN,40.75401863980135,-73.99783437405175,"{'latitude': '40.75401863980135', 'longitude': '-73.99783437405175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:25:01.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:25:04.000,,,,,,,
58827580,2023-09-16T18:05:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10009,153 EAST    2 STREET,EAST    2 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,ADDRESS,NEW YORK,EAST    2 STREET,Closed,03 MANHATTAN,1003970007,MANHATTAN,988327,202613,MOBILE,Unspecified,MANHATTAN,40.7228016544166,-73.98529146446798,"{'latitude': '40.7228016544166', 'longitude': '-73.98529146446798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:34:55.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:35:00.000,,,,,,,
58832283,2023-09-16T18:05:08.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10455,460 EAST  146 STREET,EAST  146 STREET,WILLIS AVENUE,BROOK AVENUE,WILLIS AVENUE,BROOK AVENUE,ADDRESS,BRONX,EAST  146 STREET,Closed,01 BRONX,2022900130,BRONX,1007162,235606,MOBILE,Unspecified,BRONX,40.81333009387663,-73.91722825237431,"{'latitude': '40.81333009387663', 'longitude': '-73.91722825237431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:19:16.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:19:21.000,,,,,,,
58833629,2023-09-16T18:05:00.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10305,58 FOCH AVENUE,FOCH AVENUE,PIAVE AVENUE,LINWOOD AVENUE,PIAVE AVENUE,LINWOOD AVENUE,ADDRESS,STATEN ISLAND,FOCH AVENUE,Closed,02 STATEN ISLAND,5032800042,STATEN ISLAND,964453,155830,MOBILE,Unspecified,STATEN ISLAND,40.594371459275045,-74.0712839964665,"{'latitude': '40.594371459275045', 'longitude': '-74.0712839964665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:36:11.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:36:15.000,,,,,,,
