unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction
58916008,2023-09-24T20:30:13.000,2023-09-24T21:58:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11435,142-02 HOOVER AVENUE,HOOVER AVENUE,LANDER STREET,DANIELS STREET,LANDER STREET,DANIELS STREET,ADDRESS,JAMAICA,HOOVER AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-24T21:58:46.000,08 QUEENS,,QUEENS,1035221,199540,ONLINE,Unspecified,QUEENS,40.71422112126489,-73.81613617888345,"{'latitude': '40.71422112126489', 'longitude': '-73.81613617888345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58916143,2023-09-24T20:30:13.000,2023-09-24T21:11:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:11:22.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915148,2023-09-24T20:30:04.000,2023-09-24T20:42:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11368,99-10 60 AVENUE,60 AVENUE,99 STREET,CALLOWAY STREET,99 STREET,CALLOWAY STREET,ADDRESS,CORONA,60 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:43:05.000,04 QUEENS,4019480001,QUEENS,1023505,207663,ONLINE,Unspecified,QUEENS,40.73657649436619,-73.85835095024636,"{'latitude': '40.73657649436619', 'longitude': '-73.85835095024636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910188,2023-09-24T20:30:00.000,,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,10461,BRUCKNER EXPY,BRUCKNER EXPY,,,WILKINSON AVENUE,BRUCKNER EXPRESSWAY,INTERSECTION,BRONX,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-17T09:42:00.000,10 BRONX,,BRONX,1032144,249611,UNKNOWN,Unspecified,BRONX,40.85166960113748,-73.8268786180811,"{'latitude': '40.85166960113748', 'longitude': '-73.8268786180811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58916776,2023-09-24T20:29:50.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,,10021,1201 3 AVENUE,3 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,08 MANHATTAN,1014240001,MANHATTAN,994852,219147,UNKNOWN,Unspecified,MANHATTAN,40.76817792264677,-73.96172525260374,"{'latitude': '40.76817792264677', 'longitude': '-73.96172525260374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911013,2023-09-24T20:29:19.000,2023-09-24T20:43:23.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10469,1011 ALLERTON AVENUE,ALLERTON AVENUE,PAULDING AVENUE,HONE AVENUE,PAULDING AVENUE,HONE AVENUE,ADDRESS,BRONX,ALLERTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T20:43:27.000,11 BRONX,2045180003,BRONX,1023417,254633,MOBILE,Unspecified,BRONX,40.865496492647424,-73.85839450568359,"{'latitude': '40.865496492647424', 'longitude': '-73.85839450568359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912194,2023-09-24T20:28:47.000,2023-10-19T10:05:07.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11211,268 UNION AVENUE,UNION AVENUE,SCHOLES STREET,STAGG STREET,SCHOLES STREET,STAGG STREET,ADDRESS,BROOKLYN,UNION AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-24T20:28:47.000,01 BROOKLYN,3030310004,BROOKLYN,997919,197394,MOBILE,Unspecified,BROOKLYN,40.7084671294694,-73.9506971431431,"{'latitude': '40.7084671294694', 'longitude': '-73.9506971431431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912527,2023-09-24T20:28:19.000,2023-09-24T21:14:34.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11372,72-15 37 AVENUE,37 AVENUE,72 STREET,73 STREET,72 STREET,73 STREET,ADDRESS,JACKSON HEIGHTS,37 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:14:38.000,03 QUEENS,4012720040,QUEENS,1013791,212103,MOBILE,Unspecified,QUEENS,40.74880095774174,-73.89338373116325,"{'latitude': '40.74880095774174', 'longitude': '-73.89338373116325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911067,2023-09-24T20:28:18.000,2023-09-24T22:03:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,133-19 129 STREET,129 STREET,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T22:03:09.000,10 QUEENS,4117880025,QUEENS,1036866,183516,ONLINE,Unspecified,QUEENS,40.67022941633225,-73.8103274711222,"{'latitude': '40.67022941633225', 'longitude': '-73.8103274711222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911884,2023-09-24T20:28:16.000,2023-09-24T21:10:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,1245 ADEE AVENUE,ADEE AVENUE,PEARSALL AVENUE,THROOP AVENUE,PEARSALL AVENUE,THROOP AVENUE,ADDRESS,BRONX,ADEE AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T21:10:27.000,11 BRONX,2045810001,BRONX,1025424,256066,ONLINE,Unspecified,BRONX,40.869420502759425,-73.85112954910872,"{'latitude': '40.869420502759425', 'longitude': '-73.85112954910872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910507,2023-09-24T20:28:10.000,2023-09-24T21:05:56.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10002,249 GRAND STREET,GRAND STREET,BOWERY,CHRYSTIE STREET,BOWERY,CHRYSTIE STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T21:06:00.000,03 MANHATTAN,1003040021,MANHATTAN,985871,200950,PHONE,Unspecified,MANHATTAN,40.718237911307924,-73.9941523415723,"{'latitude': '40.718237911307924', 'longitude': '-73.9941523415723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914978,2023-09-24T20:27:50.000,2023-09-25T01:38:10.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11420,114-41 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,ADDRESS,SOUTH OZONE PARK,LEFFERTS BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T01:38:13.000,10 QUEENS,4116460041,QUEENS,1034145,186338,PHONE,Unspecified,QUEENS,40.67799090882096,-73.82011533586724,"{'latitude': '40.67799090882096', 'longitude': '-73.82011533586724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910711,2023-09-24T20:27:29.000,2023-09-24T22:16:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11366,73-47 180 STREET,180 STREET,73 AVENUE,75 AVENUE,73 AVENUE,75 AVENUE,ADDRESS,FRESH MEADOWS,180 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T22:16:36.000,08 QUEENS,4071680001,QUEENS,1042496,205545,MOBILE,Unspecified,QUEENS,40.73065844343624,-73.78984174908386,"{'latitude': '40.73065844343624', 'longitude': '-73.78984174908386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911589,2023-09-24T20:27:22.000,2023-09-24T21:08:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,639 54 STREET,54 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,54 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T21:08:07.000,07 BROOKLYN,3008170059,BROOKLYN,981611,172803,MOBILE,Unspecified,BROOKLYN,40.64098053742491,-74.00950900879128,"{'latitude': '40.64098053742491', 'longitude': '-74.00950900879128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913029,2023-09-24T20:27:17.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11209,80 86 STREET,86 STREET,NARROWS AVENUE,COLONIAL ROAD,NARROWS AVENUE,COLONIAL ROAD,ADDRESS,BROOKLYN,86 STREET,In Progress,,,10 BROOKLYN,3060410027,BROOKLYN,973863,166969,ONLINE,Unspecified,BROOKLYN,40.62496174789028,-74.0374181022026,"{'latitude': '40.62496174789028', 'longitude': '-74.0374181022026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914134,2023-09-24T20:26:38.000,2023-09-24T21:26:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1329 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,EAST  172 STREET,EAST  174 STREET,EAST  172 STREET,EAST  174 STREET,ADDRESS,BRONX,COMMONWEALTH AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T21:26:55.000,09 BRONX,2038740063,BRONX,1020596,242945,ONLINE,Unspecified,BRONX,40.83342849023004,-73.86865697421297,"{'latitude': '40.83342849023004', 'longitude': '-73.86865697421297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913651,2023-09-24T20:26:07.000,2023-09-24T20:56:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11212,EAST   96 STREET,EAST   96 STREET,EAST   96 STREET,RUTLAND ROAD,EAST   96 STREET,RUTLAND ROAD,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:57:10.000,17 BROOKLYN,,BROOKLYN,1005182,181148,ONLINE,Unspecified,BROOKLYN,40.66386139429451,-73.92455063594716,"{'latitude': '40.66386139429451', 'longitude': '-73.92455063594716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915046,2023-09-24T20:25:48.000,2023-09-24T21:45:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11372,37-59 93 STREET,93 STREET,ELMHURST AVENUE,ROOSEVELT AVENUE,ELMHURST AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,93 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T21:45:49.000,03 QUEENS,4014810053,QUEENS,1019206,212379,MOBILE,Unspecified,QUEENS,40.74953875962951,-73.87383907323694,"{'latitude': '40.74953875962951', 'longitude': '-73.87383907323694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913381,2023-09-24T20:25:40.000,2023-09-24T23:16:28.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11361,42-40 212 STREET,212 STREET,42 AVENUE,43 AVENUE,42 AVENUE,43 AVENUE,ADDRESS,BAYSIDE,212 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T23:16:31.000,11 QUEENS,4062770050,QUEENS,1047397,216892,PHONE,Unspecified,QUEENS,40.7617693753765,-73.772051917104,"{'latitude': '40.7617693753765', 'longitude': '-73.772051917104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911093,2023-09-24T20:25:20.000,2023-09-24T20:36:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,560 WEST  174 STREET,WEST  174 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  174 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T20:37:02.000,12 MANHATTAN,1021300009,MANHATTAN,1001915,246923,ONLINE,Unspecified,MANHATTAN,40.844404063867,-73.93615372540951,"{'latitude': '40.844404063867', 'longitude': '-73.93615372540951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910420,2023-09-24T20:25:20.000,2023-09-25T07:38:30.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,530 EAST  169 STREET,EAST  169 STREET,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,03 BRONX,2026100012,BRONX,1010629,242635,MOBILE,Unspecified,BRONX,40.83261302416413,-73.90467576630016,"{'latitude': '40.83261302416413', 'longitude': '-73.90467576630016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915734,2023-09-24T20:24:00.000,2023-09-26T05:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Visor,,10460,,,,,MAPES AVENUE,EAST TREMONT AVENUE,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T05:50:00.000,06 BRONX,,BRONX,1015261,246727,UNKNOWN,Unspecified,BRONX,40.843829317377164,-73.88791847835677,"{'latitude': '40.843829317377164', 'longitude': '-73.88791847835677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58911789,2023-09-24T20:24:00.000,2023-09-24T23:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10013,,,,,VARICK STREET,ERICSSON PLACE,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T23:00:00.000,01 MANHATTAN,,MANHATTAN,982394,201751,UNKNOWN,Unspecified,MANHATTAN,40.72043641737131,-74.00669562742966,"{'latitude': '40.72043641737131', 'longitude': '-74.00669562742966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58915009,2023-09-24T20:23:57.000,2023-09-24T21:02:16.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11226,221 LINDEN BOULEVARD,LINDEN BOULEVARD,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T21:02:20.000,17 BROOKLYN,3050850075,BROOKLYN,997893,177038,ONLINE,Unspecified,BROOKLYN,40.65259458089108,-73.95083213431944,"{'latitude': '40.65259458089108', 'longitude': '-73.95083213431944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910925,2023-09-24T20:23:55.000,2023-09-24T21:48:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,94-25 114 STREET,114 STREET,ATLANTIC AVENUE,95 AVENUE,ATLANTIC AVENUE,95 AVENUE,ADDRESS,SOUTH RICHMOND HILL,114 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:48:51.000,09 QUEENS,4094000047,QUEENS,1030866,191556,PHONE,Unspecified,QUEENS,40.69233097469563,-73.83190086688295,"{'latitude': '40.69233097469563', 'longitude': '-73.83190086688295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913604,2023-09-24T20:23:54.000,2023-09-24T20:50:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10304,635 BAY STREET,BAY STREET,CANAL STREET,THOMPSON STREET,CANAL STREET,THOMPSON STREET,ADDRESS,STATEN ISLAND,BAY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:50:07.000,01 STATEN ISLAND,5004940009,STATEN ISLAND,963282,167537,ONLINE,Unspecified,STATEN ISLAND,40.626502063478135,-74.07553681982586,"{'latitude': '40.626502063478135', 'longitude': '-74.07553681982586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914045,2023-09-24T20:23:52.000,2023-09-25T15:51:17.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11216,385A PUTNAM AVENUE,PUTNAM AVENUE,MARCY AVENUE,TOMPKINS AVENUE,MARCY AVENUE,TOMPKINS AVENUE,ADDRESS,BROOKLYN,PUTNAM AVENUE,Closed,"The Department of Sanitation will note this location for periodic surveillance, which may take place at various times.",2023-09-25T15:51:22.000,03 BROOKLYN,3018240065,BROOKLYN,999283,188673,MOBILE,Unspecified,BROOKLYN,40.68452780404964,-73.9457967828833,"{'latitude': '40.68452780404964', 'longitude': '-73.9457967828833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58917280,2023-09-24T20:23:49.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10472,2010 POWELL AVENUE,POWELL AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-02T00:00:00.000,09 BRONX,2038010001,BRONX,1024038,241876,UNKNOWN,Unspecified,BRONX,40.830479560431925,-73.85622502935952,"{'latitude': '40.830479560431925', 'longitude': '-73.85622502935952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912682,2023-09-24T20:23:06.000,2023-09-24T21:40:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,55 LENOX ROAD,LENOX ROAD,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,LENOX ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T21:40:59.000,14 BROOKLYN,3050640092,BROOKLYN,995989,177437,ONLINE,Unspecified,BROOKLYN,40.653692477421174,-73.95769324445949,"{'latitude': '40.653692477421174', 'longitude': '-73.95769324445949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915937,2023-09-24T20:23:00.000,2023-09-26T19:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,10456,,,,,FULTON AVENUE,EAST 170 STREET,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T19:00:00.000,03 BRONX,,BRONX,1011408,243368,UNKNOWN,Unspecified,BRONX,40.83462253558307,-73.90185777468797,"{'latitude': '40.83462253558307', 'longitude': '-73.90185777468797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58909964,2023-09-24T20:23:00.000,2023-09-25T11:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10037,,,,,WEST 130 STREET,LENOX AVENUE,INTERSECTION,MANHATTAN,,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-25T11:30:00.000,10 MANHATTAN,,MANHATTAN,999981,234730,ONLINE,Unspecified,MANHATTAN,40.810941423799704,-73.94317233205285,"{'latitude': '40.810941423799704', 'longitude': '-73.94317233205285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911307,2023-09-24T20:22:50.000,2023-09-24T21:10:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11208,1089 BLAKE AVENUE,BLAKE AVENUE,ATKINS AVENUE,MONTAUK AVENUE,ATKINS AVENUE,MONTAUK AVENUE,ADDRESS,BROOKLYN,BLAKE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T21:10:07.000,05 BROOKLYN,3040550065,BROOKLYN,1018145,183528,ONLINE,Unspecified,BROOKLYN,40.67035382253579,-73.87781360386788,"{'latitude': '40.67035382253579', 'longitude': '-73.87781360386788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915222,2023-09-24T20:22:32.000,2023-09-24T20:40:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,400 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  129 STREET,WEST  130 STREET,WEST  129 STREET,WEST  130 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:40:39.000,10 MANHATTAN,1019550026,MANHATTAN,998112,235734,ONLINE,Unspecified,MANHATTAN,40.813700254006314,-73.94992195186114,"{'latitude': '40.813700254006314', 'longitude': '-73.94992195186114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914034,2023-09-24T20:22:01.000,2023-09-26T13:07:38.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,11106,CRESCENT STREET,CRESCENT STREET,CRESCENT STREET,BROADWAY,CRESCENT STREET,BROADWAY,INTERSECTION,,,Closed,The location does not meet the criteria for Litter Basket placement.,2023-09-26T05:39:53.000,01 QUEENS,,QUEENS,1004077,217418,ONLINE,Unspecified,QUEENS,40.763416389754624,-73.92842678507292,"{'latitude': '40.763416389754624', 'longitude': '-73.92842678507292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910238,2023-09-24T20:21:59.000,2023-09-25T00:22:15.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11415,84-70 129 STREET,129 STREET,KEW GARDENS ROAD,METROPOLITAN AVENUE,KEW GARDENS ROAD,METROPOLITAN AVENUE,ADDRESS,KEW GARDENS,129 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T00:22:20.000,09 QUEENS,4092490040,QUEENS,1033141,196138,ONLINE,Unspecified,QUEENS,40.70489519545206,-73.82366388782683,"{'latitude': '40.70489519545206', 'longitude': '-73.82366388782683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913328,2023-09-24T20:21:32.000,2023-09-24T21:27:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11356,7-12 128 STREET,128 STREET,7 AVENUE,9 AVENUE,7 AVENUE,9 AVENUE,ADDRESS,COLLEGE POINT,128 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T21:27:33.000,07 QUEENS,4039750011,QUEENS,1028570,227293,MOBILE,Unspecified,QUEENS,40.790431762883024,-73.83994484894917,"{'latitude': '40.790431762883024', 'longitude': '-73.83994484894917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915087,2023-09-24T20:21:00.000,2023-09-26T04:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,10459,,,,,SOUTHERN BOULEVARD,FREEMAN STREET,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T04:50:00.000,03 BRONX,,BRONX,1014172,241737,UNKNOWN,Unspecified,BRONX,40.830136980901635,-73.89187665421247,"{'latitude': '40.830136980901635', 'longitude': '-73.89187665421247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58914168,2023-09-24T20:20:45.000,2023-09-24T20:23:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T20:23:16.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911415,2023-09-24T20:20:44.000,2023-09-26T14:39:01.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11226,266 EAST   21 STREET,EAST   21 STREET,ALBEMARLE TERRACE,ALBEMARLE ROAD,ALBEMARLE TERRACE,ALBEMARLE ROAD,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,"The Department of Transportation inspected the condition and determined it was in compliance with their standards, not hazardous, or a valid permit exists.",2023-09-26T14:39:03.000,14 BROOKLYN,3051010041,BROOKLYN,995472,175354,PHONE,Unspecified,BROOKLYN,40.64797576607255,-73.9595599514292,"{'latitude': '40.64797576607255', 'longitude': '-73.9595599514292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913602,2023-09-24T20:20:37.000,2023-09-24T20:43:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,105-29 132 STREET,132 STREET,VAN SICLEN STREET,131 STREET,VAN SICLEN STREET,131 STREET,ADDRESS,SOUTH RICHMOND HILL,132 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:43:15.000,10 QUEENS,4095920069,QUEENS,1035997,190062,MOBILE,Unspecified,QUEENS,40.6882017846156,-73.81340980755971,"{'latitude': '40.6882017846156', 'longitude': '-73.81340980755971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
