unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,taxi_pick_up_location,due_date
58803841,2023-09-13T11:54:55.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,10028,3 AVENUE,3 AVENUE,3 AVENUE,EAST   86 STREET,3 AVENUE,EAST   86 STREET,INTERSECTION,,,Closed,08 MANHATTAN,,MANHATTAN,996994,223026,PHONE,Unspecified,MANHATTAN,40.77882193224481,-73.95398496911395,"{'latitude': '40.77882193224481', 'longitude': '-73.95398496911395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T05:29:30.000,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T12:14:39.000,,,
58800873,2023-09-13T11:54:48.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10462,2348 GLEASON AVENUE,GLEASON AVENUE,HAVEMEYER AVENUE,ZEREGA AVENUE,HAVEMEYER AVENUE,ZEREGA AVENUE,ADDRESS,BRONX,GLEASON AVENUE,In Progress,09 BRONX,2038290031,BRONX,1026737,242629,ONLINE,Unspecified,BRONX,40.83253375475858,-73.84646737305428,"{'latitude': '40.83253375475858', 'longitude': '-73.84646737305428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-13T14:22:20.000,,,
58802915,2023-09-13T11:54:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11224,2670 STILLWELL AVENUE,STILLWELL AVENUE,CONEY ISLAND CREEK SHORELINE,NEPTUNE AVENUE,CONEY ISLAND CREEK SHORELINE,NEPTUNE AVENUE,ADDRESS,BROOKLYN,STILLWELL AVENUE,Closed,13 BROOKLYN,3069970057,BROOKLYN,989143,151119,ONLINE,Unspecified,BROOKLYN,40.58146146313705,-73.98238495041203,"{'latitude': '40.58146146313705', 'longitude': '-73.98238495041203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:26:03.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T12:26:06.000,,,
58803537,2023-09-13T11:54:41.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10301,60 SENECA AVENUE,SENECA AVENUE,GENESEE STREET,SCHOHARIE STREET,GENESEE STREET,SCHOHARIE STREET,ADDRESS,STATEN ISLAND,SENECA AVENUE,Closed,01 STATEN ISLAND,5006540035,STATEN ISLAND,955470,163168,PHONE,Unspecified,STATEN ISLAND,40.61448814246355,-74.10366075254028,"{'latitude': '40.61448814246355', 'longitude': '-74.10366075254028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T08:28:39.000,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-13T11:54:41.000,,,
58800929,2023-09-13T11:54:36.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10031,633 WEST  152 STREET,WEST  152 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  152 STREET,Closed,09 MANHATTAN,1020990010,MANHATTAN,998626,242111,PHONE,Unspecified,MANHATTAN,40.83120248941831,-73.94805140673671,"{'latitude': '40.83120248941831', 'longitude': '-73.94805140673671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T10:42:52.000,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-13T11:54:36.000,,,
58805071,2023-09-13T11:54:32.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Street,11436,133-15 150 STREET,150 STREET,133 AVENUE,NORTH CONDUIT AVENUE,133 AVENUE,NORTH CONDUIT AVENUE,ADDRESS,JAMAICA,150 STREET,Closed,12 QUEENS,,QUEENS,1042726,182703,PHONE,Unspecified,QUEENS,40.66796115266606,-73.78921020877787,"{'latitude': '40.66796115266606', 'longitude': '-73.78921020877787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:25:26.000,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T13:24:33.000,,,
58800953,2023-09-13T11:54:31.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,Commercial Building,11207,444 SNEDIKER AVENUE,SNEDIKER AVENUE,DUMONT AVENUE,LIVONIA AVENUE,DUMONT AVENUE,LIVONIA AVENUE,ADDRESS,BROOKLYN,SNEDIKER AVENUE,Closed,05 BROOKLYN,3037990043,BROOKLYN,1012075,181303,PHONE,Unspecified,BROOKLYN,40.664267855517394,-73.89970420664476,"{'latitude': '40.664267855517394', 'longitude': '-73.89970420664476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T11:54:31.000,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-13T11:54:31.000,,,
58802542,2023-09-13T11:53:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11355,142-02 FRANKLIN AVENUE,FRANKLIN AVENUE,UNION STREET,BOWNE STREET,UNION STREET,BOWNE STREET,ADDRESS,FLUSHING,FRANKLIN AVENUE,Closed,07 QUEENS,4051820015,QUEENS,1033211,214906,ONLINE,Unspecified,QUEENS,40.75640826645315,-73.82327485369174,"{'latitude': '40.75640826645315', 'longitude': '-73.82327485369174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:05:40.000,The Police Department issued a summons in response to the complaint.,2023-09-13T12:05:44.000,,,
58803034,2023-09-13T11:53:57.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,88 WOODRUFF AVENUE,WOODRUFF AVENUE,ST PAULS PLACE,OCEAN AVENUE,ST PAULS PLACE,OCEAN AVENUE,ADDRESS,BROOKLYN,WOODRUFF AVENUE,Closed,14 BROOKLYN,,BROOKLYN,994509,177389,PHONE,Unspecified,BROOKLYN,40.65356256618542,-73.96302716109214,"{'latitude': '40.65356256618542', 'longitude': '-73.96302716109214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:22:18.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T12:22:24.000,,,
58809762,2023-09-13T11:53:51.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10468,2390 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,,Closed,05 BRONX,2031730005,BRONX,1011768,252789,PHONE,Unspecified,BRONX,40.86047927286939,-73.90051816162087,"{'latitude': '40.86047927286939', 'longitude': '-73.90051816162087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-13T06:38:31.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-13T00:00:00.000,,,
58810266,2023-09-13T11:53:49.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10028,352 EAST   86 STREET,EAST   86 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   86 STREET,Closed,08 MANHATTAN,1015480029,MANHATTAN,998087,222416,MOBILE,Unspecified,MANHATTAN,40.77714599986966,-73.95003970787054,"{'latitude': '40.77714599986966', 'longitude': '-73.95003970787054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:17:00.000,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T12:17:04.000,,,
58806745,2023-09-13T11:53:40.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11234,1117 EAST   72 STREET,EAST   72 STREET,,,,,ADDRESS,BROOKLYN,,Closed,18 BROOKLYN,3083507501,BROOKLYN,1007550,167750,UNKNOWN,Unspecified,BROOKLYN,40.627080876939,-73.91606146428651,"{'latitude': '40.627080876939', 'longitude': '-73.91606146428651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T00:00:00.000,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-14T00:00:00.000,N/A,,
58809487,2023-09-13T11:53:39.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Adult Establishment,,10036,60 WEST   45 STREET,WEST   45 STREET,,,,,ADDRESS,NEW YORK,,Closed,05 MANHATTAN,1012600065,MANHATTAN,989420,214774,UNKNOWN,Unspecified,MANHATTAN,40.756180008235646,-73.98133891745218,"{'latitude': '40.756180008235646', 'longitude': '-73.98133891745218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-27T00:00:00.000,,,
58806841,2023-09-13T11:53:39.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11201,9 CHAPEL STREET,CHAPEL STREET,,,,,ADDRESS,BROOKLYN,,Closed,02 BROOKLYN,,BROOKLYN,987990,193311,UNKNOWN,Unspecified,BROOKLYN,40.69727002070153,-73.98651242172723,"{'latitude': '40.69727002070153', 'longitude': '-73.98651242172723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:00:00.000,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-16T00:00:00.000,,,
58800316,2023-09-13T11:53:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11433,112-32 180 STREET,180 STREET,112 AVENUE,MURDOCK AVENUE,112 AVENUE,MURDOCK AVENUE,ADDRESS,JAMAICA,180 STREET,Closed,12 QUEENS,4103030041,QUEENS,1047605,193395,PHONE,Unspecified,QUEENS,40.69727458866223,-73.771522314031,"{'latitude': '40.69727458866223', 'longitude': '-73.771522314031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T13:16:39.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T13:16:42.000,,,
58809254,2023-09-13T11:53:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10305,243 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,SUNNYMEADE VILLAGE,SAND LANE,SUNNYMEADE VILLAGE,SAND LANE,ADDRESS,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,Closed,02 STATEN ISLAND,5031220148,STATEN ISLAND,965998,154646,MOBILE,Unspecified,STATEN ISLAND,40.59112493412044,-74.0657176454717,"{'latitude': '40.59112493412044', 'longitude': '-74.0657176454717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:39:01.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T12:39:04.000,,,
58809846,2023-09-13T11:53:25.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11213,1382 ST JOHNS PLACE,ST JOHNS PLACE,,,,,ADDRESS,BROOKLYN,,Closed,08 BROOKLYN,3013840022,BROOKLYN,1002973,183623,ONLINE,Unspecified,BROOKLYN,40.67065966317525,-73.93250609619326,"{'latitude': '40.67065966317525', 'longitude': '-73.93250609619326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-30T18:10:09.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-30T00:00:00.000,,,
58804484,2023-09-13T11:53:23.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11220,246 51 STREET,51 STREET,,,,,ADDRESS,BROOKLYN,,Closed,07 BROOKLYN,3007970025,BROOKLYN,979680,175322,PHONE,Unspecified,BROOKLYN,40.64789386387253,-74.01646861429589,"{'latitude': '40.64789386387253', 'longitude': '-74.01646861429589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T16:48:10.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,,,
58806086,2023-09-13T11:53:18.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11414,101-01 160 AVENUE,160 AVENUE,101 STREET,102 STREET,101 STREET,102 STREET,ADDRESS,HOWARD BEACH,160 AVENUE,In Progress,10 QUEENS,4141810038,QUEENS,1030893,179265,PHONE,Unspecified,QUEENS,40.658594869025976,-73.83188856379553,"{'latitude': '40.658594869025976', 'longitude': '-73.83188856379553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-14T11:10:13.000,,,
58801232,2023-09-13T11:53:10.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11249,17 KENT AVENUE,KENT AVENUE,FRANKLIN STREET,NORTH   13 STREET,FRANKLIN STREET,NORTH   13 STREET,ADDRESS,BROOKLYN,KENT AVENUE,Closed,01 BROOKLYN,3022780001,BROOKLYN,995867,202938,MOBILE,Unspecified,BROOKLYN,40.7236870123129,-73.95808895438469,"{'latitude': '40.7236870123129', 'longitude': '-73.95808895438469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T14:18:18.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T14:18:23.000,,,
58808599,2023-09-13T11:53:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10307,6900 HYLAN BOULEVARD,HYLAN BOULEVARD,JOLINE AVENUE,SPRAGUE AVENUE,JOLINE AVENUE,SPRAGUE AVENUE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,Closed,03 STATEN ISLAND,,STATEN ISLAND,918870,123764,ONLINE,Unspecified,STATEN ISLAND,40.5061376841753,-74.23510645934678,"{'latitude': '40.5061376841753', 'longitude': '-74.23510645934678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T14:52:58.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T14:53:04.000,,,
58800095,2023-09-13T11:53:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10454,570 EAST  138 STREET,EAST  138 STREET,ST ANNS AVE,CYPRESS AVE,,,ADDRESS,BRONX,,Closed,01 BRONX,2025500007,BRONX,1007188,233176,MOBILE,Unspecified,BRONX,40.80666035359601,-73.91714262858609,"{'latitude': '40.80666035359601', 'longitude': '-73.91714262858609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T13:25:00.000,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-14T13:25:00.000,,,
58807307,2023-09-13T11:52:58.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11434,160-17 134 AVENUE,134 AVENUE,160 STREET,161 STREET,160 STREET,161 STREET,ADDRESS,JAMAICA,134 AVENUE,Closed,12 QUEENS,4122870094,QUEENS,1046063,184463,ONLINE,Unspecified,QUEENS,40.672769274089184,-73.7771651591086,"{'latitude': '40.672769274089184', 'longitude': '-73.7771651591086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T13:16:06.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T13:16:10.000,,,
58808966,2023-09-13T11:52:37.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,11201,44 COURT STREET,COURT STREET,,JORALEMON STREET,,JORALEMON STREET,ADDRESS,BROOKLYN,COURT STREET,Closed,02 BROOKLYN,3002550001,BROOKLYN,986756,191606,PHONE,Unspecified,BROOKLYN,40.69259062658877,-73.9909632355784,"{'latitude': '40.69259062658877', 'longitude': '-73.9909632355784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T11:01:17.000,A Litter Basket was placed at the location.,2023-09-15T03:28:07.000,,,
58800940,2023-09-13T11:52:29.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10466,4169 GUNTHER AVENUE,GUNTHER AVENUE,EDENWALD AVENUE,BUSSING AVENUE,EDENWALD AVENUE,BUSSING AVENUE,ADDRESS,BRONX,GUNTHER AVENUE,Closed,12 BRONX,2050040009,BRONX,1025861,264704,PHONE,Unspecified,BRONX,40.89312704014538,-73.84949585587468,"{'latitude': '40.89312704014538', 'longitude': '-73.84949585587468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-15T09:04:41.000,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-15T09:04:48.000,,,
58807866,2023-09-13T11:52:15.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11206,HARRISON AVENUE,HARRISON AVENUE,HARRISON AVENUE,WALLABOUT STREET,HARRISON AVENUE,WALLABOUT STREET,INTERSECTION,,,Closed,01 BROOKLYN,,BROOKLYN,998461,194890,ONLINE,Unspecified,BROOKLYN,40.701593386315295,-73.94874748258447,"{'latitude': '40.701593386315295', 'longitude': '-73.94874748258447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T15:17:46.000,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-13T15:17:49.000,,,
58807888,2023-09-13T11:52:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11219,6610 DURYEA COURT,DURYEA COURT,66 STREET,67 STREET,66 STREET,67 STREET,ADDRESS,BROOKLYN,DURYEA COURT,Closed,11 BROOKLYN,3055580083,BROOKLYN,985161,165814,PHONE,Unspecified,BROOKLYN,40.62179755681363,-73.99671837160832,"{'latitude': '40.62179755681363', 'longitude': '-73.99671837160832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T21:20:44.000,The Police Department issued a summons in response to the complaint.,2023-09-13T21:20:49.000,,,
58805102,2023-09-13T11:51:59.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11216,185 MADISON STREET,MADISON STREET,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,MADISON STREET,Closed,03 BROOKLYN,3018170071,BROOKLYN,997599,188691,ONLINE,Unspecified,BROOKLYN,40.68457990984866,-73.95186860234759,"{'latitude': '40.68457990984866', 'longitude': '-73.95186860234759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T10:09:22.000,The Department of Sanitation collected the requested items.,2023-09-15T12:40:31.000,,,
58802174,2023-09-13T11:51:56.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11358,43-45 189 STREET,189 STREET,43 ROAD,44 AVENUE,43 ROAD,44 AVENUE,ADDRESS,FLUSHING,189 STREET,Closed,11 QUEENS,4055140001,QUEENS,1041914,215045,ONLINE,Unspecified,QUEENS,40.756737309357796,-73.79186021827805,"{'latitude': '40.756737309357796', 'longitude': '-73.79186021827805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T20:22:22.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T20:22:27.000,,,
58802192,2023-09-13T11:51:48.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11234,1260 EAST   56 STREET,EAST   56 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST   56 STREET,Closed,18 BROOKLYN,3078350062,BROOKLYN,1005979,166997,ONLINE,Unspecified,BROOKLYN,40.625018043489376,-73.92172343197977,"{'latitude': '40.625018043489376', 'longitude': '-73.92172343197977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-25T16:00:49.000,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-25T16:00:57.000,,,
58807551,2023-09-13T11:51:27.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10016,137 EAST   36 STREET,EAST   36 STREET,EAST   36 STREET,EAST   37 STREET,EAST   36 STREET,EAST   37 STREET,ADDRESS,NEW YORK,EAST   36 STREET,Closed,06 MANHATTAN,1008920025,MANHATTAN,990222,211719,ONLINE,Unspecified,MANHATTAN,40.747794301411865,-73.97844681677496,"{'latitude': '40.747794301411865', 'longitude': '-73.97844681677496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T13:19:19.000,The Police Department visited the location and no Encampment was found.,2023-09-13T13:19:25.000,,,
58801717,2023-09-13T11:51:15.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11385,1723 HARMAN STREET,HARMAN STREET,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,ADDRESS,RIDGEWOOD,HARMAN STREET,Closed,05 QUEENS,4034320058,QUEENS,1008182,196175,ONLINE,Unspecified,QUEENS,40.70509945699176,-73.91368377410855,"{'latitude': '40.70509945699176', 'longitude': '-73.91368377410855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:19:32.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T12:19:41.000,,,
58802511,2023-09-13T11:51:09.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11216,99 HANCOCK STREET,HANCOCK STREET,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,HANCOCK STREET,Closed,03 BROOKLYN,3018320075,BROOKLYN,997601,187872,ONLINE,Unspecified,BROOKLYN,40.682331938870824,-73.95186301386445,"{'latitude': '40.682331938870824', 'longitude': '-73.95186301386445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T11:20:15.000,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T11:51:45.000,,,
58809308,2023-09-13T11:50:50.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10001,370 SEVENTH AVENUE,SEVENTH AVENUE,WEST   30 STREET,WEST   31 STREET,WEST   30 STREET,WEST   31 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,05 MANHATTAN,1007800036,MANHATTAN,986399,212081,MOBILE,Unspecified,MANHATTAN,40.74878965575759,-73.99224405854268,"{'latitude': '40.74878965575759', 'longitude': '-73.99224405854268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:01:30.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T12:01:34.000,,,
58800782,2023-09-13T11:50:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11249,164 KENT AVENUE,KENT AVENUE,NORTH    5 STREET,NORTH    4 PLACE,NORTH    5 STREET,NORTH    4 PLACE,ADDRESS,BROOKLYN,KENT AVENUE,Closed,01 BROOKLYN,3023407502,BROOKLYN,994508,201284,MOBILE,Unspecified,BROOKLYN,40.71914886229848,-73.9629943850893,"{'latitude': '40.71914886229848', 'longitude': '-73.9629943850893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T14:08:02.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T14:08:05.000,,,
58803165,2023-09-13T11:50:31.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10033,2374 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021320038,MANHATTAN,1002927,247482,PHONE,Unspecified,MANHATTAN,40.845936271792255,-73.9324945174274,"{'latitude': '40.845936271792255', 'longitude': '-73.9324945174274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T20:28:56.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,,,
58803228,2023-09-13T11:50:31.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10033,2374 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021320038,MANHATTAN,1002927,247482,PHONE,Unspecified,MANHATTAN,40.845936271792255,-73.9324945174274,"{'latitude': '40.845936271792255', 'longitude': '-73.9324945174274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T20:28:55.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,,,
58809828,2023-09-13T11:50:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10033,2374 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021320038,MANHATTAN,1002927,247482,PHONE,Unspecified,MANHATTAN,40.845936271792255,-73.9324945174274,"{'latitude': '40.845936271792255', 'longitude': '-73.9324945174274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T20:28:55.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,,,
