unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58864801,2023-09-19T12:52:42.000,2023-09-19T14:03:02.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11691,223 BEACH   20 STREET,BEACH   20 STREET,SEAGIRT BOULEVARD,PLAINVIEW AVENUE,SEAGIRT BOULEVARD,PLAINVIEW AVENUE,ADDRESS,FAR ROCKAWAY,BEACH   20 STREET,Closed,N/A,2023-09-19T14:03:06.000,14 QUEENS,,QUEENS,1052543,156460,ONLINE,Unspecified,QUEENS,40.59585967705082,-73.75408838059118,"{'latitude': '40.59585967705082', 'longitude': '-73.75408838059118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867229,2023-09-19T12:52:35.000,2023-09-19T13:31:40.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10309,140 REDWOOD LOOP,REDWOOD LOOP,BEND,BALSAM PLACE,BEND,BALSAM PLACE,ADDRESS,STATEN ISLAND,REDWOOD LOOP,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:31:44.000,03 STATEN ISLAND,5070370019,STATEN ISLAND,925014,138899,ONLINE,Unspecified,STATEN ISLAND,40.54772346804938,-74.21314515893953,"{'latitude': '40.54772346804938', 'longitude': '-74.21314515893953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864742,2023-09-19T12:52:30.000,2023-09-20T12:03:55.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11421,91-15 86 ROAD,86 ROAD,91 STREET,WOODHAVEN BOULEVARD,91 STREET,WOODHAVEN BOULEVARD,ADDRESS,WOODHAVEN,86 ROAD,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-20T12:04:00.000,09 QUEENS,4088740027,QUEENS,1024783,192383,PHONE,Unspecified,QUEENS,40.69463084510844,-73.85383138462251,"{'latitude': '40.69463084510844', 'longitude': '-73.85383138462251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861444,2023-09-19T12:52:28.000,2023-09-19T13:30:36.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11103,24-25 49 STREET,49 STREET,ASTORIA BOULEVARD SOUTH,BROOKLYN QUEENS EXPRESSWAY WEST,ASTORIA BOULEVARD SOUTH,BROOKLYN QUEENS EXPRESSWAY WEST,ADDRESS,ASTORIA,49 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T13:30:40.000,01 QUEENS,4010160030,QUEENS,1011127,218540,ONLINE,Unspecified,QUEENS,40.76647736642187,-73.90297261868845,"{'latitude': '40.76647736642187', 'longitude': '-73.90297261868845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860431,2023-09-19T12:52:27.000,2023-10-30T09:40:17.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11373,90-39 56 AVENUE,56 AVENUE,JUSTICE AVENUE,92 STREET,JUSTICE AVENUE,92 STREET,ADDRESS,ELMHURST,56 AVENUE,Closed,NYC Parks inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons:  - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.,2023-10-30T09:40:23.000,04 QUEENS,4018570060,QUEENS,1019788,207480,PHONE,Unspecified,QUEENS,40.736089921576436,-73.87176444340146,"{'latitude': '40.736089921576436', 'longitude': '-73.87176444340146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861569,2023-09-19T12:52:07.000,2023-09-19T12:52:07.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11219,4418 12 AVENUE,12 AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T00:00:00.000,12 BROOKLYN,3056090054,BROOKLYN,986587,172083,UNKNOWN,Unspecified,BROOKLYN,40.63900437637814,-73.99157942575867,"{'latitude': '40.63900437637814', 'longitude': '-73.99157942575867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859641,2023-09-19T12:52:07.000,2023-09-20T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10467,171 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,07 BRONX,2033350142,BRONX,1017028,258292,UNKNOWN,Unspecified,BRONX,40.875565354889034,-73.881475549012,"{'latitude': '40.875565354889034', 'longitude': '-73.881475549012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,N/A,,,,,
58864717,2023-09-19T12:52:01.000,2023-09-26T12:06:22.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11220,313 45 STREET,45 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,45 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-25T13:29:47.000,07 BROOKLYN,3007370072,BROOKLYN,981177,176136,ONLINE,Unspecified,BROOKLYN,40.65012876335201,-74.0110743428493,"{'latitude': '40.65012876335201', 'longitude': '-74.0110743428493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858860,2023-09-19T12:51:56.000,2023-09-29T02:40:27.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10453,MORTON PLACE,MORTON PLACE,MORTON PLACE,UNIVERSITY AVENUE,MORTON PLACE,UNIVERSITY AVENUE,INTERSECTION,,,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-20T15:53:30.000,05 BRONX,,BRONX,1007801,249348,PHONE,Unspecified,BRONX,40.851046234124794,-73.91487156130975,"{'latitude': '40.851046234124794', 'longitude': '-73.91487156130975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869105,2023-09-19T12:51:56.000,2023-09-19T13:11:12.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10035,184 EAST  122 STREET,EAST  122 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST  122 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T13:11:18.000,11 MANHATTAN,1017700040,MANHATTAN,1001474,231472,PHONE,Unspecified,MANHATTAN,40.80199633031031,-73.93778728413106,"{'latitude': '40.80199633031031', 'longitude': '-73.93778728413106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58870077,2023-09-19T12:51:45.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11375,69 ROAD,69 ROAD,69 ROAD,110 STREET,69 ROAD,110 STREET,INTERSECTION,,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-20T07:43:19.000,06 QUEENS,,QUEENS,1027792,203442,ONLINE,Unspecified,QUEENS,40.72497083534013,-73.84290894275563,"{'latitude': '40.72497083534013', 'longitude': '-73.84290894275563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58870511,2023-09-19T12:51:34.000,2023-10-02T09:58:47.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,10466,655 EAST  224 STREET,EAST  224 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  224 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-20T04:42:57.000,12 BRONX,2048260028,BRONX,1022299,262684,ONLINE,Unspecified,BRONX,40.88759886347707,-73.86239082185531,"{'latitude': '40.88759886347707', 'longitude': '-73.86239082185531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859506,2023-09-19T12:51:26.000,2023-09-20T01:35:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11361,214-18 45 ROAD,45 ROAD,BELL BOULEVARD,215 STREET,BELL BOULEVARD,215 STREET,ADDRESS,BAYSIDE,45 ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T01:36:02.000,11 QUEENS,4073320111,QUEENS,1048387,216117,PHONE,Unspecified,QUEENS,40.75963508021013,-73.76848562481956,"{'latitude': '40.75963508021013', 'longitude': '-73.76848562481956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857667,2023-09-19T12:51:21.000,2023-09-19T16:33:25.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11223,1991 WEST   13 STREET,WEST   13 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,WEST   13 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T16:33:29.000,11 BROOKLYN,3070760039,BROOKLYN,988533,157339,MOBILE,Unspecified,BROOKLYN,40.59853443465971,-73.98457703893617,"{'latitude': '40.59853443465971', 'longitude': '-73.98457703893617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869229,2023-09-19T12:51:07.000,2023-09-19T16:33:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,6902 20 AVENUE,20 AVENUE,BAY RIDGE AVENUE,70 STREET,BAY RIDGE AVENUE,70 STREET,ADDRESS,BROOKLYN,20 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T16:33:07.000,11 BROOKLYN,3061620038,BROOKLYN,987488,163030,PHONE,Unspecified,BROOKLYN,40.614155509942385,-73.98833732568332,"{'latitude': '40.614155509942385', 'longitude': '-73.98833732568332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868418,2023-09-19T12:51:02.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11215,411 9 STREET,9 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,9 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-19T19:40:21.000,06 BROOKLYN,3010060058,BROOKLYN,989073,182428,PHONE,Unspecified,BROOKLYN,40.66739813942417,-73.98261458363693,"{'latitude': '40.66739813942417', 'longitude': '-73.98261458363693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864169,2023-09-19T12:51:02.000,2023-09-19T13:26:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11357,146-30 20 ROAD,20 ROAD,146 STREET,147 STREET,146 STREET,147 STREET,ADDRESS,WHITESTONE,20 ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:26:04.000,07 QUEENS,4046330017,QUEENS,1034002,223885,ONLINE,Unspecified,QUEENS,40.781048820837,-73.82035327365863,"{'latitude': '40.781048820837', 'longitude': '-73.82035327365863', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858487,2023-09-19T12:50:49.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11215,511 16 STREET,16 STREET,PROSPECT PARK WEST,10 AVENUE,PROSPECT PARK WEST,10 AVENUE,ADDRESS,BROOKLYN,16 STREET,In Progress,,,07 BROOKLYN,3011060050,BROOKLYN,990165,179583,ONLINE,Unspecified,BROOKLYN,40.65958858224632,-73.97868075901665,"{'latitude': '40.65958858224632', 'longitude': '-73.97868075901665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860529,2023-09-19T12:50:38.000,2023-10-02T11:38:09.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11223,SCARANGELLA PARK,SCARANGELLA PARK,AVENUE U,AVENUE V,AVENUE U,AVENUE V,UNRECOGNIZED,BROOKLYN,SCARANGELLA PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-02T11:38:13.000,13 BROOKLYN,3071130001,BROOKLYN,988599,155930,PHONE,Unspecified,BROOKLYN,40.59466698179727,-73.98434028185564,"{'latitude': '40.59466698179727', 'longitude': '-73.98434028185564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859980,2023-09-19T12:50:13.000,2023-09-20T09:40:25.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10463,3463 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2023-09-20T00:00:00.000,08 BRONX,2032620213,BRONX,1012218,260535,PHONE,Unspecified,BRONX,40.88173824309908,-73.8988590106221,"{'latitude': '40.88173824309908', 'longitude': '-73.8988590106221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866052,2023-09-19T12:50:13.000,2023-09-20T09:40:25.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10463,3463 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2023-09-20T00:00:00.000,08 BRONX,2032620213,BRONX,1012218,260535,PHONE,Unspecified,BRONX,40.88173824309908,-73.8988590106221,"{'latitude': '40.88173824309908', 'longitude': '-73.8988590106221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855632,2023-09-19T12:50:07.000,2023-09-19T14:01:35.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10310,1215 CASTLETON AVENUE,CASTLETON AVENUE,ROE STREET,TAYLOR STREET,ROE STREET,TAYLOR STREET,ADDRESS,STATEN ISLAND,CASTLETON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T14:01:40.000,01 STATEN ISLAND,5001980150,STATEN ISLAND,950165,170322,PHONE,Unspecified,STATEN ISLAND,40.63410553558369,-74.12280457735027,"{'latitude': '40.63410553558369', 'longitude': '-74.12280457735027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867654,2023-09-19T12:50:06.000,2023-09-19T14:22:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,2111 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T14:22:14.000,09 BROOKLYN,3050260075,BROOKLYN,994992,179735,MOBILE,Unspecified,BROOKLYN,40.66000124850346,-73.96128272045006,"{'latitude': '40.66000124850346', 'longitude': '-73.96128272045006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859338,2023-09-19T12:50:04.000,2023-09-19T14:16:45.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11219,6722 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,67 STREET,68 STREET,67 STREET,68 STREET,ADDRESS,BROOKLYN,FORT HAMILTON PARKWAY,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-19T14:16:49.000,10 BROOKLYN,3057640001,BROOKLYN,981216,168622,ONLINE,Unspecified,BROOKLYN,40.62950445497798,-74.0109304174768,"{'latitude': '40.62950445497798', 'longitude': '-74.0109304174768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865912,2023-09-19T12:50:01.000,2023-09-24T15:41:06.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11236,1003 EAST   86 STREET,EAST   86 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,18 BROOKLYN,3080387501,BROOKLYN,1010088,171215,PHONE,Unspecified,BROOKLYN,40.636584524480774,-73.90690502857575,"{'latitude': '40.636584524480774', 'longitude': '-73.90690502857575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865890,2023-09-19T12:50:01.000,2023-09-24T17:10:48.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11236,1003 EAST   86 STREET,EAST   86 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,18 BROOKLYN,3080387501,BROOKLYN,1010088,171215,PHONE,Unspecified,BROOKLYN,40.636584524480774,-73.90690502857575,"{'latitude': '40.636584524480774', 'longitude': '-73.90690502857575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858117,2023-09-19T12:50:01.000,2023-09-24T17:10:48.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11236,1003 EAST   86 STREET,EAST   86 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,18 BROOKLYN,3080387501,BROOKLYN,1010088,171215,PHONE,Unspecified,BROOKLYN,40.636584524480774,-73.90690502857575,"{'latitude': '40.636584524480774', 'longitude': '-73.90690502857575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856176,2023-09-19T12:50:01.000,2023-09-24T15:41:06.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11236,1003 EAST   86 STREET,EAST   86 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-24T00:00:00.000,18 BROOKLYN,3080387501,BROOKLYN,1010088,171215,PHONE,Unspecified,BROOKLYN,40.636584524480774,-73.90690502857575,"{'latitude': '40.636584524480774', 'longitude': '-73.90690502857575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864062,2023-09-19T12:50:01.000,2023-09-24T15:41:06.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11236,1003 EAST   86 STREET,EAST   86 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-24T00:00:00.000,18 BROOKLYN,3080387501,BROOKLYN,1010088,171215,PHONE,Unspecified,BROOKLYN,40.636584524480774,-73.90690502857575,"{'latitude': '40.636584524480774', 'longitude': '-73.90690502857575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866215,2023-09-19T12:50:00.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11375,69 AVENUE,69 AVENUE,69 AVENUE,110 STREET,69 AVENUE,110 STREET,INTERSECTION,,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-20T07:46:24.000,06 QUEENS,,QUEENS,1027697,203684,ONLINE,Unspecified,QUEENS,40.725635532612166,-73.84325012118683,"{'latitude': '40.725635532612166', 'longitude': '-73.84325012118683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866099,2023-09-19T12:50:00.000,2023-09-19T13:21:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11385,87-29 MYRTLE AVENUE,MYRTLE AVENUE,J ROBINSON PKWY WB EN MYRTLE AVE,81 RD,,,ADDRESS,RIDGEWOOD,,Closed,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,2023-09-19T13:21:00.000,05 QUEENS,4038490035,QUEENS,1022983,195485,PHONE,Unspecified,QUEENS,40.703153161649794,-73.86030462790242,"{'latitude': '40.703153161649794', 'longitude': '-73.86030462790242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863997,2023-09-19T12:49:49.000,2023-09-21T15:47:41.000,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11368,108-14 47 AVENUE,47 AVENUE,,,,,ADDRESS,CORONA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,04 QUEENS,4020030007,QUEENS,1024138,211375,ONLINE,Unspecified,QUEENS,40.74676216389856,-73.85604480384869,"{'latitude': '40.74676216389856', 'longitude': '-73.85604480384869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856297,2023-09-19T12:49:49.000,2023-09-21T15:47:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11368,108-14 47 AVENUE,47 AVENUE,,,,,ADDRESS,CORONA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,04 QUEENS,4020030007,QUEENS,1024138,211375,ONLINE,Unspecified,QUEENS,40.74676216389856,-73.85604480384869,"{'latitude': '40.74676216389856', 'longitude': '-73.85604480384869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869829,2023-09-19T12:49:49.000,2023-09-21T15:47:40.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11368,108-14 47 AVENUE,47 AVENUE,,,,,ADDRESS,CORONA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,04 QUEENS,4020030007,QUEENS,1024138,211375,ONLINE,Unspecified,QUEENS,40.74676216389856,-73.85604480384869,"{'latitude': '40.74676216389856', 'longitude': '-73.85604480384869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856359,2023-09-19T12:49:49.000,2023-09-21T15:47:40.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11368,108-14 47 AVENUE,47 AVENUE,,,,,ADDRESS,CORONA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,04 QUEENS,4020030007,QUEENS,1024138,211375,ONLINE,Unspecified,QUEENS,40.74676216389856,-73.85604480384869,"{'latitude': '40.74676216389856', 'longitude': '-73.85604480384869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866026,2023-09-19T12:49:48.000,2023-10-30T20:38:23.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11435,143-50 HOOVER AVENUE,HOOVER AVENUE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-30T00:00:00.000,08 QUEENS,4097380114,QUEENS,1035584,199544,ONLINE,Unspecified,QUEENS,40.71423000153635,-73.81482672991002,"{'latitude': '40.71423000153635', 'longitude': '-73.81482672991002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865448,2023-09-19T12:49:35.000,2023-09-19T13:56:46.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10035,62 EAST  125 STREET,EAST  125 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST  125 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T13:56:51.000,11 MANHATTAN,1017490046,MANHATTAN,1000828,232750,MOBILE,Unspecified,MANHATTAN,40.805505324090404,-73.94011746580543,"{'latitude': '40.805505324090404', 'longitude': '-73.94011746580543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856797,2023-09-19T12:49:26.000,2023-09-25T11:16:57.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,EAST GUN HILL ROAD,EAST  233 STREET,EAST GUN HILL ROAD,EAST  233 STREET,ADDRESS,BRONX,WEBSTER AVENUE,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-25T11:17:01.000,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,"3560 WEBSTER AVENUE, BRONX, NY, 10467",,,
