unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_segment,latitude,longitude,location,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,bbl,facility_type,due_date,taxi_pick_up_location
58906419,2023-09-23T22:58:11.000,2023-09-23T23:08:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:08:41.000,02 MANHATTAN,MANHATTAN,984030,205516,ONLINE,Unspecified,MANHATTAN,,,40.73077061956904,-74.00079378581671,"{'latitude': '40.73077061956904', 'longitude': '-74.00079378581671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10012,131 WEST    3 STREET,WEST    3 STREET,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    3 STREET,1005430066,,,
58908542,2023-09-23T22:58:06.000,2023-09-23T23:09:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:09:26.000,08 QUEENS,QUEENS,1036984,199566,ONLINE,Unspecified,QUEENS,,,40.71428215230356,-73.80977645873516,"{'latitude': '40.71428215230356', 'longitude': '-73.80977645873516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11432,150-02 HOOVER AVENUE,HOOVER AVENUE,150 STREET,PARSONS BOULEVARD,150 STREET,PARSONS BOULEVARD,ADDRESS,JAMAICA,HOOVER AVENUE,4097520008,,,
58905834,2023-09-23T22:58:04.000,2023-09-23T23:08:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:08:21.000,07 BROOKLYN,BROOKLYN,987062,179438,ONLINE,Unspecified,BROOKLYN,,,40.659192118310365,-73.98986486071107,"{'latitude': '40.659192118310365', 'longitude': '-73.98986486071107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11215,344 21 STREET,21 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,21 STREET,3008980034,,,
58905876,2023-09-23T22:58:04.000,2023-09-23T23:15:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T23:15:46.000,04 BRONX,BRONX,1006004,242339,MOBILE,Unspecified,BRONX,,,40.83181319265939,-73.9213898055035,"{'latitude': '40.83181319265939', 'longitude': '-73.9213898055035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10452,1069 WALTON AVENUE,WALTON AVENUE,EAST  165 STREET,EAST  166 STREET,EAST  165 STREET,EAST  166 STREET,ADDRESS,BRONX,WALTON AVENUE,2024780058,,,
58908578,2023-09-23T22:58:00.000,2023-09-23T23:07:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:07:06.000,08 BROOKLYN,BROOKLYN,996450,184845,ONLINE,Unspecified,BROOKLYN,,,40.67402517083841,-73.95601841952394,"{'latitude': '40.67402517083841', 'longitude': '-73.95601841952394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11216,654 PARK PLACE,PARK PLACE,FRANKLIN AVENUE,BEDFORD AVENUE,FRANKLIN AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,PARK PLACE,3012380016,,,
58908491,2023-09-23T22:57:58.000,2023-09-24T00:21:39.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T00:21:45.000,04 BROOKLYN,BROOKLYN,1008259,194072,MOBILE,Unspecified,BROOKLYN,,,40.699327009277525,-73.91341355362138,"{'latitude': '40.699327009277525', 'longitude': '-73.91341355362138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11237,1545 MYRTLE AVENUE,MYRTLE AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,BROOKLYN,MYRTLE AVENUE,3033370006,,,
58907466,2023-09-23T22:57:54.000,2023-09-23T23:06:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:06:34.000,06 QUEENS,QUEENS,1026927,207749,MOBILE,Unspecified,QUEENS,,,40.736796692541596,-73.84600237030956,"{'latitude': '40.736796692541596', 'longitude': '-73.84600237030956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11375,62-62 GRAND CENTRAL PARKWAY,GRAND CENTRAL PARKWAY,62 DRIVE,63 AVENUE,62 DRIVE,63 AVENUE,ADDRESS,FOREST HILLS,GRAND CENTRAL PARKWAY SR WEST,4021800041,,,
58906247,2023-09-23T22:57:44.000,2023-09-23T23:09:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T23:09:44.000,03 MANHATTAN,MANHATTAN,986855,203742,ONLINE,Unspecified,MANHATTAN,,,40.72590104156153,-73.99060154109547,"{'latitude': '40.72590104156153', 'longitude': '-73.99060154109547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10003,23 EAST    3 STREET,EAST    3 STREET,BOWERY,2 AVENUE,BOWERY,2 AVENUE,ADDRESS,NEW YORK,EAST    3 STREET,1004590038,,,
58908206,2023-09-23T22:57:26.000,2023-09-24T02:20:31.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T02:20:37.000,09 QUEENS,QUEENS,1024419,190716,MOBILE,Unspecified,QUEENS,,,40.6900569810915,-73.855153965884,"{'latitude': '40.6900569810915', 'longitude': '-73.855153965884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11421,88-16 89 AVENUE,89 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,WOODHAVEN,89 AVENUE,4089700008,,,
58908498,2023-09-23T22:57:12.000,2023-09-23T23:43:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T23:43:46.000,02 BROOKLYN,BROOKLYN,987401,193648,MOBILE,Unspecified,BROOKLYN,,,40.698195236536435,-73.98863637730494,"{'latitude': '40.698195236536435', 'longitude': '-73.98863637730494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11201,195 ADAMS STREET,ADAMS STREET,RED CROSS PLACE,TILLARY STREET BIKE PATH,RED CROSS PLACE,TILLARY STREET BIKE PATH,ADDRESS,BROOKLYN,ADAMS STREET,3000860011,,,
58906656,2023-09-23T22:57:08.000,2023-09-24T03:14:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:14:48.000,05 BROOKLYN,BROOKLYN,1018963,189264,ONLINE,Unspecified,BROOKLYN,,,40.68609465935116,-73.8748352951601,"{'latitude': '40.68609465935116', 'longitude': '-73.8748352951601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11208,97 EUCLID AVENUE,EUCLID AVENUE,ETNA STREET,RIDGEWOOD AVENUE,ETNA STREET,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,EUCLID AVENUE,3041170017,,,
58907420,2023-09-23T22:56:57.000,2023-09-23T23:53:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-23T23:53:54.000,17 BROOKLYN,BROOKLYN,996951,176972,ONLINE,Unspecified,BROOKLYN,,,40.6524148264688,-73.95422712196176,"{'latitude': '40.6524148264688', 'longitude': '-73.95422712196176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11226,123 LINDEN BOULEVARD,LINDEN BOULEVARD,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,3050840084,,,
58910091,2023-09-23T22:56:53.000,2023-11-14T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-14T00:00:00.000,05 QUEENS,QUEENS,1015865,202987,UNKNOWN,Unspecified,QUEENS,,,40.72377263898151,-73.88594131587993,"{'latitude': '40.72377263898151', 'longitude': '-73.88594131587993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11379,60-30 75 STREET,75 STREET,,,,,ADDRESS,MIDDLE VILLAGE,,4028440021,,,
58909128,2023-09-23T22:56:45.000,2023-09-23T23:12:30.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T23:12:34.000,09 MANHATTAN,MANHATTAN,997898,238607,MOBILE,Unspecified,MANHATTAN,,,40.821586164014654,-73.95068920834854,"{'latitude': '40.821586164014654', 'longitude': '-73.95068920834854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10031,503 WEST  139 STREET,WEST  139 STREET,AMSTERDAM AVENUE,HAMILTON PLACE,AMSTERDAM AVENUE,HAMILTON PLACE,ADDRESS,NEW YORK,WEST  139 STREET,1020710027,,,
58907994,2023-09-23T22:56:38.000,2023-09-23T23:08:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:08:34.000,08 QUEENS,QUEENS,1036882,199270,ONLINE,Unspecified,QUEENS,,,40.713470312225276,-73.81014670895335,"{'latitude': '40.713470312225276', 'longitude': '-73.81014670895335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11435,84 AVENUE,84 AVENUE,84 AVENUE,150 STREET,84 AVENUE,150 STREET,INTERSECTION,,,,,,
58907088,2023-09-23T22:56:28.000,2023-10-04T20:58:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,05 BROOKLYN,BROOKLYN,1021300,184378,ONLINE,Unspecified,BROOKLYN,,,40.67267423805446,-73.8664356464594,"{'latitude': '40.67267423805446', 'longitude': '-73.8664356464594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11208,675 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,3042710005,,,
58908661,2023-09-23T22:56:28.000,2023-10-04T20:58:47.000,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,05 BROOKLYN,BROOKLYN,1021300,184378,ONLINE,Unspecified,BROOKLYN,,,40.67267423805446,-73.8664356464594,"{'latitude': '40.67267423805446', 'longitude': '-73.8664356464594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11208,675 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,3042710005,,,
58907457,2023-09-23T22:56:24.000,2023-09-23T23:11:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-23T23:11:41.000,05 QUEENS,QUEENS,1017404,200971,ONLINE,Unspecified,QUEENS,,,40.718233576402945,-73.8803989420148,"{'latitude': '40.718233576402945', 'longitude': '-73.8803989420148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11379,63-39 75 PLACE,75 PLACE,JUNIPER BOULEVARD SOUTH,PENELOPE AVENUE,JUNIPER BOULEVARD SOUTH,PENELOPE AVENUE,ADDRESS,MIDDLE VILLAGE,75 PLACE,4029850061,,,
58909549,2023-09-23T22:56:13.000,2023-09-24T00:23:24.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T00:23:30.000,08 QUEENS,QUEENS,1036681,205932,MOBILE,Unspecified,QUEENS,,,40.73175704175903,-73.81081985180367,"{'latitude': '40.73175704175903', 'longitude': '-73.81081985180367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11365,70-10 PARSONS BOULEVARD,PARSONS BOULEVARD,JEWEL AVENUE,71 AVENUE,JEWEL AVENUE,71 AVENUE,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,4067920001,,,
58908568,2023-09-23T22:56:04.000,2023-09-24T00:09:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T00:09:45.000,10 QUEENS,QUEENS,1029945,187999,MOBILE,Unspecified,QUEENS,,,40.68257264584576,-73.83524614580621,"{'latitude': '40.68257264584576', 'longitude': '-73.83524614580621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11417,104-36 106 STREET,106 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,OZONE PARK,106 STREET,4095280023,,,
58907385,2023-09-23T22:56:03.000,2023-09-23T22:57:14.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T22:57:18.000,01 BROOKLYN,BROOKLYN,994357,198087,ONLINE,Unspecified,BROOKLYN,,,40.7103740358234,-73.96354391560291,"{'latitude': '40.7103740358234', 'longitude': '-73.96354391560291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11211,141 BROADWAY,BROADWAY,BEDFORD AVENUE,,BEDFORD AVENUE,,ADDRESS,BROOKLYN,BROADWAY,3024570043,,,
58909348,2023-09-23T22:55:59.000,2023-09-23T23:09:14.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,Closed,The Police Department visited the location and no Encampment was found.,2023-09-23T23:09:19.000,05 MANHATTAN,MANHATTAN,986821,211999,ONLINE,Unspecified,MANHATTAN,,,40.74856447378148,-73.99072105253802,"{'latitude': '40.74856447378148', 'longitude': '-73.99072105253802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10001,157 WEST   31 STREET,WEST   31 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   31 STREET,1008070001,,,
58908528,2023-09-23T22:55:55.000,2023-09-23T23:08:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:08:26.000,06 QUEENS,QUEENS,1026860,207571,MOBILE,Unspecified,QUEENS,,,40.73630845032105,-73.84624526306231,"{'latitude': '40.73630845032105', 'longitude': '-73.84624526306231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11375,110-65 63 AVENUE,63 AVENUE,110 STREET,GRAND CENTRAL PARKWAY,110 STREET,GRAND CENTRAL PARKWAY,ADDRESS,FOREST HILLS,63 AVENUE,4021800044,,,
58906225,2023-09-23T22:55:46.000,2023-09-23T23:30:04.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:30:09.000,02 STATEN ISLAND,STATEN ISLAND,961328,149166,MOBILE,Unspecified,STATEN ISLAND,,,40.57607258085947,-74.08251372306077,"{'latitude': '40.57607258085947', 'longitude': '-74.08251372306077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10305,801 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,SLATER BOULEVARD,SEAVER AVENUE,SLATER BOULEVARD,SEAVER AVENUE,ADDRESS,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,,,,
58906818,2023-09-23T22:55:39.000,2023-09-23T23:26:05.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T23:26:15.000,07 BRONX,BRONX,1010018,253351,PHONE,Unspecified,BRONX,,,40.862027074107054,-73.9068425174553,"{'latitude': '40.862027074107054', 'longitude': '-73.9068425174553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10468,2333 ANDREWS AVENUE,ANDREWS AVENUE,WEST  183 STREET,WEST FORDHAM ROAD,WEST  183 STREET,WEST FORDHAM ROAD,ADDRESS,BRONX,ANDREWS AVENUE,2032250121,,,
58909482,2023-09-23T22:55:35.000,2023-09-23T23:33:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T23:33:09.000,07 BRONX,BRONX,1015217,255632,PHONE,Unspecified,BRONX,,,40.86827101603081,-73.88803636764355,"{'latitude': '40.86827101603081', 'longitude': '-73.88803636764355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10458,308 EAST  198 STREET,EAST  198 STREET,BAINBRIDGE AVENUE,POND PLACE,BAINBRIDGE AVENUE,POND PLACE,ADDRESS,BRONX,EAST  198 STREET,2032900030,,,
58907443,2023-09-23T22:55:03.000,2023-09-23T23:07:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:08:01.000,08 QUEENS,QUEENS,1036628,199232,ONLINE,Unspecified,QUEENS,,,40.7133675188883,-73.81106322640726,"{'latitude': '40.7133675188883', 'longitude': '-73.81106322640726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11435,148-31 84 AVENUE,84 AVENUE,SMEDLEY STREET,150 STREET,SMEDLEY STREET,150 STREET,ADDRESS,JAMAICA,84 AVENUE,4097420143,,,
58906670,2023-09-23T22:55:00.000,2023-09-25T10:49:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,Closed,The Department of Sanitation did not find any E-Waste at the location. Call 311 to make another appointment if you still need E-Waste removal.,2023-09-25T10:49:00.000,02 STATEN ISLAND,STATEN ISLAND,958104,158228,PHONE,Unspecified,STATEN ISLAND,,,40.60093702572907,-74.09415440724075,"{'latitude': '40.60093702572907', 'longitude': '-74.09415440724075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10304,7 HOLLY STREET,HOLLY STREET,MEADOW AVENUE,SPARKILL AVENUE,,,ADDRESS,STATEN ISLAND,,5008480115,,,
58906839,2023-09-23T22:54:57.000,2023-09-23T23:21:04.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:21:09.000,06 QUEENS,QUEENS,1024682,199346,PHONE,Unspecified,QUEENS,,,40.71374307817327,-73.85415379971526,"{'latitude': '40.71374307817327', 'longitude': '-73.85415379971526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11375,91-12 69 AVENUE,69 AVENUE,MANSE STREET,LOUBET STREET,MANSE STREET,LOUBET STREET,ADDRESS,FOREST HILLS,69 AVENUE,4032100006,,,
58907313,2023-09-23T22:54:57.000,2023-09-23T23:13:48.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T23:13:51.000,01 QUEENS,QUEENS,1011258,221933,PHONE,Unspecified,QUEENS,,,40.775789861408725,-73.90248606662297,"{'latitude': '40.775789861408725', 'longitude': '-73.90248606662297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11105,20-30 STEINWAY STREET,STEINWAY STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,STEINWAY STREET,4008090045,,,
58907819,2023-09-23T22:54:40.000,2023-09-23T23:30:28.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:30:31.000,02 STATEN ISLAND,STATEN ISLAND,965406,153929,MOBILE,Unspecified,STATEN ISLAND,,,40.589155674293956,-74.06784718388035,"{'latitude': '40.589155674293956', 'longitude': '-74.06784718388035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10305,345 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,SAND LANE,SEAVIEW AVENUE,SAND LANE,SEAVIEW AVENUE,ADDRESS,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,,,,
58906974,2023-09-23T22:54:30.000,2023-09-23T23:16:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T23:16:44.000,07 BRONX,BRONX,1014783,256616,MOBILE,Unspecified,BRONX,,,40.8709733052473,-73.88960104340956,"{'latitude': '40.8709733052473', 'longitude': '-73.88960104340956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10468,2895 GRAND CONCOURSE,GRAND CONCOURSE,MINERVA PLACE,EAST  199 STREET,MINERVA PLACE,EAST  199 STREET,ADDRESS,BRONX,GRAND CONCOURSE,2033190103,,,
58906328,2023-09-23T22:54:20.000,2023-09-24T00:21:25.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T00:21:30.000,04 BROOKLYN,BROOKLYN,1008259,194072,MOBILE,Unspecified,BROOKLYN,,,40.699327009277525,-73.91341355362138,"{'latitude': '40.699327009277525', 'longitude': '-73.91341355362138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11237,1545 MYRTLE AVENUE,MYRTLE AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,BROOKLYN,MYRTLE AVENUE,3033370006,,,
58907867,2023-09-23T22:54:12.000,2023-09-24T01:40:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T01:40:17.000,04 QUEENS,QUEENS,1019546,210672,ONLINE,Unspecified,QUEENS,,,40.74485212782775,-73.87262092770334,"{'latitude': '40.74485212782775', 'longitude': '-73.87262092770334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11373,43-29 ELBERTSON STREET,ELBERTSON STREET,LAMONT AVENUE,43 AVENUE,LAMONT AVENUE,43 AVENUE,ADDRESS,ELMHURST,ELBERTSON STREET,4015750048,,,
58908268,2023-09-23T22:53:53.000,2023-10-19T07:43:38.000,DOT,Department of Transportation,Sidewalk Condition,Newspaper Box Complaint,Sidewalk,Closed,The Department of Transportation inspected the condition and issued a notice to the responsible party to correct the condition.,2023-10-19T07:43:47.000,02 BROOKLYN,BROOKLYN,986828,195299,ONLINE,Unspecified,BROOKLYN,,,40.70272703092545,-73.99070218637159,"{'latitude': '40.70272703092545', 'longitude': '-73.99070218637159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11201,40 MAIN STREET,MAIN STREET,HOWARD ALLEY,FRONT STREET,HOWARD ALLEY,FRONT STREET,ADDRESS,BROOKLYN,MAIN STREET,3000360033,,,
58907805,2023-09-23T22:53:40.000,2023-09-23T23:19:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T23:19:14.000,14 BROOKLYN,BROOKLYN,994171,176865,MOBILE,Unspecified,BROOKLYN,,,40.65212468565975,-73.96424606408378,"{'latitude': '40.65212468565975', 'longitude': '-73.96424606408378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11226,34 CROOKE AVENUE,CROOKE AVENUE,PARADE PLACE,ST PAULS PLACE,PARADE PLACE,ST PAULS PLACE,ADDRESS,BROOKLYN,CROOKE AVENUE,3050607502,,,
58908390,2023-09-23T22:53:29.000,2023-09-23T23:28:02.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T23:28:06.000,02 STATEN ISLAND,STATEN ISLAND,961741,149475,MOBILE,Unspecified,STATEN ISLAND,,,40.57692178296496,-74.08102805150723,"{'latitude': '40.57692178296496', 'longitude': '-74.08102805150723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10305,755 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,NAUGHTON AVENUE,SLATER BOULEVARD,NAUGHTON AVENUE,SLATER BOULEVARD,ADDRESS,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,,,,
58909219,2023-09-23T22:53:25.000,2023-09-28T16:10:11.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,07 QUEENS,QUEENS,1033286,215456,PHONE,Unspecified,QUEENS,,,40.757917457405355,-73.82300012991934,"{'latitude': '40.757917457405355', 'longitude': '-73.82300012991934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11355,41-62 BOWNE STREET,BOWNE STREET,,,,,ADDRESS,FLUSHING,,4051817503,,,
58906948,2023-09-23T22:53:25.000,2023-09-23T23:10:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T23:10:49.000,01 BRONX,BRONX,1008679,238541,ONLINE,Unspecified,BRONX,,,40.821381776195096,-73.91173726776118,"{'latitude': '40.821381776195096', 'longitude': '-73.91173726776118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10451,495 EAST  158 STREET,EAST  158 STREET,3 AVENUE,BROOK AVENUE,3 AVENUE,BROOK AVENUE,ADDRESS,BRONX,EAST  158 STREET,2023640045,,,
