unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date,vehicle_type
58964562,2023-09-29T22:23:55.000,2023-10-12T10:03:25.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,2300 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031590001,BRONX,1011958,251743,PHONE,Unspecified,BRONX,40.85760772449226,-73.89983560670379,"{'latitude': '40.85760772449226', 'longitude': '-73.89983560670379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58963846,2023-09-29T22:23:44.000,2023-09-29T23:05:24.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11357,157-36 24 ROAD,24 ROAD,157 STREET,160 STREET,157 STREET,160 STREET,ADDRESS,WHITESTONE,24 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T23:05:29.000,07 QUEENS,4048640023,QUEENS,1037942,221976,PHONE,Unspecified,QUEENS,40.775786076029476,-73.8061418466506,"{'latitude': '40.775786076029476', 'longitude': '-73.8061418466506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58963828,2023-09-29T22:23:39.000,2023-09-29T22:48:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11428,94-34 216 STREET,216 STREET,94 ROAD,JAMAICA AVENUE,94 ROAD,JAMAICA AVENUE,ADDRESS,QUEENS VILLAGE,216 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T22:48:49.000,13 QUEENS,4106080039,QUEENS,1056446,201151,ONLINE,Unspecified,QUEENS,40.718495170689835,-73.73955595366775,"{'latitude': '40.718495170689835', 'longitude': '-73.73955595366775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958085,2023-09-29T22:23:37.000,2023-09-29T22:28:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,240 EAST  119 STREET,EAST  119 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST  119 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:28:54.000,11 MANHATTAN,1017830029,MANHATTAN,1001524,230549,ONLINE,Unspecified,MANHATTAN,40.79946285066707,-73.93760905980378,"{'latitude': '40.79946285066707', 'longitude': '-73.93760905980378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958812,2023-09-29T22:23:34.000,2023-11-21T09:43:38.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10017,161 EAST   42 STREET,EAST   42 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   42 STREET,Closed,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.,2023-11-21T09:43:42.000,06 MANHATTAN,1012970033,MANHATTAN,991091,212938,ONLINE,Unspecified,MANHATTAN,40.75113951938553,-73.97530932165587,"{'latitude': '40.75113951938553', 'longitude': '-73.97530932165587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","161 EAST   42 STREET, MANHATTAN (NEW YORK), NY, 10017",,,,,,,
59439214,2023-09-29T22:23:30.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10458,2300 GRAND CONCOURSE,GRAND CONCOURSE,EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,,2023-10-12T00:00:00.000,05 BRONX,2031590001,BRONX,1011958,251743,PHONE,Unspecified,BRONX,40.85760772449226,-73.89983560670379,"{'latitude': '40.85760772449226', 'longitude': '-73.89983560670379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59435393,2023-09-29T22:23:23.000,2023-09-30T21:10:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11691,29-10 FABER TERRACE,FABER TERRACE,BEND,GRANADA PLACE,BEND,GRANADA PLACE,ADDRESS,FAR ROCKAWAY,FABER TERRACE,Closed,,2023-09-30T21:10:00.000,14 QUEENS,4156840088,QUEENS,1049273,161542,PHONE,Unspecified,QUEENS,40.60983327714139,-73.765814121416,"{'latitude': '40.60983327714139', 'longitude': '-73.765814121416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58964755,2023-09-29T22:23:15.000,2023-09-29T22:29:11.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T22:29:13.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58968040,2023-09-29T22:23:15.000,2023-09-30T11:52:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,52-18 73 STREET,73 STREET,52 ROAD,52 DRIVE,52 ROAD,52 DRIVE,ADDRESS,MASPETH,73 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T11:52:13.000,05 QUEENS,4024840050,QUEENS,1014632,206428,ONLINE,Unspecified,QUEENS,40.7332216574986,-73.89037411782645,"{'latitude': '40.7332216574986', 'longitude': '-73.89037411782645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958626,2023-09-29T22:23:12.000,2023-09-29T22:29:37.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T22:29:40.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956522,2023-09-29T22:23:08.000,2023-09-29T22:37:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,417 EAST  114 STREET,EAST  114 STREET,1 AVENUE,THOMAS JEFFERSON PARK PATH,1 AVENUE,THOMAS JEFFERSON PARK PATH,ADDRESS,NEW YORK,EAST  114 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:37:25.000,11 MANHATTAN,1017080010,MANHATTAN,1002090,228698,ONLINE,Unspecified,MANHATTAN,40.794381235376115,-73.93556967595676,"{'latitude': '40.794381235376115', 'longitude': '-73.93556967595676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58962528,2023-09-29T22:23:06.000,2023-09-29T22:38:34.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11221,1122 BUSHWICK AVENUE,BUSHWICK AVENUE,WOODBINE STREET,MADISON STREET,WOODBINE STREET,MADISON STREET,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:38:36.000,04 BROOKLYN,3033570042,BROOKLYN,1006846,190565,MOBILE,Unspecified,BROOKLYN,40.689704832006264,-73.91852118096368,"{'latitude': '40.689704832006264', 'longitude': '-73.91852118096368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58961238,2023-09-29T22:23:04.000,2023-10-01T09:41:42.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11105,21-47 33 STREET,33 STREET,,,,,ADDRESS,ASTORIA,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,01 QUEENS,4008307501,QUEENS,1009608,222123,MOBILE,Unspecified,QUEENS,40.776316248692595,-73.90844276478124,"{'latitude': '40.776316248692595', 'longitude': '-73.90844276478124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958204,2023-09-29T22:23:04.000,2023-10-01T09:41:42.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11105,21-47 33 STREET,33 STREET,,,,,ADDRESS,ASTORIA,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,01 QUEENS,4008307501,QUEENS,1009608,222123,MOBILE,Unspecified,QUEENS,40.776316248692595,-73.90844276478124,"{'latitude': '40.776316248692595', 'longitude': '-73.90844276478124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958868,2023-09-29T22:22:54.000,2023-09-29T22:24:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11370,32-01 76 STREET,76 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,76 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-29T22:24:59.000,03 QUEENS,4011720001,QUEENS,1014365,215081,MOBILE,Unspecified,QUEENS,40.75697287045501,-73.89129877560065,"{'latitude': '40.75697287045501', 'longitude': '-73.89129877560065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58957902,2023-09-29T22:22:46.000,2023-09-29T22:33:06.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11105,23-26 41 STREET,41 STREET,23 AVENUE,23 ROAD,23 AVENUE,23 ROAD,ADDRESS,ASTORIA,41 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T22:33:13.000,01 QUEENS,4007930086,QUEENS,1009702,219848,PHONE,Unspecified,QUEENS,40.77007170228211,-73.90811198639351,"{'latitude': '40.77007170228211', 'longitude': '-73.90811198639351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59436645,2023-09-29T22:22:44.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,11105,21-47 33 STREET,33 STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ADDRESS,ASTORIA,33 STREET,Closed,,2023-10-01T00:00:00.000,01 QUEENS,4008307501,QUEENS,1009608,222123,MOBILE,Unspecified,QUEENS,40.776316248692595,-73.90844276478124,"{'latitude': '40.776316248692595', 'longitude': '-73.90844276478124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58957369,2023-09-29T22:22:16.000,2023-09-30T12:00:25.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,11379,79-41 67 DRIVE,67 DRIVE,79 STREET,80 STREET,79 STREET,80 STREET,ADDRESS,MIDDLE VILLAGE,67 DRIVE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-30T12:00:28.000,05 QUEENS,4037810047,QUEENS,1019589,198657,ONLINE,Unspecified,QUEENS,40.71187374807854,-73.8725288443217,"{'latitude': '40.71187374807854', 'longitude': '-73.8725288443217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59443428,2023-09-29T22:21:40.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,11105,21-47 33 STREET,33 STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ADDRESS,ASTORIA,33 STREET,Closed,,2023-10-01T00:00:00.000,01 QUEENS,4008307501,QUEENS,1009608,222123,MOBILE,Unspecified,QUEENS,40.776316248692595,-73.90844276478124,"{'latitude': '40.776316248692595', 'longitude': '-73.90844276478124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58963807,2023-09-29T22:21:30.000,2023-09-29T22:53:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11216,23 SAINT ANDREWS PLACE,SAINT ANDREWS PLACE,HERKIMER STREET,ATLANTIC AVENUE,HERKIMER STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,ST ANDREWS PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T22:53:18.000,03 BROOKLYN,3018700001,BROOKLYN,1000021,186509,MOBILE,Unspecified,BROOKLYN,40.67858683303328,-73.9431409040204,"{'latitude': '40.67858683303328', 'longitude': '-73.9431409040204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958050,2023-09-29T22:21:29.000,2023-09-29T23:08:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,65-22 MYRTLE AVENUE,MYRTLE AVENUE,65 STREET,65 PLACE,65 STREET,65 PLACE,ADDRESS,RIDGEWOOD,MYRTLE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:08:04.000,05 QUEENS,4036000018,QUEENS,1014873,194762,ONLINE,Unspecified,QUEENS,40.7012004804121,-73.88955760206612,"{'latitude': '40.7012004804121', 'longitude': '-73.88955760206612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956194,2023-09-29T22:21:24.000,2023-09-29T22:25:05.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10025,601 WEST  115 STREET,WEST  115 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  115 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T22:25:08.000,09 MANHATTAN,1018960065,MANHATTAN,994058,233445,ONLINE,Unspecified,MANHATTAN,40.80742301620198,-73.96457082955617,"{'latitude': '40.80742301620198', 'longitude': '-73.96457082955617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966992,2023-09-29T22:21:23.000,2023-09-29T22:45:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11693,109 BEACH   90 STREET,BEACH   90 STREET,SHORE FRONT PARKWAY,HOLLAND AVENUE,SHORE FRONT PARKWAY,HOLLAND AVENUE,ADDRESS,FAR ROCKAWAY,BEACH   90 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:45:55.000,14 QUEENS,4161360037,QUEENS,1036356,152423,MOBILE,Unspecified,QUEENS,40.58488889188778,-73.81240597291139,"{'latitude': '40.58488889188778', 'longitude': '-73.81240597291139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58965731,2023-09-29T22:21:19.000,2023-09-29T23:10:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,89-43 98 STREET,98 STREET,89 AVENUE,91 AVENUE,89 AVENUE,91 AVENUE,ADDRESS,WOODHAVEN,98 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:10:49.000,09 QUEENS,4092910080,QUEENS,1026820,191523,ONLINE,Unspecified,QUEENS,40.692260783750385,-73.8464910795824,"{'latitude': '40.692260783750385', 'longitude': '-73.8464910795824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58959251,2023-09-29T22:21:15.000,2023-09-29T22:22:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11370,32-04 76 STREET,76 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,76 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-29T22:22:24.000,03 QUEENS,4011710007,QUEENS,1014364,215047,MOBILE,Unspecified,QUEENS,40.756879552605135,-73.89130253742029,"{'latitude': '40.756879552605135', 'longitude': '-73.89130253742029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958823,2023-09-29T22:21:11.000,2023-09-29T22:52:11.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10009,424 EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   14 STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-29T22:52:14.000,03 MANHATTAN,1004410019,MANHATTAN,989410,205553,ONLINE,Unspecified,MANHATTAN,40.730870673147855,-73.98138208638649,"{'latitude': '40.730870673147855', 'longitude': '-73.98138208638649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960898,2023-09-29T22:21:07.000,2023-09-29T22:33:48.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,133-14 SANFORD AVENUE,SANFORD AVENUE,FRAME PLACE,MAIN STREET,FRAME PLACE,MAIN STREET,ADDRESS,FLUSHING,SANFORD AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T22:33:53.000,07 QUEENS,4051210016,QUEENS,1031226,214710,MOBILE,Unspecified,QUEENS,40.755881066411746,-73.83044107922618,"{'latitude': '40.755881066411746', 'longitude': '-73.83044107922618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956590,2023-09-29T22:20:56.000,2023-10-02T10:14:46.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11226,55 LENOX ROAD,LENOX ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-02T00:00:00.000,14 BROOKLYN,3050640092,BROOKLYN,995989,177437,PHONE,Unspecified,BROOKLYN,40.653692477421174,-73.95769324445949,"{'latitude': '40.653692477421174', 'longitude': '-73.95769324445949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59439216,2023-09-29T22:20:54.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10458,2300 GRAND CONCOURSE,GRAND CONCOURSE,EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,,2023-10-12T00:00:00.000,05 BRONX,2031590001,BRONX,1011958,251743,PHONE,Unspecified,BRONX,40.85760772449226,-73.89983560670379,"{'latitude': '40.85760772449226', 'longitude': '-73.89983560670379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956466,2023-09-29T22:20:48.000,2023-09-29T22:43:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,799 EAST   34 STREET,EAST   34 STREET,BROOKLYN ROAD,FARRAGUT ROAD,BROOKLYN ROAD,FARRAGUT ROAD,ADDRESS,BROOKLYN,EAST   34 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-29T22:43:27.000,17 BROOKLYN,3049980009,BROOKLYN,999743,171308,ONLINE,Unspecified,BROOKLYN,40.63686392543146,-73.9441780998021,"{'latitude': '40.63686392543146', 'longitude': '-73.9441780998021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58968106,2023-09-29T22:20:45.000,2023-11-21T09:41:43.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10010,201 EAST   25 STREET,EAST   25 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   25 STREET,Closed,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.,2023-11-21T09:41:47.000,06 MANHATTAN,1009060001,MANHATTAN,989274,208872,ONLINE,Unspecified,MANHATTAN,40.7399805875413,-73.98187031257461,"{'latitude': '40.7399805875413', 'longitude': '-73.98187031257461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","201 EAST   25 STREET, MANHATTAN (NEW YORK), NY, 10010",,,,,,,
58967625,2023-09-29T22:20:32.000,2023-10-04T15:43:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966105,2023-09-29T22:20:32.000,2023-10-04T15:43:37.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58961380,2023-09-29T22:20:32.000,2023-10-04T15:43:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958182,2023-09-29T22:20:32.000,2023-10-04T15:43:36.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58964329,2023-09-29T22:20:32.000,2023-10-04T15:43:37.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58962855,2023-09-29T22:20:32.000,2023-10-04T15:43:37.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956634,2023-09-29T22:20:32.000,2023-10-02T21:48:52.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956719,2023-09-29T22:20:32.000,2023-10-04T15:43:37.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,02 BRONX,2027400039,BRONX,1015150,236821,ONLINE,Unspecified,BRONX,40.816640597943895,-73.88836528707218,"{'latitude': '40.816640597943895', 'longitude': '-73.88836528707218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58959534,2023-09-29T22:20:31.000,2023-09-29T22:35:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,225 WEST   12 STREET,WEST   12 STREET,7 AVENUE,GREENWICH AVENUE,7 AVENUE,GREENWICH AVENUE,ADDRESS,NEW YORK,WEST   12 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:35:13.000,02 MANHATTAN,1006170021,MANHATTAN,983840,207993,ONLINE,Unspecified,MANHATTAN,40.73756936798383,-74.00147947906008,"{'latitude': '40.73756936798383', 'longitude': '-74.00147947906008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
