unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_pick_up_location
58845545,2023-09-18T03:39:00.000,2023-09-19T04:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,10003,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-19T04:45:00.000,03 MANHATTAN,,MANHATTAN,987427,204289,UNKNOWN,Unspecified,MANHATTAN,40.727402236493,-73.98853759055801,"{'latitude': '40.727402236493', 'longitude': '-73.98853759055801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,2 AVENUE,EAST 6 STREET,,N/A,,,,,,
58846931,2023-09-18T03:36:53.000,2023-09-18T04:33:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,45-16 83 STREET,83 STREET,ADDRESS,ELMHURST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T04:33:44.000,04 QUEENS,4015367503,QUEENS,1017054,209366,ONLINE,Unspecified,QUEENS,40.741277082204356,-73.88162061782997,"{'latitude': '40.741277082204356', 'longitude': '-73.88162061782997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45 AVENUE,WHITNEY AVENUE,45 AVENUE,WHITNEY AVENUE,83 STREET,,,,,,,
58850784,2023-09-18T03:36:39.000,2023-09-18T04:09:17.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11415,84 DRIVE,84 DRIVE,INTERSECTION,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T04:09:24.000,09 QUEENS,,QUEENS,1032215,197048,ONLINE,Unspecified,QUEENS,40.707397993928176,-73.82699721900683,"{'latitude': '40.707397993928176', 'longitude': '-73.82699721900683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",84 DRIVE,125 STREET,84 DRIVE,125 STREET,,,,,,,,
58848199,2023-09-18T03:36:34.000,2023-09-18T04:02:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,FREDRICK DOUGLAS BOULEVARD,FREDRICK DOUGLAS BOULEVARD,INTERSECTION,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T04:02:24.000,10 MANHATTAN,,MANHATTAN,996089,231418,ONLINE,Unspecified,MANHATTAN,40.80185697136951,-73.95723787920869,"{'latitude': '40.80185697136951', 'longitude': '-73.95723787920869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FREDRICK DOUGLAS BOULEVARD,WEST  112 STREET,FREDRICK DOUGLAS BOULEVARD,WEST  112 STREET,,,,,,,,
58853292,2023-09-18T03:35:05.000,2023-09-18T03:51:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11415,84-49 125 STREET,125 STREET,ADDRESS,KEW GARDENS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:52:03.000,09 QUEENS,4092470001,QUEENS,1032227,196975,MOBILE,Unspecified,QUEENS,40.707197561508046,-73.82695445700506,"{'latitude': '40.707197561508046', 'longitude': '-73.82695445700506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",84 DRIVE,AUSTIN STREET,84 DRIVE,AUSTIN STREET,125 STREET,,,,,,,
58854080,2023-09-18T03:35:00.000,2023-09-19T05:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,10475,3200 PEARTREE AVENUE,PEARTREE AVENUE,ADDRESS,BRONX,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T05:00:00.000,10 BRONX,2051410445,BRONX,1033137,260205,ONLINE,Unspecified,BRONX,40.880741411731684,-73.82321196826578,"{'latitude': '40.880741411731684', 'longitude': '-73.82321196826578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CO-OP CITY BLVD,CONNER ST,,,,N/A,,,,,,
58853170,2023-09-18T03:34:54.000,2023-09-21T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11215,217 11 STREET,11 STREET,ADDRESS,BROOKLYN,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-09-21T00:00:00.000,06 BROOKLYN,3010150058,BROOKLYN,986836,183236,UNKNOWN,Unspecified,BROOKLYN,40.66961685524044,-73.99067796349745,"{'latitude': '40.66961685524044', 'longitude': '-73.99067796349745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,,,,
58848191,2023-09-18T03:34:02.000,2023-09-18T04:34:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11377,72-10 41 AVENUE,41 AVENUE,ADDRESS,WOODSIDE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T04:34:24.000,04 QUEENS,4013120010,QUEENS,1013908,210718,ONLINE,Unspecified,QUEENS,40.74499909172425,-73.89296757512533,"{'latitude': '40.74499909172425', 'longitude': '-73.89296757512533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",72 STREET,73 STREET,72 STREET,73 STREET,41 AVENUE,,,,,,,
58853285,2023-09-18T03:33:50.000,2023-09-18T03:39:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1695 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-18T03:39:43.000,05 BRONX,2028220012,BRONX,1008936,247293,ONLINE,Unspecified,BRONX,40.84540276794456,-73.91077651116483,"{'latitude': '40.84540276794456', 'longitude': '-73.91077651116483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CROSS BRONX EXPRESSWAY,CLIFFORD PLACE,CROSS BRONX EXPRESSWAY,CLIFFORD PLACE,GRAND CONCOURSE,,,,,,,
58853305,2023-09-18T03:33:03.000,2023-09-18T03:52:19.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11415,125 STREET,125 STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:52:28.000,09 QUEENS,,QUEENS,1032239,196852,ONLINE,Unspecified,QUEENS,40.70685989114127,-73.82691205160646,"{'latitude': '40.70685989114127', 'longitude': '-73.82691205160646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",125 STREET,AUSTIN STREET,125 STREET,AUSTIN STREET,,,,,,,,
58850704,2023-09-18T03:32:52.000,2023-09-18T03:55:47.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11377,55-05 WOODSIDE AVENUE,WOODSIDE AVENUE,ADDRESS,WOODSIDE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:55:54.000,02 QUEENS,4012260001,QUEENS,1009545,211323,ONLINE,Unspecified,QUEENS,40.74667322018189,-73.90871086930225,"{'latitude': '40.74667322018189', 'longitude': '-73.90871086930225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",55 STREET,56 STREET,55 STREET,56 STREET,WOODSIDE AVENUE,,,,,,,
58849148,2023-09-18T03:32:36.000,2023-09-18T05:32:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,550 EAST    4 STREET,EAST    4 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T05:32:55.000,12 BROOKLYN,3053720039,BROOKLYN,991015,172059,ONLINE,Unspecified,BROOKLYN,40.638936226331154,-73.97562467812924,"{'latitude': '40.638936226331154', 'longitude': '-73.97562467812924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE C,CORTELYOU ROAD,AVENUE C,CORTELYOU ROAD,EAST    4 STREET,,,,,,,
58845332,2023-09-18T03:29:32.000,2023-09-18T06:04:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11434,155-25 116 AVENUE,116 AVENUE,ADDRESS,JAMAICA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T06:04:31.000,12 QUEENS,4121930086,QUEENS,1042773,188585,MOBILE,Unspecified,QUEENS,40.68410555900526,-73.78898971232968,"{'latitude': '40.68410555900526', 'longitude': '-73.78898971232968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",155 STREET,BARRON STREET,155 STREET,BARRON STREET,116 AVENUE,,,,,,,
58853003,2023-09-18T03:27:39.000,2023-09-18T05:27:35.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11421,85 STREET,85 STREET,INTERSECTION,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T05:27:45.000,09 QUEENS,,QUEENS,1023399,191374,ONLINE,Unspecified,QUEENS,40.69186760765792,-73.85882816977646,"{'latitude': '40.69186760765792', 'longitude': '-73.85882816977646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",85 STREET,87 AVENUE,85 STREET,87 AVENUE,,,,,,,,
58850717,2023-09-18T03:27:28.000,2023-09-18T10:03:09.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,900 DUMONT AVENUE,DUMONT AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T10:03:18.000,05 BROOKLYN,3040770028,BROOKLYN,1016034,182531,PHONE,Unspecified,BROOKLYN,40.667625112842636,-73.88542813436366,"{'latitude': '40.667625112842636', 'longitude': '-73.88542813436366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARBEY STREET,JEROME STREET,BARBEY STREET,JEROME STREET,DUMONT AVENUE,,,,,,,
58852652,2023-09-18T03:26:20.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T04:17:21.000,Unspecified BROOKLYN,,BROOKLYN,1000926,197130,MOBILE,Unspecified,BROOKLYN,40.70773735576328,-73.93985182081995,"{'latitude': '40.70773735576328', 'longitude': '-73.93985182081995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,L,Mezzanine,,,
58845327,2023-09-18T03:25:53.000,2023-09-18T03:29:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,901 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T03:29:34.000,14 BROOKLYN,3054250053,BROOKLYN,992954,169912,MOBILE,Unspecified,BROOKLYN,40.633041475465006,-73.96864093674586,"{'latitude': '40.633041475465006', 'longitude': '-73.96864093674586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    8 STREET,CONEY ISLAND AVENUE,EAST    8 STREET,CONEY ISLAND AVENUE,NEWKIRK AVENUE,,,,,,,
58846932,2023-09-18T03:24:22.000,2023-09-18T04:00:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11217,185 NEVINS STREET,NEVINS STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T04:00:19.000,06 BROOKLYN,3003940001,BROOKLYN,988462,188064,ONLINE,Unspecified,BROOKLYN,40.682868001833405,-73.9848135266054,"{'latitude': '40.682868001833405', 'longitude': '-73.9848135266054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WARREN STREET,BALTIC STREET,WARREN STREET,BALTIC STREET,NEVINS STREET,,,,,,,
58851983,2023-09-18T03:24:14.000,2023-09-18T03:51:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11214,2451 85 STREET,85 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:51:43.000,11 BROOKLYN,,BROOKLYN,987681,157576,ONLINE,Unspecified,BROOKLYN,40.5991853224946,-73.98764494626306,"{'latitude': '40.5991853224946', 'longitude': '-73.98764494626306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24 AVENUE,25 AVENUE,24 AVENUE,25 AVENUE,85 STREET,,,,,,,
58847909,2023-09-18T03:24:03.000,2023-09-18T05:15:24.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11421,85 STREET,85 STREET,INTERSECTION,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T05:15:30.000,09 QUEENS,,QUEENS,1023465,191134,ONLINE,Unspecified,QUEENS,40.6912085716942,-73.85859157037166,"{'latitude': '40.6912085716942', 'longitude': '-73.85859157037166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",85 STREET,87 ROAD,85 STREET,87 ROAD,,,,,,,,
58851964,2023-09-18T03:23:54.000,2023-09-18T03:33:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,1120 GREENE AVENUE,GREENE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:33:43.000,04 BROOKLYN,3032950002,BROOKLYN,1005299,191902,ONLINE,Unspecified,BROOKLYN,40.693378401526594,-73.92409532114365,"{'latitude': '40.693378401526594', 'longitude': '-73.92409532114365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,GREENE AVENUE,,,,,,,
58849150,2023-09-18T03:22:21.000,2023-09-18T06:14:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1927 WEST    3 STREET,WEST    3 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T06:14:46.000,11 BROOKLYN,3070850159,BROOKLYN,991092,158061,ONLINE,Unspecified,BROOKLYN,40.60051457225173,-73.97536142190816,"{'latitude': '40.60051457225173', 'longitude': '-73.97536142190816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APPLEGATE COURT,AVENUE T,APPLEGATE COURT,AVENUE T,WEST    3 STREET,,,,,,,
58847511,2023-09-18T03:21:35.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10001,17W WEST   29 STREET,WEST   29 STREET,ADDRESS,NEW YORK,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-18T04:43:13.000,05 MANHATTAN,1008310020,MANHATTAN,987615,210968,MOBILE,Unspecified,MANHATTAN,40.745734371299584,-73.9878559580469,"{'latitude': '40.745734371299584', 'longitude': '-73.9878559580469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,BROADWAY,5 AVENUE,BROADWAY,WEST   29 STREET,,,,,,,
58848034,2023-09-18T03:20:11.000,2023-09-18T03:30:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,862 EAST  216 STREET,EAST  216 STREET,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T03:30:39.000,12 BRONX,2046740084,BRONX,1023130,259917,PHONE,Unspecified,BRONX,40.88000070075054,-73.85940146906198,"{'latitude': '40.88000070075054', 'longitude': '-73.85940146906198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARNES AVENUE,BRONXWOOD AVENUE,BARNES AVENUE,BRONXWOOD AVENUE,EAST  216 STREET,,,,,,,
58853053,2023-09-18T03:20:00.000,2023-10-05T18:04:00.000,DEP,Department of Environmental Protection,Noise,Noise:  lawn care equipment (NCL),,10026,207 WEST  115 STREET,WEST  115 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-10-05T18:04:00.000,10 MANHATTAN,1018310023,MANHATTAN,997112,231748,ONLINE,Unspecified,MANHATTAN,40.80276130087754,-73.95354220171703,"{'latitude': '40.80276130087754', 'longitude': '-73.95354220171703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,,N/A,,,,,,
58846281,2023-09-18T03:16:31.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11361,204-04 32 AVENUE,32 AVENUE,ADDRESS,BAYSIDE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-18T09:20:52.000,11 QUEENS,4060370001,QUEENS,1043621,220166,ONLINE,Unspecified,QUEENS,40.77078179451755,-73.78565354905584,"{'latitude': '40.77078179451755', 'longitude': '-73.78565354905584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",204 STREET,205 STREET,204 STREET,205 STREET,32 AVENUE,,,,,,,
58849388,2023-09-18T03:16:26.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11207,357 HINSDALE STREET,HINSDALE STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T00:00:00.000,05 BROOKLYN,3037840110,BROOKLYN,1012200,182052,UNKNOWN,Unspecified,BROOKLYN,40.66632329919811,-73.89925053678927,"{'latitude': '40.66632329919811', 'longitude': '-73.89925053678927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,,,,
58845654,2023-09-18T03:16:15.000,2023-09-18T03:32:10.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,1120 GREENE AVENUE,GREENE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:32:19.000,04 BROOKLYN,3032950002,BROOKLYN,1005299,191902,ONLINE,Unspecified,BROOKLYN,40.693378401526594,-73.92409532114365,"{'latitude': '40.693378401526594', 'longitude': '-73.92409532114365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,GREENE AVENUE,,,,,,,
58847827,2023-09-18T03:13:33.000,2023-09-18T05:03:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,88-11 85 STREET,85 STREET,ADDRESS,WOODHAVEN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T05:03:20.000,09 QUEENS,4089200042,QUEENS,1023560,190805,ONLINE,Unspecified,QUEENS,40.69030512225126,-73.85825092282,"{'latitude': '40.69030512225126', 'longitude': '-73.85825092282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",88 AVENUE,88 ROAD,88 AVENUE,88 ROAD,85 STREET,,,,,,,
58851804,2023-09-18T03:13:06.000,2023-09-18T04:26:10.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,5716 19 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T04:26:19.000,12 BROOKLYN,3054940096,BROOKLYN,988825,165971,ONLINE,Unspecified,BROOKLYN,40.62222735462015,-73.98351970729631,"{'latitude': '40.62222735462015', 'longitude': '-73.98351970729631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",55 STREET,58 STREET,55 STREET,58 STREET,19 AVENUE,,,,,,,
58845424,2023-09-18T03:12:31.000,2023-09-18T10:02:38.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11208,465 BERRIMAN STREET,BERRIMAN STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T10:02:49.000,05 BROOKLYN,,BROOKLYN,1018222,182340,PHONE,Unspecified,BROOKLYN,40.667092735588,-73.87754201764065,"{'latitude': '40.667092735588', 'longitude': '-73.87754201764065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW LOTS AVENUE,HEGEMAN AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,BERRIMAN STREET,,,,,,,
58845602,2023-09-18T03:12:25.000,2023-09-18T03:39:05.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10459,899 EAST  169 STREET,EAST  169 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T03:39:13.000,03 BRONX,2029730041,BRONX,1013138,241078,ONLINE,Unspecified,BRONX,40.82833165828024,-73.89561585412751,"{'latitude': '40.82833165828024', 'longitude': '-73.89561585412751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LYMAN PLACE,HOME STREET,LYMAN PLACE,HOME STREET,EAST  169 STREET,,,,,,,
58845689,2023-09-18T03:10:44.000,2023-09-18T03:21:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,2168 71 STREET,71 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T03:21:18.000,11 BROOKLYN,3061860034,BROOKLYN,988197,161855,MOBILE,Unspecified,BROOKLYN,40.6109300896434,-73.98578432627951,"{'latitude': '40.6109300896434', 'longitude': '-73.98578432627951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",21 AVENUE,BAY PARKWAY,21 AVENUE,BAY PARKWAY,71 STREET,,,,,,,
58850752,2023-09-18T03:10:26.000,2023-09-18T03:24:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11204,2301 62 STREET,62 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T03:24:13.000,11 BROOKLYN,3065560001,BROOKLYN,990616,162983,MOBILE,Unspecified,BROOKLYN,40.614024809418645,-73.97707089562613,"{'latitude': '40.614024809418645', 'longitude': '-73.97707089562613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,62 STREET,,,,,,,
58849175,2023-09-18T03:09:24.000,2023-09-18T04:51:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11421,85 STREET,85 STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T04:51:14.000,09 QUEENS,,QUEENS,1023600,190652,ONLINE,Unspecified,QUEENS,40.68988499527376,-73.85810757957361,"{'latitude': '40.68988499527376', 'longitude': '-73.85810757957361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",85 STREET,88 ROAD,85 STREET,88 ROAD,,,,,,,,
58846282,2023-09-18T03:08:56.000,2023-09-18T04:11:22.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11358,199-01 26 AVENUE,26 AVENUE,ADDRESS,FLUSHING,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-18T04:11:22.000,07 QUEENS,4057990001,QUEENS,1041688,221342,ONLINE,Unspecified,QUEENS,40.7740223692819,-73.79262215935991,"{'latitude': '40.7740223692819', 'longitude': '-73.79262215935991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25 AVENUE,,25 AVENUE,,26 AVENUE,,,,,,,
58846921,2023-09-18T03:08:53.000,2023-09-18T03:51:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10039,210P WEST  153 STREET,WEST  153 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T03:51:13.000,10 MANHATTAN,1020370011,MANHATTAN,1002046,240511,ONLINE,Unspecified,MANHATTAN,40.826804719288,-73.93569726672507,"{'latitude': '40.826804719288', 'longitude': '-73.93569726672507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ADAM CLAYTON POWELL JR BOULEVARD,DEAD END,ADAM CLAYTON POWELL JR BOULEVARD,DEAD END,WEST  153 STREET,,,,,,,
58850104,2023-09-18T03:08:26.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10013,75 CENTRE STREET,CENTRE STREET,ADDRESS,NEW YORK,Closed,The individual was found and outreach assistance was offered.,2023-09-18T07:16:56.000,01 MANHATTAN,1001680032,MANHATTAN,983679,199861,MOBILE,Unspecified,MANHATTAN,40.71524899740592,-74.00205975522978,"{'latitude': '40.71524899740592', 'longitude': '-74.00205975522978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WORTH STREET,HOGAN PLACE,WORTH STREET,HOGAN PLACE,CENTRE STREET,,,,,,,
58853204,2023-09-18T03:07:58.000,2023-09-18T03:08:50.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,30-09 34 STREET,34 STREET,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T03:08:58.000,01 QUEENS,4006260141,QUEENS,1006585,218101,ONLINE,Unspecified,QUEENS,40.76528506740197,-73.91937092573019,"{'latitude': '40.76528506740197', 'longitude': '-73.91937092573019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,34 STREET,,,,,,,
58845306,2023-09-18T03:07:52.000,2023-09-18T03:39:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11373,92-17 54 AVENUE,54 AVENUE,ADDRESS,ELMHURST,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T03:39:33.000,04 QUEENS,4018690051,QUEENS,1020187,208215,MOBILE,Unspecified,QUEENS,40.738105700370596,-73.87032076493618,"{'latitude': '40.738105700370596', 'longitude': '-73.87032076493618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",92 STREET,94 STREET,92 STREET,94 STREET,54 AVENUE,,,,,,,
