unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp
58803736,2023-09-13T13:37:54.000,2023-09-15T21:58:37.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11211,400 SOUTH    2 STREET,SOUTH    2 STREET,HOOPER STREET,HEWES STREET,HOOPER STREET,HEWES STREET,ADDRESS,BROOKLYN,SOUTH    2 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T21:58:40.000,01 BROOKLYN,3024250017,BROOKLYN,997699,197727,MOBILE,Unspecified,BROOKLYN,40.70938147259127,-73.95148999809369,"{'latitude': '40.70938147259127', 'longitude': '-73.95148999809369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808163,2023-09-13T13:37:50.000,2023-09-20T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11222,394 MCGUINNESS BOULEVARD,MCGUINNESS BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,01 BROOKLYN,3024890004,BROOKLYN,997395,207582,UNKNOWN,Unspecified,BROOKLYN,40.73643151575649,-73.95256726564341,"{'latitude': '40.73643151575649', 'longitude': '-73.95256726564341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58806840,2023-09-13T13:37:49.000,2023-10-06T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11229,2372 EAST   23 STREET,EAST   23 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-06T00:00:00.000,15 BROOKLYN,3074050226,BROOKLYN,998856,155611,UNKNOWN,Unspecified,BROOKLYN,40.59378042306682,-73.94740795148805,"{'latitude': '40.59378042306682', 'longitude': '-73.94740795148805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801276,2023-09-13T13:37:31.000,2023-09-15T10:23:25.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Spilled Garbage,Street,11420,116-04 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,116 STREET,115 AVENUE,116 STREET,115 AVENUE,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,Closed,This Service Request is not within the Department of Sanitationâs jurisdiction and/or was found to be unsubstantiated.,2023-09-14T09:56:28.000,10 QUEENS,4117090033,QUEENS,1033688,185810,PHONE,Unspecified,QUEENS,40.676544235174,-73.82176681028972,"{'latitude': '40.676544235174', 'longitude': '-73.82176681028972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808781,2023-09-13T13:37:29.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11222,5 COMMERCIAL STREET,COMMERCIAL STREET,DUPONT STREET,BLUE SLIP,DUPONT STREET,BLUE SLIP,ADDRESS,BROOKLYN,COMMERCIAL STREET,In Progress,,,01 BROOKLYN,3024720075,BROOKLYN,995368,207264,ONLINE,Unspecified,BROOKLYN,40.73556146470334,-73.95988206563493,"{'latitude': '40.73556146470334', 'longitude': '-73.95988206563493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806282,2023-09-13T13:37:27.000,2023-09-13T13:41:30.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10001,339 SEVENTH AVENUE,SEVENTH AVENUE,WEST 28 STREET,WEST 29 STREET,WEST   28 STREET,WEST   29 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-13T13:41:30.000,05 MANHATTAN,1008040001,MANHATTAN,986199,211705,MOBILE,Unspecified,MANHATTAN,40.74775767672096,-73.99296598616324,"{'latitude': '40.74775767672096', 'longitude': '-73.99296598616324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802496,2023-09-13T13:37:11.000,2023-09-20T11:25:18.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11206,307 HART STREET,HART STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,ADDRESS,BROOKLYN,HART STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T04:49:18.000,03 BROOKLYN,3015910058,BROOKLYN,1001284,192253,ONLINE,Unspecified,BROOKLYN,40.69435045353904,-73.93857289684728,"{'latitude': '40.69435045353904', 'longitude': '-73.93857289684728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800389,2023-09-13T13:37:00.000,2023-11-06T09:54:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11372,,,,,84 STREET,37 AVENUE,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-06T09:54:00.000,03 QUEENS,,QUEENS,1016820,212522,UNKNOWN,Unspecified,QUEENS,40.74994036838055,-73.88244976629946,"{'latitude': '40.74994036838055', 'longitude': '-73.88244976629946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806143,2023-09-13T13:36:41.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11355,146-42 58 ROAD,58 ROAD,146 STREET,148 STREET,146 STREET,148 STREET,ADDRESS,FLUSHING,58 ROAD,In Progress,,,07 QUEENS,4064150028,QUEENS,1033603,210292,ONLINE,Unspecified,QUEENS,40.743741847631675,-73.82189379232827,"{'latitude': '40.743741847631675', 'longitude': '-73.82189379232827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802298,2023-09-13T13:36:38.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Odor,Restaurant/Bar/Deli/Bakery,11230,1017 FOSTER AVENUE,FOSTER AVENUE,EAST   10 STREET,CONEY ISLAND AVENUE,EAST   10 STREET,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,FOSTER AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-13T16:37:18.000,14 BROOKLYN,3054290029,BROOKLYN,993365,169576,MOBILE,Unspecified,BROOKLYN,40.63211881331496,-73.96716062611529,"{'latitude': '40.63211881331496', 'longitude': '-73.96716062611529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810220,2023-09-13T13:36:35.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10012,238 MOTT STREET,MOTT STREET,SPRING STREET,PRINCE STREET,SPRING STREET,PRINCE STREET,ADDRESS,NEW YORK,MOTT STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-13T14:28:10.000,02 MANHATTAN,1004930013,MANHATTAN,985634,202598,ONLINE,Unspecified,MANHATTAN,40.72276131427484,-73.99500696571748,"{'latitude': '40.72276131427484', 'longitude': '-73.99500696571748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800294,2023-09-13T13:36:00.000,2023-09-13T13:47:53.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,41-51 150 STREET,150 STREET,BARCLAY AVENUE,SANFORD AVENUE,BARCLAY AVENUE,SANFORD AVENUE,ADDRESS,FLUSHING,150 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T13:47:58.000,07 QUEENS,4050590010,QUEENS,1035943,216767,MOBILE,Unspecified,QUEENS,40.761500673291984,-73.81339939623913,"{'latitude': '40.761500673291984', 'longitude': '-73.81339939623913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807469,2023-09-13T13:35:50.000,2023-09-21T15:41:59.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11212,250 LIVONIA AVENUE,LIVONIA AVENUE,ROCKAWAY AVENUE,WATKINS STREET,ROCKAWAY AVENUE,WATKINS STREET,ADDRESS,BROOKLYN,LIVONIA AVENUE,Closed,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-21T15:42:03.000,16 BROOKLYN,3035900016,BROOKLYN,1009607,180690,PHONE,Unspecified,BROOKLYN,40.66259271927265,-73.90860246282445,"{'latitude': '40.66259271927265', 'longitude': '-73.90860246282445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808363,2023-09-13T13:35:46.000,2023-09-15T11:14:58.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10039,700 ESPLANADE GDNS PLAZA,ESPLANADE GDNS PLAZA,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-09-15T00:00:00.000,10 MANHATTAN,1017440001,MANHATTAN,1001924,238226,PHONE,Unspecified,MANHATTAN,40.820533288941945,-73.93614411094367,"{'latitude': '40.820533288941945', 'longitude': '-73.93614411094367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809841,2023-09-13T13:35:39.000,2023-10-16T11:45:55.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10039,210 WEST  150 STREET,WEST  150 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-16T00:00:00.000,10 MANHATTAN,1020350001,MANHATTAN,1001574,239877,PHONE,Unspecified,MANHATTAN,40.8250655085719,-73.9374043925822,"{'latitude': '40.8250655085719', 'longitude': '-73.9374043925822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808663,2023-09-13T13:35:29.000,2023-10-16T13:01:48.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Roots Damaged,Street,11372,37-36 88 STREET,88 STREET,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,88 STREET,Closed,"NYC Parks created a work order for the tree condition. Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-16T13:01:55.000,03 QUEENS,4014750021,QUEENS,1017891,212353,PHONE,Unspecified,QUEENS,40.7494724967911,-73.87858520976798,"{'latitude': '40.7494724967911', 'longitude': '-73.87858520976798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802934,2023-09-13T13:35:19.000,2023-09-13T13:47:16.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,146-35 BEECH AVENUE,BEECH AVENUE,PARSONS BOULEVARD,147 STREET,PARSONS BOULEVARD,147 STREET,ADDRESS,FLUSHING,BEECH AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T13:47:20.000,07 QUEENS,4053750052,QUEENS,1034741,215425,PHONE,Unspecified,QUEENS,40.75782418127855,-73.81774842377591,"{'latitude': '40.75782418127855', 'longitude': '-73.81774842377591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807011,2023-09-13T13:35:12.000,2023-09-16T11:39:39.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11212,367 BRISTOL STREET,BRISTOL STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-16T00:00:00.000,16 BROOKLYN,3035747501,BROOKLYN,1008991,180659,PHONE,Unspecified,BROOKLYN,40.662509373878,-73.91082290404144,"{'latitude': '40.662509373878', 'longitude': '-73.91082290404144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807041,2023-09-13T13:35:12.000,2023-11-15T20:44:40.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,11212,367 BRISTOL STREET,BRISTOL STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-15T00:00:00.000,16 BROOKLYN,3035747501,BROOKLYN,1008991,180659,PHONE,Unspecified,BROOKLYN,40.662509373878,-73.91082290404144,"{'latitude': '40.662509373878', 'longitude': '-73.91082290404144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802695,2023-09-13T13:35:00.000,2023-09-13T15:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11356,117-15 15 AVENUE,15 AVENUE,117 ST,118 ST,,,ADDRESS,COLLEGE POINT,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-13T15:30:00.000,07 QUEENS,4040690001,QUEENS,1025765,224966,PHONE,Unspecified,QUEENS,40.78405840204843,-73.85008905443893,"{'latitude': '40.78405840204843', 'longitude': '-73.85008905443893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801651,2023-09-13T13:34:50.000,2023-09-13T19:19:23.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11369,98-11 23 AVENUE,23 AVENUE,98 STREET,99 STREET,98 STREET,99 STREET,ADDRESS,EAST ELMHURST,23 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T19:19:26.000,03 QUEENS,4010750040,QUEENS,1019628,219308,PHONE,Unspecified,QUEENS,40.76855539281046,-73.87227955812004,"{'latitude': '40.76855539281046', 'longitude': '-73.87227955812004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802717,2023-09-13T13:34:15.000,2023-09-13T14:49:18.000,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,Street,11418,117-48 PARK LANE SOUTH,PARK LANE SOUTH,METROPOLITAN AVENUE,ABINGDON ROAD,METROPOLITAN AVENUE,ABINGDON ROAD,ADDRESS,RICHMOND HILL,PARK LANE SOUTH,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-13T14:49:21.000,09 QUEENS,4033230048,QUEENS,1029785,197672,ONLINE,Unspecified,QUEENS,40.70912356226259,-73.83575763464879,"{'latitude': '40.70912356226259', 'longitude': '-73.83575763464879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804797,2023-09-13T13:34:10.000,2023-11-08T14:36:32.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11432,182-50 80 DRIVE,80 DRIVE,KENT STREET,CHEVY CHASE STREET,KENT STREET,CHEVY CHASE STREET,ADDRESS,JAMAICA,80 DRIVE,Closed,NYC Parks performed the work necessary to correct the condition.,2023-11-08T14:36:35.000,08 QUEENS,4072500035,QUEENS,1043867,203906,ONLINE,Unspecified,QUEENS,40.72615066757043,-73.78490956418993,"{'latitude': '40.72615066757043', 'longitude': '-73.78490956418993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806470,2023-09-13T13:34:10.000,2023-09-14T15:22:26.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Spilled Garbage,Street,11218,1446 38 STREET,38 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,38 STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-14T11:36:35.000,12 BROOKLYN,3053470024,BROOKLYN,989119,172159,PHONE,Unspecified,BROOKLYN,40.63921195014633,-73.98245618154475,"{'latitude': '40.63921195014633', 'longitude': '-73.98245618154475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806824,2023-09-13T13:34:01.000,2023-09-13T20:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11209,82 STREET,82 STREET,3 AVENUE,4 AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and did not find the reported problem.,2023-09-13T20:55:00.000,10 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,
58800903,2023-09-13T13:33:51.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2832 BROWN STREET,BROWN STREET,GUNNISON COURT,EMMONS AVENUE,GUNNISON COURT,EMMONS AVENUE,ADDRESS,BROOKLYN,BROWN STREET,In Progress,,,15 BROOKLYN,3087970064,BROOKLYN,1001776,152191,UNKNOWN,Unspecified,BROOKLYN,40.5843879156468,-73.93690273621031,"{'latitude': '40.5843879156468', 'longitude': '-73.93690273621031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810009,2023-09-13T13:33:51.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2825 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087970094,BROOKLYN,1001549,152372,UNKNOWN,Unspecified,BROOKLYN,40.58488517047378,-73.93771952008132,"{'latitude': '40.58488517047378', 'longitude': '-73.93771952008132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808672,2023-09-13T13:33:50.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2845 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087970059,BROOKLYN,1001622,152260,UNKNOWN,Unspecified,BROOKLYN,40.584577610035794,-73.93745699085072,"{'latitude': '40.584577610035794', 'longitude': '-73.93745699085072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803493,2023-09-13T13:33:49.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2819 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087970095,BROOKLYN,1001527,152405,UNKNOWN,Unspecified,BROOKLYN,40.58497579180102,-73.93779864087986,"{'latitude': '40.58497579180102', 'longitude': '-73.93779864087986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804821,2023-09-13T13:33:48.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2841 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087970157,BROOKLYN,1001608,152282,UNKNOWN,Unspecified,BROOKLYN,40.584638023076934,-73.93750733739795,"{'latitude': '40.584638023076934', 'longitude': '-73.93750733739795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803490,2023-09-13T13:33:48.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2837 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087970156,BROOKLYN,1001593,152305,UNKNOWN,Unspecified,BROOKLYN,40.584701182852875,-73.93756128169461,"{'latitude': '40.584701182852875', 'longitude': '-73.93756128169461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803478,2023-09-13T13:33:47.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2829 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087977501,BROOKLYN,1001564,152349,UNKNOWN,Unspecified,BROOKLYN,40.584822010773195,-73.93766557548639,"{'latitude': '40.584822010773195', 'longitude': '-73.93766557548639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807711,2023-09-13T13:33:26.000,2023-09-14T15:10:46.000,DSNY,Department of Sanitation,Dead Animal,Opossum,Street,11236,105-60 FLATLANDS    4 STREET,FLATLANDS    4 STREET,EAST  105 STREET,EAST  108 STREET,EAST  105 STREET,EAST  108 STREET,ADDRESS,BROOKLYN,FLATLANDS    4 STREET,Closed,The Department of Sanitation removed the items.,2023-09-14T06:20:51.000,18 BROOKLYN,,BROOKLYN,1015207,173941,PHONE,Unspecified,BROOKLYN,40.6440503930799,-73.88844865191876,"{'latitude': '40.6440503930799', 'longitude': '-73.88844865191876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802176,2023-09-13T13:33:24.000,2023-09-13T13:46:39.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11435,111-04 142 STREET,142 STREET,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,JAMAICA,142 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-13T13:46:43.000,12 QUEENS,4119570001,QUEENS,1039046,189110,PHONE,Unspecified,QUEENS,40.68557041790058,-73.80242345151315,"{'latitude': '40.68557041790058', 'longitude': '-73.80242345151315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808649,2023-09-13T13:33:22.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11223,2156 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,OCEAN PARKWAY,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T11:13:49.000,15 BROOKLYN,3071320029,BROOKLYN,993897,156659,ONLINE,Unspecified,BROOKLYN,40.59666375664892,-73.96526240015233,"{'latitude': '40.59666375664892', 'longitude': '-73.96526240015233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800168,2023-09-13T13:33:16.000,2023-09-13T14:38:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,29-18 41 AVENUE,41 AVENUE,29 STREET,QUEENS PLAZA NORTH,29 STREET,QUEENS PLAZA NORTH,ADDRESS,LONG ISLAND CITY,41 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T14:38:40.000,01 QUEENS,,QUEENS,1001809,212897,MOBILE,Unspecified,QUEENS,40.75101219713488,-73.93662581135781,"{'latitude': '40.75101219713488', 'longitude': '-73.93662581135781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801158,2023-09-13T13:33:15.000,2023-09-14T13:26:19.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11102,12 STREET,12 STREET,12 STREET,30 AVENUE,12 STREET,30 AVENUE,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T13:26:22.000,01 QUEENS,,QUEENS,1003285,220368,ONLINE,Unspecified,QUEENS,40.771515112948535,-73.93127745922204,"{'latitude': '40.771515112948535', 'longitude': '-73.93127745922204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808444,2023-09-13T13:33:06.000,2023-09-15T11:14:58.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10039,700 ESPLANADE GDNS PLAZA,ESPLANADE GDNS PLAZA,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-09-15T00:00:00.000,10 MANHATTAN,1017440001,MANHATTAN,1001924,238226,PHONE,Unspecified,MANHATTAN,40.820533288941945,-73.93614411094367,"{'latitude': '40.820533288941945', 'longitude': '-73.93614411094367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805031,2023-09-13T13:33:04.000,2023-09-13T14:00:15.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-13T14:00:20.000,Unspecified MANHATTAN,,MANHATTAN,987963,208829,ONLINE,Unspecified,MANHATTAN,40.73986321079606,-73.98660123196585,"{'latitude': '40.73986321079606', 'longitude': '-73.98660123196585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,6,6 Downtown,Platform,,
58805545,2023-09-13T13:32:56.000,2023-09-13T19:30:46.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,104 BAY   22 STREET,BAY   22 STREET,86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,ADDRESS,BROOKLYN,BAY   22 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T19:30:57.000,11 BROOKLYN,3063720001,BROOKLYN,983824,159237,MOBILE,Unspecified,BROOKLYN,40.60374508417319,-74.00153413358606,"{'latitude': '40.60374508417319', 'longitude': '-74.00153413358606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
