unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58895062,2023-09-22T23:08:57.000,2023-09-22T23:21:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,LA SALLE STREET,TIEMANN PLACE,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:21:38.000,09 MANHATTAN,1019930086,MANHATTAN,995559,236037,ONLINE,Unspecified,MANHATTAN,40.81453554135292,-73.95914444206745,"{'latitude': '40.81453554135292', 'longitude': '-73.95914444206745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901691,2023-09-22T23:08:52.000,2023-09-23T00:21:55.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10306,131 MILL ROAD,MILL ROAD,INA STREET,EBBITTS STREET,INA STREET,EBBITTS STREET,ADDRESS,STATEN ISLAND,MILL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:21:59.000,02 STATEN ISLAND,,STATEN ISLAND,953918,145340,MOBILE,Unspecified,STATEN ISLAND,40.56554871022018,-74.1091707636511,"{'latitude': '40.56554871022018', 'longitude': '-74.1091707636511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897656,2023-09-22T23:08:42.000,2023-09-23T00:17:11.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11221,1122 BUSHWICK AVENUE,BUSHWICK AVENUE,WOODBINE STREET,MADISON STREET,WOODBINE STREET,MADISON STREET,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:17:14.000,04 BROOKLYN,3033570042,BROOKLYN,1006846,190565,MOBILE,Unspecified,BROOKLYN,40.689704832006264,-73.91852118096368,"{'latitude': '40.689704832006264', 'longitude': '-73.91852118096368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58898793,2023-09-22T23:08:33.000,2023-09-23T00:14:19.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11373,81-19 KNEELAND AVENUE,KNEELAND AVENUE,MANILLA STREET,CODWISE PLACE,MANILLA STREET,CODWISE PLACE,ADDRESS,ELMHURST,KNEELAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:14:21.000,04 QUEENS,4024720071,QUEENS,1016519,206815,ONLINE,Unspecified,QUEENS,40.7342771932217,-73.88356349983603,"{'latitude': '40.7342771932217', 'longitude': '-73.88356349983603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893617,2023-09-22T23:08:21.000,2023-09-23T00:17:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11375,108-75 62 DRIVE,62 DRIVE,108 STREET,110 STREET,108 STREET,110 STREET,ADDRESS,FOREST HILLS,62 DRIVE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-23T00:17:41.000,06 QUEENS,4021597501,QUEENS,1026050,207543,ONLINE,Unspecified,QUEENS,40.73623546260958,-73.84916825065385,"{'latitude': '40.73623546260958', 'longitude': '-73.84916825065385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899713,2023-09-22T23:08:12.000,2023-09-23T10:57:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11420,109-60 134 STREET,134 STREET,109 AVENUE,111 AVENUE,109 AVENUE,111 AVENUE,ADDRESS,SOUTH OZONE PARK,134 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T10:58:04.000,10 QUEENS,,QUEENS,1036994,189233,PHONE,Unspecified,QUEENS,40.68592048974828,-73.80982130934846,"{'latitude': '40.68592048974828', 'longitude': '-73.80982130934846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894721,2023-09-22T23:08:09.000,2023-09-22T23:20:27.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10012,199 PRINCE STREET,PRINCE STREET,SULLIVAN STREET,MAC DOUGAL STREET,SULLIVAN STREET,MAC DOUGAL STREET,ADDRESS,NEW YORK,PRINCE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:20:30.000,02 MANHATTAN,1005187502,MANHATTAN,983484,204037,ONLINE,Unspecified,MANHATTAN,40.72671109521736,-74.00276364952728,"{'latitude': '40.72671109521736', 'longitude': '-74.00276364952728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892314,2023-09-22T23:08:07.000,2023-09-22T23:32:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,167 ELDRIDGE STREET,ELDRIDGE STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,ELDRIDGE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:32:23.000,03 MANHATTAN,1004200068,MANHATTAN,986753,201636,ONLINE,Unspecified,MANHATTAN,40.720120610686095,-73.99097032540028,"{'latitude': '40.720120610686095', 'longitude': '-73.99097032540028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899270,2023-09-22T23:08:05.000,2023-09-22T23:09:03.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11211,224 SOUTH    3 STREET,SOUTH    3 STREET,ROEBLING STREET,HAVEMEYER STREET,ROEBLING STREET,HAVEMEYER STREET,ADDRESS,BROOKLYN,SOUTH    3 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T23:09:08.000,01 BROOKLYN,3024330015,BROOKLYN,995679,198365,PHONE,Unspecified,BROOKLYN,40.71113547081354,-73.958774972642,"{'latitude': '40.71113547081354', 'longitude': '-73.958774972642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892802,2023-09-22T23:07:54.000,2023-09-23T03:32:16.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11427,82-76 COUNTRY POINTE CIRCLE,COUNTRY POINTE CIRCLE,BEND,BEND,BEND,BEND,ADDRESS,QUEENS VILLAGE,COUNTRY POINTE CIRCLE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T03:32:21.000,13 QUEENS,4078800108,QUEENS,1058094,207105,ONLINE,Unspecified,QUEENS,40.734823773786694,-73.73354556462291,"{'latitude': '40.734823773786694', 'longitude': '-73.73354556462291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897794,2023-09-22T23:07:52.000,2023-09-22T23:34:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1398 GRAND CONCOURSE,GRAND CONCOURSE,ELLIOT PLACE,EAST  170 STREET,ELLIOT PLACE,EAST  170 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:34:23.000,04 BRONX,2028310048,BRONX,1008079,244798,ONLINE,Unspecified,BRONX,40.83855707927812,-73.91388286014495,"{'latitude': '40.83855707927812', 'longitude': '-73.91388286014495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58895961,2023-09-22T23:07:35.000,2023-09-22T23:41:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11205,93 ST EDWARDS STREET,ST EDWARDS STREET,MONUMENT WALK,AUBURN PLACE,MONUMENT WALK,AUBURN PLACE,ADDRESS,BROOKLYN,ST EDWARDS STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T23:41:13.000,02 BROOKLYN,3020390001,BROOKLYN,990352,192303,PHONE,Unspecified,BROOKLYN,40.694501981434954,-73.97799524430377,"{'latitude': '40.694501981434954', 'longitude': '-73.97799524430377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893578,2023-09-22T23:07:34.000,2023-09-22T23:24:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,349 VERNON AVENUE,VERNON AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,ADDRESS,BROOKLYN,VERNON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:24:08.000,03 BROOKLYN,3015860067,BROOKLYN,1001762,192872,MOBILE,Unspecified,BROOKLYN,40.69604853155396,-73.93684755001826,"{'latitude': '40.69604853155396', 'longitude': '-73.93684755001826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58898403,2023-09-22T23:07:33.000,2023-09-23T08:30:47.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10019,151 WEST   55 STREET,WEST   55 STREET,6 1/2 AVENUE,7 AVENUE,6 1/2 AVENUE,7 AVENUE,ADDRESS,NEW YORK,WEST   55 STREET,Closed,"Due to technical issues or other circumstances, the Department of Homeless Services has determined that this request should now be administratively closed.",2023-09-23T08:30:47.000,05 MANHATTAN,1010080001,MANHATTAN,989725,217593,MOBILE,Unspecified,MANHATTAN,40.763917256867465,-73.98023572611463,"{'latitude': '40.763917256867465', 'longitude': '-73.98023572611463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899556,2023-09-22T23:07:31.000,,TLC,Taxi and Limousine Commission,Taxi Report,Driver Report - Passenger,,10012,GREAT JONES STREET,GREAT JONES STREET,GREAT JONES STREET,LAFAYETTE STREET,GREAT JONES STREET,LAFAYETTE STREET,INTERSECTION,,,In Progress,,,02 MANHATTAN,,MANHATTAN,986013,204248,PHONE,Unspecified,MANHATTAN,40.727290096318995,-73.99363922134073,"{'latitude': '40.727290096318995', 'longitude': '-73.99363922134073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"GREAT JONES STREET AND LAFAYETTE STREET, MANHATTAN, NY, 1001",,,,
58902754,2023-09-22T23:07:23.000,2023-09-22T23:13:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10001,19 WEST   27 STREET,WEST   27 STREET,5 AVENUE,BROADWAY,5 AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST   27 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T23:13:53.000,05 MANHATTAN,1008290030,MANHATTAN,987404,210495,MOBILE,Unspecified,MANHATTAN,40.74443618251942,-73.98861766360756,"{'latitude': '40.74443618251942', 'longitude': '-73.98861766360756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900586,2023-09-22T23:07:23.000,2023-09-23T01:55:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,722 CENTRAL AVENUE,CENTRAL AVENUE,14 STREET/CANARSIE LINE,PILLING STREET,14 STREET/CANARSIE LINE,PILLING STREET,ADDRESS,BROOKLYN,CENTRAL AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T01:55:23.000,04 BROOKLYN,3034520041,BROOKLYN,1010517,189503,MOBILE,Unspecified,BROOKLYN,40.68677975394621,-73.90528808796765,"{'latitude': '40.68677975394621', 'longitude': '-73.90528808796765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893635,2023-09-22T23:07:16.000,2023-09-22T23:58:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11354,150-21 41 AVENUE,41 AVENUE,150 STREET,MURRAY STREET,150 STREET,MURRAY STREET,ADDRESS,FLUSHING,41 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:58:34.000,07 QUEENS,4050340007,QUEENS,1035942,217293,PHONE,Unspecified,QUEENS,40.76294441057803,-73.81339896127794,"{'latitude': '40.76294441057803', 'longitude': '-73.81339896127794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900692,2023-09-22T23:07:02.000,2023-09-23T00:54:10.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11207,722 CENTRAL AVENUE,CENTRAL AVENUE,14 STREET/CANARSIE LINE,PILLING STREET,14 STREET/CANARSIE LINE,PILLING STREET,ADDRESS,BROOKLYN,CENTRAL AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-23T00:54:15.000,04 BROOKLYN,3034520041,BROOKLYN,1010517,189503,MOBILE,Unspecified,BROOKLYN,40.68677975394621,-73.90528808796765,"{'latitude': '40.68677975394621', 'longitude': '-73.90528808796765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897966,2023-09-22T23:06:58.000,2023-10-04T09:26:48.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10466,655 EAST  234 STREET,EAST  234 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,12 BRONX,2049950022,BRONX,1023366,265264,ONLINE,Unspecified,BRONX,40.8946754733025,-73.8585168127549,"{'latitude': '40.8946754733025', 'longitude': '-73.8585168127549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894948,2023-09-22T23:06:58.000,2023-09-23T00:33:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,90-40 148 STREET,148 STREET,LOWE COURT,JAMAICA AVENUE,LOWE COURT,JAMAICA AVENUE,ADDRESS,JAMAICA,148 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T00:33:11.000,12 QUEENS,4096770184,QUEENS,1037750,195209,PHONE,Unspecified,QUEENS,40.702318648450884,-73.80704795064551,"{'latitude': '40.702318648450884', 'longitude': '-73.80704795064551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893504,2023-09-22T23:06:54.000,2023-09-23T01:01:50.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,557 DRIGGS AVENUE,DRIGGS AVENUE,NORTH    7 STREET,NORTH    6 STREET,NORTH    7 STREET,NORTH    6 STREET,ADDRESS,BROOKLYN,DRIGGS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T01:01:55.000,01 BROOKLYN,3023290008,BROOKLYN,996283,200457,ONLINE,Unspecified,BROOKLYN,40.71687670994935,-73.95659257271318,"{'latitude': '40.71687670994935', 'longitude': '-73.95659257271318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897680,2023-09-22T23:06:44.000,2023-09-23T00:01:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10459,830 FOX STREET,FOX STREET,LONGWOOD AVENUE,INTERVALE AVENUE,LONGWOOD AVENUE,INTERVALE AVENUE,ADDRESS,BRONX,FOX STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:01:40.000,02 BRONX,2027210010,BRONX,1012972,237159,ONLINE,Unspecified,BRONX,40.81757566236204,-73.89623245441182,"{'latitude': '40.81757566236204', 'longitude': '-73.89623245441182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58902003,2023-09-22T23:06:42.000,2023-09-22T23:35:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,SEAMAN AVENUE,SEAMAN AVENUE,DYCKMAN STREET,CUMMINGS STREET,DYCKMAN STREET,CUMMINGS STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:35:28.000,Unspecified MANHATTAN,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,
58902528,2023-09-22T23:05:58.000,2023-09-23T04:32:31.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10455,778 UNION AVENUE,UNION AVENUE,EAST  156 STREET,WESTCHESTER AVENUE,EAST  156 STREET,WESTCHESTER AVENUE,ADDRESS,BRONX,UNION AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T04:32:34.000,01 BRONX,2026760038,BRONX,1010956,237429,ONLINE,Unspecified,BRONX,40.81832306080062,-73.90351482807529,"{'latitude': '40.81832306080062', 'longitude': '-73.90351482807529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899137,2023-09-22T23:05:57.000,2023-09-22T23:15:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,8 EAST CLARKE PLACE,EAST CLARKE PLACE,JEROME AVENUE,WALTON AVENUE,JEROME AVENUE,WALTON AVENUE,ADDRESS,BRONX,EAST CLARKE PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:16:03.000,04 BRONX,2028390005,BRONX,1006768,244673,ONLINE,Unspecified,BRONX,40.83821743092777,-73.91862118336333,"{'latitude': '40.83821743092777', 'longitude': '-73.91862118336333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58902494,2023-09-22T23:05:53.000,2023-09-23T09:03:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,32 BAY   35 STREET,BAY   35 STREET,86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,ADDRESS,BROOKLYN,BAY   35 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T09:03:24.000,11 BROOKLYN,3068620056,BROOKLYN,986785,157515,MOBILE,Unspecified,BROOKLYN,40.599018191422665,-73.99087147106424,"{'latitude': '40.599018191422665', 'longitude': '-73.99087147106424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58896376,2023-09-22T23:05:47.000,2023-09-22T23:29:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,674 ACADEMY STREET,ACADEMY STREET,BROADWAY,COOPER STREET,BROADWAY,COOPER STREET,ADDRESS,NEW YORK,ACADEMY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:29:13.000,12 MANHATTAN,1022370047,MANHATTAN,1004908,255083,MOBILE,Unspecified,MANHATTAN,40.866794324578265,-73.92531104058831,"{'latitude': '40.866794324578265', 'longitude': '-73.92531104058831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901043,2023-09-22T23:05:46.000,2023-09-22T23:05:46.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Facility,Animal Waste,Petting Zoo/Animal Exhibit,10024,303 WEST   91 STREET,WEST   91 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   91 STREET,Closed,An inspection of the property was conducted and no violations were found.,2023-09-22T23:05:46.000,07 MANHATTAN,1012510053,MANHATTAN,990954,227892,ONLINE,Unspecified,MANHATTAN,40.792184448176485,-73.9757888673748,"{'latitude': '40.792184448176485', 'longitude': '-73.9757888673748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899005,2023-09-22T23:05:37.000,2023-09-22T23:23:33.000,NYPD,New York City Police Department,Illegal Fireworks,N/A,Park/Playground,11209,63 85 STREET,85 STREET,NARROWS AVENUE,COLONIAL ROAD,NARROWS AVENUE,COLONIAL ROAD,ADDRESS,BROOKLYN,85 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T23:23:38.000,10 BROOKLYN,,BROOKLYN,973839,167326,ONLINE,Unspecified,BROOKLYN,40.625941609752964,-74.03750511036061,"{'latitude': '40.625941609752964', 'longitude': '-74.03750511036061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900602,2023-09-22T23:05:19.000,2023-09-22T23:20:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,530 WEST  147 STREET,WEST  147 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  147 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:20:38.000,09 MANHATTAN,1020780051,MANHATTAN,998734,240559,MOBILE,Unspecified,MANHATTAN,40.8269425177046,-73.94766449262218,"{'latitude': '40.8269425177046', 'longitude': '-73.94766449262218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897737,2023-09-22T23:05:17.000,2023-09-22T23:17:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,400 OCEAN AVENUE,OCEAN AVENUE,WOODRUFF AVENUE,CROOKE AVENUE,WOODRUFF AVENUE,CROOKE AVENUE,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:17:40.000,14 BROOKLYN,3050590042,BROOKLYN,994898,177286,ONLINE,Unspecified,BROOKLYN,40.653279394479526,-73.9616253905267,"{'latitude': '40.653279394479526', 'longitude': '-73.9616253905267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892286,2023-09-22T23:05:08.000,2023-09-22T23:15:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11432,183-12 HILLSIDE AVENUE,HILLSIDE AVENUE,183 STREET,184 STREET,183 STREET,184 STREET,ADDRESS,JAMAICA,HILLSIDE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:15:38.000,12 QUEENS,4099300031,QUEENS,1045610,199443,ONLINE,Unspecified,QUEENS,40.713888927933944,-73.77866175752419,"{'latitude': '40.713888927933944', 'longitude': '-73.77866175752419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893215,2023-09-22T23:05:01.000,2023-09-22T23:29:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10001,311 11 AVENUE,11 AVENUE,WEST   29 STREET,WEST   30 STREET,WEST   29 STREET,WEST   30 STREET,ADDRESS,NEW YORK,11 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T23:29:08.000,04 MANHATTAN,1006750012,MANHATTAN,983137,213619,MOBILE,Unspecified,MANHATTAN,40.753011268221584,-74.0040171753845,"{'latitude': '40.753011268221584', 'longitude': '-74.0040171753845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892351,2023-09-22T23:05:01.000,2023-09-22T23:50:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11105,20-30 STEINWAY STREET,STEINWAY STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,STEINWAY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:50:20.000,01 QUEENS,4008090045,QUEENS,1011258,221933,ONLINE,Unspecified,QUEENS,40.775789861408725,-73.90248606662297,"{'latitude': '40.775789861408725', 'longitude': '-73.90248606662297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901994,2023-09-22T23:04:53.000,2023-09-22T23:20:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11421,74-32 PARK LN SOUTH,PARK LN SOUTH,DEAD END,76 STREET,DEAD END,76 STREET,ADDRESS,WOODHAVEN,PARK LANE SOUTH,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T23:20:08.000,09 QUEENS,4088390003,QUEENS,1020818,192431,MOBILE,Unspecified,QUEENS,40.69477986547842,-73.86812953858906,"{'latitude': '40.69477986547842', 'longitude': '-73.86812953858906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894724,2023-09-22T23:04:50.000,2023-09-22T23:13:04.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10016,686 SECOND AVENUE,SECOND AVENUE,EAST   37 STREET,EAST   38 STREET,EAST   37 STREET,EAST   38 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T23:13:08.000,06 MANHATTAN,1009430001,MANHATTAN,991349,211366,MOBILE,Unspecified,MANHATTAN,40.74682457222308,-73.97437980221159,"{'latitude': '40.74682457222308', 'longitude': '-73.97437980221159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58895483,2023-09-22T23:04:47.000,2023-09-23T10:58:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11420,109-60 134 STREET,134 STREET,109 AVENUE,111 AVENUE,109 AVENUE,111 AVENUE,ADDRESS,SOUTH OZONE PARK,134 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T10:58:34.000,10 QUEENS,,QUEENS,1036994,189233,PHONE,Unspecified,QUEENS,40.68592048974828,-73.80982130934846,"{'latitude': '40.68592048974828', 'longitude': '-73.80982130934846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901899,2023-09-22T23:04:42.000,2023-09-22T23:14:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,21 MESEROLE STREET,MESEROLE STREET,SOUTH    4 STREET,LORIMER STREET,SOUTH    4 STREET,LORIMER STREET,ADDRESS,BROOKLYN,MESEROLE STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-22T23:14:43.000,01 BROOKLYN,3030400044,BROOKLYN,998246,197039,ONLINE,Unspecified,BROOKLYN,40.707492227382765,-73.94951842164868,"{'latitude': '40.707492227382765', 'longitude': '-73.94951842164868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
