unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58916094,2023-09-24T17:06:26.000,2023-09-24T17:51:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,413 GRAND STREET,GRAND STREET,CLINTON STREET,ATTORNEY STREET,CLINTON STREET,ATTORNEY STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:51:13.000,03 MANHATTAN,1003150001,MANHATTAN,988038,200072,ONLINE,Unspecified,MANHATTAN,40.71582734941432,-73.98633551568459,"{'latitude': '40.71582734941432', 'longitude': '-73.98633551568459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914618,2023-09-24T17:06:23.000,2023-09-24T17:17:22.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T17:17:28.000,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,"{'latitude': '40.72238703289527', 'longitude': '-73.8095260418184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915183,2023-09-24T17:06:17.000,2023-09-24T17:51:18.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11233,320 KINGSBOROUGH    3 WALK,KINGSBOROUGH    3 WALK,PACIFIC STREET,BERGEN STREET,PACIFIC STREET,BERGEN STREET,ADDRESS,BROOKLYN,KINGSBOROUGH    3 WALK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T17:51:23.000,08 BROOKLYN,3013440001,BROOKLYN,1004842,185506,ONLINE,Unspecified,BROOKLYN,40.675823923542566,-73.9257628522692,"{'latitude': '40.675823923542566', 'longitude': '-73.9257628522692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912978,2023-09-24T17:06:15.000,2023-09-24T17:17:52.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T17:17:58.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911508,2023-09-24T17:05:46.000,2023-09-24T19:01:25.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11220,4802 5 AVENUE,5 AVENUE,48 STREET,49 STREET,48 STREET,49 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,N/A,2023-09-24T19:01:30.000,07 BROOKLYN,3007740038,BROOKLYN,981681,174682,PHONE,Unspecified,BROOKLYN,40.646138008756274,-74.0092574959699,"{'latitude': '40.646138008756274', 'longitude': '-74.0092574959699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913040,2023-09-24T17:05:41.000,2023-09-24T17:05:41.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11209,7401 SHORE ROAD,SHORE ROAD,74 STREET,BAY RIDGE PARKWAY,74 STREET,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,SHORE ROAD,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-24T17:05:41.000,10 BROOKLYN,3059250053,BROOKLYN,974054,170348,MOBILE,Unspecified,BROOKLYN,40.63423661115997,-74.03673514908485,"{'latitude': '40.63423661115997', 'longitude': '-74.03673514908485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914906,2023-09-24T17:05:07.000,2023-09-24T17:34:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10305,300 ST MARYS AVENUE,ST MARYS AVENUE,FLETCHER STREET,REYNOLDS STREET,FLETCHER STREET,REYNOLDS STREET,ADDRESS,STATEN ISLAND,ST MARYS AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T17:34:13.000,01 STATEN ISLAND,5029880034,STATEN ISLAND,963019,162159,ONLINE,Unspecified,STATEN ISLAND,40.61173995092477,-74.07646735931692,"{'latitude': '40.61173995092477', 'longitude': '-74.07646735931692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910491,2023-09-24T17:05:00.000,2023-09-25T10:00:00.000,DEP,Department of Environmental Protection,Water System,LOW WATER PRESSURE - WLWP,,11228,7611 10 AVENUE,10 AVENUE,76 ST,77 ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-09-25T10:00:00.000,10 BROOKLYN,3059550006,BROOKLYN,980147,166457,PHONE,Unspecified,BROOKLYN,40.623561554194765,-74.01478032624117,"{'latitude': '40.623561554194765', 'longitude': '-74.01478032624117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913117,2023-09-24T17:04:23.000,2023-09-25T08:00:27.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11237,101 WYCKOFF AVENUE,WYCKOFF AVENUE,HART STREET,DEKALB AVENUE,HART STREET,DEKALB AVENUE,ADDRESS,BROOKLYN,WYCKOFF AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-24T19:01:59.000,04 BROOKLYN,3032387501,BROOKLYN,1006475,196028,MOBILE,Unspecified,BROOKLYN,40.70470042890971,-73.91984094121717,"{'latitude': '40.70470042890971', 'longitude': '-73.91984094121717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911306,2023-09-24T17:04:12.000,2023-09-24T17:39:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,1850 GRAND CONCOURSE,GRAND CONCOURSE,EAST  176 STREET,MOUNT HOPE PLACE,EAST  176 STREET,MOUNT HOPE PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T17:39:53.000,05 BRONX,2028010007,BRONX,1009943,248309,ONLINE,Unspecified,BRONX,40.84818851466732,-73.90713298480225,"{'latitude': '40.84818851466732', 'longitude': '-73.90713298480225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911975,2023-09-24T17:04:00.000,2023-09-24T17:20:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T17:20:56.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916103,2023-09-24T17:03:37.000,2023-09-24T17:10:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,237 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:10:08.000,12 MANHATTAN,1022370008,MANHATTAN,1004199,254815,MOBILE,Unspecified,MANHATTAN,40.86606037701009,-73.9278752253558,"{'latitude': '40.86606037701009', 'longitude': '-73.9278752253558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914434,2023-09-24T17:03:13.000,2023-09-24T17:09:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,237 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:09:43.000,12 MANHATTAN,1022370008,MANHATTAN,1004199,254815,MOBILE,Unspecified,MANHATTAN,40.86606037701009,-73.9278752253558,"{'latitude': '40.86606037701009', 'longitude': '-73.9278752253558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911437,2023-09-24T17:03:07.000,2023-09-24T17:26:58.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11237,101 WYCKOFF AVENUE,WYCKOFF AVENUE,HART STREET,DEKALB AVENUE,HART STREET,DEKALB AVENUE,ADDRESS,BROOKLYN,WYCKOFF AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-24T17:27:03.000,04 BROOKLYN,3032387501,BROOKLYN,1006475,196028,MOBILE,Unspecified,BROOKLYN,40.70470042890971,-73.91984094121717,"{'latitude': '40.70470042890971', 'longitude': '-73.91984094121717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910450,2023-09-24T17:02:55.000,2023-10-20T17:56:42.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,10458,373 EAST  188 STREET,EAST  188 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,05 BRONX,2030260059,BRONX,1013693,252636,PHONE,Unspecified,BRONX,40.86005312394812,-73.89355966675613,"{'latitude': '40.86005312394812', 'longitude': '-73.89355966675613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912056,2023-09-24T17:02:55.000,2023-10-20T17:56:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10458,373 EAST  188 STREET,EAST  188 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,05 BRONX,2030260059,BRONX,1013693,252636,PHONE,Unspecified,BRONX,40.86005312394812,-73.89355966675613,"{'latitude': '40.86005312394812', 'longitude': '-73.89355966675613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911243,2023-09-24T17:02:55.000,2023-10-20T17:56:42.000,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,10458,373 EAST  188 STREET,EAST  188 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,05 BRONX,2030260059,BRONX,1013693,252636,PHONE,Unspecified,BRONX,40.86005312394812,-73.89355966675613,"{'latitude': '40.86005312394812', 'longitude': '-73.89355966675613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914487,2023-09-24T17:02:55.000,2023-10-20T17:56:42.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10458,373 EAST  188 STREET,EAST  188 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,05 BRONX,2030260059,BRONX,1013693,252636,PHONE,Unspecified,BRONX,40.86005312394812,-73.89355966675613,"{'latitude': '40.86005312394812', 'longitude': '-73.89355966675613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916242,2023-09-24T17:02:55.000,2023-10-20T17:56:42.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10458,373 EAST  188 STREET,EAST  188 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,05 BRONX,2030260059,BRONX,1013693,252636,PHONE,Unspecified,BRONX,40.86005312394812,-73.89355966675613,"{'latitude': '40.86005312394812', 'longitude': '-73.89355966675613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914694,2023-09-24T17:02:53.000,2023-09-26T14:35:00.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Passenger,Street,11422,154-68 BROOKVILLE BOULEVARD,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD,BROAD STREET,ROCKAWAY BOULEVARD,BROAD STREET,ADDRESS,ROSEDALE,BROOKVILLE BOULEVARD,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-26T14:35:02.000,13 QUEENS,4142600001,QUEENS,1055433,172690,ONLINE,Unspecified,QUEENS,40.6403847253126,-73.7435109151948,"{'latitude': '40.6403847253126', 'longitude': '-73.7435109151948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","154-68 BROOKVILLE BOULEVARD, QUEENS (ROSEDALE), NY, 11422",,MANHATTAN,,,,,
58911278,2023-09-24T17:02:41.000,2023-10-10T02:01:46.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11205,266 WASHINGTON AVENUE,WASHINGTON AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,02 BROOKLYN,3019170045,BROOKLYN,993579,190923,PHONE,Unspecified,BROOKLYN,40.69071138727672,-73.96636009530222,"{'latitude': '40.69071138727672', 'longitude': '-73.96636009530222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911141,2023-09-24T17:02:33.000,2023-09-24T17:09:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,231 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:09:56.000,12 MANHATTAN,1022370008,MANHATTAN,1004245,254764,MOBILE,Unspecified,MANHATTAN,40.865920293467006,-73.92770906652555,"{'latitude': '40.865920293467006', 'longitude': '-73.92770906652555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911931,2023-09-24T17:02:26.000,2023-09-24T17:10:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,237 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:10:08.000,12 MANHATTAN,1022370008,MANHATTAN,1004199,254815,MOBILE,Unspecified,MANHATTAN,40.86606037701009,-73.9278752253558,"{'latitude': '40.86606037701009', 'longitude': '-73.9278752253558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914526,2023-09-24T17:02:10.000,2023-09-25T16:39:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11216,210 KOSCIUSZKO STREET,KOSCIUSZKO STREET,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,03 BROOKLYN,3017850020,BROOKLYN,999081,191094,ONLINE,Unspecified,BROOKLYN,40.69117323306988,-73.94651978764028,"{'latitude': '40.69117323306988', 'longitude': '-73.94651978764028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915339,2023-09-24T17:02:06.000,,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10009,328 EAST    4 STREET,EAST    4 STREET,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,03 MANHATTAN,1003730017,MANHATTAN,990052,202251,PHONE,Unspecified,MANHATTAN,40.7218070887566,-73.97906851850864,"{'latitude': '40.7218070887566', 'longitude': '-73.97906851850864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910417,2023-09-24T17:02:02.000,2023-09-26T09:44:32.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11377,37-26 65 STREET,65 STREET,,,,,ADDRESS,WOODSIDE,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-26T00:00:00.000,02 QUEENS,4012190032,QUEENS,1012439,211719,MOBILE,Unspecified,QUEENS,40.74775138833414,-73.89826483238068,"{'latitude': '40.74775138833414', 'longitude': '-73.89826483238068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909963,2023-09-24T17:02:00.000,2023-10-01T15:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10465,3170 MIDDLETOWN ROAD,MIDDLETOWN ROAD,BRUCKNER BLVD,MC DONOUGH PL,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-01T15:45:00.000,10 BRONX,2054110176,BRONX,1032608,247534,ONLINE,Unspecified,BRONX,40.845966331713555,-73.82521639211903,"{'latitude': '40.845966331713555', 'longitude': '-73.82521639211903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58915353,2023-09-24T17:02:00.000,2023-09-26T09:44:32.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11377,37-26 65 STREET,65 STREET,,,,,ADDRESS,WOODSIDE,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-26T00:00:00.000,02 QUEENS,4012190032,QUEENS,1012439,211719,MOBILE,Unspecified,QUEENS,40.74775138833414,-73.89826483238068,"{'latitude': '40.74775138833414', 'longitude': '-73.89826483238068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915081,2023-09-24T17:01:12.000,2023-09-25T01:27:53.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Street/Sidewalk,10466,4168 WHITE PLAINS ROAD,WHITE PLAINS ROAD,EAST  231 STREET,EAST  232 STREET,EAST  231 STREET,EAST  232 STREET,ADDRESS,BRONX,WHITE PLAINS ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T01:27:57.000,12 BRONX,2048450042,BRONX,1023563,264506,ONLINE,Unspecified,BRONX,40.89259413118851,-73.85780871233345,"{'latitude': '40.89259413118851', 'longitude': '-73.85780871233345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914613,2023-09-24T17:01:12.000,2023-09-25T10:29:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11225,MAPLE STREET,MAPLE STREET,BROOKLYN AVENUE,NEW YORK AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-25T10:29:00.000,09 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,N/A,,,,,,
58910078,2023-09-24T17:01:01.000,2023-09-24T19:48:58.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11230,1558 EAST   19 STREET,EAST   19 STREET,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,EAST   19 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T19:49:01.000,14 BROOKLYN,3067650028,BROOKLYN,996729,162290,PHONE,Unspecified,BROOKLYN,40.61211616686902,-73.95505433209236,"{'latitude': '40.61211616686902', 'longitude': '-73.95505433209236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910125,2023-09-24T17:00:53.000,2023-09-24T18:37:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11435,147-25 94 AVENUE,94 AVENUE,SUTPHIN BOULEVARD,148 STREET,SUTPHIN BOULEVARD,148 STREET,ADDRESS,JAMAICA,94 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T18:37:54.000,12 QUEENS,4099987502,QUEENS,1037925,194081,PHONE,Unspecified,QUEENS,40.69922150012847,-73.80642579116335,"{'latitude': '40.69922150012847', 'longitude': '-73.80642579116335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915477,2023-09-24T17:00:51.000,2023-09-27T09:00:19.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11217,654 SACKETT STREET,SACKETT STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,SACKETT STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-27T09:00:24.000,06 BROOKLYN,3004340032,BROOKLYN,988864,186412,MOBILE,Unspecified,BROOKLYN,40.67833343649417,-73.98336523649888,"{'latitude': '40.67833343649417', 'longitude': '-73.98336523649888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915598,2023-09-24T17:00:47.000,2023-09-25T08:00:31.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10169,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,EAST   45 STREET,EAST   46 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-25T00:55:36.000,05 MANHATTAN,1013000001,MANHATTAN,990913,214165,MOBILE,Unspecified,MANHATTAN,40.75450745921105,-73.97595054706579,"{'latitude': '40.75450745921105', 'longitude': '-73.97595054706579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913669,2023-09-24T17:00:35.000,2023-09-24T17:10:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,237 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,BROADWAY,SEAMAN AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:10:03.000,12 MANHATTAN,1022370008,MANHATTAN,1004199,254815,MOBILE,Unspecified,MANHATTAN,40.86606037701009,-73.9278752253558,"{'latitude': '40.86606037701009', 'longitude': '-73.9278752253558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913341,2023-09-24T17:00:34.000,2023-09-24T20:07:41.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11419,104-36 125 STREET,125 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,125 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T20:07:46.000,10 QUEENS,4095780024,QUEENS,1034404,189887,MOBILE,Unspecified,QUEENS,40.687730621094104,-73.81915515958578,"{'latitude': '40.687730621094104', 'longitude': '-73.81915515958578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915786,2023-09-24T17:00:32.000,2023-09-24T17:02:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:02:31.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910842,2023-09-24T17:00:27.000,2023-09-24T17:21:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11411,114-52 211 STREET,211 STREET,MURDOCK AVENUE,115 AVENUE,MURDOCK AVENUE,115 AVENUE,ADDRESS,CAMBRIA HEIGHTS,211 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T17:21:31.000,13 QUEENS,4110290168,QUEENS,1055324,195023,MOBILE,Unspecified,QUEENS,40.701684421927496,-73.74366818745862,"{'latitude': '40.701684421927496', 'longitude': '-73.74366818745862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910621,2023-09-24T17:00:23.000,2023-09-24T18:14:07.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11234,AVENUE U,AVENUE U,AVENUE U,EAST   54 STREET,AVENUE U,EAST   54 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T18:14:12.000,18 BROOKLYN,,BROOKLYN,1006349,161949,MOBILE,Unspecified,BROOKLYN,40.611161422088095,-73.9204070676407,"{'latitude': '40.611161422088095', 'longitude': '-73.9204070676407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
