unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,road_ramp
58918499,2023-09-25T07:38:55.000,2023-11-08T10:43:06.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11378,56-17 58 STREET,58 STREET,ADDRESS,MASPETH,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-11-08T10:43:10.000,02 QUEENS,4026630001,QUEENS,1008517,203288,MOBILE,Unspecified,QUEENS,40.724622019777506,-73.91244988001398,"{'latitude': '40.724622019777506', 'longitude': '-73.91244988001398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",55 DRIVE,56 DRIVE,55 DRIVE,56 DRIVE,58 STREET,,,,,,,
58924248,2023-09-25T07:38:47.000,2023-09-26T16:36:14.000,DOT,Department of Transportation,Street Sign - Damaged,School Crossing,Street,11223,221 AVENUE S,AVENUE S,ADDRESS,BROOKLYN,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-09-26T16:36:18.000,11 BROOKLYN,3066760049,BROOKLYN,990600,158346,MOBILE,Unspecified,BROOKLYN,40.601297205590704,-73.97713288445841,"{'latitude': '40.601297205590704', 'longitude': '-73.97713288445841', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST    5 STREET,WEST    4 STREET,WEST    5 STREET,WEST    4 STREET,AVENUE S,,,,,,,
58918960,2023-09-25T07:38:38.000,2023-09-25T08:26:33.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11221,582 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:26:37.000,04 BROOKLYN,3033430029,BROOKLYN,1007980,193065,MOBILE,Unspecified,BROOKLYN,40.69656378273256,-73.91442329098719,"{'latitude': '40.69656378273256', 'longitude': '-73.91442329098719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GATES AVENUE,PALMETTO STREET,GATES AVENUE,PALMETTO STREET,KNICKERBOCKER AVENUE,,,,,,,
58923733,2023-09-25T07:38:37.000,2023-09-25T09:18:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11375,112-01 QUEENS BOULEVARD,QUEENS BOULEVARD,ADDRESS,FOREST HILLS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T09:18:53.000,06 QUEENS,4022647501,QUEENS,1029578,201241,ONLINE,Unspecified,QUEENS,40.71892066116946,-73.83648024042944,"{'latitude': '40.71892066116946', 'longitude': '-73.83648024042944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",112 STREET,113 STREET,112 STREET,113 STREET,QUEENS BOULEVARD,,,,,,,
58919082,2023-09-25T07:38:20.000,2023-09-26T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,11226,360 EAST   31 STREET,EAST   31 STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-26T00:00:00.000,17 BROOKLYN,3049470031,BROOKLYN,998776,173169,UNKNOWN,Unspecified,BROOKLYN,40.641973610135686,-73.94765823214108,"{'latitude': '40.641973610135686', 'longitude': '-73.94765823214108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,N/A,,
58924731,2023-09-25T07:38:20.000,2023-09-26T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11210,3103 FOSTER AVENUE,FOSTER AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T00:00:00.000,17 BROOKLYN,3049640047,BROOKLYN,998848,171965,UNKNOWN,Unspecified,BROOKLYN,40.63866877017848,-73.94740139848233,"{'latitude': '40.63866877017848', 'longitude': '-73.94740139848233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,N/A,,
58919084,2023-09-25T07:37:59.000,2023-09-25T10:42:19.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11414,156-10 79 STREET,79 STREET,ADDRESS,HOWARD BEACH,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-25T10:42:22.000,10 QUEENS,4139417501,QUEENS,1024701,180463,ONLINE,Unspecified,QUEENS,40.66191356258757,-73.85419863663098,"{'latitude': '40.66191356258757', 'longitude': '-73.85419863663098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",156 AVENUE,157 AVENUE,156 AVENUE,157 AVENUE,79 STREET,,,,,,,
58924001,2023-09-25T07:37:58.000,2023-09-25T13:04:06.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10037,60 WEST  142 STREET,WEST  142 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,10 MANHATTAN,1017370059,MANHATTAN,1001843,237298,PHONE,Unspecified,MANHATTAN,40.81798635263026,-73.93643919542686,"{'latitude': '40.81798635263026', 'longitude': '-73.93643919542686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58916625,2023-09-25T07:37:46.000,2023-09-25T12:29:19.000,NYPD,New York City Police Department,Urinating in Public,N/A,Residential Building/House,11419,103-53 120 STREET,120 STREET,ADDRESS,SOUTH RICHMOND HILL,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T12:29:25.000,10 QUEENS,4095580042,QUEENS,1033184,189765,PHONE,Unspecified,QUEENS,40.68740258890809,-73.82355509861587,"{'latitude': '40.68740258890809', 'longitude': '-73.82355509861587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",103 AVENUE,LIBERTY AVENUE,103 AVENUE,LIBERTY AVENUE,120 STREET,,,,,,,
58922322,2023-09-25T07:37:14.000,2023-09-25T08:19:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10037,11 WEST  141 STREET,WEST  141 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:19:17.000,10 MANHATTAN,1017390022,MANHATTAN,1002187,236824,PHONE,Unspecified,MANHATTAN,40.816684664252115,-73.9351976436149,"{'latitude': '40.816684664252115', 'longitude': '-73.9351976436149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,CHISUM PLACE,5 AVENUE,CHISUM PLACE,WEST  141 STREET,,,,,,,
58922379,2023-09-25T07:37:13.000,2023-09-25T12:53:59.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,61-35 DRY HARBOR ROAD,DRY HARBOR ROAD,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T12:54:03.000,05 QUEENS,4029740109,QUEENS,1019832,204190,MOBILE,Unspecified,QUEENS,40.72705951110459,-73.87162307206899,"{'latitude': '40.72705951110459', 'longitude': '-73.87162307206899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODHAVEN BOULEVARD,85 STREET,WOODHAVEN BOULEVARD,85 STREET,DRY HARBOR ROAD,,,,,,,
58923772,2023-09-25T07:37:04.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10009,212 EAST    7 STREET,EAST    7 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 MANHATTAN,1003890024,MANHATTAN,989805,203245,PHONE,Unspecified,MANHATTAN,40.724535536632715,-73.97995878317604,"{'latitude': '40.724535536632715', 'longitude': '-73.97995878317604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58925001,2023-09-25T07:37:04.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10009,212 EAST    7 STREET,EAST    7 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 MANHATTAN,1003890024,MANHATTAN,989805,203245,PHONE,Unspecified,MANHATTAN,40.724535536632715,-73.97995878317604,"{'latitude': '40.724535536632715', 'longitude': '-73.97995878317604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58918394,2023-09-25T07:37:04.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10009,212 EAST    7 STREET,EAST    7 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 MANHATTAN,1003890024,MANHATTAN,989805,203245,PHONE,Unspecified,MANHATTAN,40.724535536632715,-73.97995878317604,"{'latitude': '40.724535536632715', 'longitude': '-73.97995878317604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58918128,2023-09-25T07:37:04.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10009,212 EAST    7 STREET,EAST    7 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 MANHATTAN,1003890024,MANHATTAN,989805,203245,PHONE,Unspecified,MANHATTAN,40.724535536632715,-73.97995878317604,"{'latitude': '40.724535536632715', 'longitude': '-73.97995878317604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58919323,2023-09-25T07:37:04.000,,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10009,212 EAST    7 STREET,EAST    7 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 MANHATTAN,1003890024,MANHATTAN,989805,203245,PHONE,Unspecified,MANHATTAN,40.724535536632715,-73.97995878317604,"{'latitude': '40.724535536632715', 'longitude': '-73.97995878317604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58925374,2023-09-25T07:37:00.000,2023-09-26T11:37:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10314,21 PERSIMMON LANE,PERSIMMON LANE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the E-waste.,2023-09-26T11:37:00.000,02 STATEN ISLAND,5020000148,STATEN ISLAND,941848,155238,PHONE,Unspecified,STATEN ISLAND,40.5926672229125,-74.15267505547472,"{'latitude': '40.5926672229125', 'longitude': '-74.15267505547472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MONARCH COURT,SWEETGUM LANE,,,,,,,,,,
58924527,2023-09-25T07:36:39.000,2023-09-25T08:19:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10037,60 WEST  142 STREET,WEST  142 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:19:27.000,10 MANHATTAN,1017370059,MANHATTAN,1001843,237298,PHONE,Unspecified,MANHATTAN,40.81798635263026,-73.93643919542686,"{'latitude': '40.81798635263026', 'longitude': '-73.93643919542686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHISUM PLACE,LENOX AVENUE,CHISUM PLACE,LENOX AVENUE,WEST  142 STREET,,,,,,,
58924575,2023-09-25T07:36:21.000,2023-09-25T12:50:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,61-55 84 PLACE,84 PLACE,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T12:50:52.000,05 QUEENS,4029460002,QUEENS,1019513,204011,MOBILE,Unspecified,QUEENS,40.72656947763175,-73.87277493416825,"{'latitude': '40.72656947763175', 'longitude': '-73.87277493416825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",61 ROAD,DRY HARBOR ROAD,61 ROAD,DRY HARBOR ROAD,84 PLACE,,,,,,,
58919445,2023-09-25T07:35:43.000,2023-09-26T10:38:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11385,,,INTERSECTION,QUEENS,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-26T10:38:00.000,05 QUEENS,,QUEENS,1018789,195195,UNKNOWN,Unspecified,QUEENS,40.70237454459465,-73.87543227518914,"{'latitude': '40.70237454459465', 'longitude': '-73.87543227518914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,73 PLACE,MYRTLE AVENUE,,,,,,N/A,,
58920923,2023-09-25T07:35:21.000,2023-09-25T12:45:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11379,83-45 62 AVENUE,62 AVENUE,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T12:45:52.000,05 QUEENS,4029430001,QUEENS,1019402,203510,MOBILE,Unspecified,QUEENS,40.725194797647625,-73.87317802647337,"{'latitude': '40.725194797647625', 'longitude': '-73.87317802647337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CALDWELL AVENUE,84 STREET,CALDWELL AVENUE,84 STREET,62 AVENUE,,,,,,,
58923217,2023-09-25T07:35:20.000,2023-09-25T14:00:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10453,1473 POPHAM AVENUE,POPHAM AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T14:00:04.000,05 BRONX,2028770202,BRONX,1005779,248074,PHONE,Unspecified,BRONX,40.8475546438764,-73.92218445465508,"{'latitude': '40.8475546438764', 'longitude': '-73.92218445465508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  174 STREET,WEST  174 STREET,WEST  174 STREET,WEST  174 STREET,POPHAM AVENUE,,,,,,,
58919972,2023-09-25T07:35:18.000,2023-09-25T20:14:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11414,79-07 153 AVENUE,153 AVENUE,ADDRESS,HOWARD BEACH,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T20:14:46.000,10 QUEENS,4114260001,QUEENS,1024502,181834,ONLINE,Unspecified,QUEENS,40.665677555696206,-73.85490772474158,"{'latitude': '40.665677555696206', 'longitude': '-73.85490772474158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",79 STREET,80 STREET,79 STREET,80 STREET,153 AVENUE,,,,,,,
58921875,2023-09-25T07:35:01.000,,DPR,Department of Parks and Recreation,Damaged Tree,Tree Trunk Split,Street,11357,166-41 20 AVENUE,20 AVENUE,ADDRESS,WHITESTONE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-25T09:21:48.000,07 QUEENS,4057500062,QUEENS,1040451,223496,ONLINE,Unspecified,QUEENS,40.7799424677111,-73.79707027117423,"{'latitude': '40.7799424677111', 'longitude': '-73.79707027117423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",166 STREET,169 STREET,166 STREET,169 STREET,20 AVENUE,,,,,,,
58919867,2023-09-25T07:35:00.000,2023-10-11T08:15:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Other Animals (NR6)",,10301,120 SCRIBNER AVENUE,SCRIBNER AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-10-11T08:15:00.000,01 STATEN ISLAND,5000360021,STATEN ISLAND,960366,171715,ONLINE,Unspecified,STATEN ISLAND,40.637962401601186,-74.08605643424595,"{'latitude': '40.637962401601186', 'longitude': '-74.08605643424595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BISMARK AVE,BRIGHTON AVE,,,,,,,,N/A,,
58918970,2023-09-25T07:34:54.000,2023-09-25T15:13:02.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11418,91-58 117 STREET,117 STREET,ADDRESS,RICHMOND HILL,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T15:13:07.000,09 QUEENS,4093480034,QUEENS,1031358,192314,ONLINE,Unspecified,QUEENS,40.69440890027352,-73.83012139904504,"{'latitude': '40.69440890027352', 'longitude': '-73.83012139904504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",91 AVENUE,ATLANTIC AVENUE,91 AVENUE,ATLANTIC AVENUE,117 STREET,,,,,,,
58917948,2023-09-25T07:34:50.000,2023-09-25T10:58:36.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,72 STREET,72 STREET,INTERSECTION,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T10:58:39.000,05 QUEENS,,QUEENS,1017902,195448,PHONE,Unspecified,QUEENS,40.70307238724402,-73.87863004473417,"{'latitude': '40.70307238724402', 'longitude': '-73.87863004473417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",72 STREET,COOPER AVENUE,72 STREET,COOPER AVENUE,,,,,,,,
58920915,2023-09-25T07:34:48.000,2023-09-25T20:17:38.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10019,255 WEST   55 STREET,WEST   55 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-25T20:17:25.000,05 MANHATTAN,1010270102,MANHATTAN,988990,217999,ONLINE,Unspecified,MANHATTAN,40.765032046677405,-73.9828887258295,"{'latitude': '40.765032046677405', 'longitude': '-73.9828887258295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,WEST   55 STREET,,,,,,,
58920596,2023-09-25T07:34:46.000,2023-09-25T08:19:34.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10467,BARTHOLDI STREET,BARTHOLDI STREET,INTERSECTION,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-25T08:19:40.000,12 BRONX,,BRONX,1021282,257806,PHONE,Unspecified,BRONX,40.874214612745526,-73.86609589740142,"{'latitude': '40.874214612745526', 'longitude': '-73.86609589740142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARTHOLDI STREET,CRUGER AVENUE,BARTHOLDI STREET,CRUGER AVENUE,,,,,,,,
58924126,2023-09-25T07:34:07.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11358,43-60 170 STREET,170 STREET,ADDRESS,FLUSHING,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-28T06:18:55.000,07 QUEENS,4054270070,QUEENS,1040541,215397,ONLINE,Unspecified,QUEENS,40.75771230473646,-73.79681313413855,"{'latitude': '40.75771230473646', 'longitude': '-73.79681313413855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43 AVENUE,45 AVENUE,43 AVENUE,45 AVENUE,170 STREET,,,,,,,
58921369,2023-09-25T07:34:00.000,2023-09-25T11:35:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,INTERSECTION,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T11:35:00.000,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,BRUCKNER EXPY E S/R,WILKINSON AVE,,,,,,N/A,,
58922145,2023-09-25T07:33:30.000,2023-09-25T10:48:42.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10458,2371 ARTHUR AVENUE,ARTHUR AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T10:48:22.000,06 BRONX,2030650052,BRONX,1015227,250808,ONLINE,Unspecified,BRONX,40.85503056619202,-73.88802250780726,"{'latitude': '40.85503056619202', 'longitude': '-73.88802250780726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  186 STREET,EAST  187 STREET,EAST  186 STREET,EAST  187 STREET,ARTHUR AVENUE,,,,,,,
58919652,2023-09-25T07:33:17.000,2023-09-29T12:40:00.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10451,820 MELROSE AVENUE,MELROSE AVENUE,ADDRESS,BRONX,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-29T12:40:06.000,03 BRONX,2023810001,BRONX,1007932,239151,PHONE,Unspecified,BRONX,40.82305808709861,-73.91443404727016,"{'latitude': '40.82305808709861', 'longitude': '-73.91443404727016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  159 STREET,EAST  160 STREET,EAST  159 STREET,EAST  160 STREET,MELROSE AVENUE,,,,,,,
58920870,2023-09-25T07:33:12.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-28T00:12:53.000,Unspecified MANHATTAN,,MANHATTAN,982510,202631,MOBILE,Unspecified,MANHATTAN,40.72285182843143,-74.0062773782181,"{'latitude': '40.72285182843143', 'longitude': '-74.0062773782181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,1,1 Downtown,Platform,,,,
58920657,2023-09-25T07:32:53.000,2023-09-26T12:20:14.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10314,39 ESSEX DRIVE,ESSEX DRIVE,ADDRESS,STATEN ISLAND,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-26T12:20:17.000,02 STATEN ISLAND,5024510061,STATEN ISLAND,940493,151462,MOBILE,Unspecified,STATEN ISLAND,40.582296286484684,-74.15752948493677,"{'latitude': '40.582296286484684', 'longitude': '-74.15752948493677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERCURY LANE,MARISA COURT,MERCURY LANE,MARISA COURT,ESSEX DRIVE,,,,,,,
58918869,2023-09-25T07:32:41.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10019,259 WEST   55 STREET,WEST   55 STREET,ADDRESS,NEW YORK,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:49:19.000,05 MANHATTAN,1010270001,MANHATTAN,988972,218008,UNKNOWN,Unspecified,MANHATTAN,40.7650567589844,-73.98295369902756,"{'latitude': '40.7650567589844', 'longitude': '-73.98295369902756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,N/A,2023-11-14T07:49:19.000,
58918870,2023-09-25T07:32:06.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10019,840 9 AVENUE,9 AVENUE,ADDRESS,NEW YORK,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:49:19.000,04 MANHATTAN,1010450061,MANHATTAN,987937,218555,UNKNOWN,Unspecified,MANHATTAN,40.76655862471769,-73.98668972282645,"{'latitude': '40.76655862471769', 'longitude': '-73.98668972282645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,N/A,2023-11-14T07:49:19.000,
58920552,2023-09-25T07:32:00.000,2023-09-27T14:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10463,3873 ORLOFF AVENUE,ORLOFF AVENUE,ADDRESS,BRONX,Closed,The Department of Environmental Protection (DEP) observed a violation of the NYC Air or Noise Code during the inspection. DEP issued a summons.,2023-09-27T14:15:00.000,08 BRONX,2032630098,BRONX,1012964,261425,ONLINE,Unspecified,BRONX,40.8841786180058,-73.8961574296168,"{'latitude': '40.8841786180058', 'longitude': '-73.8961574296168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANNON PL,BEND,,,,,,,,N/A,,
58916908,2023-09-25T07:31:58.000,2023-09-25T09:29:28.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10470,680 EAST  241 STREET,EAST  241 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T09:29:33.000,12 BRONX,2050830030,BRONX,1025447,268563,ONLINE,Unspecified,BRONX,40.90372068765619,-73.85096951619781,"{'latitude': '40.90372068765619', 'longitude': '-73.85096951619781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RICHARDSON AVENUE,CRANFORD AVENUE,RICHARDSON AVENUE,CRANFORD AVENUE,EAST  241 STREET,,,,,,,
