unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58938010,2023-09-27T08:45:27.000,2023-09-28T07:32:19.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,10308,62 WIMAN AVENUE,WIMAN AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-28T07:32:19.000,03 STATEN ISLAND,5052750031,STATEN ISLAND,943037,136843,ONLINE,Unspecified,STATEN ISLAND,40.542182204628354,-74.14828176386536,"{'latitude': '40.542182204628354', 'longitude': '-74.14828176386536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DRIGGS STREET,PRESLEY STREET,DRIGGS STREET,PRESLEY STREET,WIMAN AVENUE,,,,,,,,
58944195,2023-09-27T08:45:18.000,2023-10-23T16:35:50.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11385,77-26 74 STREET,74 STREET,ADDRESS,RIDGEWOOD,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-10-23T16:35:55.000,05 QUEENS,4038110012,QUEENS,1018710,196332,PHONE,Unspecified,QUEENS,40.705495647185394,-73.87571137644817,"{'latitude': '40.705495647185394', 'longitude': '-73.87571137644817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BIKE PATH,78 AVENUE,BIKE PATH,78 AVENUE,74 STREET,,,,,,,,
58945063,2023-09-27T08:45:12.000,2023-09-27T09:00:57.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,602 WEST  184 STREET,WEST  184 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:01:02.000,12 MANHATTAN,1021650063,MANHATTAN,1002877,249395,MOBILE,Unspecified,MANHATTAN,40.85118699615938,-73.93266992103403,"{'latitude': '40.85118699615938', 'longitude': '-73.93266992103403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,WEST  184 STREET,,,,,,,,
58945729,2023-09-27T08:45:11.000,2023-10-03T12:34:32.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11203,208 EAST   59 STREET,EAST   59 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-30T11:05:54.000,17 BROOKLYN,3047300064,BROOKLYN,1006046,175826,ONLINE,Unspecified,BROOKLYN,40.64925159180663,-73.92145355190274,"{'latitude': '40.64925159180663', 'longitude': '-73.92145355190274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SNYDER AVENUE,TILDEN AVENUE,SNYDER AVENUE,TILDEN AVENUE,EAST   59 STREET,,,,,,,,
58940708,2023-09-27T08:45:11.000,2023-09-28T12:44:07.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Gutter,10312,877 HUGUENOT AVENUE,HUGUENOT AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T12:44:11.000,03 STATEN ISLAND,5063320046,STATEN ISLAND,930813,133453,ONLINE,Unspecified,STATEN ISLAND,40.53281209270412,-74.1922360497773,"{'latitude': '40.53281209270412', 'longitude': '-74.1922360497773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND RAILWAY LINE,AMBOY ROAD,STATEN ISLAND RAILWAY LINE,AMBOY ROAD,HUGUENOT AVENUE,,,,,,,,
58940627,2023-09-27T08:45:03.000,2023-09-28T13:02:46.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,10308,62 WIMAN AVENUE,WIMAN AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-09-28T12:22:24.000,03 STATEN ISLAND,5052750031,STATEN ISLAND,943037,136843,ONLINE,Unspecified,STATEN ISLAND,40.542182204628354,-74.14828176386536,"{'latitude': '40.542182204628354', 'longitude': '-74.14828176386536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DRIGGS STREET,PRESLEY STREET,DRIGGS STREET,PRESLEY STREET,WIMAN AVENUE,,,,,,,,
58944917,2023-09-27T08:45:00.000,2023-09-25T18:30:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10018,,,INTERSECTION,MANHATTAN,Pending,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T18:30:00.000,04 MANHATTAN,,MANHATTAN,986034,215125,UNKNOWN,Unspecified,MANHATTAN,40.75714474526694,-73.99356056997792,"{'latitude': '40.75714474526694', 'longitude': '-73.99356056997792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,9 AVENUE,WEST 40 STREET,,,,,,,,,
58936847,2023-09-27T08:44:51.000,2023-09-27T12:27:50.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,10304,107 GORDON STREET,GORDON STREET,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-27T12:27:49.000,01 STATEN ISLAND,5005410032,STATEN ISLAND,961307,166716,ONLINE,Unspecified,STATEN ISLAND,40.62424369690217,-74.08264892503088,"{'latitude': '40.62424369690217', 'longitude': '-74.08264892503088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON STREET,BROAD STREET,HUDSON STREET,BROAD STREET,GORDON STREET,,,,,,,,
58941593,2023-09-27T08:44:49.000,2023-09-27T10:22:21.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T10:22:25.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,,,
58944182,2023-09-27T08:44:37.000,2023-09-27T08:44:37.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11224,100 WEST AVENUE,WEST AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-27T08:44:37.000,13 BROOKLYN,,BROOKLYN,992949,151203,PHONE,Unspecified,BROOKLYN,40.581689108733265,-73.96868304907039,"{'latitude': '40.581689108733265', 'longitude': '-73.96868304907039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE W,WEST STREET,AVENUE W,WEST STREET,,,,,,,,,
58939753,2023-09-27T08:44:37.000,2023-09-27T11:51:58.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,380 DREW STREET,DREW STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T11:52:00.000,05 BROOKLYN,3041790036,BROOKLYN,1021981,187693,MOBILE,Unspecified,BROOKLYN,40.681770277074015,-73.86396210282649,"{'latitude': '40.681770277074015', 'longitude': '-73.86396210282649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",95 AVENUE,MC KINLEY AVENUE,95 AVENUE,MC KINLEY AVENUE,DREW STREET,,,,,,,,
58941883,2023-09-27T08:44:34.000,2023-09-27T11:49:16.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11417,82-03 133 AVENUE,133 AVENUE,ADDRESS,OZONE PARK,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-27T11:49:24.000,10 QUEENS,4113450036,QUEENS,1024765,184791,MOBILE,Unspecified,QUEENS,40.67379264923622,-73.8539419449718,"{'latitude': '40.67379264923622', 'longitude': '-73.8539419449718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,83 STREET,,83 STREET,133 AVENUE,,,,,,,,
58941700,2023-09-27T08:44:32.000,2023-10-11T12:25:59.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,10019,40 WEST   57 STREET,WEST   57 STREET,ADDRESS,NEW YORK,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-10-11T12:26:04.000,05 MANHATTAN,1012720063,MANHATTAN,991078,217455,ONLINE,Unspecified,MANHATTAN,40.76353754103234,-73.97535165418176,"{'latitude': '40.76353754103234', 'longitude': '-73.97535165418176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   57 STREET,,,,,,,,
58936729,2023-09-27T08:44:08.000,2023-09-27T08:47:53.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,11224,ASSER LEVY PARK,ASSER LEVY PARK,PLACENAME,BROOKLYN,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-27T08:47:53.000,13 BROOKLYN,3086570001,BROOKLYN,992078,148780,PHONE,Asser Levy Park,BROOKLYN,40.57503926333756,-73.97182151002542,"{'latitude': '40.57503926333756', 'longitude': '-73.97182151002542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OCEAN PARKWAY,WEST 5 STREET,OCEAN PARKWAY,WEST    5 STREET,ASSER LEVY PARK,,,,,,,,
58938541,2023-09-27T08:44:00.000,2023-09-24T19:25:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10002,,,INTERSECTION,MANHATTAN,Pending,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T19:25:00.000,03 MANHATTAN,,MANHATTAN,985786,199049,UNKNOWN,Unspecified,MANHATTAN,40.71302013635152,-73.99445940763387,"{'latitude': '40.71302013635152', 'longitude': '-73.99445940763387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,MARKET STREET,HENRY STREET,,,,,,,,,
58944896,2023-09-27T08:44:00.000,2023-09-27T10:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10018,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T10:00:00.000,04 MANHATTAN,,MANHATTAN,985245,215560,UNKNOWN,Unspecified,MANHATTAN,40.75833883316321,-73.9964084373713,"{'latitude': '40.75833883316321', 'longitude': '-73.9964084373713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,10 AVENUE,WEST 40 STREET,,N/A,,,,,,,
58938224,2023-09-27T08:44:00.000,2023-10-02T04:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,10011,132 WEST   14 STREET,WEST   14 STREET,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T04:00:00.000,02 MANHATTAN,1006090020,MANHATTAN,984826,208079,PHONE,Unspecified,MANHATTAN,40.73780540744257,-73.9979215049816,"{'latitude': '40.73780540744257', 'longitude': '-73.9979215049816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,7 AVE,,,,N/A,,,,,,,
58941102,2023-09-27T08:44:00.000,2023-09-27T18:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Street Light Feed,,11217,,,INTERSECTION,BROOKLYN,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-27T18:30:00.000,02 BROOKLYN,,BROOKLYN,987617,189388,UNKNOWN,Unspecified,BROOKLYN,40.68650244118955,-73.98785953399751,"{'latitude': '40.68650244118955', 'longitude': '-73.98785953399751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,HOYT STREET,DEAN STREET,,N/A,,,,,,,
58941595,2023-09-27T08:43:48.000,2023-09-27T10:22:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,507 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T10:22:05.000,05 BROOKLYN,3044520451,BROOKLYN,1019433,177859,ONLINE,Unspecified,BROOKLYN,40.654788662239774,-73.87320014483838,"{'latitude': '40.654788662239774', 'longitude': '-73.87320014483838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,,,
58945099,2023-09-27T08:43:48.000,2023-10-30T07:51:46.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11210,777 EAST   31 STREET,EAST   31 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-30T00:00:00.000,14 BROOKLYN,3075590011,BROOKLYN,999059,169780,PHONE,Unspecified,BROOKLYN,40.6326710608679,-73.94664593188172,"{'latitude': '40.6326710608679', 'longitude': '-73.94664593188172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58940975,2023-09-27T08:43:45.000,2023-09-27T09:00:25.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10467,3265 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T09:00:29.000,07 BRONX,2033360027,BRONX,1017511,258938,PHONE,Unspecified,BRONX,40.87733661678831,-73.8797258276342,"{'latitude': '40.87733661678831', 'longitude': '-73.8797258276342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VAN CORTLANDT AVENUE EAST,EAST  208 STREET,VAN CORTLANDT AVENUE EAST,EAST  208 STREET,BAINBRIDGE AVENUE,,,,,,,,
58945814,2023-09-27T08:43:39.000,2023-09-30T14:25:42.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11217,162 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-29T03:47:49.000,06 BROOKLYN,3004130043,BROOKLYN,989326,186806,MOBILE,Unspecified,BROOKLYN,40.67941462439541,-73.98169930026191,"{'latitude': '40.67941462439541', 'longitude': '-73.98169930026191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BUTLER STREET,DOUGLASS STREET,BUTLER STREET,DOUGLASS STREET,4 AVENUE,,,,,,,,
58936241,2023-09-27T08:43:36.000,2023-10-01T09:04:23.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10031,3350 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,09 MANHATTAN,1019880134,MANHATTAN,996749,238174,PHONE,Unspecified,MANHATTAN,40.82039940200442,-73.95484139888086,"{'latitude': '40.82039940200442', 'longitude': '-73.95484139888086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58935939,2023-09-27T08:43:35.000,2023-09-27T18:10:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,72-41 GRAND AVENUE,GRAND AVENUE,ADDRESS,MASPETH,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T18:10:47.000,05 QUEENS,4025070073,QUEENS,1014570,204838,ONLINE,Unspecified,QUEENS,40.72885771321051,-73.89060499390163,"{'latitude': '40.72885771321051', 'longitude': '-73.89060499390163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",72 PLACE,73 STREET,72 PLACE,73 STREET,GRAND AVENUE,,,,,,,,
58936219,2023-09-27T08:43:23.000,2023-10-01T09:04:23.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10031,3350 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,09 MANHATTAN,1019880134,MANHATTAN,996749,238174,ONLINE,Unspecified,MANHATTAN,40.82039940200442,-73.95484139888086,"{'latitude': '40.82039940200442', 'longitude': '-73.95484139888086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58940006,2023-09-27T08:43:21.000,2023-09-27T09:01:00.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,602 WEST  184 STREET,WEST  184 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:01:05.000,12 MANHATTAN,1021650063,MANHATTAN,1002877,249395,MOBILE,Unspecified,MANHATTAN,40.85118699615938,-73.93266992103403,"{'latitude': '40.85118699615938', 'longitude': '-73.93266992103403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,WEST  184 STREET,,,,,,,,
58940162,2023-09-27T08:43:11.000,2023-10-02T11:33:53.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11224,2980 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,PHONE,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58943172,2023-09-27T08:43:05.000,2023-09-28T11:27:32.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10304,107 GORDON STREET,GORDON STREET,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-09-27T12:37:40.000,01 STATEN ISLAND,5005410032,STATEN ISLAND,961307,166716,ONLINE,Unspecified,STATEN ISLAND,40.62424369690217,-74.08264892503088,"{'latitude': '40.62424369690217', 'longitude': '-74.08264892503088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON STREET,BROAD STREET,HUDSON STREET,BROAD STREET,GORDON STREET,,,,,,,,
58942221,2023-09-27T08:43:03.000,2023-09-27T09:12:34.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11377,37 AVENUE,37 AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:12:37.000,02 QUEENS,,QUEENS,1010756,212595,ONLINE,Unspecified,QUEENS,40.75016099104143,-73.90433538539963,"{'latitude': '40.75016099104143', 'longitude': '-73.90433538539963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37 AVENUE,58 STREET,37 AVENUE,58 STREET,,,,,,,,,
58936501,2023-09-27T08:43:02.000,2023-10-05T12:06:20.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11357,160-17 14 AVENUE,14 AVENUE,ADDRESS,WHITESTONE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-05T12:06:24.000,07 QUEENS,4045830012,QUEENS,1039111,226796,ONLINE,Unspecified,QUEENS,40.78900848426457,-73.80188175701075,"{'latitude': '40.78900848426457', 'longitude': '-73.80188175701075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",160 STREET,161 STREET,160 STREET,161 STREET,14 AVENUE,,,,,,,,
58944801,2023-09-27T08:42:50.000,2023-11-16T00:00:00.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11101,37-11 10 STREET,10 STREET,ADDRESS,LONG ISLAND CITY,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-16T00:00:00.000,01 QUEENS,4003600012,QUEENS,1000372,216080,UNKNOWN,Unspecified,QUEENS,40.75975145703471,-73.94180461812519,"{'latitude': '40.75975145703471', 'longitude': '-73.94180461812519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58944086,2023-09-27T08:42:50.000,2023-09-27T08:42:50.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10468,2314 JEROME AVENUE,JEROME AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-27T00:00:00.000,05 BRONX,2031870007,BRONX,1010972,252312,UNKNOWN,Unspecified,BRONX,40.85917249736461,-73.90339772442277,"{'latitude': '40.85917249736461', 'longitude': '-73.90339772442277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58940788,2023-09-27T08:42:42.000,2023-09-27T09:07:32.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,10012,88 BLEECKER STREET,BLEECKER STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T09:07:35.000,02 MANHATTAN,1005230038,MANHATTAN,985231,204078,ONLINE,Unspecified,MANHATTAN,40.72682360900715,-73.99646064652228,"{'latitude': '40.72682360900715', 'longitude': '-73.99646064652228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,MERCER STREET,BROADWAY,MERCER STREET,BLEECKER STREET,,,,,,,,
58939682,2023-09-27T08:42:32.000,2023-09-27T09:02:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10278,26 FEDERAL PLAZA,FEDERAL PLAZA,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:02:55.000,01 MANHATTAN,1001560050,MANHATTAN,982935,200140,MOBILE,Unspecified,MANHATTAN,40.716014706345376,-74.00474362389673,"{'latitude': '40.716014706345376', 'longitude': '-74.00474362389673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THOMAS STREET,WORTH STREET,THOMAS STREET,WORTH STREET,FEDERAL PLAZA,,,,,,,,
58943107,2023-09-27T08:42:27.000,2023-09-27T08:47:38.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10013,152 READE STREET,READE STREET,ADDRESS,NEW YORK,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-27T08:47:38.000,01 MANHATTAN,1001410011,MANHATTAN,981502,200323,MOBILE,Unspecified,MANHATTAN,40.71651666846218,-74.00991298605507,"{'latitude': '40.71651666846218', 'longitude': '-74.00991298605507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON STREET,GREENWICH STREET,HUDSON STREET,GREENWICH STREET,READE STREET,,,,,,,,
58945385,2023-09-27T08:42:26.000,2023-09-27T09:24:00.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11377,51-18 71 STREET,71 STREET,ADDRESS,WOODSIDE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:24:06.000,02 QUEENS,4024590124,QUEENS,1013836,207136,PHONE,Unspecified,QUEENS,40.73516764018295,-73.89324316934679,"{'latitude': '40.73516764018295', 'longitude': '-73.89324316934679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51 AVENUE,CALAMUS AVENUE,51 AVENUE,CALAMUS AVENUE,71 STREET,,,,,,,,
58940629,2023-09-27T08:42:26.000,2023-09-30T12:37:59.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11229,2001 EAST   22 STREET,EAST   22 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-30T07:41:25.000,15 BROOKLYN,3073010059,BROOKLYN,998131,158838,PHONE,Unspecified,BROOKLYN,40.60263904939776,-73.95001183876265,"{'latitude': '40.60263904939776', 'longitude': '-73.95001183876265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE S,AVENUE T,AVENUE S,AVENUE T,EAST   22 STREET,,,,,,,,
