unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,facility_type,cross_street_1,cross_street_2,landmark,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58822268,2023-09-15T11:11:16.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T17:35:57.000,0 Unspecified,,Unspecified,1065173,204664,PHONE,Unspecified,Unspecified,40.72806192883729,-73.70803164729246,"{'latitude': '40.72806192883729', 'longitude': '-73.70803164729246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T17:35:52.000,,,,,,,,,,,,
58857373,2023-09-15T11:11:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T16:08:46.000,0 Unspecified,,Unspecified,989366,174372,ONLINE,Unspecified,Unspecified,40.64528602059712,-73.98156452125974,"{'latitude': '40.64528602059712', 'longitude': '-73.98156452125974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T16:08:42.000,,,,,,,,,,,,
58832874,2023-09-15T11:11:06.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,,,,,,Closed,The Department of Sanitation cleaned the location.,2023-09-16T13:33:43.000,0 Unspecified,,Unspecified,1012052,243242,ONLINE,Unspecified,Unspecified,40.83427469831031,-73.89953104387844,"{'latitude': '40.83427469831031', 'longitude': '-73.89953104387844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T13:33:39.000,,,,,,,,,,,,
58835210,2023-09-15T11:11:05.000,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Street,,,,,,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-19T06:19:57.000,0 Unspecified,,Unspecified,1034397,195221,PHONE,Unspecified,Unspecified,40.70237122235654,-73.81914068972621,"{'latitude': '40.70237122235654', 'longitude': '-73.81914068972621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T06:19:54.000,,,,,,,,,,,,
58823026,2023-09-15T11:11:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11215,8 WINDSOR PLACE,WINDSOR PLACE,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-15T11:45:00.000,07 BROOKLYN,3011120012,BROOKLYN,988390,180395,PHONE,Unspecified,BROOKLYN,40.661818351009714,-73.9850778347384,"{'latitude': '40.661818351009714', 'longitude': '-73.9850778347384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:45:00.000,,,,7 AVE,8 AVE,,,,,,,
58825547,2023-09-15T11:11:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,11205,966 BEDFORD AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T10:45:00.000,03 BROOKLYN,3019280056,BROOKLYN,996561,191335,PHONE,Unspecified,BROOKLYN,40.69183858650308,-73.95560640201559,"{'latitude': '40.69183858650308', 'longitude': '-73.95560640201559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:45:00.000,,,N/A,WILLOUGHBY AVE,DE KALB AVE,,,,,,,
58824105,2023-09-15T11:11:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Lamp Dim,,10466,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-19T13:04:00.000,12 BRONX,,BRONX,1027932,265756,UNKNOWN,Unspecified,BRONX,40.896004431603515,-73.8419983430241,"{'latitude': '40.896004431603515', 'longitude': '-73.8419983430241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:04:00.000,MURDOCK AVENUE,BUSSING AVENUE,,,,,,,,,,
58864627,2023-09-15T11:10:57.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,,,,ADDRESS,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-15T16:48:25.000,0 Unspecified,,Unspecified,1063539,209644,PHONE,Hillside Playground,Unspecified,40.74174552614081,-73.71386834954868,"{'latitude': '40.74174552614081', 'longitude': '-73.71386834954868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58820589,2023-09-15T11:10:56.000,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11416,97-18 93 STREET,93 STREET,ADDRESS,OZONE PARK,Closed,The Department of Buildings reviewed this complaint and referred it to the New York Police Department for further action.,2023-10-20T00:00:00.000,09 QUEENS,4090660114,QUEENS,1026303,188955,UNKNOWN,Unspecified,QUEENS,40.68521469602761,-73.84837142538211,"{'latitude': '40.68521469602761', 'longitude': '-73.84837142538211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-20T00:00:00.000,,,,,,,,,,,,
58822810,2023-09-15T11:10:54.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11217,346 BERGEN STREET,BERGEN STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-20T00:00:00.000,02 BROOKLYN,3003890028,BROOKLYN,989662,188048,UNKNOWN,Unspecified,BROOKLYN,40.682823433112475,-73.98048690898655,"{'latitude': '40.682823433112475', 'longitude': '-73.98048690898655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T00:00:00.000,,,,,,,,,,,,
58823793,2023-09-15T11:10:54.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,10025,145 WEST  108 STREET,WEST  108 STREET,ADDRESS,NEW YORK,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-18T00:00:00.000,07 MANHATTAN,1018637501,MANHATTAN,994385,231168,UNKNOWN,Unspecified,MANHATTAN,40.801172908714875,-73.963393053819,"{'latitude': '40.801172908714875', 'longitude': '-73.963393053819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T00:00:00.000,,,,,,,,,,,,
58835572,2023-09-15T11:10:46.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,,,,,,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-16T07:48:18.000,0 Unspecified,,Unspecified,1015345,235875,ONLINE,Unspecified,Unspecified,40.81404341056082,-73.88766517977618,"{'latitude': '40.81404341056082', 'longitude': '-73.88766517977618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T07:48:18.000,,,,,,,,,,,,
58863233,2023-09-15T11:10:36.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T13:44:44.000,0 Unspecified,,Unspecified,1019907,185114,MOBILE,Unspecified,Unspecified,40.67470011076682,-73.871453476818,"{'latitude': '40.67470011076682', 'longitude': '-73.871453476818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:44:40.000,,,,,,,,,,,,
58862302,2023-09-15T11:10:26.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11238,1001 FULTON STREET,FULTON STREET,ADDRESS,BROOKLYN,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-21T13:59:01.000,02 BROOKLYN,3019800061,BROOKLYN,994549,187986,MOBILE,Unspecified,BROOKLYN,40.68264892013675,-73.96286681397176,"{'latitude': '40.68264892013675', 'longitude': '-73.96286681397176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T13:58:53.000,ST JAMES PLACE,CAMBRIDGE PLACE,,ST JAMES PLACE,CAMBRIDGE PLACE,FULTON STREET,,,,,,
58852514,2023-09-15T11:10:17.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11215,95 PROSPECT PARK WEST,PROSPECT PARK WEST,ADDRESS,BROOKLYN,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-26T09:45:51.000,55 BROOKLYN,3011170001,BROOKLYN,991322,182426,MOBILE,Prospect Park,BROOKLYN,40.66739113906443,-73.97450763994523,"{'latitude': '40.66739113906443', 'longitude': '-73.97450763994523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-26T09:45:47.000,4 STREET,5 STREET,,4 STREET,5 STREET,PROSPECT PARK WEST,,,,,,
58858696,2023-09-15T11:10:10.000,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Commercial Building,,,,,,In Progress,,,0 Unspecified,,Unspecified,1005652,189167,PHONE,Unspecified,Unspecified,40.68587061205354,-73.92283105904325,"{'latitude': '40.68587061205354', 'longitude': '-73.92283105904325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58863749,2023-09-15T11:10:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T11:45:56.000,0 Unspecified,,Unspecified,983146,199116,MOBILE,Unspecified,Unspecified,40.713204099833256,-74.00398231175286,"{'latitude': '40.713204099833256', 'longitude': '-74.00398231175286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:45:52.000,,,,,,,,,,,,
58822771,2023-09-15T11:09:48.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11239,911 ERSKINE STREET,ERSKINE STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,05 BROOKLYN,3045867501,BROOKLYN,1020973,177807,PHONE,Unspecified,BROOKLYN,40.65463968119303,-73.867650262116,"{'latitude': '40.65463968119303', 'longitude': '-73.867650262116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T16:50:35.000,,,,,,,,,,,,
58825182,2023-09-15T11:09:48.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11239,911 ERSKINE STREET,ERSKINE STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,05 BROOKLYN,3045867501,BROOKLYN,1020973,177807,PHONE,Unspecified,BROOKLYN,40.65463968119303,-73.867650262116,"{'latitude': '40.65463968119303', 'longitude': '-73.867650262116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T16:50:36.000,,,,,,,,,,,,
58851447,2023-09-15T11:09:48.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-18T09:58:20.000,0 Unspecified,,Unspecified,923687,,ONLINE,Unspecified,Unspecified,,,,2023-09-18T12:24:18.000,,,,,,,,,,,,
58821930,2023-09-15T11:09:48.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11239,911 ERSKINE STREET,ERSKINE STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,05 BROOKLYN,3045867501,BROOKLYN,1020973,177807,PHONE,Unspecified,BROOKLYN,40.65463968119303,-73.867650262116,"{'latitude': '40.65463968119303', 'longitude': '-73.867650262116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T16:50:36.000,,,,,,,,,,,,
58822617,2023-09-15T11:09:48.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11239,911 ERSKINE STREET,ERSKINE STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,05 BROOKLYN,3045867501,BROOKLYN,1020973,177807,PHONE,Unspecified,BROOKLYN,40.65463968119303,-73.867650262116,"{'latitude': '40.65463968119303', 'longitude': '-73.867650262116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T21:38:09.000,,,,,,,,,,,,
58865219,2023-09-15T11:09:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T11:25:07.000,0 Unspecified,,Unspecified,987121,199114,MOBILE,Unspecified,Unspecified,40.71319821337075,-73.98964382603671,"{'latitude': '40.71319821337075', 'longitude': '-73.98964382603671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:25:05.000,,,,,,,,,,,,
58824390,2023-09-15T11:09:39.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10453,1727 WALTON AVENUE,WALTON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-13T00:00:00.000,05 BRONX,2028490070,BRONX,1008881,247707,PHONE,Unspecified,BRONX,40.846539229248954,-73.91097377874185,"{'latitude': '40.846539229248954', 'longitude': '-73.91097377874185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T20:14:00.000,,,,,,,,,,,,
58851460,2023-09-15T11:09:34.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",Business,11378,61-01 GRAND AVENUE,GRAND AVENUE,ADDRESS,MASPETH,In Progress,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-10-10T09:13:25.000,05 QUEENS,4027120001,QUEENS,1010848,202333,PHONE,Unspecified,QUEENS,40.721994075852315,-73.90404391368789,"{'latitude': '40.721994075852315', 'longitude': '-73.90404391368789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,61 STREET,64 STREET,,61 STREET,64 STREET,GRAND AVENUE,,,,,,
58860409,2023-09-15T11:09:32.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,776 MACE AVENUE,MACE AVENUE,ADDRESS,BRONX,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T11:09:32.000,11 BRONX,2044360027,BRONX,1021774,253776,MOBILE,Unspecified,BRONX,40.863151426965146,-73.86433944374308,"{'latitude': '40.863151426965146', 'longitude': '-73.86433944374308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T09:21:36.000,,,,WALLACE AVENUE,BARNES AVENUE,,,,,,,
58861057,2023-09-15T11:09:23.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,,,,,,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-09-19T09:19:40.000,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,2023-09-19T09:19:37.000,,,,,,,,,,,,
58870060,2023-09-15T11:09:16.000,DOT,Department of Transportation,Street Condition,Crash Cushion Defect,Street,10016,106 LEXINGTON AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected the condition you reported and determined that this issue is not within its jurisdiction.,2023-09-21T10:25:01.000,05 MANHATTAN,1008830023,MANHATTAN,989031,209705,PHONE,Unspecified,MANHATTAN,40.74226709990152,-73.98274661420503,"{'latitude': '40.74226709990152', 'longitude': '-73.98274661420503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T10:24:55.000,EAST   27 STREET,EAST   28 STREET,,EAST   27 STREET,EAST   28 STREET,LEXINGTON AVENUE,,,,,,
58821775,2023-09-15T11:09:13.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10457,304 ECHO PLACE,ECHO PLACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,05 BRONX,2028140008,BRONX,1011144,248732,ONLINE,Unspecified,BRONX,40.84934594766946,-73.90279029266242,"{'latitude': '40.84934594766946', 'longitude': '-73.90279029266242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T07:45:53.000,,,,,,,,,,,,
58820042,2023-09-15T11:09:11.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10453,1620 UNIVERSITY AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,05 BRONX,2028760078,BRONX,1006448,248018,PHONE,Unspecified,BRONX,40.84739928393435,-73.919766572737,"{'latitude': '40.84739928393435', 'longitude': '-73.919766572737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58820208,2023-09-15T11:09:08.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11228,7406 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,10 BROOKLYN,3062100039,BROOKLYN,982326,165449,PHONE,Unspecified,BROOKLYN,40.62079554585578,-74.00693057985451,"{'latitude': '40.62079554585578', 'longitude': '-74.00693057985451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T17:27:07.000,,,,,,,,,,,,
58822757,2023-09-15T11:09:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11228,7406 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,10 BROOKLYN,3062100039,BROOKLYN,982326,165449,PHONE,Unspecified,BROOKLYN,40.62079554585578,-74.00693057985451,"{'latitude': '40.62079554585578', 'longitude': '-74.00693057985451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T17:27:07.000,,,,,,,,,,,,
58820995,2023-09-15T11:09:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11228,7406 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,10 BROOKLYN,3062100039,BROOKLYN,982326,165449,PHONE,Unspecified,BROOKLYN,40.62079554585578,-74.00693057985451,"{'latitude': '40.62079554585578', 'longitude': '-74.00693057985451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T17:27:07.000,,,,,,,,,,,,
58823448,2023-09-15T11:09:08.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11228,7406 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,10 BROOKLYN,3062100039,BROOKLYN,982326,165449,PHONE,Unspecified,BROOKLYN,40.62079554585578,-74.00693057985451,"{'latitude': '40.62079554585578', 'longitude': '-74.00693057985451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T17:27:07.000,,,,,,,,,,,,
58853654,2023-09-15T11:08:58.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11427,89-62 221 STREET,221 STREET,ADDRESS,QUEENS VILLAGE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-22T12:17:57.000,13 QUEENS,4106660081,QUEENS,1056050,204809,ONLINE,Unspecified,QUEENS,40.72853867364715,-73.74094547358509,"{'latitude': '40.72853867364715', 'longitude': '-73.74094547358509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,89 AVENUE,90 AVENUE,,89 AVENUE,90 AVENUE,221 STREET,,,,,,
58849873,2023-09-15T11:08:48.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,,,,,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-18T10:33:38.000,0 Unspecified,,Unspecified,1041212,218592,ONLINE,Unspecified,Unspecified,40.76647743655142,-73.79436404188631,"{'latitude': '40.76647743655142', 'longitude': '-73.79436404188631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58870397,2023-09-15T11:08:44.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,,,,ADDRESS,,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-15T11:12:11.000,0 Unspecified,,Unspecified,989458,205143,MOBILE,Unspecified,Unspecified,40.72974529537973,-73.98120921383398,"{'latitude': '40.72974529537973', 'longitude': '-73.98120921383398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:12:11.000,,,,,,,,,,,,
58861065,2023-09-15T11:08:39.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,,,,,,Closed,This request has been referred to Parks Enforcement Patrol and will be monitored in upcoming patrols.,2023-09-15T11:13:44.000,0 Unspecified,,Unspecified,1058588,206000,PHONE,Unspecified,Unspecified,40.73178669647319,-73.73177526350435,"{'latitude': '40.73178669647319', 'longitude': '-73.73177526350435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:13:39.000,,,,,,,,,,,,
58864367,2023-09-15T11:08:37.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10034,647 WEST  207 STREET,WEST  207 STREET,ADDRESS,NEW YORK,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T11:08:37.000,12 MANHATTAN,1022420033,MANHATTAN,1005838,255836,PHONE,Unspecified,MANHATTAN,40.86885885404517,-73.92194620324679,"{'latitude': '40.86885885404517', 'longitude': '-73.92194620324679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T11:04:59.000,,,,COOPER STREET,SEAMAN AVENUE,,,,,,,
58832549,2023-09-15T11:08:36.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,,,,,,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-16T13:53:32.000,0 Unspecified,,Unspecified,989954,209284,MOBILE,Unspecified,Unspecified,40.74111101264203,-73.9794161043312,"{'latitude': '40.74111101264203', 'longitude': '-73.9794161043312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T13:53:29.000,,,,,,,,,,,,
58863143,2023-09-15T11:08:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T11:33:44.000,0 Unspecified,,Unspecified,1001560,247854,ONLINE,Unspecified,Unspecified,40.846960087712574,-73.93743439138935,"{'latitude': '40.846960087712574', 'longitude': '-73.93743439138935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:33:39.000,,,,,,,,,,,,
58867165,2023-09-15T11:08:26.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T13:06:59.000,0 Unspecified,,Unspecified,,215744,MOBILE,Unspecified,Unspecified,,,,2023-09-15T13:06:55.000,,,,,,,,,,,,
58862405,2023-09-15T11:08:23.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,,,,,,In Progress,,,0 Unspecified,,Unspecified,994605,199304,PHONE,Unspecified,Unspecified,40.713714124137276,-73.96264750455278,"{'latitude': '40.713714124137276', 'longitude': '-73.96264750455278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58857642,2023-09-15T11:08:16.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T11:25:29.000,0 Unspecified,,Unspecified,1029716,192632,MOBILE,Unspecified,Unspecified,40.69529032299451,-73.83604053985958,"{'latitude': '40.69529032299451', 'longitude': '-73.83604053985958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:25:24.000,,,,,,,,,,,,
