unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58811641,2023-09-14T07:35:00.000,2023-09-14T07:45:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11201,10 PINEAPPLE STREET,PINEAPPLE STREET,COLUMBIA HGTS,WILLOW ST,,,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T07:45:00.000,02 BROOKLYN,BROOKLYN,985460,193905,PHONE,Unspecified,BROOKLYN,40.69890111987429,-73.99563626499155,"{'latitude': '40.69890111987429', 'longitude': '-73.99563626499155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3002290017,,,,,,,
58818700,2023-09-14T07:34:59.000,2023-09-14T10:04:25.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11207,743 LIVONIA AVENUE,LIVONIA AVENUE,BRADFORD STREET,MILLER AVENUE,BRADFORD STREET,MILLER AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T10:04:29.000,05 BROOKLYN,BROOKLYN,1014900,181733,PHONE,Unspecified,BROOKLYN,40.66543878046042,-73.88951949063342,"{'latitude': '40.66543878046042', 'longitude': '-73.88951949063342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,LIVONIA AVENUE,3038100048,,,,,,,
58817638,2023-09-14T07:34:49.000,2023-09-14T10:15:34.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T10:15:36.000,02 BROOKLYN,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,SANDS STREET,3000680001,,,,,,,
58817760,2023-09-14T07:34:46.000,2023-09-19T13:12:16.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,532 LEFFERTS AVENUE,LEFFERTS AVENUE,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-19T00:00:00.000,09 BROOKLYN,BROOKLYN,999899,180754,MOBILE,Unspecified,BROOKLYN,40.66279086531681,-73.94359411021826,"{'latitude': '40.66279086531681', 'longitude': '-73.94359411021826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3013320030,,,,,,,
58818996,2023-09-14T07:34:45.000,2023-09-16T10:15:18.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10075,416 EAST   78 STREET,EAST   78 STREET,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-16T00:00:00.000,08 MANHATTAN,MANHATTAN,997380,220322,ONLINE,Unspecified,MANHATTAN,40.77139959809225,-73.95259651448679,"{'latitude': '40.77139959809225', 'longitude': '-73.95259651448679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1014720040,,,,,,,
58811735,2023-09-14T07:34:20.000,2023-09-14T09:00:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11230,AVENUE L,AVENUE L,AVENUE L,EAST   12 STREET,AVENUE L,EAST   12 STREET,INTERSECTION,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T09:00:10.000,14 BROOKLYN,BROOKLYN,994447,165196,ONLINE,Unspecified,BROOKLYN,40.620095454416116,-73.96326903142582,"{'latitude': '40.620095454416116', 'longitude': '-73.96326903142582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58818759,2023-09-14T07:33:32.000,2023-09-14T10:15:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T10:15:53.000,02 BROOKLYN,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,SANDS STREET,3000680001,,,,,,,
58811119,2023-09-14T07:33:25.000,2023-09-27T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10468,3188 VILLA AVENUE,VILLA AVENUE,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-27T00:00:00.000,07 BRONX,BRONX,1015563,258731,UNKNOWN,Unspecified,BRONX,40.87677559242361,-73.88677089544511,"{'latitude': '40.87677559242361', 'longitude': '-73.88677089544511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2033110040,,,,,,,
58811269,2023-09-14T07:33:10.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,11222,MCCARREN PARK,MCCARREN PARK,BAYARD STREET,DRIGGS AVENUE,BAYARD STREET,DRIGGS AVENUE,UNRECOGNIZED,In Progress,,,01 BROOKLYN,BROOKLYN,997610,201904,MOBILE,McCarren Park,BROOKLYN,40.72084647199604,-73.95180272776703,"{'latitude': '40.72084647199604', 'longitude': '-73.95180272776703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MCCARREN PARK,3026960001,,,,,,,
58811723,2023-09-14T07:33:05.000,2023-09-14T10:14:11.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10457,1701 BATHGATE AVENUE,BATHGATE AVENUE,EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T10:14:13.000,03 BRONX,BRONX,1011976,246037,MOBILE,Unspecified,BRONX,40.84194639593423,-73.8997941330035,"{'latitude': '40.84194639593423', 'longitude': '-73.8997941330035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,BATHGATE AVENUE,2029150001,,,,,,,
58818672,2023-09-14T07:33:03.000,2023-09-14T09:42:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,66-19 MAURICE AVENUE,MAURICE AVENUE,66 STREET,67 STREET,66 STREET,67 STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T09:42:58.000,02 QUEENS,QUEENS,1012325,207142,PHONE,Unspecified,QUEENS,40.73518903406323,-73.8986953657452,"{'latitude': '40.73518903406323', 'longitude': '-73.8986953657452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODSIDE,MAURICE AVENUE,4024150004,,,,,,,
58818706,2023-09-14T07:33:00.000,2023-09-14T12:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,10038,,,,,SOUTH STREET,BEEKMAN STREET,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-14T12:30:00.000,01 MANHATTAN,MANHATTAN,983604,196749,UNKNOWN,Unspecified,MANHATTAN,40.7067072916307,-74.00233000241616,"{'latitude': '40.7067072916307', 'longitude': '-74.00233000241616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MANHATTAN,,,N/A,,,,,,
58816935,2023-09-14T07:32:30.000,2023-09-14T23:56:30.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10473,480 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,BRONX RIVER AVENUE,LACOMBE AVENUE,BRONX RIVER AVENUE,LACOMBE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:56:34.000,09 BRONX,BRONX,1021859,235937,MOBILE,Unspecified,BRONX,40.814188253273194,-73.86413217608876,"{'latitude': '40.814188253273194', 'longitude': '-73.86413217608876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,COMMONWEALTH AVENUE,2034930035,,,,,,,
58818279,2023-09-14T07:32:14.000,2023-09-14T20:58:46.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10022,136 EAST   56 STREET,EAST   56 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-14T20:58:51.000,05 MANHATTAN,MANHATTAN,992600,216291,ONLINE,Unspecified,MANHATTAN,40.76034135397895,-73.96985884405764,"{'latitude': '40.76034135397895', 'longitude': '-73.96985884405764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST   56 STREET,1013100059,,,,,,,
58818757,2023-09-14T07:32:08.000,2023-09-14T09:04:44.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11427,86-35 208 STREET,208 STREET,GRAND CENTRAL PARKWAY,86 ROAD,GRAND CENTRAL PARKWAY,86 ROAD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T09:04:47.000,08 QUEENS,QUEENS,1050157,203335,ONLINE,Unspecified,QUEENS,40.72453878861458,-73.7622217547773,"{'latitude': '40.72453878861458', 'longitude': '-73.7622217547773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS VILLAGE,208 STREET,4105930002,,,,,,,
58810498,2023-09-14T07:32:00.000,2023-09-20T10:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10001,360 WEST   33 STREET,WEST   33 STREET,8 AVE,9 AVE,,,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T10:00:00.000,04 MANHATTAN,MANHATTAN,985470,213327,ONLINE,Unspecified,MANHATTAN,40.752209788085324,-73.99559668014062,"{'latitude': '40.752209788085324', 'longitude': '-73.99559668014062', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1007557501,N/A,,,,,,
58817764,2023-09-14T07:31:46.000,2023-09-19T13:10:40.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11210,1358 FLATBUSH AVENUE,FLATBUSH AVENUE,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-19T00:00:00.000,14 BROOKLYN,BROOKLYN,997464,171455,ONLINE,Unspecified,BROOKLYN,40.63727110212356,-73.95238913854915,"{'latitude': '40.63727110212356', 'longitude': '-73.95238913854915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3052260020,,,,,,,
58815544,2023-09-14T07:31:46.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11215,276 20 STREET,20 STREET,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-14T00:00:00.000,07 BROOKLYN,BROOKLYN,986510,180208,ONLINE,Unspecified,BROOKLYN,40.66130575674081,-73.99185414632106,"{'latitude': '40.66130575674081', 'longitude': '-73.99185414632106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3008910026,,,,,,,
58819396,2023-09-14T07:31:36.000,2023-09-15T12:52:08.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10304,238 GORDON STREET,GORDON STREET,WARREN STREET,LAUREL AVENUE,WARREN STREET,LAUREL AVENUE,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T05:09:10.000,01 STATEN ISLAND,STATEN ISLAND,961149,165681,ONLINE,Unspecified,STATEN ISLAND,40.62140242888738,-74.08321455553,"{'latitude': '40.62140242888738', 'longitude': '-74.08321455553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,GORDON STREET,5005630105,,,,,,,
58811588,2023-09-14T07:31:36.000,2023-09-14T08:41:22.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11209,7124 COLONIAL ROAD,COLONIAL ROAD,71 STREET,72 STREET,71 STREET,72 STREET,ADDRESS,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-14T08:41:26.000,10 BROOKLYN,BROOKLYN,975330,170720,MOBILE,Unspecified,BROOKLYN,40.63525904890755,-74.03213834327562,"{'latitude': '40.63525904890755', 'longitude': '-74.03213834327562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,COLONIAL ROAD,3058880042,,,,,,,
58819354,2023-09-14T07:31:24.000,2023-09-14T07:48:38.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10023,378 WEST   71 STREET,WEST   71 STREET,WEST END AVENUE,RIVERSIDE BOULEVARD,WEST END AVENUE,RIVERSIDE BOULEVARD,ADDRESS,Closed,The Police Department visited the location and no Encampment was found.,2023-09-14T07:48:43.000,07 MANHATTAN,MANHATTAN,988052,223328,ONLINE,Unspecified,MANHATTAN,40.779659211993064,-73.98627186598102,"{'latitude': '40.779659211993064', 'longitude': '-73.98627186598102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   71 STREET,,,,,,,,
58815085,2023-09-14T07:31:18.000,2023-09-14T09:42:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,88-35 ELDERT LANE,ELDERT LANE,ETNA STREET,KARWEG PLACE,ETNA STREET,KARWEG PLACE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T09:42:58.000,09 QUEENS,QUEENS,1021034,189995,MOBILE,Unspecified,QUEENS,40.68809271994694,-73.8673639081546,"{'latitude': '40.68809271994694', 'longitude': '-73.8673639081546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODHAVEN,ELDERT LANE,4088940099,,,,,,,
58813737,2023-09-14T07:31:16.000,2023-09-14T08:48:35.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11217,FORT GREEN PLACE,FORT GREEN PLACE,FORT GREEN PLACE,HANSON PLACE,FORT GREEN PLACE,HANSON PLACE,INTERSECTION,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-14T08:48:39.000,02 BROOKLYN,BROOKLYN,990851,188948,PHONE,Unspecified,BROOKLYN,40.68529292083356,-73.9761990605263,"{'latitude': '40.68529292083356', 'longitude': '-73.9761990605263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58817470,2023-09-14T07:30:45.000,2023-09-14T07:59:42.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10002,45 RIVINGTON STREET,RIVINGTON STREET,FORSYTH STREET,ELDRIDGE STREET,FORSYTH STREET,ELDRIDGE STREET,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T07:59:46.000,03 MANHATTAN,MANHATTAN,986738,201911,MOBILE,Unspecified,MANHATTAN,40.720875423620654,-73.99102433685879,"{'latitude': '40.720875423620654', 'longitude': '-73.99102433685879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,RIVINGTON STREET,1004207502,,,,,,,
58813695,2023-09-14T07:30:31.000,2023-09-14T10:29:53.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10019,47 WEST   56 STREET,WEST   56 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T10:29:57.000,05 MANHATTAN,MANHATTAN,990899,217240,ONLINE,Unspecified,MANHATTAN,40.76294755787405,-73.9759980375636,"{'latitude': '40.76294755787405', 'longitude': '-73.9759980375636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   56 STREET,1012720063,,,,,,,
58811736,2023-09-14T07:30:24.000,2023-09-14T11:24:39.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,6602 18 AVENUE,18 AVENUE,66 STREET,67 STREET,66 STREET,67 STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T11:24:43.000,11 BROOKLYN,BROOKLYN,986771,164583,MOBILE,Unspecified,BROOKLYN,40.618418406283176,-73.99091924656817,"{'latitude': '40.618418406283176', 'longitude': '-73.99091924656817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,18 AVENUE,3055600045,,,,,,,
58813036,2023-09-14T07:30:03.000,2023-09-14T08:07:17.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11213,1444 PARK PLACE,PARK PLACE,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T08:07:22.000,08 BROOKLYN,BROOKLYN,1003854,184213,ONLINE,Unspecified,BROOKLYN,40.67227717348469,-73.92932849479119,"{'latitude': '40.67227717348469', 'longitude': '-73.92932849479119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,PARK PLACE,3013730025,,,,,,,
58811192,2023-09-14T07:30:01.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11222,86 GUERNSEY STREET,GUERNSEY STREET,NASSAU AVENUE,NORMAN AVENUE,NASSAU AVENUE,NORMAN AVENUE,ADDRESS,In Progress,,,01 BROOKLYN,BROOKLYN,997300,203046,MOBILE,Unspecified,BROOKLYN,40.72398144816981,-73.9529188631177,"{'latitude': '40.72398144816981', 'longitude': '-73.9529188631177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,GUERNSEY STREET,3026440056,,,,,,,
58815321,2023-09-14T07:30:00.000,2023-09-14T09:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,8 AVE,32 ST W,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-14T09:00:00.000,Unspecified MANHATTAN,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,N/A,,,,,,
58813664,2023-09-14T07:29:47.000,2023-09-19T13:44:44.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,11235,2970 OCEAN AVENUE,OCEAN AVENUE,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,Closed,A Litter Basket was placed at the location.,2023-09-19T05:49:56.000,15 BROOKLYN,BROOKLYN,998289,153873,ONLINE,Unspecified,BROOKLYN,40.58901087829991,-73.94945316775475,"{'latitude': '40.58901087829991', 'longitude': '-73.94945316775475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,OCEAN AVENUE,3074400041,,,,,,,
58817458,2023-09-14T07:29:12.000,2023-09-14T08:13:08.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,834 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,DORCHESTER ROAD,DITMAS AVENUE,DORCHESTER ROAD,DITMAS AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T08:13:17.000,12 BROOKLYN,BROOKLYN,993078,171410,MOBILE,Unspecified,BROOKLYN,40.637153044048205,-73.96819222568216,"{'latitude': '40.637153044048205', 'longitude': '-73.96819222568216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CONEY ISLAND AVENUE,3053930042,,,,,,,
58812273,2023-09-14T07:29:12.000,2023-09-14T07:29:12.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11422,240-15 143 AVENUE,143 AVENUE,BROOKVILLE BOULEVARD,241 STREET,BROOKVILLE BOULEVARD,241 STREET,ADDRESS,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-14T07:29:12.000,13 QUEENS,QUEENS,1056262,181036,PHONE,Unspecified,QUEENS,40.6632858765426,-73.74043474077871,"{'latitude': '40.6632858765426', 'longitude': '-73.74043474077871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROSEDALE,143 AVENUE,4135560015,,,,,,,
58816245,2023-09-14T07:29:06.000,2023-09-14T14:31:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10469,3308 WILSON AVENUE,WILSON AVENUE,GIVAN AVENUE,BOSTON ROAD,GIVAN AVENUE,BOSTON ROAD,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T14:31:42.000,12 BRONX,BRONX,1025800,257660,PHONE,Unspecified,BRONX,40.873793776062705,-73.84976018550238,"{'latitude': '40.873793776062705', 'longitude': '-73.84976018550238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WILSON AVENUE,2047350084,,,,,,,
58817319,2023-09-14T07:29:00.000,2023-09-14T10:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11204,2245 61 STREET,61 STREET,BAY PKWY,23 AVE,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-14T10:00:00.000,12 BROOKLYN,BROOKLYN,990354,163522,PHONE,Unspecified,BROOKLYN,40.61550443733388,-73.97801408179828,"{'latitude': '40.61550443733388', 'longitude': '-73.97801408179828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3065490061,,,,,,,
58810468,2023-09-14T07:29:00.000,2023-09-14T15:30:00.000,DEP,Department of Environmental Protection,Hazardous Materials,"Oil Spill On Street, Large (HQL)",,10305,120 WINFIELD STREET,WINFIELD STREET,OLYMPIA BLVD,PATTERSON AVE,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,2023-09-14T15:30:00.000,02 STATEN ISLAND,STATEN ISLAND,962993,153853,ONLINE,Unspecified,STATEN ISLAND,40.588941611200624,-74.0765348654189,"{'latitude': '40.588941611200624', 'longitude': '-74.0765348654189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,5034200005,N/A,,,,,,
58811271,2023-09-14T07:28:54.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11215,95 PROSPECT PARK WEST,PROSPECT PARK WEST,4 STREET,5 STREET,4 STREET,5 STREET,ADDRESS,In Progress,,,55 BROOKLYN,BROOKLYN,991322,182426,MOBILE,Prospect Park,BROOKLYN,40.66739113906443,-73.97450763994523,"{'latitude': '40.66739113906443', 'longitude': '-73.97450763994523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,PROSPECT PARK WEST,3011170001,,,,,,,
58817777,2023-09-14T07:28:49.000,2023-09-22T08:12:49.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10027,418 WEST  130 STREET,WEST  130 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,09 MANHATTAN,MANHATTAN,997569,236063,ONLINE,Unspecified,MANHATTAN,40.81460410232225,-73.95188294771233,"{'latitude': '40.81460410232225', 'longitude': '-73.95188294771233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1019690055,,,,,,,
58818991,2023-09-14T07:28:49.000,2023-09-22T08:12:50.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10027,418 WEST  130 STREET,WEST  130 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,09 MANHATTAN,MANHATTAN,997569,236063,ONLINE,Unspecified,MANHATTAN,40.81460410232225,-73.95188294771233,"{'latitude': '40.81460410232225', 'longitude': '-73.95188294771233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1019690055,,,,,,,
58813217,2023-09-14T07:28:49.000,2023-09-22T08:12:49.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10027,418 WEST  130 STREET,WEST  130 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,09 MANHATTAN,MANHATTAN,997569,236063,ONLINE,Unspecified,MANHATTAN,40.81460410232225,-73.95188294771233,"{'latitude': '40.81460410232225', 'longitude': '-73.95188294771233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1019690055,,,,,,,
58813508,2023-09-14T07:28:45.000,2023-09-15T09:25:05.000,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,10029,EAST  112 STREET,EAST  112 STREET,EAST  112 STREET,PARK AVENUE,EAST  112 STREET,PARK AVENUE,INTERSECTION,Closed,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-15T09:25:09.000,11 MANHATTAN,MANHATTAN,999452,229564,PHONE,Unspecified,MANHATTAN,40.796763102022815,-73.94509502201743,"{'latitude': '40.796763102022815', 'longitude': '-73.94509502201743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
