unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58867887,2023-09-19T11:38:14.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11204,6924 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,11 BROOKLYN,3061620043,BROOKLYN,987463,162998,PHONE,Unspecified,BROOKLYN,40.61406768565192,-73.98842738626371,"{'latitude': '40.61406768565192', 'longitude': '-73.98842738626371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T12:16:51.000,,,,,,,,,,,
58860031,2023-09-19T11:38:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11204,6924 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,11 BROOKLYN,3061620043,BROOKLYN,987463,162998,PHONE,Unspecified,BROOKLYN,40.61406768565192,-73.98842738626371,"{'latitude': '40.61406768565192', 'longitude': '-73.98842738626371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T12:16:51.000,,,,,,,,,,,
58862044,2023-09-19T11:38:14.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11204,6924 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,11 BROOKLYN,3061620043,BROOKLYN,987463,162998,PHONE,Unspecified,BROOKLYN,40.61406768565192,-73.98842738626371,"{'latitude': '40.61406768565192', 'longitude': '-73.98842738626371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T12:16:51.000,,,,,,,,,,,
58869807,2023-09-19T11:38:14.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11204,6924 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,11 BROOKLYN,3061620043,BROOKLYN,987463,162998,PHONE,Unspecified,BROOKLYN,40.61406768565192,-73.98842738626371,"{'latitude': '40.61406768565192', 'longitude': '-73.98842738626371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-26T19:13:43.000,,,,,,,,,,,
58870516,2023-09-19T11:38:14.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11223,1977 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation collected the requested items.,2023-09-21T10:33:56.000,15 BROOKLYN,3067740065,BROOKLYN,994756,161126,ONLINE,Unspecified,BROOKLYN,40.60892378536051,-73.96216230460458,"{'latitude': '40.60892378536051', 'longitude': '-73.96216230460458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T12:57:05.000,AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,CONEY ISLAND AVENUE,,,,,,
58860123,2023-09-19T11:38:13.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11204,6924 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,11 BROOKLYN,3061620043,BROOKLYN,987463,162998,PHONE,Unspecified,BROOKLYN,40.61406768565192,-73.98842738626371,"{'latitude': '40.61406768565192', 'longitude': '-73.98842738626371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T12:16:51.000,,,,,,,,,,,
58866630,2023-09-19T11:38:11.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11693,88-20 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Sanitation cleaned the location.,2023-09-20T10:34:37.000,14 QUEENS,4161230098,QUEENS,1036109,153290,ONLINE,Unspecified,QUEENS,40.58727007743847,-73.81328857592565,"{'latitude': '40.58727007743847', 'longitude': '-73.81328857592565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T12:44:27.000,BEACH   88 STREET,BEACH   90 STREET,BEACH   88 STREET,BEACH   90 STREET,ROCKAWAY BEACH BOULEVARD,,,,,,
58867883,2023-09-19T11:38:10.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,165 EAST   19 STREET,EAST   19 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,14 BROOKLYN,3051230051,BROOKLYN,994967,174511,ONLINE,Unspecified,BROOKLYN,40.64566253900396,-73.96138112871078,"{'latitude': '40.64566253900396', 'longitude': '-73.96138112871078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T17:28:20.000,,,,,,,,,,,
58863916,2023-09-19T11:38:10.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11226,165 EAST   19 STREET,EAST   19 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,14 BROOKLYN,3051230051,BROOKLYN,994967,174511,ONLINE,Unspecified,BROOKLYN,40.64566253900396,-73.96138112871078,"{'latitude': '40.64566253900396', 'longitude': '-73.96138112871078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T17:28:20.000,,,,,,,,,,,
58862097,2023-09-19T11:38:10.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,165 EAST   19 STREET,EAST   19 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,14 BROOKLYN,3051230051,BROOKLYN,994967,174511,ONLINE,Unspecified,BROOKLYN,40.64566253900396,-73.96138112871078,"{'latitude': '40.64566253900396', 'longitude': '-73.96138112871078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T17:28:19.000,,,,,,,,,,,
58867269,2023-09-19T11:37:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10472,1230 EVERGREEN AVENUE,EVERGREEN AVENUE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T15:06:25.000,09 BRONX,2037710016,BRONX,1017095,241552,PHONE,Unspecified,BRONX,40.829618822946756,-73.88131529238711,"{'latitude': '40.829618822946756', 'longitude': '-73.88131529238711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T15:06:22.000,WESTCHESTER AVENUE,BRONX RIVER AVENUE,WESTCHESTER AVENUE,BRONX RIVER AVENUE,EVERGREEN AVENUE,,,,,,
58868636,2023-09-19T11:37:51.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,11208,96 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-21T11:57:08.000,05 BROOKLYN,3039260021,BROOKLYN,1016078,188038,PHONE,Unspecified,BROOKLYN,40.68274041664469,-73.88524352178035,"{'latitude': '40.68274041664469', 'longitude': '-73.88524352178035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T09:32:38.000,ELTON STREET,LINWOOD STREET,ELTON STREET,LINWOOD STREET,RIDGEWOOD AVENUE,,,,,,
58855825,2023-09-19T11:37:47.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Street/Curbside,10306,1001 RICHMOND HILL ROAD,RICHMOND HILL ROAD,ADDRESS,STATEN ISLAND,,Closed,Work to correct the reported condition has been deferred because of seasonal considerations and will be corrected as soon as possible.,2023-09-19T15:05:57.000,02 STATEN ISLAND,5023590001,STATEN ISLAND,943064,149135,PHONE,Unspecified,STATEN ISLAND,40.57592145733714,-74.14825947250523,"{'latitude': '40.57592145733714', 'longitude': '-74.14825947250523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T15:05:54.000,FOREST HILL ROAD,EDINBORO ROAD,FOREST HILL ROAD,EDINBORO ROAD,RICHMOND HILL ROAD,,,,,,
58859484,2023-09-19T11:37:39.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11249,105 NORTH   13 STREET,NORTH   13 STREET,ADDRESS,BROOKLYN,N/A,Closed,The City has removed the graffiti from this property.,2023-10-03T09:56:47.000,01 BROOKLYN,3022790034,BROOKLYN,996355,202510,UNKNOWN,Unspecified,BROOKLYN,40.7225116017282,-73.95632915029242,"{'latitude': '40.7225116017282', 'longitude': '-73.95632915029242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T00:00:00.000,,,,,,2023-10-19T11:37:39.000,,,,,
58867129,2023-09-19T11:37:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11208,157 LINWOOD STREET,LINWOOD STREET,ADDRESS,BROOKLYN,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T15:52:36.000,05 BROOKLYN,3039270014,BROOKLYN,1016359,187773,PHONE,Unspecified,BROOKLYN,40.682012037718266,-73.88423163468119,"{'latitude': '40.682012037718266', 'longitude': '-73.88423163468119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T15:52:30.000,RIDGEWOOD AVENUE,ARLINGTON AVENUE,RIDGEWOOD AVENUE,ARLINGTON AVENUE,LINWOOD STREET,,,,,,
58868314,2023-09-19T11:37:26.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10454,373 EAST  141 STREET,EAST  141 STREET,ADDRESS,BRONX,,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-29T17:26:26.000,01 BRONX,2023040001,BRONX,1005765,234893,ONLINE,Unspecified,BRONX,40.8113766209108,-73.92227732850472,"{'latitude': '40.8113766209108', 'longitude': '-73.92227732850472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T17:26:22.000,ALEXANDER AVENUE,WILLIS AVENUE,ALEXANDER AVENUE,WILLIS AVENUE,EAST  141 STREET,,,,,,
58869162,2023-09-19T11:37:04.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11249,55 NORTH TENTH STREET,NORTH TENTH STREET,ADDRESS,BROOKLYN,N/A,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:42:06.000,01 BROOKLYN,3022950031,BROOKLYN,995499,202202,UNKNOWN,Unspecified,BROOKLYN,40.72166734616273,-73.95941783044275,"{'latitude': '40.72166734616273', 'longitude': '-73.95941783044275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,2023-11-14T07:42:06.000,,,,,
58861336,2023-09-19T11:36:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11203,626 EAST   54 STREET,EAST   54 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T12:32:49.000,17 BROOKLYN,3047740032,BROOKLYN,1004900,173628,PHONE,Unspecified,BROOKLYN,40.64322130500034,-73.92559012921726,"{'latitude': '40.64322130500034', 'longitude': '-73.92559012921726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:32:44.000,KINGS HIGHWAY,AVENUE D,KINGS HIGHWAY,AVENUE D,EAST   54 STREET,,,,,,
58862382,2023-09-19T11:36:35.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10001,31 WEST   32 STREET,WEST   32 STREET,ADDRESS,NEW YORK,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T11:36:35.000,05 MANHATTAN,1008340022,MANHATTAN,987993,211642,MOBILE,Unspecified,MANHATTAN,40.74758418018265,-73.9864914082603,"{'latitude': '40.74758418018265', 'longitude': '-73.9864914082603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:36:35.000,5 AVENUE,BROADWAY,5 AVENUE,BROADWAY,WEST   32 STREET,,,,,,
58864769,2023-09-19T11:36:23.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11205,67 WAVERLY AVENUE,WAVERLY AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:08:10.000,02 BROOKLYN,3018890038,BROOKLYN,993054,192602,ONLINE,Unspecified,BROOKLYN,40.695320391549764,-73.96825102435184,"{'latitude': '40.695320391549764', 'longitude': '-73.96825102435184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:08:06.000,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,,,,,,
58861808,2023-09-19T11:36:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,109 AVENUE,109 AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T12:41:54.000,10 QUEENS,,QUEENS,1035949,188790,PHONE,Unspecified,QUEENS,40.684710724289864,-73.81359264652532,"{'latitude': '40.684710724289864', 'longitude': '-73.81359264652532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:41:50.000,109 AVENUE,HAWTRE CRK ROAD,109 AVENUE,HAWTRE CRK ROAD,,,,,,,
58869164,2023-09-19T11:36:06.000,DSNY,Department of Sanitation,Graffiti,Graffiti,,11211,253 GRAND STREET,GRAND STREET,ADDRESS,BROOKLYN,N/A,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:42:06.000,01 BROOKLYN,3023820021,BROOKLYN,995710,199206,UNKNOWN,Unspecified,BROOKLYN,40.71344377524796,-73.95866172240136,"{'latitude': '40.71344377524796', 'longitude': '-73.95866172240136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,2023-11-14T07:42:06.000,,,,,
58857172,2023-09-19T11:36:02.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,11373,78-01 57 AVENUE,57 AVENUE,ADDRESS,ELMHURST,,Closed,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,2023-09-19T11:39:36.000,04 QUEENS,4028050031,QUEENS,1016092,204812,PHONE,Unspecified,QUEENS,40.72878100162327,-73.88511372468744,"{'latitude': '40.72878100162327', 'longitude': '-73.88511372468744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:39:32.000,LIRR CONNECTING RAIL LINE,80 STREET,LIRR CONNECTING RAIL LINE,80 STREET,57 AVENUE,,,,,,
58865885,2023-09-19T11:35:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10458,690 EAST  189 STREET,EAST  189 STREET,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,06 BRONX,2030900054,BRONX,1016483,251207,MOBILE,Unspecified,BRONX,40.85612120494555,-73.88348033140477,"{'latitude': '40.85612120494555', 'longitude': '-73.88348033140477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T21:08:09.000,,,,,,,,,,,
58856144,2023-09-19T11:35:35.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10302,29 TREADWELL AVENUE,TREADWELL AVENUE,ADDRESS,STATEN ISLAND,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T11:59:34.000,01 STATEN ISLAND,5010840054,STATEN ISLAND,946035,172212,PHONE,Unspecified,STATEN ISLAND,40.63927632155383,-74.13769520243068,"{'latitude': '40.63927632155383', 'longitude': '-74.13769520243068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:59:31.000,RICHMOND TERRACE,STATEN ISLAND RAILWAY LINE,RICHMOND TERRACE,STATEN ISLAND RAILWAY LINE,TREADWELL AVENUE,,,,,,
58867243,2023-09-19T11:35:34.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11222,161 INDIA STREET,INDIA STREET,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-06T00:00:00.000,01 BROOKLYN,3025330053,BROOKLYN,997132,206126,UNKNOWN,Unspecified,BROOKLYN,40.73243554189218,-73.95351906880414,"{'latitude': '40.73243554189218', 'longitude': '-73.95351906880414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-06T00:00:00.000,,,,,,,,,,,
58869050,2023-09-19T11:35:34.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11420,112-03 111 AVENUE,111 AVENUE,ADDRESS,SOUTH OZONE PARK,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T13:09:53.000,10 QUEENS,4115930041,QUEENS,1032220,186661,ONLINE,Unspecified,QUEENS,40.67888810997527,-73.82705315220217,"{'latitude': '40.67888810997527', 'longitude': '-73.82705315220217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:09:48.000,112 STREET,113 STREET,112 STREET,113 STREET,111 AVENUE,,,,,,
58869983,2023-09-19T11:35:34.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10468,50 EAST  191 STREET,EAST  191 STREET,ADDRESS,BRONX,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-27T00:00:00.000,07 BRONX,2031750015,BRONX,1012405,254063,UNKNOWN,Unspecified,BRONX,40.863974007488046,-73.89820995792564,"{'latitude': '40.863974007488046', 'longitude': '-73.89820995792564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-27T00:00:00.000,,,,,,,,,,,
58861408,2023-09-19T11:35:34.000,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11355,41-62 BOWNE STREET,BOWNE STREET,ADDRESS,FLUSHING,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-19T00:00:00.000,07 QUEENS,4051817503,QUEENS,1033286,215456,UNKNOWN,Unspecified,QUEENS,40.757917457405355,-73.82300012991934,"{'latitude': '40.757917457405355', 'longitude': '-73.82300012991934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:35:34.000,,,,,,,,,,,
58856982,2023-09-19T11:35:33.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11231,113 2 STREET,2 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation collected the requested items.,2023-09-21T09:48:01.000,06 BROOKLYN,3004570039,BROOKLYN,986540,186195,ONLINE,Unspecified,BROOKLYN,40.677738726848325,-73.99174398167638,"{'latitude': '40.677738726848325', 'longitude': '-73.99174398167638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T12:56:39.000,HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,2 STREET,,,,,,
58855592,2023-09-19T11:35:31.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,16 COLLEGE PLACE,COLLEGE PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T14:19:09.000,02 BROOKLYN,3002360045,BROOKLYN,985815,193024,MOBILE,Unspecified,BROOKLYN,40.696482924369235,-73.99435620033847,"{'latitude': '40.696482924369235', 'longitude': '-73.99435620033847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T14:19:04.000,LOVE LANE,DEAD END,LOVE LANE,DEAD END,COLLEGE PLACE,,,,,,
58864764,2023-09-19T11:35:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10002,68A NORFOLK STREET,NORFOLK STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T12:14:59.000,03 MANHATTAN,,MANHATTAN,987628,200682,MOBILE,Unspecified,MANHATTAN,40.7175018192541,-73.98781420600942,"{'latitude': '40.7175018192541', 'longitude': '-73.98781420600942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:14:56.000,BROOME STREET,DELANCEY STREET,BROOME STREET,DELANCEY STREET,NORFOLK STREET,,,,,,
58869743,2023-09-19T11:35:17.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11221,527 MONROE STREET,MONROE STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BROOKLYN,3016350001,BROOKLYN,1002081,189644,PHONE,Unspecified,BROOKLYN,40.68718778181634,-73.9357057044931,"{'latitude': '40.68718778181634', 'longitude': '-73.9357057044931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-24T17:10:57.000,,,,,,,,,,,
58866051,2023-09-19T11:35:13.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10310,47 MARKHAM LANE,MARKHAM LANE,ADDRESS,STATEN ISLAND,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,01 STATEN ISLAND,5001690001,STATEN ISLAND,951837,172235,PHONE,Unspecified,STATEN ISLAND,40.63936258434839,-74.11678973832994,"{'latitude': '40.63936258434839', 'longitude': '-74.11678973832994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-20T06:58:02.000,,,,,,,,,,,
58865819,2023-09-19T11:35:13.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10310,47 MARKHAM LANE,MARKHAM LANE,ADDRESS,STATEN ISLAND,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,01 STATEN ISLAND,5001690001,STATEN ISLAND,951837,172235,PHONE,Unspecified,STATEN ISLAND,40.63936258434839,-74.11678973832994,"{'latitude': '40.63936258434839', 'longitude': '-74.11678973832994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-20T06:58:02.000,,,,,,,,,,,
58863793,2023-09-19T11:35:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10000,WEST DRIVE,WEST DRIVE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T11:41:48.000,64 MANHATTAN,,MANHATTAN,990168,218969,MOBILE,Unspecified,MANHATTAN,40.76769373541037,-73.97863532320608,"{'latitude': '40.76769373541037', 'longitude': '-73.97863532320608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:41:45.000,CENTER DRIVE,WEST DRIVE,CENTER DRIVE,WEST DRIVE,,,,,,,
58857264,2023-09-19T11:35:02.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211,249 GRAND STREET,GRAND STREET,ADDRESS,BROOKLYN,N/A,Closed,The City has removed the graffiti from this property.,2023-10-04T06:59:07.000,01 BROOKLYN,3023820023,BROOKLYN,995680,199221,UNKNOWN,Unspecified,BROOKLYN,40.713484985473855,-73.95876991230443,"{'latitude': '40.713484985473855', 'longitude': '-73.95876991230443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-03T00:00:00.000,,,,,,2023-10-19T11:35:02.000,,,,,
58862987,2023-09-19T11:35:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11238,233 PARK PLACE,PARK PLACE,ADDRESS,BROOKLYN,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-31T11:30:00.000,08 BROOKLYN,3011580056,BROOKLYN,992498,185935,ONLINE,Unspecified,BROOKLYN,40.67702153929091,-73.9702642322943,"{'latitude': '40.67702153929091', 'longitude': '-73.9702642322943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-31T11:30:00.000,,,CARLTON AVE,VANDERBILT AVE,,,,,,,
58868807,2023-09-19T11:35:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11230,1168 EAST   12 STREET,EAST   12 STREET,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-19T13:25:00.000,14 BROOKLYN,3067220034,BROOKLYN,994398,165512,PHONE,Unspecified,BROOKLYN,40.62096286477235,-73.96344506100061,"{'latitude': '40.62096286477235', 'longitude': '-73.96344506100061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:25:00.000,,,AVENUE K,AVENUE L,,,,,,,
