unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp,taxi_company_borough
59448520,2023-09-30T10:59:54.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,11221,894 BUSHWICK AVENUE,BUSHWICK AVENUE,ADDRESS,BROOKLYN,In Progress,,,04 BROOKLYN,3032730035,BROOKLYN,1004968,191942,ONLINE,Unspecified,BROOKLYN,40.693488973290265,-73.92528881474782,"{'latitude': '40.693488973290265', 'longitude': '-73.92528881474782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LAFAYETTE AVENUE,HARMAN STREET,LAFAYETTE AVENUE,HARMAN STREET,BUSHWICK AVENUE,,,,,
59453577,2023-09-30T10:59:53.000,,HPD,Department of Housing Preservation and Development,Door/Window,Window Frame,Apartment,11221,894 BUSHWICK AVENUE,BUSHWICK AVENUE,ADDRESS,BROOKLYN,In Progress,,,04 BROOKLYN,3032730035,BROOKLYN,1004968,191942,ONLINE,Unspecified,BROOKLYN,40.693488973290265,-73.92528881474782,"{'latitude': '40.693488973290265', 'longitude': '-73.92528881474782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LAFAYETTE AVENUE,HARMAN STREET,LAFAYETTE AVENUE,HARMAN STREET,BUSHWICK AVENUE,,,,,
59456548,2023-09-30T10:59:51.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11221,894 BUSHWICK AVENUE,BUSHWICK AVENUE,ADDRESS,BROOKLYN,In Progress,,,04 BROOKLYN,3032730035,BROOKLYN,1004968,191942,ONLINE,Unspecified,BROOKLYN,40.693488973290265,-73.92528881474782,"{'latitude': '40.693488973290265', 'longitude': '-73.92528881474782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LAFAYETTE AVENUE,HARMAN STREET,LAFAYETTE AVENUE,HARMAN STREET,BUSHWICK AVENUE,,,,,
58970916,2023-09-30T10:59:07.000,2023-10-20T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11434,170-19 118 AVENUE,118 AVENUE,ADDRESS,JAMAICA,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-20T00:00:00.000,12 QUEENS,4123670221,QUEENS,1046421,189150,UNKNOWN,Unspecified,QUEENS,40.68563147830706,-73.77583134104415,"{'latitude': '40.68563147830706', 'longitude': '-73.77583134104415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970424,2023-09-30T10:59:07.000,2023-11-14T13:39:34.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,11209,92 STREET,92 STREET,INTERSECTION,,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-11-14T13:39:37.000,10 BROOKLYN,,BROOKLYN,973014,165449,PHONE,Unspecified,BROOKLYN,40.620788629897824,-74.04047400720687,"{'latitude': '40.620788629897824', 'longitude': '-74.04047400720687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,92 STREET,SHORE ROAD,92 STREET,SHORE ROAD,,,,,,
58972800,2023-09-30T10:59:06.000,2023-10-06T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11216,277 GATES AVENUE,GATES AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-06T00:00:00.000,03 BROOKLYN,3019740051,BROOKLYN,996389,189054,UNKNOWN,Unspecified,BROOKLYN,40.68557800392962,-73.95623074565354,"{'latitude': '40.68557800392962', 'longitude': '-73.95623074565354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972025,2023-09-30T10:59:00.000,2023-09-30T19:40:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11234,1533 EAST   57 STREET,EAST   57 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T19:40:00.000,18 BROOKLYN,3083790026,BROOKLYN,1006508,163937,ONLINE,Unspecified,BROOKLYN,40.616617671431236,-73.91982785194502,"{'latitude': '40.616617671431236', 'longitude': '-73.91982785194502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,AVENUE O,FILLMORE AVE,,,,,,,,
58975633,2023-09-30T10:59:00.000,2023-10-06T12:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11422,253-51 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,ROSEDALE,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-06T12:30:00.000,13 QUEENS,,QUEENS,1056358,171051,PHONE,Unspecified,QUEENS,40.63587855759823,-73.7401954578059,"{'latitude': '40.63587855759823', 'longitude': '-73.7401954578059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,MEYER AVE,3 ST,,,,,,,,
58969560,2023-09-30T10:59:00.000,2023-10-01T01:40:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11411,115-74 222 STREET,222 STREET,ADDRESS,CAMBRIA HEIGHTS,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T01:40:00.000,13 QUEENS,4113030143,QUEENS,1057192,193469,ONLINE,Unspecified,QUEENS,40.69740387333313,-73.73694802558623,"{'latitude': '40.69740387333313', 'longitude': '-73.73694802558623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,115 RD,116 AVE,,,,,,,,
58975952,2023-09-30T10:58:49.000,2023-09-30T16:42:39.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,4332 MATILDA AVENUE,MATILDA AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T16:42:45.000,12 BRONX,2050380046,BRONX,1023630,266172,ONLINE,Unspecified,BRONX,40.89716646636787,-73.85755658170686,"{'latitude': '40.89716646636787', 'longitude': '-73.85755658170686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  236 STREET,EAST  237 STREET,EAST  236 STREET,EAST  237 STREET,MATILDA AVENUE,,,,,
59459485,2023-09-30T10:58:47.000,2023-09-30T19:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11234,1533 EAST   57 STREET,EAST   57 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T19:40:00.000,18 BROOKLYN,3083790026,BROOKLYN,1006508,163937,ONLINE,Unspecified,BROOKLYN,40.616617671431236,-73.91982785194502,"{'latitude': '40.616617671431236', 'longitude': '-73.91982785194502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,AVENUE O,FILLMORE AVENUE,AVENUE O,FILLMORE AVENUE,EAST   57 STREET,,,,,
58975791,2023-09-30T10:58:18.000,2023-09-30T12:36:00.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,5116 BEVERLEY ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T12:36:04.000,17 BROOKLYN,3047620007,BROOKLYN,1004078,174782,MOBILE,Unspecified,BROOKLYN,40.64639066365803,-73.92854871732933,"{'latitude': '40.64639066365803', 'longitude': '-73.92854871732933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST   51 STREET,EAST   52 STREET,EAST   51 STREET,EAST   52 STREET,BEVERLEY ROAD,,,,,
58972608,2023-09-30T10:58:07.000,2023-10-01T18:11:12.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11224,2980 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,PHONE,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58975295,2023-09-30T10:58:01.000,2023-09-30T10:58:01.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10024,160 WEST   88 STREET,WEST   88 STREET,ADDRESS,NEW YORK,Closed,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",2023-09-30T10:58:01.000,07 MANHATTAN,1012180152,MANHATTAN,991762,226542,PHONE,Unspecified,MANHATTAN,40.78847841144152,-73.9728723292082,"{'latitude': '40.78847841144152', 'longitude': '-73.9728723292082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,WEST   88 STREET,,,,,
59441928,2023-09-30T10:57:59.000,2023-10-01T01:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11411,115-74 222 STREET,222 STREET,ADDRESS,CAMBRIA HEIGHTS,Closed,,2023-10-01T01:40:00.000,13 QUEENS,4113030143,QUEENS,1057192,193469,ONLINE,Unspecified,QUEENS,40.69740387333313,-73.73694802558623,"{'latitude': '40.69740387333313', 'longitude': '-73.73694802558623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,115 ROAD,116 AVENUE,115 ROAD,116 AVENUE,222 STREET,,,,,
59453752,2023-09-30T10:57:50.000,2023-10-26T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Bell/Buzzer/Intercom,Apartment,11225,1180 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,,2023-10-26T00:00:00.000,09 BROOKLYN,3012820034,BROOKLYN,997694,182691,ONLINE,Unspecified,BROOKLYN,40.668111122093144,-73.95153803723703,"{'latitude': '40.668111122093144', 'longitude': '-73.95153803723703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,PRESIDENT STREET,,,,,
59457163,2023-09-30T10:57:49.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Cooking Gas,Apartment,11225,1180 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,,2023-10-02T00:00:00.000,09 BROOKLYN,3012820034,BROOKLYN,997694,182691,ONLINE,Unspecified,BROOKLYN,40.668111122093144,-73.95153803723703,"{'latitude': '40.668111122093144', 'longitude': '-73.95153803723703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,PRESIDENT STREET,,,,,
58971104,2023-09-30T10:57:31.000,2023-09-30T11:23:08.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10009,466 EAST   10 STREET,EAST   10 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T11:23:12.000,03 MANHATTAN,1003620010,MANHATTAN,991338,203190,MOBILE,Unspecified,MANHATTAN,40.7243834794696,-73.97442811493946,"{'latitude': '40.7243834794696', 'longitude': '-73.97442811493946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST   10 STREET,,,,,
58976240,2023-09-30T10:57:12.000,2023-10-01T00:20:35.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10462,2363 LYON AVENUE,LYON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,10 BRONX,2039720038,BRONX,1026148,244418,PHONE,Unspecified,BRONX,40.83744684960191,-73.8485846267631,"{'latitude': '40.83744684960191', 'longitude': '-73.8485846267631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970230,2023-09-30T10:57:07.000,2023-10-02T09:54:11.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,310 EAST   25 STREET,EAST   25 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,17 BROOKLYN,3051900009,BROOKLYN,997151,173337,MOBILE,Unspecified,BROOKLYN,40.64243725006503,-73.95351329817751,"{'latitude': '40.64243725006503', 'longitude': '-73.95351329817751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59442246,2023-09-30T10:56:49.000,2023-10-06T12:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11422,253-51 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,ROSEDALE,Closed,,2023-10-06T12:30:00.000,13 QUEENS,,QUEENS,1056358,171051,PHONE,Unspecified,QUEENS,40.63587855759823,-73.7401954578059,"{'latitude': '40.63587855759823', 'longitude': '-73.7401954578059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,MEYER AVENUE,3 STREET,MEYER AVENUE,3 STREET,ROCKAWAY BOULEVARD,,,,,
58968301,2023-09-30T10:56:48.000,2023-09-30T12:25:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,58-06 78 STREET,78 STREET,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T12:25:14.000,05 QUEENS,4028250010,QUEENS,1016778,203980,PHONE,Unspecified,QUEENS,40.72649487036839,-73.8826426540182,"{'latitude': '40.72649487036839', 'longitude': '-73.8826426540182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,58 AVENUE,CALDWELL AVENUE,58 AVENUE,CALDWELL AVENUE,78 STREET,,,,,
59454210,2023-09-30T10:56:48.000,,DOB,Department of Buildings,Water Drainage,Drain/Pipe Clogged,Street,11366,75-56 195 STREET,195 STREET,ADDRESS,FRESH MEADOWS,In Progress,,,08 QUEENS,4072100032,QUEENS,1046259,205905,ONLINE,Unspecified,QUEENS,40.73162097200612,-73.77626115292223,"{'latitude': '40.73162097200612', 'longitude': '-73.77626115292223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,75 AVENUE,UNION TURNPIKE,75 AVENUE,UNION TURNPIKE,195 STREET,,,,,
58973002,2023-09-30T10:56:26.000,2023-11-21T08:43:55.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11238,661 VANDERBILT AVENUE,VANDERBILT AVENUE,ADDRESS,BROOKLYN,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-21T08:44:01.000,08 BROOKLYN,3011590006,BROOKLYN,992841,185990,ONLINE,Unspecified,BROOKLYN,40.67717217562864,-73.96902757543754,"{'latitude': '40.67717217562864', 'longitude': '-73.96902757543754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,PROSPECT PLACE,PARK PLACE,PROSPECT PLACE,PARK PLACE,VANDERBILT AVENUE,"661 VANDERBILT AVENUE, BROOKLYN, NY, 11238",,,,
59460935,2023-09-30T10:56:26.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11226,310 EAST   25 STREET,EAST   25 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-02T00:00:00.000,17 BROOKLYN,3051900009,BROOKLYN,997151,173337,MOBILE,Unspecified,BROOKLYN,40.64243725006503,-73.95351329817751,"{'latitude': '40.64243725006503', 'longitude': '-73.95351329817751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,CLARENDON ROAD,AVENUE D,CLARENDON ROAD,AVENUE D,EAST   25 STREET,,,,,
58968474,2023-09-30T10:56:24.000,2023-09-30T11:17:04.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11429,227-51 112 ROAD,112 ROAD,ADDRESS,QUEENS VILLAGE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T11:17:07.000,13 QUEENS,4112270121,QUEENS,1059375,196074,PHONE,Unspecified,QUEENS,40.70453569202535,-73.72904642645717,"{'latitude': '40.70453569202535', 'longitude': '-73.72904642645717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,227 STREET,CROSS ISLAND PARKWAY,227 STREET,CROSS ISLAND PARKWAY,112 ROAD,,,,,
58968264,2023-09-30T10:56:00.000,2023-09-30T18:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11214,112 BAY   49 STREET,BAY   49 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T18:30:00.000,13 BROOKLYN,3069160024,BROOKLYN,988056,153249,ONLINE,Unspecified,BROOKLYN,40.58730842353172,-73.98629700624991,"{'latitude': '40.58730842353172', 'longitude': '-73.98629700624991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,HARWAY AVE,CROPSEY AVE,,,,,,,,
58972031,2023-09-30T10:56:00.000,2023-10-02T08:55:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11208,226 AMBER STREET,AMBER STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-10-02T08:55:00.000,05 BROOKLYN,3044730018,BROOKLYN,1023514,183810,PHONE,Unspecified,BROOKLYN,40.67110566469665,-73.85845755214845,"{'latitude': '40.67110566469665', 'longitude': '-73.85845755214845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,DUMONT AVE,LINDEN BLVD,,,,,,,,
58976797,2023-09-30T10:56:00.000,2023-09-30T21:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11691,11-50 REDFERN AVENUE,REDFERN AVENUE,ADDRESS,FAR ROCKAWAY,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T21:30:00.000,14 QUEENS,4155020079,QUEENS,1054467,162225,PHONE,Unspecified,QUEENS,40.611668327947974,-73.74710048582013,"{'latitude': '40.611668327947974', 'longitude': '-73.74710048582013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,NASSAU CNTY BNDY,BEACH 11 ST,,,,,,,,
58968281,2023-09-30T10:56:00.000,2023-10-02T19:20:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11208,561 CHESTNUT STREET,CHESTNUT STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-10-02T19:20:00.000,05 BROOKLYN,3042490006,BROOKLYN,1019498,184573,ONLINE,Unspecified,BROOKLYN,40.67321682689244,-73.87293078377898,"{'latitude': '40.67321682689244', 'longitude': '-73.87293078377898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BELMONT AVE,SUTTER AVE,,,,,,,,
58970768,2023-09-30T10:56:00.000,2023-09-30T20:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10466,4213 BRUNER AVENUE,BRUNER AVENUE,ADDRESS,BRONX,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T20:30:00.000,12 BRONX,2050120019,BRONX,1026217,265308,ONLINE,Unspecified,BRONX,40.894783139803685,-73.84820444506957,"{'latitude': '40.894783139803685', 'longitude': '-73.84820444506957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BUSSING AVE,PITMAN AVE,,,,,,,,
58975215,2023-09-30T10:55:51.000,2023-09-30T11:24:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11238,661 VANDERBILT AVENUE,VANDERBILT AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T11:24:17.000,08 BROOKLYN,3011590006,BROOKLYN,992841,185990,ONLINE,Unspecified,BROOKLYN,40.67717217562864,-73.96902757543754,"{'latitude': '40.67717217562864', 'longitude': '-73.96902757543754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,PROSPECT PLACE,PARK PLACE,PROSPECT PLACE,PARK PLACE,VANDERBILT AVENUE,,,,,
59442854,2023-09-30T10:55:38.000,2023-10-02T19:20:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,11208,561 CHESTNUT STREET,CHESTNUT STREET,ADDRESS,BROOKLYN,Closed,,2023-10-02T19:20:00.000,05 BROOKLYN,3042490006,BROOKLYN,1019498,184573,ONLINE,Unspecified,BROOKLYN,40.67321682689244,-73.87293078377898,"{'latitude': '40.67321682689244', 'longitude': '-73.87293078377898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BELMONT AVENUE,SUTTER AVENUE,BELMONT AVENUE,SUTTER AVENUE,CHESTNUT STREET,,,,,
59446893,2023-09-30T10:55:21.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,10462,2363 LYON AVENUE,LYON AVENUE,ADDRESS,BRONX,Closed,,2023-10-01T00:00:00.000,10 BRONX,2039720038,BRONX,1026148,244418,PHONE,Unspecified,BRONX,40.83744684960191,-73.8485846267631,"{'latitude': '40.83744684960191', 'longitude': '-73.8485846267631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,PARKER STREET,ZEREGA AVENUE,PARKER STREET,ZEREGA AVENUE,LYON AVENUE,,,,,
59439776,2023-09-30T10:55:15.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Electric,Power Outage,Building-Wide,11224,2980 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,PHONE,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,
58969403,2023-09-30T10:55:02.000,2023-10-05T08:17:16.000,DSNY,Department of Sanitation,Litter Basket Complaint,Overflowing,Street,11433,ARCHER AVENUE,ARCHER AVENUE,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T09:56:20.000,12 QUEENS,,QUEENS,1041685,195985,ONLINE,Unspecified,QUEENS,40.70442391454814,-73.79284948963108,"{'latitude': '40.70442391454814', 'longitude': '-73.79284948963108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ARCHER AVENUE,MERRICK BOULEVARD,ARCHER AVENUE,MERRICK BOULEVARD,,,,,,
58974745,2023-09-30T10:54:49.000,2023-09-30T11:13:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,342 55 STREET,55 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T11:13:44.000,07 BROOKLYN,3008300023,BROOKLYN,979659,174010,MOBILE,Unspecified,BROOKLYN,40.64429269633668,-74.01654339772712,"{'latitude': '40.64429269633668', 'longitude': '-74.01654339772712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,GOWANUS EXPWY EB EN BELT PKWY,4 AVENUE,GOWANUS EXPWY EB EN BELT PKWY,4 AVENUE,55 STREET,,,,,
59459667,2023-09-30T10:54:47.000,2023-10-02T08:55:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11208,226 AMBER STREET,AMBER STREET,ADDRESS,BROOKLYN,Closed,,2023-10-02T08:55:00.000,05 BROOKLYN,3044730018,BROOKLYN,1023514,183810,PHONE,Unspecified,BROOKLYN,40.67110566469665,-73.85845755214845,"{'latitude': '40.67110566469665', 'longitude': '-73.85845755214845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,DUMONT AVENUE,LINDEN BOULEVARD,DUMONT AVENUE,LINDEN BOULEVARD,AMBER STREET,,,,,
58973070,2023-09-30T10:54:28.000,2023-10-21T11:42:58.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,10021,12 EAST   75 STREET,EAST   75 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation collected the requested items.,2023-10-02T09:02:23.000,08 MANHATTAN,1013890062,MANHATTAN,993995,221291,ONLINE,Unspecified,MANHATTAN,40.774063629211426,-73.96481603684367,"{'latitude': '40.774063629211426', 'longitude': '-73.96481603684367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,EAST   75 STREET,,,,,
58977550,2023-09-30T10:54:26.000,2023-10-22T17:13:15.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11427,88-29 208 STREET,208 STREET,ADDRESS,QUEENS VILLAGE,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-22T00:00:00.000,13 QUEENS,4105830049,QUEENS,1051453,202250,ONLINE,Unspecified,QUEENS,40.72155098681946,-73.75755692386217,"{'latitude': '40.72155098681946', 'longitude': '-73.75755692386217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
