unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment
58838371,2023-09-17T15:37:53.000,2023-09-17T15:44:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10014,BLEECKER STREET,BLEECKER STREET,BLEECKER STREET,WEST   11 STREET,BLEECKER STREET,WEST   11 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T15:44:29.000,02 MANHATTAN,,MANHATTAN,982829,207407,ONLINE,Unspecified,MANHATTAN,40.735960838182784,-74.0051275341305,"{'latitude': '40.735960838182784', 'longitude': '-74.0051275341305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837041,2023-09-17T15:37:23.000,2023-09-17T16:56:13.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11377,28-19 56 PLACE,56 PLACE,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,ADDRESS,WOODSIDE,56 PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:56:18.000,01 QUEENS,4010240053,QUEENS,1010614,216546,ONLINE,Unspecified,QUEENS,40.761005898478665,-73.90483239470402,"{'latitude': '40.761005898478665', 'longitude': '-73.90483239470402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843047,2023-09-17T15:37:09.000,2023-09-18T13:27:55.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11103,28-05 STEINWAY STREET,STEINWAY STREET,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,ADDRESS,ASTORIA,STEINWAY STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T13:27:00.000,01 QUEENS,4006630019,QUEENS,1008104,218084,ONLINE,Unspecified,QUEENS,40.76523443871357,-73.91388741823258,"{'latitude': '40.76523443871357', 'longitude': '-73.91388741823258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838110,2023-09-17T15:37:03.000,2023-09-17T16:28:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,982 DECATUR STREET,DECATUR STREET,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,DECATUR STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T16:28:49.000,04 BROOKLYN,3034320016,BROOKLYN,1008742,188679,ONLINE,Unspecified,BROOKLYN,40.68452315323767,-73.91169126314222,"{'latitude': '40.68452315323767', 'longitude': '-73.91169126314222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839379,2023-09-17T15:37:03.000,2023-09-17T15:56:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,90 MILLER AVENUE,MILLER AVENUE,ARLINGTON AVENUE,FULTON STREET,ARLINGTON AVENUE,FULTON STREET,ADDRESS,BROOKLYN,MILLER AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T15:56:57.000,05 BROOKLYN,3036640028,BROOKLYN,1013957,186705,MOBILE,Unspecified,BROOKLYN,40.67908900964059,-73.89289669736954,"{'latitude': '40.67908900964059', 'longitude': '-73.89289669736954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839123,2023-09-17T15:36:59.000,2023-09-17T17:22:39.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10462,60 METROPOLITAN OVAL,METROPOLITAN OVAL,UNIONPORT ROAD,METROPOLITAN AVENUE,UNIONPORT ROAD,METROPOLITAN AVENUE,ADDRESS,BRONX,METROPOLITAN OVAL,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T17:22:44.000,09 BRONX,2039387501,BRONX,1023056,244527,ONLINE,Unspecified,BRONX,40.83776015081624,-73.85975816915429,"{'latitude': '40.83776015081624', 'longitude': '-73.85975816915429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837154,2023-09-17T15:36:44.000,2023-09-17T16:00:53.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11235,2403 VOORHIES AVENUE,VOORHIES AVENUE,EAST   24 STREET,BEDFORD AVENUE,EAST   24 STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,VOORHIES AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T16:00:58.000,15 BROOKLYN,3074690044,BROOKLYN,999539,153034,PHONE,Unspecified,BROOKLYN,40.586705923116384,-73.94495449441914,"{'latitude': '40.586705923116384', 'longitude': '-73.94495449441914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842757,2023-09-17T15:36:40.000,2023-09-17T21:04:51.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11420,114-51 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,ADDRESS,SOUTH OZONE PARK,LEFFERTS BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T21:04:55.000,10 QUEENS,4116460037,QUEENS,1034162,186292,ONLINE,Unspecified,QUEENS,40.67786455365112,-73.8200543872248,"{'latitude': '40.67786455365112', 'longitude': '-73.8200543872248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839748,2023-09-17T15:36:09.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11205,110 VANDERBILT AVENUE,VANDERBILT AVENUE,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,VANDERBILT AVENUE,In Progress,,,02 BROOKLYN,3020460072,BROOKLYN,992543,192268,UNKNOWN,Unspecified,BROOKLYN,40.69440413264963,-73.97009420308066,"{'latitude': '40.69440413264963', 'longitude': '-73.97009420308066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843317,2023-09-17T15:36:07.000,2023-09-17T16:36:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10301,30 DANIEL LOW TERRACE,DANIEL LOW TERRACE,BELMONT PLACE,FORT HILL CIRCLE,BELMONT PLACE,FORT HILL CIRCLE,ADDRESS,STATEN ISLAND,DANIEL LOW TERRACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:36:09.000,01 STATEN ISLAND,5000280077,STATEN ISLAND,961530,173878,ONLINE,Unspecified,STATEN ISLAND,40.64390243266814,-74.08186971257727,"{'latitude': '40.64390243266814', 'longitude': '-74.08186971257727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841024,2023-09-17T15:36:04.000,2023-09-17T17:02:06.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11235,1607 SHEEPSHEAD BAY ROAD,SHEEPSHEAD BAY ROAD,EAST   16 STREET,JEROME AVENUE,EAST   16 STREET,JEROME AVENUE,ADDRESS,BROOKLYN,SHEEPSHEAD BAY ROAD,Closed,N/A,2023-09-17T17:02:09.000,15 BROOKLYN,3074600091,BROOKLYN,997290,153205,PHONE,Unspecified,BROOKLYN,40.587178877788624,-73.9530513137937,"{'latitude': '40.587178877788624', 'longitude': '-73.9530513137937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839826,2023-09-17T15:35:56.000,2023-10-03T14:50:46.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11104,46-16 QUEENS BOULEVARD,QUEENS BOULEVARD,46 STREET,47 STREET,46 STREET,47 STREET,ADDRESS,SUNNYSIDE,QUEENS BOULEVARD,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-03T14:50:59.000,02 QUEENS,4001520001,QUEENS,1006847,210025,PHONE,Unspecified,QUEENS,40.743117842507466,-73.9184522503621,"{'latitude': '40.743117842507466', 'longitude': '-73.9184522503621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838071,2023-09-17T15:35:46.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Special Natural Area District (SNAD),Illegal Tree Removal/Topo. Change in SNAD,,11377,52-13 ROOSEVELT AVENUE,ROOSEVELT AVENUE,,,,,ADDRESS,WOODSIDE,,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Parks and Recreation for further action.,2023-09-25T00:00:00.000,02 QUEENS,4013150077,QUEENS,1008564,210438,UNKNOWN,Unspecified,QUEENS,40.744246869798104,-73.91225447490513,"{'latitude': '40.744246869798104', 'longitude': '-73.91225447490513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842555,2023-09-17T15:35:28.000,2023-09-17T16:18:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,265 EAST  182 STREET,EAST  182 STREET,RYER AVENUE,VALENTINE AVENUE,RYER AVENUE,VALENTINE AVENUE,ADDRESS,BRONX,EAST  182 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T16:18:59.000,05 BRONX,2031500045,BRONX,1012093,251000,ONLINE,Unspecified,BRONX,40.85556798829767,-73.89935066841451,"{'latitude': '40.85556798829767', 'longitude': '-73.89935066841451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842844,2023-09-17T15:35:24.000,2023-09-17T17:13:54.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T17:13:59.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843956,2023-09-17T15:35:21.000,2023-09-26T09:31:19.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11238,1030 FULTON STREET,FULTON STREET,DOWNING STREET,IRVING PLACE,DOWNING STREET,IRVING PLACE,ADDRESS,BROOKLYN,FULTON STREET,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-26T09:31:23.000,02 BROOKLYN,3020150034,BROOKLYN,995414,187742,MOBILE,Crispus Attucks Playground,BROOKLYN,40.68197814701527,-73.95974844925618,"{'latitude': '40.68197814701527', 'longitude': '-73.95974844925618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839241,2023-09-17T15:35:19.000,2023-09-17T15:57:21.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11375,113-30 QUEENS BOULEVARD,QUEENS BOULEVARD,76 AVENUE,76 ROAD,76 AVENUE,76 ROAD,ADDRESS,FOREST HILLS,QUEENS BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T15:57:24.000,06 QUEENS,4033400024,QUEENS,1029844,200730,ONLINE,Unspecified,QUEENS,40.717516724493024,-73.83552411482275,"{'latitude': '40.717516724493024', 'longitude': '-73.83552411482275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58844191,2023-09-17T15:35:00.000,2023-09-20T18:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10462,974 MORRIS PARK AVENUE,MORRIS PARK AVENUE,RADCLIFF AVE,COLDEN AVE,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T18:00:00.000,11 BRONX,2041010001,BRONX,1023837,248185,ONLINE,Unspecified,BRONX,40.847796811198926,-73.85691410780264,"{'latitude': '40.847796811198926', 'longitude': '-73.85691410780264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58842054,2023-09-17T15:35:00.000,2023-09-19T11:33:28.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,11372,34-49 84 STREET,84 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,JACKSON HEIGHTS,84 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T05:06:06.000,03 QUEENS,4014450046,QUEENS,1016687,213495,ONLINE,Unspecified,QUEENS,40.75261149387477,-73.88292509012223,"{'latitude': '40.75261149387477', 'longitude': '-73.88292509012223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841387,2023-09-17T15:34:41.000,2023-09-17T16:01:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11216,343 TOMPKINS AVENUE,TOMPKINS AVENUE,MONROE STREET,MADISON STREET,MONROE STREET,MADISON STREET,ADDRESS,BROOKLYN,TOMPKINS AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T16:01:04.000,03 BROOKLYN,3018200009,BROOKLYN,999658,189232,ONLINE,Unspecified,BROOKLYN,40.68606148611782,-73.94444339913552,"{'latitude': '40.68606148611782', 'longitude': '-73.94444339913552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58844975,2023-09-17T15:34:33.000,2023-10-24T13:12:28.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10026,48 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  112 STREET,WEST  113 STREET,WEST  112 STREET,WEST  113 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,NYC Parks inspected the condition and determined that no work was needed.,2023-10-24T13:12:33.000,10 MANHATTAN,1018220024,MANHATTAN,997408,230850,MOBILE,St. Nicholas Park,MANHATTAN,40.80029610120122,-73.95247480385893,"{'latitude': '40.80029610120122', 'longitude': '-73.95247480385893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838473,2023-09-17T15:34:22.000,2023-09-17T20:05:40.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11435,145-08 105 AVENUE,105 AVENUE,INWOOD STREET,PRINCETON STREET,INWOOD STREET,PRINCETON STREET,ADDRESS,JAMAICA,105 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T20:05:44.000,12 QUEENS,4100470002,QUEENS,1037800,191789,MOBILE,Unspecified,QUEENS,40.69293126513955,-73.80689481317395,"{'latitude': '40.69293126513955', 'longitude': '-73.80689481317395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841787,2023-09-17T15:34:20.000,2023-09-17T17:13:39.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T17:13:43.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839727,2023-09-17T15:34:18.000,2023-09-18T12:33:03.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Bicycle Chained to Tree,Street,11220,761 56 STREET,56 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,56 STREET,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-18T12:33:08.000,07 BROOKLYN,3008340053,BROOKLYN,982073,171772,ONLINE,Unspecified,BROOKLYN,40.63815078858684,-74.00784396903221,"{'latitude': '40.63815078858684', 'longitude': '-74.00784396903221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840214,2023-09-17T15:34:18.000,2023-09-17T16:07:06.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11210,984 EAST   38 STREET,EAST   38 STREET,DEAD END,AVENUE I,DEAD END,AVENUE I,ADDRESS,BROOKLYN,EAST   38 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T16:07:12.000,18 BROOKLYN,3075830058,BROOKLYN,1000975,169168,PHONE,Unspecified,BROOKLYN,40.630987840370054,-73.93974445958112,"{'latitude': '40.630987840370054', 'longitude': '-73.93974445958112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838598,2023-09-17T15:34:10.000,,DOT,Department of Transportation,Street Condition,Pothole,,11413,193 STREET,193 STREET,120 AVENUE,122 AVENUE,,,BLOCKFACE,QUEENS,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2023-09-17T15:34:10.000,12 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,
58838499,2023-09-17T15:34:01.000,2023-09-17T16:00:54.000,NYPD,New York City Police Department,Posting Advertisement,Building,Residential Building/House,11206,28 FORREST STREET,FORREST STREET,BUSHWICK AVENUE,STANWIX STREET,BUSHWICK AVENUE,STANWIX STREET,ADDRESS,BROOKLYN,FORREST STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T16:00:58.000,04 BROOKLYN,3031450108,BROOKLYN,1002148,194641,ONLINE,Unspecified,BROOKLYN,40.700903250576324,-73.93545084151029,"{'latitude': '40.700903250576324', 'longitude': '-73.93545084151029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838323,2023-09-17T15:33:33.000,2023-09-17T16:07:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11232,406 43 STREET,43 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,43 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:07:09.000,07 BROOKLYN,3007290010,BROOKLYN,982026,176120,ONLINE,Unspecified,BROOKLYN,40.65008510073694,-74.00801474856729,"{'latitude': '40.65008510073694', 'longitude': '-74.00801474856729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839753,2023-09-17T15:33:12.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11215,532 TENTH STREET,TENTH STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,10 STREET,In Progress,,,06 BROOKLYN,3010180041,BROOKLYN,989078,182114,MOBILE,Unspecified,BROOKLYN,40.666536276579194,-73.98259678506366,"{'latitude': '40.666536276579194', 'longitude': '-73.98259678506366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837085,2023-09-17T15:33:07.000,2023-09-17T15:33:55.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11235,371 BRIGHTON BEACH AVENUE,BRIGHTON BEACH AVENUE,BRIGHTON    3 STREET,BRIGHTON    4 STREET,BRIGHTON    3 STREET,BRIGHTON    4 STREET,ADDRESS,BROOKLYN,BRIGHTON BEACH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T15:33:58.000,13 BROOKLYN,,BROOKLYN,994361,149551,PHONE,Unspecified,BROOKLYN,40.577153196969135,-73.96360223137009,"{'latitude': '40.577153196969135', 'longitude': '-73.96360223137009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842364,2023-09-17T15:32:50.000,2023-09-17T15:44:06.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10011,106 WEST   24 STREET,WEST   24 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   24 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T15:44:09.000,04 MANHATTAN,1007990035,MANHATTAN,986225,210260,PHONE,Unspecified,MANHATTAN,40.74379150817509,-73.99287257551978,"{'latitude': '40.74379150817509', 'longitude': '-73.99287257551978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841276,2023-09-17T15:32:45.000,2023-11-06T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11207,1220 DECATUR STREET,DECATUR STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-06T00:00:00.000,04 BROOKLYN,3034350023,BROOKLYN,1010033,190414,UNKNOWN,Unspecified,BROOKLYN,40.68928166158231,-73.90702977738046,"{'latitude': '40.68928166158231', 'longitude': '-73.90702977738046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843481,2023-09-17T15:32:41.000,2023-09-17T16:33:08.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T16:33:15.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837835,2023-09-17T15:32:26.000,2023-09-17T17:46:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11201,70 WASHINGTON STREET,WASHINGTON STREET,FRONT STREET,YORK STREET,FRONT STREET,YORK STREET,ADDRESS,BROOKLYN,WASHINGTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T17:46:51.000,02 BROOKLYN,3000457501,BROOKLYN,987118,195100,MOBILE,Unspecified,BROOKLYN,40.70218073336258,-73.98965635726152,"{'latitude': '40.70218073336258', 'longitude': '-73.98965635726152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843584,2023-09-17T15:32:12.000,2023-09-17T15:57:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,27 EAST   40 STREET,EAST   40 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   40 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T15:57:08.000,17 BROOKLYN,3048450038,BROOKLYN,1000773,178037,MOBILE,Unspecified,BROOKLYN,40.65533171179233,-73.94045048770687,"{'latitude': '40.65533171179233', 'longitude': '-73.94045048770687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837247,2023-09-17T15:32:04.000,2023-09-17T15:56:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,90 MILLER AVENUE,MILLER AVENUE,ARLINGTON AVENUE,FULTON STREET,ARLINGTON AVENUE,FULTON STREET,ADDRESS,BROOKLYN,MILLER AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T15:56:33.000,05 BROOKLYN,3036640028,BROOKLYN,1013957,186705,MOBILE,Unspecified,BROOKLYN,40.67908900964059,-73.89289669736954,"{'latitude': '40.67908900964059', 'longitude': '-73.89289669736954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58836933,2023-09-17T15:32:00.000,2023-09-17T16:00:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11210,,,,,EAST 24 STREET,KINGS HIGHWAY,INTERSECTION,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-17T16:00:00.000,14 BROOKLYN,,BROOKLYN,998143,162363,PHONE,Unspecified,BROOKLYN,40.612314432586544,-73.94996137307788,"{'latitude': '40.612314432586544', 'longitude': '-73.94996137307788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843168,2023-09-17T15:32:00.000,2023-09-18T15:13:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11201,331 PACIFIC STREET,PACIFIC STREET,SMITH ST,HOYT ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-18T15:13:00.000,02 BROOKLYN,3001820031,BROOKLYN,987647,189669,ONLINE,Unspecified,BROOKLYN,40.68727371033447,-73.98775122066112,"{'latitude': '40.68727371033447', 'longitude': '-73.98775122066112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58842018,2023-09-17T15:31:58.000,2023-09-20T06:03:51.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11208,2858 LINDEN BOULEVARD,LINDEN BOULEVARD,EMERALD STREET,AMBER STREET,EMERALD STREET,AMBER STREET,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T05:41:26.000,05 BROOKLYN,3044967501,BROOKLYN,1023451,183423,PHONE,Unspecified,BROOKLYN,40.67004371682641,-73.85868691048096,"{'latitude': '40.67004371682641', 'longitude': '-73.85868691048096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
