unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction,taxi_pick_up_location
58937334,2023-09-27T04:05:20.000,2023-09-27T04:12:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,50 EAST  104 STREET,EAST  104 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST  104 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T04:12:59.000,11 MANHATTAN,1016080023,MANHATTAN,998068,227879,ONLINE,Unspecified,MANHATTAN,40.792140506423976,-73.9500970728466,"{'latitude': '40.792140506423976', 'longitude': '-73.9500970728466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943725,2023-09-27T04:04:58.000,2023-09-27T04:12:27.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,1760 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST  109 STREET,EAST  110 STREET,EAST  109 STREET,EAST  110 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T04:12:33.000,11 MANHATTAN,1016370001,MANHATTAN,999587,228757,ONLINE,Unspecified,MANHATTAN,40.79454787301923,-73.94460928642965,"{'latitude': '40.79454787301923', 'longitude': '-73.94460928642965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58942449,2023-09-27T04:01:25.000,2023-09-27T06:09:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11427,206-09 86 ROAD,86 ROAD,204 STREET,208 STREET,204 STREET,208 STREET,ADDRESS,QUEENS VILLAGE,86 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T06:09:18.000,08 QUEENS,4105990100,QUEENS,1050113,203038,ONLINE,Unspecified,QUEENS,40.723723926322464,-73.7623834030916,"{'latitude': '40.723723926322464', 'longitude': '-73.7623834030916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945000,2023-09-27T04:00:22.000,2023-09-27T05:36:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,626 BERGEN AVENUE,BERGEN AVENUE,EAST  152 STREET,EAST  153 STREET,EAST  152 STREET,EAST  153 STREET,ADDRESS,BRONX,BERGEN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T05:36:06.000,01 BRONX,2023610025,BRONX,1007900,237079,ONLINE,Unspecified,BRONX,40.81737111990692,-73.9145569693777,"{'latitude': '40.81737111990692', 'longitude': '-73.9145569693777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58942295,2023-09-27T03:54:32.000,2023-09-27T04:18:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11206,80 HART STREET,HART STREET,MARCY AVENUE,TOMPKINS AVENUE,MARCY AVENUE,TOMPKINS AVENUE,ADDRESS,BROOKLYN,HART STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-27T04:18:34.000,03 BROOKLYN,3017710005,BROOKLYN,998593,191840,ONLINE,Unspecified,BROOKLYN,40.69322163473543,-73.9482779145767,"{'latitude': '40.69322163473543', 'longitude': '-73.9482779145767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937042,2023-09-27T03:54:28.000,2023-09-27T04:40:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,84-41 85 DRIVE,85 DRIVE,FOREST PARKWAY,85 STREET,FOREST PARKWAY,85 STREET,ADDRESS,WOODHAVEN,85 DRIVE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T04:40:36.000,09 QUEENS,4088560121,QUEENS,1022845,192322,ONLINE,Unspecified,QUEENS,40.69447207837842,-73.86082046647141,"{'latitude': '40.69447207837842', 'longitude': '-73.86082046647141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58942294,2023-09-27T03:54:17.000,2023-09-27T04:27:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10460,1776 BOSTON ROAD,BOSTON ROAD,EAST  174 STREET,HOE AVENUE,EAST  174 STREET,HOE AVENUE,ADDRESS,BRONX,BOSTON ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T04:27:24.000,03 BRONX,2029910005,BRONX,1015570,244581,ONLINE,Unspecified,BRONX,40.83793808740412,-73.88681169829917,"{'latitude': '40.83793808740412', 'longitude': '-73.88681169829917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938302,2023-09-27T03:54:00.000,2023-09-27T04:02:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10458,2889A BRIGGS AVENUE,BRIGGS AVENUE,EAST  198 STREET,EAST  199 STREET,EAST  198 STREET,EAST  199 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T04:02:53.000,07 BRONX,2033020042,BRONX,1015238,256176,PHONE,Unspecified,BRONX,40.86976405513701,-73.88795792482024,"{'latitude': '40.86976405513701', 'longitude': '-73.88795792482024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945388,2023-09-27T03:53:00.000,2023-09-27T04:25:31.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11429,225-36 111 AVENUE,111 AVENUE,225 STREET,227 STREET,225 STREET,227 STREET,ADDRESS,QUEENS VILLAGE,111 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T04:25:34.000,13 QUEENS,4112090048,QUEENS,1058683,196616,ONLINE,Unspecified,QUEENS,40.70602919541233,-73.73153625827183,"{'latitude': '40.70602919541233', 'longitude': '-73.73153625827183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58941218,2023-09-27T03:52:06.000,2023-09-27T03:58:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11226,2210 NEWKIRK AVENUE,NEWKIRK AVENUE,EAST   22 STREET,EAST   23 STREET,EAST   22 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,NEWKIRK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T03:58:22.000,14 BROOKLYN,3052220064,BROOKLYN,996284,171988,ONLINE,Unspecified,BROOKLYN,40.63873575495866,-73.95663980039258,"{'latitude': '40.63873575495866', 'longitude': '-73.95663980039258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936735,2023-09-27T03:51:56.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11220,150 55 STREET,55 STREET,1 AVENUE,2 AVENUE,1 AVENUE,2 AVENUE,ADDRESS,BROOKLYN,55 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T07:50:29.000,07 BROOKLYN,3008280001,BROOKLYN,978442,174975,ONLINE,Unspecified,BROOKLYN,40.64694069858286,-74.02092961613677,"{'latitude': '40.64694069858286', 'longitude': '-74.02092961613677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938488,2023-09-27T03:51:49.000,2023-09-27T04:33:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,920 VERMONT STREET,VERMONT STREET,STANLEY AVENUE,WORTMAN AVENUE,STANLEY AVENUE,WORTMAN AVENUE,ADDRESS,BROOKLYN,VERMONT STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T04:33:44.000,05 BROOKLYN,3043690001,BROOKLYN,1015472,178747,PHONE,Unspecified,BROOKLYN,40.6572408775542,-73.88747149729939,"{'latitude': '40.6572408775542', 'longitude': '-73.88747149729939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936936,2023-09-27T03:51:15.000,2023-09-27T05:19:25.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,10467,2270 BRONX PARK EAST,BRONX PARK EAST,THWAITES PLACE,WARING AVENUE,THWAITES PLACE,WARING AVENUE,ADDRESS,BRONX,BRONX PARK EAST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T05:19:29.000,11 BRONX,2043400006,BRONX,1019986,252406,MOBILE,Unspecified,BRONX,40.85939861298041,-73.87081089705951,"{'latitude': '40.85939861298041', 'longitude': '-73.87081089705951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944590,2023-09-27T03:50:00.000,2023-09-27T19:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11378,,,,,54 PLACE,FLUSHING AVENUE,INTERSECTION,QUEENS,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T19:30:00.000,05 QUEENS,,QUEENS,1008415,199914,ONLINE,Unspecified,QUEENS,40.715361486322024,-73.91282998714223,"{'latitude': '40.715361486322024', 'longitude': '-73.91282998714223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58940213,2023-09-27T03:49:23.000,2023-11-15T20:48:06.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11230,1510 OCEAN PARKWAY,OCEAN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-15T00:00:00.000,12 BROOKLYN,3066120001,BROOKLYN,993106,162090,PHONE,Unspecified,BROOKLYN,40.611571569805285,-73.96810356766163,"{'latitude': '40.611571569805285', 'longitude': '-73.96810356766163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944971,2023-09-27T03:49:03.000,2023-09-27T04:15:09.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10031,267 EDGECOMBE AVENUE,EDGECOMBE AVENUE,WEST  145 STREET,WEST  150 STREET,WEST  145 STREET,WEST  150 STREET,ADDRESS,NEW YORK,EDGECOMBE AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T04:15:14.000,09 MANHATTAN,1020530009,MANHATTAN,999931,239617,ONLINE,Unspecified,MANHATTAN,40.82435495223772,-73.94334153639909,"{'latitude': '40.82435495223772', 'longitude': '-73.94334153639909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939291,2023-09-27T03:48:09.000,2023-09-27T12:52:01.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10035,2085 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST  125 STREET,EAST  126 STREET,EAST  125 STREET,EAST  126 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-27T12:52:05.000,11 MANHATTAN,1017740051,MANHATTAN,1001683,232526,MOBILE,Unspecified,MANHATTAN,40.804888860293964,-73.93702964417822,"{'latitude': '40.804888860293964', 'longitude': '-73.93702964417822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938474,2023-09-27T03:47:04.000,2023-09-27T05:19:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,2270 BRONX PARK EAST,BRONX PARK EAST,THWAITES PLACE,WARING AVENUE,THWAITES PLACE,WARING AVENUE,ADDRESS,BRONX,BRONX PARK EAST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T05:19:45.000,11 BRONX,2043400006,BRONX,1019986,252406,MOBILE,Unspecified,BRONX,40.85939861298041,-73.87081089705951,"{'latitude': '40.85939861298041', 'longitude': '-73.87081089705951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939524,2023-09-27T03:47:00.000,2023-09-27T16:53:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10044,465 MAIN STREET,MAIN STREET,BEND,BEND,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-27T16:53:00.000,08 MANHATTAN,1013730003,MANHATTAN,997647,216005,ONLINE,Unspecified,MANHATTAN,40.75955015031208,-73.95164116381785,"{'latitude': '40.75955015031208', 'longitude': '-73.95164116381785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58943427,2023-09-27T03:46:39.000,2023-09-27T04:27:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11435,147-36 94 AVENUE,94 AVENUE,SUTPHIN BOULEVARD,148 STREET,SUTPHIN BOULEVARD,148 STREET,ADDRESS,JAMAICA,94 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T04:27:14.000,12 QUEENS,4099997501,QUEENS,1037968,194094,ONLINE,Unspecified,QUEENS,40.699256921088654,-73.80627061223024,"{'latitude': '40.699256921088654', 'longitude': '-73.80627061223024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939950,2023-09-27T03:46:12.000,2023-09-27T03:53:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11226,2215 NEWKIRK AVENUE,NEWKIRK AVENUE,EAST   22 STREET,EAST   23 STREET,EAST   22 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,NEWKIRK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T03:53:11.000,14 BROOKLYN,3052080025,BROOKLYN,996288,171998,ONLINE,Unspecified,BROOKLYN,40.63876319738314,-73.95662536998938,"{'latitude': '40.63876319738314', 'longitude': '-73.95662536998938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945678,2023-09-27T03:44:51.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10105,1345 AVENUE OF AMERICAS,AVENUE OF AMERICAS,WEST 54 STREET,WEST 55 STREET,WEST   54 STREET,WEST   55 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T08:49:13.000,05 MANHATTAN,1010070029,MANHATTAN,990217,217115,MOBILE,Unspecified,MANHATTAN,40.762604951668195,-73.9784600732737,"{'latitude': '40.762604951668195', 'longitude': '-73.9784600732737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943335,2023-09-27T03:44:00.000,2023-09-28T04:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11210,,,,,NOSTRAND AVENUE,AVENUE M,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T04:00:00.000,14 BROOKLYN,,BROOKLYN,999375,165020,ONLINE,Unspecified,BROOKLYN,40.61960532878832,-73.94551810926144,"{'latitude': '40.61960532878832', 'longitude': '-73.94551810926144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58936080,2023-09-27T03:43:29.000,2023-09-27T04:00:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,250 CLINTON STREET,CLINTON STREET,MADISON STREET,CHERRY STREET,MADISON STREET,CHERRY STREET,ADDRESS,NEW YORK,CLINTON STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T04:00:12.000,03 MANHATTAN,1002580001,MANHATTAN,987926,198524,ONLINE,Unspecified,MANHATTAN,40.71157850602321,-73.98674037949098,"{'latitude': '40.71157850602321', 'longitude': '-73.98674037949098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58935866,2023-09-27T03:42:50.000,2023-09-27T05:11:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11220,132 54 STREET,54 STREET,1 AVENUE,2 AVENUE,1 AVENUE,2 AVENUE,ADDRESS,BROOKLYN,54 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T05:11:43.000,07 BROOKLYN,3008200012,BROOKLYN,978525,175241,PHONE,Unspecified,BROOKLYN,40.647670865077366,-74.02063074442893,"{'latitude': '40.647670865077366', 'longitude': '-74.02063074442893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936039,2023-09-27T03:41:33.000,2023-09-27T04:04:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,325 EAST  115 STREET,EAST  115 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST  115 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T04:04:33.000,11 MANHATTAN,1016870014,MANHATTAN,1001596,229259,ONLINE,Unspecified,MANHATTAN,40.795922011471305,-73.93735233955827,"{'latitude': '40.795922011471305', 'longitude': '-73.93735233955827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943634,2023-09-27T03:40:34.000,2023-09-27T04:05:20.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11236,654 EAST   88 STREET,EAST   88 STREET,BAY VIEW PLACE,GLENWOOD ROAD,BAY VIEW PLACE,GLENWOOD ROAD,ADDRESS,BROOKLYN,EAST   88 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T04:05:28.000,18 BROOKLYN,3079920056,BROOKLYN,1009302,172935,ONLINE,Unspecified,BROOKLYN,40.641307812294514,-73.90973061829149,"{'latitude': '40.641307812294514', 'longitude': '-73.90973061829149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945248,2023-09-27T03:40:20.000,2023-10-07T17:37:57.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10453,65 EAST  175 STREET,EAST  175 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,05 BRONX,2028500067,BRONX,1008893,247913,ONLINE,Unspecified,BRONX,40.84710460483617,-73.91092964891654,"{'latitude': '40.84710460483617', 'longitude': '-73.91092964891654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939265,2023-09-27T03:38:44.000,2023-09-27T04:01:30.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T04:01:34.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938192,2023-09-27T03:38:00.000,2023-09-27T20:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10006,90 WEST STREET,WEST STREET,ALBANY ST,LIBERTY ST PEDESTRIAN OVPS,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T20:15:00.000,01 MANHATTAN,1000560004,MANHATTAN,980150,197987,ONLINE,Unspecified,MANHATTAN,40.71010438228108,-74.01478869474265,"{'latitude': '40.71010438228108', 'longitude': '-74.01478869474265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58944791,2023-09-27T03:37:19.000,2023-09-27T03:54:54.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10016,2 AVENUE,2 AVENUE,2 AVENUE,EAST   29 STREET,2 AVENUE,EAST   29 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T03:54:58.000,06 MANHATTAN,,MANHATTAN,990300,209478,ONLINE,Unspecified,MANHATTAN,40.74164326439986,-73.97816732752612,"{'latitude': '40.74164326439986', 'longitude': '-73.97816732752612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936869,2023-09-27T03:37:06.000,2023-10-05T09:31:09.000,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11434,155-11 115 DRIVE,115 DRIVE,155 STREET,157 STREET,155 STREET,157 STREET,ADDRESS,JAMAICA,115 DRIVE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-29T06:15:32.000,12 QUEENS,4121910085,QUEENS,1042568,188758,PHONE,Unspecified,QUEENS,40.6845817561912,-73.78972735932037,"{'latitude': '40.6845817561912', 'longitude': '-73.78972735932037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938618,2023-09-27T03:35:58.000,2023-09-27T04:00:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,250 CLINTON STREET,CLINTON STREET,MADISON STREET,CHERRY STREET,MADISON STREET,CHERRY STREET,ADDRESS,NEW YORK,CLINTON STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T04:00:32.000,03 MANHATTAN,1002580001,MANHATTAN,987926,198524,ONLINE,Unspecified,MANHATTAN,40.71157850602321,-73.98674037949098,"{'latitude': '40.71157850602321', 'longitude': '-73.98674037949098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58942134,2023-09-27T03:35:00.000,2023-09-27T21:57:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10033,706 WEST  179 STREET,WEST  179 STREET,BROADWAY,FT WASHINGTON AVE,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-27T21:57:00.000,12 MANHATTAN,1021760017,MANHATTAN,1001560,248597,ONLINE,Unspecified,MANHATTAN,40.84899940307248,-73.93743247322438,"{'latitude': '40.84899940307248', 'longitude': '-73.93743247322438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58944710,2023-09-27T03:34:38.000,2023-09-27T04:18:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,1071 76 STREET,76 STREET,10 AVENUE,11 AVENUE,10 AVENUE,11 AVENUE,ADDRESS,BROOKLYN,76 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T04:18:54.000,10 BROOKLYN,3059460049,BROOKLYN,980612,166166,ONLINE,Unspecified,BROOKLYN,40.62276302319647,-74.01310508981403,"{'latitude': '40.62276302319647', 'longitude': '-74.01310508981403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939649,2023-09-27T03:34:23.000,2023-09-27T05:00:08.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10464,651 KING AVENUE,KING AVENUE,SUTHERLAND STREET,TERRACE STREET,SUTHERLAND STREET,TERRACE STREET,ADDRESS,BRONX,KING AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T05:00:12.000,10 BRONX,2056480100,BRONX,1042424,251339,MOBILE,Unspecified,BRONX,40.85635068508148,-73.78970486455572,"{'latitude': '40.85635068508148', 'longitude': '-73.78970486455572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58941146,2023-09-27T03:34:08.000,2023-09-27T03:56:30.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11219,5918 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,59 STREET,60 STREET,59 STREET,60 STREET,ADDRESS,BROOKLYN,FORT HAMILTON PARKWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T03:56:37.000,12 BROOKLYN,3057080034,BROOKLYN,982852,170059,MOBILE,Unspecified,BROOKLYN,40.633449125301,-74.00503679197081,"{'latitude': '40.633449125301', 'longitude': '-74.00503679197081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58940284,2023-09-27T03:32:52.000,2023-11-15T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11421,86-02 PARK LANE SOUTH,PARK LANE SOUTH,,,,,ADDRESS,WOODHAVEN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-15T00:00:00.000,09 QUEENS,4088650001,QUEENS,1023314,193090,UNKNOWN,Unspecified,QUEENS,40.69657799963971,-73.85912472890881,"{'latitude': '40.69657799963971', 'longitude': '-73.85912472890881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943597,2023-09-27T03:29:47.000,2023-09-27T04:20:46.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,215A HIGHLAND BOULEVARD,HIGHLAND BOULEVARD,MILLER AVENUE,BULWER PLACE,MILLER AVENUE,BULWER PLACE,ADDRESS,BROOKLYN,HIGHLAND BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T04:20:54.000,05 BROOKLYN,3038850214,BROOKLYN,1013729,187714,MOBILE,Unspecified,BROOKLYN,40.68185924583066,-73.89371429612123,"{'latitude': '40.68185924583066', 'longitude': '-73.89371429612123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
