unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp,due_date
58874745,2023-09-20T19:26:29.000,2023-09-20T20:26:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,59-43 WOODBINE STREET,WOODBINE STREET,ADDRESS,RIDGEWOOD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T20:26:21.000,05 QUEENS,4034990060,QUEENS,1011459,196774,ONLINE,Unspecified,QUEENS,40.70673409987127,-73.90186211379036,"{'latitude': '40.70673409987127', 'longitude': '-73.90186211379036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FOREST AVENUE,60 PLACE,FOREST AVENUE,60 PLACE,WOODBINE STREET,,,,,,,
58875176,2023-09-20T19:26:12.000,2023-09-20T19:38:31.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10036,135 WEST   42 STREET,WEST   42 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T19:38:35.000,05 MANHATTAN,1009950033,MANHATTAN,988341,214461,ONLINE,Unspecified,MANHATTAN,40.75532146801386,-73.98523375154113,"{'latitude': '40.75532146801386', 'longitude': '-73.98523375154113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,BROADWAY,AVENUE OF THE AMERICAS,BROADWAY,WEST   42 STREET,,,,,,,
58872374,2023-09-20T19:26:06.000,2023-09-20T20:51:33.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,2034 MCDONALD AVENUE,MCDONALD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T20:51:37.000,11 BROOKLYN,3066800023,BROOKLYN,991913,158980,ONLINE,Unspecified,BROOKLYN,40.60303636860802,-73.97240389419474,"{'latitude': '40.60303636860802', 'longitude': '-73.97240389419474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BILLINGS PLACE,COLIN PLACE,BILLINGS PLACE,COLIN PLACE,MCDONALD AVENUE,,,,,,,
58877095,2023-09-20T19:26:05.000,2023-09-22T07:14:16.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11211,205 WILSON STREET,WILSON STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T07:14:21.000,01 BROOKLYN,3021780042,BROOKLYN,995401,196901,MOBILE,Unspecified,BROOKLYN,40.70711749282529,-73.95978015830663,"{'latitude': '40.70711749282529', 'longitude': '-73.95978015830663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEE AVENUE,DIVISION AVENUE,LEE AVENUE,DIVISION AVENUE,WILSON STREET,,,,,,,
58878785,2023-09-20T19:26:02.000,2023-09-20T21:02:31.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11201,235 ADAMS STREET,ADAMS STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T21:02:36.000,02 BROOKLYN,3000860011,BROOKLYN,987374,193029,MOBILE,Unspecified,BROOKLYN,40.696496235189116,-73.98873403597503,"{'latitude': '40.696496235189116', 'longitude': '-73.98873403597503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RED CROSS PLACE,TILLARY STREET BIKE PATH,RED CROSS PLACE,TILLARY STREET BIKE PATH,ADAMS STREET,,,,,,,
58870771,2023-09-20T19:26:00.000,2023-09-27T21:45:00.000,DEP,Department of Environmental Protection,Noise,"Noise: Boat(Engine,Music,Etc) (NR10)",,10307,,,INTERSECTION,STATEN ISLAND,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T21:45:00.000,03 STATEN ISLAND,,STATEN ISLAND,914210,122563,ONLINE,Unspecified,STATEN ISLAND,40.50280561647024,-74.2518513116352,"{'latitude': '40.50280561647024', 'longitude': '-74.2518513116352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,HYLAN BOULEVARD,SATTERLEE STREET,,N/A,,,,,,
58880225,2023-09-20T19:25:57.000,2023-09-20T21:21:38.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11220,466 SENATOR STREET,SENATOR STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T21:21:42.000,10 BROOKLYN,3058550034,BROOKLYN,978324,170767,PHONE,Unspecified,BROOKLYN,40.635390562953276,-74.02135114295945,"{'latitude': '40.635390562953276', 'longitude': '-74.02135114295945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,SENATOR STREET,,,,,,,
58879303,2023-09-20T19:25:39.000,2023-09-21T08:35:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10472,WHITE PLAINS ROAD,WHITE PLAINS ROAD,BLOCKFACE,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-21T08:35:00.000,09 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,BRUCKNER BOULEVARD,WATSON AVENUE,,,,N/A,,,,,,
58873005,2023-09-20T19:25:26.000,2023-09-27T10:21:58.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11413,146-77 181 STREET,181 STREET,ADDRESS,SPRINGFIELD GARDENS,Closed,"The Department of Transportation is unable to schedule a sidewalk dismissal inspection because there is no record of a permit to make a sidewalk repair. Owner must obtain a permit of record. Once a permit is obtained, the owner must call 3-1-1 to make another request for sidewalk dismissal - work done by owner.",2023-09-27T10:22:02.000,13 QUEENS,4133580015,QUEENS,1049202,180073,ONLINE,Unspecified,QUEENS,40.660697269577746,-73.76589146415456,"{'latitude': '40.660697269577746', 'longitude': '-73.76589146415456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",146 TERRACE,147 AVENUE,146 TERRACE,147 AVENUE,181 STREET,,,,,,,
58874131,2023-09-20T19:25:16.000,2023-09-21T16:50:30.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10461,2748 EAST TREMONT AVENUE,EAST TREMONT AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T16:50:35.000,10 BRONX,2039880045,BRONX,1027302,246123,PHONE,Unspecified,BRONX,40.842121020626024,-73.8444032446814,"{'latitude': '40.842121020626024', 'longitude': '-73.8444032446814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST RAYMOND AVENUE,FRISBY AVENUE,ST RAYMOND AVENUE,FRISBY AVENUE,EAST TREMONT AVENUE,,,,,,,
58880944,2023-09-20T19:25:16.000,2023-09-26T08:44:00.000,DOE,Department of Education,School Maintenance,Unclean Condition,School,11229,3787 BEDFORD AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Education completed the work and corrected the condition.,2023-09-26T08:44:02.000,15 BROOKLYN,3067880001,BROOKLYN,998546,161488,ONLINE,Unspecified,BROOKLYN,40.60991209691931,-73.9485117346521,"{'latitude': '40.60991209691931', 'longitude': '-73.9485117346521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,BEDFORD AVENUE,,,,,,,
58880927,2023-09-20T19:25:13.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10473,SOUNDVIEW PARK,SOUNDVIEW PARK,UNRECOGNIZED,BRONX,In Progress,,,09 BRONX,2035430105,BRONX,1018772,237244,MOBILE,Soundview Park,BRONX,40.81778820113692,-73.87527766095268,"{'latitude': '40.81778820113692', 'longitude': '-73.87527766095268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SEWARD AVENUE,LAFAYETTE AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,SOUNDVIEW PARK,,,,,,,
58875832,2023-09-20T19:24:50.000,2023-09-22T07:10:20.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11206,LEE AVENUE,LEE AVENUE,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T07:10:26.000,01 BROOKLYN,,BROOKLYN,996877,194606,ONLINE,Unspecified,BROOKLYN,40.70081627494719,-73.954460770821,"{'latitude': '40.70081627494719', 'longitude': '-73.954460770821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEE AVENUE,MIDDLETON STREET,LEE AVENUE,MIDDLETON STREET,,,,,,,,
58880761,2023-09-20T19:24:20.000,2023-09-20T20:07:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11215,111 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T20:07:05.000,06 BROOKLYN,3010680004,BROOKLYN,991564,184278,ONLINE,Unspecified,BROOKLYN,40.67247426837155,-73.97363329584172,"{'latitude': '40.67247426837155', 'longitude': '-73.97363329584172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PRESIDENT STREET,CARROLL STREET,PRESIDENT STREET,CARROLL STREET,8 AVENUE,,,,,,,
58880095,2023-09-20T19:24:18.000,2023-09-20T19:53:36.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11211,349 UNION AVENUE,UNION AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T19:53:40.000,01 BROOKLYN,3024000008,BROOKLYN,997807,198241,MOBILE,Unspecified,BROOKLYN,40.71079211559685,-73.9510994115487,"{'latitude': '40.71079211559685', 'longitude': '-73.9510994115487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MAUJER STREET,GRAND STREET,MAUJER STREET,GRAND STREET,UNION AVENUE,,,,,,,
58879578,2023-09-20T19:24:17.000,2023-09-21T09:16:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,104-29 124 STREET,124 STREET,ADDRESS,SOUTH RICHMOND HILL,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T09:16:45.000,10 QUEENS,4095780079,QUEENS,1034177,189779,MOBILE,Unspecified,QUEENS,40.68743546989547,-73.81997447215336,"{'latitude': '40.68743546989547', 'longitude': '-73.81997447215336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,124 STREET,,,,,,,
58876546,2023-09-20T19:24:10.000,,HPD,Department of Housing Preservation and Development,GENERAL,MAILBOX,RESIDENTIAL BUILDING,11203,667 EAST   34 STREET,EAST   34 STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-20T00:00:00.000,17 BROOKLYN,3049680038,BROOKLYN,999646,172494,PHONE,Unspecified,BROOKLYN,40.640119410596704,-73.94452488838736,"{'latitude': '40.640119410596704', 'longitude': '-73.94452488838736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58875298,2023-09-20T19:24:02.000,2023-10-10T08:44:38.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10457,483 EAST  180 STREET,EAST  180 STREET,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,06 BRONX,2030470001,BRONX,1013193,249478,PHONE,Unspecified,BRONX,40.85138701657499,-73.89538086610527,"{'latitude': '40.85138701657499', 'longitude': '-73.89538086610527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58874095,2023-09-20T19:23:59.000,2023-11-21T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10472,1148 BOYNTON AVENUE,BOYNTON AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-11-21T00:00:00.000,09 BRONX,2037410022,BRONX,1018022,240801,UNKNOWN,Unspecified,BRONX,40.827554048653624,-73.87796938236563,"{'latitude': '40.827554048653624', 'longitude': '-73.87796938236563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58873869,2023-09-20T19:23:53.000,2023-09-27T19:18:49.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11234,1093 EAST   58 STREET,EAST   58 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,18 BROOKLYN,3078060034,BROOKLYN,1006430,168045,ONLINE,Unspecified,BROOKLYN,40.627893464520525,-73.92009530631174,"{'latitude': '40.627893464520525', 'longitude': '-73.92009530631174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58880596,2023-09-20T19:23:53.000,2023-10-10T08:44:41.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11234,1093 EAST   58 STREET,EAST   58 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,18 BROOKLYN,3078060034,BROOKLYN,1006430,168045,ONLINE,Unspecified,BROOKLYN,40.627893464520525,-73.92009530631174,"{'latitude': '40.627893464520525', 'longitude': '-73.92009530631174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58872430,2023-09-20T19:23:52.000,2023-09-20T19:55:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10301,200 CORSON AVENUE,CORSON AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T19:56:00.000,01 STATEN ISLAND,5000350018,STATEN ISLAND,960670,171502,ONLINE,Unspecified,STATEN ISLAND,40.63737857683915,-74.084960348258,"{'latitude': '40.63737857683915', 'longitude': '-74.084960348258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WESTERVELT AVENUE,JERSEY STREET,WESTERVELT AVENUE,JERSEY STREET,CORSON AVENUE,,,,,,,
58879744,2023-09-20T19:23:48.000,2023-09-22T12:34:34.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10306,166 MILL ROAD,MILL ROAD,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T12:36:58.000,02 STATEN ISLAND,5040370017,STATEN ISLAND,953790,145118,ONLINE,Unspecified,STATEN ISLAND,40.5649389249311,-74.10963046005297,"{'latitude': '40.5649389249311', 'longitude': '-74.10963046005297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",INA STREET,EBBITTS STREET,INA STREET,EBBITTS STREET,MILL ROAD,,,,,,,
58873707,2023-09-20T19:23:31.000,2023-09-20T19:33:57.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,212 WEST  129 STREET,WEST  129 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T19:34:01.000,10 MANHATTAN,1019330001,MANHATTAN,999019,234959,ONLINE,Unspecified,MANHATTAN,40.81157162558579,-73.9466470174785,"{'latitude': '40.81157162558579', 'longitude': '-73.9466470174785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  129 STREET,,,,,,,
58875120,2023-09-20T19:23:16.000,2023-09-20T19:40:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10307,HYLAN BOULEVARD,HYLAN BOULEVARD,INTERSECTION,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-20T19:40:45.000,03 STATEN ISLAND,,STATEN ISLAND,914210,122563,ONLINE,Unspecified,STATEN ISLAND,40.50280561647024,-74.2518513116352,"{'latitude': '40.50280561647024', 'longitude': '-74.2518513116352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HYLAN BOULEVARD,SATTERLEE STREET,HYLAN BOULEVARD,SATTERLEE STREET,,,,,,,,
58874489,2023-09-20T19:23:05.000,2023-09-21T12:56:04.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11220,5516 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T10:13:21.000,07 BROOKLYN,3008300041,BROOKLYN,979906,173731,ONLINE,Unspecified,BROOKLYN,40.64352702599234,-74.01565316816183,"{'latitude': '40.64352702599234', 'longitude': '-74.01565316816183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",55 STREET,56 STREET,55 STREET,56 STREET,4 AVENUE,,,,,,,
58875990,2023-09-20T19:23:00.000,2023-09-21T19:30:00.000,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10002,605 WATER STREET,WATER STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.,2023-09-21T19:30:00.000,03 MANHATTAN,1002440019,MANHATTAN,988561,198404,PHONE,Unspecified,MANHATTAN,40.71124884794379,-73.98444996153621,"{'latitude': '40.71124884794379', 'longitude': '-73.98444996153621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MONTGOMERY ST,GOUVERNEUR SLIP W,,,,N/A,,,,,,
58878705,2023-09-20T19:22:50.000,2023-09-20T19:52:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11217,66 SIXTH AVENUE,SIXTH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T19:52:50.000,06 BROOKLYN,3011350032,BROOKLYN,991327,187318,MOBILE,Unspecified,BROOKLYN,40.680818574588585,-73.97448447998998,"{'latitude': '40.680818574588585', 'longitude': '-73.97448447998998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEAN STREET,BERGEN STREET,DEAN STREET,BERGEN STREET,6 AVENUE,,,,,,,
58878047,2023-09-20T19:22:34.000,2023-09-20T20:15:08.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11237,6 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:15:12.000,04 BROOKLYN,3031770022,BROOKLYN,1005790,197203,ONLINE,Unspecified,BROOKLYN,40.70792721944311,-73.92230777538006,"{'latitude': '40.70792721944311', 'longitude': '-73.92230777538006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JEFFERSON STREET,SCOTT AVENUE,JEFFERSON STREET,SCOTT AVENUE,ST NICHOLAS AVENUE,,,,,,,
58870859,2023-09-20T19:22:33.000,2023-09-20T19:37:27.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11229,1512 AVENUE S,AVENUE S,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T19:37:30.000,15 BROOKLYN,3072940003,BROOKLYN,996241,159156,MOBILE,Unspecified,BROOKLYN,40.603514653442325,-73.95681752797238,"{'latitude': '40.603514653442325', 'longitude': '-73.95681752797238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   15 STREET,BRIGHTON LINE,EAST   15 STREET,BRIGHTON LINE,AVENUE S,,,,,,,
58874457,2023-09-20T19:22:14.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-29T10:53:23.000,Unspecified MANHATTAN,,MANHATTAN,981602,198897,ONLINE,Unspecified,MANHATTAN,40.7126026696348,-74.00955169057023,"{'latitude': '40.7126026696348', 'longitude': '-74.00955169057023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,2,Stairway,,,,
58872422,2023-09-20T19:22:13.000,2023-09-20T20:05:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,1649 WEEKS AVENUE,WEEKS AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:05:22.000,04 BRONX,2027930020,BRONX,1009781,246446,MOBILE,Unspecified,BRONX,40.84307559975746,-73.90772562459514,"{'latitude': '40.84307559975746', 'longitude': '-73.90772562459514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MOUNT EDEN PARKWAY,EAST  173 STREET,MOUNT EDEN PARKWAY,EAST  173 STREET,WEEKS AVENUE,,,,,,,
58875152,2023-09-20T19:22:05.000,2023-09-20T20:14:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11212,412 SUTTER AVENUE,SUTTER AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:14:45.000,16 BROOKLYN,3037600001,BROOKLYN,1010861,182676,MOBILE,Unspecified,BROOKLYN,40.66804016511341,-73.90407467188939,"{'latitude': '40.66804016511341', 'longitude': '-73.90407467188939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SACKMAN STREET,POWELL STREET,SACKMAN STREET,POWELL STREET,SUTTER AVENUE,,,,,,,
58876126,2023-09-20T19:22:03.000,2023-09-20T19:51:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11217,475 BERGEN STREET,BERGEN STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T19:51:42.000,06 BROOKLYN,3011350034,BROOKLYN,991246,187312,MOBILE,Unspecified,BROOKLYN,40.680802170340876,-73.97477652479554,"{'latitude': '40.680802170340876', 'longitude': '-73.97477652479554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLATBUSH AVENUE,6 AVENUE,FLATBUSH AVENUE,6 AVENUE,BERGEN STREET,,,,,,,
58872752,2023-09-20T19:21:59.000,2023-09-20T20:14:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11217,33 LAFAYETTE AVENUE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T20:14:57.000,02 BROOKLYN,3021080019,BROOKLYN,990446,189530,ONLINE,Unspecified,BROOKLYN,40.68689067036271,-73.977658816191,"{'latitude': '40.68689067036271', 'longitude': '-73.977658816191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASHLAND PLACE,ST FELIX STREET,ASHLAND PLACE,ST FELIX STREET,LAFAYETTE AVENUE,,,,,,,
58871144,2023-09-20T19:21:55.000,2023-09-20T19:26:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10110,500 5 AVENUE,5 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T19:26:05.000,05 MANHATTAN,1012580034,MANHATTAN,989554,213813,ONLINE,Unspecified,MANHATTAN,40.753542228259796,-73.98085600338304,"{'latitude': '40.753542228259796', 'longitude': '-73.98085600338304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   42 STREET,EAST   43 STREET,EAST   42 STREET,EAST   43 STREET,5 AVENUE,,,,,,,
58879570,2023-09-20T19:21:52.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,11201,WASHINGTON STREET,WASHINGTON STREET,INTERSECTION,,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-22T09:57:34.000,02 BROOKLYN,,BROOKLYN,987112,194899,MOBILE,Unspecified,BROOKLYN,40.701629037412125,-73.98967808210146,"{'latitude': '40.701629037412125', 'longitude': '-73.98967808210146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WASHINGTON STREET,YORK STREET,WASHINGTON STREET,YORK STREET,,,,,,,,
58877370,2023-09-20T19:21:41.000,2023-09-20T19:30:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10023,31 WEST   75 STREET,WEST   75 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T19:30:41.000,07 MANHATTAN,1011280115,MANHATTAN,991018,222946,MOBILE,Unspecified,MANHATTAN,40.77860894946077,-73.97556271793421,"{'latitude': '40.77860894946077', 'longitude': '-73.97556271793421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,WEST   75 STREET,,,,,,,
58872887,2023-09-20T19:21:35.000,2023-10-11T14:38:40.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10306,2300 ELMTREE AVENUE,ELMTREE AVENUE,INTERSECTION,STATEN ISLAND,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-20T19:21:35.000,02 STATEN ISLAND,,STATEN ISLAND,954902,148621,PHONE,Unspecified,STATEN ISLAND,40.57455772050901,-74.1056434016304,"{'latitude': '40.57455772050901', 'longitude': '-74.1056434016304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMTREE AVENUE,HYLAN BOULEVARD,ELMTREE AVENUE,HYLAN BOULEVARD,,,,,,,,
