unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,location_type,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,road_ramp
58959235,2023-09-29T09:06:39.000,2023-09-29T09:06:39.000,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,10460,845 CROTONA PARK NORTH,CROTONA PARK NORTH,,,ADDRESS,BRONX,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T00:00:00.000,06 BRONX,2029570016,BRONX,1014695,245245,UNKNOWN,Unspecified,BRONX,40.839763632897025,-73.88997086991876,"{'latitude': '40.839763632897025', 'longitude': '-73.88997086991876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,,,
58963925,2023-09-29T09:06:39.000,2023-10-10T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,11106,36-36 36 STREET,36 STREET,,,ADDRESS,ASTORIA,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-10T00:00:00.000,01 QUEENS,4006350015,QUEENS,1004647,213972,UNKNOWN,Unspecified,QUEENS,40.75395670781189,-73.92637960567627,"{'latitude': '40.75395670781189', 'longitude': '-73.92637960567627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59436186,2023-09-29T09:06:28.000,2023-09-29T09:50:00.000,DEP,Department of Environmental Protection,Water Maintenance,Water in Basement,11238,706 DEAN STREET,DEAN STREET,VANDERBILT AVENUE,UNDERHILL AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T09:50:00.000,08 BROOKLYN,3011380123,BROOKLYN,993453,187000,PHONE,Unspecified,BROOKLYN,40.679943781758006,-73.96681980321387,"{'latitude': '40.679943781758006', 'longitude': '-73.96681980321387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VANDERBILT AVENUE,UNDERHILL AVENUE,N/A,DEAN STREET,,,,,,,
59459558,2023-09-29T09:06:22.000,2023-09-29T13:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11370,31-48 71 STREET,71 STREET,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,Closed,,2023-09-29T13:00:00.000,03 QUEENS,,QUEENS,1013025,215232,PHONE,Unspecified,QUEENS,40.7573917891453,-73.89613490506643,"{'latitude': '40.7573917891453', 'longitude': '-73.89613490506643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31 AVENUE,32 AVENUE,Sewer,71 STREET,,,,,,,
59456159,2023-09-29T09:06:19.000,2023-09-29T18:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11206,466 MARCY AVENUE,MARCY AVENUE,HOPKINS STREET,ELLERY STREET,ADDRESS,BROOKLYN,Closed,,2023-09-29T18:00:00.000,03 BROOKLYN,3017190001,BROOKLYN,998128,193954,PHONE,Unspecified,BROOKLYN,40.69902481406677,-73.94995038836552,"{'latitude': '40.69902481406677', 'longitude': '-73.94995038836552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOPKINS STREET,ELLERY STREET,Street,MARCY AVENUE,,,,,,,
59453183,2023-09-29T09:06:10.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11102,23-22 29 AVENUE,29 AVENUE,23 STREET,CRESCENT STREET,ADDRESS,ASTORIA,In Progress,,,01 QUEENS,,QUEENS,1004875,219708,PHONE,Unspecified,QUEENS,40.76970001882338,-73.92553907024426,"{'latitude': '40.76970001882338', 'longitude': '-73.92553907024426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23 STREET,CRESCENT STREET,Public Area,29 AVENUE,,,,,,,
59001560,2023-09-29T09:06:10.000,2023-09-29T09:46:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10460,1465 LONGFELLOW AVENUE,LONGFELLOW AVENUE,JENNINGS STREET,EAST  172 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T09:46:34.000,03 BRONX,,BRONX,1015518,242266,ONLINE,Unspecified,BRONX,40.83158427029881,-73.88701041389376,"{'latitude': '40.83158427029881', 'longitude': '-73.88701041389376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JENNINGS STREET,EAST  172 STREET,Residential Building/House,LONGFELLOW AVENUE,,,,,,,
59459387,2023-09-29T09:06:08.000,2023-09-29T19:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11377,50-22 72 STREET,72 STREET,DEAD END,51 AVENUE,ADDRESS,WOODSIDE,Closed,,2023-09-29T19:40:00.000,02 QUEENS,,QUEENS,1014101,207704,PHONE,Unspecified,QUEENS,40.73672576836303,-73.8922844356149,"{'latitude': '40.73672576836303', 'longitude': '-73.8922844356149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEAD END,51 AVENUE,Sewer,72 STREET,,,,,,,
58963206,2023-09-29T09:06:05.000,2023-10-02T08:23:54.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11426,81-27 246 STREET,246 STREET,81 AVENUE,82 AVENUE,ADDRESS,BELLEROSE,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-02T04:22:28.000,13 QUEENS,4085690054,QUEENS,1061034,208869,PHONE,Unspecified,QUEENS,40.7396404584945,-73.72291697366327,"{'latitude': '40.7396404584945', 'longitude': '-73.72291697366327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",81 AVENUE,82 AVENUE,Street,246 STREET,,,,,,,
59435943,2023-09-29T09:06:03.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11216,329 GATES AVENUE,GATES AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-10T00:00:00.000,03 BROOKLYN,3018070001,BROOKLYN,997101,189162,ONLINE,Unspecified,BROOKLYN,40.68587343406451,-73.95366330155217,"{'latitude': '40.68587343406451', 'longitude': '-73.95366330155217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEDFORD AVENUE,NOSTRAND AVENUE,Apartment,GATES AVENUE,,,,,,,
58956115,2023-09-29T09:06:00.000,2023-09-29T10:30:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11210,1189 EAST   40 STREET,EAST   40 STREET,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-29T10:30:00.000,18 BROOKLYN,3077880012,BROOKLYN,1001644,167457,PHONE,Unspecified,BROOKLYN,40.62629021864651,-73.93733864827928,"{'latitude': '40.62629021864651', 'longitude': '-73.93733864827928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58960487,2023-09-29T09:06:00.000,2023-10-01T09:50:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11214,8 BAY   50 STREET,BAY   50 STREET,STILLWELL AVE,HARWAY AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-10-01T09:50:00.000,13 BROOKLYN,3069040038,BROOKLYN,988706,153652,PHONE,Unspecified,BROOKLYN,40.58841427522069,-73.98395650252755,"{'latitude': '40.58841427522069', 'longitude': '-73.98395650252755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58957615,2023-09-29T09:06:00.000,2023-09-29T19:35:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11217,170 3 AVENUE,3 AVENUE,BALTIC ST,BUTLER ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T19:35:00.000,06 BROOKLYN,3004060052,BROOKLYN,988784,187376,PHONE,Unspecified,BROOKLYN,40.6809794392652,-73.98365301033965,"{'latitude': '40.6809794392652', 'longitude': '-73.98365301033965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58956091,2023-09-29T09:06:00.000,2023-09-29T11:40:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11211,2 BAYARD STREET,BAYARD STREET,ROEBLING ST,LORIMER ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-29T11:40:00.000,01 BROOKLYN,3027217501,BROOKLYN,997560,201169,ONLINE,Unspecified,BROOKLYN,40.71882914967173,-73.95198456017273,"{'latitude': '40.71882914967173', 'longitude': '-73.95198456017273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59452489,2023-09-29T09:06:00.000,2023-09-29T11:05:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11209,8672 5 AVENUE,5 AVENUE,86 STREET,87 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-29T11:05:00.000,10 BROOKLYN,,BROOKLYN,976868,165550,PHONE,Unspecified,BROOKLYN,40.62106990330353,-74.02659134693985,"{'latitude': '40.62106990330353', 'longitude': '-74.02659134693985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",86 STREET,87 STREET,Sewer,5 AVENUE,,,,,,,
58963518,2023-09-29T09:06:00.000,2023-10-05T12:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),10012,90 WEST    3 STREET,WEST    3 STREET,THOMPSON ST,SULLIVAN ST,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-10-05T12:30:00.000,02 MANHATTAN,1005390014,MANHATTAN,984505,205202,PHONE,Unspecified,MANHATTAN,40.72990876547729,-73.99907994197576,"{'latitude': '40.72990876547729', 'longitude': '-73.99907994197576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58965412,2023-09-29T09:06:00.000,2023-09-29T09:30:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11215,680 CARROLL STREET,CARROLL STREET,5 AVE,6 AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-29T09:30:00.000,06 BROOKLYN,3009620028,BROOKLYN,989890,185012,PHONE,Unspecified,BROOKLYN,40.674490158188924,-73.97966739056231,"{'latitude': '40.674490158188924', 'longitude': '-73.97966739056231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58963479,2023-09-29T09:06:00.000,2023-09-29T10:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11215,22 2 AVENUE,2 AVENUE,5 ST,6 ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-29T10:30:00.000,06 BROOKLYN,3009900001,BROOKLYN,986617,185167,PHONE,Unspecified,BROOKLYN,40.67491707849294,-73.99146673860658,"{'latitude': '40.67491707849294', 'longitude': '-73.99146673860658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58956012,2023-09-29T09:06:00.000,2023-09-29T18:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11215,909 UNION STREET,UNION STREET,7 AVE,8 AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T18:00:00.000,06 BROOKLYN,3010630049,BROOKLYN,991518,184770,PHONE,Unspecified,BROOKLYN,40.673824735733284,-73.97379859364175,"{'latitude': '40.673824735733284', 'longitude': '-73.97379859364175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58959106,2023-09-29T09:06:00.000,2023-09-29T13:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11214,8647 24 AVENUE,24 AVENUE,86 ST,BENSON AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T13:00:00.000,11 BROOKLYN,3068640022,BROOKLYN,986931,157263,PHONE,Unspecified,BROOKLYN,40.598326459434524,-73.99034582542873,"{'latitude': '40.598326459434524', 'longitude': '-73.99034582542873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58956011,2023-09-29T09:06:00.000,2023-09-29T12:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11230,1405 EAST    7 STREET,EAST    7 STREET,AVENUE M,RODER AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T12:15:00.000,12 BROOKLYN,3065700081,BROOKLYN,993248,163862,PHONE,Unspecified,BROOKLYN,40.61643520054573,-73.96758976853357,"{'latitude': '40.61643520054573', 'longitude': '-73.96758976853357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59439272,2023-09-29T09:05:57.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11372,37-52 89 STREET,89 STREET,37 AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,In Progress,,,03 QUEENS,4014760026,QUEENS,1018161,212301,PHONE,Unspecified,QUEENS,40.74932873873501,-73.87761100776179,"{'latitude': '40.74932873873501', 'longitude': '-73.87761100776179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37 AVENUE,ROOSEVELT AVENUE,Apartment,89 STREET,,,,,,,
59459487,2023-09-29T09:05:53.000,2023-09-29T19:55:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11374,92-62 QUEENS BOULEVARD,QUEENS BOULEVARD,ELIOT AVENUE,LIE WB ENTRANCE QUEENS BLVD,ADDRESS,REGO PARK,Closed,,2023-09-29T19:55:00.000,06 QUEENS,4030750024,QUEENS,1021085,206014,PHONE,Unspecified,QUEENS,40.732060810489436,-73.8670923731693,"{'latitude': '40.732060810489436', 'longitude': '-73.8670923731693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELIOT AVENUE,LIE WB ENTRANCE QUEENS BLVD,Sewer,QUEENS BOULEVARD,,,,,,,
59438767,2023-09-29T09:05:50.000,2023-09-30T01:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11414,155-50 86 STREET,86 STREET,155 AVENUE,SHORE PARKWAY,ADDRESS,HOWARD BEACH,Closed,,2023-09-30T01:15:00.000,10 QUEENS,,QUEENS,1026379,181379,ONLINE,Unspecified,QUEENS,40.66441995110129,-73.84814475090822,"{'latitude': '40.66441995110129', 'longitude': '-73.84814475090822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",155 AVENUE,SHORE PARKWAY,Sewer,86 STREET,,,,,,,
59435298,2023-09-29T09:05:45.000,2023-09-29T20:25:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11370,25-41 70 STREET,70 STREET,BOODY STREET,30 AVENUE,ADDRESS,EAST ELMHURST,Closed,,2023-09-29T20:25:00.000,03 QUEENS,,QUEENS,1012595,216484,ONLINE,Unspecified,QUEENS,40.760829595328566,-73.89768173590284,"{'latitude': '40.760829595328566', 'longitude': '-73.89768173590284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOODY STREET,30 AVENUE,Sewer,70 STREET,,,,,,,
59005807,2023-09-29T09:05:43.000,2023-09-29T09:26:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11205,298 CLASSON AVENUE,CLASSON AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T09:26:55.000,02 BROOKLYN,3019330121,BROOKLYN,995261,190775,ONLINE,Unspecified,BROOKLYN,40.690303228634036,-73.96029513058312,"{'latitude': '40.690303228634036', 'longitude': '-73.96029513058312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEKALB AVENUE,LAFAYETTE AVENUE,Street/Sidewalk,CLASSON AVENUE,,,,,,,
58990715,2023-09-29T09:05:39.000,2023-10-02T14:19:51.000,DOHMH,Department of Health and Mental Hygiene,Indoor Sewage,Sewage Leak,11226,50 EAST   17 STREET,EAST   17 STREET,CATON AVENUE,CHURCH AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene has investigated the complaint. No Health Code violations or health hazards noted. No further action needed.,2023-10-02T14:19:54.000,14 BROOKLYN,,BROOKLYN,994202,176025,PHONE,Unspecified,BROOKLYN,40.649819033692395,-73.9641355837359,"{'latitude': '40.649819033692395', 'longitude': '-73.9641355837359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CATON AVENUE,CHURCH AVENUE,3+ Family Apt. Building,EAST   17 STREET,,,,,,,
59442617,2023-09-29T09:05:36.000,2023-10-11T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11237,871 HART STREET,HART STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-11T00:00:00.000,04 BROOKLYN,,BROOKLYN,1005863,195280,PHONE,Unspecified,BROOKLYN,40.70264886147597,-73.92205064528231,"{'latitude': '40.70264886147597', 'longitude': '-73.92205064528231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KNICKERBOCKER AVENUE,IRVING AVENUE,Apartment,HART STREET,,,,,,,
59435594,2023-09-29T09:05:34.000,2023-09-29T19:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,10314,TRAVIS AVENUE,TRAVIS AVENUE,TRAVIS AVENUE,VICTORY BOULEVARD,INTERSECTION,,Closed,,2023-09-29T19:15:00.000,02 STATEN ISLAND,,STATEN ISLAND,934758,157860,ONLINE,Unspecified,STATEN ISLAND,40.59982731534111,-74.17822285597472,"{'latitude': '40.59982731534111', 'longitude': '-74.17822285597472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",TRAVIS AVENUE,VICTORY BOULEVARD,Street,,,,,,,,
59459388,2023-09-29T09:05:28.000,2023-09-29T12:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,10306,3076 RICHMOND ROAD,RICHMOND ROAD,BEACON AVENUE,SUMMIT AVENUE,ADDRESS,STATEN ISLAND,Closed,,2023-09-29T12:20:00.000,03 STATEN ISLAND,5043020071,STATEN ISLAND,949824,149087,PHONE,Unspecified,STATEN ISLAND,40.57581853400164,-74.1239249259769,"{'latitude': '40.57581853400164', 'longitude': '-74.1239249259769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEACON AVENUE,SUMMIT AVENUE,Sewer,RICHMOND ROAD,,,,,,,
59446407,2023-09-29T09:05:26.000,2023-09-29T09:35:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,11215,490 7 STREET,7 STREET,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T09:35:00.000,06 BROOKLYN,,BROOKLYN,989893,182521,PHONE,Unspecified,BROOKLYN,40.66765291903507,-73.97965866068506,"{'latitude': '40.66765291903507', 'longitude': '-73.97965866068506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,8 AVENUE,N/A,7 STREET,,,,,,,
59453163,2023-09-29T09:05:18.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11221,27 STUYVESANT AVENUE,STUYVESANT AVENUE,WILLOUGHBY AVENUE,HART STREET,ADDRESS,BROOKLYN,In Progress,,,03 BROOKLYN,3015930105,BROOKLYN,1002419,192560,PHONE,Unspecified,BROOKLYN,40.695190839750516,-73.9344790937261,"{'latitude': '40.695190839750516', 'longitude': '-73.9344790937261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WILLOUGHBY AVENUE,HART STREET,Apartment,STUYVESANT AVENUE,,,,,,,
59445781,2023-09-29T09:05:17.000,2023-09-30T09:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11218,30 EAST   10 STREET,EAST   10 STREET,CATON AVENUE,CHURCH AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-30T09:50:00.000,14 BROOKLYN,3050700015,BROOKLYN,992421,175257,ONLINE,Unspecified,BROOKLYN,40.64771286261957,-73.97055477371973,"{'latitude': '40.64771286261957', 'longitude': '-73.97055477371973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CATON AVENUE,CHURCH AVENUE,Street,EAST   10 STREET,,,,,,,
58961882,2023-09-29T09:05:16.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,,,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-02T20:17:34.000,Unspecified BROOKLYN,,BROOKLYN,994132,184101,ONLINE,Unspecified,BROOKLYN,40.67198594902078,-73.96437600956227,"{'latitude': '40.67198594902078', 'longitude': '-73.96437600956227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,Subway,,,,2,2 3 to Flatbush - New Lots,Platform,,
59438708,2023-09-29T09:05:12.000,2023-09-29T12:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11222,159 CALYER STREET,CALYER STREET,GUERNSEY STREET,LORIMER STREET,ADDRESS,BROOKLYN,Closed,,2023-09-29T12:40:00.000,01 BROOKLYN,,BROOKLYN,996832,204401,ONLINE,Unspecified,BROOKLYN,40.72770127136689,-73.95460475643492,"{'latitude': '40.72770127136689', 'longitude': '-73.95460475643492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GUERNSEY STREET,LORIMER STREET,Sewer,CALYER STREET,,,,,,,
59449194,2023-09-29T09:05:11.000,2023-10-01T12:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11204,4324 17 AVENUE,17 AVENUE,43 STREET,44 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-01T12:20:00.000,12 BROOKLYN,,BROOKLYN,989870,169801,PHONE,Unspecified,BROOKLYN,40.63273929750711,-73.9797521673611,"{'latitude': '40.63273929750711', 'longitude': '-73.9797521673611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43 STREET,44 STREET,Sewer,17 AVENUE,,,,,,,
58960159,2023-09-29T09:05:09.000,2023-09-29T09:52:57.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,10309,6700 HYLAN BOULEVARD,HYLAN BOULEVARD,BUTLER BOULEVARD,CULOTTA LANE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T09:52:44.000,03 STATEN ISLAND,,STATEN ISLAND,921247,124546,ONLINE,Unspecified,STATEN ISLAND,40.508301318150586,-74.22656608021065,"{'latitude': '40.508301318150586', 'longitude': '-74.22656608021065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BUTLER BOULEVARD,CULOTTA LANE,Street/Sidewalk,HYLAN BOULEVARD,,,,,,,
59449275,2023-09-29T09:05:02.000,2023-09-30T11:35:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11219,1417 50 STREET,50 STREET,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-30T11:35:00.000,12 BROOKLYN,3056430073,BROOKLYN,987051,169819,PHONE,Unspecified,BROOKLYN,40.63279004364553,-73.98990850142921,"{'latitude': '40.63279004364553', 'longitude': '-73.98990850142921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14 AVENUE,15 AVENUE,Street,50 STREET,,,,,,,
58962218,2023-09-29T09:05:00.000,2023-09-30T00:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11208,222 AMBER STREET,AMBER STREET,DUMONT AVE,LINDEN BLVD,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-30T00:00:00.000,05 BROOKLYN,3044730016,BROOKLYN,1023511,183823,PHONE,Unspecified,BROOKLYN,40.67114136004482,-73.85846829108532,"{'latitude': '40.67114136004482', 'longitude': '-73.85846829108532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58963576,2023-09-29T09:05:00.000,2023-09-29T12:25:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11211,160 SOUTH    4 STREET,SOUTH    4 STREET,BEDFORD AVE,DRIGGS AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T12:25:00.000,01 BROOKLYN,3024440022,BROOKLYN,994849,198486,PHONE,Unspecified,BROOKLYN,40.711468620233546,-73.96176863710131,"{'latitude': '40.711468620233546', 'longitude': '-73.96176863710131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58966934,2023-09-29T09:05:00.000,2023-09-30T10:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11212,784 SARATOGA AVENUE,SARATOGA AVENUE,LIVONIA AVE,RIVERDALE AVE,ADDRESS,BROOKLYN,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T10:15:00.000,16 BROOKLYN,3035820032,BROOKLYN,1007716,180219,PHONE,Unspecified,BROOKLYN,40.6613051425304,-73.91542007517879,"{'latitude': '40.6613051425304', 'longitude': '-73.91542007517879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
