unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,bridge_highway_direction,road_ramp
58895934,2023-09-22T09:41:06.000,2023-09-25T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,139 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-09-26T06:31:53.000,03 MANHATTAN,1004110064,MANHATTAN,987760,201685,UNKNOWN,Unspecified,MANHATTAN,40.72025476164997,-73.98733750631449,"{'latitude': '40.72025476164997', 'longitude': '-73.98733750631449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:41:06.000,,,
58895904,2023-09-22T09:41:00.000,2023-09-22T19:25:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10314,37 SUNSET AVENUE,SUNSET AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-22T19:25:00.000,02 STATEN ISLAND,5008240084,STATEN ISLAND,947533,157759,PHONE,Unspecified,STATEN ISLAND,40.59961222546229,-74.13221905545643,"{'latitude': '40.59961222546229', 'longitude': '-74.13221905545643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRADLEY AVE,LARRISON LOOP,,,,,,,,,,
58898662,2023-09-22T09:41:00.000,2023-09-26T12:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10001,107 WEST   25 STREET,WEST   25 STREET,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T12:00:00.000,04 MANHATTAN,1008010030,MANHATTAN,986353,210491,ONLINE,Unspecified,MANHATTAN,40.744425515906904,-73.99241057401285,"{'latitude': '40.744425515906904', 'longitude': '-73.99241057401285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,7 AVE,,,,N/A,,,,,,
58897278,2023-09-22T09:41:00.000,2023-09-25T18:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11207,1019 VAN SICLEN AVENUE,VAN SICLEN AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T18:00:00.000,05 BROOKLYN,3044157501,BROOKLYN,1016902,177947,PHONE,Unspecified,BROOKLYN,40.65503989714099,-73.88232145462146,"{'latitude': '40.65503989714099', 'longitude': '-73.88232145462146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COZINE AVE,FLATLANDS AVE,,,,N/A,,,,,,
58901476,2023-09-22T09:41:00.000,2023-09-26T14:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10065,317 EAST   67 STREET,EAST   67 STREET,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T14:00:00.000,08 MANHATTAN,1014420001,MANHATTAN,995314,218120,ONLINE,Unspecified,MANHATTAN,40.76535850783223,-73.96005905680126,"{'latitude': '40.76535850783223', 'longitude': '-73.96005905680126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVE,1 AVE,,,,N/A,,,,,,
58894381,2023-09-22T09:40:59.000,2023-09-26T13:58:48.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10024,211 WEST   85 STREET,WEST   85 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation collected the requested items.,2023-09-25T11:43:14.000,07 MANHATTAN,1012330024,MANHATTAN,990889,226086,ONLINE,Unspecified,MANHATTAN,40.787227512553486,-73.97602539642895,"{'latitude': '40.787227512553486', 'longitude': '-73.97602539642895', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST   85 STREET,,,,,,,
58894582,2023-09-22T09:40:52.000,2023-10-02T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,147 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-10-03T09:56:47.000,03 MANHATTAN,1004110060,MANHATTAN,987795,201775,UNKNOWN,Unspecified,MANHATTAN,40.7205017759995,-73.9872111947325,"{'latitude': '40.7205017759995', 'longitude': '-73.9872111947325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:40:52.000,,,
58898183,2023-09-22T09:40:47.000,2023-09-23T08:58:27.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11412,115-23 197 STREET,197 STREET,ADDRESS,SAINT ALBANS,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-23T08:58:29.000,12 QUEENS,4110380032,QUEENS,1051868,193185,PHONE,Unspecified,QUEENS,40.69666664372266,-73.75615080528003,"{'latitude': '40.69666664372266', 'longitude': '-73.75615080528003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",115 AVENUE,116 AVENUE,115 AVENUE,116 AVENUE,197 STREET,,,,,,,
58895947,2023-09-22T09:40:46.000,2023-09-22T10:10:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2575 SEDGWICK AVENUE,SEDGWICK AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T10:10:09.000,07 BRONX,2032370133,BRONX,1010004,255572,MOBILE,Unspecified,BRONX,40.86812308318488,-73.90688459550866,"{'latitude': '40.86812308318488', 'longitude': '-73.90688459550866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAILEY AVENUE,WEST KINGSBRIDGE ROAD,BAILEY AVENUE,WEST KINGSBRIDGE ROAD,SEDGWICK AVENUE,,,,,,,
58900162,2023-09-22T09:40:43.000,2023-09-22T10:04:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10009,519 EAST   11 STREET,EAST   11 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T10:04:24.000,03 MANHATTAN,1004050051,MANHATTAN,989477,204573,MOBILE,Unspecified,MANHATTAN,40.72818077341404,-73.98114110342723,"{'latitude': '40.72818077341404', 'longitude': '-73.98114110342723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE A,AVENUE B,AVENUE A,AVENUE B,EAST   11 STREET,,,,,,,
58900154,2023-09-22T09:40:37.000,2023-10-02T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,179 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-10-03T09:56:47.000,03 MANHATTAN,1004120062,MANHATTAN,987991,202268,UNKNOWN,Unspecified,MANHATTAN,40.72185486130175,-73.9865038386843,"{'latitude': '40.72185486130175', 'longitude': '-73.9865038386843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:40:37.000,,,
58893240,2023-09-22T09:40:35.000,2023-09-22T09:57:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,301 GREENWOOD AVENUE,GREENWOOD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T09:57:40.000,07 BROOKLYN,3052720043,BROOKLYN,990191,176218,MOBILE,Unspecified,BROOKLYN,40.65035237591671,-73.97859001241153,"{'latitude': '40.65035237591671', 'longitude': '-73.97859001241153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,GREENWOOD AVENUE,,,,,,,
58894001,2023-09-22T09:40:25.000,2023-09-22T10:01:55.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11215,366 21 STREET,21 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T10:01:59.000,07 BROOKLYN,3008980041,BROOKLYN,987205,179325,MOBILE,Unspecified,BROOKLYN,40.658881911598584,-73.9893495030806,"{'latitude': '40.658881911598584', 'longitude': '-73.9893495030806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,21 STREET,,,,,,,
58900322,2023-09-22T09:40:22.000,2023-09-25T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,10002,9 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,"The City inspected the property for cleaning, but no graffiti was found.",2023-09-26T06:31:53.000,03 MANHATTAN,1002977503,MANHATTAN,987011,199773,UNKNOWN,Unspecified,MANHATTAN,40.715007046053366,-73.9900403440329,"{'latitude': '40.715007046053366', 'longitude': '-73.9900403440329', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:40:22.000,,,
58892301,2023-09-22T09:40:09.000,2023-09-22T10:04:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,519 EAST   11 STREET,EAST   11 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T10:04:43.000,03 MANHATTAN,1004050051,MANHATTAN,989477,204573,MOBILE,Unspecified,MANHATTAN,40.72818077341404,-73.98114110342723,"{'latitude': '40.72818077341404', 'longitude': '-73.98114110342723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE A,AVENUE B,AVENUE A,AVENUE B,EAST   11 STREET,,,,,,,
58901699,2023-09-22T09:40:07.000,2023-10-03T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10002,154 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-10-04T06:59:07.000,03 MANHATTAN,1003540012,MANHATTAN,987829,201844,UNKNOWN,Unspecified,MANHATTAN,40.72069115067155,-73.98708850095555,"{'latitude': '40.72069115067155', 'longitude': '-73.98708850095555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:40:07.000,,,
58896184,2023-09-22T09:40:06.000,2023-09-22T10:04:06.000,NYPD,New York City Police Department,Urinating in Public,N/A,Park/Playground,10128,FDR DRIVE MALLS,FDR DRIVE MALLS,UNRECOGNIZED,NEW YORK,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-22T10:04:09.000,08 MANHATTAN,,MANHATTAN,999771,224298,ONLINE,Unspecified,MANHATTAN,40.78230879460867,-73.94395506034277,"{'latitude': '40.78230879460867', 'longitude': '-73.94395506034277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   93 STREET,EAST   96 STREET,EAST   93 STREET,EAST   96 STREET,FDR DRIVE MALLS,,,,,,,
58895036,2023-09-22T09:39:57.000,2023-09-22T10:16:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11358,29-10 159 STREET,159 STREET,ADDRESS,FLUSHING,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T10:16:24.000,07 QUEENS,,QUEENS,1038152,220182,MOBILE,Unspecified,QUEENS,40.77086074963879,-73.80539802141905,"{'latitude': '40.77086074963879', 'longitude': '-73.80539802141905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",29 AVENUE,32 AVENUE,29 AVENUE,32 AVENUE,159 STREET,,,,,,,
58894583,2023-09-22T09:39:54.000,2023-09-29T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,103 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-09-30T11:52:56.000,03 MANHATTAN,1004100062,MANHATTAN,987586,201241,UNKNOWN,Unspecified,MANHATTAN,40.71903615588044,-73.98796543972546,"{'latitude': '40.71903615588044', 'longitude': '-73.98796543972546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:39:54.000,,,
58893206,2023-09-22T09:39:22.000,2023-09-29T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,115 ESSEX STREET,ESSEX STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-09-30T11:52:56.000,03 MANHATTAN,1004100055,MANHATTAN,987627,201345,UNKNOWN,Unspecified,MANHATTAN,40.71932159530188,-73.98781748078376,"{'latitude': '40.71932159530188', 'longitude': '-73.98781748078376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:39:22.000,,,
58896123,2023-09-22T09:39:18.000,2023-09-22T11:31:57.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10469,3314 COLDEN AVENUE,COLDEN AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T11:32:00.000,12 BRONX,2046360014,BRONX,1023149,257586,PHONE,Unspecified,BRONX,40.873602750481695,-73.859346296018,"{'latitude': '40.873602750481695', 'longitude': '-73.859346296018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DUNCAN STREET,MAGENTA STREET,DUNCAN STREET,MAGENTA STREET,COLDEN AVENUE,,,,,,,
58892375,2023-09-22T09:39:17.000,2023-09-22T10:20:19.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10312,67 TENAFLY PLACE,TENAFLY PLACE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T10:20:24.000,03 STATEN ISLAND,5062500038,STATEN ISLAND,933860,134817,PHONE,Unspecified,STATEN ISLAND,40.53657384050411,-74.18128485732976,"{'latitude': '40.53657384050411', 'longitude': '-74.18128485732976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HODA PLACE,ALBEE AVENUE,HODA PLACE,ALBEE AVENUE,TENAFLY PLACE,,,,,,,
58894219,2023-09-22T09:39:05.000,2023-09-26T15:33:33.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,10021,5 EAST   74 STREET,EAST   74 STREET,ADDRESS,NEW YORK,Closed,This request required re-assignment to a new DOT unit.,2023-09-26T15:33:41.000,08 MANHATTAN,1013890007,MANHATTAN,993758,221126,PHONE,Unspecified,MANHATTAN,40.773611005568426,-73.96567194997198,"{'latitude': '40.773611005568426', 'longitude': '-73.96567194997198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,EAST   74 STREET,,,,,,,
58894237,2023-09-22T09:39:00.000,2023-09-25T11:08:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10301,12 CHESHIRE PLACE,CHESHIRE PLACE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the E-waste.,2023-09-25T11:08:00.000,01 STATEN ISLAND,5002420040,STATEN ISLAND,955899,165351,PHONE,Unspecified,STATEN ISLAND,40.620481403583995,-74.10212473441,"{'latitude': '40.620481403583995', 'longitude': '-74.10212473441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST CHESHIRE PLACE,MELROSE AVENUE,,,,,,,,,,
58898882,2023-09-22T09:38:57.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,10027,133 WEST  130 STREET,WEST  130 STREET,ADDRESS,NEW YORK,Closed,The Department of Buildings reviewed this complaint and determined that no further action was necessary.,2023-09-25T00:00:00.000,10 MANHATTAN,1019150016,MANHATTAN,999685,234899,UNKNOWN,Unspecified,MANHATTAN,40.81140580382899,-73.94424123243527,"{'latitude': '40.81140580382899', 'longitude': '-73.94424123243527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,,,,
58901605,2023-09-22T09:38:54.000,2023-09-22T09:46:59.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10002,157 BROOME STREET,BROOME STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T09:47:02.000,03 MANHATTAN,1003410075,MANHATTAN,988333,200356,ONLINE,Unspecified,MANHATTAN,40.716606730161864,-73.98527118746058,"{'latitude': '40.716606730161864', 'longitude': '-73.98527118746058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGE STREET,ATTORNEY STREET,RIDGE STREET,ATTORNEY STREET,BROOME STREET,,,,,,,
58891827,2023-09-22T09:38:53.000,2023-10-03T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10013,39 MERCER STREET,MERCER STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-10-04T06:59:07.000,02 MANHATTAN,1004740021,MANHATTAN,983879,202101,UNKNOWN,Unspecified,MANHATTAN,40.721397269859274,-74.0013384232692,"{'latitude': '40.721397269859274', 'longitude': '-74.0013384232692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,2023-10-22T09:38:53.000,,,
58896927,2023-09-22T09:38:53.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11209,130 72 STREET,72 STREET,ADDRESS,BROOKLYN,In Progress,,,10 BROOKLYN,3059060001,BROOKLYN,975391,170512,PHONE,Unspecified,BROOKLYN,40.634688194371535,-74.03191829007669,"{'latitude': '40.634688194371535', 'longitude': '-74.03191829007669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLONIAL ROAD,RIDGE BOULEVARD,COLONIAL ROAD,RIDGE BOULEVARD,72 STREET,,,,,,,
58898407,2023-09-22T09:38:34.000,2023-09-22T12:17:06.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Refrigerator or Freezer Door Attached,Street,11213,NEW YORK AVENUE,NEW YORK AVENUE,BLOCKFACE,,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T12:17:06.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,CARROLL STREET,CROWN STREET,CARROLL STREET,CROWN STREET,,,,,,,,
58902152,2023-09-22T09:38:33.000,2023-09-29T10:15:06.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11368,97-15 HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,ADDRESS,CORONA,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,04 QUEENS,4019180105,QUEENS,1022561,207131,PHONE,Unspecified,QUEENS,40.73512042696922,-73.86176033507864,"{'latitude': '40.73512042696922', 'longitude': '-73.86176033507864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58899441,2023-09-22T09:38:33.000,2023-09-29T10:15:06.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11368,97-15 HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,ADDRESS,CORONA,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,04 QUEENS,4019180105,QUEENS,1022561,207131,PHONE,Unspecified,QUEENS,40.73512042696922,-73.86176033507864,"{'latitude': '40.73512042696922', 'longitude': '-73.86176033507864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58894434,2023-09-22T09:38:27.000,2023-09-22T11:01:55.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11373,89-25 ELMHURST AVENUE,ELMHURST AVENUE,ADDRESS,ELMHURST,Closed,N/A,2023-09-22T11:01:54.000,04 QUEENS,4015100020,QUEENS,1018404,211679,ONLINE,Unspecified,QUEENS,40.74762057177522,-73.8767371507515,"{'latitude': '40.74762057177522', 'longitude': '-73.8767371507515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DENMAN STREET,CASE STREET,DENMAN STREET,CASE STREET,ELMHURST AVENUE,,,,,,,
58892757,2023-09-22T09:38:27.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery,10002,111 BOWERY,BOWERY,ADDRESS,NEW YORK,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-22T12:07:21.000,03 MANHATTAN,1003040009,MANHATTAN,985606,200814,PHONE,Unspecified,MANHATTAN,40.717864668557695,-73.9951083402709,"{'latitude': '40.717864668557695', 'longitude': '-73.9951083402709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HESTER STREET,GRAND STREET,HESTER STREET,GRAND STREET,BOWERY,,,,,,,
58898849,2023-09-22T09:38:27.000,2023-09-22T10:34:27.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11211,435 GRAHAM AVENUE,GRAHAM AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T10:34:29.000,01 BROOKLYN,3027340027,BROOKLYN,999500,200914,ONLINE,Unspecified,BROOKLYN,40.718126104632574,-73.94498664576122,"{'latitude': '40.718126104632574', 'longitude': '-73.94498664576122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FROST STREET,RICHARDSON STREET,FROST STREET,RICHARDSON STREET,GRAHAM AVENUE,,,,,,,
58897928,2023-09-22T09:38:23.000,2023-10-02T15:48:16.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11203,603 LINDEN BOULEVARD,LINDEN BOULEVARD,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,17 BROOKLYN,3048650035,BROOKLYN,1001941,177356,PHONE,Unspecified,BROOKLYN,40.65346025963425,-73.9362427596831,"{'latitude': '40.65346025963425', 'longitude': '-73.9362427596831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58896863,2023-09-22T09:38:22.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11249,258 WYTHE AVENUE,WYTHE AVENUE,ADDRESS,BROOKLYN,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-22T12:07:19.000,01 BROOKLYN,3023570017,BROOKLYN,994484,200526,ONLINE,Unspecified,BROOKLYN,40.717068362339575,-73.9630821172439,"{'latitude': '40.717068362339575', 'longitude': '-73.9630821172439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NORTH    3 STREET,METROPOLITAN AVENUE,NORTH    3 STREET,METROPOLITAN AVENUE,WYTHE AVENUE,,,,,,,
58892422,2023-09-22T09:38:19.000,2023-09-25T07:34:56.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10473,2045 STORY AVENUE,STORY AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,09 BRONX,2036810001,BRONX,1024593,239819,PHONE,Unspecified,BRONX,40.82483117267298,-73.85423189520691,"{'latitude': '40.82483117267298', 'longitude': '-73.85423189520691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58893931,2023-09-22T09:38:06.000,2023-09-22T14:22:58.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,10307,392 SPRAGUE AVENUE,SPRAGUE AVENUE,ADDRESS,STATEN ISLAND,Closed,No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,2023-09-22T14:23:01.000,03 STATEN ISLAND,5078607502,STATEN ISLAND,918349,122186,MOBILE,Unspecified,STATEN ISLAND,40.50180252161013,-74.23696461571247,"{'latitude': '40.50180252161013', 'longitude': '-74.23696461571247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SPRAGUE COURT,WINDING WOODS LOOP,SPRAGUE COURT,WINDING WOODS LOOP,SPRAGUE AVENUE,,,,,,,
58896164,2023-09-22T09:38:06.000,2023-09-22T10:48:12.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11212,518 THOMAS S BOYLAND STREET,THOMAS S BOYLAND STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T10:48:16.000,16 BROOKLYN,3035180057,BROOKLYN,1008314,182678,PHONE,Unspecified,BROOKLYN,40.668052943891745,-73.9132558921569,"{'latitude': '40.668052943891745', 'longitude': '-73.9132558921569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PITKIN AVENUE,SUTTER AVENUE,PITKIN AVENUE,SUTTER AVENUE,THOMAS S BOYLAND STREET,,,,,,,
