unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location
58929880,2023-09-26T06:33:03.000,2023-09-26T19:02:51.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10034,17 POST AVENUE,POST AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,12 MANHATTAN,1022170009,MANHATTAN,1005144,253668,ONLINE,Unspecified,MANHATTAN,40.86291002439557,-73.92446219508484,"{'latitude': '40.86291002439557', 'longitude': '-73.92446219508484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933439,2023-09-26T06:32:55.000,2023-09-26T08:56:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,817 EAST  215 STREET,EAST  215 STREET,BARNES AVENUE,BRONXWOOD AVENUE,BARNES AVENUE,BRONXWOOD AVENUE,ADDRESS,BRONX,EAST  215 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T08:56:57.000,12 BRONX,2046740035,BRONX,1022766,259766,PHONE,Unspecified,BRONX,40.87958784920707,-73.86071863817969,"{'latitude': '40.87958784920707', 'longitude': '-73.86071863817969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934487,2023-09-26T06:32:00.000,2023-09-26T06:34:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11101,41-50 24 STREET,24 STREET,41 AVE,QUEENS PLZA N,,,ADDRESS,LONG ISLAND CITY,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T06:34:00.000,01 QUEENS,4004130002,QUEENS,1000736,213249,ONLINE,Unspecified,QUEENS,40.751980413494174,-73.94049763377404,"{'latitude': '40.751980413494174', 'longitude': '-73.94049763377404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58927560,2023-09-26T06:31:44.000,2023-09-26T18:42:14.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,111-15 121 STREET,121 STREET,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,SOUTH OZONE PARK,121 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T18:42:18.000,10 QUEENS,4116260061,QUEENS,1034335,187339,ONLINE,Unspecified,QUEENS,40.68073734819889,-73.81942289809481,"{'latitude': '40.68073734819889', 'longitude': '-73.81942289809481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930503,2023-09-26T06:31:43.000,2023-09-26T07:24:34.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10309,3075 VETERANS ROAD WEST,VETERANS ROAD WEST,WEST SHORE PARKWAY,ALLENTOWN LANE,WEST SHORE PARKWAY,ALLENTOWN LANE,ADDRESS,STATEN ISLAND,VETERANS ROAD WEST,Closed,The Department of Sanitation cleaned the location.,2023-09-26T07:24:36.000,03 STATEN ISLAND,5075270030,STATEN ISLAND,918606,131738,ONLINE,Unspecified,STATEN ISLAND,40.52802282497104,-74.23613309543877,"{'latitude': '40.52802282497104', 'longitude': '-74.23613309543877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930759,2023-09-26T06:31:41.000,2023-09-26T06:35:17.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,1766 59 STREET,59 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,59 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T06:35:20.000,12 BROOKLYN,3055110034,BROOKLYN,987717,166294,MOBILE,Unspecified,BROOKLYN,40.62311442500842,-73.9875108340905,"{'latitude': '40.62311442500842', 'longitude': '-73.9875108340905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934244,2023-09-26T06:31:36.000,2023-09-26T06:53:02.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-26T06:53:05.000,Unspecified QUEENS,,QUEENS,1003982,213272,MOBILE,Unspecified,QUEENS,40.75203689491522,-73.92878189221653,"{'latitude': '40.75203689491522', 'longitude': '-73.92878189221653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,R,,Mezzanine,,
58931721,2023-09-26T06:31:36.000,2023-10-13T10:53:29.000,DHS,Department of Homeless Services,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-10-13T10:53:35.000,Unspecified QUEENS,,QUEENS,1003982,213272,MOBILE,Unspecified,QUEENS,40.75203689491522,-73.92878189221653,"{'latitude': '40.75203689491522', 'longitude': '-73.92878189221653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,R,,Mezzanine,,
58931615,2023-09-26T06:31:08.000,2023-09-26T08:23:17.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11361,219-07 43 AVENUE,43 AVENUE,219 STREET,220 STREET,219 STREET,220 STREET,ADDRESS,BAYSIDE,43 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T08:23:22.000,11 QUEENS,4063170006,QUEENS,1049866,217198,PHONE,Unspecified,QUEENS,40.762591284170284,-73.7631363750388,"{'latitude': '40.762591284170284', 'longitude': '-73.7631363750388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930840,2023-09-26T06:30:58.000,2023-09-26T06:45:18.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10001,107 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   25 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T06:45:21.000,04 MANHATTAN,1008010030,MANHATTAN,986353,210491,ONLINE,Unspecified,MANHATTAN,40.744425515906904,-73.99241057401285,"{'latitude': '40.744425515906904', 'longitude': '-73.99241057401285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928467,2023-09-26T06:30:46.000,2023-09-26T06:44:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10016,3 AVENUE,3 AVENUE,3 AVENUE,EAST   28 STREET,3 AVENUE,EAST   28 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T06:45:02.000,06 MANHATTAN,,MANHATTAN,989554,209597,ONLINE,Unspecified,MANHATTAN,40.7419703686212,-73.98085932842007,"{'latitude': '40.7419703686212', 'longitude': '-73.98085932842007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927032,2023-09-26T06:30:31.000,2023-09-26T06:51:32.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10457,2100 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST  180 STREET,EAST  181 STREET,EAST  180 STREET,EAST  181 STREET,ADDRESS,BRONX,TIEBOUT AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T06:51:35.000,05 BRONX,2031430001,BRONX,1012218,249993,MOBILE,Unspecified,BRONX,40.852803680010794,-73.89890300897932,"{'latitude': '40.852803680010794', 'longitude': '-73.89890300897932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932969,2023-09-26T06:29:52.000,2023-09-27T08:00:39.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,10470,4202 WEBSTER AVENUE,WEBSTER AVENUE,BRONX RVR PKWY SB EN WEBSTER AVE,BRONX RIVER PARKWAY EXIT 10 SB,BRONX RVR PKWY SB EN WEBSTER AVE,BRONX RIVER PARKWAY EXIT   10 SB,ADDRESS,BRONX,WEBSTER AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-26T09:09:00.000,12 BRONX,,BRONX,1022143,265870,MOBILE,Unspecified,BRONX,40.89634408518734,-73.8629369859828,"{'latitude': '40.89634408518734', 'longitude': '-73.8629369859828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928166,2023-09-26T06:29:52.000,2023-09-26T14:22:36.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10301,ELM PLACE,ELM PLACE,ELM PLACE,VAN CORTLANDT AVENUE,ELM PLACE,VAN CORTLANDT AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T14:22:40.000,01 STATEN ISLAND,,STATEN ISLAND,956286,163439,PHONE,Unspecified,STATEN ISLAND,40.61523459385348,-74.10072278182902,"{'latitude': '40.61523459385348', 'longitude': '-74.10072278182902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927334,2023-09-26T06:29:47.000,2023-09-26T19:02:51.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10034,17 POST AVENUE,POST AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,12 MANHATTAN,1022170009,MANHATTAN,1005144,253668,ONLINE,Unspecified,MANHATTAN,40.86291002439557,-73.92446219508484,"{'latitude': '40.86291002439557', 'longitude': '-73.92446219508484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935074,2023-09-26T06:29:44.000,2023-09-28T13:12:35.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11208,2305 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,05 BROOKLYN,3043380001,BROOKLYN,1018063,181202,PHONE,Unspecified,BROOKLYN,40.66396978995318,-73.87812086756571,"{'latitude': '40.66396978995318', 'longitude': '-73.87812086756571', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928416,2023-09-26T06:29:42.000,2023-09-26T07:15:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11375,65-35 YELLOWSTONE BOULEVARD,YELLOWSTONE BOULEVARD,65 ROAD,66 AVENUE,65 ROAD,66 AVENUE,ADDRESS,FOREST HILLS,YELLOWSTONE BOULEVARD,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-26T07:15:55.000,06 QUEENS,4021520106,QUEENS,1025629,205319,ONLINE,Unspecified,QUEENS,40.73013311785442,-73.85070106826441,"{'latitude': '40.73013311785442', 'longitude': '-73.85070106826441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929940,2023-09-26T06:29:30.000,2023-09-27T17:05:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10001,214 WEST   30 STREET,WEST   30 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,05 MANHATTAN,1007790052,MANHATTAN,986141,212071,PHONE,Unspecified,MANHATTAN,40.74876226721215,-73.99317520741661,"{'latitude': '40.74876226721215', 'longitude': '-73.99317520741661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926924,2023-09-26T06:28:28.000,2023-09-26T07:09:20.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11222,147 INDIA STREET,INDIA STREET,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,ADDRESS,BROOKLYN,INDIA STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T07:09:25.000,01 BROOKLYN,3025330060,BROOKLYN,997006,206110,ONLINE,Unspecified,BROOKLYN,40.73239180843862,-73.95397373322018,"{'latitude': '40.73239180843862', 'longitude': '-73.95397373322018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929174,2023-09-26T06:28:25.000,2023-09-26T07:39:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10472,EAST  172 STREET,EAST  172 STREET,EAST  172 STREET,ELDER AVENUE,EAST  172 STREET,ELDER AVENUE,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T07:39:45.000,09 BRONX,,BRONX,1017522,242107,PHONE,Unspecified,BRONX,40.83114053916582,-73.87976958631721,"{'latitude': '40.83114053916582', 'longitude': '-73.87976958631721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930378,2023-09-26T06:28:05.000,2023-09-27T08:00:54.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10107,250 WEST   57 STREET,WEST   57 STREET,BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,ADDRESS,NEW YORK,WEST   57 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-26T09:39:17.000,05 MANHATTAN,1010280056,MANHATTAN,989203,218494,ONLINE,Unspecified,MANHATTAN,40.76639057686906,-73.98211943675079,"{'latitude': '40.76639057686906', 'longitude': '-73.98211943675079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933521,2023-09-26T06:28:00.000,2023-09-26T09:18:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10075,,,,,5 AVENUE,EAST 79 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T09:18:00.000,08 MANHATTAN,,MANHATTAN,994296,222363,UNKNOWN,Unspecified,MANHATTAN,40.77700565044055,-73.96372768490096,"{'latitude': '40.77700565044055', 'longitude': '-73.96372768490096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58933650,2023-09-26T06:27:34.000,2023-09-26T07:18:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11373,81-31 BAXTER AVENUE,BAXTER AVENUE,41 AVENUE,82 STREET,41 AVENUE,82 STREET,ADDRESS,ELMHURST,BAXTER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T07:19:02.000,04 QUEENS,4014920032,QUEENS,1016469,211078,MOBILE,Unspecified,QUEENS,40.74597824093309,-73.88372349670446,"{'latitude': '40.74597824093309', 'longitude': '-73.88372349670446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929655,2023-09-26T06:27:03.000,2023-09-26T06:57:25.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11238,336 FLATBUSH AVENUE,FLATBUSH AVENUE,STERLING PLACE,8 AVENUE,STERLING PLACE,8 AVENUE,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T06:57:30.000,06 BROOKLYN,3010580030,BROOKLYN,992065,185670,ONLINE,Unspecified,BROOKLYN,40.67629456698762,-73.97182559516857,"{'latitude': '40.67629456698762', 'longitude': '-73.97182559516857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929879,2023-09-26T06:26:50.000,2023-09-26T22:04:39.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10032,974 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,12 MANHATTAN,1021090018,MANHATTAN,1000774,243105,MOBILE,Unspecified,MANHATTAN,40.83392697527902,-73.94028702542985,"{'latitude': '40.83392697527902', 'longitude': '-73.94028702542985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935175,2023-09-26T06:26:31.000,2023-09-26T16:59:56.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,306 EAST  180 STREET,EAST  180 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-26T00:00:00.000,05 BRONX,2031420030,BRONX,1011983,249852,ONLINE,Unspecified,BRONX,40.85241741843912,-73.89975305493228,"{'latitude': '40.85241741843912', 'longitude': '-73.89975305493228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926560,2023-09-26T06:26:12.000,2023-09-26T06:56:52.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10016,105 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-26T06:56:55.000,05 MANHATTAN,1008850008,MANHATTAN,988918,210247,PHONE,Unspecified,MANHATTAN,40.743754814964596,-73.9831540256618,"{'latitude': '40.743754814964596', 'longitude': '-73.9831540256618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934249,2023-09-26T06:26:12.000,2023-10-01T15:14:53.000,DHS,Department of Homeless Services,Encampment,N/A,Store/Commercial,10016,105 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",2023-10-01T15:14:55.000,05 MANHATTAN,1008850008,MANHATTAN,988918,210247,PHONE,Unspecified,MANHATTAN,40.743754814964596,-73.9831540256618,"{'latitude': '40.743754814964596', 'longitude': '-73.9831540256618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926270,2023-09-26T06:26:10.000,2023-10-02T00:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11103,41 STREET,41 STREET,25 AVENUE,ASTORIA BOULEVARD,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-10-02T00:00:00.000,01 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,,
58932070,2023-09-26T06:25:19.000,2023-09-26T06:56:44.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11377,50-18 72 STREET,72 STREET,DEAD END,51 AVENUE,DEAD END,51 AVENUE,ADDRESS,WOODSIDE,72 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T06:56:50.000,02 QUEENS,4024410035,QUEENS,1014102,207716,MOBILE,Unspecified,QUEENS,40.73675870199686,-73.89228077392978,"{'latitude': '40.73675870199686', 'longitude': '-73.89228077392978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929380,2023-09-26T06:24:04.000,2023-09-26T06:55:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11232,829 43 STREET,43 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,43 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T06:56:03.000,12 BROOKLYN,3009257501,BROOKLYN,984567,174115,MOBILE,Unspecified,BROOKLYN,40.644582082973166,-73.99885770424892,"{'latitude': '40.644582082973166', 'longitude': '-73.99885770424892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932314,2023-09-26T06:23:39.000,2023-09-26T07:52:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,108-26 159 STREET,159 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,159 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T07:52:41.000,12 QUEENS,4101460051,QUEENS,1041463,192497,ONLINE,Unspecified,QUEENS,40.694851633900804,-73.79367980321378,"{'latitude': '40.694851633900804', 'longitude': '-73.79367980321378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932236,2023-09-26T06:22:43.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10470,4632 BRONX BOULEVARD,BRONX BOULEVARD,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,12 BRONX,2050780026,BRONX,1024493,268679,UNKNOWN,Unspecified,BRONX,40.90404347295041,-73.85441991516085,"{'latitude': '40.90404347295041', 'longitude': '-73.85441991516085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58926877,2023-09-26T06:22:38.000,2023-09-26T07:26:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10455,541 UNION AVENUE,UNION AVENUE,EAST  147 STREET,EAST  149 STREET,EAST  147 STREET,EAST  149 STREET,ADDRESS,BRONX,UNION AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T07:26:58.000,01 BRONX,2025820042,BRONX,1010420,235260,MOBILE,Unspecified,BRONX,40.81237137041546,-73.90545977958996,"{'latitude': '40.81237137041546', 'longitude': '-73.90545977958996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934845,2023-09-26T06:22:24.000,2023-09-26T06:54:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,795 PUTNAM AVENUE,PUTNAM AVENUE,MALCOLM X BOULEVARD,PATCHEN AVENUE,MALCOLM X BOULEVARD,PATCHEN AVENUE,ADDRESS,BROOKLYN,PUTNAM AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T06:54:48.000,03 BROOKLYN,3016470001,BROOKLYN,1003888,189372,ONLINE,Unspecified,BROOKLYN,40.68643737954079,-73.92919089280218,"{'latitude': '40.68643737954079', 'longitude': '-73.92919089280218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929646,2023-09-26T06:21:37.000,2023-09-26T06:53:22.000,NYPD,New York City Police Department,Graffiti,Police Report Not Requested,Store/Commercial,10305,1091 HYLAN BOULEVARD,HYLAN BOULEVARD,KENSINGTON AVENUE,ALLENDALE ROAD,KENSINGTON AVENUE,ALLENDALE ROAD,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T06:53:27.000,02 STATEN ISLAND,5032290063,STATEN ISLAND,962387,157340,ONLINE,Unspecified,STATEN ISLAND,40.5985112475938,-74.07872802341693,"{'latitude': '40.5985112475938', 'longitude': '-74.07872802341693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58925654,2023-09-26T06:20:05.000,2023-09-26T09:19:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11414,80-02 153 AVENUE,153 AVENUE,80 STREET,81 STREET,80 STREET,81 STREET,ADDRESS,HOWARD BEACH,153 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T09:19:43.000,10 QUEENS,,QUEENS,1024758,181875,MOBILE,Unspecified,QUEENS,40.665788923872555,-73.85398470303181,"{'latitude': '40.665788923872555', 'longitude': '-73.85398470303181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928591,2023-09-26T06:20:03.000,2023-09-29T12:27:40.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11208,1017 DUMONT AVENUE,DUMONT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,05 BROOKLYN,3040670050,BROOKLYN,1017271,182780,PHONE,Unspecified,BROOKLYN,40.668304034482404,-73.88096790303409,"{'latitude': '40.668304034482404', 'longitude': '-73.88096790303409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933062,2023-09-26T06:19:57.000,2023-09-26T06:55:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11230,786 EAST    9 STREET,EAST    9 STREET,FOSTER AVENUE,AVENUE H,FOSTER AVENUE,AVENUE H,ADDRESS,BROOKLYN,EAST    9 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T06:55:33.000,14 BROOKLYN,3064960039,BROOKLYN,993102,168748,ONLINE,Unspecified,BROOKLYN,40.62984639518744,-73.96810924418948,"{'latitude': '40.62984639518744', 'longitude': '-73.96810924418948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930926,2023-09-26T06:19:53.000,2023-09-26T08:01:01.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10460,1504 VYSE AVENUE,VYSE AVENUE,JENNINGS STREET,EAST  172 STREET,JENNINGS STREET,EAST  172 STREET,ADDRESS,BRONX,VYSE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T08:00:53.000,03 BRONX,2029950122,BRONX,1015218,242849,MOBILE,Unspecified,BRONX,40.83318549333037,-73.88809179690804,"{'latitude': '40.83318549333037', 'longitude': '-73.88809179690804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
