unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58869389,2023-09-19T18:53:20.000,2023-09-19T19:54:12.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10305,486 BUEL AVENUE,BUEL AVENUE,NUGENT AVENUE,OLYMPIA BOULEVARD,NUGENT AVENUE,OLYMPIA BOULEVARD,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T19:54:16.000,02 STATEN ISLAND,STATEN ISLAND,960027,151364,ONLINE,Unspecified,STATEN ISLAND,40.582102195244005,-74.08720488602486,"{'latitude': '40.582102195244005', 'longitude': '-74.08720488602486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,BUEL AVENUE,5037080007,,,,,,,,
58856965,2023-09-19T18:53:11.000,2023-09-21T12:54:34.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11235,1117 BLAKE COURT,BLAKE COURT,EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,ADDRESS,Closed,The Department of Sanitation cleaned the location.,2023-09-21T09:25:52.000,15 BROOKLYN,BROOKLYN,995716,152174,PHONE,Unspecified,BROOKLYN,40.584351163922584,-73.95872002780462,"{'latitude': '40.584351163922584', 'longitude': '-73.95872002780462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BLAKE COURT,3087620042,,,,,,,,
58869818,2023-09-19T18:52:31.000,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10029,137 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,11 MANHATTAN,MANHATTAN,1000328,230293,ONLINE,Unspecified,MANHATTAN,40.79876245777479,-73.94192943320431,"{'latitude': '40.79876245777479', 'longitude': '-73.94192943320431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1016440016,,,,,,,,
58869606,2023-09-19T18:52:31.000,2023-09-19T19:15:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10460,932 EAST  173 STREET,EAST  173 STREET,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T19:15:09.000,03 BRONX,BRONX,1015192,243694,MOBILE,Unspecified,BRONX,40.835504863783285,-73.88818185441696,"{'latitude': '40.835504863783285', 'longitude': '-73.88818185441696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  173 STREET,2029820027,,,,,,,,
58858496,2023-09-19T18:52:17.000,2023-11-06T15:13:23.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11234,1939 EAST   33 STREET,EAST   33 STREET,FILLMORE AVENUE,AVENUE S,FILLMORE AVENUE,AVENUE S,ADDRESS,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-06T15:13:29.000,18 BROOKLYN,BROOKLYN,1002476,161200,ONLINE,Unspecified,BROOKLYN,40.6091143842899,-73.9343582859053,"{'latitude': '40.6091143842899', 'longitude': '-73.9343582859053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   33 STREET,3085000027,,,,,,,,
58861170,2023-09-19T18:52:11.000,2023-09-19T19:37:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,8302 6 AVENUE,6 AVENUE,83 STREET,FORT HAMILTON PARKWAY,83 STREET,FORT HAMILTON PARKWAY,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T19:37:40.000,10 BROOKLYN,BROOKLYN,977940,165922,PHONE,Unspecified,BROOKLYN,40.62209179401848,-74.0227301500132,"{'latitude': '40.62209179401848', 'longitude': '-74.0227301500132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,6 AVENUE,3060190041,,,,,,,,
58855364,2023-09-19T18:51:57.000,2023-09-20T01:22:37.000,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10128,1 AVENUE,1 AVENUE,1 AVENUE,EAST   87 STREET,1 AVENUE,EAST   87 STREET,INTERSECTION,Closed,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,2023-09-20T01:22:41.000,08 MANHATTAN,MANHATTAN,998408,222565,PHONE,Unspecified,MANHATTAN,40.7775544572193,-73.94888038183456,"{'latitude': '40.7775544572193', 'longitude': '-73.94888038183456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58858977,2023-09-19T18:51:44.000,2023-09-20T09:08:09.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,11429,216-25 111 AVENUE,111 AVENUE,216 STREET,SPRINGFIELD BOULEVARD,216 STREET,SPRINGFIELD BOULEVARD,ADDRESS,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-20T09:08:12.000,13 QUEENS,QUEENS,1056080,196983,ONLINE,Unspecified,QUEENS,40.707058032982154,-73.74092074591299,"{'latitude': '40.707058032982154', 'longitude': '-73.74092074591299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS VILLAGE,111 AVENUE,4111450048,,,,,,,,
58869324,2023-09-19T18:51:09.000,2023-09-19T19:24:26.000,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10032,4087 BROADWAY,BROADWAY,WEST  172 STREET,WEST  173 STREET,WEST  172 STREET,WEST  173 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T19:24:29.000,12 MANHATTAN,MANHATTAN,1001137,246863,ONLINE,Unspecified,MANHATTAN,40.84424090362248,-73.93896578622551,"{'latitude': '40.84424090362248', 'longitude': '-73.93896578622551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1021420100,,,,,,,,
58869165,2023-09-19T18:51:06.000,2023-09-19T20:49:51.000,NYPD,New York City Police Department,Bike/Roller/Skate Chronic,N/A,Residential Building/House,10470,4627 CARPENTER AVENUE,CARPENTER AVENUE,EAST  240 STREET,EAST  241 STREET,EAST  240 STREET,EAST  241 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T20:49:53.000,12 BRONX,BRONX,1024697,268544,ONLINE,Unspecified,BRONX,40.90367200915049,-73.85368275703384,"{'latitude': '40.90367200915049', 'longitude': '-73.85368275703384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,CARPENTER AVENUE,2050780057,,,,,,,,
58869235,2023-09-19T18:51:01.000,2023-09-19T20:06:33.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,551 FAIRVIEW AVENUE,FAIRVIEW AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T20:06:37.000,05 QUEENS,QUEENS,1009730,197253,PHONE,Unspecified,QUEENS,40.70805398878371,-73.90809648321114,"{'latitude': '40.70805398878371', 'longitude': '-73.90809648321114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD,FAIRVIEW AVENUE,4033830014,,,,,,,,
58856781,2023-09-19T18:51:00.000,2023-09-21T11:55:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10308,218 WIMAN AVENUE,WIMAN AVENUE,SWEETWATER AVENUE,TENNYSON DRIVE,,,ADDRESS,Closed,The Department of Sanitation collected the E-waste.,2023-09-21T11:55:00.000,03 STATEN ISLAND,STATEN ISLAND,943979,135726,PHONE,Unspecified,STATEN ISLAND,40.53912058078828,-74.14488586652992,"{'latitude': '40.53912058078828', 'longitude': '-74.14488586652992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,5053060060,,,,,,,,
58867320,2023-09-19T18:50:55.000,2023-09-19T20:20:35.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,137 EAST    8 STREET,EAST    8 STREET,FRIEL PLACE,CHURCH AVENUE,FRIEL PLACE,CHURCH AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T20:20:40.000,12 BROOKLYN,BROOKLYN,991946,174911,MOBILE,Unspecified,BROOKLYN,40.64676359300648,-73.97226689060082,"{'latitude': '40.64676359300648', 'longitude': '-73.97226689060082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST    8 STREET,3053310049,,,,,,,,
58865080,2023-09-19T18:50:47.000,2023-09-19T18:57:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,36-48 38 STREET,38 STREET,36 AVENUE,NORTHERN BOULEVARD,36 AVENUE,NORTHERN BOULEVARD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T18:57:44.000,01 QUEENS,QUEENS,1005060,213648,MOBILE,Unspecified,QUEENS,40.75306644798668,-73.92488993781366,"{'latitude': '40.75306644798668', 'longitude': '-73.92488993781366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONG ISLAND CITY,38 STREET,4006370052,,,,,,,,
58868536,2023-09-19T18:50:44.000,2023-09-26T13:54:59.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11212,160 LIBERTY AVENUE,LIBERTY AVENUE,POWELL STREET,JUNIUS STREET,POWELL STREET,JUNIUS STREET,ADDRESS,Closed,The Department of Sanitation removed the items.,2023-09-25T09:56:24.000,16 BROOKLYN,BROOKLYN,1010784,184567,ONLINE,Unspecified,BROOKLYN,40.673230765124515,-73.90434479189051,"{'latitude': '40.673230765124515', 'longitude': '-73.90434479189051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,LIBERTY AVENUE,3036950016,,,,,,,,
58859884,2023-09-19T18:50:35.000,2023-09-19T19:06:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,HAVEMEYER STREET,HAVEMEYER STREET,HAVEMEYER STREET,SOUTH    3 STREET,HAVEMEYER STREET,SOUTH    3 STREET,INTERSECTION,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T19:06:34.000,01 BROOKLYN,BROOKLYN,995893,198266,MOBILE,Unspecified,BROOKLYN,40.710863460346204,-73.95800323427233,"{'latitude': '40.710863460346204', 'longitude': '-73.95800323427233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58862380,2023-09-19T18:50:23.000,2023-09-20T09:12:40.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,316 TROUTMAN STREET,TROUTMAN STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,ADDRESS,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-19T18:50:23.000,04 BROOKLYN,BROOKLYN,1005022,195883,MOBILE,Unspecified,BROOKLYN,40.70430596836882,-73.925081930838,"{'latitude': '40.70430596836882', 'longitude': '-73.925081930838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,TROUTMAN STREET,3031870025,,,,,,,,
58858370,2023-09-19T18:50:18.000,2023-09-20T05:02:06.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,133-32 AVERY AVENUE,AVERY AVENUE,COLLEGE POINT BOULEVARD,SAULL STREET,COLLEGE POINT BOULEVARD,SAULL STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T05:02:10.000,07 QUEENS,QUEENS,1031199,213658,PHONE,Unspecified,QUEENS,40.75299374251012,-73.83054588043964,"{'latitude': '40.75299374251012', 'longitude': '-73.83054588043964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,AVERY AVENUE,4051050036,,,,,,,,
58867544,2023-09-19T18:50:02.000,2023-09-19T22:00:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11001,85-22 262 STREET,262 STREET,EAST WILLISTON AVENUE,86 AVENUE,EAST WILLISTON AVENUE,86 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T22:00:22.000,13 QUEENS,QUEENS,1065809,207380,ONLINE,Unspecified,QUEENS,40.73551079928252,-73.70570406891252,"{'latitude': '40.73551079928252', 'longitude': '-73.70570406891252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLORAL PARK,262 STREET,4088040054,,,,,,,,
58855333,2023-09-19T18:50:00.000,2023-09-19T20:10:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10040,565 WEST  190 STREET,WEST  190 STREET,AUDUBON AVE,ST NICHOLAS AVE,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-19T20:10:00.000,12 MANHATTAN,MANHATTAN,1003948,250624,PHONE,Unspecified,MANHATTAN,40.85455791031515,-73.92879502183422,"{'latitude': '40.85455791031515', 'longitude': '-73.92879502183422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1021610083,,,,,,,,
58855904,2023-09-19T18:49:52.000,2023-09-19T19:35:25.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11691,10-11 NEILSON STREET,NEILSON STREET,CORNAGA AVENUE,DINSMORE AVENUE,CORNAGA AVENUE,DINSMORE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T19:35:30.000,14 QUEENS,QUEENS,1054304,159237,ONLINE,Unspecified,QUEENS,40.60346820374366,-73.74771855139466,"{'latitude': '40.60346820374366', 'longitude': '-73.74771855139466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FAR ROCKAWAY,NEILSON STREET,4155560063,,,,,,,,
58860361,2023-09-19T18:49:51.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11219,1565 59 STREET,59 STREET,15 AVENUE,16 AVENUE,15 AVENUE,16 AVENUE,ADDRESS,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-10-14T16:09:52.000,12 BROOKLYN,BROOKLYN,986407,167340,ONLINE,Unspecified,BROOKLYN,40.625985891686575,-73.99222950971507,"{'latitude': '40.625985891686575', 'longitude': '-73.99222950971507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,59 STREET,3055020050,,,,,,,,
58859269,2023-09-19T18:49:50.000,2023-09-19T18:55:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,36-24 38 STREET,38 STREET,36 AVENUE,NORTHERN BOULEVARD,36 AVENUE,NORTHERN BOULEVARD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T18:55:51.000,01 QUEENS,QUEENS,1005130,213762,MOBILE,Unspecified,QUEENS,40.75337918394075,-73.92463693116154,"{'latitude': '40.75337918394075', 'longitude': '-73.92463693116154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONG ISLAND CITY,38 STREET,4006370043,,,,,,,,
58870059,2023-09-19T18:49:48.000,2023-09-20T09:30:23.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,10035,175 EAST  128 STREET,EAST  128 STREET,3 AVE-E  128 STREET PED OVPS,3 AVE-E  128 STREET PED OVPS,3 AVE-E  128 STREET PED OVPS,3 AVE-E  128 STREET PED OVPS,ADDRESS,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-20T09:30:26.000,11 MANHATTAN,MANHATTAN,1002282,232875,ONLINE,Unspecified,MANHATTAN,40.80584556673413,-73.93486503850421,"{'latitude': '40.80584556673413', 'longitude': '-73.93486503850421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST  128 STREET,1017770090,,,,,,,,
58856080,2023-09-19T18:49:35.000,2023-09-19T19:23:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,630 WEST  172 STREET,WEST  172 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T19:23:57.000,12 MANHATTAN,MANHATTAN,1000995,246820,MOBILE,Unspecified,MANHATTAN,40.84412315167366,-73.93947912008186,"{'latitude': '40.84412315167366', 'longitude': '-73.93947912008186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  172 STREET,1021420075,,,,,,,,
58862052,2023-09-19T18:49:29.000,,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11385,1723 BLEECKER STREET,BLEECKER STREET,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,05 QUEENS,QUEENS,1008593,195857,ONLINE,Unspecified,QUEENS,40.70422550111656,-73.91220255924996,"{'latitude': '40.70422550111656', 'longitude': '-73.91220255924996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD,,4034360059,,,,,,,,
58859254,2023-09-19T18:49:25.000,2023-09-19T18:51:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,83 STREET,83 STREET,83 STREET,FORT HAMILTON PARKWAY,83 STREET,FORT HAMILTON PARKWAY,INTERSECTION,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-19T18:51:14.000,10 BROOKLYN,BROOKLYN,978054,165858,PHONE,Unspecified,BROOKLYN,40.62191620784455,-74.02231943564746,"{'latitude': '40.62191620784455', 'longitude': '-74.02231943564746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58865103,2023-09-19T18:49:23.000,2023-09-19T22:25:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,41-19 38 STREET,38 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T22:25:53.000,02 QUEENS,QUEENS,1004644,211538,MOBILE,Unspecified,QUEENS,40.74727600183262,-73.92639781542846,"{'latitude': '40.74727600183262', 'longitude': '-73.92639781542846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONG ISLAND CITY,38 STREET,4002150016,,,,,,,,
58860859,2023-09-19T18:48:57.000,2023-09-20T09:14:38.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11217,196 FORT GREENE PLACE,FORT GREENE PLACE,HANSON PLACE,ATLANTIC AVENUE,HANSON PLACE,ATLANTIC AVENUE,ADDRESS,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-20T09:14:42.000,02 BROOKLYN,BROOKLYN,990913,188477,ONLINE,Unspecified,BROOKLYN,40.68400008698589,-73.97597597558419,"{'latitude': '40.68400008698589', 'longitude': '-73.97597597558419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,FORT GREENE PLACE,,,,,,,,,
58858974,2023-09-19T18:48:48.000,2023-09-20T11:09:01.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Gutter,10312,906 HUGUENOT AVENUE,HUGUENOT AVENUE,STATEN ISLAND RAILWAY LINE,AMBOY ROAD,STATEN ISLAND RAILWAY LINE,AMBOY ROAD,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T11:09:08.000,03 STATEN ISLAND,STATEN ISLAND,930886,133267,ONLINE,Unspecified,STATEN ISLAND,40.5323019980211,-74.19197197157887,"{'latitude': '40.5323019980211', 'longitude': '-74.19197197157887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,HUGUENOT AVENUE,5068150059,,,,,,,,
58866556,2023-09-19T18:48:37.000,2023-09-25T09:57:36.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Human Feces,3+ Family Apt. Building,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,LA SALLE STREET,TIEMANN PLACE,ADDRESS,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-25T09:57:36.000,09 MANHATTAN,MANHATTAN,995559,236037,ONLINE,Unspecified,MANHATTAN,40.81453554135292,-73.95914444206745,"{'latitude': '40.81453554135292', 'longitude': '-73.95914444206745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1019930086,,,,,,,,
58866643,2023-09-19T18:48:12.000,2023-09-20T12:06:51.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11422,134-15 244 STREET,244 STREET,134 AVENUE,135 AVENUE,134 AVENUE,135 AVENUE,ADDRESS,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-20T12:06:35.000,13 QUEENS,QUEENS,1058959,184247,ONLINE,Unspecified,QUEENS,40.6720769686495,-73.73067795453012,"{'latitude': '40.6720769686495', 'longitude': '-73.73067795453012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROSEDALE,244 STREET,4132150022,,,,,,,,
58867660,2023-09-19T18:48:09.000,2023-09-19T19:13:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,1990 7 AVENUE,7 AVENUE,WEST  119 STREET,WEST  120 STREET,WEST  119 STREET,WEST  120 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T19:13:36.000,10 MANHATTAN,MANHATTAN,997848,232743,ONLINE,Unspecified,MANHATTAN,40.805491199926735,-73.95088174047312,"{'latitude': '40.805491199926735', 'longitude': '-73.95088174047312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,7 AVENUE,1019250036,,,,,,,,
58864448,2023-09-19T18:47:47.000,2023-09-21T14:50:50.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,11369,LAGUARDIA AIRPORT,LAGUARDIA AIRPORT,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,UNRECOGNIZED,Closed,See notes for information.,2023-09-21T14:50:53.000,80 QUEENS,QUEENS,1018236,221443,PHONE,Unspecified,QUEENS,40.77442086598845,-73.87729410513894,"{'latitude': '40.77442086598845', 'longitude': '-73.87729410513894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,LA GUARDIA AIRPORT,4009260001,,,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,,,,
58870503,2023-09-19T18:47:30.000,2023-09-21T12:50:55.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11234,1710 EAST   51 STREET,EAST   51 STREET,AVENUE N,AVENUE O,AVENUE N,AVENUE O,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T10:43:32.000,18 BROOKLYN,BROOKLYN,1004843,164589,ONLINE,Unspecified,BROOKLYN,40.61841130178425,-73.92582310292264,"{'latitude': '40.61841130178425', 'longitude': '-73.92582310292264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   51 STREET,3078950056,,,,,,,,
58855841,2023-09-19T18:47:25.000,2023-09-19T19:53:00.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11225,931 CARROLL STREET,CARROLL STREET,CARROLL ST PEDESTRIAN OVERPASS,FRANKLIN AVENUE,CARROLL ST PEDESTRIAN OVERPASS,FRANKLIN AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T19:53:02.000,09 BROOKLYN,BROOKLYN,995434,182716,MOBILE,Unspecified,BROOKLYN,40.668182884893184,-73.95968467969597,"{'latitude': '40.668182884893184', 'longitude': '-73.95968467969597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CARROLL STREET,3011880058,,,,,,,,
58867630,2023-09-19T18:47:22.000,2023-09-19T20:49:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,1251 DECATUR STREET,DECATUR STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T20:49:53.000,04 BROOKLYN,BROOKLYN,1010266,190736,MOBILE,Unspecified,BROOKLYN,40.69016479515887,-73.90618836615766,"{'latitude': '40.69016479515887', 'longitude': '-73.90618836615766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,DECATUR STREET,3034300052,,,,,,,,
