unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_company_borough
58869240,2023-09-15T01:24:00.000,2023-09-15T01:44:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10461,1644 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,PIERCE AVENUE,VAN NEST AVENUE,PIERCE AVENUE,VAN NEST AVENUE,ADDRESS,BRONX,WILLIAMSBRIDGE ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:44:11.000,11 BRONX,2041110058,BRONX,1025846,248249,PHONE,Unspecified,BRONX,40.8479632364849,-73.84965226113596,"{'latitude': '40.8479632364849', 'longitude': '-73.84965226113596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867507,2023-09-15T01:23:54.000,2023-09-15T01:59:05.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,20 WEST  129 STREET,WEST  129 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T01:59:08.000,10 MANHATTAN,1017260049,MANHATTAN,1000389,234204,ONLINE,Unspecified,MANHATTAN,40.809496964201664,-73.94169971190213,"{'latitude': '40.809496964201664', 'longitude': '-73.94169971190213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855716,2023-09-15T01:23:41.000,2023-09-15T02:28:00.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,3344 PERRY AVENUE,PERRY AVENUE,EAST  209 STREET,EAST GUN HILL ROAD,EAST  209 STREET,EAST GUN HILL ROAD,ADDRESS,BRONX,PERRY AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T02:28:03.000,07 BRONX,2033480025,BRONX,1018935,259338,PHONE,Unspecified,BRONX,40.878429010556744,-73.87457447687393,"{'latitude': '40.878429010556744', 'longitude': '-73.87457447687393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859780,2023-09-15T01:23:38.000,2023-09-15T01:27:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,1012 GATES AVENUE,GATES AVENUE,RALPH AVENUE,BROADWAY,RALPH AVENUE,BROADWAY,ADDRESS,BROOKLYN,GATES AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:27:12.000,03 BROOKLYN,3014800017,BROOKLYN,1005508,190430,ONLINE,Unspecified,BROOKLYN,40.6893376030529,-73.92334629283825,"{'latitude': '40.6893376030529', 'longitude': '-73.92334629283825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865699,2023-09-15T01:23:20.000,2023-09-15T01:23:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T01:23:56.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858921,2023-09-15T01:23:09.000,2023-09-15T06:50:51.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10473,428 TURNEUR AVENUE,TURNEUR AVENUE,NORTON AVENUE,LACOMBE AVENUE,NORTON AVENUE,LACOMBE AVENUE,ADDRESS,BRONX,TURNEUR AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T06:50:56.000,09 BRONX,2035120015,BRONX,1026833,236495,ONLINE,Unspecified,BRONX,40.81569722927172,-73.84615939312215,"{'latitude': '40.81569722927172', 'longitude': '-73.84615939312215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869052,2023-09-15T01:23:07.000,2023-09-15T01:38:00.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10461,1606 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,PIERCE AVENUE,VAN NEST AVENUE,PIERCE AVENUE,VAN NEST AVENUE,ADDRESS,BRONX,WILLIAMSBRIDGE ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T01:38:04.000,11 BRONX,2041110044,BRONX,1025942,248058,ONLINE,Unspecified,BRONX,40.84743854579723,-73.84930645976867,"{'latitude': '40.84743854579723', 'longitude': '-73.84930645976867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857877,2023-09-15T01:22:23.000,2023-09-15T01:43:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,54 WEST    9 STREET,WEST    9 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    9 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:43:46.000,02 MANHATTAN,1005720015,MANHATTAN,984700,206645,ONLINE,Unspecified,MANHATTAN,40.73386943870144,-73.99837627168445,"{'latitude': '40.73386943870144', 'longitude': '-73.99837627168445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869614,2023-09-15T01:22:20.000,2023-09-15T02:07:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11103,32-75 37 STREET,37 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,37 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:07:08.000,01 QUEENS,4006550007,QUEENS,1006148,215908,ONLINE,Unspecified,QUEENS,40.75926694217187,-73.92095563319624,"{'latitude': '40.75926694217187', 'longitude': '-73.92095563319624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857351,2023-09-15T01:22:10.000,2023-09-15T02:39:44.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,1279 EAST   68 STREET,EAST   68 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   68 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:39:48.000,18 BROOKLYN,3083550010,BROOKLYN,1007653,166450,ONLINE,Unspecified,BROOKLYN,40.62351237968662,-73.91569491300675,"{'latitude': '40.62351237968662', 'longitude': '-73.91569491300675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869546,2023-09-15T01:21:45.000,2023-09-15T01:46:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10025,RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  114 STREET,WEST  115 STREET,WEST  114 STREET,WEST  115 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:46:07.000,Unspecified MANHATTAN,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,,,
58864761,2023-09-15T01:21:43.000,2023-09-15T02:06:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10461,2500 POPLAR STREET,POPLAR STREET,LURTING AVENUE,ROSELLE STREET,LURTING AVENUE,ROSELLE STREET,ADDRESS,BRONX,POPLAR STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:06:31.000,11 BRONX,2040780109,BRONX,1025779,246773,ONLINE,Unspecified,BRONX,40.84391237166778,-73.8499035719149,"{'latitude': '40.84391237166778', 'longitude': '-73.8499035719149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867444,2023-09-15T01:21:37.000,2023-09-15T01:45:36.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,303 WEST  127 STREET,WEST  127 STREET,FREDERICK DOUGLASS BOULEVARD,ST NICHOLAS AVENUE,FREDERICK DOUGLASS BOULEVARD,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  127 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T01:45:41.000,10 MANHATTAN,1019547501,MANHATTAN,997966,234962,ONLINE,Unspecified,MANHATTAN,40.811581557329646,-73.95045097086839,"{'latitude': '40.811581557329646', 'longitude': '-73.95045097086839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868959,2023-09-15T01:21:32.000,2023-09-15T02:05:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10461,2500 POPLAR STREET,POPLAR STREET,LURTING AVENUE,ROSELLE STREET,LURTING AVENUE,ROSELLE STREET,ADDRESS,BRONX,POPLAR STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:05:58.000,11 BRONX,2040780109,BRONX,1025779,246773,ONLINE,Unspecified,BRONX,40.84391237166778,-73.8499035719149,"{'latitude': '40.84391237166778', 'longitude': '-73.8499035719149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867465,2023-09-15T01:21:20.000,2023-09-15T01:28:42.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10025,RIVERSIDE PARK,RIVERSIDE PARK,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,UNRECOGNIZED,NEW YORK,RIVERSIDE PARK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:28:46.000,07 MANHATTAN,1012540002,MANHATTAN,991626,230829,ONLINE,Riverside Park,MANHATTAN,40.800245180318555,-73.97335875005403,"{'latitude': '40.800245180318555', 'longitude': '-73.97335875005403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857426,2023-09-15T01:21:01.000,2023-09-15T01:29:10.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11210,1214 EAST   24 STREET,EAST   24 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   24 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T01:29:16.000,14 BROOKLYN,3076410052,BROOKLYN,997695,165444,ONLINE,Unspecified,BROOKLYN,40.62077182905221,-73.95156880577736,"{'latitude': '40.62077182905221', 'longitude': '-73.95156880577736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863798,2023-09-15T01:20:41.000,2023-09-15T02:51:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11372,37-71 79 STREET,79 STREET,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,79 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:51:32.000,03 QUEENS,4012900047,QUEENS,1015554,212210,ONLINE,Unspecified,QUEENS,40.74908858017093,-73.887020405856,"{'latitude': '40.74908858017093', 'longitude': '-73.887020405856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856116,2023-09-15T01:20:41.000,2023-09-15T01:23:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T01:23:37.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58820888,2023-09-15T01:20:31.000,2023-10-22T08:47:30.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11225,13 LEFFERTS AVENUE,LEFFERTS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-22T00:00:00.000,09 BROOKLYN,3013180001,BROOKLYN,995289,180382,PHONE,Unspecified,BROOKLYN,40.661776755340206,-73.96021118732527,"{'latitude': '40.661776755340206', 'longitude': '-73.96021118732527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861107,2023-09-15T01:20:31.000,2023-09-15T02:59:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11369,23-20 95 STREET,95 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,EAST ELMHURST,95 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T02:59:09.000,03 QUEENS,4010880117,QUEENS,1018854,218954,MOBILE,Unspecified,QUEENS,40.767586819309685,-73.87507564511615,"{'latitude': '40.767586819309685', 'longitude': '-73.87507564511615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869009,2023-09-15T01:20:29.000,2023-09-15T01:36:42.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10040,141 NAGLE AVENUE,NAGLE AVENUE,ARDEN STREET,THAYER STREET,ARDEN STREET,THAYER STREET,ADDRESS,NEW YORK,NAGLE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T01:36:46.000,12 MANHATTAN,1021730025,MANHATTAN,1004643,252983,MOBILE,Unspecified,MANHATTAN,40.86103107825989,-73.92627553723854,"{'latitude': '40.86103107825989', 'longitude': '-73.92627553723854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855761,2023-09-15T01:20:06.000,2023-09-15T01:49:49.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10027,263 WEST  121 STREET,WEST  121 STREET,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  121 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T01:49:52.000,10 MANHATTAN,1019270008,MANHATTAN,997584,233333,PHONE,Unspecified,MANHATTAN,40.80711098931465,-73.9518341807724,"{'latitude': '40.80711098931465', 'longitude': '-73.9518341807724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58822176,2023-09-15T01:20:00.000,2023-09-16T10:05:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11213,641 CROWN STREET,CROWN STREET,TROY AVE,SCHENECTADY AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-16T10:05:00.000,09 BROOKLYN,3014130001,BROOKLYN,1001847,181749,ONLINE,Unspecified,BROOKLYN,40.66551826188698,-73.93657006543626,"{'latitude': '40.66551826188698', 'longitude': '-73.93657006543626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859874,2023-09-15T01:19:24.000,2023-09-15T01:29:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10021,410 EAST   69 STREET,EAST   69 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,EAST   69 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T01:29:17.000,08 MANHATTAN,1014630005,MANHATTAN,996297,218165,ONLINE,Unspecified,MANHATTAN,40.76548073631407,-73.95651035530925,"{'latitude': '40.76548073631407', 'longitude': '-73.95651035530925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866956,2023-09-15T01:18:46.000,2023-09-15T02:16:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10462,1947 FOWLER AVENUE,FOWLER AVENUE,RHINELANDER AVENUE,NEILL AVENUE,RHINELANDER AVENUE,NEILL AVENUE,ADDRESS,BRONX,FOWLER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:16:06.000,11 BRONX,2042640039,BRONX,1022715,248943,MOBILE,Unspecified,BRONX,40.84988225374841,-73.86096518393205,"{'latitude': '40.84988225374841', 'longitude': '-73.86096518393205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859740,2023-09-15T01:18:04.000,2023-09-15T01:46:06.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11361,214-28 36 AVENUE,36 AVENUE,214 PLACE,215 STREET,214 PLACE,215 STREET,ADDRESS,BAYSIDE,36 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:46:11.000,11 QUEENS,4061780001,QUEENS,1047797,219335,ONLINE,Unspecified,QUEENS,40.7684718901556,-73.77058490738872,"{'latitude': '40.7684718901556', 'longitude': '-73.77058490738872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58819814,2023-09-15T01:18:00.000,2023-09-15T12:55:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11212,,,,,JUNIUS STREET,LIBERTY AVENUE,INTERSECTION,BROOKLYN,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-15T12:55:00.000,16 BROOKLYN,,BROOKLYN,1010904,184593,UNKNOWN,Unspecified,BROOKLYN,40.673301768758165,-73.9039120887969,"{'latitude': '40.673301768758165', 'longitude': '-73.9039120887969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58869435,2023-09-15T01:17:57.000,2023-09-15T01:30:53.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,20 WEST  129 STREET,WEST  129 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  129 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:30:56.000,10 MANHATTAN,1017260049,MANHATTAN,1000389,234204,ONLINE,Unspecified,MANHATTAN,40.809496964201664,-73.94169971190213,"{'latitude': '40.809496964201664', 'longitude': '-73.94169971190213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867672,2023-09-15T01:17:22.000,2023-09-15T01:23:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T01:23:17.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866964,2023-09-15T01:16:57.000,2023-09-15T03:26:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,1426 EAST   17 STREET,EAST   17 STREET,AVENUE N,AVENUE O,AVENUE N,AVENUE O,ADDRESS,BROOKLYN,EAST   17 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T03:26:54.000,14 BROOKLYN,3067540013,BROOKLYN,996028,163399,PHONE,Unspecified,BROOKLYN,40.61516110216609,-73.9575771919869,"{'latitude': '40.61516110216609', 'longitude': '-73.9575771919869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58850678,2023-09-15T01:16:38.000,2023-09-18T10:08:27.000,DOT,Department of Transportation,Highway Condition,High Grass,Highway,,,,,,,,,,,Closed,General maintenance and cleaning is on a regular schedule. The next scheduled maintenance and cleaning will correct the condition.,2023-09-18T10:08:38.000,Unspecified STATEN ISLAND,,STATEN ISLAND,,,ONLINE,Unspecified,STATEN ISLAND,,,,,,,"Dr. Martin Luther King, Jr. Expwy",North/To Bayonne Br,"Richmond Ter (Exit 13) - END Dr. Martin Luther King, Jr. Expwy",Roadway,
58865548,2023-09-15T01:16:12.000,2023-09-15T01:28:46.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10467,2434 BRONX PARK EAST,BRONX PARK EAST,WARING AVENUE,MACE AVENUE,WARING AVENUE,MACE AVENUE,ADDRESS,BRONX,BRONX PARK EAST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T01:28:51.000,11 BRONX,2044240020,BRONX,1020066,253404,ONLINE,Unspecified,BRONX,40.862137495332405,-73.8705163566897,"{'latitude': '40.862137495332405', 'longitude': '-73.8705163566897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867655,2023-09-15T01:15:57.000,2023-09-15T01:44:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,BROADWAY,BROADWAY,BROADWAY,WEST  116 STREET,BROADWAY,WEST  116 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:44:51.000,09 MANHATTAN,,MANHATTAN,994244,233656,ONLINE,Unspecified,MANHATTAN,40.808001944384515,-73.96389863279262,"{'latitude': '40.808001944384515', 'longitude': '-73.96389863279262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867617,2023-09-15T01:15:32.000,2023-09-15T07:20:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,2100 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T07:20:52.000,09 BROOKLYN,3050260085,BROOKLYN,995071,179734,MOBILE,Unspecified,BROOKLYN,40.659998407531084,-73.96099798320904,"{'latitude': '40.659998407531084', 'longitude': '-73.96099798320904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867670,2023-09-15T01:15:13.000,2023-09-15T07:20:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11225,2100 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T07:20:27.000,09 BROOKLYN,3050260085,BROOKLYN,995071,179734,MOBILE,Unspecified,BROOKLYN,40.659998407531084,-73.96099798320904,"{'latitude': '40.659998407531084', 'longitude': '-73.96099798320904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867103,2023-09-15T01:15:09.000,2023-09-15T01:17:40.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11210,1209 EAST   24 STREET,EAST   24 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   24 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T01:17:45.000,14 BROOKLYN,,BROOKLYN,997696,165482,ONLINE,Unspecified,BROOKLYN,40.62087612959935,-73.95156512792069,"{'latitude': '40.62087612959935', 'longitude': '-73.95156512792069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865135,2023-09-15T01:14:33.000,2023-09-15T04:26:46.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,58-65 81 STREET,81 STREET,58 AVENUE,CALDWELL AVENUE,58 AVENUE,CALDWELL AVENUE,ADDRESS,MIDDLE VILLAGE,81 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T04:26:51.000,05 QUEENS,4029190044,QUEENS,1017597,204187,MOBILE,Unspecified,QUEENS,40.72705998486357,-73.8796867725344,"{'latitude': '40.72705998486357', 'longitude': '-73.8796867725344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859591,2023-09-15T01:14:27.000,2023-09-15T01:43:24.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,598 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-15T01:43:27.000,05 BROOKLYN,3045860945,BROOKLYN,1020207,178299,ONLINE,Unspecified,BROOKLYN,40.65599325559804,-73.87040829977123,"{'latitude': '40.65599325559804', 'longitude': '-73.87040829977123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867263,2023-09-15T01:14:18.000,2023-09-15T02:33:46.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,2280 NATIONAL DRIVE,NATIONAL DRIVE,EAST   64 STREET,EAST   65 STREET,EAST   64 STREET,EAST   65 STREET,ADDRESS,BROOKLYN,NATIONAL DRIVE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:33:48.000,18 BROOKLYN,3085920032,BROOKLYN,1007998,159854,PHONE,Unspecified,BROOKLYN,40.605406813033795,-73.91447531222082,"{'latitude': '40.605406813033795', 'longitude': '-73.91447531222082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
