unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough,road_ramp
58942572,2023-09-27T22:49:08.000,2023-09-27T22:50:16.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11374,98-25 67 AVENUE,67 AVENUE,AUSTIN STREET,WETHEROLE STREET,AUSTIN STREET,WETHEROLE STREET,ADDRESS,REGO PARK,67 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T22:50:23.000,06 QUEENS,QUEENS,1024391,203385,ONLINE,Unspecified,QUEENS,40.7248304712136,-73.85517940517056,"{'latitude': '40.7248304712136', 'longitude': '-73.85517940517056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943759,2023-09-27T22:48:51.000,2023-09-27T23:08:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,323 BEACH   36 STREET,BEACH   36 STREET,DEAD END,BEACH CHANNEL DRIVE,DEAD END,BEACH CHANNEL DRIVE,ADDRESS,FAR ROCKAWAY,BEACH   36 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:08:56.000,14 QUEENS,QUEENS,1048503,156399,ONLINE,Unspecified,QUEENS,40.59572245421335,-73.76863625221205,"{'latitude': '40.59572245421335', 'longitude': '-73.76863625221205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937279,2023-09-27T22:48:45.000,2023-09-27T22:53:56.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,47 AVENUE B,AVENUE B,EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,ADDRESS,NEW YORK,AVENUE B,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:53:59.000,03 MANHATTAN,MANHATTAN,989046,202694,ONLINE,Unspecified,MANHATTAN,40.723023619225195,-73.98269748062665,"{'latitude': '40.723023619225195', 'longitude': '-73.98269748062665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1003860005,,,,,,,
58942512,2023-09-27T22:48:43.000,2023-09-27T23:07:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10304,17 BOWEN STREET,BOWEN STREET,ROFF STREET,SOBEL COURT,ROFF STREET,SOBEL COURT,ADDRESS,STATEN ISLAND,BOWEN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:07:11.000,01 STATEN ISLAND,STATEN ISLAND,961239,163384,ONLINE,Unspecified,STATEN ISLAND,40.615097877943334,-74.08288252828183,"{'latitude': '40.615097877943334', 'longitude': '-74.08288252828183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5028770008,,,,,,,
58937296,2023-09-27T22:48:42.000,2023-09-27T23:06:03.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3042 AVENUE V,AVENUE V,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,ADDRESS,BROOKLYN,AVENUE V,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:06:08.000,15 BROOKLYN,BROOKLYN,1001769,157438,MOBILE,Unspecified,BROOKLYN,40.59878988925375,-73.93691433327626,"{'latitude': '40.59878988925375', 'longitude': '-73.93691433327626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944370,2023-09-27T22:48:00.000,2023-09-27T23:57:31.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T23:57:34.000,Unspecified MANHATTAN,MANHATTAN,986088,211507,MOBILE,Unspecified,MANHATTAN,40.747214240254344,-73.99336664342263,"{'latitude': '40.747214240254344', 'longitude': '-73.99336664342263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,,Platform,,,
58939862,2023-09-27T22:47:52.000,2023-09-27T23:07:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,177 CHRYSTIE STREET,CHRYSTIE STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,CHRYSTIE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:07:03.000,03 MANHATTAN,MANHATTAN,986373,201982,ONLINE,Unspecified,MANHATTAN,40.72107039661541,-73.99234108175814,"{'latitude': '40.72107039661541', 'longitude': '-73.99234108175814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935889,2023-09-27T22:47:50.000,2023-09-27T23:14:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10009,40 AVENUE D,AVENUE D,EAST    4 STREET,EAST    5 STREET,EAST    4 STREET,EAST    5 STREET,ADDRESS,NEW YORK,AVENUE D,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-27T23:14:56.000,03 MANHATTAN,MANHATTAN,990482,202189,ONLINE,Unspecified,MANHATTAN,40.721636621264146,-73.97751729417588,"{'latitude': '40.721636621264146', 'longitude': '-73.97751729417588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58942534,2023-09-27T22:47:47.000,2023-09-27T23:03:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,2111 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:03:35.000,09 BROOKLYN,BROOKLYN,994992,179735,MOBILE,Unspecified,BROOKLYN,40.66000124850346,-73.96128272045006,"{'latitude': '40.66000124850346', 'longitude': '-73.96128272045006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050260075,,,,,,,
58937153,2023-09-27T22:47:18.000,2023-09-27T23:54:23.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10034,98 PARK TERRACE EAST,PARK TERRACE EAST,WEST  217 STREET,WEST  218 STREET,WEST  217 STREET,WEST  218 STREET,ADDRESS,NEW YORK,PARK TERRACE EAST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T23:54:27.000,12 MANHATTAN,MANHATTAN,1007616,256698,MOBILE,Unspecified,MANHATTAN,40.87122025204443,-73.91551464590012,"{'latitude': '40.87122025204443', 'longitude': '-73.91551464590012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1022430309,,,,,,,
58943366,2023-09-27T22:47:00.000,2023-09-29T01:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11206,271 MELROSE STREET,MELROSE STREET,CENTRAL AVE,WILSON AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T01:30:00.000,04 BROOKLYN,BROOKLYN,1003757,195072,ONLINE,Unspecified,BROOKLYN,40.70208284364671,-73.9296467350611,"{'latitude': '40.70208284364671', 'longitude': '-73.9296467350611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3031570037,N/A,,,,,,
58944620,2023-09-27T22:47:00.000,2023-09-29T18:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11238,443 ST MARKS AVENUE,ST MARKS AVENUE,GRAND AVE,CLASSON AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T18:45:00.000,08 BROOKLYN,BROOKLYN,995329,185846,ONLINE,Unspecified,BROOKLYN,40.67677416396355,-73.96005803182477,"{'latitude': '40.67677416396355', 'longitude': '-73.96005803182477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3011480050,N/A,,,,,,
58936194,2023-09-27T22:46:43.000,2023-10-21T05:03:16.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,11435,108-44 LIVERPOOL STREET,LIVERPOOL STREET,,,,,ADDRESS,JAMAICA,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-21T00:00:00.000,12 QUEENS,QUEENS,1039508,191046,ONLINE,Unspecified,QUEENS,40.69088140744609,-73.80074175676606,"{'latitude': '40.69088140744609', 'longitude': '-73.80074175676606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4119390110,,,,,,,
58943991,2023-09-27T22:46:43.000,2023-10-21T05:03:16.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11435,108-44 LIVERPOOL STREET,LIVERPOOL STREET,,,,,ADDRESS,JAMAICA,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-21T00:00:00.000,12 QUEENS,QUEENS,1039508,191046,ONLINE,Unspecified,QUEENS,40.69088140744609,-73.80074175676606,"{'latitude': '40.69088140744609', 'longitude': '-73.80074175676606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4119390110,,,,,,,
58948735,2023-09-27T22:46:43.000,2023-09-27T22:46:43.000,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,10009,1 AVENUE A,AVENUE A,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T00:00:00.000,03 MANHATTAN,MANHATTAN,988079,202475,UNKNOWN,Unspecified,MANHATTAN,40.72242298861693,-73.98618624907375,"{'latitude': '40.72242298861693', 'longitude': '-73.98618624907375', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58945553,2023-09-27T22:46:42.000,2023-09-28T18:26:26.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,67-34 79 STREET,79 STREET,67 ROAD,67 DRIVE,67 ROAD,67 DRIVE,ADDRESS,MIDDLE VILLAGE,79 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:26:29.000,05 QUEENS,QUEENS,1019310,198803,ONLINE,Unspecified,QUEENS,40.71227559288853,-73.87353446231151,"{'latitude': '40.71227559288853', 'longitude': '-73.87353446231151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938375,2023-09-27T22:46:41.000,2023-09-27T22:58:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11214,221 BAY   37 STREET,BAY   37 STREET,BATH AVENUE,HARWAY AVENUE,BATH AVENUE,HARWAY AVENUE,ADDRESS,BROOKLYN,BAY   37 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T22:58:23.000,11 BROOKLYN,BROOKLYN,986143,155846,MOBILE,Unspecified,BROOKLYN,40.59443728353848,-73.99318377917993,"{'latitude': '40.59443728353848', 'longitude': '-73.99318377917993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941369,2023-09-27T22:46:36.000,2023-09-29T15:06:56.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,2492 DEVOE TERRACE,DEVOE TERRACE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,07 BRONX,BRONX,1010550,254382,ONLINE,Unspecified,BRONX,40.864855286806744,-73.90491516580856,"{'latitude': '40.864855286806744', 'longitude': '-73.90491516580856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2032190175,,,,,,,
58943632,2023-09-27T22:46:34.000,2023-09-27T23:15:33.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11356,125-19 18 AVENUE,18 AVENUE,125 STREET,126 STREET,125 STREET,126 STREET,ADDRESS,COLLEGE POINT,18 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T23:15:36.000,07 QUEENS,QUEENS,1027764,224669,PHONE,Unspecified,QUEENS,40.7832336015218,-73.84287259079542,"{'latitude': '40.7832336015218', 'longitude': '-73.84287259079542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4040900001,,,,,,,
58945433,2023-09-27T22:46:14.000,2023-10-25T14:02:52.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10312,23 EASTMAN STREET,EASTMAN STREET,PRESTON AVENUE,WOODS OF ARDEN ROAD,PRESTON AVENUE,WOODS OF ARDEN ROAD,ADDRESS,STATEN ISLAND,EASTMAN STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-25T14:02:55.000,03 STATEN ISLAND,STATEN ISLAND,938460,135631,UNKNOWN,Unspecified,STATEN ISLAND,40.538833051374766,-74.16474128208341,"{'latitude': '40.538833051374766', 'longitude': '-74.16474128208341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939774,2023-09-27T22:46:13.000,2023-09-27T23:05:58.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11103,25-36 37 STREET,37 STREET,ASTORIA BOULEVARD SOUTH,28 AVENUE,ASTORIA BOULEVARD SOUTH,28 AVENUE,ADDRESS,ASTORIA,37 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T23:06:03.000,01 QUEENS,QUEENS,1008025,218959,PHONE,Unspecified,QUEENS,40.767636298824804,-73.91416951183581,"{'latitude': '40.767636298824804', 'longitude': '-73.91416951183581', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943410,2023-09-27T22:46:02.000,2023-09-27T23:10:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10458,203 EAST  199 STREET,EAST  199 STREET,GRAND CONCOURSE,VALENTINE AVENUE,GRAND CONCOURSE,VALENTINE AVENUE,ADDRESS,BRONX,EAST  199 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T23:10:43.000,07 BRONX,BRONX,1015216,256612,ONLINE,Unspecified,BRONX,40.870960818051536,-73.88803545430704,"{'latitude': '40.870960818051536', 'longitude': '-73.88803545430704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941247,2023-09-27T22:45:58.000,2023-09-27T23:03:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,106 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,SUFFOLK STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:03:30.000,03 MANHATTAN,MANHATTAN,988077,201136,MOBILE,Unspecified,MANHATTAN,40.71874775735738,-73.986194225742,"{'latitude': '40.71874775735738', 'longitude': '-73.986194225742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1003480006,,,,,,,
58944965,2023-09-27T22:45:49.000,2023-09-27T23:14:28.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10032,709 WEST  169 STREET,WEST  169 STREET,FORT WASHINGTON AVENUE,HAVEN AVENUE,FORT WASHINGTON AVENUE,HAVEN AVENUE,ADDRESS,NEW YORK,WEST  169 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:14:33.000,12 MANHATTAN,MANHATTAN,1000242,246373,ONLINE,Unspecified,MANHATTAN,40.842897663640535,-73.94220172736742,"{'latitude': '40.842897663640535', 'longitude': '-73.94220172736742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021390140,,,,,,,
58943317,2023-09-27T22:45:44.000,2023-09-28T02:51:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11235,2680 EAST   12 STREET,EAST   12 STREET,GILMORE COURT,SHORE PARKWAY,GILMORE COURT,SHORE PARKWAY,ADDRESS,BROOKLYN,EAST   12 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T02:51:53.000,15 BROOKLYN,BROOKLYN,995950,152661,ONLINE,Unspecified,BROOKLYN,40.58568757624295,-73.95787673640368,"{'latitude': '40.58568757624295', 'longitude': '-73.95787673640368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3074550089,,,,,,,
58944836,2023-09-27T22:45:38.000,2023-09-27T22:55:21.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,869 59 STREET,59 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,59 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T22:55:25.000,12 BROOKLYN,BROOKLYN,982155,170710,MOBILE,Unspecified,BROOKLYN,40.6352358446308,-74.00754818434119,"{'latitude': '40.6352358446308', 'longitude': '-74.00754818434119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943687,2023-09-27T22:45:37.000,2023-09-27T23:12:02.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10028,240 EAST   86 STREET,EAST   86 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   86 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:12:06.000,08 MANHATTAN,MANHATTAN,997393,222801,ONLINE,Unspecified,MANHATTAN,40.77820378241984,-73.95254473175484,"{'latitude': '40.77820378241984', 'longitude': '-73.95254473175484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1015310029,,,,,,,
58938697,2023-09-27T22:45:25.000,2023-09-27T23:20:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,83 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,ADDRESS,NEW YORK,ST NICHOLAS PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T23:20:42.000,09 MANHATTAN,MANHATTAN,1000674,241561,ONLINE,Unspecified,MANHATTAN,40.82968932642495,-73.94065217670709,"{'latitude': '40.82968932642495', 'longitude': '-73.94065217670709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1020690011,,,,,,,
58941275,2023-09-27T22:45:20.000,2023-09-27T23:17:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10468,2710 MORRIS AVENUE,MORRIS AVENUE,EAST KINGSBRIDGE ROAD,EAST  196 STREET,EAST KINGSBRIDGE ROAD,EAST  196 STREET,ADDRESS,BRONX,MORRIS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:17:11.000,07 BRONX,BRONX,1013124,255501,ONLINE,Unspecified,BRONX,40.8679185556592,-73.89560433136421,"{'latitude': '40.8679185556592', 'longitude': '-73.89560433136421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939088,2023-09-27T22:44:52.000,2023-09-27T22:44:52.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10308,80 EAST BRANDIS AVENUE,EAST BRANDIS AVENUE,ARMSTRONG AVENUE,CORTELYOU AVENUE,ARMSTRONG AVENUE,CORTELYOU AVENUE,ADDRESS,STATEN ISLAND,EAST BRANDIS AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-27T22:44:52.000,03 STATEN ISLAND,STATEN ISLAND,938993,143063,MOBILE,Unspecified,STATEN ISLAND,40.55923517928345,-74.16287339824318,"{'latitude': '40.55923517928345', 'longitude': '-74.16287339824318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5054940199,,,,,,,
58942411,2023-09-27T22:44:33.000,2023-09-27T22:53:06.000,NYPD,New York City Police Department,Graffiti,Police Report Not Requested,Store/Commercial,10031,510 WEST  145 STREET,WEST  145 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  145 STREET,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-27T22:53:09.000,09 MANHATTAN,MANHATTAN,998582,240026,ONLINE,Unspecified,MANHATTAN,40.82547983268459,-73.9482148575719,"{'latitude': '40.82547983268459', 'longitude': '-73.9482148575719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944751,2023-09-27T22:44:27.000,2023-09-27T23:41:59.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,507 WEST   27 STREET,WEST   27 STREET,10 AVENUE,HIGH LINE,10 AVENUE,HIGH LINE,ADDRESS,NEW YORK,WEST   27 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T23:42:06.000,04 MANHATTAN,MANHATTAN,983469,212676,MOBILE,Unspecified,MANHATTAN,40.75042300735698,-74.0028187709586,"{'latitude': '40.75042300735698', 'longitude': '-74.0028187709586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58942461,2023-09-27T22:44:22.000,2023-09-27T23:27:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,65 LENOX ROAD,LENOX ROAD,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,LENOX ROAD,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T23:27:07.000,14 BROOKLYN,BROOKLYN,996054,177442,ONLINE,Unspecified,BROOKLYN,40.65370611492281,-73.95745897906986,"{'latitude': '40.65370611492281', 'longitude': '-73.95745897906986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050640087,,,,,,,
58942553,2023-09-27T22:44:18.000,2023-09-27T23:15:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11201,442 FULTON STREET,FULTON STREET,LAWRENCE STREET,BRIDGE STREET,LAWRENCE STREET,BRIDGE STREET,ADDRESS,BROOKLYN,FULTON STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T23:15:11.000,02 BROOKLYN,BROOKLYN,988257,190929,ONLINE,Unspecified,BROOKLYN,40.690731865536264,-73.98555095542704,"{'latitude': '40.690731865536264', 'longitude': '-73.98555095542704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937154,2023-09-27T22:44:14.000,2023-09-27T23:53:52.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10034,108 PARK TERRACE EAST,PARK TERRACE EAST,WEST  217 STREET,WEST  218 STREET,WEST  217 STREET,WEST  218 STREET,ADDRESS,NEW YORK,PARK TERRACE EAST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T23:53:57.000,12 MANHATTAN,MANHATTAN,1007671,256758,MOBILE,Unspecified,MANHATTAN,40.871384787826834,-73.91531557065643,"{'latitude': '40.871384787826834', 'longitude': '-73.91531557065643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939537,2023-09-27T22:44:00.000,2023-10-02T17:12:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10016,145 EAST   27 STREET,EAST   27 STREET,LEXINGTON AVE,BROADWAY ALLY,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T17:12:00.000,06 MANHATTAN,MANHATTAN,989069,209574,ONLINE,Unspecified,MANHATTAN,40.74190751693278,-73.98260957594246,"{'latitude': '40.74190751693278', 'longitude': '-73.98260957594246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1008830044,N/A,,,,,,
58940814,2023-09-27T22:44:00.000,2023-09-28T18:22:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11238,,,,,ST MARKS AVENUE,CLASSON AVENUE,INTERSECTION,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T18:22:00.000,08 BROOKLYN,BROOKLYN,995502,185795,ONLINE,Unspecified,BROOKLYN,40.6766339622816,-73.95943441812527,"{'latitude': '40.6766339622816', 'longitude': '-73.95943441812527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58937096,2023-09-27T22:43:39.000,2023-09-27T23:41:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,507 WEST   27 STREET,WEST   27 STREET,10 AVENUE,HIGH LINE,10 AVENUE,HIGH LINE,ADDRESS,NEW YORK,WEST   27 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T23:41:58.000,04 MANHATTAN,MANHATTAN,983469,212676,MOBILE,Unspecified,MANHATTAN,40.75042300735698,-74.0028187709586,"{'latitude': '40.75042300735698', 'longitude': '-74.0028187709586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1006990027,,,,,,,
