unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58815581,2023-09-14T15:29:48.000,2023-09-18T09:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11419,130 STREET,130 STREET,107 AVENUE,109 AVENUE,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-18T09:55:00.000,10 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,N/A,,,,,,,
58815992,2023-09-14T15:29:33.000,2023-09-14T17:23:35.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11379,62-25 79 STREET,79 STREET,62 AVENUE,JUNIPER BOULEVARD NORTH,62 AVENUE,JUNIPER BOULEVARD NORTH,ADDRESS,MIDDLE VILLAGE,79 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T17:23:39.000,05 QUEENS,4029660066,QUEENS,1018011,202473,MOBILE,Unspecified,QUEENS,40.722353904857925,-73.87820169497803,"{'latitude': '40.722353904857925', 'longitude': '-73.87820169497803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815644,2023-09-14T15:29:29.000,2023-09-14T17:07:36.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11103,25-15 34 STREET,34 STREET,ASTORIA BOULEVARD SOUTH,28 AVENUE,ASTORIA BOULEVARD SOUTH,28 AVENUE,ADDRESS,ASTORIA,34 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T17:07:38.000,01 QUEENS,4006320027,QUEENS,1007483,219556,ONLINE,Unspecified,QUEENS,40.76927634904405,-73.91612412937005,"{'latitude': '40.76927634904405', 'longitude': '-73.91612412937005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813338,2023-09-14T15:29:05.000,2023-09-14T16:07:59.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10002,257 DELANCEY STREET,DELANCEY STREET,SHERIFF STREET,COLUMBIA STREET,SHERIFF STREET,COLUMBIA STREET,ADDRESS,NEW YORK,DELANCEY STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T16:08:02.000,03 MANHATTAN,1003310095,MANHATTAN,989443,200256,ONLINE,Unspecified,MANHATTAN,40.716331672216086,-73.98126710553697,"{'latitude': '40.716331672216086', 'longitude': '-73.98126710553697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812302,2023-09-14T15:29:04.000,2023-09-14T15:29:04.000,DOHMH,Department of Health and Mental Hygiene,Standing Water,Puddle on Sidewalk,3+ Family Apartment Building,10030,2363 7 AVENUE,7 AVENUE,WEST 138 STREET,WEST 139 STREET,WEST  138 STREET,WEST  139 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,An inspection of the property was conducted and no violations were found.,2023-09-14T15:29:04.000,10 MANHATTAN,1020070002,MANHATTAN,1000247,237061,PHONE,Unspecified,MANHATTAN,40.81733888871917,-73.94220586125563,"{'latitude': '40.81733888871917', 'longitude': '-73.94220586125563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816205,2023-09-14T15:29:00.000,2023-09-14T15:52:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11377,32-47 53 PLACE,53 PLACE,32 AVE,BROADWAY,,,ADDRESS,WOODSIDE,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T15:52:00.000,01 QUEENS,4011550057,QUEENS,1009808,214049,PHONE,Unspecified,QUEENS,40.75415464155522,-73.90775134797508,"{'latitude': '40.75415464155522', 'longitude': '-73.90775134797508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815653,2023-09-14T15:28:51.000,2023-09-14T15:53:41.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T15:53:44.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814518,2023-09-14T15:28:50.000,2023-09-14T22:43:13.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10463,3536 CAMBRIDGE AVENUE,CAMBRIDGE AVENUE,WEST  235 STREET,WEST  236 STREET,WEST  235 STREET,WEST  236 STREET,ADDRESS,BRONX,CAMBRIDGE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T22:43:17.000,08 BRONX,2057917501,BRONX,1009696,261990,PHONE,Unspecified,BRONX,40.885739393276225,-73.90797381245531,"{'latitude': '40.885739393276225', 'longitude': '-73.90797381245531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811414,2023-09-14T15:28:50.000,2023-09-18T11:58:39.000,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,Street,11206,222 BUSHWICK AVENUE,BUSHWICK AVENUE,MESEROLE STREET,MONTROSE AVENUE,MESEROLE STREET,MONTROSE AVENUE,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Department of Sanitation investigated and found that the bike did not meet the criteria to be classified as derelict.,2023-09-16T16:14:01.000,01 BROOKLYN,3030540020,BROOKLYN,1000904,197281,PHONE,Unspecified,BROOKLYN,40.70815185639058,-73.93993079847355,"{'latitude': '40.70815185639058', 'longitude': '-73.93993079847355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817052,2023-09-14T15:28:44.000,2023-11-09T12:40:41.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10010,49 WEST   21 STREET,WEST   21 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   21 STREET,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T12:40:48.000,05 MANHATTAN,1008230010,MANHATTAN,986440,209221,ONLINE,Unspecified,MANHATTAN,40.740939661619834,-73.99209701696589,"{'latitude': '40.740939661619834', 'longitude': '-73.99209701696589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","49 WEST   21 STREET, MANHATTAN (NEW YORK), NY, 10010",,,,,,,,
58817938,2023-09-14T15:28:14.000,2023-11-14T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10462,2039 CRUGER AVENUE,CRUGER AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-14T00:00:00.000,11 BRONX,2042840001,BRONX,1021101,249546,UNKNOWN,Unspecified,BRONX,40.85154419194268,-73.86679579232892,"{'latitude': '40.85154419194268', 'longitude': '-73.86679579232892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816215,2023-09-14T15:28:13.000,2023-09-15T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11233,346 MACDONOUGH STREET,MACDONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-15T00:00:00.000,03 BROOKLYN,3016750029,BROOKLYN,1002806,187837,UNKNOWN,Unspecified,BROOKLYN,40.68222649067795,-73.93309650631589,"{'latitude': '40.68222649067795', 'longitude': '-73.93309650631589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815606,2023-09-14T15:28:11.000,2023-09-14T15:36:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10010,49 WEST   21 STREET,WEST   21 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   21 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T15:36:06.000,05 MANHATTAN,1008230010,MANHATTAN,986440,209221,ONLINE,Unspecified,MANHATTAN,40.740939661619834,-73.99209701696589,"{'latitude': '40.740939661619834', 'longitude': '-73.99209701696589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812039,2023-09-14T15:28:07.000,,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10456,1254 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-14T00:00:00.000,03 BRONX,2026150012,BRONX,1011143,242009,PHONE,Unspecified,BRONX,40.83089328488927,-73.90282086596362,"{'latitude': '40.83089328488927', 'longitude': '-73.90282086596362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816543,2023-09-14T15:28:07.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10456,1254 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-14T00:00:00.000,03 BRONX,2026150012,BRONX,1011143,242009,PHONE,Unspecified,BRONX,40.83089328488927,-73.90282086596362,"{'latitude': '40.83089328488927', 'longitude': '-73.90282086596362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817903,2023-09-14T15:28:07.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10456,1254 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-14T00:00:00.000,03 BRONX,2026150012,BRONX,1011143,242009,PHONE,Unspecified,BRONX,40.83089328488927,-73.90282086596362,"{'latitude': '40.83089328488927', 'longitude': '-73.90282086596362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810903,2023-09-14T15:28:06.000,,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10456,1254 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-14T00:00:00.000,03 BRONX,2026150012,BRONX,1011143,242009,PHONE,Unspecified,BRONX,40.83089328488927,-73.90282086596362,"{'latitude': '40.83089328488927', 'longitude': '-73.90282086596362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818056,2023-09-14T15:28:04.000,2023-09-25T12:44:22.000,DOT,Department of Transportation,DEP Street Condition,Cave-in,Street,11420,111-27 120 STREET,120 STREET,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,SOUTH OZONE PARK,120 STREET,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-25T12:44:27.000,10 QUEENS,4116250055,QUEENS,1034093,187245,UNKNOWN,Unspecified,QUEENS,40.68048070605662,-73.82029610081065,"{'latitude': '40.68048070605662', 'longitude': '-73.82029610081065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818148,2023-09-14T15:27:45.000,2023-09-14T16:04:03.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11207,135 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ATLANTIC AVENUE,LIBERTY AVENUE,ATLANTIC AVENUE,LIBERTY AVENUE,ADDRESS,BROOKLYN,PENNSYLVANIA AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T16:04:07.000,05 BROOKLYN,3036870001,BROOKLYN,1012941,185092,ONLINE,Unspecified,BROOKLYN,40.67466504323269,-73.89656656783524,"{'latitude': '40.67466504323269', 'longitude': '-73.89656656783524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815244,2023-09-14T15:27:39.000,2023-09-14T16:43:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10456,795 EAST  169 STREET,EAST  169 STREET,TINTON AVENUE,UNION AVENUE,TINTON AVENUE,UNION AVENUE,ADDRESS,BRONX,EAST  169 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T16:43:18.000,03 BRONX,2029610002,BRONX,1012199,241785,MOBILE,Unspecified,BRONX,40.830275190940526,-73.89900589630429,"{'latitude': '40.830275190940526', 'longitude': '-73.89900589630429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814541,2023-09-14T15:27:26.000,2023-09-15T08:03:19.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11370,31-42 81 STREET,81 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,81 STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-15T08:03:24.000,03 QUEENS,4011510027,QUEENS,1015597,215616,ONLINE,Unspecified,QUEENS,40.75843702556503,-73.88684933571109,"{'latitude': '40.75843702556503', 'longitude': '-73.88684933571109', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812258,2023-09-14T15:27:25.000,,DOE,Department of Education,School Maintenance,Plumbing Problem,School,11228,7805 7 AVENUE,7 AVENUE,78 STREET,79 STREET,78 STREET,79 STREET,ADDRESS,BROOKLYN,7 AVENUE,In Progress,,,10 BROOKLYN,3059730001,BROOKLYN,979054,166698,ONLINE,P.S. 127 Mckinley Park,BROOKLYN,40.62422247511744,-74.01871784934262,"{'latitude': '40.62422247511744', 'longitude': '-74.01871784934262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813613,2023-09-14T15:27:04.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11432,88-44 161 STREET,161 STREET,HILLSIDE AVENUE,89 AVENUE,HILLSIDE AVENUE,89 AVENUE,ADDRESS,JAMAICA,161 STREET,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-14T23:03:32.000,12 QUEENS,4097640082,QUEENS,1039541,197047,PHONE,Unspecified,QUEENS,40.707352503217145,-73.80057349565777,"{'latitude': '40.707352503217145', 'longitude': '-73.80057349565777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814770,2023-09-14T15:26:58.000,2023-09-14T19:40:14.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,11106,31-84 35 STREET,35 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,ADDRESS,ASTORIA,35 STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-14T19:40:19.000,01 QUEENS,4006240001,QUEENS,1005934,216564,PHONE,Unspecified,QUEENS,40.76106802071069,-73.92172598442576,"{'latitude': '40.76106802071069', 'longitude': '-73.92172598442576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811468,2023-09-14T15:26:53.000,2023-09-14T17:09:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11230,623 AVENUE H,AVENUE H,OCEAN PARKWAY,EAST    7 STREET,OCEAN PARKWAY,EAST    7 STREET,ADDRESS,BROOKLYN,AVENUE H,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T17:09:16.000,14 BROOKLYN,3064947503,BROOKLYN,992367,168447,MOBILE,Unspecified,BROOKLYN,40.629020917686,-73.97075756187564,"{'latitude': '40.629020917686', 'longitude': '-73.97075756187564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812607,2023-09-14T15:26:51.000,2023-09-14T17:04:22.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11691,233 BEACH   20 STREET,BEACH   20 STREET,SEAGIRT BOULEVARD,PLAINVIEW AVENUE,SEAGIRT BOULEVARD,PLAINVIEW AVENUE,ADDRESS,FAR ROCKAWAY,BEACH   20 STREET,Closed,N/A,2023-09-14T17:04:26.000,14 QUEENS,4157800075,QUEENS,1052537,156515,ONLINE,Unspecified,QUEENS,40.59601068660218,-73.75410942954504,"{'latitude': '40.59601068660218', 'longitude': '-73.75410942954504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812513,2023-09-14T15:26:49.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T11:44:12.000,Unspecified MANHATTAN,,MANHATTAN,985453,210365,MOBILE,Unspecified,MANHATTAN,40.7440798456439,-73.99565856772038,"{'latitude': '40.7440798456439', 'longitude': '-73.99565856772038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,1,1 Uptown & The Bronx,,Platform
58813750,2023-09-14T15:26:31.000,2023-09-15T13:12:24.000,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11422,149 AVENUE,149 AVENUE,149 AVENUE,HUXLEY STREET,149 AVENUE,HUXLEY STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T13:12:19.000,13 QUEENS,,QUEENS,1056687,177299,UNKNOWN,Unspecified,QUEENS,40.653025211183135,-73.73894299197293,"{'latitude': '40.653025211183135', 'longitude': '-73.73894299197293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816006,2023-09-14T15:26:30.000,2023-09-14T20:59:24.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,Street,10019,826 7 AVENUE,7 AVENUE,WEST   53 STREET,WEST   54 STREET,WEST   53 STREET,WEST   54 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-14T20:59:30.000,05 MANHATTAN,1010250025,MANHATTAN,989294,217303,ONLINE,Unspecified,MANHATTAN,40.763121538030525,-73.98179181619352,"{'latitude': '40.763121538030525', 'longitude': '-73.98179181619352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812702,2023-09-14T15:26:24.000,2023-10-15T00:01:40.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Laundromat,Business,10462,1553 METROPOLITAN AVENUE,METROPOLITAN AVENUE,PINE DRIVE,MAPLE DRIVE,PINE DRIVE,MAPLE DRIVE,ADDRESS,BRONX,METROPOLITAN AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-15T00:01:47.000,09 BRONX,2039447501,BRONX,1023491,245210,PHONE,Unspecified,BRONX,40.83963286271907,-73.85818211998041,"{'latitude': '40.83963286271907', 'longitude': '-73.85818211998041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811148,2023-09-14T15:26:14.000,2023-09-14T20:34:18.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11432,187 PLACE,187 PLACE,187 PLACE,HILLSIDE AVENUE,187 PLACE,HILLSIDE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T20:34:24.000,12 QUEENS,,QUEENS,1046779,199816,PHONE,Unspecified,QUEENS,40.714904535770444,-73.77444148604884,"{'latitude': '40.714904535770444', 'longitude': '-73.77444148604884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812404,2023-09-14T15:26:08.000,2023-09-27T16:16:03.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11103,28-11 49 STREET,49 STREET,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,ADDRESS,ASTORIA,49 STREET,Closed,This request required re-assignment to a new DOT unit.,2023-09-27T16:16:13.000,01 QUEENS,4007420021,QUEENS,1010067,216808,ONLINE,Unspecified,QUEENS,40.76172663498239,-73.9068059235083,"{'latitude': '40.76172663498239', 'longitude': '-73.9068059235083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817340,2023-09-14T15:26:00.000,2023-09-16T10:24:00.000,DEP,Department of Environmental Protection,Water Conservation,Illegal Use Of A Hydrant (CIN),,11378,,,,,60 DRIVE,61 STREET,INTERSECTION,QUEENS,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-16T10:24:00.000,05 QUEENS,,QUEENS,1011294,199973,ONLINE,Unspecified,QUEENS,40.715515095050016,-73.90244438820743,"{'latitude': '40.715515095050016', 'longitude': '-73.90244438820743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811632,2023-09-14T15:26:00.000,2023-09-14T19:10:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),,11249,103 NORTH   10 STREET,NORTH   10 STREET,WYTHE AVE,BERRY ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-14T19:10:00.000,01 BROOKLYN,3022967501,BROOKLYN,995947,201836,PHONE,Unspecified,BROOKLYN,40.720662183580416,-73.95780225091474,"{'latitude': '40.720662183580416', 'longitude': '-73.95780225091474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815326,2023-09-14T15:26:00.000,2023-09-18T12:54:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10452,,,,,EAST 164 STREET,RIVER AVENUE,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T12:54:00.000,04 BRONX,,BRONX,1005210,241926,UNKNOWN,Unspecified,BRONX,40.83068154666905,-73.9242602906558,"{'latitude': '40.83068154666905', 'longitude': '-73.9242602906558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815967,2023-09-14T15:25:49.000,2023-09-15T10:56:36.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11356,119-18 14 AVENUE,14 AVENUE,119 STREET,120 STREET,119 STREET,120 STREET,ADDRESS,COLLEGE POINT,14 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T22:14:57.000,07 QUEENS,4040540008,QUEENS,1026231,225638,ONLINE,Unspecified,QUEENS,40.7859006589271,-73.84840212910876,"{'latitude': '40.7859006589271', 'longitude': '-73.84840212910876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819122,2023-09-14T15:25:40.000,2023-10-03T07:28:35.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11378,53-27 73 STREET,73 STREET,53 ROAD,GRAND AVENUE,53 ROAD,GRAND AVENUE,ADDRESS,MASPETH,73 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-10-03T07:28:39.000,05 QUEENS,4024910014,QUEENS,1014585,205394,PHONE,Unspecified,QUEENS,40.730383744666064,-73.89054836719669,"{'latitude': '40.730383744666064', 'longitude': '-73.89054836719669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812368,2023-09-14T15:25:31.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819180,2023-09-14T15:25:27.000,2023-09-18T10:31:47.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Commercial Building,10024,100 WEST   83 STREET,WEST   83 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   83 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-14T15:25:27.000,07 MANHATTAN,1012130035,MANHATTAN,991442,225169,MOBILE,Unspecified,MANHATTAN,40.78471015980614,-73.97402939747475,"{'latitude': '40.78471015980614', 'longitude': '-73.97402939747475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818256,2023-09-14T15:25:22.000,2023-09-15T11:04:14.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,11356,119-18 14 AVENUE,14 AVENUE,119 STREET,120 STREET,119 STREET,120 STREET,ADDRESS,COLLEGE POINT,14 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T22:13:37.000,07 QUEENS,4040540008,QUEENS,1026231,225638,ONLINE,Unspecified,QUEENS,40.7859006589271,-73.84840212910876,"{'latitude': '40.7859006589271', 'longitude': '-73.84840212910876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
