unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,road_ramp,taxi_pick_up_location,bridge_highway_direction,taxi_company_borough,due_date
58908886,2023-09-23T20:35:06.000,2023-09-23T22:08:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10463,130 WEST  228 STREET,WEST  228 STREET,MARBLE HILL LANE,MARBLE HILL AVENUE,MARBLE HILL LANE,MARBLE HILL AVENUE,ADDRESS,BRONX,WEST  228 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T22:08:11.000,08 BRONX,1022150586,BRONX,1009554,258607,ONLINE,Unspecified,BRONX,40.876454524183956,-73.90850013893893,"{'latitude': '40.876454524183956', 'longitude': '-73.90850013893893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906446,2023-09-23T20:34:30.000,2023-09-23T21:05:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,100 CLINTON STREET,CLINTON STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,ADDRESS,NEW YORK,CLINTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:05:40.000,03 MANHATTAN,1003480038,MANHATTAN,988280,200969,ONLINE,Unspecified,MANHATTAN,40.71828929235526,-73.9854620100421,"{'latitude': '40.71828929235526', 'longitude': '-73.9854620100421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907485,2023-09-23T20:34:15.000,2023-09-23T20:46:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10037,30 WEST  132 STREET,WEST  132 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  132 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T20:46:25.000,10 MANHATTAN,1017290049,MANHATTAN,1000819,234867,ONLINE,Unspecified,MANHATTAN,40.81131591874087,-73.94014475014112,"{'latitude': '40.81131591874087', 'longitude': '-73.94014475014112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906299,2023-09-23T20:34:00.000,2023-09-23T21:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11232,,,,,3 AVENUE,34 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-23T21:45:00.000,07 BROOKLYN,,BROOKLYN,982790,178509,UNKNOWN,Unspecified,BROOKLYN,40.65664254345917,-74.00526199780046,"{'latitude': '40.65664254345917', 'longitude': '-74.00526199780046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58909436,2023-09-23T20:33:54.000,2023-09-23T21:23:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11435,145-53 107 AVENUE,107 AVENUE,PRINCETON STREET,LIVERPOOL STREET,PRINCETON STREET,LIVERPOOL STREET,ADDRESS,JAMAICA,107 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T21:23:20.000,12 QUEENS,4100820026,QUEENS,1038680,191497,MOBILE,Unspecified,QUEENS,40.69212442621415,-73.80372383919402,"{'latitude': '40.69212442621415', 'longitude': '-73.80372383919402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906453,2023-09-23T20:33:34.000,2023-09-23T20:38:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,349 CRIMMINS AVENUE,CRIMMINS AVENUE,EAST  141 STREET,ST MARYS STREET,EAST  141 STREET,ST MARYS STREET,ADDRESS,BRONX,CRIMMINS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-23T20:38:45.000,01 BRONX,2025560002,BRONX,1007914,234380,ONLINE,Unspecified,BRONX,40.809963084197264,-73.91451590577948,"{'latitude': '40.809963084197264', 'longitude': '-73.91451590577948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907155,2023-09-23T20:33:24.000,2023-09-25T13:52:17.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11356,5-15 125 STREET,125 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,COLLEGE POINT,125 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-25T13:52:20.000,07 QUEENS,4039500031,QUEENS,1027827,227976,PHONE,Unspecified,QUEENS,40.792310105885726,-73.84262364678952,"{'latitude': '40.792310105885726', 'longitude': '-73.84262364678952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906842,2023-09-23T20:33:13.000,2023-09-23T21:39:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,108-18 36 AVENUE,36 AVENUE,108 STREET,109 STREET,108 STREET,109 STREET,ADDRESS,CORONA,36 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:39:06.000,03 QUEENS,4017520005,QUEENS,1023038,214260,PHONE,Unspecified,QUEENS,40.75468564331332,-73.85999803975855,"{'latitude': '40.75468564331332', 'longitude': '-73.85999803975855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907393,2023-09-23T20:33:06.000,2023-09-23T21:17:45.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11375,110-72 QUEENS BOULEVARD,QUEENS BOULEVARD,73 AVENUE,73 ROAD,73 AVENUE,73 ROAD,ADDRESS,FOREST HILLS,QUEENS BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:17:50.000,06 QUEENS,4032927501,QUEENS,1028943,201316,ONLINE,Unspecified,QUEENS,40.71912974854332,-73.83877048571635,"{'latitude': '40.71912974854332', 'longitude': '-73.83877048571635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906215,2023-09-23T20:32:36.000,2023-09-23T23:26:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11217,339 PACIFIC STREET,PACIFIC STREET,HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,ADDRESS,BROOKLYN,PACIFIC STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T23:26:31.000,02 BROOKLYN,3001830001,BROOKLYN,987873,189553,MOBILE,Unspecified,BROOKLYN,40.68695522730072,-73.98693638045087,"{'latitude': '40.68695522730072', 'longitude': '-73.98693638045087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908907,2023-09-23T20:32:31.000,2023-09-23T20:38:07.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11385,1651 STEPHEN STREET,STEPHEN STREET,WYCKOFF AVENUE,CYPRESS AVENUE,WYCKOFF AVENUE,CYPRESS AVENUE,ADDRESS,RIDGEWOOD,STEPHEN STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-23T20:38:11.000,05 QUEENS,4035520081,QUEENS,1011166,193074,PHONE,Unspecified,QUEENS,40.696579369004944,-73.90293369813492,"{'latitude': '40.696579369004944', 'longitude': '-73.90293369813492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906406,2023-09-23T20:32:08.000,2023-09-23T20:52:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10023,AMSTERDAM AVENUE,AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST   73 STREET,AMSTERDAM AVENUE,WEST   73 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T20:52:21.000,07 MANHATTAN,,MANHATTAN,989475,223194,ONLINE,Unspecified,MANHATTAN,40.77929069076215,-73.98113384967594,"{'latitude': '40.77929069076215', 'longitude': '-73.98113384967594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909542,2023-09-23T20:32:05.000,2023-09-23T21:08:02.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10011,120 WEST   23 STREET,WEST   23 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:08:05.000,04 MANHATTAN,1007980054,MANHATTAN,986012,210063,ONLINE,Unspecified,MANHATTAN,40.74325083738835,-73.99364130632112,"{'latitude': '40.74325083738835', 'longitude': '-73.99364130632112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908345,2023-09-23T20:32:00.000,2023-09-23T21:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10464,536 MINNIEFORD AVENUE,MINNIEFORD AVENUE,BEACH ST,CROSS ST,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-23T21:30:00.000,10 BRONX,2056470020,BRONX,1042698,250133,ONLINE,Unspecified,BRONX,40.85303877455227,-73.78872489152715,"{'latitude': '40.85303877455227', 'longitude': '-73.78872489152715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907110,2023-09-23T20:31:58.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10010,135 EAST   23 STREET,EAST   23 STREET,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-23T00:00:00.000,06 MANHATTAN,1008790023,MANHATTAN,988510,208686,PHONE,Unspecified,MANHATTAN,40.73947046474321,-73.98462741302495,"{'latitude': '40.73947046474321', 'longitude': '-73.98462741302495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907506,2023-09-23T20:31:17.000,2023-09-23T21:05:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11214,1803 81 STREET,81 STREET,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,81 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:05:25.000,11 BROOKLYN,3062850001,BROOKLYN,984492,161430,ONLINE,Unspecified,BROOKLYN,40.60976442772646,-73.99912841830336,"{'latitude': '40.60976442772646', 'longitude': '-73.99912841830336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908517,2023-09-23T20:31:00.000,2023-09-23T21:30:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,1641 MADISON AVENUE,MADISON AVENUE,EAST  109 STREET,EAST  110 STREET,EAST  109 STREET,EAST  110 STREET,ADDRESS,NEW YORK,MADISON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:31:02.000,11 MANHATTAN,1016150023,MANHATTAN,998685,229227,ONLINE,Unspecified,MANHATTAN,40.79583941489781,-73.94786591532588,"{'latitude': '40.79583941489781', 'longitude': '-73.94786591532588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906892,2023-09-23T20:30:59.000,2023-09-23T20:32:34.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T20:32:40.000,64 MANHATTAN,1011110001,MANHATTAN,994623,222956,ONLINE,Central Park,MANHATTAN,40.77863290127972,-73.96254609596876,"{'latitude': '40.77863290127972', 'longitude': '-73.96254609596876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906960,2023-09-23T20:30:55.000,2023-09-23T21:02:10.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,255 HUDSON STREET,HUDSON STREET,BROOME STREET,DOMINICK STREET,BROOME STREET,DOMINICK STREET,ADDRESS,NEW YORK,HUDSON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:02:15.000,02 MANHATTAN,1005947505,MANHATTAN,982104,203356,ONLINE,Unspecified,MANHATTAN,40.72484168857726,-74.00774233097442,"{'latitude': '40.72484168857726', 'longitude': '-74.00774233097442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906349,2023-09-23T20:30:39.000,2023-09-23T21:10:48.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11231,484 COLUMBIA STREET,COLUMBIA STREET,BUSH STREET,LORRAINE STREET,BUSH STREET,LORRAINE STREET,ADDRESS,BROOKLYN,COLUMBIA STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:10:52.000,06 BROOKLYN,3005330001,BROOKLYN,982187,185277,ONLINE,Unspecified,BROOKLYN,40.675219079789436,-74.00743734599233,"{'latitude': '40.675219079789436', 'longitude': '-74.00743734599233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908899,2023-09-23T20:30:31.000,2023-09-23T20:50:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11209,447 95 STREET,95 STREET,4 AVENUE,FORT HAMILTON PARKWAY,4 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,95 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T20:50:35.000,10 BROOKLYN,3061187502,BROOKLYN,975831,163442,ONLINE,Unspecified,BROOKLYN,40.61528295663679,-74.03032418626323,"{'latitude': '40.61528295663679', 'longitude': '-74.03032418626323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906204,2023-09-23T20:30:23.000,2023-09-23T21:01:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103,25-46 42 STREET,42 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,ADDRESS,ASTORIA,42 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T21:02:00.000,01 QUEENS,4006850064,QUEENS,1009061,218655,MOBILE,Unspecified,QUEENS,40.76679905116111,-73.9104305572561,"{'latitude': '40.76679905116111', 'longitude': '-73.9104305572561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909485,2023-09-23T20:30:02.000,2023-09-23T21:07:25.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11416,94-12 86 STREET,86 STREET,ATLANTIC AVENUE,95 AVENUE,ATLANTIC AVENUE,95 AVENUE,ADDRESS,OZONE PARK,86 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:07:30.000,09 QUEENS,4090190012,QUEENS,1024320,189180,MOBILE,Unspecified,QUEENS,40.68584146808974,-73.85552008622034,"{'latitude': '40.68584146808974', 'longitude': '-73.85552008622034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907314,2023-09-23T20:30:01.000,2023-09-23T20:51:10.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10024,609 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   89 STREET,WEST   90 STREET,WEST   89 STREET,WEST   90 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T20:51:15.000,07 MANHATTAN,1012030001,MANHATTAN,992418,226644,MOBILE,Unspecified,MANHATTAN,40.78875779212333,-73.9705032287699,"{'latitude': '40.78875779212333', 'longitude': '-73.9705032287699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909908,2023-09-23T20:29:45.000,2023-09-25T08:00:39.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11215,161 PROSPECT PARK WEST,PROSPECT PARK WEST,10 STREET,11 STREET,10 STREET,11 STREET,ADDRESS,BROOKLYN,PROSPECT PARK WEST,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-24T10:10:44.000,06 BROOKLYN,3010950050,BROOKLYN,990416,181008,MOBILE,Unspecified,BROOKLYN,40.66349972132597,-73.97777478483737,"{'latitude': '40.66349972132597', 'longitude': '-73.97777478483737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909575,2023-09-23T20:29:24.000,2023-09-23T20:32:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1265 GERARD AVENUE,GERARD AVENUE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T20:32:10.000,04 BRONX,2024890054,BRONX,1006494,244079,MOBILE,Unspecified,BRONX,40.836587768244534,-73.91961337374968,"{'latitude': '40.836587768244534', 'longitude': '-73.91961337374968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909762,2023-09-23T20:28:53.000,2023-10-07T17:22:28.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10467,718 EAST  218 STREET,EAST  218 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,12 BRONX,2046650067,BRONX,1022300,260869,PHONE,Unspecified,BRONX,40.882617258674294,-73.86239751659953,"{'latitude': '40.882617258674294', 'longitude': '-73.86239751659953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909240,2023-09-23T20:28:53.000,2023-10-07T17:22:28.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10467,718 EAST  218 STREET,EAST  218 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,12 BRONX,2046650067,BRONX,1022300,260869,PHONE,Unspecified,BRONX,40.882617258674294,-73.86239751659953,"{'latitude': '40.882617258674294', 'longitude': '-73.86239751659953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911708,2023-09-23T20:28:53.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,11221,135 MENAHAN STREET,MENAHAN STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-25T00:00:00.000,04 BROOKLYN,3033060053,BROOKLYN,1006561,192730,UNKNOWN,Unspecified,BROOKLYN,40.69564797716503,-73.9195416901205,"{'latitude': '40.69564797716503', 'longitude': '-73.9195416901205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909119,2023-09-23T20:28:34.000,2023-09-23T21:34:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,590 BEECH TERRACE,BEECH TERRACE,DEAD END,BEEKMAN AVENUE,DEAD END,BEEKMAN AVENUE,ADDRESS,BRONX,BEECH TERRACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T21:34:32.000,01 BRONX,2025550035,BRONX,1007961,234259,ONLINE,Unspecified,BRONX,40.80963084690172,-73.9143465499723,"{'latitude': '40.80963084690172', 'longitude': '-73.9143465499723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907742,2023-09-23T20:28:33.000,2023-09-27T13:32:12.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11204,1521 WEST    9 STREET,WEST    9 STREET,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,WEST    9 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T10:50:45.000,11 BROOKLYN,,BROOKLYN,989003,161360,ONLINE,Unspecified,BROOKLYN,40.60957102067405,-73.9828817527734,"{'latitude': '40.60957102067405', 'longitude': '-73.9828817527734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909113,2023-09-23T20:27:36.000,2023-09-23T20:49:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10023,160 WEST   62 STREET,WEST   62 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   62 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T20:49:55.000,07 MANHATTAN,1011320035,MANHATTAN,988180,220576,ONLINE,Unspecified,MANHATTAN,40.77210563931677,-73.9858112974181,"{'latitude': '40.77210563931677', 'longitude': '-73.9858112974181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907440,2023-09-23T20:27:34.000,2023-09-23T20:38:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11418,91-56 112 STREET,112 STREET,92 AVENUE,93 AVENUE,92 AVENUE,93 AVENUE,ADDRESS,RICHMOND HILL,112 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T20:38:51.000,09 QUEENS,4093180016,QUEENS,1030128,192056,ONLINE,Unspecified,QUEENS,40.693707213061884,-73.83455871230277,"{'latitude': '40.693707213061884', 'longitude': '-73.83455871230277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909451,2023-09-23T20:27:07.000,2023-09-23T20:51:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10024,609 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   89 STREET,WEST   90 STREET,WEST   89 STREET,WEST   90 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T20:51:10.000,07 MANHATTAN,1012030001,MANHATTAN,992418,226644,MOBILE,Unspecified,MANHATTAN,40.78875779212333,-73.9705032287699,"{'latitude': '40.78875779212333', 'longitude': '-73.9705032287699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906621,2023-09-23T20:26:48.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11372,34-20 94 STREET,94 STREET,34 AVENUE,34 ROAD,34 AVENUE,34 ROAD,ADDRESS,JACKSON HEIGHTS,94 STREET,In Progress,,,03 QUEENS,4014540018,QUEENS,1019223,214092,UNKNOWN,Unspecified,QUEENS,40.75424043902605,-73.87376880887018,"{'latitude': '40.75424043902605', 'longitude': '-73.87376880887018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907055,2023-09-23T20:26:46.000,2023-09-25T07:34:57.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472,2010 POWELL AVENUE,POWELL AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,09 BRONX,2038010001,BRONX,1024038,241876,MOBILE,Unspecified,BRONX,40.830479560431925,-73.85622502935952,"{'latitude': '40.830479560431925', 'longitude': '-73.85622502935952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909304,2023-09-23T20:26:41.000,2023-09-25T07:55:35.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10035,2400 2 AVENUE,2 AVENUE,EAST 123 STREET,EAST 124 STREET,EAST  123 STREET,EAST  124 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-23T20:26:41.000,11 MANHATTAN,1017970001,MANHATTAN,1002403,231268,MOBILE,Unspecified,MANHATTAN,40.80143454654757,-73.93443230896085,"{'latitude': '40.80143454654757', 'longitude': '-73.93443230896085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909897,2023-09-23T20:26:15.000,2023-09-23T20:46:25.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,11215,161 PROSPECT PARK WEST,PROSPECT PARK WEST,10 STREET,11 STREET,10 STREET,11 STREET,ADDRESS,BROOKLYN,PROSPECT PARK WEST,Closed,The Police Department visited the location and no Encampment was found.,2023-09-23T20:46:30.000,06 BROOKLYN,3010950050,BROOKLYN,990416,181008,MOBILE,Unspecified,BROOKLYN,40.66349972132597,-73.97777478483737,"{'latitude': '40.66349972132597', 'longitude': '-73.97777478483737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908504,2023-09-23T20:26:12.000,2023-09-23T20:29:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11106,31-53 34 STREET,34 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,ADDRESS,ASTORIA,34 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T20:29:55.000,01 QUEENS,4006240021,QUEENS,1005838,216893,PHONE,Unspecified,QUEENS,40.76197127575881,-73.92207146458692,"{'latitude': '40.76197127575881', 'longitude': '-73.92207146458692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908462,2023-09-23T20:25:42.000,2023-09-23T22:02:48.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11206,22 SUMNER PLACE,SUMNER PLACE,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,ADDRESS,BROOKLYN,SUMNER PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T22:02:53.000,04 BROOKLYN,3031310014,BROOKLYN,1000718,194624,ONLINE,Unspecified,BROOKLYN,40.70085936630998,-73.94060817814724,"{'latitude': '40.70085936630998', 'longitude': '-73.94060817814724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
