unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date
58895873,2023-09-22T11:11:00.000,2023-09-25T08:38:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11216,716 LINCOLN PLACE,LINCOLN PLACE,ROGERS AVE,NOSTRAND AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-25T08:38:00.000,08 BROOKLYN,3012610008,BROOKLYN,997430,183689,ONLINE,Unspecified,BROOKLYN,40.67085080577413,-73.95248773395681,"{'latitude': '40.67085080577413', 'longitude': '-73.95248773395681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58897308,2023-09-22T11:11:00.000,2023-09-26T09:40:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10456,265 MCCLELLAN STREET,MCCLELLAN STREET,GRANT AVE,MORRIS AVE,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-09-26T09:40:00.000,04 BRONX,2024490079,BRONX,1007729,242330,PHONE,Unspecified,BRONX,40.83178407291839,-73.91515638550888,"{'latitude': '40.83178407291839', 'longitude': '-73.91515638550888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899721,2023-09-22T11:10:48.000,2023-09-23T09:56:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11385,65-45 OTTO ROAD,OTTO ROAD,65 STREET,66 STREET,65 STREET,66 STREET,ADDRESS,RIDGEWOOD,OTTO ROAD,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-23T09:56:49.000,05 QUEENS,4036670625,QUEENS,1014592,195890,ONLINE,Unspecified,QUEENS,40.704297541284014,-73.89056595025376,"{'latitude': '40.704297541284014', 'longitude': '-73.89056595025376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902685,2023-09-22T11:10:40.000,2023-09-23T11:00:39.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10011,239 WEST   18 STREET,WEST   18 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   18 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-23T11:00:42.000,04 MANHATTAN,1007687505,MANHATTAN,984513,209450,MOBILE,Unspecified,MANHATTAN,40.74156847686442,-73.99905091134613,"{'latitude': '40.74156847686442', 'longitude': '-73.99905091134613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899961,2023-09-22T11:10:40.000,2023-09-26T13:58:49.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,10039,304 WEST  151 STREET,WEST  151 STREET,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,ADDRESS,NEW YORK,WEST  151 STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-26T07:45:39.000,10 MANHATTAN,1020460018,MANHATTAN,1001040,240469,ONLINE,Unspecified,MANHATTAN,40.82669141090469,-73.93933237567178,"{'latitude': '40.82669141090469', 'longitude': '-73.93933237567178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893442,2023-09-22T11:10:36.000,2023-09-22T12:22:45.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11378,60-65 59 DRIVE,59 DRIVE,60 LANE,61 STREET,60 LANE,61 STREET,ADDRESS,MASPETH,59 DRIVE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T12:22:48.000,05 QUEENS,4027410001,QUEENS,1010917,200788,MOBILE,Unspecified,QUEENS,40.71775321776997,-73.90380110765575,"{'latitude': '40.71775321776997', 'longitude': '-73.90380110765575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892824,2023-09-22T11:10:34.000,2023-10-02T10:14:52.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11379,84 PLACE,84 PLACE,64 ROAD,FURMANVILLE AVENUE,64 ROAD,FURMANVILLE AVENUE,BLOCKFACE,,,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-10-02T10:14:55.000,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
58895497,2023-09-22T11:10:33.000,2023-09-23T17:35:16.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11420,127-10 150 AVENUE,150 AVENUE,127 STREET,128 STREET,127 STREET,128 STREET,ADDRESS,SOUTH OZONE PARK,150 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-23T17:35:18.000,10 QUEENS,4118960035,QUEENS,1035972,181747,ONLINE,Unspecified,QUEENS,40.665379184493666,-73.81356376511799,"{'latitude': '40.665379184493666', 'longitude': '-73.81356376511799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897435,2023-09-22T11:10:25.000,2023-09-22T12:01:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T12:01:06.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897809,2023-09-22T11:10:24.000,2023-09-22T11:34:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10305,850 HYLAN BOULEVARD,HYLAN BOULEVARD,,SAND LANE,,SAND LANE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T11:34:35.000,02 STATEN ISLAND,5030950021,STATEN ISLAND,964303,157532,ONLINE,Unspecified,STATEN ISLAND,40.599042768021725,-74.07182913364112,"{'latitude': '40.599042768021725', 'longitude': '-74.07182913364112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898553,2023-09-22T11:10:15.000,2023-09-22T13:01:37.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10038,142 FULTON STREET,FULTON STREET,NASSAU STREET,BROADWAY,NASSAU STREET,BROADWAY,ADDRESS,NEW YORK,FULTON STREET,Closed,N/A,2023-09-22T13:01:40.000,01 MANHATTAN,1000790027,MANHATTAN,981919,198148,ONLINE,Unspecified,MANHATTAN,40.71054693195552,-74.00840796980579,"{'latitude': '40.71054693195552', 'longitude': '-74.00840796980579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901719,2023-09-22T11:10:04.000,2023-09-22T14:02:14.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11435,90-24 143 STREET,143 STREET,90 AVENUE,91 AVENUE,90 AVENUE,91 AVENUE,ADDRESS,JAMAICA,143 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T14:02:11.000,12 QUEENS,4099790018,QUEENS,1036527,194845,ONLINE,Unspecified,QUEENS,40.701326865727765,-73.81146161021402,"{'latitude': '40.701326865727765', 'longitude': '-73.81146161021402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900328,2023-09-22T11:09:47.000,2023-09-22T14:35:48.000,NYPD,New York City Police Department,Bike/Roller/Skate Chronic,N/A,Street/Sidewalk,11201,10 CITY POINT,CITY POINT,WILLOUGHBY STREET,FLEET STREET,WILLOUGHBY STREET,FLEET STREET,ADDRESS,BROOKLYN,CITY POINT,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T14:35:53.000,02 BROOKLYN,3001497502,BROOKLYN,989172,191188,ONLINE,Unspecified,BROOKLYN,40.69144229924395,-73.98225132135923,"{'latitude': '40.69144229924395', 'longitude': '-73.98225132135923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896990,2023-09-22T11:09:41.000,2023-09-22T11:24:36.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10010,375 1 AVENUE,1 AVENUE,EAST   21 STREET,EAST   22 STREET,EAST   21 STREET,EAST   22 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-22T11:24:38.000,06 MANHATTAN,1009270032,MANHATTAN,990074,207450,PHONE,Unspecified,MANHATTAN,40.736077059194436,-73.97898465085632,"{'latitude': '40.736077059194436', 'longitude': '-73.97898465085632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898380,2023-09-22T11:09:41.000,2023-09-22T15:30:40.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10010,375 1 AVENUE,1 AVENUE,EAST   21 STREET,EAST   22 STREET,EAST   21 STREET,EAST   22 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-22T15:30:44.000,06 MANHATTAN,1009270032,MANHATTAN,990074,207450,PHONE,Unspecified,MANHATTAN,40.736077059194436,-73.97898465085632,"{'latitude': '40.736077059194436', 'longitude': '-73.97898465085632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898542,2023-09-22T11:09:22.000,2023-09-23T07:30:15.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,10474,1266 SPOFFORD AVENUE,SPOFFORD AVENUE,MANIDA STREET,COSTER STREET,MANIDA STREET,COSTER STREET,ADDRESS,BRONX,SPOFFORD AVENUE,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-23T07:30:15.000,02 BRONX,2027650263,BRONX,1015261,235958,ONLINE,Unspecified,BRONX,40.814271517458906,-73.88796825712038,"{'latitude': '40.814271517458906', 'longitude': '-73.88796825712038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897940,2023-09-22T11:09:04.000,2023-09-25T09:07:57.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10027,3285 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,09 MANHATTAN,1019990031,MANHATTAN,996338,237447,PHONE,Unspecified,MANHATTAN,40.81840456401251,-73.95632764176132,"{'latitude': '40.81840456401251', 'longitude': '-73.95632764176132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899609,2023-09-22T11:08:43.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10075,1467 FIRST AVENUE,FIRST AVENUE,EAST   76 STREET,EAST   77 STREET,EAST   76 STREET,EAST   77 STREET,ADDRESS,NEW YORK,1 AVENUE,In Progress,,,08 MANHATTAN,1014510023,MANHATTAN,997005,220040,MOBILE,Unspecified,MANHATTAN,40.770626130781224,-73.95395091898546,"{'latitude': '40.770626130781224', 'longitude': '-73.95395091898546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897410,2023-09-22T11:08:36.000,2023-09-22T15:10:05.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11434,145-44 155 STREET,155 STREET,145 AVENUE,145 DRIVE,145 AVENUE,145 DRIVE,ADDRESS,JAMAICA,155 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T15:10:09.000,13 QUEENS,,QUEENS,1044522,181609,ONLINE,Unspecified,QUEENS,40.66494633056984,-73.78274593275422,"{'latitude': '40.66494633056984', 'longitude': '-73.78274593275422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894204,2023-09-22T11:08:29.000,2023-10-03T11:26:18.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11205,212 ADELPHI STREET,ADELPHI STREET,WILLOUGHBY AVENUE,DEKALB AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,ADELPHI STREET,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-03T11:26:20.000,02 BROOKLYN,3020900040,BROOKLYN,992163,191069,ONLINE,Unspecified,BROOKLYN,40.69111350289309,-73.97146594818311,"{'latitude': '40.69111350289309', 'longitude': '-73.97146594818311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892687,2023-09-22T11:08:15.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11369,25-31 BUTLER STREET,BUTLER STREET,25 AVENUE,27 AVENUE,25 AVENUE,27 AVENUE,ADDRESS,EAST ELMHURST,BUTLER STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T14:57:49.000,03 QUEENS,4016560003,QUEENS,1021418,218488,PHONE,Unspecified,QUEENS,40.76629736337917,-73.86582190592095,"{'latitude': '40.76629736337917', 'longitude': '-73.86582190592095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901728,2023-09-22T11:08:10.000,2023-09-22T12:42:01.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,387 LINDEN BOULEVARD,LINDEN BOULEVARD,EAST   35 STREET,BROOKLYN AVENUE,EAST   35 STREET,BROOKLYN AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T12:42:05.000,17 BROOKLYN,3048560001,BROOKLYN,999560,177162,MOBILE,Unspecified,BROOKLYN,40.65293220866004,-73.9448241703923,"{'latitude': '40.65293220866004', 'longitude': '-73.9448241703923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901470,2023-09-22T11:08:00.000,2023-09-25T08:37:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11228,1597 INDEPENDENCE AVENUE,INDEPENDENCE AVENUE,BAY 11 ST,16 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-25T08:37:00.000,11 BROOKLYN,3064850084,BROOKLYN,980324,159132,PHONE,Unspecified,BROOKLYN,40.60345602114494,-74.01413845635615,"{'latitude': '40.60345602114494', 'longitude': '-74.01413845635615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58901483,2023-09-22T11:08:00.000,2023-09-22T12:45:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11358,,,,,UTOPIA PARKWAY,HOLLIS COURT BOULEVARD,INTERSECTION,QUEENS,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-22T12:45:00.000,11 QUEENS,,QUEENS,1041774,213709,PHONE,Unspecified,QUEENS,40.75307125129423,-73.79237698006892,"{'latitude': '40.75307125129423', 'longitude': '-73.79237698006892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893160,2023-09-22T11:08:00.000,2023-09-27T14:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11235,2940 OCEAN PARKWAY,OCEAN PARKWAY,NEPTUNE AVE,OCEAN VIEW AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T14:30:00.000,13 BROOKLYN,3072740020,BROOKLYN,993184,150359,ONLINE,Unspecified,BROOKLYN,40.57937226190035,-73.96783814984869,"{'latitude': '40.57937226190035', 'longitude': '-73.96783814984869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58894540,2023-09-22T11:08:00.000,2023-09-22T11:20:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11361,209-27 33 ROAD,33 ROAD,CORPORAL KENNEDY ST,210 ST,,,ADDRESS,BAYSIDE,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-22T11:20:00.000,11 QUEENS,4061000037,QUEENS,1045435,219897,PHONE,Unspecified,QUEENS,40.77003109255641,-73.77910696166803,"{'latitude': '40.77003109255641', 'longitude': '-73.77910696166803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897237,2023-09-22T11:07:53.000,2023-09-22T16:55:26.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11362,57-49 MARATHON PARKWAY,MARATHON PARKWAY,57 AVENUE,60 AVENUE,57 AVENUE,60 AVENUE,ADDRESS,LITTLE NECK,MARATHON PARKWAY,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T16:55:31.000,11 QUEENS,4083370001,QUEENS,1058695,216063,MOBILE,Unspecified,QUEENS,40.75940607964168,-73.73127780574407,"{'latitude': '40.75940607964168', 'longitude': '-73.73127780574407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900204,2023-09-22T11:07:30.000,2023-09-22T14:00:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11229,3710 BEDFORD AVENUE,BEDFORD AVENUE,KINGS HIGHWAY,AVENUE P,KINGS HIGHWAY,AVENUE P,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T14:00:24.000,15 BROOKLYN,3067710044,BROOKLYN,998438,162188,MOBILE,Unspecified,BROOKLYN,40.61183362625817,-73.94889923507453,"{'latitude': '40.61183362625817', 'longitude': '-73.94889923507453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894868,2023-09-22T11:07:21.000,2023-09-22T12:38:19.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11212,12 SUTTER AVENUE,SUTTER AVENUE,EAST   98 STREET,RALPH AVENUE,EAST   98 STREET,RALPH AVENUE,ADDRESS,BROOKLYN,SUTTER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T12:38:22.000,16 BROOKLYN,3035300008,BROOKLYN,1005702,181669,MOBILE,Unspecified,BROOKLYN,40.66529017860036,-73.92267463992204,"{'latitude': '40.66529017860036', 'longitude': '-73.92267463992204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897049,2023-09-22T11:07:20.000,2023-09-29T15:02:23.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11203,545 UTICA AVENUE,UTICA AVENUE,RUTLAND ROAD,WINTHROP STREET,RUTLAND ROAD,WINTHROP STREET,ADDRESS,BROOKLYN,UTICA AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-26T16:39:27.000,17 BROOKLYN,3046040075,BROOKLYN,1003324,179729,ONLINE,Unspecified,BROOKLYN,40.65997075151859,-73.93125180559628,"{'latitude': '40.65997075151859', 'longitude': '-73.93125180559628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895975,2023-09-22T11:07:17.000,2023-09-22T11:18:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10019,1619 BROADWAY,BROADWAY,WEST   49 STREET,WEST   50 STREET,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T11:18:10.000,05 MANHATTAN,1010210019,MANHATTAN,988591,216551,ONLINE,Unspecified,MANHATTAN,40.76105786456666,-73.98433004028819,"{'latitude': '40.76105786456666', 'longitude': '-73.98433004028819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894226,2023-09-22T11:07:08.000,2023-09-28T06:07:19.000,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,Street,11205,32 NORTH PORTLAND AVENUE,NORTH PORTLAND AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,NORTH PORTLAND AVENUE,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-28T06:07:23.000,02 BROOKLYN,3020270040,BROOKLYN,990735,193275,MOBILE,Unspecified,BROOKLYN,40.697169623264664,-73.97661315131597,"{'latitude': '40.697169623264664', 'longitude': '-73.97661315131597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898574,2023-09-22T11:07:05.000,2023-09-22T12:45:38.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10016,103 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T12:45:38.000,05 MANHATTAN,1008850006,MANHATTAN,988895,210260,ONLINE,Unspecified,MANHATTAN,40.74379050882603,-73.98323701955469,"{'latitude': '40.74379050882603', 'longitude': '-73.98323701955469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895277,2023-09-22T11:06:31.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10453,161 EAST  179 STREET,EAST  179 STREET,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-22T00:00:00.000,05 BRONX,2028080062,BRONX,1010338,249455,PHONE,Unspecified,BRONX,40.85133278568752,-73.90570080440538,"{'latitude': '40.85133278568752', 'longitude': '-73.90570080440538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896512,2023-09-22T11:06:22.000,2023-10-10T19:42:45.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11212,950 RUTLAND ROAD,RUTLAND ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,17 BROOKLYN,3046100001,BROOKLYN,1004226,180331,PHONE,Unspecified,BROOKLYN,40.66162111921814,-73.92799895554676,"{'latitude': '40.66162111921814', 'longitude': '-73.92799895554676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898411,2023-09-22T11:06:21.000,2023-09-23T11:49:10.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11428,222-26 93 AVENUE,93 AVENUE,222 STREET,224 STREET,222 STREET,224 STREET,ADDRESS,QUEENS VILLAGE,93 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-23T11:49:15.000,13 QUEENS,4107440020,QUEENS,1058183,202892,MOBILE,Unspecified,QUEENS,40.72325942793549,-73.73327071317578,"{'latitude': '40.72325942793549', 'longitude': '-73.73327071317578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892618,2023-09-22T11:06:04.000,2023-09-22T13:28:36.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11354,141-16 25 ROAD,25 ROAD,WHITESTONE EXPRESSWAY,143 STREET,WHITESTONE EXPRESSWAY,143 STREET,ADDRESS,FLUSHING,25 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T13:28:39.000,07 QUEENS,4042850010,QUEENS,1032379,222013,PHONE,Unspecified,QUEENS,40.7759196717377,-73.82622706763601,"{'latitude': '40.7759196717377', 'longitude': '-73.82622706763601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896796,2023-09-22T11:06:00.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11419,94-29 112 STREET,112 STREET,ATLANTIC AVENUE,95 AVENUE,ATLANTIC AVENUE,95 AVENUE,ADDRESS,SOUTH RICHMOND HILL,112 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T15:21:49.000,09 QUEENS,4093980042,QUEENS,1030400,191363,ONLINE,Unspecified,QUEENS,40.69180367746778,-73.83358259937934,"{'latitude': '40.69180367746778', 'longitude': '-73.83358259937934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
