unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58812458,2023-09-14T17:37:03.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11435,137-67 QUEENS BOULEVARD,QUEENS BOULEVARD,138 STREET,84 DRIVE,138 STREET,84 DRIVE,ADDRESS,JAMAICA,QUEENS BOULEVARD,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:08:02.000,08 QUEENS,4096510066,QUEENS,1034497,197609,PHONE,Unspecified,QUEENS,40.708925138268874,-73.81876221327778,"{'latitude': '40.708925138268874', 'longitude': '-73.81876221327778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"137-67 QUEENS BOULEVARD, QUEENS (JAMAICA), NY, 11435",,,,
58818651,2023-09-14T17:36:43.000,2023-09-16T00:00:00.000,DOB,Department of Buildings,Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,,11208,169 PINE STREET,PINE STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-16T00:00:00.000,05 BROOKLYN,3041460018,BROOKLYN,1019534,187943,UNKNOWN,Unspecified,BROOKLYN,40.68246656185103,-73.87278336010783,"{'latitude': '40.68246656185103', 'longitude': '-73.87278336010783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814661,2023-09-14T17:36:34.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58812577,2023-09-14T17:36:18.000,2023-09-14T18:16:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11215,435 13 STREET,13 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,13 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T18:16:36.000,06 BROOKLYN,3010987501,BROOKLYN,989261,181082,MOBILE,Unspecified,BROOKLYN,40.66370356395286,-73.98193790251166,"{'latitude': '40.66370356395286', 'longitude': '-73.98193790251166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818207,2023-09-14T17:35:40.000,2023-09-14T18:27:36.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-14T18:27:41.000,Unspecified BROOKLYN,,BROOKLYN,986227,181704,PHONE,Unspecified,BROOKLYN,40.66541201333006,-73.99287374154318,"{'latitude': '40.66541201333006', 'longitude': '-73.99287374154318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,R,,Other,
58815870,2023-09-14T17:35:13.000,2023-11-09T12:36:11.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11435,137-67 QUEENS BOULEVARD,QUEENS BOULEVARD,138 STREET,84 DRIVE,138 STREET,84 DRIVE,ADDRESS,JAMAICA,QUEENS BOULEVARD,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-09T12:36:14.000,08 QUEENS,4096510066,QUEENS,1034497,197609,PHONE,Unspecified,QUEENS,40.708925138268874,-73.81876221327778,"{'latitude': '40.708925138268874', 'longitude': '-73.81876221327778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"137-67 QUEENS BOULEVARD, QUEENS (JAMAICA), NY, 11435",,,,
58815121,2023-09-14T17:34:56.000,2023-09-14T17:53:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10467,323 EAST GUN HILL ROAD,EAST GUN HILL ROAD,PERRY AVENUE,HULL AVENUE,PERRY AVENUE,HULL AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T17:53:55.000,07 BRONX,2033560107,BRONX,1019173,259515,ONLINE,Unspecified,BRONX,40.878913881658384,-73.8737129159977,"{'latitude': '40.878913881658384', 'longitude': '-73.8737129159977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815608,2023-09-14T17:34:55.000,2023-09-14T17:55:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,2064 GRAND CONCOURSE,GRAND CONCOURSE,EAST BURNSIDE AVENUE,EAST  180 STREET,EAST BURNSIDE AVENUE,EAST  180 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T17:55:45.000,05 BRONX,2031560007,BRONX,1011041,250049,MOBILE,Unspecified,BRONX,40.852961033193225,-73.90315732821492,"{'latitude': '40.852961033193225', 'longitude': '-73.90315732821492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58817746,2023-09-14T17:34:36.000,2023-09-15T20:42:49.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10473,955 EVERGREEN AVENUE,EVERGREEN AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-15T00:00:00.000,09 BRONX,2036490001,BRONX,1017562,238916,PHONE,Unspecified,BRONX,40.82238201112621,-73.87964088752405,"{'latitude': '40.82238201112621', 'longitude': '-73.87964088752405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813430,2023-09-14T17:34:31.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10465,2870 SCHLEY AVENUE,SCHLEY AVENUE,CROSS BRONX EXPRESSWAY,EAST TREMONT AVENUE,CROSS BRONX EXPRESSWAY,EAST TREMONT AVENUE,ADDRESS,BRONX,SCHLEY AVENUE,In Progress,,,10 BRONX,2055610151,BRONX,1033737,239552,ONLINE,Unspecified,BRONX,40.82405183761774,-73.82119467077085,"{'latitude': '40.82405183761774', 'longitude': '-73.82119467077085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815588,2023-09-14T17:34:23.000,2023-09-14T17:39:13.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T17:39:17.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810672,2023-09-14T17:34:17.000,2023-09-14T17:51:05.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10032,570 WEST  172 STREET,WEST  172 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  172 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T17:51:10.000,12 MANHATTAN,1021280012,MANHATTAN,1001606,246482,MOBILE,Unspecified,MANHATTAN,40.8431942611118,-73.9372716792551,"{'latitude': '40.8431942611118', 'longitude': '-73.9372716792551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813292,2023-09-14T17:34:06.000,2023-09-14T17:38:57.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T17:39:00.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58812293,2023-09-14T17:33:54.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10457,2175 RYER AVENUE,RYER AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,ADDRESS,BRONX,RYER AVENUE,In Progress,,,05 BRONX,2031570059,BRONX,1011887,250683,MOBILE,Unspecified,BRONX,40.85469856568777,-73.90009664163529,"{'latitude': '40.85469856568777', 'longitude': '-73.90009664163529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58819026,2023-09-14T17:33:48.000,2023-09-14T17:39:29.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T17:39:35.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58819402,2023-09-14T17:33:37.000,2023-09-29T02:54:44.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10457,4388 PARK AVENUE,PARK AVENUE,EAST  180 STREET,EAST  181 STREET,EAST  180 STREET,EAST  181 STREET,ADDRESS,BRONX,PARK AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-15T05:42:58.000,06 BRONX,2030370004,BRONX,1012806,249763,ONLINE,Unspecified,BRONX,40.85217051659064,-73.89677852469104,"{'latitude': '40.85217051659064', 'longitude': '-73.89677852469104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815587,2023-09-14T17:33:21.000,2023-09-14T17:39:49.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T17:39:55.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818734,2023-09-14T17:33:00.000,2023-09-15T19:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11224,,,,,MERMAID AVENUE,WEST 17 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T19:40:00.000,13 BROOKLYN,,BROOKLYN,988480,149357,UNKNOWN,Unspecified,BROOKLYN,40.576625461784325,-73.98477288683961,"{'latitude': '40.576625461784325', 'longitude': '-73.98477288683961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58814825,2023-09-14T17:32:56.000,2023-09-16T11:42:34.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11228,13 AVENUE,13 AVENUE,13 AVENUE,72 STREET,13 AVENUE,72 STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T10:56:50.000,10 BROOKLYN,,BROOKLYN,982685,165896,ONLINE,Unspecified,BROOKLYN,40.62202253831079,-74.00563750356353,"{'latitude': '40.62202253831079', 'longitude': '-74.00563750356353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814755,2023-09-14T17:32:51.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11435,137-67 QUEENS BOULEVARD,QUEENS BOULEVARD,138 STREET,84 DRIVE,138 STREET,84 DRIVE,ADDRESS,JAMAICA,QUEENS BOULEVARD,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:08:02.000,08 QUEENS,4096510066,QUEENS,1034497,197609,PHONE,Unspecified,QUEENS,40.708925138268874,-73.81876221327778,"{'latitude': '40.708925138268874', 'longitude': '-73.81876221327778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"137-67 QUEENS BOULEVARD, QUEENS (JAMAICA), NY, 11435",,,,
58817896,2023-09-14T17:32:47.000,2023-09-27T20:58:38.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10456,1420 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,04 BRONX,2028320008,BRONX,1008199,245050,PHONE,Unspecified,BRONX,40.83924842108658,-73.9134482849396,"{'latitude': '40.83924842108658', 'longitude': '-73.9134482849396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58817833,2023-09-14T17:32:47.000,2023-09-27T20:58:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10456,1420 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,04 BRONX,2028320008,BRONX,1008199,245050,PHONE,Unspecified,BRONX,40.83924842108658,-73.9134482849396,"{'latitude': '40.83924842108658', 'longitude': '-73.9134482849396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814336,2023-09-14T17:32:47.000,2023-09-27T20:58:38.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10456,1420 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,04 BRONX,2028320008,BRONX,1008199,245050,PHONE,Unspecified,BRONX,40.83924842108658,-73.9134482849396,"{'latitude': '40.83924842108658', 'longitude': '-73.9134482849396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814707,2023-09-14T17:32:28.000,2023-09-19T09:29:31.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,10016,2 AVENUE,2 AVENUE,2 AVENUE,EAST   36 STREET,2 AVENUE,EAST   36 STREET,INTERSECTION,,,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-19T09:29:36.000,06 MANHATTAN,,MANHATTAN,991195,211094,PHONE,Unspecified,MANHATTAN,40.7460781227927,-73.97493586703608,"{'latitude': '40.7460781227927', 'longitude': '-73.97493586703608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58811916,2023-09-14T17:32:19.000,2023-09-14T17:57:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1440 UNIVERSITY AVENUE,UNIVERSITY AVENUE,MERRIAM AVENUE,BOSCOBEL PLACE,MERRIAM AVENUE,BOSCOBEL PLACE,ADDRESS,BRONX,UNIVERSITY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T17:57:05.000,04 BRONX,2025360013,BRONX,1005169,246662,PHONE,Unspecified,BRONX,40.84368058639374,-73.92439367448668,"{'latitude': '40.84368058639374', 'longitude': '-73.92439367448668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58817207,2023-09-14T17:32:17.000,2023-09-15T12:10:14.000,DSNY,Department of Sanitation,Obstruction,Merchandise,Sidewalk,10034,3815 9 AVENUE,9 AVENUE,WEST  204 STREET,WEST  205 STREET,WEST  204 STREET,WEST  205 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T12:10:01.000,12 MANHATTAN,1021850025,MANHATTAN,1006839,253316,PHONE,Unspecified,MANHATTAN,40.86193971655759,-73.9183354735647,"{'latitude': '40.86193971655759', 'longitude': '-73.9183354735647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815688,2023-09-14T17:32:10.000,2023-09-19T16:33:30.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10024,AMSTERDAM AVENUE,AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST   86 STREET,AMSTERDAM AVENUE,WEST   86 STREET,INTERSECTION,,,Closed,See notes for information.,2023-09-19T16:33:32.000,07 MANHATTAN,,MANHATTAN,991169,226253,PHONE,Unspecified,MANHATTAN,40.78768566806202,-73.97501409492868,"{'latitude': '40.78768566806202', 'longitude': '-73.97501409492868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"AMSTERDAM AVENUE AND WEST   86 STREET, MANHATTAN, NY, 10024",,,,
58812720,2023-09-14T17:32:00.000,2023-09-19T08:07:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,11109,,,,,48 AVENUE,CENTER BOULEVARD,INTERSECTION,QUEENS,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T08:07:00.000,02 QUEENS,,QUEENS,995928,210657,PHONE,Unspecified,QUEENS,40.74487368375495,-73.95785548445366,"{'latitude': '40.74487368375495', 'longitude': '-73.95785548445366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58816553,2023-09-14T17:31:58.000,2023-11-27T20:13:11.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10457,2060 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-27T00:00:00.000,05 BRONX,2031560003,BRONX,1011003,249987,ONLINE,Unspecified,BRONX,40.8527909769516,-73.90329493588406,"{'latitude': '40.8527909769516', 'longitude': '-73.90329493588406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813655,2023-09-14T17:31:57.000,2023-09-28T16:30:47.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10474,1201 GILBERT PLACE,GILBERT PLACE,HUNTS POINT AVENUE,FAILE STREET,HUNTS POINT AVENUE,FAILE STREET,ADDRESS,BRONX,GILBERT PLACE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T09:37:38.000,02 BRONX,2027620035,BRONX,1015135,237243,PHONE,Unspecified,BRONX,40.817798921013875,-73.88841753658,"{'latitude': '40.817798921013875', 'longitude': '-73.88841753658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818107,2023-09-14T17:31:38.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815714,2023-09-14T17:31:36.000,2023-09-14T17:31:36.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11205,71 GRAND AVENUE,GRAND AVENUE,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,GRAND AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-14T17:31:36.000,02 BROOKLYN,3018930019,BROOKLYN,994138,192534,ONLINE,Unspecified,BROOKLYN,40.69513260256663,-73.96434200490859,"{'latitude': '40.69513260256663', 'longitude': '-73.96434200490859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814104,2023-09-14T17:31:14.000,2023-09-14T18:09:43.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11222,91 NOBLE STREET,NOBLE STREET,FRANKLIN STREET,LORIMER STREET,FRANKLIN STREET,LORIMER STREET,ADDRESS,BROOKLYN,NOBLE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T18:09:47.000,01 BROOKLYN,3025660001,BROOKLYN,996235,204701,MOBILE,Unspecified,BROOKLYN,40.72852552712688,-73.9567581687042,"{'latitude': '40.72852552712688', 'longitude': '-73.9567581687042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818020,2023-09-14T17:30:41.000,2023-09-18T08:31:46.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10465,3203 AMPERE AVENUE,AMPERE AVENUE,OHM AVENUE,STADIUM AVENUE,OHM AVENUE,STADIUM AVENUE,ADDRESS,BRONX,AMPERE AVENUE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-18T08:31:54.000,10 BRONX,2054130149,BRONX,1033782,247641,ONLINE,Unspecified,BRONX,40.84625350714309,-73.82097234536253,"{'latitude': '40.84625350714309', 'longitude': '-73.82097234536253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813738,2023-09-14T17:30:31.000,2023-09-14T19:01:42.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,10128,356 EAST   87 STREET,EAST   87 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   87 STREET,Closed,N/A,2023-09-14T19:01:47.000,08 MANHATTAN,1015490031,MANHATTAN,998198,222678,PHONE,Unspecified,MANHATTAN,40.777864946261865,-73.94963838412178,"{'latitude': '40.777864946261865', 'longitude': '-73.94963838412178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813463,2023-09-14T17:30:29.000,2023-09-14T20:32:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11423,88-28 184 STREET,184 STREET,HILLSIDE AVENUE,89 AVENUE,HILLSIDE AVENUE,89 AVENUE,ADDRESS,HOLLIS,184 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T20:32:59.000,12 QUEENS,4099300046,QUEENS,1045859,199222,ONLINE,Unspecified,QUEENS,40.71328060718829,-73.77776558921848,"{'latitude': '40.71328060718829', 'longitude': '-73.77776558921848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818032,2023-09-14T17:30:28.000,2023-09-14T17:30:28.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Mixed Use Building,10031,465 WEST  144 STREET,WEST  144 STREET,CONVENT AVENUE,AMSTERDAM AVENUE,CONVENT AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  144 STREET,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-14T17:30:28.000,09 MANHATTAN,1020590037,MANHATTAN,998849,239566,PHONE,Unspecified,MANHATTAN,40.824216826344944,-73.94725112011704,"{'latitude': '40.824216826344944', 'longitude': '-73.94725112011704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58817960,2023-09-14T17:30:26.000,2023-09-14T20:54:52.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11218,122 DAHILL ROAD,DAHILL ROAD,ALBEMARLE ROAD,CLARA STREET,ALBEMARLE ROAD,CLARA STREET,ADDRESS,BROOKLYN,DAHILL ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T20:54:55.000,12 BROOKLYN,3053090054,BROOKLYN,989569,174079,MOBILE,Unspecified,BROOKLYN,40.64448167917492,-73.98083324288439,"{'latitude': '40.64448167917492', 'longitude': '-73.98083324288439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818785,2023-09-14T17:30:01.000,2023-09-14T18:49:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10031,620 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T18:49:46.000,09 MANHATTAN,1020880043,MANHATTAN,997264,239545,MOBILE,Unspecified,MANHATTAN,40.82416166479311,-73.95297805704422,"{'latitude': '40.82416166479311', 'longitude': '-73.95297805704422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815985,2023-09-14T17:29:38.000,2023-09-14T17:46:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11229,2258 BATCHELDER STREET,BATCHELDER STREET,AVENUE V,AVENUE W,AVENUE V,AVENUE W,ADDRESS,BROOKLYN,BATCHELDER STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T17:46:55.000,15 BROOKLYN,3073870001,BROOKLYN,1001363,156854,ONLINE,Unspecified,BROOKLYN,40.597187720927046,-73.93837781232567,"{'latitude': '40.597187720927046', 'longitude': '-73.93837781232567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
